Aṅguttara Nikāya 2 ||| Numbered Discourses 2.130–140
Imehi kho, bhikkhave, dvīhi dhammehi samannāgato paṇḍito viyatto sappuriso akkhataṁ anupahataṁ attānaṁ pariharati, anavajjo ca hoti ananuvajjo ca viññūnaṁ, bahuñca puññaṁ pasavatī”ti. ||| When an astute, competent true person possesses these two qualities they keep themselves healthy and whole. They don’t deserve to be blamed and criticized by sensible people, and they create much merit.”
136 ||| 136
“Dvīsu, bhikkhave, micchāpaṭipajjamāno bālo abyatto asappuriso khataṁ upahataṁ attānaṁ pariharati, sāvajjo ca hoti sānuvajjo ca viññūnaṁ, bahuñca apuññaṁ pasavati. ||| “When a foolish, incompetent untrue person acts wrongly toward two individuals they keep themselves broken and damaged. They deserve to be blamed and criticized by sensible people, and they brim with much wickedness.
Katamesu dvīsu? ||| What two?
Mātari ca pitari ca. ||| Mother and father.
Imesu kho, bhikkhave, dvīsu micchāpaṭipajjamāno bālo abyatto asappuriso khataṁ upahataṁ attānaṁ pariharati, sāvajjo ca hoti sānuvajjo ca viññūnaṁ, bahuñca apuññaṁ pasavatīti. ||| When a foolish, incompetent untrue person acts wrongly toward these two individuals they keep themselves broken and damaged. They deserve to be blamed and criticized by sensible people, and they brim with much wickedness.
Dvīsu, bhikkhave, sammāpaṭipajjamāno paṇḍito viyatto sappuriso akkhataṁ anupahataṁ attānaṁ pariharati, anavajjo ca hoti ananuvajjo ca viññūnaṁ, bahuñca puññaṁ pasavati. ||| When an astute, competent true person acts rightly toward two individuals they keep themselves intact and unscathed. They don’t deserve to be blamed and criticized by sensible people, and they brim with much merit.
Katamesu dvīsu? ||| What two?
Mātari ca pitari ca. ||| Mother and father.
Imesu kho, bhikkhave, dvīsu sammāpaṭipajjamāno paṇḍito viyatto sappuriso akkhataṁ anupahataṁ attānaṁ pariharati, anavajjo ca hoti ananuvajjo ca viññūnaṁ, bahuñca puññaṁ pasavatī”ti. ||| When an astute, competent true person acts rightly toward these two individuals they keep themselves intact and unscathed. They don’t deserve to be blamed and criticized by sensible people, and they brim with much merit.”
137 ||| 137
“Dvīsu, bhikkhave, micchāpaṭipajjamāno bālo abyatto asappuriso khataṁ upahataṁ attānaṁ pariharati, sāvajjo ca hoti sānuvajjo ca viññūnaṁ, bahuñca apuññaṁ pasavati. ||| “When a foolish, incompetent untrue person acts wrongly toward two individuals they keep themselves broken and damaged. They deserve to be blamed and criticized by sensible people, and they brim with much wickedness.
Katamesu dvīsu? ||| What two?
Tathāgate ca tathāgatasāvake ca. ||| The Realized One and a disciple of the Realized One.
Imesu kho, bhikkhave, micchāpaṭipajjamāno bālo abyatto asappuriso khataṁ upahataṁ attānaṁ pariharati, sāvajjo ca hoti sānuvajjo ca viññūnaṁ, bahuñca apuññaṁ pasavatīti. ||| When a foolish, incompetent untrue person acts wrongly toward these people they keep themselves broken and damaged. They deserve to be blamed and criticized by sensible people, and they brim with much wickedness.
Dvīsu, bhikkhave, sammāpaṭipajjamāno paṇḍito viyatto sappuriso akkhataṁ anupahataṁ attānaṁ pariharati, anavajjo ca hoti ananuvajjo ca viññūnaṁ, bahuñca puññaṁ pasavati. ||| When an astute, competent true person acts rightly toward two individuals they keep themselves intact and unscathed. They don’t deserve to be blamed and criticized by sensible people, and they brim with much merit.
Katamesu dvīsu? ||| What two?
Tathāgate ca tathāgatasāvake ca. ||| The Realized One and a disciple of the Realized One.
Imesu kho, bhikkhave, dvīsu sammāpaṭipajjamāno paṇḍito viyatto sappuriso akkhataṁ anupahataṁ attānaṁ pariharati, anavajjo ca hoti ananuvajjo ca viññūnaṁ, bahuñca puññaṁ pasavatī”ti. ||| When an astute, competent true person acts rightly toward these two individuals they keep themselves intact and unscathed. They don’t deserve to be blamed and criticized by sensible people, and they brim with much merit.”
138 ||| 138
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sacittavodānañca na ca kiñci loke upādiyati. ||| Cleaning your own mind, and not grasping at anything in the world.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
139 ||| 139
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Kodho ca upanāho ca. ||| Anger and acrimony.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
140 ||| 140
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Kodhavinayo ca upanāhavinayo ca. ||| Dispelling anger and dispelling acrimony.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
Āyācanavaggo dutiyo.
