༄༅། །རྒྱ་གར་སྐད་དུ། དྷརྨ་ས་མུ་དྲ་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཐེག་པ་ཆེན་པོའི་མདོ་ཆོས་རྒྱ་མཚོ་ཞེས་བྱ་བ། འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| The Mahāyāna Sūtra The Ocean of Dharma Thus did I hear at one time.
འཚོ་བ་དང་། ལྟ་བ་དང་། བསམ་པ་ཉམས་པ་སྟེ། དེ་ནི་མགོ་དང་། ཁ་སྤུ་བྲེགས་ཀྱང་དོན་མེད་པ་སྟེ། ||| When someone has gone forth, yet has let their discipline, conduct, livelihood, view, and motivation deteriorate, it is pointless for them to shave their heads and beards.
རྙོག་པ་འཆང་བས་ན་རྙོག་པ་དེས་ངན་སོང་དུ་གཞོལ་བ་ཡིན་ནོ། །ངས་དད་པས་བྱིན་པ་སྤྱོད་དུ་གནང་བ་ནི་རིགས་པས་གྲོལ་བ་སྟེ། ||| They are bound by disturbances and hence are led by such disturbances to the lower realms.
དགེ་སློང་གང་བརྩོན་པ་མི་འདོར་བ་དེས་གཟུགས་མི་འདོར། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་མི་འདོར། ཕུང་པོ་ལྔ་ཐ་དད་པ་དང་། རིལ་གྱིས་བརྟགས་པའི་རང་བཞིན་བས་ན། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། ||| “I have granted permission for donations from the faithful to be used by those who are coherent and liberated: that is, monks who while not discarding their perseverance do not discard form, sensation, perception, formation, or consciousness, but examine the five aggregates individually and together and view them as by nature impermanent, as suffering, as empty, and as without self.
བདག་མེད་པར་ལྟ་བ་དེ་དག་ཀྱང་མི་དམིགས་པའི་ཚུལ་གྱིས་ཁམས་དང་། སྐྱེ་མཆེད་ཀྱི་ལྷ་རྣམས་མ་ཡིན་པར་སྤྲོ་བ་དམ་པར་བྱེད་པས་རྟག་ཏུ་སྒོམ་མོ། །སྙིང་པོ་མེད་པ་དང་། འབྲུམ་པ་ཅན། ཟུག་རྔུ་ཅན་དང་ལྡན་པ། སྐྱོན་ཅན། ||| Yet even these views they always cultivate without apprehending them, and taking the elements and the sense sources strictly as non-existent manifestations.
ཕ་རོལ་པོ་སླུ་བའི་ཆོས་ཉིད་ཅེས་སུན་འབྱིན་པ་དེ་དག་ཀྱང་མི་དམིགས་པའི་ཚུལ་དུ་སྦྱོར་བས། གང་ལུས་ཀྱིས་ལུས་ལ་སྲེད་པ་དང་། ལུས་ལ་བྱམས་པ་དང་། ལུས་ལ་བདག་ཡིད་ཆེས་པ་དང་། ལུས་ལ་ཞེན་པ་དེ་དག་རབ་ཏུ་སྤོང་ངོ་། ། ||| What they repudiate as being insubstantial, infected, painful, faulty, antagonizing, and of a deceptive nature, they do that too without any apprehending in their approach, and in that way with their bodies give up craving the body, loving the body, believing there is a self in the body, and clinging to the body.
གང་འདི་ལྟ་བུའི་དགེ་སློང་ནི་དགེ་བར་གསུངས་པའི་ཆོས་དང་འདུལ་བ་ལ་རབ་ཏུ་བྱུང་བར་གྱུར། དད་པས་བསྙེན་པར་རྫོགས་པའི་ཡང་དག་པར་རྫོགས་པ་ཡིན་ཏེ། ||| Monks like this have gone forth into the well-taught Dharma and Vinaya, and have faithfully taken full ordination correctly and completely.
འདི་ལྟ་བུའི་དགེ་སློང་ནི་ལྷ་དང་འཇིག་རྟེན་དུ་བཅས་པ་རྣམས་ཀྱི་སྦྱིན་གནས་སུ་གྱུར་པའོ། ། ||| Such monks are worthy recipients of donations from the whole world along with its gods.”
དེ་ནས་བྱམས་པ་བྱང་ཆུབ་སེམས་དཔས་འཇིག་རྟེན་གྱི་དབང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ལ་སྨྲས་པ། བཅོམ་ལྡན་འདས་ཀྱིས་ཅི་ལས་དགོངས་ཏེ་འགྲོ་བ་ཐ་དད་པའི་ཆོས་རྣམས་ལ་འདས་ཤིང་འཇིག་རྟེན་ལས་འདས་པའི་ཆོས་རྣམས་ཐོབ་པ་དེ་ནི་དགེ་བར་གསུངས་པའི་ཆོས་དང་འདུལ་བ་ལ་རབ་ཏུ་བྱུང་བར་གྱུར། བསྙེན་པར་རྫོགས་པའི་ཡང་དག་པར་རྫོགས་པ་ཞེས་གསུངས། ||| The bodhisattva Maitreya then asked the bodhisattva Lord of the World, “What did the Blessed One mean when he taught, ‘Those who have transcended the phenomena of the different kinds of beings and have attained the phenomena beyond the world have gone forth into the well-taught Dharma and Vinaya and have correctly taken full ordination’?”
གཞན་གང་ཞིག་རབ་ཏུ་བྱུང་ཞིང་བསྙེན་པར་རྫོགས་ཀྱང་བདག་བསླུས་པ་སྟེ། ||| “There are other people who may have gone forth and taken full ordination, yet are still confused.
ཕ་བོང་ལྟར་བྱི་བ་ཡང་མ་ཡིན། བྱ་ཡང་མ་ཡིན་པ་བཞིན་དུ་དེ་ནི་ཁྱིམ་པ་ཡང་མ་ཡིན། ||| Just as a bat is neither a rat nor a bird, these people are neither householders nor renunciants.
རབ་ཏུ་བྱུང་བ་ཡང་མ་ཡིན་པས་ན་གླེན་པའི་སྐྱེས་བུ་དེ་དེ་ལྟ་བུའི་ཚུལ་དུ་ཟུང་ཤིག ། ||| Understand the position of these foolish people to be so.
སྐྱེས་བུ་དམ་པ་འགྲོ་བ་ཐ་དད་པའི་ཆོས་དེ་དག་ནི་སྒྱུ་མ་ལྟ་བུ་སྟེ། དེ་ལས་འདའ་བར་ཡང་མི་ནུས། ||| But, wise one, the phenomena of different kinds of beings are like illusions and, as such, cannot be transcended.
འགྲོ་བ་ཐ་དད་པའི་ཆོས་ནི་ཡོངས་སུ་མ་རྫོགས་པས་ན་དེ་ལས་འདའ་བར་ཡང་དཀའ། ||| The phenomena of different kinds of beings are imperfect and, as such, are difficult to transcend.
སེམས་ཅན་གྱི་ཁམས་ནི་ཕྱི་ན་ཡང་མེད། ནང་ན་ཡང་མེད་དེ། གཉིས་ཀར་ཡང་དམིགས་སུ་མེད་པས་ན། ||| The realms of beings do not exist outside, do not exist inside, and are not to be apprehended in either.
གང་སེམས་ཅན་གྱི་ཁམས་ཀྱི་དངོས་པོ་དེ་ནི་འགྲོ་བ་ཐ་དད་པའི་ཆོས་ཀྱི་དངོས་པོ་སྟེ། ||| Thus, what is an entity of the realms of beings is an entity of the phenomena of different kinds of beings.
དེ་ལས་འདའ་བར་ཡང་དཀའ་བ་དེ་ལ་ཀྱེ་རྒྱལ་བའི་སྲས་བཅོམ་ལྡན་འདས་ཀྱིས་འགྲོ་བ་ཐ་དད་པའི་ཆོས་ལས་འདས་ཤིང་འཇིག་རྟེན་ལས་འདས་པའི་ཆོས་ཐོབ་པའི་དགེ་སློང་དེ་ནི་རབ་ཏུ་བྱུང་བར་གྱུར། བསྙེན་པར་རྫོགས་པར་ཡང་དག་པར་རྫོགས་པ་སྟེ། ||| That is difficult to transcend, and it is in this respect, O heir of the victorious ones, that the Blessed One has taught that someone who has transcended the phenomena of different kinds of beings and attained the phenomena beyond the world has gone forth in the well-taught Dharma and Vinaya, has correctly taken full ordination, and is a worthy recipient of offerings who may use what is donated by the faithful.
དེ་ནི་དད་པས་བྱིན་པ་སྤྱོད་པའི་མཆོད་གནས་སུ་གྱུར་པའོ་ཞེས་གསུངས་པ་ཡང་ཀྱེ་རྒྱལ་བའི་སྲས་རྟེན་པའི་གནས་མེད་ན། ||| “O heir of the victorious ones, if there is no solid basis, what could there be to attain?
དེ་ལ་འཐོབ་པ་གང་ཅི་སྟེ་འཇིག་རྟེན་ལས་འདས་པའི་ཆོས་རྣམས་འཐོབ་པར་འགྱུར་ན་དེ་ནི་དམིགས་པར་གྱུར་པའོ། ། ||| If the phenomena beyond the world could be attained, they could be observed.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཆོས་ཉིད་ནི་མི་དམིགས་པ་སྟེ། བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་འདི་ལྟར་དགོངས་ནས་འགྲོ་བ་ཐ་དད་པའི་ཆོས་ལས་འདས་ཤིང་འཇིག་རྟེན་ལས་འདས་པའི་ཆོས་ཐོབ་པ་དེ་ནི་དགེ་སློང་ཡང་དག་པར་གྱུར་པ་སྟེ། དད་པས་བྱིན་པ་སྤྱོད་པའི་མཆོད་གནས་སོ། །དེ་ནས་བྱམས་པ་བྱང་ཆུབ་སེམས་དཔས་འཇིག་རྟེན་གྱི་དབང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ལ་སྨྲས་པ། བཅོམ་ལྡན་འདས་ཀྱིས་ཅི་ལས་དགོངས་ཏེ། ||| The true nature of the thus-gone, worthy, perfect buddhas cannot be observed, and it is from this perspective that the Blessed One taught that someone who has transcended the phenomena of the different realms of beings and attained the phenomena beyond the world is a genuine monk and a worthy recipient of offerings who may use what is donated by the faithful.”
བརྩོན་པ་མི་འདོར་བའི་དགེ་སློང་གང་གིས་གཟུགས་མི་འདོར། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་མི་འདོར་བ་དེ་ནི་རབ་ཏུ་བྱུང་བའི་དགེ་སློང་སྟེ། དེ་ནི་དགེ་བར་གསུངས་པའི་ཆོས་ཀྱིས་འདུལ་བ་ལ་ཤིན་ཏུ་རབ་ཏུ་བྱུང་བར་གྱུར་པས་ན་འདི་ལྟ་བུའི་དགེ་སློང་ནི་དད་པས་བྱིན་པ་སྤྱོད་པའི་མཆོད་གནས་སུ་གྱུར་པའོ་ཞེས་གསུངས། ||| The bodhisattva Maitreya asked the bodhisattva Lord of the World, “What did the Blessed One mean when he taught that a monk who while not discarding his perseverance does not discard form, does not discard sensation, perception, formation, or consciousness, is a monk who has gone forth; he is a monk who has fully gone forth into the well-taught Dharma and Vinaya and, as such, is a worthy recipient of offerings who may use what is donated by the faithful?”
འཇིག་རྟེན་གྱི་དབང་པོས་སྨྲས་པ། ཀྱེ་རྒྱལ་བའི་སྲས་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཉིད་ལ་དགོངས་ཏེ་ཆོས་ཀྱི་དབྱིངས་ནང་ན་ཡང་མེད། ||| The bodhisattva Lord of the World answered, “O heir of the victorious ones, what the Blessed One meant was the true nature.
ཕྱི་ན་ཡང་མེད་དེ། གཉི་གར་ཡང་དམིགས་སུ་མེད་པས་ན་ནད་མེད་པར་བཏགས་པ་དང་། མི་སྐྱེ་བར་བཏགས་པ་དང་། མི་འགག་པར་བཏགས་པ་རྣམས་གདགས་སུ་མེད་པ་སྟེ། ||| As the realm of phenomena does not exist outside, does not exist inside, and is not to be apprehended in either, to identify it as being without sickness, identify it as unborn, and identify it as not arising are not designations to be made.
སེམས་ཅན་གྱི་ཁམས་མཉམ་པ་བཞིན་དུ་ཆོས་ཀྱི་དབྱིངས་མཉམ་པ་ཉིད། ཆོས་ཀྱི་དབྱིངས་མཉམ་པ་བཞིན་དུ་སེམས་ཅན་གྱི་ཁམས་མཉམ་པ་ཉིད་དེ། ||| For the sameness of the realm of phenomena accords with the realm of beings being the same, and the sameness of the realm of beings accords with the realm of phenomena being the same.
སེམས་ཅན་གྱི་ཁམས་མཉམ་པ་ཉིད་དང་། ཆོས་ཀྱི་དབྱིངས་མཉམ་པ་ཉིད་དུ་མི་གཉིས་ཏེ། གཉིས་སུ་མེད་དོ། ། ||| The sameness of the realm of beings and the sameness of the realm of phenomena are thus not two things and cannot be separated.
དེ་མི་གཉིས་ཏེ་གཉིས་སུ་མེད་པས་ན་དེ་ལ་དོར་བ་ཡང་མེད། མི་དོར་བ་ཡང་མེད། ||| Since they are not two things and cannot be separated, there is nothing to be discarded and nothing not to be discarded.
གང་དོར་བ་ཡང་མེད། མི་དོར་བ་ཡང་མེད་པས་ན་དེ་ལ་འདའ་བ་དང་། ||| Since there is nothing to be discarded and nothing not to be discarded, it is not possible to transcend or attain anything.
ཐོབ་པར་མི་ནུས་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་འདི་ལྟར་དགོངས་ནས་གདགས་སུ་མེད་པའི་དགེ་སློང་བཏགས་པ་ལ་མི་འཇུག་གོ། ། ||| “That is what the Blessed One meant by a monk who is not to be designated not engaging in identifying things.
གང་ཡི་གེ་མེད་པའི་དགེ་སློང་ཡི་གེ་ལས་འདས་པ་སྟེ། ||| The monk without any labels transcends labels.
དེ་ལ་གྲངས་ཀྱིས་བསྟན་པར་ཡང་མི་རུང་སྟེ། ||| For him, even using a formulation to point things out is not right.
དེ་ནི་མི་འོང་མི་འགྲོ་མི་གནས་མི་འདུག་ཉལ་བར་ཡང་མི་རྟོག་གོ། ། ||| He does not come, does not go, does not stay, does not sit, and even while sleeping is without concepts.
ཞི་བ་དང་ཉེ་བར་ཞི་བ་རྣམས་མི་དམིགས་པའི་དགེ་སློང་ལ་བརྟགས་པ་སྟེ། ||| “Being at peace and bringing to peace are the criteria for monks who have no apprehending.
སྤྱོད་པ་རྣམས་ཀྱང་བརྟགས་པའོ། ། ||| The ways they behave are criteria, too.
ལོག་པ་ལ་རྣམ་པ་མང་དུ་རྟོག་པའི་དགེ་སློང་སྤྱོད་པ་ནི་མ་བརྟགས་པའོ། ། ||| The behavior of monks who have all sorts of mistaken concepts is not a criterion.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་ལྟར་དགོངས་ནས་འདི་ལྟ་བུའི་དགེ་སློང་ནི་དད་པས་སྦྱིན་པ་སྤྱོད་པའི་སྦྱིན་གནས་སུ་གྱུར་པའོ། ། ||| That is what the Blessed One meant by the former kind of monk being a worthy recipient of offerings who may use what is donated by the faithful.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྤྱན་རས་གཟིགས་དབང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ལ་དགེ་བ་བྱིན་ཏེ་ངས་དགོངས་ཏེ་བཤད་པ་བཞིན་དུ་སྐྱེས་བུ་དམ་པ་ཁྱོད་ཀྱིས་བསྟན་པ་ནི་དགེའོ་དགེའོ། ། ||| The Blessed One then gave the bodhisattva Avalokiteśvara his approval: “Wise one, you have taught in accordance with my meaning. Excellent, excellent indeed!
དགེ་བར་གསུངས་པའི་ཆོས་ཀྱི་འདུལ་བ་ལ་རབ་ཏུ་བྱུང་བ་འདི་བླ་ན་མེད་པ་དམ་པའི་ཆོས་ཀྱི་ཕྱག་རྒྱ་སྟེ། ||| To go forth into the well-taught Dharma and Vinaya is the seal of the true and unsurpassed Dharma.
འདི་ཚུལ་ཁྲིམས་ཉམས་པ་དང་། མ་དུལ་བ་དང་། ང་རྒྱལ་མངོན་པར་བྱེད་པ་རྣམས་ཀྱི་མདུན་དུ་མི་བཤད་པར་གྱིས་ཤིག ། ||| Do not teach this in the presence of those who have let their discipline deteriorate, who are untamed, and who are full of pride.
དེ་ལྟ་བུ་དེ་དག་རྣམས་ཀྱི་སྙེམས་པ་སྤང་བའི་ཕྱིར་ཕྱག་རྒྱ་འདི་ལ་གང་གིས་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཤེས་རབ་ཀྱིས་བལྟས་ཤིང་མི་དམིགས་པའི་ལུས་མངོན་དུ་བྱས་ན། ||| However, if there are such people who aim to rid themselves of their arrogance, they may use their insight to see this seal of Dharma just as it is and realize the body that is not apprehended.
དེས་ཡིད་ཀྱི་ལུས་མྱུར་དུ་འཐོབ་བོ། ། ||| If they do so they will quickly attain the mental body.
གང་གི་ཡིད་ཀྱི་ལུས་དེས་གྲངས་མེད་པའི་སེམས་ཅན་རྣམས་བྱང་ཆུབ་ཏུ་སྨིན་པར་བྱེད་དོ། ། ||| With this mental body, they will ripen countless beings to awakening.”
དེ་ནས་ཆོས་ཀྱི་གཞུང་འདི་བཤད་པའི་ཚེ་དགེ་སློང་བདུན་སྟོང་ཟག་པ་མེད་པར་མི་སྐྱེ་བའི་སེམས་རྣམ་པར་གྲོལ་བར་གྱུར། ||| As this Dharma discourse was being delivered, the minds of seven thousand monks were liberated from the defilements into the birthless state.
བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་བཅུ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར། ||| Ten thousand bodhisattvas attained acceptance that phenomena are unborn.
དམིགས་པ་ཅན་གྱི་དགེ་སློང་ལྔ་བརྒྱ་ཆོས་ཀྱི་གཞུང་འདི་མི་སྒྲུབ་ཅིང་མི་འཇུག་པ་དང་། ||| However, five hundred monks who were prone to apprehending did not practice or apply this Dharma discourse.
མ་དད་པས་ན་སྟན་ལས་ལངས་ཏེ་དོང་ངོ་། ། ||| Lacking faith in it, they rose from their seats and departed.
བཅོམ་ལྡན་འདས་ངས་དགོངས་ཏེ་གསུངས་པ་འདི་དག་འཇིག་རྟེན་ཐམས་ཅད་ཡིད་མི་ཆེས་པའི་གཉེན་པོ་ཡིན་པས་ན་ཆོས་ཀྱི་གཞུང་འདི་དམིགས་པ་དང་བཅས་པ་རྣམས་མི་འཐུན་པའོ། ། ||| The Blessed One said, “Since what I have intended and said in these teachings is the antidote for all worldly beings’ lack of trust, this Dharma discourse is not in accordance with those who apprehend things.
ཡོད་པ་མ་ཡིན་པ་ལ་བརྟེན་པ་རྣམས་དང་མི་འགལ་ཏེ། ||| It is not in contradiction with those who rely on the nonexistence of things.
དགེ་བའི་བཤེས་གཉེན་གྱིས་བཟུང་བ་རྣམས་དང་། ཟབ་མོའི་ཆོས་ལ་མོས་པ་རྣམས་དང་། སྐྱོ་ཞིང་ཆོག་ཤེས་པས་བསྙུངས་ཏེ་དབེན་པ་ལ་མངོན་པར་དགའ་བ་རྣམས་དང་། སྔོན་གྱི་སངས་རྒྱས་རྣམས་ལ་དགེ་བའི་རྩ་བ་བསྐྲུན་པ་རྣམས་ཀྱིས་ངའི་ཆོས་ཀྱི་གཞུང་འདི་ལ་སྟོན་པར་ཤེས་སོ། ། ||| Know that this Dharma discourse of mine may be taught by those under the guidance of a spiritual guide, those who find inspiration in profound teachings, those who are dissatisfied with saṃsāra, those who are content with austerity, those who delight in isolated places, and those who have accrued roots of virtue with buddhas of the past.
ཀྱེ་རྒྱལ་བའི་སྲས་འདི་ལྟ་སྟེ། ||| “O heir of the victorious ones, consider the following analogy.
དཔེར་ན་སྐྱེས་བུ་གང་ཞིག་གཉིད་ཀྱིས་ལོག་པའི་རྨི་ལམ་ན་འགྲོ་བ་མང་པོའི་མདུན་ན་སྨྲ་ཞིང་ཆོས་འཆད་ཀྱང་ཆོས་དེ་འཇིག་རྟེན་ཐམས་ཅད་ལས་མ་གྲགས་ན། ||| Although a person may mistakenly dream in their sleep that they are speaking in front of a crowd of people and teaching the Dharma, they are not actually heard by anyone in the world.
ཀྱེ་རྒྱལ་བའི་སྲས་ཅི་འགྲོ་བ་མང་པོ་དེ་རྣམས་ཡོད་དེ། གང་དེས་སངས་རྒྱས་ཀྱི་ཆོས་བཤད་པ་དང་མི་འགལ་བ་སྙམ་དུ་སེམས་སམ། ||| O heir of the victorious ones, what do you think, would the existence of those crowds not contradict that person’s teaching the buddhadharma?”
བྱམས་པས་སྨྲས་པ། རྨི་ལམ་ནི་ཡང་དག་པར་མ་མཆིས་པ་སྟེ། ||| Maitreya answered, “Dreams are not real; they are simply delusion.
འཁྲུལ་པ་ཙམ་ཞིང་མཆིས་པར་བས་ན་དེ་ངན་འགྲོ་ཕལ་པོ་ཆེ་ལ་ཆོས་འཆད་པར་གྱུར་པ་ལྟ་ག་ལ་ཞིག་མཆིས། ||| So how could he ever have taught the Dharma to crowds of people?”
ཀྱེ་རྒྱལ་བའི་སྲས་དེ་ལྟར་དེ་བཞིན་དུ་ཆོས་ཐམས་ཅད་ནི་རྨི་ལམ་དང་མཚུངས་ཏེ། ||| “O heir of the victorious ones, all phenomena are similar to dreams in the very same way, for they are not real.
ཡང་དག་པ་མ་ཡིན་པར་འབྱུང་བར་བྱུང་ནས་ཀྱང་མེད་པར་གྱུར་པ་སྟེ། ||| While they arise, they arise without existing.
ཀུན་རྫོབ་ཀྱང་འཁྲུལ་པ་ཙམ་ཞིག་ཡོད་ཀྱི་དོན་དམ་པར་ནི་མ་ཡིན་ནོ། ། ||| Although relatively they exist as mere delusion, ultimately they do not exist.
འཕགས་པའི་ཤེས་རབ་ཀྱིས་ཇི་ལྟ་བ་མངོན་དུ་བྱས་ན་བསམ་གཏན་སེམས་པའི་བསམ་གཏན་པ་ཡང་མི་དམིགས་པ་སྟེ། ||| Even when the meditation that through noble insight makes this manifest in the mind just as it is, the meditator does not apprehend it.
དེ་ལ་ཆོས་ཀྱི་ཚུལ་ཙམ་ཞིག་ཡོད་ཀྱི་ཀུན་ཏུ་བརྟགས་པ་དང་། གཞན་གྱི་དབང་ལས་ཀྱི་རྣམས་ནི་ཡོད་པ་མ་ཡིན་ནོ། ། ||| For him it exists only in the manner that phenomena do—they are imputed and the activity of dependent power, not something that exists.
དེ་ལྟར་དེ་བཞིན་དུ་ཆོས་འདི་ནི་འཇིག་རྟེན་པ་ཐམས་ཅད་དང་མི་འཐུན་པའོ། ། ||| “It is in this way that this teaching is not in accordance with worldly people.
ཆོས་འདི་དག་ལ་དམིགས་པ་རྣམས་ཀྱིས་ནི་དོན་དམ་པར་འཛིན་གྱི་འཕགས་པའི་རྣམས་ནི་མི་དམིགས་སོ། ། ||| Phenomena are taken as the ultimate truth by those who apprehend them, but the noble ones do not apprehend them.
བྱིས་པ་རྣམས་མི་ཤེས་པས་དེ་ལ་མངོན་པར་ཞེན་པས་ན་དམྱལ་བ་དང་། ཡི་དགས་རྣམས་ཀྱི་སྡུག་བསྔལ་གྱིས་ཉོན་མོངས་པ་མྱོང་བར་འགྱུར་རོ། ། ||| Childish beings cling to phenomena out of ignorance and thereby end up experiencing the afflictions of suffering in the hell realms and as hungry ghosts.
ཆོས་ཀྱི་གཞུང་འདི་ཇི་ལྟ་བ་དེ་ནི་དམིགས་པའོ། ། ||| “How this Dharma discourse is, that is apprehended.
ཇི་ལྟར་དམིགས་པ་དེ་ནི་ཆོས་ཐམས་ཅད་དོ། ། ||| How it is apprehended, so are all phenomena.
དེ་ལྟར་དུས་གསུམ་གྱི་ཆོས་ཐམས་ཅད་མཉམ་པ་ཉིད་དེ། མི་དམིགས་པས་ན་གང་དམིགས་པ་དེ་ནི་རྟོགས་པའོ། ། ||| Because the sameness of all phenomena throughout the three times is not apprehended, what is apprehended is understood.
གང་རྟོགས་པ་དེ་ནི་ཐོབ་པ། ||| What is understood is attained.
གང་ཐོབ་པ་དེ་ནི་བྱང་ཆུབ། ||| What is attained is awakening.
གང་བྱང་ཆུབ་པ་དེ་ནི་དེ་བཞིན་ཉིད། ||| What is awakening is suchness.
གང་དེ་བཞིན་ཉིད་པ་དེ་ནི་ཡང་དག་པའི་མཐའ། ||| What is suchness is the limit of reality.
གང་ཡང་དག་པའི་མཐའ་དེ་ནི་སྟོང་པ་ཉིད། ||| What is the limit of reality is emptiness.
གང་སྟོང་པ་ཉིད་དེ་ནི་མཚན་མ་མེད་པ། ||| What is emptiness is signlessness.
གང་མཚན་མ་མེད་པ་དེ་ནི་སྨོན་པ་མེད་པ། ||| What is signlessness is wishlessness.
གང་སྨོན་པ་མེད་པ་དེ་ནི་དོན་དམ་པ། ||| What is wishlessness is the ultimate.
