འཕགས་པ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Pratibhānamati
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| With palms together he bowed toward the Blessed One and said,
བཅོམ་ལྡན་འདས་ནི་བླ་མའི་མཆོག །ཁམས་གསུམ་པའི་དམ་པ། བྱང་ཆུབ་ཀྱི་བསོད་ནམས་ཀྱི་ལྷག་པའི་གཞི། སེམས་ཅན་ཐམས་ཅད་ངེས་པར་སྒྲོལ་བར་མཛད་པ། ཀུན་དུ་ཁྱབ་པའི་ཐབས་ལ་མཁས་པའི་ཕྱོགས་ཐུག་པ་མ་མཆིས་པ་ངེས་པར་ཐོབ་པར་མཛད་པ་ལགས་ན། ||| “Blessed One, you are the supreme teacher, the most eminent in the three realms, the exalted ground for the merit of awakening, the one who liberates all beings, and the one who brings about the attainment of unbounded skill in all-pervasive methods.
བཅོམ་ལྡན་འདས་མ་མཆིས་པའི་དུས་སྙིགས་མའི་རྙོག་པ་ལྔ་དང་ལྡན་པ་ལ་དུག་གསུམ་འབར་ཞིང་རབ་ཏུ་འབར་ལ། ||| Thus, Blessed One, in times to come, during the degenerate age when the five polluting degenerations manifest, the three poisons will burn and blaze forth.
གཅིག་ལ་གཅིག་གདུང་བར་བགྱིད་པའི་སེམས་ཅན་རྣམས་ཀྱི་ནང་ན་གང་ཉེས་པར་བསམ་པ་སེམས་པའི་དུས་ན་གཙོ་བོ་མ་མཆིས་ཤིང་དེ་གང་གི་ཡང་མ་ལགས་པ་དང་། རྒྱལ་པོ་དང་། བློན་པོ་ཆེན་པོ་རྣམས་ཡུལ་ལ་སྲེད་པས་ཟིལ་གྱིས་ནོན་ཏེ་ ||| Then, among those beings who inflict misery on one another there will be people with evil intentions. At that time, there will be no leader, nor anyone of this kind, and kings and high ministers will be overcome by craving for objects,
ཕན་ཚུན་མི་འཐུན་ཞིང་གཅིག་ལ་གཅིག་གཡུལ་འགྱེད་པ་དང་། ||| leading them to quarrel and wage war against each other.
དེ་དག་གཅིག་ལ་གཅིག་གཡུལ་འགྱེད་པ་ན་གཞན་དག་གི་དམག་གི་དཔུང་གི་ཚོགས་དང་། དེ་ལས་གཞན་པ་ཡུལ་གྱི་མི་ལུས་ཆབ་འཚལ་བ་རྣམས་ཀྱི་མིང་ཡང་མི་གདའ་བ་དང་། ||| When they wage war against each other, their armies of soldiers as well as the remaining civilian population will be ravaged so that not even their names will remain.
སངས་རྒྱས་ཀྱི་བསོད་ནམས་ཀྱི་མཐུས་སངས་རྒྱས་ཀྱི་སློབ་མ་གང་ཟག་བཞི་པོ་མང་པོ་དེ་དག་ཀྱང་བསྟན་པ་འདི་ལ་འཇུག་ཅིང་རབ་ཏུ་བྱུང་བའི་ཚུལ་འཐོབ་པ་དང་། ||| “Through the power of the Buddha’s merit, many among the four types of the Buddha’s disciples will enter the teachings and take on the guise of monks.
དེ་དག་ཀྱང་ཕྱི་རོལ་གྱི་གོས་ངུར་སྨྲིག་ཙམ་དང་། ཁོང་པའི་ནང་གི་འདུན་པ་དང་། ཞེ་སྡང་དང་། ཤིན་ཏུ་མ་གུས་ཤིང་ཕན་ཚུན་མི་འཐུན་ལ་གཅིག་ལ་གཅིག་སྐུར་པ་འདེབས་པར་བགྱིད་པ་དང་། ||| Yet even these people will only outwardly be cloaked in saffron robes, while inwardly they will be angry, disrespectful, disharmonious, and slanderous toward one another.
སྐྱོན་སྒྲོགས་པར་བགྱིད་པ་དང་། ཡོན་ཏན་ངེས་པར་སྦེད་པར་བགྱིད་པ་དང་། ||| They will advertise the faults of others and downplay their positive qualities.
ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། དྲེགས་པས་ནོན་ཅིང་ངར་འཛིན་པ་དང་། ང་ཡིར་འཛིན་པར་བགྱིད་པ་དང་། ||| They will be overcome by pride, conceit, and haughtiness, and will cling to the belief in me and mine.
དེ་དག་ཤི་འཕོས་ན་ཡང་ངན་སོང་གསུམ་དུ་སྐྱེ་ཞིང་ཡུད་ཙམ་ཞིག་རྙེད་པའི་དཔལ་ཡང་མ་འཚལ་བ་དང་། ||| When they pass on, they will be born into the lower realms, and they will not find even a moment of fortune.
ཚེ་རབས་གཞན་དག་ཏུ་བསྐལ་པ་མང་པོར་སྡུག་བསྔལ་གྱི་ཚོར་བ་མི་བཟད་པ། རྩུབ་པ། ཚ་བ། ཡིད་དུ་མི་མཆི་བ་དག་འབྱུང་བར་འགྱུར་བ་ཡང་མཐོང་ལགས་སོ། ། ||| In their future lives they will again encounter many eons of the terrible experiences of suffering and of harshness, heat, and displeasure.
བཅོམ་ལྡན་འདས་དེའི་སླད་དུ་སེམས་ཅན་འདི་དག་ཡོངས་སུ་སྨིན་པར་བགྱི་བ་དང་། ངན་འགྲོའི་ལམ་ལས་རྣམ་པར་བཟློག་ནས་བསོད་ནམས་ཀྱིས་གཞལ་མེད་ཁང་ཐོབ་པར་བགྱི་བའི་ཆོས་རྣམས་གང་ལགས། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| “On account of that, Blessed One, what are the teachings that will ripen them, turn them back from the paths leading to the lower realms, and enable them to attain the celestial palace due to their merit?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One answered Pratibhānamati,
སྤོབས་པའི་བློ་གྲོས་དེ་ལྟར་ཁྱོད་སེང་གེའི་སྒྲ་བསྒྲགས་པས་དེ་བཞིན་གཤེགས་པ་ལ་ཞུ་ཞིང་། ||| “Pratibhānamati, with this lion’s roar, you have asked the Thus-Gone One a question.
དེ་ལྟར་སེམས་ཅན་ཐམས་ཅད་དེ་བཞིན་གཤེགས་པ་ལ་ཆོས་ཞུ་བར་སྤྲོ་བ་སྐྱེད་པ་ ||| This sort of request for the Dharma of the Thus-Gone One stirs delight in all beings.
ལེགས་སོ་ལེགས་སོ། ། ||| Excellent, excellent!
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་རྣམས་གང་ཐོབ་ནས་ལེགས་པར་རབ་ཏུ་དཔལ་དང་ལྡན་པར་འགྱུར་ཞིང་། ||| Pratibhānamati, what attainment would make beings truly splendorous,
ནག་པོའི་ཕྱོགས་སྒྲུབ་པ་སྤངས་ནས་དཀར་པོའི་ཕྱོགས་ལ་ཞུགས་ཤིང་། དོན་ཐམས་ཅད་འགྲུབ་པར་འགྱུར་བའི་ཆོས་དེ་དག་ཁྱོད་ཞུས་ཤིག་ཞུས་ནས་ཀྱང་ ||| cause them to abandon the dark side, make them join the good side, and accomplish all aims? You should ask about such a teaching. Having done so,
ཐེ་ཚོམ་མེད་པར་ཉོན་ཅིག་དང་བཤད་པར་བྱའོ། ། ||| you must then listen without doubt and I shall explain.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ། ||| Pratibhānamati then inquired of the Blessed One,
བཅོམ་ལྡན་འདས་ལས་གང་དག་གིས་ནི་ལྷ་རྣམས་ཀྱི་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| “Blessed One, through what deeds is one reborn among the class of gods?
གང་དག་གིས་ནི་མི་རྣམས་ཀྱི་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn among the class of humans?
གང་དག་གིས་ནི་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn among hell beings?
གང་དག་གིས་ནི་དུད་འགྲོ་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn among the animals?
གང་དག་གིས་ནི་ཡི་དགས་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn among the hungry spirits?
གང་དག་གིས་ནི་རིགས་མཐོན་པོ་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn among the high castes?
གང་དག་གིས་ནི་བྲན་དང་བྲན་མོ་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ||| Through what actions is one reborn in servitude?
བཅོམ་ལྡན་འདས་ལས་གང་དག་གིས་ནི་མི་རྣམས་ཀྱི་ནང་དུ་སེམས་ཅན་སྐྱེས་པ་རྣམས་སྐལ་བ་བཟང་པོར་འགྱུར་ཞིང་ ||| Blessed One, through what actions does one become a fortunate being among humans—
ཁྱིམ་ཁོལ་དང་ལྡན་པ་དང་། ཁ་དྲི་བདའ་བ་དང་། ཁ་དོག་དང་ལྡན་པ་དང་། ||| someone who has servants, pleasant breath, a nice complexion,
མཐོང་ན་དགའ་བ་དང་། གནོད་པ་མ་མཆིས་པ་དང་། ལུས་དང་སེམས་ཤིན་ཏུ་ཐ་མལ་དུ་གནས་པ་དང་། སྐྱེ་བོ་མང་པོས་བསྔགས་པ་རྣམས་སུ་འགྱུར། ||| who is a joy to behold, who faces no harm, who is contented in body and mind, and praised by many people?
ལས་གང་དག་གིས་ནི་སེམས་ཅན་རྣམས་མིའི་དམ་པ་ཐོབ་ནས་རྟག་ཏུ་སྐུར་པ་འདེབས་པ་ཐོབ་པར་འགྱུར་ཞིང་། ||| Having already attained the excellent human state among beings, through what actions does one meet with constant slander,
སྐྱེ་བོ་མང་པོ་མི་དགའ་བ་དང་། མདོག་མི་སྡུག་པ་དང་། ཁ་དྲི་མི་བདའ་བ་དང་། ||| face the enmity of many beings, have an ugly appearance and bad breath,
གནོད་པ་མང་བ་དང་། སེམས་མི་དགའ་བ་དང་། ལུས་ཤིན་ཏུ་སྦྱངས་པ་མ་ལགས་པ་དང་། ཉེས་བྱས་ཀྱི་ལས་ཐམས་ཅད་བགྱིད་པར་འགྱུར། ||| face all sorts of adversity, have a joyless mind and an unhealthy body, and indulge in all kinds of negative actions?
བཅོམ་ལྡན་འདས་ལས་གང་དག་གིས་ནི་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་འདི་ལ་རབ་ཏུ་བྱུང་བ་ ||| “Blessed One, through what actions will those who have taken ordination in this well-spoken Dharma-Vinaya,
དགེ་སྦྱོང་དང་རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་ཉེ་བར་ཞི་བ་གཙོ་བོར་འཛིན་པ་རྣམས་གང་དང་གང་དུ་སྐྱེ་བའི་སྐྱེ་བ་ཐམས་ཅད་དུ་རྒྱུན་དུ་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་དཀོན་མཆོག་རྣམས་དང་མི་འབྲལ་བར་འགྱུར་ཞིང་། ||| as a mendicant or a noble son or daughter who values peace, never part from the Jewels of Buddha, Dharma, and Saṅgha throughout their lifetimes and wherever they may be?
སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་མཐོང་ནས་ཀྱང་དེ་དག་ལས་ཆོས་ཐོས་ནས་ཡིད་དགའ་ཞིང་ཅི་བསམས་པ་བཞིན་དུ་དོན་ཡང་གྲུབ་པར་འགྱུར། ||| Through what actions will they behold the blessed buddhas, receive the Dharma from them, delight in it, and accomplish the aims they have set their minds on?
བདག་གིས་ཞུ་བ་བཅུ་པོ་དེ་དག་ཞུས་པ་ལགས་ན་འབྱུང་པོ་གྲངས་མ་མཆིས་པ་ཐམས་ཅད་ལ་སྨན་པའི་སླད་དུ་བཅོམ་ལྡན་འདས་གསོལ་བ་མ་བཏབ་པར་དགེ་བའི་བཤེས་གཉེན་མཛད་པ། ||| “Given these ten questions of mine, please, Blessed One, spiritual teacher who acts without being requested,
ཐུགས་རྗེ་ཆེན་པོ་དང་ལྡན་པ། དབང་དང་ལྡན་པ། ||| who is endowed with great compassion and power,
ཆོས་ཐམས་ཅད་ལ་ལྐོག་ཏུ་མ་གྱུར་པའི་སྤྱན་དང་ལྡན་པས་རྣམ་པར་ཕྱེ་སྟེ་རྒྱས་པར་ལན་སྩལ་དུ་གསོལ། ||| and who discerns all phenomena with unclouded eyes, answer them extensively as a remedy for the innumerable malignant forces.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| The Blessed One replied,
སྤོབས་པའི་བློ་གྲོས་ཁྱོད་ཀྱིས་ཇི་ལྟ་བུ་ཞུ་བ་ཞུས་པ་རྣམས་རྒྱས་པར་རྣམ་པར་ཕྱེ་སྟེ་བཤད་ཀྱིས་ཉོན་ཅིག ། ||| “Pratibhānamati, I will extensively address and answer your questions, just as you have asked them. Listen well!”
ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་བཅོམ་ལྡན་འདས་དེ་བཞིན་འཚལ་ལོ་ཞེས་གསོལ་ནས། ||| The merchant Pratibhānamati responded, “Blessed One, I shall do that,” and
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| he listened as the Blessed One had instructed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ཀྱིས་ནི་ལྷ་ཉིད་ཐོབ་པར་འགྱུར་ཏེ། ||| “Pratibhānamati, beings who engage in the following five actions attain rebirth as gods.
ལྔ་གང་ཞེ་ན། ||| What are these five?
དང་པོ་བྱམས་པ་དང་ལྡན་པའི་སེམས་ཀྱིས་གནོད་པ་མེད་པར་སེམས་ཅན་རྣམས་ཡོངས་སུ་སྐྱོང་བར་བྱེད་ཅིང་བཟོད་པ་དང་ལྡན་པ་རྣམས་ཡིན། ||| (1) First, with loving minds they do no harm to beings but instead protect them and are patient.
གཞན་གྱིས་ནོར་འཕྲོག་པར་མི་བྱེད་ཅིང་བཀྲེན་པའི་སེམས་དང་ལྡན་པ་མ་ཡིན་པས་ཡོངས་སུ་གཏོང་བར་བྱེད་པ་ཡིན། ||| (2) They give generously since they are not stingy and do not steal the possessions of others.
གཞན་གྱི་ཆུང་མ་ལ་སྤྱོད་པ་རྣམས་ཀྱང་ཡོངས་སུ་དག་པ་མ་ཡིན་ཏེ། ||| (3) They guard all the bases of training given that those who enjoy themselves with the wives of others are impure.
བསླབ་པའི་གཞི་རྣམས་ཀྱང་སྲུང་བར་བྱེད་པ་ཡིན། གསོ་སྦྱོང་ལ་བརྩོན་ཞིང་བདེན་པར་སྨྲ་བ་ཡིན་ ||| (4) They naturally maintain diligence in the purification ceremony and speak the truth.
རང་བཞིན་དུ་འདུག་ཅིང་རང་གི་སྐྱོན་ཚད་མེད་པ་སྤོང་བར་བྱེད་ལ་མྱོས་པར་འགྱུར་བའི་བཏུང་བ་སྤངས་པ་ཡིན་ཏེ། ||| (5) In order to give up their own limitless faults, they forsake intoxicating beverages.
ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ལྷའི་ལུས་ཐོབ་པར་འགྱུར་རོ། ། ||| Beings who engage in these five actions attain divine bodies.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
སྲོག་ཆགས་གསོད་ལས་ལྡོག་པ་བྱས་པས་ལྷ་དང་མི་དང་ལྷ་མིན་རྣམས། །འཇིག་རྟེན་དུ་ནི་མི་ཐུབ་ལུས་ཅན་ཚེ་རིང་ནད་མེད་འགྱུར་བ་ཡིན། ། ||| “Turning away from killing living beings, no god, human, or asura In the world can conquer them; their bodies are long-lived and healthy.
འོད་ཀྱི་དཀྱིལ་འཁོར་དག་པའི་ལུས་ཅན་ཤེས་ལྡན་དྲི་མེད་རྫོགས་པའི་ལུས། ||| They have pure bodies haloed with light—bodies that are glorious, stainless, and perfect.
ལྷ་ནང་རབ་མཆོག་དེ་ཡི་ལོངས་སྤྱོད་སྣ་ཚོགས་དཔལ་ཅན་རྟག་ཏུ་འབྱུང་། ། ||| The myriad splendid sense pleasures of the highest gods are always at their disposal.
བོར་མ་ཐག་ཏུ་ལྷ་ནང་རྟག་ཏུ་ལྷ་ཡི་དབང་ཕྱུག་རྣམས་སུ་འགྱུར། ། ||| “As soon they discard this body, they will always become the lord of the gods among gods.
བསམ་མེད་བསལ་བ་འཕྲོ་བ་རྣམ་ལོག་རིན་ཆེན་ལོངས་སྤྱོད་རྣམས་དང་ལྡན། ། ||| Dispersing, distributing, and renouncing inconceivable wealth, they will find gems and opulence.
རྟག་ཏུ་དགའ་ཞིང་རབ་ཏུ་ཡིད་དགའ་དཔལ་ལྡན་གཞལ་མེད་ཁང་གནས་ཤིང་། ། ||| They will always be happy and delighted, dwelling in splendid celestial mansions.
རྩེ་ཞིང་དགའ་བའི་དཔག་བསམ་ཤིང་གི་ཡུལ་ན་མེ་ཏོག་གཏོར་ལུས་ལྡན། ། ||| Their bodies will be like flowers sprinkled in the pleasant and fine realm of the wish-fulfilling tree.
མཁས་ཤིང་འདོད་པ་མི་ཕན་ཡོངས་སྤངས་དྲི་མཆོག་དག་པའི་ལུས་དང་ལྡན། ། ||| “They are knowledgeable, without harmful desires, and have bodies with the finest fragrance.
ཚེ་རབས་ཀུན་དུ་དཔེ་མེད་གསེར་མཆོག་ལུས་དང་ལྡན་ཞིང་རབ་ཏུ་མཛེས། ། ||| Throughout all their lives, their bodies are tremendously beautiful like the finest gold.
རྟག་ཏུ་ལྷ་ཡི་ནང་དུ་སྐལ་བ་བཟང་ཐོབ་ལུས་ལས་འོད་འབྱུང་འགྱུར། ། ||| Constantly among the gods, they acquire great fortune and light streams from their bodies.
ལྷ་མོ་སྣ་ཚོགས་ཚོགས་ཀྱིས་བསྐོར་ཅིང་འདོད་པའི་དཔལ་ལ་སྤྱོད་པར་བྱེད། ། ||| They are surrounded by a host of sundry goddesses and frolic in the glories of passion.
སྔོན་ཆད་ཆོ་ག་བཞིན་དུ་ངག་སྐྱོན་བཞི་སྤངས་ཁ་ནི་དྲི་ཞིམ་ལྡན། ། ||| “They have abandoned the four verbal faults and their mouths have a lovely fragrance in accordance with previous rites.
གསལ་ཞིང་ཐོགས་མེད་མི་འཇིགས་ཚིག་མཆོག་ལྷ་རྣམས་འདིར་ནི་ངེས་པར་འབྱུང་། ། ||| These gods utter supreme words that are clear, unimpeded, and fearless.
ཡང་དག་ལན་འདེབས་རྣམ་བསྒྲགས་སྙན་ཅིང་སྐྱེ་བོས་ཤིན་ཏུ་ཚིག་གཟུང་འོས། ། ||| Their accurate responses are praised and eloquent and others find them most agreeable.
པི་བང་རོལ་མོ་སྒྲ་འབྱོར་སྤྲིན་སྒྲ་སྐད་སྙན་ཕོ་བྲང་འཁོར་སྐད་ལྡན། ། ||| Their palaces resound with the melodious and thunderous sound of strings and percussion.
མ་རྨོངས་སེམས་ཀྱིས་མྱོས་འགྱུར་མ་ལེགས་རྗོད་བྱེད་སྤངས་པས་ལྷར་འགྱུར་ཞིང་། ། ||| “With unimpaired minds, they abandoned confused and ignoble utterances and thus became gods.
གྲངས་མེད་དགེ་བའི་ལྷ་ཡིས་མཆོད་པ་ལྷ་ཡི་གནས་ན་གནས་པར་འགྱུར། ། ||| Innumerable gods of virtue worship them and they now live in divine abodes.
བློ་དང་ལྡན་ཞིང་ལུས་བརྟན་ཡིད་བཟང་བག་ཡོད་ཀུན་དང་ལྡན་པར་འགྱུར། ། ||| Intelligent, with stalwart bodies, excellent minds, and possessing all forms of conscientiousness,
དེ་དག་རྟག་ཏུ་བདེ་འགྱུར་དབང་རྣམས་དེ་དག་ཕན་པ་རྗོད་པར་བྱེད། ། ||| These beings who are always happy and powerful make beneficial speeches.
གལ་ཏེ་ཚེ་ཟད་ལྷ་ཡི་ཡུལ་ནས་ལྷུང་བའི་ལྷ་རྣམས་དེ་ཚེ་སྨད། །སྡིག་མེད་ལོ་བརྒྱ་ཉི་ཤུ་ལོན་ན་ལྷ་ཡི་གནས་སུ་འགྲོ་བར་འགྱུར། ། ||| “When their life ends, should these gods plunge from the divine abodes to a lower state, They will remain free from misdeeds, and after one hundred twenty years return to the divine abodes.
བསོད་ནམས་ལྔ་མངོན་གྱུར་པས་དེ་ནི་དམ་པ་དཔལ་ལྡན་ལུས་འོད་ཅན། ། ||| Exhibiting the five merits, their sublime and splendid bodies shine.
ལྷ་རྣམས་ལམ་སེལ་བྱེད་ཅིང་ལྷ་རྣམས་བྱེ་བས་མཆོད་དེ་བརྟན་པར་འགྲོ། ། ||| They act as beacons of the gods and millions of gods resolutely worship them.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་མི་རྣམས་ཀྱི་ནང་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| “Pratibhānamati, beings who engage in the following five actions are reborn among humans.
ལྔ་གང་ཞེ་ན། ||| What are these five?
དང་པོ་བྱས་པ་གཟོ་བས་སྦྱིན་པ་དང་། བཀྲེན་པ་དང་། དབུལ་པོ་དང་། སྡུག་བསྔལ་བ་ལ་ཀུན་བགེད་པ་དང་། ||| (1) First, they give with gratitude and provide for the poor, the destitute, and the miserable.
དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་མ་ཉམས་པར་སྟེན་པ་དང་། ||| (2) They follow the path of the ten virtues without fail.
སེམས་ཅན་ཐམས་ཅད་ལ་ཞེ་འགྲས་པ་མེད་པའི་བཟོད་པ་དང་། ||| (3) They are patient, harboring no hostility toward anyone.
བརྩོན་འགྲུས་ཀྱིས་སེམས་ཅན་ལེ་ལོ་ཅན་རྣམས་དགེ་བའི་ཆོས་ལ་སྤྲོ་བར་བྱེད་ཅིང་ ||| (4) They diligently inspire lazy beings to the virtuous Dharma.
ངེས་པའི་སེམས་ཀྱིས་གུས་པ་དང་བཅས་ལ་འཐུན་པར་འཛིན་པ་སྟེ། ||| (5) With a determined mind, they maintain harmony.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་མི་ཉིད་འཐོབ་པར་འགྱུར་ཞིང་ ||| Pratibhānamati, beings who engage in these five actions attain human lives and
ལོངས་སྤྱོད་ཀྱང་ཆེན་པོར་འགྱུར་བ་དང་། ཚེ་རིང་བ་དང་། མཛེས་པ་དང་། གཟི་བརྗིད་དང་ལྡན་པ་དང་། འཇིག་རྟེན་གྱི་རྗེ་དཔོན་དུ་འགྱུར་རོ། ། ||| grow very wealthy, long lived, beautiful, and majestic, and become lords of the world.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
སྦྱིན་པ་བྱིན་པས་མི་ཡི་རྒྱལ་པོ་དམ་པར་འགྱུར། ། ||| “Through generosity they will become great kings among humans,
རྟག་ཏུ་ལོངས་སྤྱོད་འབྱོར་དང་ལྡན་པར་རབ་ཏུ་འགྱུར། ། ||| And constantly increase their pleasure and affluence.
ལུས་ངན་པོ་དང་མཚུངས་པར་སྦྱིན་དང་སྤྱོད་པར་བྱེད། ། ||| They engage in conduct and generosity equal to Kubera himself.
རིགས་དང་དམ་པ་ཐོབ་པས་རྟག་ཏུ་དགའ་བར་འགྱུར། ། ||| With such status and excellence, they will always be delighted.
ཚུལ་ཁྲིམས་མ་ཉམས་དེ་ནི་དཀོན་མཆོག་མཆོད་པར་བྱེད། ། ||| “Their discipline unimpaired, they worship the Three Jewels.
ཉེས་བྱས་ཡོངས་སུ་སྤངས་པས་ཤིན་ཏུ་ངེས་པ་སྟེ། ། ||| Because they abandon all evil action, their resolve is firm.
