སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱང་ཐེག་པ་གཅིག་ལ་ཡང་དག་པར་ཞུགས་པ་ཤ་སྟག་སྟེ། འདི་ལྟ་སྟེ། ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| Everyone there had entered but a single vehicle: they had entered the Great Vehicle.
ཐེག་པ་མཆོག་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the supreme vehicle.
ཐེག་པ་གཙོ་བོ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the main vehicle.
ཐེག་པ་དམ་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the true vehicle.
ཐེག་པ་ཁྱད་པར་དུ་འཕགས་པ་དང་། རབ་དང་། ཕུལ་དང་། བླ་མ་དང་། བླ་མའི་ཡང་བླ་མ་དང་། བླ་ན་མེད་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the foremost vehicle—the best, the finest, and the highest vehicle. The vehicle they had entered was higher than the highest: the unsurpassed vehicle.
ཐེག་པ་མཉམ་པ་མེད་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the unequaled vehicle.
ཐེག་པ་མི་མཉམ་པ་དང་མཉམ་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the matchless vehicle.
ཐེག་པ་བསམ་གྱིས་མི་ཁྱབ་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| They had entered the inconceivable vehicle.
ཐེག་པ་གཞལ་དུ་མེད་པ་ལ་ཡང་དག་པར་ཞུགས་པ་ཤ་སྟག་གོ། ||| They had entered the unfathomable vehicle.
རིགས་ཀྱི་བུ་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་དེའི་ཚེ་ཚིག་རབ་ལ་ཐེག་པ་ཆེན་པོ་མ་གཏོགས་པར་ཐེག་པ་གཞན་གྱི་མིང་ཡང་མི་གྲག་གོ། ། ||| Noble son, under the rule of that king Attainment of Victory, vehicles other than the Great Vehicle were unheard of.
རིགས་ཀྱི་བུ་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་དེའི་བཙུན་མོའི་འཁོར་ནི་དགུ་ཁྲི་དགུ་སྟོང་ཡོད་དེ། དེ་དག་ཐམས་ཅད་ཀྱང་ཐེག་པ་གཞན་མ་ཡིན་པ་ལ་ཡང་དག་པར་ཞུགས་པ། ||| “Noble son, in his retinue of queens King Attainment of Victory had ninety-nine thousand wives, none of whom had entered any other vehicle.
ཐེག་པ་ཆེན་པོའི་ཁོངས་སུ་འདུས་པ། ཉིན་མཚན་དུ་ཆོས་འདོད་ཅིང་ཆོས་ལ་དགའ་བ་ཤ་སྟག་གོ། ། ||| They all belonged solely to the Great Vehicle, longed for the Dharma day and night, and took delight in the Dharma.
རིགས་ཀྱི་བུ་དེ་ནས་རྒྱལ་པོ་དེའི་བཙུན་མོ་དམ་པ་རིན་པོ་ཆེ་དཔལ་ཞེས་བྱ་བ་བྱང་ཆུབ་སེམས་དཔའ་སྡུད་པ། སངས་རྒྱས་པའི་ཆོས་དང་དགེ་འདུན་ལ་ཡང་དག་པར་ཞུགས་པ། ||| Noble son, that king’s primary wife Ratnaśrī, who was a beloved bodhisattva, followed the Buddha, the Dharma, and the Saṅgha.
ཐེག་པ་ཆེན་པོའི་ཁོངས་སུ་འདུས་པ། ཉིན་མཚན་དུ་ཆོས་འདོད་པ། ཆོས་ཀྱི་ཀུན་དགའ་ལ་དགའ་བ་ཞིག་ཡོད་དེ། ||| She belonged to the Great Vehicle, longed for the Dharma at all times, and found delight only in the joy of the Dharma.
རིགས་ཀྱི་བུ་རིན་ཆེན་དཔལ་དེ་ཆེན་པོ་ལ་འོས་པའི་སེང་གེའི་ཁྲི་ལ་འདུག་པ་དང་། དེའི་པང་ནས་བུ་རིན་ཆེན་འབྱུང་གནས་ཞེས་བྱ་བ་ལྷའི་རྒྱན་གྱིས་རྣམ་པར་བརྒྱན་པ། ||| “Noble son, once, while Ratnaśrī was seated upon a splendid lion throne, her son Ratnākara got down from her lap where he had been sitting in the cross-legged posture.
ལྷའི་གོས་བགོས་པ་ལུས་མཚན་དང་དཔེ་བྱད་བཟང་པོས་ལེགས་པར་བརྒྱན་པ་ཞིག་སྐྱིལ་མོ་ཀྲུང་བཅས་ཏེ་བྱུང་ནས་གཞོན་ནུ་དེ་བྱུང་མ་ཐག་ཏུ་གཞོན་ནུ་དེས་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| He was adorned with divine ornaments, attired with divine fabrics, and his body was adorned with the excellent major and minor marks. As soon as he got down, the child asked his mother,
ཡུམ་དེ་བཞིན་གཤེགས་པ་མེ་ཏོག་ལས་བྱུང་བ་དེ་འཚོའམ། ||| ‘Mother, is the thus-gone Arisen from Flowers still alive?’
དེ་ནས་རྒྱལ་མོ་རིན་ཆེན་དཔལ་དེས་གཞོན་ནུ་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| “The queen Ratnaśrī answered the young child:
བུ་གཅིག་ཀུན་མཁྱེན་འཇིག་རྟེན་མགོན། །བླ་ན་མེད་པ་དགའ་མཛད་པ། །ལྷ་དང་མི་དང་བཅས་པ་ཡི། །འཇིག་རྟེན་ན་ནི་དེ་འཚོའོ། ། ||| ‘My only son, the omniscient one, The protector of the world, The unsurpassed one who delights all— He is alive in the world of gods and humans.’
དེ་ནས་རྒྱལ་བུ་རིན་ཆེན་འབྱུང་གནས་ཀྱིས་ཕ་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| “The prince Ratnākara then said to his parents,
ཡབ་ཡུམ་ཚུར་གཤེགས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ལས་བྱུང་བ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བགྱི་བ་དང་། མཆོད་པ་དང་། བསྙེན་བཀུར་བགྱི་བ་དང་། ཆོས་མཉན་པའི་སླད་དུ་གཤེགས་སོ། ། ||| ‘Father and Mother, come here! We must go to the thus-gone, worthy, perfect buddha Arisen from Flowers in order to behold him, to pay homage and make offerings, to serve him, and to receive Dharma teachings from him.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ཡབ་ཡུམ་དེ་བཞིན་གཤེགས་པ་དེ་ནི་ལྷ་དང་མིར་བཅས་པའི་འཇིག་རྟེན་ན་དཀའ་བ་མཛད་པ་སྟེ། ||| If you wonder why we need to do so, Father and Mother, it is because the Thus-Gone One performs hardships in the world of gods and humans.
མ་གྲོལ་བ་རྣམས་གྲོལ་མཛད་མགོན། ། ||| ‘He is a protector liberating those who have not been liberated.
ལྡོངས་པ་རྣམས་ལ་མིག་སྦྱིན་མཛད། ། ||| He grants eyesight to the blind.
ཆོས་ལ་དཔའ་ཞིང་ཆེར་དཔའ་བ། ། ||| He is heroic and courageous with regard to the Dharma.
ལྷུན་པོ་ལྟ་བུར་མི་གཡོས་སོ། ། ||| He is as unwavering as a great mountain.’
དེ་ནས་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་དང་། རྒྱལ་མོ་རིན་ཆེན་དཔལ་གྱིས་བུ་དེ་བླངས་ཏེ། བཙུན་མོའི་འཁོར་དང་གཡོག་ཏུ་བཅས་པར་བཅོམ་ལྡན་འདས་དེའི་ཞབས་ཀྱི་དྲུང་དུ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་བདུན་བསྐོར་བ་བྱས་ཏེ། བརྒྱ་སྟོང་རི་བའི་མུ་ཏིག་གི་སེ་མོ་དོ་ཕུལ་ལོ། །ཕུལ་ནས་ཀྱང་འཁོར་དེ་ཉིད་དུ་འདུག་པར་གྱུར་ཏོ། ། ||| “King Attainment of Victory and Queen Ratnaśrī then brought their son and the retinue of queens and servants and went before that blessed one. They circumambulated that blessed one seven times and offered him extremely valuable pearl necklaces, after which they all sat down among the assembly.
རིགས་ཀྱི་བུ་དེ་ནས་རྒྱལ་བུ་དེས་རྫུ་འཕྲུལ་གྱི་སྟོབས་བསྐྱེད་པ་བྱས་ནས་ཤིང་ཏ་ལ་བདུན་སྲིད་ཙམ་གྱི་བར་སྣང་གི་ནམ་མཁའ་ལ་འདུག་སྟེ། བཅོམ་ལྡན་འདས་མེ་ཏོག་ལས་བྱུང་བ་དེ་ལ་རིན་པོ་ཆེའི་ཆར་དང་། མེ་ཏོག་གི་ཆར་དང་། སྤོས་ཀྱི་ཆར་རྣམས་ཀྱིས་གཏོར་མངོན་པར་གཏོར་ཏོ། ། ||| Noble son, the prince then rose up into the sky to the height of seven palm trees by means of his miraculous ability, and showered upon the blessed Arisen from Flowers a rain of jewels, flowers, and incense.
གཏོར་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| He then proclaimed to that blessed one:
སྟོན་པ་རྒལ་ནས་སེམས་ཅན་རྣམས། །སྡུག་བསྔལ་ཆུ་བོ་ཆེ་ལས་སྒྲོལ། ། ||| ‘O Teacher, you have crossed The great river of suffering, And ferry beings across it.
བདག་ནི་ཐམས་ཅད་མཁྱེན་པ་ཁྱོད། །བལྟ་བའི་སླད་དུ་འདིར་མཆིས་སོ། ། ||| I have come here to see you, Omniscient One.
འཇིག་རྟེན་མགོན་པོ་བླ་ན་མེད། །ལྷ་དང་མི་ཡི་འཇིག་རྟེན་ན། །ཁྱོད་ཀྱིས་ཡོན་ཏན་གང་བསྟན་དང་། །ཁྱོད་འདྲ་བ་ནི་ཡོང་མ་མཆིས། ། ||| ‘As the unsurpassed protector of the world, There is no one who has ever matched you, Or displayed such qualities as yours, In the world of gods and humans.
སེམས་ཅན་ཤུལ་ངན་ལྷུང་གྱུར་ཅིང་། །འདོད་ཆགས་ཞེ་སྡང་དབང་མཆིས་རྣམས། །ཐེག་པ་དམན་ལ་གཞག་མཛད་ནས། །ཐེག་པ་ཆེན་པོ་བརྗོད་པར་མཛད། ། ||| ‘You establish in the Lesser Vehicle Beings who have strayed onto negative paths, Those who are under the sway of desire and anger, And then you teach the Great Vehicle.
ཐབས་ལ་མཁས་ཤིང་དཔའ་བ་སྟེ། །ཐུགས་རྗེ་ཆེན་པོའི་དབང་དུ་གྱུར། ། ||| ‘You are skilled in means and courageous, A master of great compassion.
ཆོས་ནི་དོན་ཏེ་ཆོས་ཀྱིས་ངོམས། ། ||| The Dharma is meaningful and you are sated by the Dharma;
ཆོས་རྩོམ་ཡོན་ཏན་འབྱུང་གནས་པོ། ། ||| You set forth the Dharma and are a source of all qualities.
གང་དག་སྐྱེ་བ་མ་མཆིས་པ། །ཆོས་དེ་སྙིང་པོ་མེད་མཁྱེན་ནས། །ཆོས་ཉིད་ཀྱང་ནི་ཁྱོད་ཀྱིས་མཁྱེན། ། ||| ‘Also, knowing phenomena to be unborn And without substance, You know their true nature.
དེས་ན་ཁྱོད་ཀྱིས་དཀའ་བ་མཛད། ། ||| That is how you perform hardships.’
དེ་ནས་གཞོན་ནུ་དེས་ཚིག་འདི་དག་གིས་བཅོམ་ལྡན་འདས་དེ་ལ་བསྟོད་ནས་ཡང་བསྐོར་བ་བྱས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ཀྱི་དྲུང་དུ་འདུག་གོ། ། ||| “The young prince praised that blessed one in this manner, then circumambulated him and sat before him.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་པད་མའི་འདབ་མ་ལྟར་ཡངས་པའི་སྤྱན་གྱིས་ཕྱོགས་ཐམས་ཅད་དུ་གཟིགས་ཏེ། ||| “The Blessed One looked in all directions with his broad eyes, which resembled the petals of a lotus flower.
འཁོར་བཞི་པོ་དེ་དག་གི་སེམས་དང་སེམས་ལས་བྱུང་བ་མཁྱེན་ནས། རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| Knowing the minds and mental states of the fourfold assembly, he said to King Attainment of Victory:
རྒྱལ་པོ་ཆེན་པོ་ཕུང་པོ་ལྔ་པོ་དེ་དག་ནི་སྙིང་པོ་མེད་པ་ཡིན་ན་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་ནི་སྙིང་པོར་འདུ་ཤེས་སོ། ། ||| ‘Great King, although the five aggregates are insubstantial, childish ordinary beings think of them as being substantial.
རྒྱལ་པོ་ཆེན་པོ་ཕུང་པོ་རྣམས་ནི་ཁ་དོག་ངན་པ། དྲི་ང་བ། ཁྲག་དང་རྣག་འབྱུང་བ། ཤིང་དང་། བོང་བ་དང་། ལམ་དང་མཚུངས་པ། སྙིང་པོ་མེད་པ། གཡོ་བ་མེད་པ་དང་། དགའ་བ་དང་མི་དགའ་བར་འབྲེལ་བ། ||| Great King, the aggregates look awful; they smell terrible; they ooze pus and blood; they are like wood, clods of dirt, or roads; and they are insubstantial, inert, and interlinked with joy and sorrow.
སྲེད་པའི་ལུ་གུ་རྒྱུད་ཀྱིས་ཕན་ཚུན་སྦྲེལ་བ། ཉོན་མོངས་པ་མང་བ། ||| They are linked to each other by chains of craving, are full of affliction, and are vile.
སྨད་པ་ཡིན་ན་སྙིང་པོ་མེད་པ་ལ་སྙིང་པོར་འདུ་ཤེས། ||| Still, ordinary beings think that such insubstantial things are substantial;
མི་རྟག་པ་ལ་རྟག་པར་འདུ་ཤེས། མི་སྡུག་པ་ལ་སྡུག་པར་འདུ་ཤེས། མི་གཙང་བ་ལ་གཙང་བར་འདུ་ཤེས། བདེན་པ་མ་ཡིན་པ་ལ་བདེན་པར་འདུ་ཤེས་སོ། ། ||| they think that impermanent things are permanent, repulsive things are beautiful, unclean things are clean, and unreal things are real.
རྒྱལ་པོ་ཆེན་པོ་ཕུང་པོ་ལྔ་ནི་རང་གི་ལས་ཀྱིས་རྣམ་པར་བྲིས་པ་སྟེ་རྒྱལ་པོ་ཆེན་པོ་དཔེར་ན་རྨ་བྱའི་མཇུག་ཚོགས་ཚོན་སྣ་ལྔ་པ་དེ་ལ་རི་མོ་མཁན་གྱིས་བྲིས་པ་ཡང་མེད། ཚོན་ཀྱང་ཅི་ཡང་མེད་དེ། ||| Great King, the five aggregates are “painted” by one’s own karma. As an analogy, O Great King, there is no painter who paints the peacock’s five-colored tail, and neither is there any paint involved.
དེ་ནི་རང་གི་ལས་ཀྱིས་རྣམ་པར་བྲིས་པ་ཉིད་དོ། ། ||| Rather, it is painted by the peacock’s own karma.
རྒྱལ་པོ་ཆེན་པོ་དེ་བཞིན་དུ་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་ཀྱང་རང་གི་ལས་ཀྱིས་རྣམ་པར་བྲིས་པ་ཕན་ཚུན་གྱི་རྐྱེན་ལས་བྱུང་བ་དག་གོ། ། ||| Great King, in the same way, childish ordinary beings arise from reciprocal conditions, painted by their own karma.’
དེ་ནས་འཁོར་དེའི་ནང་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མི་ཕམ་དབང་ཕྱུག་ཅེས་བྱ་བ་དེ་སྟན་ལས་ལངས་ཏེ། བཅོམ་ལྡན་འདས་ལ་བསྐོར་བ་བྱས་ནས། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས་ལུས་བཏུད་ལུས་སྨད་དེ་སོར་མོ་བཅུ་ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| “At this point the bodhisattva great being Invincible Lord stood up among the assembly, circumambulated the Blessed One, draped his shawl over one shoulder, knelt down on his right knee, and bowed with joined palms.
བཅོམ་ལྡན་འདས་ཕུང་པོ་འདི་དག་ནི་ཁ་དོག་ངན་པ་དྲི་ང་བ། ཁྲག་དང་རྣག་འབྱུང་བ། ཤིང་དང་། བོང་བ་དང་། རྩིག་པ་དང་། ལམ་དང་འདྲ་བ། སྙིང་པོ་མ་མཆིས་པ། ||| “He said to the Blessed One, ‘Blessed One, these aggregates do look awful and smell terrible; they ooze blood and pus; they are like wood, clods of dirt, walls, or roads; they are insubstantial and inert.
གཡོ་བ་མ་མཆིས་པ་ལགས་ན་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་ནི་སྙིང་པོར་འདུ་ཤེས་ཏེ། ཡང་དག་པ་མ་ལགས་པ་ལྡོངས་པ། ||| Childish ordinary beings think that these things have substance, but these beings are like the mistaken, the blind, and the confused.
རྨོངས་པ་དང་འདྲ་བ། ||| They have fallen into bewilderment.
གཏི་མུག་ལ་གཞོལ་བ། མུན་པ་དང་རབ་རིབ་དང་། ལིང་ཏོག་གིས་ཀུན་ནས་ཁེབས་པ། ||| They are completely enveloped in darkness, obscurity, and veils.
ལྟ་བ་ཐམས་ཅད་ཀྱི་ཚང་ཚིང་ཐིབས་པོས་གཏིབས་པ་ལགས་སོ། ། ||| They are lost in the dense thicket of all their wrong views.
བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་ཕུང་པོ་བཞི་པོ་འདི་དག་ནི་ཟབ་སྟེ། ནམ་མཁའ་དང་མཚུངས་ཤིང་འདྲ་བ་ལགས་སོ། ། ||| Blessed One, these four collections of the Dharma are all profound; they are like space.
བཅོམ་ལྡན་འདས་གང་དག་འདི་ལྟ་བུའི་མདོ་སྡེའི་ཚིག་བཤད་པ་འདི་དག་ལ་ཡང་དག་པའི་འདུ་ཤེས་སྐྱེད་པའི་སེམས་ཅན་དེ་དག་འབྱུང་བར་འགྱུར་ལགས་སམ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Blessed One, will any beings ever come to understand correctly the statements that are spoken in discourses such as this?’
བཅོམ་ལྡན་འདས་མེ་ཏོག་ལས་བྱུང་བ་དེས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་གང་གི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འབྱུང་བ་དེའི་ཚེ་སེམས་ཅན་རྣམས་སྦྱང་བའི་ཕྱིར་འབྱུང་སྟེ། ||| “The blessed Arisen from Flowers answered that bodhisattva great being, ‘Noble son, whenever bodhisattva great beings manifest, it will be in order to purify beings.
མོས་པ་ཇི་ལྟ་བ་བཞིན་དུ་སེམས་ཅན་རྣམས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| They teach them the Dharma in accordance with their inclinations.
སྲེད་པས་ཉམ་ཐག་པ་རྣམས་ཀྱི་སྲེད་པ་གཅོད་དོ། ། ||| They cut through the cravings of those who are tormented by craving.
སྡུག་བསྔལ་གྱིས་ཉམ་ཐག་པ་རྣམས་ཀྱི་མྱ་ངན་སེལ་ཏོ། ། ||| They clear away the suffering of those tormented by pain.
ཆོས་ཐམས་ཅད་སྙིང་པོ་མེད་པར་ཤེས་ཏེ་ནམ་མཁའ་དང་མཚུངས་ཤིང་འདྲ་བར་ཤེས་ནས་སེམས་ཅན་རྣམས་ཆོས་ཉིད་ལ་རབ་ཏུ་འགོད་དེ། ||| Knowing all phenomena to be insubstantial and knowing them to be like space, they direct sentient beings to the nature of phenomena.
དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་སེམས་ཅན་སྦྱོང་བར་བྱེད་པ་ཞེས་བྱའོ། ། ||| Bodhisattvas are then known as purifiers of beings.’
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ལས་བྱུང་བ་དེས་སེམས་ཅན་བསྟན་པ་འདི་བཤད་པ་ན་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་བུ་དང་བཅས་པ་དང་། རྒྱལ་མོ་རིན་ཆེན་དཔལ་དེ་དང་། བཙུན་མོའི་འཁོར་དང་། གཡོག་འཁོར་དུ་བཅས་པ་ཐམས་ཅད་སྐྲ་དང་ཁ་སྤུ་བྲེགས་ཏེ་བཅོམ་ལྡན་འདས་དེ་ལས་རབ་ཏུ་བྱུང་ངོ་། ། ||| “When that blessed, thus-gone, worthy, perfect buddha Arisen from Flowers had delivered this teaching concerning sentient beings, King Attainment of Victory cut off his hair and beard. His son, as well as Queen Ratnaśrī and the retinue of queens and servants, likewise all cut off their hair and they all took ordination with the Blessed One.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| “The Blessed One now spoke to the assembly:
རིགས་ཀྱི་བུ་དག་རྒྱལ་བུ་གཞོན་ནུ་འདི་ལ་ལྟོས། ||| ‘Noble children, look at the young prince.
རིགས་ཀྱི་བུ་དག་སྐྱེས་བུ་དམ་པ་འདིས་སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དགུ་བཅུ་རྩ་དགུ་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་དེ། ། ||| Noble children, this sublime being has produced roots of virtue in the company of ninety-nine trillion buddhas.
ཐམས་ཅད་དུ་ཡང་ཆོས་སྨྲ་བར་གྱུར་ཏོ། ||| On all of these occasions he has become a Dharma preacher.
འདི་ནི་རྟག་ཏུ་སྐྱེས་བུ་དམ་པ་འདིའི་ཕར་གྱུར་ཏེ། ||| And this person here has always been the father of that sublime being.
རྟག་ཏུ་སྐྱེས་བུ་དམ་པ་འདིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་ཡོངས་སུ་སྨིན་པར་བྱས་སོ། ། ||| This sublime being has always ripened beings to unsurpassed and perfect awakening.
རིགས་ཀྱི་བུ་དག་རྒྱལ་བུ་གཞོན་ནུ་རིན་ཆེན་འབྱུང་གནས་འདི་ནི་ང་ཡོངས་སུ་མྱ་ངན་ལས་འདས་མ་ཐག་ཏུ་སངས་རྒྱས་སུ་འགྱུར་ཏེ། ||| Noble children, as soon as I pass into parinirvāṇa, the young prince Ratnākara will become a buddha.
རིན་པོ་ཆེ་དུ་མ་བཀོད་པའི་བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་དུ་འདུག་ནས། ||| He will be seated in front of the tree of awakening, which will be bedecked with various precious stones.
དེ་བྱང་ཆུབ་ཐོབ་པའི་ཚེ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། ||| When he attains awakening, he will become a thus-gone, worthy, perfect buddha.
