འཕགས་པ་འཇམ་དཔལ་གྱིས་དྲིས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Question of Mañjuśrī
འཇམ་དཔལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་བདག་པོ་ཚངས་པ་ཆེན་པོའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་གྱུར་ལ་གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་མཐུ་ཆེན་པོ་ཐོབ་པའི་རང་སངས་རྒྱས་སུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if all of the beings in this trichiliocosm were to possess the merit of a great brahmā, sovereign of a trichiliocosm, and if that merit, which is the merit of all those beings, were multiplied by many hundred sextillions, it would equal that of a pratyekabuddha who had obtained great might.
འཇམ་དཔལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ལྟ་རེ་ཤིག་ཞོག་སྟེ། ||| “Mañjuśrī, put aside this great trichiliocosm.
འཇམ་དཔལ་སངས་རྒྱས་ཀྱི་ཡུལ་གྱི་མཐའ་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་རང་སངས་རྒྱས་མཐུ་ཆེན་པོ་ཐོབ་པའི་བསོད་ནམས་དང་ལྡན་པར་འགྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་བྱང་ཆུབ་སེམས་དཔའ་སྲིད་པའི་ཐ་མར་གྱུར་པ་གཅིག་ཏུ་འགྱུར་རོ། ། ||| Mañjuśrī, if all the beings in the domain of the buddhas, the realm of the worlds of the ten directions, were to possess the merit obtained by a pratyekabuddha who had obtained great might, and if that merit, which is the merit of all of those beings, were multiplied by many hundred sextillions, it would equal that of a single bodhisattva in their final existence.
འཇམ་དཔལ་ནམ་མཁའི་ཁམས་ཀྱི་མཐའ་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་སྒོ་ང་ལས་སྐྱེས་པ་དང་། མངལ་ལས་སྐྱེས་པ་དང་། དྲོད་གཤེར་ལས་སྐྱེས་པ་དང་། རྫུས་ཏེ་སྐྱེས་པ་དང་། གཟུགས་ཡོད་པ་དང་། གཟུགས་མེད་པ་དང་། འདུ་ཤེས་ཡོད་པ་དང་། འདུ་ཤེས་མེད་པ་དང་། འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་གྱི་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་སྲིད་པའི་ཐ་མར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་གྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་སྤུའི་ཁུང་བུ་གཅིག་ཏུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if all of the beings in the realm of the worlds of the ten directions of space—beings born from an egg, born from a womb, born from heat and moisture, and born miraculously; those with form and those without; and those with perception, those without perception, and those with neither perception nor nonperception—were to possess the merit of a bodhisattva in their final existence, and if that merit, which is the merit of all of those beings, were multiplied by many hundred sextillions, it would equal that of a single hair pore on the body of the Tathāgata.
དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་སྤུའི་ཁུང་བུ་བརྒྱ་སྟོང་ཕྲག་དགུ་བཅུ་རྩ་དགུ་རེ་རེ་ནས་འགྲུབ་པར་འགྱུར་ཏེ། ||| Each of the nine million nine hundred thousand hair pores on the body of the Tathāgata are established in the same way.
འཇམ་དཔལ་གང་སྤུའི་ཁུང་བུ་ཐམས་ཅད་དུ་གཏོགས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་དཔེ་བྱད་བཟང་པོ་གཅིག་ཏུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if the merit that is equal to the merit contained in all those hair pores were multiplied many hundred sextillions, it would equal that of one of the eighty excellent signs on the body of the Tathāgata.
དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུ་རེ་རེ་ནས་འགྲུབ་པར་འགྱུར་ཏེ། ||| Each of the eighty excellent signs is established on the body of the Tathāgata in the same way.
འཇམ་དཔལ་དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུར་གཏོགས་པའི་གང་བསོད་ནམས་ཀྱི་ཕུང་པོ་ཇི་སྙེད་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་དེ་བཞིན་གཤེགས་པའི་ཕྱག་གམ་ཞབས་གཅིག་རི་མོའི་རྗེས་ཀྱི་མཚན་དུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if that merit, which is the merit contained in the eighty excellent signs, were multiplied by many hundred sextillions, it would be like that of one of the designs marking the Tathāgata’s hands and feet.
དེ་ལྟར་རི་མོའི་རྗེས་ཀྱི་མཚན་བརྒྱད་ཅུ་ལ་འདི་ལྟ་སྟེ། ||| “The eighty designs are as follows:
གདུགས་དང་། རྒྱལ་མཚན་དང་། དཔལ་བེའུ་དང་། ཕྲེང་བ་དང་། ཀྱོ་བ་ཐང་དང་། ཅོད་པན་དང་། དབྱིག་ཏོ་དང་། བུམ་པ་དང་། གླང་པོ་དང་། རྟ་དང་། སྟག་དང་། ཆུ་སྲིན་དང་། ཉ་དང་། རུས་སྦལ་དང་། རྨ་བྱ་དང་། ཀ་ལ་པིང་ཀ་དང་། ཤང་ཤང་ཏེའུ་དང་། ཙཱ་ཤ་དང་། ངུར་པ་དང་། ནེ་ཙོ་དང་། ངང་པ་དང་། ཐི་བ་དང་། ནས་དང་། སྨན་ཆེན་པོ་དང་། འོད་མ་དང་། བ་མེན་དང་། ཀླུ་དང་། ར་དང་། ཁྱུ་མཆོག་དང་། རི་དང་། བིལ་བ་དང་། ཤིང་དང་། རི་དགས་ནག་པོ་དང་། ནོར་བུ་རིན་པོ་ཆེ་དང་། རལ་གྲི་མཆོག་དང་། རྡོ་རྗེ་དང་། གཞུ་དང་། མདའ་དང་། ཤག་ཏི་དང་། མདུང་རྩེ་གསུམ་པ་དང་། གཤོལ་དང་། གཏུན་དང་། སྟ་རེ་དང་། ཞགས་པ་དང་། གྲུ་དང་། མུ་ཏིག་གི་རྒྱན་དང་། སྤྲིན་དང་། ཚངས་པ་དང་། དབང་པོ་དང་། འཁོར་སྲུང་པོ་དང་། ཆུའི་ལྷ་དང་། འཕགས་སྐྱེས་པོ་དང་། མིག་མི་བཟང་དང་། ནོར་སྦྱིན་དང་། དྲང་སྲོང་ཆེན་པོ་དང་། དཔལ་དང་། ཉི་མ་དང་། ཟླ་བ་དང་། མེ་དང་། རླུང་དང་། པད་མོ་དང་། གཡུང་དྲུང་དང་། གྲུ་གསུམ་དང་། དགེ་བའི་སྟན་དང་། མེ་ལོང་དང་། རྔ་ཡབ་དང་། རྩྭ་དུར་བ་དང་། པུ་རོ་ད་ཤ་དང་། ཁྱེའུ་དང་། བུ་མོ་དང་། རྔ་དང་། དུང་དང་། སྨྲིག་དང་། གདུ་བུ་དང་། དཔུང་རྒྱན་དང་། རྣ་ཆ་དང་། སོར་གདུབ་དང་། རྣ་ཆ་ཕྱང་ཕྲུལ་ཅན་དང་། མེ་ཏོག་བཟང་པོ་དང་། དཔག་བསམ་གྱི་ཤིང་དང་། འཁོར་ལོ་དང་། དཔུང་གི་སེང་གེ་དང་། འདི་རྣམས་ནི་རི་མོའི་རྗེས་ཀྱི་མཚན་བརྒྱད་ཅུ་ཡིན་ཏེ ||| (1) a parasol, (2) a victory banner, (3) a śrīvatsa, (4) a garland, (5) a hook, (6) a diadem, (7) a staff, (8) a vase, (9) an elephant, (10) a horse, (11) a tiger, (12) a makara, (13) a fish, (14) a turtle, (15) a peacock, (16) a kalaviṅka bird, (17) a partridge, (18) a cāṣa bird, (19) a cakravāka shelduck, (20) a parrot, (21) a goose, (22) a dove, (23) barley, (24) the great medicine, (25) bamboo, (26) a gayal, (27) a nāga, (28) a goat, (29) a bull, (30) a mountain, (31) a bilva fruit tree, (32) a black antelope, (33) a precious jewel, (34) a supreme sword, (35) a vajra, (36) a bow, (37) an arrow, (38) a lance, (39) a trident, (40) a plow, (41) a mace, (42) an axe, (43) a lasso, (44) a boat, (45) a pearl ornament, (46) a cloud, (47) Brahmā, (48) Indra, (49) Dhṛtarāṣṭra, (50) Varuṇa, (51) Virūḍhaka, (52) Virūpākṣa, (53) Dhanada, (54) a great sage, (55) Śrī, (56) a sun, (57) a moon, (58) a fire, (59) wind, (60) a lotus, (61) a nandyāvarta, (62) a triangle, (63) an excellent throne, (64) a mirror, (65) a tail whisk, (66) dūrvā grass, (67) puroḍāśa cake, (68) a boy, (69) a girl, (70) a drum, (71) a conch, (72) a mṛdaṅgadrum, (73) a bracelet, (74) an armband, (75) an earring, (76) a ring, (77) a dangling earring, (78) an excellent flower, (79) a wish-granting tree, and (80) a lion at the center of a wheel. These are the eighty designs.
འདི་དག་ནི་དེ་བཞིན་གཤེགས་པའི་ཕྱག་དང་ཞབས་ཀྱི་མཐིལ་ལས་བྱུང་ངོ་། ། ||| They appear on the palms of the Tathāgata’s hands and the soles of his feet.
འཇམ་དཔལ་གང་མཚན་བརྒྱད་ཅུའི་རི་མོར་གཏོགས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་བསྒྱུར་བས་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་གཅིག་ཏུ་འགྱུར་ཏེ ||| “Mañjuśrī, if that merit, which is the merit contained in those eighty designs, were multiplied by many hundred sextillions, it would be like one of the signs of a great being on the Tathāgata’s body;
དེ་བཞིན་དུ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་རེ་རེར་འགྱུར་རོ། ། ||| each of the thirty-two signs of a great being are established in the same way.
འདི་ལྟ་སྟེ། ||| They are as follows:
