༄༅། །རྒྱ་གར་སྐད་དུ། པཉྩ་ཤིཀྵྱཱ་ནུ་སྃ་ས་སཱུ་ཏྲ། བོད་སྐད་དུ།
བསླབ་པ་ལྔའི་ཕན་ཡོན་གྱི་མདོ། འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་གུས་པས་ཕྱག་འཚལ་ལོ། ། ||| The Sūtra on The Benefits of the Five Precepts Homage, with devotion, to the noble Three Jewels.
སྡིག་པ་དུ་མ་དང་ལྡན་པ་དང་། ཡི་དགས་ཀྱི་སྐྱེ་གནས་སུ་སྐྱེ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེ་བ་དང་། དམྱལ་བའི་སྐྱེ་གནས་སུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| It is accompanied by many wrongdoings and leads to rebirth in the realm of ghosts, the animal realm, and the hell realms.
དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་དམྱལ་བ་ཡང་སོས་སུ་སྐྱེའོ། ། ||| After the destruction of the body, after death, one will be born in the Reviving Hell.
དེ་ནི་དམྱལ་བ་ཡང་སོས་དམྱལ་བའི་སྲུང་མས་ཡང་དག་པར་སྲེག་པ་དང་མཚོན་སྣ་ཚོགས་པ་བཟུང་ནས་དུམ་བུར་གཅོད་ཅིང་ལུས་ལ་བུག་པ་འབུགས་པར་བྱེད་དོ། ། ||| There, the guardians of the Reviving Hell will thoroughly roast one’s body, and then cut it to pieces with a variety of blades and gouge holes in it.
རྣམ་པ་ལྔ་ཡིས་བཅིང་ངོ་ཞེས་པས་ལས་བྱེད་ཅིང་བྱེད་ལ། དམྱལ་བའི་སེམས་ཅན་དེ་ཡང་དང་ཡང་དུ་ཤི་ནས་ཡང་དང་ཡང་དུ་འཚོ་བས་ན་ཡང་སོས་སུ་སྐྱེའོ། ། ||| Forced to undergo the so-called “fivefold ordeal,” the denizens of this hell repeatedly die and are repeatedly revived and reborn in the Reviving Hell.
དེ་རྣམས་དེ་ལ་ཡང་སོས་ཀྱི་སྡུག་བསྔལ་དྲག་པོ་རྩུབ་པ་ཚ་བ་འཇོམས་ཤིང་འཇོམས་ལ་གང་ཞིག་ལ་ཐམས་ཅད་ལྕི་ཞིང་སྲོག་བཅད་པའི་རྣམ་པར་སྨིན་པ་དེའོ། ། ||| “The karmic fruition for those who weightily take life is to be overwhelmed again and again by all these terrible, harsh, and intense sufferings of the Reviving Hell.
དེ་མིར་སྐྱེས་ཀྱང་ཚེ་ཐུང་བར་འགྱུར་རོ། །དབང་པོ་ཡོངས་སུ་མ་ཚང་བར་འགྱུར་རོ། ། ||| Even if they are reborn as a human, their lives will be short, their sense faculties defective.
གཟུགས་ངན་པ་དང་། ཤེས་རབ་འཆལ་པ་དང་། རྟག་ཏུ་སྐྲག་པ་དང་། རྟག་ཏུ་ཁྲོ་བ་དང་། ||| They will be ugly, lacking insight, always fearful, and always angry.
ནད་དང་བཅས་པ་དང་། མྱ་ངན་དང་བཅས་པ་དང་། དགའ་བ་དང་འབྲལ་བ་དང་། ||| They will be disease ridden, full of sorrow, and devoid of joy.
ཐམས་ཅད་དང་འབྲལ་བ་དང་། རྟག་ཏུ་ཡུན་རིང་དུ་འབྲལ་བར་འགྱུར་རོ། ། ||| They will have nothing, and they will have nothing for a very long time.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། སྐྱེ་བ་ལྔ་བརྒྱར་ཡི་དགས་དང་། །ཉ་སྦྲུལ་རི་དགས་འུག་པ་དང་། །མ་ཧེ་ཁྱི་དང་ཝ་རྣམས་ནི། །སྲོག་བཅད་པ་ཡི་ཉེས་པའོ། ། ||| For that reason, the Bhagavān has said: “Being reborn for five hundred rebirths As ghosts, fish, snakes, game, owls, Water buffalos, dogs, and foxes Is the harm that ensues from having killed.”
འདི་ནི་སྲོག་བཅད་པའི་རྣམ་པར་སྨིན་པའོ། །སྲོག་གཅོད་པ་ནི་སྤངས་པ་ཡིས། །སྐྱེས་པའམ་ནི་བུད་མེད་ལུས། ། ||| This is the karmic fruition of killing.
ཐོབ་པར་འགྱུར་ཏེ་ཕན་ཡོན་ནི། །ཡོན་ཏན་ཉི་ཤུ་མི་དམན་པར། །ཡན་ལག་ཉིང་ལག་ཕུན་སུམ་ཚོགས། །ལུས་ནི་ཤེད་དང་ལྡན་པ་དང་། །རིགས་བཟང་པོར་ནི་མྱུར་དུ་སྐྱེ། ། ||| “Those who refrain from killing Will obtain the body of a man or woman And the benefits they reap will be The full twenty of these qualities: “Their limbs and minor body parts will be perfect, Their bodies will be strong, They will be reborn immediately in a good family, And their limbs will be beautiful and soft.
ཡན་ལག་གཙང་ཞིང་འཇམ་པ་དང་། །ཚེ་རིང་བ་དང་བདེ་བ་དང་། །དཔའ་ཞིང་སྟོབས་དང་ལྡན་པ་དང་། །ཚིག་ནི་མཆོག་ཏུ་བཟང་བ་དང་། །ལྷ་དང་བཅས་པ་དགའ་བ་དང་། ། ||| “Their lives will be long and happy, They will be courageous and strong, Their words will be most eloquent, And they will experience divine joy.
འཇིག་རྟེན་པ་ཡིས་ངན་མི་བྱེད། །འཕགས་པས་ཚིག་ངན་མི་བརྗོད་དང་། །བྱད་སྟེམས་ངན་པས་མི་འཆི་ཞིང་། །མཐའ་ཡས་པ་ཡི་འཁོར་དང་ལྡན། ། ||| “They will not be harmed by worldlings Or criticized by noble ones; They will not die through black magic, And they will have an infinite retinue.
ཁ་དོག་གཟུགས་དང་ཡང་དག་ལྡན། །ནད་དང་མྱ་ངན་ཉུང་བ་དང་། །ཁྱིམ་གྱི་གནས་ནི་མི་སྤོང་དང་། །གཞན་གྱིས་མི་དགར་མི་འགྱུར་རོ། ། ||| “They will have a perfect complexion and form, They will have few illnesses and afflictions, They will not have to leave their homes, And they will not be made unhappy by others.
སྲོག་གཅོད་པ་ནི་སྤངས་པ་ཡིས། །སྐྱེས་པའམ་ནི་བུད་མེད་ཀྱིས། །ཕན་ཡོན་འདི་ནི་མྱོང་བར་འགྱུར། །ལྷ་རྣམས་དང་ནི་མི་རྣམས་སུའོ། ། ||| “A man or a woman, By refraining from killing, Will experience these benefits As a deva or as a human.
དེ་ལུས་ཞིག་ཅིང་ཤི་ནས་བདེ་འགྲོ་མཐོ་རིས་ལྷའི་འཇིག་རྟེན་དུ་ཉེ་བར་སྐྱེའོ། ། ||| “After the destruction of the body, after death, they will be reborn in a happy rebirth-destiny, in heaven, in a deva world.
མ་བྱིན་པར་ལེན་པ་ནི་མ་བྱིན་པར་ཕ་རོལ་གྱི་རྫས་རྣམ་པར་ཤེས་པ་དང་བཅས་པ་དང་། རྣམ་པར་ཤེས་པ་མེད་པ་གང་རུང་ཁང་པ་ཕུག་ནས་རྐུ་བ་ལ་སོགས་པའོ། །ཕ་རོལ་བསླུས་ནས་ལེན་པ་དང་། ||| “Stealing means robbing another’s possessions, which have not been given, from their house or room and so on, whether consciously or unconsciously.
རང་འཚོ་བའི་ཕྱིར་དེ་རྣ་མས་དེ་ལྟ་བུའི་རིམ་པས་མ་བྱིན་པར་ལེན་པ་དེ་དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་ངུ་འབོད་དུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Those who take from others by deception in order to make a living likewise eventually take what has not been given and will, after the destruction of the body, after death, be reborn in the Wailing hells.
ངུ་འབོད་ཅེས་པའི་མིང་ནི་ངུ་འབོད་གཉིས་ཏེ། འབར་བའི་ངུ་འབོད་དང་། དུ་བའི་ངུ་འབོད་དོ། ། ||| “There are two hells called Wailing: the Wailing Hell of Flames and the Wailing Hell of Smoke.
འབར་བའི་ངུ་འབོད་ནི་ཚེ་བསྐལ་པ་གཅིག་ཏུ་གནས་སོ། ། ||| In the Wailing Hell of Flames, life lasts for one cosmic age.
བར་བར་དུ་མེ་འབར་བས་ཡོངས་སུ་གང་བའོ། ། ||| At intervals, the entire hell is filled with a blazing fire.
དུ་བའི་ངུ་འབོད་ནི་དུ་བ་འཚུབ་ཅིང་དེ་གཉིས་ལ་མེ་འབར་བས་ངུ་འབོད་དུ་སེམས་ཅན་དམྱལ་བ་རྣམས་འཚེད་དོ། ། ||| In the Wailing Hell of Smoke, fumes billow. In both, the denizens of the Wailing hells are cooked by flames.
བུ་ག་དགུ་ནས་མེ་འབྱུང་ཞིང་ལུས་སྲེག་གོ། །འདི་ནི་དུ་བའི་ངུ་འབོད་དོ། ། ||| Fire comes out of their nine orifices and scorches their bodies.
དུ་བའི་ངུ་འབོད་ནི་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་འཚེད་དོ། ། ||| In the Wailing Hell of Smoke, beings are cooked as denizens of hell.
བུ་ག་དགུ་ནས་དུ་བ་འཚུབ་ཅིང་འབྱུང་ངོ་། །ཇི་ལྟར་ཟན་འཚེད་པ་ལྟར་ལུས་འཚེད་དོ། ། ||| Fumes come billowing from their nine orifices, and their bodies are cooked like food.
སེམས་ཅན་གཉིས་ཀ་མྱ་ངན་གྱི་སྒྲ་ཆེན་པོ་སྒྲོགས་སོ། ། ||| The beings in both scream in torment.
དེ་དག་ནི་དེར་སྡུག་བསྔལ་དྲག་ཅིང་རྩུབ་པ་དང་ཚ་བ་མྱོང་བར་འགྱུར་རོ། ། ||| There they experience terrible, harsh, and intense sufferings.
མ་བྱིན་པར་ལེན་པ་ནི་དགེ་སློང་དག་སྦྲུལ་དུག་ཅན་དང་འདྲ་བར་བལྟ་བར་བྱའོ། ། ||| “Stealing, monks, should be regarded as being like a venomous snake.
དམྱལ་བར་འཇུག་པ་དང་། ཡི་དགས་ཀྱི་ཡུལ་དུ་འཇུག་པ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| It leads to rebirth in the hells, in the realm of ghosts, and as animals.
གང་ཞིག་མ་བྱིན་པར་ལེན་པའི་རྣམ་པར་སྨིན་པ་ནི་ཤིན་ཏུ་ཆེན་པོའོ། ། ||| The karmic fruition for anyone who steals is very grave.
མིར་སྐྱེས་ཀྱང་ལོངས་སྤྱོད་རྣམས་ཉམས་པར་འགྱུར་བ་དང་། མ་བྱིན་པར་བླངས་པའི་སེམས་ཅན་གྱི་ལག་ཏུ་དངོས་པོ་ཅུང་ཟད་ཀྱང་འཆགས་པར་མི་འགྱུར་རོ། ། ||| Even if reborn as a human, their resources will be depleted, and those who have taken what has not been given will be unable to hold on to even the smallest things.
བཟའ་བ་དང་། བཏུང་བ་དང་། གོས་དང་། སྟན་ལ་སོགས་པ་རྙེད་དཀའ་བར་འགྱུར་བ་དང་། ||| It will be difficult for them to obtain food, drink, clothing, a mat, and so forth.
རྒྱུན་མི་འཆད་པར་ཟུག་རྔུ་ཅན་དང་། གཞན་སྡང་བ་དང་། འཚེ་བར་འགྱུར་རོ། ། ||| They will be in constant discomfort and will be hateful and hostile toward others.
གང་དང་གང་རྙེད་པ་དེ་དང་དེ་ནི་ཉམས་པར་འགྱུར་རོ། །གཞན་གྱིས་ལོངས་སྤྱོད་པར་འགྱུར་རོ། ། ||| Whatever they do manage to obtain they will lose again, and others will enjoy it instead.
གང་འདོད་པའི་ལོངས་སྤྱོད་ནི་རྙེད་དཀའ་བར་འགྱུར་རོ། །དངོས་པོ་ཡོད་པ་རྣམས་འཕེལ་བར་མི་འགྱུར་རོ། ། ||| What they desire will be difficult to obtain, and things they already possess will not be productive.
བདེ་བ་དང་འབྲལ་བར་འགྱུར་རོ། ། ||| They will be devoid of happiness.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ། འདིར་ནི་དབུལ་དང་བཀྲེན་པ་དང་། །གཟུགས་ངན་ཉེ་བར་འཚེ་བ་དང་། །རིགས་ངན་དུ་ནི་སྐྱེ་བ་ནི། །མ་བྱིན་ལེན་པའི་ཉེས་པའོ། ། ||| For that reason, the Bhagavān has said: “In this life, poverty and destitution, Ugliness and misery, And birth in a low social status Are the harms that ensue from having stolen.”
མ་བྱིན་པར་ལེན་པའི་རྣམ་པར་སྨིན་པའོ། །མ་བྱིན་ལེན་པ་སྤངས་པ་ཡིས། ། ||| This is the karmic fruition of stealing.
སྐྱེས་པ་འམ་ནི་བུད་མེད་ནི། །ཐོབ་པར་འགྱུར་ཏེ་ཕན་ཡོན་ནི། །ཡོན་ཏན་ཉི་ཤུ་མི་དམན་པར། །རྟག་ཏུ་འབྲུ་ནི་མང་བ་དང་། །མཐའ་ཡས་ལོངས་སྤྱོད་ཕུན་སུམ་ཚོགས། ། ||| “Those who refrain from stealing Will obtain rebirth as a man or a woman And the benefits they reap will be The full twenty of these qualities: “Their grain will always be abundant, Their resources endless and fulsome.
སྔར་མེད་པ་ནི་རབ་ཏུ་འཕེལ། །འདོད་པ་རྣམས་ནི་བརྟན་པ་དང་། ། ||| What was lacking before will be plentiful, And their desires will be stable.
གཟུགས་སྒྲ་རོ་དང་དྲི་དང་ནི། །རེག་བྱ་རྣམས་ནི་ཡིད་དུ་འོང་། ། ||| “All visible forms, sounds, tastes, smells, And tactile sensations will be pleasant.
དོན་དུ་གཉེར་བ་ཐམས་ཅད་ལ། །བསམ་པ་ཐམས་ཅད་མྱུར་དུ་འགྲུབ། ། ||| Every purpose for which they strive, And every intention, will be swiftly achieved.
དེ་ལ་རྒྱལ་པོ་ཆོམ་རྐུན་དང་། །མི་མཛའ་བ་ཡིས་མི་འཕྲོགས་དང་། ། ||| “They will not be robbed, Neither by kings nor thieves nor enemies.
མི་འམ་ཡང་ན་ཆུ་དང་ནི། །དེ་རྣམས་ཀྱིས་ནི་འཚེ་མི་འགྱུར། ། ||| They will be impervious to harm, Even by fire and water.
འདི་འདྲ་བ་ཡི་ལོངས་སྤྱོད་ལྡན། །གང་ཞིག་སྟེར་དང་ཟ་བ་ལ། །མེད་ཅེས་པ་ནི་འབྱུང་མི་འགྱུར། །རྟག་ཏུ་བདེ་བར་གནས་པ་དང་། ། ||| “Their resources will be such That when it comes to gifts and food They will never say ‘no’ And will always live in comfort.
མ་བྱིན་ལེན་པ་སྤངས་པ་ཡིས། །སྐྱེས་པ་འམ་ནི་བུད་མེད་ལ། །ཐོབ་པར་འགྱུར་ཏེ་ཕན་ཡོན་ནོ། །ལྷ་རྣམས་དང་ནི་མི་རྣམས་སུའོ། ། ||| “A man or a woman, By refraining from stealing, Will experience these benefits As a deva or as a human.
དེ་ལུས་ཞིག་ཅིང་ཤི་ནས་བདེ་འགྲོ་མཐོ་རིས་དང་ལྷའི་འཇིག་རྟེན་དུ་ཉེ་བར་སྐྱེའོ། ། ||| “After the destruction of the body, after death, they will be reborn in a happy rebirth-destiny, in heaven, in a deva world.
འདོད་པ་རྣམས་ལ་ལོག་པར་གཡེམ་པས་ནི་འཚོ་བའི་འཇིག་རྟེན་འདིར་འདོད་པར་བྱེད་པ་ནི། དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་ངུ་འབོད་ཆེན་པོར་སྐྱེ་ཞིང་ལྟུང་བར་འགྱུར་རོ། ། ||| “Those who are lustful and commit acts of sexual misconduct in this world, after the destruction of the body, after death, will fall and be reborn in the Loud Wailing Hell.
དེ་ནས་ཕྱི་རུ་ཆུ་བོ་རབ་མེད་ཀྱི་ངོགས་གཉིས་སུ། ཤལ་མ་ལིའི་ནགས་དཔག་ཚད་བརྒྱད་ཅུ་གྱེན་དུ་མཉམ་ཞིང་མཐོ་བ། ཚེར་མ་སོར་བཅུ་དྲུག་པ་ཡལ་ག་རྣམས་ཐུར་ལ་འཕྱང་བ། ||| Outside, on both banks of the unfordable Vaitaraṇī River, is the Forest of Silk Cotton Trees, equally high, extending upward for eighty yojanas, with thorns sixteen finger-widths in length and downward-hanging branches.
ལུས་པོ་རྒྱང་གྲགས་བཅུ་གཉིས་དང་ལྡན་ཞིང་ལུས་ལ་མེ་གྱེན་དུ་འབར་བ། དཔག་ཚད་དྲུག་ཅུར་གྱེན་དུ་འགྲོ་ཞིང་དེ་ལ་རྟག་ཏུ་སྣ་ཚོགས་པའི་མཚོན་གྱིས་ཕན་ཚུན་དུ་གསོད་ཅིང་། དེ་ནི་ཤལ་མ་ལིའི་ཤིང་གི་ནགས་ལ་ཤོན་ནོ། ། ||| Bodies the size of twelve earshots, with flames climbing up their bodies, ascend sixty yojanas, and there they perpetually kill one another with various weapons, which are the leaves of the Forest of Silk Cotton Trees.
ལོ་སྟོང་ཕྲག་མང་པོར་ཤིང་གི་ཚེར་མ་ལ་འཛེག་གོ། ། ||| For many thousands of years they will climb on the thorns of those trees.
གཞན་ཡང་དམྱལ་བའི་སྲུང་མ་རྣམས་ཀྱིས་མཚོན་བླངས་ནས་བརྒྱབ་པས་ངུ་ཞིང་མགོ་ཐུར་ལ་བསྟན་ནས་ལྷུང་ངོ་། ། ||| Moreover, they will be struck with weapons by the guardians of this hell.
ལྷུང་བའི་དུས་སུ་ལྕགས་བསྲེགས་ཀྱི་ས་གཞིར་གསལ་ཤིང་བཙུགས་པ་རྣམས་ལ་ལྷུང་ངོ་། །དེ་རྣམས་བཤང་ལམ་ནས་འཐོན་པས། དེ་རྣམས་ཀྱིས་སྡུག་བསྔལ་མྱོང་བར་འགྱུར་རོ། ། ||| Crying out, they will fall headlong, and when they land they will be impaled on sharpened stakes set into a ground of burning iron, so that the stakes emerge from their anuses, causing extreme pain.
རྒྱུན་དུ་ངུ་ཞིང་དཔག་ཚད་དྲུག་ཅུ་པའི་ལྕགས་ཀྱི་བུམ་པར་བསྐལ་པ་གཅིག་ཏུ་སྡོད་དོ། །མེ་མདག་གིས་ཡོངས་སུ་གང་བར་དམྱལ་བའི་སྲུང་མ་རྣམས་ཀྱི་ཁར་ལྡུགས་སོ། ། ||| Constantly wailing, they will stay for an eon in an iron pot sixteen yojanas wide and completely filled with burning coals, which the guardians of hell shove into their mouths.”
