༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
དེའི་ཚེ་བཅོམ་ལྡན་འདས་མཉན་ཡོད་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ན། འཁོར་བཞི་དང་། རྒྱལ་པོ་དང་། རྒྱལ་པོའི་སྲས་དང་། རྒྱལ་པོའི་བློན་པོ་ཆེན་པོ་དང་། ཆགས་འོག་གི་རྒྱལ་ཕྲན་དང་། རྒྱལ་པོའི་ཞབས་འབྲིང་བ་དང་། རྒྱལ་རིགས་དང་། བྲམ་ཟེ་དང་། ཚོང་དཔོན་དང་། ཁྱིམ་བདག་དང་། བློན་པོ་དང་། འཁོར་གྱི་མི་དང་། གྲོང་ཁྱེར་པ་དང་། ཡུལ་གྱི་མི་དང་། མུ་སྟེགས་ཅན་དང་། དགེ་སྦྱོང་དང་། བྲམ་ཟེ་དང་། དཔྱོད་པ་པ་དང་། ཀུན་ཏུ་རྒྱུ་སྣ་ཚོགས་ཀྱིས་རིམ་གྲོར་བྱས། བླ་མར་བྱས། བསྟི་སྟང་དུ་བྱས། མཆོད་པ་བྱས་སོ། ། ||| At that time the Blessed One dwelt in the city of Śrāvastī, where he was revered by his fourfold retinue, as well as by kings, princes, royal ministers, vassal kings, and attendants. Likewise his followers among the military, the priests, the merchants, the householders, and the royal court revered him. Both city dwellers and those who lived in the countryside, as well as the adherents of extremist philosophies, ascetics, priests, logicians, and wandering hermits, also revered him. He was treated as their master and showed great respect.
བཅོམ་ལྡན་འདས་ནི་བཟའ་བ་དང་། བཅའ་བ་དང་མྱང་བ་དག་བསོད་ཅིང་མང་བ་དང་། ན་བཟའ་དང་། བསོད་སྙོམས་དང་། གཟིམས་ཆ་དང་། སྙུན་གྱི་གསོས་སྨན་དང་། ཡོ་བྱད་རུང་བ་བརྙེས་ཤིང་། ||| Presented with offerings, the Blessed One received abundant savory food and drink, robes, alms bowls, bedding, healing medicines and remedies, and other appropriate necessities. Yet the great wealth and renown he enjoyed were like drops of water rolling off the petals of a lotus flower.
བཅོམ་ལྡན་འདས་ནི་བརྙེས་པ་དམ་པ་དང་། གྲགས་པ་དམ་པ་བརྙེས་ཀྱང་པད་མ་ལ་ཆུས་མི་གོས་པ་ལྟར་ཐམས་ཅད་དུ་མ་ཆགས་མ་གོས་པར་བཞུགས་སོ། ། ||| The Blessed One remained detached and untainted by it all.
བཅོམ་ལྡན་འདས་ཀྱི་གྲགས་པ་དང་། སྒྲ་དང་སྙན་པ་ནི་འདི་སྐད་དུ། བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཞེས་བྱ་བར་འཇིག་རྟེན་དུ་མངོན་པར་གྲགས་པར་གྱུར་ཏོ། ||| As the Blessed One’s fame spread throughout the world, he became known by various names and epithets, such as the Blessed One, the Worthy One, the Perfectly and Completely Awakened One, He Who Is Both Wise and Virtuous, the Well-Gone One, the Knower of the World, the Peerless Guide Who Tames Beings, the Teacher of Gods and Men, and the Blessed Buddha.
།དེ་ནི་སྤྱན་ལྔ་དང་ལྡན་པ་སྟེ། འཇིག་རྟེན་འདི་དང་འཇིག་རྟེན་ཕ་རོལ་ལྷ་དང་བཅས་པ། བདུད་དང་བཅས་པ། ཚངས་པ་དང་བཅས་པ། དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་ལྷ་དང་མིར་བཅས་པ་དག །རང་གིས་མངོན་པར་མཁྱེན་པས་མངོན་དུ་མཛད་ནས་ཉེ་བར་བསྒྲུབས་ཏེ་རབ་ཏུ་སྟོན་ཏོ། ||| Endowed with the fivefold vision, the Blessed One taught the inhabitants of this and other worlds, each with its gods, Māra, Brahmā, monks, nuns, and priests. To all these beings, gods and humans alike, he taught what he himself had realized, and what he had thereby actualized and accomplished.
།དེ་ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། དོན་བཟང་པོ། ||| The teachings he gave were virtuous in the beginning, virtuous in the middle, and virtuous in the end.
ཚིག་འབྲུ་བཟང་པོ། མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་དཀར་བའི་ཆོས་སྟོན་ཏེ། ཚངས་པའི་སྤྱོད་པ་ཡང་དག་པར་སྟོན་ཏོ། ||| Sublime in both word and meaning, the Dharma he taught was at once distinct, complete, pure, and wholesome. He taught all these beings how to live a life of purity.
།དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ནམ་གྱི་གུང་ཐུན་ལ། སངས་རྒྱས་ཀྱི་རྒྱན་བཀོད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་པར་གྱུར་ཏོ། ||| One evening during his midnight session, the Blessed One entered a state of deep absorption known as the array of the Buddha’s adornments.
།བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་ཀྱི་རྒྱན་བཀོད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དེ་ལ་སྙོམས་པར་ཞུགས་མ་ཐག་ཏུ། སྐད་ཅིག་དེ་ཉིད་ལ་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་གི་གཙུག་ཏོར་གྱི་གསེབ་ནས། སྔོན་གྱི་སངས་རྒྱས་རྗེས་སུ་དྲན་པར་བྱ་བ་ལ་ཆགས་པ་མེད་པའི་ཡེ་ཤེས་སྣང་བ་ཞེས་བྱ་བའི་འོད་ཟེར་བྱུང་སྟེ། ||| The moment he entered into this state of absorption, the ray of light known as the light of wisdom‌ free from attachment that arouses the memory of the buddhas of times past shone forth from his head’s crown extension.
དེས་གནས་གཙང་མའི་ལྷའི་གནས་ཐམས་ཅད་སྣང་བར་བྱས་ནས་ལྷའི་བུ་དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པ་ལྷའི་བུ་ཚད་མེད་པ་དག་ཡང་དག་པར་བསྐུལ་ཏོ། ||| Illuminating all the pure realms, the light attracted Maheśvara and innumerable other gods.
།དེ་བཞིན་གཤེགས་པའི་འོད་ཟེར་གྱི་ཚོགས་དེ་ལས་བསྐུལ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་ཀྱང་བྱུང་ངོ་། ||| From the mass of light that radiated from the Thus-Gone One, the following verses of exhortation arose:
།ཡེ་ཤེས་འོད་ལྡན་མུན་བཅོམ་འོད་མཛད་པ། །འོད་བཟང་གཟི་བརྗིད་དམ་པ་དྲི་མེད་པ། །སྐུ་ལུས་རབ་ཞི་ཐུགས་དགེ་ཞི་བ་པོ། །ཤཱཀྱའི་སེང་གེ་ཐུབ་དང་ཕྲད་པར་གྱིས། ||| “Come commune with the Sage, the Lion of the Śākyas. Sublime, supremely brilliant, and pure, The light of wisdom he radiates dispels darkness. Peaceful in form, his mind is virtuous and tranquil.
།ཡེ་ཤེས་རྒྱ་མཚོ་མཐུ་ཆེན་དག་པ་སྟེ། །ཆོས་ཀྱི་མངའ་བདག་ཀུན་མཁྱེན་ཐུབ་པའི་དབང་། །མི་དང་ལྷས་མཆོད་ལྷ་ཡི་ལྷར་གྱུར་པ། །ཆོས་ལ་རང་བྱུང་མངའ་དབང་མཛད་ལ་རྟོན། ||| “Take as your master the one with natural mastery of the Dharma, An ocean of wisdom, with power both vast and pure, The sovereign of the Dharma, the all-knowing lord‌ of sages‌, A god of gods, revered by gods and humans alike.
།གང་ཞིག་གདུལ་དཀའི་སེམས་ལ་མངའ་མཛད་དེ། །གང་ཞིག་བདུད་ཀྱི་རྙི་ལས་གྲོལ་བའི་ཐུགས། །དེ་འདིར་མཐོང་ཐོས་དོན་མེད་མ་ཡིན་གྱིས། །རྣམ་གྲོལ་མཐར་ཕྱིན་ཞི་བའི་དྲུང་དུ་དེང་། ||| “Go before the Peaceful One, the One Who Is Liberated, He who has mastered those minds that are difficult to tame And whose own mind is free from the snares of Māra, For seeing him and hearing him is not without benefit.
།མཚུངས་མེད་ཆོས་ལ་སྣང་བར་གྱུར་པ་སྟེ། །མུན་སེལ་ཚུལ་བཟང་སྟོན་པར་རབ་མཛད་པ། །སངས་རྒྱས་སྤྱོད་ཞི་མཁྱེན་པ་དཔག་མེད་པ། །དེ་ཡི་དྲུང་དུ་དད་པ་མཆོག་གིས་དེང་། ||| “With supreme devotion, go, all of you, Before the One Who Is Peerless in Illuminating the Dharma, Who dispels darkness and shows the sublime way With peaceful conduct and knowledge infinite in scope.
།དེ་ནི་སྨན་པའི་རྒྱལ་པོ་བདུད་རྩི་གཏོང་། ||| “As the king of doctors, he dispenses divine nectar,
།དེ་ནི་སྨྲ་བ་དཔའ་བོ་ཚོགས་ངན་འཇོམས། ||| Conquering the evil hordes with his courageous eloquence.
།དེ་ནི་ཆོས་ཀྱི་རྩ་ལག་དོན་དམ་མཁས། ||| He is a friend of the Dharma and knows the ultimate.
།དེ་ནི་འདྲེན་པ་བླ་མེད་ལམ་སྟོན་པའོ། ||| He is a peerless guide who illuminates the path.”
།གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དེ་དག་སྔོན་གྱི་སངས་རྒྱས་རྗེས་སུ་དྲན་པར་བྱ་བ་ལ་ཆགས་པ་མེད་པའི་ཡེ་ཤེས་སྣང་བའི་འོད་ཟེར་དེས་ཕོག་ཅིང་ཚིགས་སུ་བཅད་པ་རྣམ་པ་དེ་ལྟ་བུ་དེ་དག་གིས་ཀྱང་བསྐུལ་མ་ཐག་ཏུ་རབ་ཏུ་ཞི་བའི་ཏིང་ངེ་འཛིན་དེ་ལས་ལངས་ནས་སངས་རྒྱས་ཀྱི་མཐུས་བསྐལ་པ་གྲངས་མེད་ཚད་མེད་བགྲང་བ་ལས་ཤིན་ཏུ་འདས་པ་དག་ལས་འདས་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་རྗེས་སུ་དྲན་ཞིང་། ||| Struck by the light of wisdom free from attachment, which arouses the memory of the buddhas of times past, the gods of the pure realms were inspired by these verses and immediately arose from their tranquil absorptions.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་གང་ཡིན་པ་དག་དང་། འཁོར་གྱི་དཀྱིལ་འཁོར་གང་ཡིན་པ་དག་དང་། ཆོས་བསྟན་པ་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་ཀྱང་རྗེས་སུ་དྲན་པར་གྱུར་ཏོ། ||| Through the power of the Buddha, they recalled the blessed buddhas of innumerable and incalculable eons, remembering the qualities of the buddha realms of each blessed buddha, as well as the retinue that surrounded the buddhas and the teachings they gave.
།དེ་ནས་དེའི་ནུབ་མོ་མི་ཉལ་ཙམ་ན་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དབང་ཕྱུག་ཅེས་བྱ་བ་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། དགའ་བོ་དང་། ཤིན་ཏུ་དགའ་བོ་དང་། ཙན་དན་དང་། མཆོད་བྱས་དང་། རབ་ཞི་དང་། དུལ་བ་རབ་ཞི་དབང་ཕྱུག་ལ་སོགས་པ་དེ་དག་དང་། གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་གཞན་ཤིན་ཏུ་མང་པོ་ཁ་དོག་འཕགས་ཤིང་ཤིན་ཏུ་འཕགས་པ་དང་ལྡན་པ་དག་གིས། ||| That night, just as people went to bed, the gods of the pure realms visited the Blessed One. Among them were Īśvara, Maheśvara, Nanda, Sunanda, Candana, Mahita, Praśānta, Praśānta­vinīteśvara, and many other gods of the pure realms.
ལྷའི་སྣང་བས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་ཐམས་ཅད་སྣང་བར་བྱས་ཏེ། ||| With their brilliant colors, they illuminated the entirety of Jeta Grove with a divine light.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་ནས་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། །ཕྱོགས་གཅིག་ཏུ་འཁོད་ནས་ཀྱང་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| They prostrated to the Blessed One, placing their heads at his feet, and then stood to one side, supplicating him with the following words:
།བཅོམ་ལྡན་འདས་རྒྱ་ཆེར་རོལ་པ་ཞེས་བགྱི་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་མདོ་སྡེ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོ་བསྡུས་པ། ||| “Blessed One, there is an extensive collection of discourses on the Dharma that bears the name Lalitavistara (The Play in Full).
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་ཡང་དག་པར་བསྟན་པ། དགའ་ལྡན་གྱི་ཕོ་བྲང་དམ་པ་ནས་འབབ་པ་དང་། ཆེད་དུ་དགོངས་ཏེ་ལྷུམས་སུ་འཇུག་པའི་རྣམ་པར་རོལ་པ་དང་། མངལ་གྱི་གནས་ཀྱི་ཁྱད་པར་ཀུན་ཏུ་བསྟན་པ། ||| This teaching illuminates the basic virtues of the bodhisattvas, showing how the Bodhisattva descended from the sublime palace in the Heaven of Joy, intentionally entered the womb, and sojourned in the womb.
རིགས་བཟང་པོར་སྐྱེ་བའི་སའི་མཐུ་ཀུན་དུ་བསྟན་པ། བྱིས་པའི་སྤྱོད་པ་ཐམས་ཅད་ལས་ཡོན་ཏན་གྱི་ཁྱད་པར་གྱིས་ཤིན་ཏུ་འདའ་བ་བསྟན་པ། ||| It shows the power of the place where he was born to a noble family, and how he surpassed others through all the superior special qualities that he demonstrated through his actions as a youth.
འཇིག་རྟེན་པའི་བཟོའི་གནས་དང་། ལས་ཀྱི་གནས་དང་། ཡི་གེ་དང་། གྲངས་དང་། ལག་རྩིས་དང་། རྩིས་དང་། རལ་གྲིའི་ཐབས་དང་། འཕོང་དང་། སྟོབས་དང་། གྱད་ཀྱི་འཛིན་སྟངས་རྣམས་སེམས་ཅན་ཐམས་ཅད་ལས་ཁྱད་པར་དུ་འཕགས་པ་ཀུན་དུ་བསྟན་པ། ||| It shows his many unique qualities, such as his skills in arts, crafts, writing, arithmetic, calculations, astrology, fencing, archery, feats of physical strength, and wrestling, demonstrating his superiority to all other beings in these areas.
བཙུན་མོའི་འཁོར་དང་། ཡུལ་གྱི་ལོངས་སྤྱོད་དང་། ཡོངས་སུ་སྤྱོད་པ་ཀུན་ཏུ་བསྟན་པ། ||| It shows how he enjoyed his retinue of consorts and the pleasures of his kingdom.
