འཕགས་པ་བདེ་བྱེད་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Question of Kṣemaṅkara
བཞི་གང་ཞེ་ན། ||| What are those four attributes?
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་བཟོད་པའི་སྟོབས་དང་ལྡན་ཞིང་བཟོད་པ་ལ་གནས་པ་དེ་ཕ་རོལ་གཤེ་ཡང་སླར་མི་གཤེ་བ་དང་། བརྡེགས་ཀྱང་སླར་མི་རྡེག་པ་དང་། མཚང་བྲུས་ཀྱང་སླར་མཚང་མི་འདྲུ་བ་དང་། ཁྲོས་ཀྱང་སླར་མི་ཁྲོ་བ་སྟེ། ||| Noble son, they are as follows: bodhisattvas who possess the strength of patience and practice patience (1) do not retaliate though others revile them, (2) do not strike back though others beat them, (3) do not quarrel though others quarrel with them, and (4) do not get angry though others are hostile to them.
རིགས་ཀྱི་བུ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་ཅིང་ཇི་སྐད་སྨྲས་པའི་ཡོན་ཏན་ཕུན་སུམ་ཚོགས་པ་ཡང་རྗེས་སུ་འཐོབ་པར་འགྱུར་རོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ||| Noble son, bodhisattvas who possess those four attributes will progress irreversibly toward unsurpassed and perfect awakening and will obtain the perfect qualities you have described.”
བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས་དེ་བཞིན་དུ་སྟོན་པས་གཞན་ཡང་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| When the Blissful One had said this, the Teacher also spoke these words:
།ཀུན་ཏུ་སྤྱོས་ཀྱང་གཤེ་བར་མི་བྱེད་ལ། ||| “Although blamed, do not reciprocate.
།གནོད་བྱས་གཞན་ལ་དེ་ནི་གནོད་མི་བྱེད། ||| Having been harmed, do not harm others.
།དེ་ནི་མི་ལུས་སྤང་བ་བྱས་ནས་ཀྱང་། ||| Even if it means giving up their human bodies,
།བྱང་ཆུབ་སེམས་དཔའ་ཡོན་ཏན་དེ་དག་འཐོབ། ||| Bodhisattvas will attain these qualities.
།སྡིག་པའི་ཚིག་རྣམས་རྟག་ཏུ་སྲུང་བྱེད་ཅིང་། ||| “Always guard against evil words,
།སྡིག་པའི་སེམས་ཀྱི་དབང་དུ་མི་འགྲོ་ལ། ||| And do not be controlled by a negative mind.
།སྡིག་ལས་ལོག་སྟེ་འབྲས་བུ་དེ་ཐོབ་ནས། ||| Eliminate misdeeds, and you will gain such results
།ཡེ་ཤེས་མཆོག་ཉིད་མྱུར་དུ་ཐོབ་པར་འགྱུར། ||| And quickly achieve supreme wisdom.
།སྐྱེ་བོ་གང་དག་འཚོག་རུང་དགའ་བྱེད་ཅིང་། ||| “Some people take pleasure in striking others,
།ཁྲོ་གཏུམ་གནོད་པར་སེམས་པའི་སེམས་ལྡན་རྣམས། ||| And have a ruthless and malicious attitude.
།སངས་རྒྱས་ཡེ་ཤེས་ཡོངས་སུ་སྤངས་ནས་སུ། ||| Having forsaken the wisdom of the buddhas,
།མི་མཁས་དེ་དག་སྡུག་བསྔལ་མི་བཟད་ལྡན། ||| Such unwise people will be burdened with unbearable suffering.
།དེ་ལྟ་བས་ན་གཞན་ལ་མི་འཚོག་ཅིང་། ||| “Therefore, do not beat others,
།རྒྱུ་དང་མི་རྒྱུ་རྣམས་ལ་དབྱུག་པ་སྤངས། ||| And abstain from striking anything, animate or inanimate.
།སེམས་ཅན་ཀུན་ལ་ཕན་ཞིང་སྙིང་བརྩེར་ལྡན། ||| Benefiting all beings with love and affection,
།དེས་འདིར་ཡེ་ཤེས་དམ་པ་མྱུར་དུ་འཐོབ། ||| You will quickly attain supreme wisdom.
།སྐྱེ་བོ་རྨོངས་པ་ཁྲོས་པས་ཟིལ་ནོན་པ། ||| “Deluded beings overwhelmed by anger
།འཇིག་རྟེན་མཁས་པའི་བསྟན་ལས་དེ་རིང་སྟེ། ||| Are far from the teaching of those who are wise in this world.
།དེ་ནི་ལོག་ལྟ་རྣམས་ཀྱིས་ངན་འཛིན་ཡིན། ||| Because of wrong views, they are bent on negative ways.
།དེ་ལྟ་བས་ན་མཁས་མིས་དཀྲུག་མི་བྱ། ||| Therefore, wise people should not disturb them.
།བྱང་ཆུབ་སེམས་དཔའ་གང་འདིར་མི་ཁྲོ་ཞིང་། ||| “Bodhisattvas should not get angry,
།བདེན་པ་རྗེས་སྲུང་གཞན་ལ་མི་གནོད་པ། ||| But guard the truth without harming others.
།སྤྱད་པ་དཀོན་པ་འདི་དག་རྫོགས་བྱས་ནས། ||| Perfecting these rare actions,
།སུམ་ཅུ་རྩ་གཉིས་མཚན་མཛེས་ཕུན་སུམ་ཚོགས། ||| They will possess all the exquisite thirty-two marks.
།མི་མཁས་རྟག་ཏུ་ཕུང་ཞིང་སྡང་སེམས་ལྡན། ||| “The unwise always have a destructive and hostile attitude;
།ཕ་མ་ལ་ཡང་འདི་ན་གུས་མི་བྱེད། ||| They do not even respect their own parents.
།ཀུན་ནས་ཉོན་མོངས་རྩ་བ་རབ་གནས་པ། ||| They are enmeshed in the roots of affliction,
།སྐྱེས་བུ་ཐ་མའི་ཉེས་པ་འདི་རྣམས་ཡིན། ||| Which are the flaws of the lowest type of person.
།དེ་བས་རྟག་ཏུ་བཟོད་པ་ཁོ་ན་བསྟེན། ||| “Therefore, always rely wholly on patience,
།དགེ་སློང་ཆོས་སྨྲ་བ་ལ་བསྟེན་པར་བྱ། ||| Attend to monks who teach the Dharma,
།དགེ་བའི་བཤེས་གཉེན་ཡོངས་སུ་མི་གཏོང་སྟེ། ||| And never forsake spiritual friends.
།དེ་ལ་བྱང་ཆུབ་མཆོག་ནི་དཀའ་བ་མེད། ||| Then supreme awakening will be easy.
།རིགས་ཀྱི་བུ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་ཅིང་ཇི་སྐད་སྨོས་པའི་ཡོན་ཏན་ཕུན་སུམ་ཚོགས་པ་ཡང་རྗེས་སུ་འཐོབ་བོ། ||| “Noble son, bodhisattvas who possess four additional attributes will progress irreversibly toward unsurpassed and perfect awakening, and they will achieve the perfect qualities you have described.
།བཞི་གང་ཞེ་ན། ||| What are those four attributes?
རིགས་ཀྱི་བུ་འདི་ལ་ཆོས་དོན་དུ་གཉེར་བ་དང་། ཆོས་འདོད་པ་དང་། ཆོས་ཀྱི་ཀུན་དགའ་ལ་དགའ་ཞིང་མོས་པ་དང་། ཆོས་འཛིན་པ་དང་། ཆོས་སྟོན་པ་ཡིན། ||| Noble son, they are (1) pursuing the Dharma, yearning for the Dharma, and rejoicing, delighting in, and being inspired by the Dharma, as well as holding the Dharma and teaching the Dharma;
བུད་མེད་ཡོངས་སུ་སྤོང་ཞིང་བུད་མེད་ལ་སྟེན་པར་མི་བྱེད་པ་ཡིན། ||| renouncing women and not indulging in women;
སྦྱིན་པའི་བདག་པོ་དང་། ཀུན་བགེད་པའི་ངང་ཚུལ་ཅན་དང་། ཀུན་བགེད་པ་ལ་དགའ་བ་དང་། རྨུགས་པ་དང་། གཉིད་ཡོངས་སུ་སྤོང་བ་ཡིན། ||| rejoicing in benefactors, in their giving nature, and in their giving, as well as renouncing dullness and sleep;
སྟོང་པ་ཉིད་ལ་མོས་པ་དང་། སྟོང་པ་ཉིད་ལ་གནས་པ་ཡིན་ཏེ། ||| and (4) feeling inspired by emptiness and abiding in emptiness.
རིགས་ཀྱི་བུ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་ཅིང་ཇི་སྐད་སྨོས་པའི་ཡོན་ཏན་དེ་དག་ཀྱང་འཐོབ་པར་འགྱུར་རོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ||| Noble son, bodhisattvas who possess those four attributes will progress irreversibly toward unsurpassed and perfect awakening and they will achieve the qualities you have described.”
བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས་དེ་བཞིན་དུ་སྟོན་པས་གཞན་ཡང་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| When the Blissful One had said this, the Teacher also spoke these words:
།སེམས་ཅན་གང་དག་ཆོས་ནི་འདོད་པ་དང་། །ཆོས་ཀྱི་དོན་དུ་བརྩོན་འགྲུས་བསྐྱེད་པ་དཀོན། ||| “Beings who yearn for the Dharma And generate effort for the sake of the Dharma are rare.
།གང་དག་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་བྱེད་པ། ||| Anyone who makes the wheel of Dharma turn
།དེ་དག་ཡེ་ཤེས་དམ་པ་ཐོབ་པར་འགྱུར། ||| Will attain supreme wisdom.
།གཞན་ལས་ཐོས་ནས་ཡང་དག་འཛིན་བྱེད་ཅིང་། ||| “Hearing it from others they will genuinely retain it,
།ཕ་རོལ་དོན་དུ་གཉེར་ལ་ཆོས་སྟོན་ལ། ||| And then teach the Dharma to others who are interested.
།ཤེས་ལྡན་དེ་དག་འཁོར་དུ་ཞུམ་པ་མེད། ||| Such wise ones will not lose courage in a gathering.
།བླ་མེད་བྱང་ཆུབ་མཆོག་ལ་རེག་པར་འགྱུར། ||| They will reach unsurpassed and supreme awakening.
།ལོག་པར་ལྟུང་རྒྱུ་བུད་མེད་རྣམ་པར་སྤངས། ||| “Rejecting women, the cause of downfalls,
།རྒྱལ་སྲས་རྟག་ཏུ་ཚངས་པར་སྤྱོད་པར་འགྱུར། ||| A son of the victors will always practice pure conduct.
།ཚངས་པར་སྤྱོད་ལ་བརྟན་པར་དེ་གནས་ཤིང་། ||| Stable in the practice of pure conduct,
།འཁོར་ལོ་བླ་མེད་དམ་པ་སྐོར་བར་བྱེད། ||| He will turn the unsurpassed, sacred wheel.
།བུད་མེད་རྣམས་ལ་མཚན་མ་འགའ་ཡོད་དེ། ||| “Those who delight in the features of women
།འདི་ལྟར་སྡུག་བསྔལ་ཉམ་ཐག་སྐེམ་པར་འགྱུར། ||| Will become miserable, poor, and feeble.
།དེ་དག་བསྟེན་ན་ཞི་བ་མེད་པ་སྟེ། ||| Indulging in them will not bring peace,
།དེ་བས་ཡོངས་སུ་སྤོངས་ལ་བྱང་ཆུབ་སྤྱོད། ||| So forsake them and engage in bodhisattva conduct.”
།དེ་ནས་ཤཱཀྱའི་བུ་བདེ་བྱེད་བསྟན་པ་འདི་ཐོས་ནས་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཤིང་རབ་ཏུ་དགའ་སྟེ། ||| Upon hearing these teachings, the Śākya youth Kṣemaṅkara felt satisfied, delighted, and thrilled.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་རང་གི་ལུས་ལས་རྒྱན་བཀྲོལ་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་གཏོར་ཏོ། ||| Feeling joyful and happy, he unfastened the ornaments on his body and scattered them before the Blessed One.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱི་མཐུས་རྒྱན་དེ་དག་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་དྲང་ཐད་ཀྱི་སྟེང་གི་བར་སྣང་ལ་རིན་པོ་ཆེའི་ཁང་པ་བརྩེགས་པ་ཞིག་ཏུ་འདུག་པར་གྱུར་ནས། ||| Through the Blessed One’s power these ornaments now transformed into a mansion made of precious substances, hovering directly above the Blessed One’s crown.
རིན་པོ་ཆེའི་ཁང་པ་བརྩེགས་པ་དེ་ནས་མི་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་ལྔ་བརྒྱ་བྱུང་ནས། ||| From that mansion emanated five hundred people decorated with all manner of ornaments, who scattered their own ornaments in the direction of the Blessed One.
བཅོམ་ལྡན་འདས་ལ་རྒྱན་རྣམས་འཐོར་ཞིང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་སེམས་བསྐྱེད་ནས་ཚིག་འདི་སྐད་ཅེས་བཅོམ་ལྡན་འདས་བདག་ཅག་གི་དགེ་བའི་རྩ་བ་འདི་སེམས་ཅན་ཐམས་ཅད་དང་ཐུན་མོང་དུ་བགྱིས་ཏེ། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་བསྔོ་བར་བགྱིའོ་ཞེས་འཛེར་ཏོ། ||| In addition, they aroused the mind set on unsurpassed and perfect awakening and said, “Blessed One, we are sharing our roots of virtue with all beings, and we dedicate them toward unsurpassed and perfect awakening.”
།དེ་ནས་ཤཱཀྱའི་བུ་བདེ་བྱེད་ཀྱིས་ཀྱང་སྤྲུལ་པའི་མི་དེ་དག་མཐོང་ངོ་། ||| The Śākya youth Kṣemaṅkara also perceived these emanated people.
།མཐོང་ནས་ཀྱང་ལུས་ཀྱི་སྤུ་ཟིང་ཞེས་བྱེད་པར་གྱུར་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་མི་འདི་རྣམས་གང་ནས་མཆིས། ||| Seeing them, the hairs on his body stood on end, so he asked the Blessed One, “Blessed One, where are these people from?
ཤར་ཕྱོགས་སམ། ལྷོ་ཕྱོགས་སམ། ནུབ་ཕྱོགས་སམ། བྱང་ཕྱོགས་སམ། འོག་གམ། ||| Are they from the east, from the south, from the west, from the north, from below, or from above?
སྟེང་གི་ཕྱོགས་སམ། འོན་ཏེ་ཕྱོགས་མཚམས་གང་ནས་མཆིས། ||| From which cardinal or intermediate direction did they come?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་མི་འདི་རྣམས་ནི་ཤར་ཕྱོགས་ནས་མ་འོངས་ལྷོ་དང་། ནུབ་དང་། བྱང་ཕྱོགས་དང་། འོག་དང་སྟེང་གི་ཕྱོགས་དང་། ཕྱོགས་མཚམས་གང་ནས་ཀྱང་མ་འོངས་ཏེ། འདི་རྣམས་ནི་ལྷ་མ་ཡིན། ཀླུ་མ་ཡིན། གནོད་སྦྱིན་མ་ཡིན། དྲི་ཟ་མ་ཡིན། ||| “Noble son,” replied the Blessed One, “these people are from neither the east, south, west, or north;
ལྷ་མ་ཡིན་མ་ཡིན། ནམ་མཁའ་ལྡིང་མ་ཡིན། ||| nor from below or above;
མིའམ་ཅི་མ་ཡིན། ལྟོ་འཕྱེ་ཆེན་པོ་མ་ཡིན། མི་མ་ཡིན། ||| nor are they from any cardinal or intermediate direction.
མི་མ་ཡིན་པ་མ་ཡིན་ནོ། །སའི་ཁམས་ལ་མི་རྟེན། ཆུའི་ཁམས་ལ་མི་རྟེན། མེའི་ཁམས་ལ་མི་རྟེན། རླུང་གི་ཁམས་ལ་མི་རྟེན། ནམ་མཁའི་ཁམས་ལ་མི་རྟེན་ཏོ། ||| They are not gods, they are not nāgas, they are not yakṣas, they are not gandharvas, they are not demigods, they are not garuḍas, they are not kinnaras, they are not mahoragas, they are not humans, and they are not non-humans—they do not abide in the earth element, they do not abide in the water element, they do not abide in the fire element, they do not abide in the wind element, and they do not abide in the space element.
།འདི་དག་ལ་ནི་གཟུགས་མེད། ཚོར་བ་མེད། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། སེམས་མེད། ཡིད་མེད། རྣམ་པར་ཤེས་པ་མེད། ལས་མེད། ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མེད། འཇིག་རྟེན་འདི་མེད། འཇིག་རྟེན་ཕ་རོལ་མེད། འོང་བ་མེད། འགྲོ་བ་མེད། གནས་པ་མེད། འཆི་འཕོ་མེད། སྐྱེ་བ་མེད་དོ། ||| They have no form, no feeling, no perception, no formation, no thinking, no mind, no consciousness, no karma, no ripening of karma, no present world, no other world, no coming, no going, no dwelling, no death, and no birth.
།འོན་ཀྱང་རིགས་ཀྱི་བུ་འདི་དག་ནི་སྤྲུལ་པ་ཞེས་བྱ་བ་ཡིན་ནོ། ||| However, noble son, they are known as magical emanations.
།འདི་དག་ནི་གཞི་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་སྲོག་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་སྐྱེས་བུ་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་གང་ཟག་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་མཚན་ཉིད་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། ||| They are called groundless, they are called lifeless, they are called beingless, they are called personless, they are called characteristicless, they are called void, they are called empty, and they are called essenceless.
།འདི་དག་ནི་དབེན་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་སྟོང་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདི་དག་ནི་ངོ་བོ་ཉིད་མེད་པ་ཞེས་བྱ་བ་ཡིན་ནོ། །བདེ་བྱེད་རིགས་ཀྱི་བུ་དང་རིགས་ཀྱི་བུ་མོ་གང་དག་དེ་ལྟར་ཆོས་ཐམས་ཅད་སྤྲུལ་པ་ལྟ་བུར་འདོད་པ་དང་། བཟོད་པ་དང་། ཁོང་དུ་ཆུད་པ་དང་། མངོན་པར་དད་པ་དང་། ཡིད་ཆེས་པ་དང་། གཞན་གྱི་དྲིང་མི་འཇོག་པར་འགྱུར་བའི་རིགས་ཀྱི་བུ་དང་རིགས་ཀྱི་བུ་མོ་དེ་དག་ནི་བདེ་བྱེད་ངའི་བུ་ཞེས་བྱའོ། ||| “Kṣemaṅkara, those noble sons and daughters who hold all phenomena to be like magical creations—who accept, understand, and have faith and confidence in them as such, and who are not led astray by others—such noble sons and daughters, Kṣemaṅkara, are called my children.
།ངའི་རྗེས་སུ་སྐྱེས་པ་ཞེས་བྱའོ། །སྣང་བ་འཛིན་པ་ཞེས་བྱའོ། །འོད་བྱེད་པ་ཞེས་བྱའོ། །མུན་པ་བསལ་བ་ཞེས་བྱའོ། །ཉོན་མོངས་པ་སྤངས་པ་ཞེས་བྱའོ། །སྟོན་པ་ཞེས་བྱའོ། །བསོད་ནམས་ཀྱི་ཞིང་ཞེས་བྱའོ། །ཡོན་ཏན་གྱི་གནས་ཞེས་བྱའོ། །དགེ་སྦྱོང་ཞེས་བྱའོ། །བྲམ་ཟེ་ཞེས་བྱའོ། །ཚོར་བ་པོ་ཞེས་བྱའོ། །གླང་པོ་ཞེས་བྱའོ། །མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་དང་ལྡན་པ་ཞེས་བྱའོ། ||| They are known as my descendants, they are known to possess illumination, they are known to be illuminating, they are known to clear away darkness, they are known to abandon afflictions.
།བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བྱའོ། །སེམས་དཔའ་ཆེན་པོ་ཞེས་བྱའོ། །ཕྱིར་མི་ལྡོག་པའི་ཆོས་དང་ལྡན་པ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའི་ཆོས་དང་ལྡན་པ་ཞེས་བྱའོ། །ལུང་བསྟན་པ་ཞེས་བྱའོ། ||| They are known as teachers, they are known as fields of merit, they are known as worthy of veneration, they are known as mendicants, they are known as brahmins, they are known as learned, they are known as elephants, they are known as those who accept that phenomena are unborn, they are known as bodhisattvas, they are known as great beings, they are known as having the quality of non-regressing, they are known as having the qualities of bodhisattvas, and they are known as having been prophesied.
།རིགས་ཀྱི་བུ་གང་སུ་ཡང་རུང་བ་དག་དེ་ལྟར་ཆོས་ཐམས་ཅད་སྤྲུལ་པ་ལྟ་བུར་མི་འདོད། མི་བཟོད། མི་འཇུག །མི་མོས། མི་དད། ཐོས་ནས་ཀྱང་དངང་ཞིང་སྐྲག་ལ་དངང་བར་འགྱུར་བ་དང་། སླར་ཟློག་པ་དང་། ཕྱིར་གཤེ་བའི་རིགས་ཀྱི་བུ་དེ་དག་ནི་དགེ་སྦྱོང་མ་ཡིན་པ་ཞེས་བྱའོ། ||| “However, noble children who do not agree that all phenomena are like magical creations, and who do not accept this, do not engage with it, have no faith in it, and lack trust in it—who feel frightened and scared upon hearing about it and start to panic, turn away from it, and challenge it—such noble children are known as not being mendicants.
