འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
བཅོམ་ལྡན་འདས་བདག་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་བདེ་བའི་སླད་དུ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་སངས་རྒྱས་ཀྱི་གདུང་མི་གཅོད་པར་འགྱུར་བ་དང་། སྤྱོད་ལམ་ཀུན་ཏུ་ཚུལ་ཁྲིམས་ལ་མ་ཆགས་ཤིང་། ཚུལ་ཁྲིམས་རྣམ་པར་དག་པ་དང་ལྡན་པ་དང་། ཆོས་ཆེན་པོ་ལ་ནན་ཏན་བྱེད་ཅིང་འཕགས་པའི་ཆོས་ཀྱི་སྤྱོད་ཡུལ་ཚད་མེད་པ་འཛིན་པ་ལ་ཤིན་ཏུ་མཁས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སླད་དུ་བདག་ཞུ་བ་ཞུའོ། ། ||| “Blessed One, may I inquire, in order to bring benefit and happiness to many people; in order that bodhisattva great beings will not discontinue the Buddha’s lineage; in order that their discipline will be without attachment and pure in all activities; in order that they will apply themselves to the great Dharma; and in order that bodhisattvas will become knowledgeable in upholding the immeasurable domains of the Dharma of noble beings.
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དག་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་ཤིན་ཏུ་མཁས་པ་ལགས། ||| Blessed One, how do bodhisattva great beings become knowledgeable concerning the true characteristics of phenomena?
ཇི་ལྟར་ན་ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་ཤིན་ཏུ་རྣམ་པར་འབྱེད་པ་ལ་མཁས་པ་ལགས། ||| How do they become skilled in discerning the characteristics of phenomena?
ཇི་ལྟར་ན་དྲན་པའི་མཐུ་དང་ལྡན་པ་ལགས། ||| How do they acquire the power of mindfulness?
ཇི་ལྟར་ན་ཆོས་ཐམས་ཅད་ཀྱི་རྣམ་གྲངས་རྣམ་པར་འབྱེད་པ་ལ་མཁས་པའི་ཤེས་རབ་དང་ལྡན་པ་ལགས། ||| How do they acquire the insight of knowing how to discern the categories of all phenomena?
ཇི་ལྟར་ན་ལུས་འདི་བོར་ནས་ནམ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་རྒྱུན་མི་འཆད་པའི་དྲན་པ་དང་ལྡན་པ་ལགས། ||| Once they have relinquished this body, how do they sustain unbroken mindfulness until they attain unsurpassed and perfect awakening?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་འཇིག་རྟེན་འཛིན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One responded to the bodhisattva Lokadhara,
ལེགས་སོ་ལེགས་སོ། ། ||| “Excellent, excellent!
འཇིག་རྟེན་འཛིན་དེ་ལྟར་ཁྱོད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཕྱིར། དེ་བཞིན་གཤེགས་པ་ལ་དོན་དེ་དག་དྲིས་པ་ནི་ལེགས་སོ། ། ||| Lokadhara, it is excellent that you have asked the Thus-Gone One about these subjects on behalf of bodhisattva great beings.
ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་བདེ་བའི་ཕྱིར། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བའི་ཕྱིར། ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ལ་ཕན་པ་དང་བདེ་བའི་དོན་གྱི་ཕྱིར། གཞན་ཡང་ད་ལྟར་གྱི་དུས་དང་། མ་འོངས་པའི་དུས་ཀྱི་བྱང་ཆུབ་སེམས་དཔའ་ལ་སོགས་པ་ལ་འོད་ཆེན་པོས་སྣང་བར་བྱ་བའི་ཕྱིར་དྲི་བ་དྲིས་པའི་བསོད་ནམས་ནི་དཔག་ཏུ་མེད་དོ། ། ||| The merit you have gained from asking questions—in order to bring benefit and happiness to many people, out of love for the world, for the sake of the benefit and happiness of the world and its gods, and to illuminate the bodhisattvas of the present and future with great light—is boundless.
ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་དག་དྲིས་པ་ནི་ངེས་པར་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཐེ་ཚོམ་ཡོངས་སུ་གཅད་པའི་ཕྱིར། སེམས་ཅན་ཐམས་ཅད་འོད་ཀྱིས་སྣང་བར་བྱ་བ་དང་། བསྲུང་བར་བྱ་བའི་ཕྱིར། སེམས་ཅན་དག་ལ་ཕན་པའི་དོན་བསྟན་པའི་ཕྱིར། སྐྱེ་བོ་དག་གཡང་སའི་ལམ་ལས་བསྒྲལ་བར་བྱ་བའི་ཕྱིར། སྐྱེ་བོ་མང་པོའི་རྟེན་དང་། གནས་དང་། མགོན་དང་། བསྐྱབ་བྱ་བའི་ཕྱིར། ངན་སོང་གསུམ་ལས་གདོན་ཅིང་དབྱུང་བའི་ཕྱིར། སེམས་ཅན་དག་བླ་ན་མེད་པའི་ལམ་ལ་གཟུད་པའི་ཕྱིར། སྐྱེ་བོ་མང་པོ་དག་སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། སློས་པའི་མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། འཁྲུག་པ་ལས་རྣམ་པར་གྲོལ་བའི་ཕྱིར། སེམས་ཅན་ལ་བླ་ན་མེད་པའི་མྱ་ངན་ལས་འདས་པའི་བདེ་བ་སྦྱིན་པའི་ཕྱིར། ཕྱི་མ་མ་འོངས་པའི་དུས་ན་དམ་པའི་ཆོས་བསྲུང་ཞིང་བསྐྱབ་པའི་ཕྱིར། ཕྱི་མ་མ་འོངས་པ་འཇིག་པའི་དུས་ངན་པའི་སེམས་ཅན་དག་བསྒྲལ་བའི་ཕྱིར། དེ་བཞིན་གཤེགས་པ་ལ་དྲི་བར་སེམས་པ་ལེགས་སོ། ། ||| “As for your having asked the Thus-Gone One about these subjects, it is excellent that you have thought to inquire of the Thus-Gone One in order to eliminate beings’ doubts; illuminate and protect all beings; teach beings beneficial subjects; free beings from treacherous paths; serve as the support, base, protection, and refuge of many beings; extract and remove them from the three lower realms; establish beings on the unsurpassed path; liberate many beings from the anguish of birth, aging, sickness, death, distress, lamentation, pain, and anxiety; bestow the unsurpassed happiness of nirvāṇa upon beings; protect and guard the sublime Dharma in the future; and liberate beings during the dark times of destruction in the future.
དེ་ལྟ་བས་ན་འཇིག་རྟེན་འཛིན་ཁྱོད་ལེགས་པར་ཉོན་ལ་རབ་ཏུ་ཡིད་ལ་ཟུང་ཤིག་དང་། རྣམ་པར་ཕྱེ་སྟེ་བཤད་པར་བྱའོ། ། ||| Therefore, Lokadhara, listen well and commit this to memory, as I will now explain.”
བཅོམ་ལྡན་འདས་དེ་ལྟར་བགྱིའོ་ཞེས་གསོལ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཇིག་རྟེན་འཛིན་བཅོམ་ལྡན་འདས་ལ་ཕྱིར་ཉན་ཏོ། ། ||| The bodhisattva Lokadhara replied, “Blessed One, I shall do as you ask,” and he listened to the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then said,
སྐྱེས་བུ་དམ་པ་དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| “Sublime being, I have this to say:
ཕན་པའི་དོན་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| Bodhisattva great beings who understand four beneficial subjects will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
དྲན་པ་ཡོངས་སུ་རྫོགས་པ་ཐོབ་པར་བྱ་བ་དང་། དྲན་པ་རྒྱུན་མི་འཆད་པ་ཐོབ་པར་བྱ་བ་དང་། ཤིན་ཏུ་བྱང་བའི་ཤེས་རབ་ཀྱིས་གོང་ནས་གོང་དུ་འཕར་བ་དང་། རྟག་ཏུ་དྲན་པའི་སེམས་དང་ལྡན་པ་སྟེ། ||| They should achieve perfect mindfulness, achieve unbroken mindfulness, make continuous progress by means of highly refined insight, and always remain mindful.
འཇིག་རྟེན་འཛིན་འདི་དག་ནི་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པ་ཡིན་ནོ། ། ||| Lokadhara, bodhisattva great beings who understand these four beneficial subjects will endeavor in and apply themselves to the true characteristics of phenomena and become skilled in discerning the characteristics of phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་དོན་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand an alternate set of four beneficial subjects will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཆོས་རྣམས་ཀྱི་ངེས་པའི་དོན་ལ་ཤིན་ཏུ་ཤེས་པར་བྱ་བ་དང་། ཆོས་རྣམས་ཀྱི་དོན་ཤིན་ཏུ་ཤེས་པར་བྱ་བ་དང་། ཆོས་རྣམས་ཀྱི་རྒྱུ་དང་རྐྱེན་རྣམ་པ་སྣ་ཚོགས་ཤིན་ཏུ་ཤེས་པར་བྱ་བ་དང་། ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་སྒོར་འཇུག་པར་བྱ་བ་དང་བཞིའོ། ། ||| They should understand well the definitive meaning of phenomena, understand well the meaning of phenomena, understand well the various causes and conditions of phenomena, and enter the true gateway of phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand an alternate set of four beneficial subjects will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཚད་མེད་པའི་ཆོས་ཀྱི་མཚན་ཉིད་ཤིན་ཏུ་ཤེས་པར་བྱ་བ་དང་། ཚད་མེད་པའི་ངེས་པའི་ཆོས་བསྒོམ་པ་ལ་ཤིན་ཏུ་མཁས་པར་བྱ་བ་དང་། ཚད་མེད་པའི་ཡོན་ཏན་དང་སྤྱོད་པ་འཕེལ་ཞིང་སྐྱེ་བར་བྱ་བ་དང་། ཆོས་རྣམས་ཀྱི་སྐྱེ་བ་དང་འགག་པའི་མཚན་ཉིད་ཤེས་པ་དང་མཐོང་བར་བྱ་བ་དང་བཞིའོ། ། ||| They should understand well the characteristics of limitless phenomena, become highly skilled in cultivating limitless definitive phenomena, exponentially increase engagement in limitless virtues, and understand and perceive the characteristic of arising and ceasing of phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand an alternate set of four beneficial subjects will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་བསྙེན་པར་བྱ་བ་དང་། བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་རྣམས་མྱུར་དུ་ཡོངས་སུ་རྫོགས་པར་བྱ་བ་དང་། ཆོས་རྣམས་ཀྱི་ཐབས་ལ་ཤིན་ཏུ་མཁས་པས་གཞན་གྱི་དྲིང་ལ་མི་འཇོག་པར་བྱ་བ་དང་། ཡེ་ཤེས་དང་ཤེས་རབ་ཐམས་ཅད་ལ་ཤིན་ཏུ་མཁས་པར་བྱ་བའོ། ། ||| They should assiduously attend to unsurpassed and perfect awakening, swiftly perfect the factors of awakening, avoid being led astray by others by being highly skilled with regard to the expedient means of phenomena, and become highly skilled in all forms of wisdom and insight.
འཇིག་རྟེན་འཛིན་འདི་དག་ནི་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པ་ཡིན་ནོ། ། ||| Lokadhara, bodhisattva great beings who see these four subjects will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who possess an alternate set of four qualities will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
སེམས་ཅན་ལ་ཕན་པ་དང་བདེ་བའི་ཕྱིར་སེམས་ལ་སེར་སྣའི་དྲི་མ་མེད་པ་དང་། རྟག་ཏུ་ཚུལ་ཁྲིམས་རྣམ་པར་དག་པ་དང་། བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་བདེ་བར་གནས་པས་བརྩོན་འགྲུས་སྤྱོད་པ་ལ་བར་ཆད་མེད་པ་དང་། ཡང་དག་པར་ཡིད་ལ་བྱེད་པས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ཤིན་ཏུ་ནན་ཏན་བྱེད་པ་དང་བཞིའོ། ། ||| Seeking to bring beings benefit and happiness by having a mind that is unstained by stinginess, always keeping pure discipline, being unceasing in their diligent conduct by being steadfast in the perfection of diligence, and applying themselves to the perfection of insight with correct mental engagement.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
སྨོན་ལམ་ཕུན་སུམ་ཚོགས་པ་ཤིན་ཏུ་དག་པ་དང་ལྡན་པ་དང་། སྤྱོད་པའི་ནན་ཏན་ཕུན་སུམ་ཚོགས་པ་རྣམ་པར་དག་པ་དང་ལྡན་པ་དང་། ཇི་མི་སྙམ་པའི་བཟོད་པའི་ཡོན་ཏན་ལ་བདེ་བར་གནས་པ་དང་། ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པའི་འོད་ཟེར་ཐོབ་པ་དང་བཞིའོ། ། ||| Having abundant and pure aspirations, having abundant and pure diligent conduct, being steadfast in the virtue of patience that is forgiving, and attaining the understanding that differentiates the true characteristics of phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
མོས་པ་ཆེན་པོས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཚོལ་བ་དང་། བསམ་གཏན་དང་། རྣམ་པར་གྲོལ་བ་དང་། ཏིང་ངེ་འཛིན་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པས་མོས་པ་ཆེན་པོ་བསྐྱེད་པ་དང་། བྱམས་པ་དང་། སྙིང་རྗེ་དང་། དགའ་བ་དང་། བཏང་སྙོམས་ཆེན་པོའི་སེམས་ཐོབ་པར་བྱ་བའི་ཕྱིར་རྣམ་པར་དག་པའི་སྤྱད་པ་སྤྱོད་པ་ལ་སྦྱོར་བ་དང་། ངེས་པའི་དོན་ལ་ཤིན་ཏུ་ལེགས་པར་བསྒོམ་པ་དང་བཞིའོ། ། ||| Pursuing omniscient wisdom with great zeal; generating great zeal by being skilled in discerning concentration, liberation, and absorption; applying themselves to pure conduct in order to attain the mental states of love, compassion, joy, and equanimity; and cultivating the definitive meaning.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཤེས་རབ་ཀྱི་སྤྱོད་ཡུལ་ཕུན་སུམ་ཚོགས་པ་དང་། ཡེ་ཤེས་ཀྱི་སྤྱོད་ཡུལ་རྣམ་པར་དག་པ་ཚོལ་ཚོལ་བ་དང་། ཐོགས་པ་མེད་པའི་ཡེ་ཤེས་ལ་མོས་པ་དང་། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་སྨོན་ལམ་རྟག་ཏུ་མི་སྤོང་བའོ། ། ||| The perfection of the domain of insight, seeking the pure domain of wisdom, zeal for unimpeded wisdom, and never abandoning the aspiration for omniscient wisdom.
འཇིག་རྟེན་འཛིན་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་བརྩོན་ཞིང་ནན་ཏན་བྱེད་པ་དང་། ཆོས་རྣམས་ཀྱི་མཚན་ཉིད་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པ་ཡིན་ནོ། ། ||| Lokadhara, bodhisattva great beings who have this set of four qualities will endeavor in and apply themselves to the true characteristics of phenomena and become highly skilled in discerning the characteristics of phenomena.”
འཇིག་རྟེན་འཛིན་གཞན་ཡང་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཚོལ་བར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand an alternate set of four subjects will pursue the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
དྲན་པའི་དབང་པོ་ཡོངས་སུ་རྫོགས་པ་གོམས་པར་བསྒོམ་པར་བྱ་བ་དང་། ཤིན་ཏུ་བདེ་བའི་ཤེས་རབ་སྤྱོད་པ་དང་། དྲན་པ་རྒྱུན་མི་འཆད་པ་དང་ལྡན་པ་དང་། དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་རྫོགས་པར་བསྒོམ་པ་དང་བཞིའོ། ། ||| Cultivating familiarity with the complete power of mindfulness, experiencing blissful insight, maintaining unbroken mindfulness, and thoroughly cultivating the four applications of mindfulness.
