༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མཱ་དྷི་ཙཀྲ་ནཱ་མ་མ་ཧཱ་ཡ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཏིང་ངེ་འཛིན་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Wheel of Meditative Concentration
བཅོམ་ལྡན་འདས་སྒོམ་པ་ནི་སྒོམ་པ་མ་མཆིས་པའི་དོན་ཏོ། ||| Mañjuśrī replied, “Blessed One, meditation means nonmeditation.”
།འཇམ་དཔལ་གྱིས་གསོལ་པ། དེ་བཞིན་གཤེགས་པས་ཆོས་ཇི་ལྟར་སྟོན་པར་མཛད། ||| Then Mañjuśrī asked, “How does the Tathāgata teach the Dharma?” “
བཀའ་སྩལ་པ། འཇམ་དཔལ་ང་ནི་གཟུགས་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པར་ཆོས་སྟོན་ཏོ། ||| Mañjuśrī,” replied the Blessed One, “I teach the Dharma to the effect that forms are undestroyed and unborn.
།ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པར་ཆོས་སྟོན་ཏོ། ||| I teach the Dharma to the effect that feelings, perceptions, formations, and consciousnesses are undestroyed and unborn.
།འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་རྣམས་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པའི་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་རོ། ||| I turn the wheel of Dharma to the effect that attachment, hatred, and ignorance are undestroyed and unborn.
།ངས་ནི་འདི་ལྟར་ཆོས་གང་ཡང་མ་བཤིག །མ་བསྐྱེད་པ་དེ་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སུ་གསུངས་སོ། ||| I have taught that in this way no phenomenon whatsoever has been destroyed or produced in the state of unsurpassed, perfect, and complete awakening.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་བཞིན་དུ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཆོས་ཀྱི་དབྱིངས་ཤེས་སམ། གསོལ་པ། ||| Then, though he already knew the answer, the Blessed One asked the Youthful Mañjuśrī, “Mañjuśrī, do you know the sphere of phenomena?” “
གལ་ཏེ་བདག་གིས་དམིགས་ན་འཚལ་ལགས་སོ། ||| I know it if I focus on it,” replied Mañjuśrī.
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ཀྱིས་འཇིག་རྟེན་གང་ལ་སྤྱོད་པ་ཤེས་སམ། གསོལ་པ། ||| The Blessed One asked, “Mañjuśrī, do you know the world that is experienced?” “
བཅོམ་ལྡན་འདས་འཇིག་རྟེན་ན་སྒྱུ་མ་སྤྲུལ་པའི་མི་གང་ཁོ་ན་ལ་སྤྱོད་པ་དེ་ལ་སྤྱོད་པས་སོ། ||| Blessed One, the world is merely that which is experienced by people who are illusory apparitions.
།བཅོམ་ལྡན་འདས་འཇིག་རྟེན་ཞེས་བགྱི་བ་ནི་དངོས་པོ་མ་མཆིས་པའི་ངོ་བོ་ཉིད་ལགས་སོ། ||| Blessed One, that which is called ‘the world’ is essentially a nonexistent thing.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དེ་བཞིན་གཤེགས་པ་ཆོས་གསན་པར་ནི་བཞེད་ཀྱི། ||| The Blessed One said, “The Tathāgata wishes to hear the Dharma.
ཁྱོད་སྤོབས་པར་གྱིས་ཤིག །གསོལ་པ། ||| Demonstrate your inspired speech!”
ཅི་ལས་བརྩམས་ཏེ་སྤོབས་པར་བགྱིད་པ་ལགས། ||| Mañjuśrī asked, “With what should I begin to demonstrate my inspired speech?” “
བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ཆོས་ཀྱི་དབྱིངས་ལས་རྩོམས་ཤིག ། ||| Begin with the sphere of phenomena, Mañjuśrī,” replied the Blessed One. “
གསོལ་པ། བཅོམ་ལྡན་འདས་གང་བདག་གིས་ཆོས་ཀྱི་དབྱིངས་མ་ལགས་པའི་ཆོས་དེ་བདག་གིས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་སོ། །བཀའ་སྩལ་པ། ||| Blessed One, I do not see any phenomenon that is not the sphere of phenomena.” “
མངོན་པའི་ང་རྒྱལ་ཅན་རྣམས་རབ་ཏུ་སྐྲག་པར་འགྱུར་རོ། །གསོལ་པ། ||| Those who have unfounded pride will be afraid,” said the Blessed One. “
བཅོམ་ལྡན་འདས་གལ་ཏེ་ཡང་དག་པའི་མཐའ་སྐྲག་པར་གྱུར་ན། དེའི་སླད་དུ་མངོན་པའི་ང་རྒྱལ་ཅན་སྐྲག་པར་འགྱུར་རོ། ||| Blessed One,” replied Mañjuśrī, “if the very limit of reality is afraid, then those who have unfounded pride will be afraid.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why?
ཡང་དག་པའི་མཐའ་དང་། མངོན་པའི་ང་རྒྱལ་ཅན་གཉིས་གཅིག་ཅིང་དབྱེར་མེད་པའི་ཕྱིར་རོ། ||| Because the very limit of reality and those who have unfounded pride are one and the same, and indistinguishable.” “
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ནི་རྡོ་རྗེའི་གཞི་ཡིན་ནོ། །འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| Mañjuśrī,” said the Blessed One, “you are a vajra basis.” “
བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་མི་ཕྱེད་ཅིང་བསམ་གྱིས་མི་ཁྱབ་པས་ན་རྡོ་རྗེའི་གཞི་ལགས་སོ། ||| Blessed One,” said Mañjuśrī, “since all phenomena are indivisible and inconceivable, they too are vajra bases.
།དེ་ཅིའི་སླད་དུ་རྡོ་རྗེའི་གཞི་ཞེས་བགྱི་ན་སེམས་ཅན་མ་མཆིས་པ་དང་། དངོས་པོ་མ་མཆིས་པའི་སླད་དུ་རྡོ་རྗེའི་གཞི་ལགས་སོ། ||| Why are they said to be vajra bases? Because sentient beings do not exist and things do not exist, they too are vajra bases. “
།གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ལྟར་ལགས་པའི་ཡང་དག་པའི་མཐའ་ནི་མ་མཆིས་པ་ལགས་ཏེ། ||| Blessed One, such a very limit of reality does not exist.
དེ་ལྟ་བུའི་མཐའ་གང་ལགས་པ་དེ་ནི་ཚུར་མཆི་བ་དང་། ཕར་མཆི་བ་མ་མཆིས་ཏེ། ||| Whatever is such a limit neither comes nor goes.
བཅོམ་ལྡན་འདས་དེ་ལྟ་བུའི་མཐའ་ཅན་གྱི་དོན་ལ་གནས་ནས་རང་བཞིན་མེད་པའི་དོན་སྒོམ་པར་བྱེད་དོ། །དབེན་པ་སྟེན་པར་ཡང་བྱེད་དོ། །འདུ་འཛི་སྤོང་ངོ་། ||| Blessed One, dwelling on the meaning of having such a limit, one meditates on the meaning of the absence of an intrinsic nature, keeps to remote places, and abandons distractions.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཆོས་བསྟན་པ་ནི་རབ་ཏུ་ངོ་མཚར་ཏོ། ||| Then Venerable Śāriputra said to the bodhisattva Mañjuśrī, “Mañjuśrī, the Dharma you have taught is amazing.” “
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ངོ་མཚར་མི་ཆེ་སྟེ། ||| Honorable Śāriputra, it is not so amazing,” replied Mañjuśrī. “
དགྲ་བཅོམ་པ་ཟག་པ་མེད་པ་ནི་ཆོས་སྟོན་པའི་སྣོད་མ་ཡིན་ཏེ། ||| The uncontaminated arhats are not vessels for this Dharma teaching.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
འདི་ལྟར་ཆོས་བསྟན་པ་འདི་ནི་སོ་སོའི་སྐྱེ་བོའི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། དགྲ་བཅོམ་པའི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། རང་སངས་རྒྱས་ཀྱི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། དེ་བཞིན་གཤེགས་པའི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན་པའི་ཕྱིར་ཏེ། ||| Because a Dharma teaching like this does not engage with the attributes of ordinary beings, it does not engage with the attributes of arhats, it does not engage with the attributes of pratyekabuddhas, and it does not engage with the attributes of tathāgatas.
འདི་ནི་ཆོས་དམིགས་པའི་ཕྱིར་ཡང་ཞུགས་པ་མ་ཡིན་ནོ། ||| It does not engage at all in the observation of phenomena.
།འདི་ནི་གང་དུ་ཡང་ཞུགས་པ་དང་ལྡོག་པ་མེད་པའི་ཕྱིར་རོ། ||| This is because it neither engages in nor retreats from anything.
།ཆོས་ཐམས་ཅད་ཤིན་ཏུ་དབེན་པའི་ཕྱིར་རོ། ||| This is because all phenomena are void.” “
།སྨྲས་པ། འཇམ་དཔལ་ཅི་ལ་བསམས་ཏེ་སྨྲ། འཇམ་དཔལ་གྱིས་སྨྲས་པ། ||| Mañjuśrī, will you say what you had in mind?” “
བཙུན་པ་ཤཱ་རིའི་བུ་དགྲ་བཅོམ་པ་ཉིད་ནི་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་ཟད་པ་ཡིན་ན་དེ་དག་གང་གི་སྣོད་ཡིན་ཞིང་དེ་གང་ཇི་ལྟ་བུ་ཞིག་གི་སྣོད་དུ་འགྱུར་སྙམ་སྟེ། ||| Honorable Śāriputra,” replied Mañjuśrī, “if the state of an arhat is the state in which attachment, hatred, and ignorance have been extinguished, then of what can they be a vessel? Of what kind of Dharma can they be a vessel?
དེ་ལས་བསམས་ནས་དགྲ་བཅོམ་པ། ཟག་པ་ཟད་པ། ཆོས་བསྟན་པའི་སྣོད་མ་ཡིན་པར་ཁོ་བོ་དེ་སྐད་སྨྲའོ། ||| It is with this in mind that I say that arhats, whose contaminants have been extinguished, are not vessels for this Dharma teaching. “
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་འཆི་འཕོ་བ་དང་། སྐྱེ་བ་མེད་པའི་ཆོས་ཡིན་པར་མོས་སམ། ||| Honorable Śāriputra, do you esteem this as a Dharma without death and rebirth?” “
སྨྲས་པ། འཇམ་དཔལ་བདག་མོས་སོ། ||| Mañjuśrī, I do.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་ལ་བཀའ་སྩལ་པ། འཇམ་དཔལ་ལེགས་སོ་ལེགས་སོ། ||| Then, the Blessed One said to the bodhisattva Mañjuśrī, “Mañjuśrī, excellent! Excellent!
།ཆོས་ཟབ་མོའི་དོན་ལ་ཁྱོད་རབ་ཏུ་མཁས་པར་བསྔགས་པར་གྱུར་ཏོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་། ||| You are to be praised for your mastery of the meaning of the profound Dharma.”
ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| After the Blessed One had spoken thus, the bodhisattva Youthful Mañjuśrī, the venerable Śāriputra, and the world with its gods, humans, asuras, and gandharvas rejoiced and praised what the Blessed One had said.
འཕགས་པ་ཏིང་ངེ་འཛིན་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| This concludes the noble Mahāyāna sūtra “The Wheel of Meditative Concentration.”
