འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་ནང་དུ་ཡང་དག་འཇོག་ལ་ཞུགས་པ་དེ་དག་ཐམས་ཅད་ཀྱང་འདུས་སོ། ། ||| All the bodhisattva great beings at Vulture Peak Mountain who had retired for meditation also gathered.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོ་རིན་པོ་ཆེ་སྣ་བདུན་ལས་བྱས་པའི་པད་མ་འདབ་མ་སྟོང་དང་ལྡན་པ་ཐོགས་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། ||| The bodhisattva great being Amalagarbha then went before the thus-gone, worthy, perfect buddha Śākyamuni, holding a thousand-petaled lotus flower made of the seven precious substances.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། པད་མ་འདབ་མ་སྟོང་དང་ལྡན་པ་དེ་ཕུལ་ནས། ||| He bowed his head to the Blessed One’s feet and offered him the thousand-petaled lotus.
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འཇིག་རྟེན་གྱི་ཁམས་སྤྱོད་པ། ཡོངས་སུ་དག་པ་དང་ལྡན་པ་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ཀུན་དུ་རྒྱས་པ་བཅོམ་ལྡན་འདས་ལ་སྙུན་གསོལ་ཏེ། ||| Amalagarbha then said to the Blessed One, “Blessed One, the thus-gone, worthy, perfect buddha Saṃkusumita from the world Immaculate Conduct inquiries about the Blessed One’s health.
གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། ||| Does the Blessed One have but little trouble, grief, and agitation?
འཚོ་འམ། སྟོབས་དང་ལྡན་པར་བདེ་བ་ལ་རེག་པར་གནས་སམ། ||| Is he in good health, strong, and at ease?
བཅོམ་ལྡན་འདས་ལ་སྙུན་མི་མངའ་འམ། གནོད་པ་ཆུང་ངམ་ཞེས་སྙུན་གསོལ་ཞིང་ ||| Is the Blessed One free of illness and does he have but few troubles?”
འདི་སྐད་ཅེས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ཀུན་ནས་སྒོའི་ལེའུ་བསམ་གྱིས་མི་ཁྱབ་པ་ལ་འཇུག་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ལ་སྟོན་ཏམ་ཞེས་ཀྱང་གསུང་ངོ་། ། ||| When he had thus inquired after the Blessed One’s health, he added, “Might the blessed, thus-gone, worthy, perfect buddha Śākyamuni deliver the Dharma teaching pertaining to the inconceivable Exposition on the Universal Gateway to the bodhisattva great beings?”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོས་བཅོམ་ལྡན་འདས་ལ་རྣམ་པ་དེ་དག་གསོལ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་འཁོར་དང་བཅས་ཏེ་ནམ་མཁའ་ལ་སྐྱིལ་མོ་ཀྲུང་བཅས་ནས་འདུག་གོ ། ||| Then, having asked the Blessed One in this way, the bodhisattva great being Amalagarbha sat down cross-legged in the sky in the midst of his retinue of bodhisattvas.
ཡང་དེའི་ཚེ་ན་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་གོ ། ||| At that time, Prince Mañjuśrī was also present within that assembly.
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| He rose from his seat, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བྱང་ཆུབ་སེམས་དཔའ་རྣམས་རྗེས་སུ་བཟུང་བའི་སླད་དུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པས་ཀུན་ནས་སྒོའི་ལེའུ་བསམ་གྱིས་མི་ཁྱབ་པ་ལ་འཇུག་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེགས་པར་བཤད་དུ་གསོལ། ||| Joining his palms, he bowed toward the Blessed One and said, “In order to foster the bodhisattvas, I request the Blessed One, the Thus-Gone One, to thoroughly expound the Dharma teaching pertaining to the inconceivable Exposition on the Universal Gateway.
བཅོམ་ལྡན་འདས་བདག་གིས་མངོན་པར་འཚལ་ཏེ། ||| Blessed One, I beseech you.
འདས་པའི་དུས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀུན་དུ་སྣང་བའི་སྒྲོན་མ་ལས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་ཏིང་ངེ་འཛིན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་བསྐྱེད་པར་གྱུར། གཟུངས་སྒྲུབ་པའི་སྒོ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་བདུན་ཅུ་རྩ་བདུན་ཡང་རྟོགས་པར་གྱུར་ཏོ། ། ||| In the past, I received this teaching from the thus-gone, worthy, perfect buddha Bright Lamp and thereby developed eighty-four sextillion absorptions. I also understood seventy-seven sextillion approaches to accomplishing dhāraṇīs.
དེ་ལྟ་ལགས་པས་བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་རྗེས་སུ་གཟུང་བའི་སླད་དུ་ལེགས་པར་བཤད་དུ་གསོལ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| That being the case, may the Blessed One also teach this thoroughly in order to foster these bodhisattvas.”
བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །དེའི་ཕྱིར་འཇམ་དཔལ་ཁྱོད་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| In response, the Blessed One said the following to Prince Mañjuśrī: “To this effect, Mañjuśrī, listen carefully and keep in mind what I explain.”
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བཅོམ་ལྡན་འདས་དེ་བཞིན་ནོ། །ཞེས་གསོལ་ཏེ། ||| Prince Mañjuśrī answered, “Blessed One, so be it.”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| He listened closely as the Blessed One said, “Mañjuśrī, bodhisattva great beings should understand form to be absorption.
སྒྲ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand sound to be absorption.
དྲི་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand scent to be absorption.
རོ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand taste to be absorption.
རེག་བྱ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand tactile objects to be absorption.
ཡིད་ཀྱི་ཁམས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the objects of the mind to be absorption.
བུད་མེད་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “They should understand women’s figures to be absorption.
སྐྱེས་པའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand men’s figures to be absorption.
ཁྱེའུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand boys’ figures to be absorption.
བུ་མོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand girls’ figures to be absorption.
ལྷའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the gods’ figures to be absorption.
ཀླུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the nāgas’ figures to be absorption.
གནོད་སྦྱིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the yakṣas’ figures to be absorption.
དྲི་ཟའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the gandharvas’ figures to be absorption.
ལྷ་མ་ཡིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the asuras’ figures to be absorption.
ནམ་མཁའ་ལྡིང་གི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the garuḍas’ figures to be absorption.
མི་འམ་ཅིའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the kinnaras’ figures to be absorption.
ལྟོ་འཕྱེ་ཆེན་པོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the mahoragas’ figures to be absorption.
སེམས་ཅན་དམྱལ་བའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the hell beings’ figures to be absorption.
དུད་འགྲོའི་སྐྱེ་གནས་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand animals’ figures to be absorption.
གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand the figures of beings in the world of the Lord of Death to be absorption.
འདོད་ཆགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “They should understand attachment to be absorption.
ཞེ་སྡང་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand anger to be absorption.
གཏི་མུག་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand ignorance to be absorption.
དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand all virtues to be absorption.
མི་དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand all nonvirtues to be absorption.
འདུས་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand all conditioned phenomena to be absorption.
འདུས་མ་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| They should understand all unconditioned phenomena to be absorption.
དེ་ལྟར་ཆོས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་སྟེ། ||| In this manner, they should understand all phenomena to be absorption.
འཇམ་དཔལ་དེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཐམས་ཅད་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནི་ཐམས་ཅད་དུ་འགྲོ་བའི་བློ་དང་ལྡན་པ་ཡིན་ལ་ཀུན་ནས་སྒོའི་ལེའུའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉིད་ལ་ཡང་བསླབས་པ་ཡིན་ནོ། ། ||| Mañjuśrī, bodhisattva great beings who obtain all such absorptions have omnipresent minds and are trained in the Dharma teaching of The Exposition on the Universal Gateway.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, in this regard, how should bodhisattvas understand form to be absorption?
གཟུགས་ནི་དབུ་བ་ལྟ་བུར་གསུངས། དེ་ལ་སྙིང་པོ་མི་རྙེད་དོ། ། ||| “Form is said to be like a bubble: Its essence cannot be found.
སྙིང་པོ་མེད་ཕྱིར་གཟུང་མེད་ཕྱིར། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Since it is essenceless and cannot be grasped, I have taught it to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how one should understand form to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་སྒྲ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, in this regard, how should bodhisattvas understand sound to be absorption?
སྒྲ་ནི་བྲག་ཆ་ལྟ་བུ་སྟེ། དེ་ལ་དངོས་པོ་ཡོད་མ་ཡིན། ། ||| “Sound is like an echo: It has no substance.
ཐ་དད་དབྱེ་བ་མེད་ཤེས་ཤིང་། །མཚན་ཉིད་མེད་པར་བྱེ་བྲག་མེད། ། ||| I know it to have no distinguishable parts And to be devoid of characteristics, with no particularities.
མཚན་ཉིད་མེད་ཅིང་བྱུང་བ་མེད། །ཡ་མ་བརླ་དང་འདུས་མ་བྱས། ། ||| “It has no characteristics or origin, And is hollow and unconditioned.
བྲག་ཆ་ལྟ་བུར་ཤེས་པ་ན། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Knowing it to be like an echo, I have taught it to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་སྒྲ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, that is how you should understand sound to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་དྲི་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand scent to be absorption?
ཇི་ལྟར་རྒྱ་མཚོའི་གཏིང་དག་ནི། །ནམ་ཡང་ཅིས་ཀྱང་གང་མེད་ལྟར། །བསྐལ་པ་བྱེ་བར་བསྣམས་བྱས་ཀྱང་། །སྣ་ནི་ཚིམ་པར་འགྱུར་བ་མེད། ། ||| “Just as the bottom of the ocean Can never be reached in any way, You could smell for ten million eons, But there would still be no satisfying the nose.
སྣ་ཡི་རྣམ་རིག་གཟུང་མེད་དེ། །སླུ་བའི་ཆོས་དེ་ཡོད་མ་ཡིན། ། ||| “The olfactory cognition cannot be apprehended; It is deceiving and nonexistent.
གལ་ཏེ་ཡང་དག་ཡིན་གྱུར་ན། །དེ་ལས་མྱུར་དུ་ཚིམ་པར་འགྱུར། ། ||| Were it to be real, It could rapidly be contented.
གཟུང་བ་མེད་ཅིང་ཡང་དག་མིན། །སྣ་ཡང་ཡོད་མིན་གསོག་ཏུ་ཤེས། ། ||| “Since it is imperceptible and unreal, The nose is known to be nonexistent and hollow.
གསོབ་དང་སྟོང་བར་ཤེས་པས་ན། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Knowing it to be void and empty, I have taught it to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་དྲི་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand scent to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་རོ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand taste to be absorption?
ལྕེ་ནི་ཚ་དང་ཁ་བའང་མིན། །སྐྱུར་དང་ལན་ཚྭ་འང་མ་ཡིན་ཏེ། ། ||| “The tongue is neither pungent nor bitter; It is neither sour nor salty.
ཅི་འདྲའི་རྐྱེན་དང་ལྡན་པ་ལས། །ལྕེ་ཡང་དེ་དང་འདྲ་བར་འགྱུར། ། ||| The tongue just changes in accordance With the conditions it encounters.
རོ་འདི་རྒྱུ་ལས་བྱུང་བ་དང་། །རྐྱེན་ལས་རག་ལས་ཤེས་གྱུར་ཅིང་། ། ||| Taste is known to arise through causes And in dependence on conditions.
བསམ་གྱིས་མི་ཁྱབ་ཤེས་པས་ན། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Knowing it to be inconceivable, I have taught it to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་རོ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand taste to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་རེག་བྱ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand tactile objects to be absorption?
རྣམ་རིག་ལས་བྱུང་རེག་བྱ་ནི། །ངོ་བོ་ཉིད་ཀྱིས་ཡོད་མ་ཡིན། ། ||| “Tactile objects, which arise out of cognition, Are not inherently existent.
འཇམ་པ་དང་ནི་རྩུབ་པ་ཉིད། །རྐྱེན་རྣམས་ལས་ནི་བྱུང་བ་ཡིན། ། ||| Softness and roughness Are created by conditions.
རེག་བྱ་གནས་པ་མེད་པ་སྟེ། །བདག་མེད་ཉེ་བར་གནས་པ་ཡིན། ། ||| “Tactile objects are baseless; Their way of abiding is devoid of self.
ཚོགས་རྣམས་སྦྱོར་བར་ཤེས་པས་ན། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Knowing them to be a combination of composite factors, I have taught them to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་རེག་བྱ་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand tactile objects to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ཡིད་ཀྱི་ཁམས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand objects of the mind to be absorption?
གང་དག་སྟོང་གསུམ་སེམས་ཅན་རྣམས། །དེ་དག་གནས་གཅིག་གནས་གྱུར་ཏེ། ། ||| “Beings of the trichiliocosm All dwell in the same condition.
ཡིད་ཁམས་རྣམ་པར་ཤེས་བྱེད་ཀྱང་། །དེ་ཡི་དངོས་པོ་རྙེད་མི་འགྱུར། ། ||| Though they cognize the range of mental objects, They cannot find their substance.
བསགས་པ་དང་ནི་གོང་བུ་ཡང་། །རྣམ་པར་རིག་ལ་གནས་པ་མེད། ། ||| “That which is aggregated and amassed Has no basis in cognition.
ཁ་དོག་སྣ་ཚོགས་རྣམས་སྟོན་ཀྱང་། །ཕྱི་དང་ནང་ན་གནས་མ་ཡིན། ། ||| Though cognition displays various colors, These exist neither outside nor inside.
གནས་པ་མེད་ཅིང་གནས་ཀྱང་མེད། ། ||| “Mental objects do not abide and have no basis.
