༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཀྵེ་མ་བ་ཏཱི་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ།
བོད་སྐད་དུ།
འཕགས་པ་བདེ་ལྡན་མ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Prophecy of Kṣemavatī
བདེ་ལྡན་མ་གང་ལུས་ལ་ཐོགས་པའི་འབྲས་བུ་འདི་ལྟ་བུ་ཤིན་ཏུ་ལྷམ་མེ་ལྷན་ནེ་ལྷ་ངེར་འདུག་པའི་ཤིང་དེའི་མིང་ཅི་ཞེས་བྱ། ||| “Kṣemavatī, what is the name of the tree that bears the kind of brilliant, dazzling, shining fruit that adorns your body?”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་།
བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མས་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། ||| Queen Kṣemavatī answered the Blessed One with the following verses:
གང་གི་འབྲས་བུ་ཁྱོད་ཐོགས་པ། །ཤིང་དེའི་མིང་ནི་ཅི་ཡིན་ཞེས། ||| ‘What is the name of the tree That bears the fruit you wear?’
།དཔའ་བོ་ཆེན་པོ་མཁྱེན་བཞིན་དུ། །གང་ཟག་མཆོག་གིས་རྨས་པ་ནི། ||| Even though, great hero, you already know.
།བདག་གིས་སྔོན་ནི་གང་བསྐྱེད་པ།།བསོད་ནམས་ལས་བྱུང་ཤིང་ཞེས་བགྱི། ||| “It is called the tree arisen from the merit Generated in the past.
།འདྲེན་པ་བདག་གིས་མྱོང་བ་ཡི། །འབྲས་བུ་ ||| Guide, these fruits I now enjoy
འདི་དག་དེ་ཡི་ལགས། ||| Are from a tree such as that.
།ལྗོན་ཤིང་བཤད་པ་དེ་ཉིད་ཀྱང་། ||| “This very same fruit tree
།སངས་རྒྱས་ཉན་ཐོས་རྣམས་ལ་ཡོད། ||| Belongs to disciples of the Buddha.
།སངས་རྒྱས་ཡེ་ཤེས་འཐོབ་འདོད་རྣམས། ||| Those who wish to obtain the wisdom of a buddha
།བྱང་ཆུབ་ཕྱིར་ནི་དེ་ལ་གནས། ||| Sit before it in order to awaken.
།སྦྱིན་དང་ཚུལ་ཁྲིམས་ཆབ་སྩལ་བས། ||| “Watered with generosity and discipline,
།ལྗོན་ཤིང་དེ་ནི་རྣམ་པར་བསྲུངས། ||| This fruit tree has been well tended.
།དེ་ནི་རྣམ་པར་འཁྲུངས་པ་ན། ||| And when it fully blossoms,
།འབྲས་བུ་བཟང་པོ་རྣམས་ཀྱང་འབྱུང་། ||| It will bear sublime fruits.
།བཟོད་པ་དང་ནི་བརྩོན་འགྲུས་མཐུས། ||| “With the powers of patience and diligence,
།ལྗོན་ཤིང་བདག་གིས་ལེགས་པར་བསྲུངས། ||| I have carefully tended this fruit tree,
།དེ་ནི་རྣམ་པར་འཁྲུངས་པ་ན། ||| And when it blossoms,
།འབྲས་བུ་དྲི་མེད་འབྱུང་བར་འགྱུར། ||| It will bear flawless fruits.
།ཤིང་འདི་བལྟ་ན་མཛེས་པ་སྟེ། ||| “This tree is beautiful to behold,
།བསམ་གཏན་ཤེས་རབ་མེ་ཏོག་རྒྱས། ||| Covered with flowers of concentration and insight.
།འདྲེན་པ་བདག་གིས་དེ་དག་གི། ||| Guide, all that I enjoy
།འབྲས་བུ་རྣམས་ནི་མྱོང་བ་ལགས། ||| Is the fruit of that tree.
།ཇི་ལྟར་རི་ལ་རྟེན་པ་ཡི། ||| “Just like trees Rooted in the mountains
།ཤིང་རྣམས་ཡལ་ག་ལོ་མ་དག །ཆུ་ཞེང་གབ་པར་རྒྱ་ཆེ་བ། ||| Have outstretched limbs and leaves
།འཕེལ་བར་གྱུར་ཏེ་བསྐྱོད་མི་ནུས། ||| That they spread far and wide without moving,
།དེ་བཞིན་ལྗོན་ཤིང་ཆེ་བཟང་འདི།།སངས་རྒྱས་ཆོས་ཉིད་འཚལ་བས་ན།།སེམས་ཅན་ཀུན་ལ་ཕན་པའི་ཕྱིར། །སྔོན་ནི་ལེགས་པར་བསྲུངས་པ་ལགས། ||| “In that way I carefully tended This excellent broad fruit tree in the past By seeking the essence of buddhahood With the aim of benefiting all beings.
།འདྲེན་པའི་བསོད་ནམས་ལྗོན་ཤིང་འདིའི། ||| “Guide, this tree of merit
།འབྲས་བུ་གཞན་ཡང་མཆིས་ལགས་ཏེ། ||| Will have many more fruits besides.
།བདག་གིས་ཉམས་སུ་མྱོང་བ་འདི། ||| I will experience more
།དེ་ཡི་མེ་ཏོག་ཙམ་དུ་བས། ||| Than the mere flowers.
།དེ་ཡི་འབྲས་བུ་བྱང་ཆུབ་མཆོག །སངས་རྒྱས་བྱང་ཆུབ་བླ་མེད་ལགས། །དེ་ནི་བདག་གིས་ཐོབ་པར་འགྱུར། ||| “I will attain the fruits of that tree— Supreme awakening, The unsurpassed awakening of a buddha.
།སྨད་པ་བུད་མེད་ཉིད་སྤངས་ནས། ||| When I leave this lowly station of womanhood behind,
།སྐྱེས་པར་བདག་ཉིད་འགྱུར་བ་ལགས། ||| “I will be reborn as a man
།སེམས་ཅན་ཀུན་གྱི་དམ་པ་མཆོག །ཆོས་རྣམས་ཀུན་གྱི་ཕ་རོལ་ཕྱིན། ||| Who is sublime among all beings, Has perfected all qualities,
།ཐམས་ཅད་མཁྱེན་པ་ཐམས་ཅད་གཟིགས། ||| And is all-knowing and all-seeing.
།སྡུག་བསྔལ་ཀུན་གྱིས་ཉེན་པ་ཡི།།སེམས་ཅན་རྣམས་ནི་བདག་གིས་དགྲོལ། ||| “I will liberate those beings Who are oppressed by suffering,
།འཇིག་རྟེན་ཀུན་ལ་སྙིང་བརྩེ་བའི། །སྐྱབས་སུ་བདག་ནི་འགྱུར་བ་ལགས། ||| And become a compassionate refuge For the denizens of the world.”
།དེ་སྐད་ཅེས་གསོལ་པ་དང་།
བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལ་བཀའ་སྩལ་པ། བདེ་ལྡན་མ་གང་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེའི་ཚོགས་ཀྱི་དོན་དང་། ལྷ་རྣམས་དང་། མི་རྣམས་ལ་ཕན་པ་དང་། བདེ་བའི་ཕྱིར་ཞུགས་པ་ལེགས་སོ་ལེགས་སོ། ||| The Blessed One responded, “Kṣemavatī, you have acted to bring benefit and happiness to many people and have compassion for the world. You have acted for the sake of the vast assembly of beings, for the happiness and benefit of gods and humans alike.Excellent, excellent indeed!”
།དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་།
བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མས་འདི་སྐད་ཅེས་གསོལ་ཏོ།།བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་དང་། དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུ་དང་། དེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་དང་། མི་འཇིགས་པ་བཞི་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་དང་། སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་དང་། བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་དང་། དགའ་བ་ཆེན་པོ་དང་། བཏང་སྙོམས་ཆེན་པོ་འདི་རྣམས་ཅི་ལས་གྲུབ་ལགས། ||| “Blessed One,” Queen Kṣemavatī replied, “the Blessed One has the thirty-two major and eighty minor bodily marks of a great being, the ten powers of the thus-gone ones, the four fearlessnesses, the four special modes of knowledge, the eighteen unique qualities of a buddha, great loving-kindness, great compassion, great joy, and great equanimity. Where do all of your qualities come from?
དེ་བཞིན་དུ་གཞན་ཡང་སངས་རྒྱས་ཀྱི་ཆོས་དཔག་ཏུ་མ་མཆིས་པ་དང་། བསམ་གྱིས་མི་ཁྱབ་པ་དང་། གཞལ་དུ་མ་མཆིས་པ་དང་། བརྗོད་དུ་མ་མཆིས་པ་དང་། བགྲང་བ་ལས་འདས་པ་རྣམས་ཅི་ལས་གྲུབ་ལགས། ||| And, furthermore, where do the unfathomable, inconceivable, immeasurable, ineffable, incalculable qualities of the Buddha come from?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་།
བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལ་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། ||| The Blessed One answered Queen Kṣemavatī with these verses:
སངས་རྒྱས་ཡེ་ཤེས་འདོད་པས་ན། ||| “Desiring the wisdom of the buddhas
།སེམས་ཅན་ཀུན་ལ་ཕན་པའི་ཕྱིར། ||| In order to benefit all beings,
།ངས་ཀྱང་འདི་ལྟར་ལྗོན་པའི་ཤིང་། །སྔོན་ནི་ལེགས་པ་ཁོ་ནར་བསྐྱེད། ||| I too, in the past, have done nothing But carefully tend such a tree.
།སྦྱིན་དང་ཚུལ་ཁྲིམས་བཟོད་པ་དང་། །དེ་བཞིན་བརྩོན་འགྲུས་བསམ་གཏན་བསགས། ||| “I gathered generosity, discipline, patience, And likewise diligence and concentration.
།ཡུན་རིང་དུས་ནས་ཏིང་འཛིན་དང་། །ཤེས་རབ་ངེས་པར་བསྟེན་པ་ཡིན། ||| For a long time, I applied myself To absorption and insight.
།སེམས་ཅན་རྣམས་ལ་མི་མཉམ་སེམས། ||| “Beings have biased minds,
།ངས་ནི་བསྒོམས་པར་མི་དྲན་ཏེ། ||| Yet my mind is impartial
།རྟག་ཏུ་སེམས་ནི་མཉམ་གྱུར་པས། ||| Without needing to be cultivated.
།སངས་རྒྱས་ཉིད་ནི་ངས་བརྙེས་སོ། ||| Thus I discovered buddhahood itself.
།ང་ཡི་སེམས་ནི་མཉམ་པ་ཡིས། ||| “With an impartial mind That equalizes
།རྟག་ཏུ་སྡུག་དང་མི་སྡུག་དང་། །མཛའ་དང་མི་མཛའ་སྙོམས་པས་ན། ||| Beauty and ugliness, friend and foe,
།བསོད་ནམས་ཤིང་ནི་རྣམ་པར་བསྐྱེད། ||| I grew the tree of merit.
།དེས་ན་ལྗོན་ཤིང་ཆེན་པོ་འདི། ||| “As a result, this broad tree
།ཡོན་ཏན་མང་པོར་གྱུར་པ་ཡིན། ||| Gained many excellent qualities.
།འཁོར་ལོས་སྒྱུར་ཉིད་ངས་ཐོབ་སྟེ། ||| I attained the state of a universal monarch
།བརྒྱ་བྱིན་ཉིད་ཀྱང་བྱས་པ་ཡིན། ||| And the level of Śakra.
།རྣམ་མང་དབང་ཕྱུག་ཆེན་པོ་དང་། །ཚངས་པ་ཉིད་ཀྱང་དེ་ལས་ཐོབ། ||| “I surpassed the many-formed Maheśvara, And even Brahmā himself. I realized the characteristics
།བསམ་གྱིས་མི་ཁྱབ་སངས་རྒྱས་ཆོས། །མཚན་ཉིད་དག་ཀྱང་ངས་རྟོགས་སོ། ||| Of the inconceivable features of buddhahood.”
།དེ་ནས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མས་བཅོམ་ལྡན་འདས་ཀྱི་ཡོན་ཏན་རྣམས་ཐོས་ནས། བཅོམ་ལྡན་འདས་ཀྱིས་ལེགས་པར་རབ་ཏུ་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དེ་རྗེས་སུ་ཡི་རངས་ནས་བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། ||| After hearing of the qualities of the Blessed One, Queen Kṣemavatī praised the Blessed One’s well-spoken teaching and rejoiced, offering these verses:
ཇི་ལྟར་མི་མཆོག་དམ་པ་པོ། ||| “Just as the supreme human, the excellent one,
།ཡོན་ཏན་རྒྱ་མཚོ་མཐའ་ཡས་པས། ||| With his endless ocean of qualities,
།སྔོན་ནི་སྤྱོད་པ་ཤིན་ཏུ་བསླབས། ||| Trained his conduct in the past,
།དེ་ལྟར་བདག་ཀྱང་རྗེས་སུ་སློབ། ||| So will I train.
།ཡོན་ཏན་མཐར་ཕྱིན་ཁྱོད་ཀྱི་ནི། ||| “As you have perfected all qualities,
།ཡོན་ཏན་རྣམས་ལྟར་བདག་སློབ་སྟེ། ||| I train to emulate your qualities.
།སྲིད་པར་སྡུག་བསྔལ་སྤངས་ནས་ནི། ||| Abandoning the suffering of existence,
།བདག་ཀྱང་འདི་འདྲར་འགྱུར་བར་བགྱི། ||| I too will become like that.
།ཚེ་རབས་གཞན་ནི་མ་ལུས་པར། །བདག་གིས་སྦྱིན་པ་གང་སྩལ་པ།།མཉམ་མེད་ཡེ་ཤེས་འཐོབ་སླད་དུ།།དེ་དག་ཐམས་ཅད་ཡོངས་སུ་བསྔོ། ||| “I fully dedicate All the generosity I cultivate In all my subsequent lives To the attainment of unparalleled wisdom.
།སྲིད་པ་འདི་འམ་གཞན་དག་ཏུ། །བདག་གིས་ཚུལ་ཁྲིམས་གང་བསྲུངས་པ།།སངས་རྒྱས་ཡེ་ཤེས་འཐོབ་སླད་དུ།།དེ་དག་ཐམས་ཅད་ཡོངས་སུ་བསྔོ། ||| “I fully dedicate All the discipline I maintain In this life and any other To the attainment of the wisdom of the buddhas.
།བཟོད་དང་བརྩོན་འགྲུས་ཏིང་འཛིན་དང་། །ཤེས་རབ་དགེ་བ་གང་བསྟེན་པ།།སངས་རྒྱས་ཆོས་ཀྱི་དོན་གྱི་ཕྱིར།།དེ་དག་ཐམས་ཅད་བདག་གིས་བསྔོ། ||| “I dedicate All the patience, diligence, absorption, Insight, and virtue I cultivate To be of benefit to the Buddha’s teachings.
།ལུས་དང་ངག་དང་ཡིད་རྣམས་ཀྱིས། །ལས་དགེ་གང་དག་བདག་གིས་བསགས།།སངས་རྒྱས་ཡེ་ཤེས་ཡོན་ཏན་ཕྱིར། །བྱང་ཆུབ་ཏུ་ནི་བདག་གིས་བསྔོ། ||| “All the virtuous deeds I accrue Through body, speech, and mind I dedicate to awakening, For the sake of the wisdom and qualities of the buddhas.
།བུད་མེད་ལུས་འདི་སྤངས་ནས་ནི། །སྐྱེས་པ་མཆོག་ཏུ་བདག་གྱུར་ཅིག །དེ་ལྟར་སྐྱེས་པའི་ལུས་ཐོབ་ནས། ||| “May I leave this woman’s body behind And take the supreme form of a man. Upon attaining the body of a man,
།དམ་པའི་མཆོག་ཏུ་བདག་གྱུར་ཅིག ||| May I become the most sublime of beings.
།དེ་ལྟར་གྱུར་ནས་བདེ་གཤེགས་ཀྱི།།འཁོར་ལོ་བླ་མེད་བསྐོར་བར་བགྱི།།འཁོར་བའི་བཙོན་རར་བཅིངས་པ་ཡི། །སེམས་ཅན་བྱེ་བ་དགྲོལ་བར་བགྱི། ||| “Once that has come to pass, I will turn The unsurpassed wheel of the well-gone ones. I will free the masses of beings Who are trapped in the prison of saṃsāra.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལ་ཚིགས་སུ་བཅད་པ་དག་གིས་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ||| The Blessed One then offered his approval to Queen Kṣemavatī with this verse:
ཚིག་འདི་སྨྲས་པ་ལེགས་པ་ཡིན། །སེམས་ནི་རབ་ཏུ་སྡོམ་པ་ལེགས། ||| “Those words were well spoken, Your mind is well disciplined,
།ཁྱོད་ཀྱིས་བདུད་ནི་ལེགས་པར་མནན། ||| And you have subdued Māra well!
།རྫོགས་སངས་རྒྱས་སུ་ཁྱོད་འགྱུར་རོ། ||| You will awaken to perfect buddhahood!”
།དེ་ནས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་དགའ་ཞིང་མགུ་ལ་རབ་ཏུ་དགའ་བ་དང་། དགའ་ཞིང་ཡིད་བདེ་བ་སྐྱེས་ནས་བཅོམ་ལྡན་འདས་དང་། བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་བཟའ་བ་དང་བཅའ་བ་མང་པོས་ཚིམ་པར་བྱས་སོ། ||| Queen Kṣemavatī was joyful, elated, and jubilant. Filled with joy and delight, she offered the Blessed One and the bodhisattva great being Maitreya plenty of food and drink until they were satisfied.
།དེ་ནས་བཅོམ་ལྡན་འདས་བསྩང་སྡེར་ནི་གྱུ། ཕྱག་ནི་བཅབས་ནས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལ་ཆོས་ཀྱི་གཏམ་རྒྱས་པས་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་ལུང་བསྟན་ཏེ། ||| After the Blessed One put away his bowl and washed his hands, he gave Queen Kṣemavatī extensive Dharma teachings, encouraged her to uphold them, inspired her, delighted her, and then made this prophecy:
བདེ་ལྡན་མ་ཁྱོད་མ་འོངས་པའི་དུས་བསྐལ་པ་དུ་མ་ཞིག་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། ||| “In the future, Kṣemavatī, many eons from now, you will become a thus-gone, worthy, perfected buddha, a teacher for gods and humans.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡོན་ཏན་རིན་ཆེན་དཔལ་ཞེས་བྱ་བར་འགྱུར་རོ། །ཁྱོད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཡང་མཆོག་ཏུ་ཡོངས་སུ་དག་པར་འགྱུར་ཏེ། ||| You will be a blessed buddha known as Guṇaratnaśrī, and your buddha field will be supremely pure.
ངན་སོང་ངན་འགྲོ་ལོག་པར་ལྟུང་བའི་སྡུག་བསྔལ་མེད་པ་ཡིད་དུ་འོང་བ་ཡིད་དང་འཐད་པ་མཆོག་ཏུ་རྣམ་པར་དག་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་གནས་ཡིན་ཏེ། ||| It will be free of the suffering of descending to lower rebirths and the lower realms. It will be an abode of beautiful, pleasant, and supremely pure bodhisattvas.
ཁྱོད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ནི་དེ་ལྟ་བུར་འགྱུར་རོ། ||| Such will be your buddha field.”
།ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པ་ན་དགེ་བསྙེན་མ་སྟོང་ཕྲག་མང་པོ་ཞིག་གིས་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ||| As this teaching was given, many thousands of laywomen developed the intent to reach unexcelled, perfect awakening.
།སྲོག་ཆགས་སྟོང་ཕྲག་མང་པོ་དང་། ལྷ་དང་མིའི་སྐྱེ་དགུ་རྣམས་ཀྱིས་ནི་ཆོས་ཀྱི་སྣང་བ་ཐོབ་པར་གྱུར་ཏོ། ||| Thousands of beings and many gods and humans obtained the light of the Dharma.
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས།རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་དང་། འཁོར་དེ་དག་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། ||| When the Blessed One had finished speaking, Queen Kṣemavatī, her retinue, and the entire world with its gods, humans, asuras, and gandharvas all rejoiced and praised what the Buddha had taught.
།།འཕགས་པ་བདེ་ལྡན་མ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| This concludes the noble Mahāyāna sūtra “The Prophecy of Kṣemavatī.”
