༄༅༅། །རྒྱ་གར་སྐད་དུ། གཎ་ཌཱི་ས་མ་ཡ་སཱུ་ཏྲ། བོད་སྐད་དུ།
གཎ་ཌཱིའི་དུས་ཀྱི་མདོ། ||| The Sūtra on the Timings for the Gaṇḍī
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་བཞི་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གཉིས་པ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, four feet is the time for the gaṇḍī; a fingerbreadth less than two feet is not.
དབྱར་ཟླ་ཐ་ཆུངས་ཀྱི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་གསུམ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གཉིས་པ་ནི་དུས་མ་ཡིན་ནོ། །ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་རྐང་པ་གསུམ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གཉིས་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the last summer month, three feet is the time for the gaṇḍī; a fingerbreadth less than two feet is not.
སྟོན་ཟླ་ར་བའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་གསུམ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་ཕྱེད་དང་གསུམ་ནི་དུས་མ་ཡིན་ནོ། ། ||| “In the first half of the first month of fall, three feet is the time for the gaṇḍī; a fingerbreadth less than two and a half feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་གཉིས་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་ཕྱེད་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, two feet is the time for the gaṇḍī; a fingerbreadth less than half a foot is not.
སྟོན་ཟླ་འབྲིང་པོའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བཞི་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གཉིས་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the middle month of fall, four feet is the time for the gaṇḍī; a fingerbreadth less than two feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་བཞི་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གཉིས་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, four feet is the time for the gaṇḍī; a fingerbreadth less than two feet is not.
སྟོན་ཟླ་ཐ་ཆུངས་ཀྱི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་ལྔ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གསུམ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the last month of fall, five feet is the time for the gaṇḍī; a fingerbreadth less than three feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་དྲུག་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བཞི་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, six feet is the time for the gaṇḍī; a fingerbreadth less than four feet is not.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| After the Blessed One spoke these words, the monks rejoiced and praised what the Blessed One had taught.
འཕགས་པ་གཎ་ཌཱིའི་དུས་ཀྱི་མདོ་རྫོགས་སྷོ།། །། ||| This completes “The Sūtra on the Timings for the Gaṇḍī.”
རྒྱ་གར་གྱི་མཁན་པོ་དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དང་། ལོཙྪ་བ་དགེ་སློང་དགེ་བའི་བློ་གྲོས་ཀྱིས་བསྒྱུར། ། ||| Translated by the Indian preceptor Dīpaṃkara Śrījñāna and the translator monk Gewai Lodrö.
