ཕ་མའི་མདོ། ||| The Father and Mother Sūtra
དགེ་སློང་དག་རིགས་ཀྱི་བུའི་ཕ་མ་གཉིས་ནི་རིགས་པའི་སྒོ་ནས་ལྷ་དང་འདྲ་བའི་ཕྱིར་རོ། ། ||| Monks, from the perspective of the family, the father and mother of a child of noble family are like gods.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ||| That is what the Blessed One proclaimed.
བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས་སྟོན་པས་གཞན་ཡང་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Well-Gone One having said that, the Teacher proclaimed this, too:
ཕ་མ་གཉིས་ནི་ཚངས་པ་སྟེ། ། ||| “Father and mother—both are Brahmā
དེ་བཞིན་དང་པོ་སློབ་དཔོན་ཡིན། ། ||| And, likewise, one’s first teachers.
བུ་ཡི་ཀུན་སྦྱིན་འོས་གྱུར་པ། ། ||| Worthy of their children’s every gift,
མི་ཡང་ཡིན་ལ་ལྷ་ཡང་ཡིན། ། ||| They are humans and they are gods.
དེ་ཕྱིར་དེ་གཉིས་ཕྱག་གི་གནས། ། ||| “Therefore, they are worthy of prostration.
དྲིལ་བ་དང་ནི་ཁྲུས་རྣམས་དང་། །རྐང་པ་དག་ཀྱང་བསྐུ་བ་དང་། ། ||| They are to be massaged and bathed, their feet anointed.
ཡང་ན་ཟས་དང་སྐོམ་རྣམས་དང་། །གོས་དང་མལ་སྟན་རྣམས་ཀྱིས། །མཁས་པ་དག་གིས་བཀུར་སྟི་བྱ། ། ||| The wise should also serve them with food and drink, With clothing, bedding, and cushions.
ཕ་མ་དག་ལ་བཀུར་བྱས་པ། །དེས་ན་མཁས་པ་དེ་དག་ནི། །འདིར་ཡང་སྨད་པ་མེད་འགྱུར་ལ། །ཤི་ནའང་མཐོ་རིས་འགྲོ་བར་འགྱུར། ། ||| “Those who serve their father and mother Are, for that reason, wise. In this life they will not be disparaged, And at death they will go to the higher realms.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| The Blessed One having proclaimed thus,
དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| the monks rejoiced and praised what the Blessed One had said.
ཕ་མའི་མདོ་རྫོགས་སོ།། །། ||| This completes “The Father and Mother Sūtra.”
