༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། ||| With his palms together, he bowed toward the Blessed One.
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་རབ་ཏུ་གཡོ་བར་བྱས་ནས། སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་སེམས་ཅན་ཐམས་ཅད་ལ་བལྟས་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །གལ་ཏེ་ཞུས་ནས་ཞུ་བ་ལུང་བསྟན་པའི་སླད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་སྐབས་ཕྱེ་ན། ||| He then shook the worlds in the trichiliocosm and, considering all the beings there, asked the Blessed One, “If I were to ask a question, would the Blessed One offer me an explanation?
བདག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་ཕྱོགས་འགའ་ཞིག་ཞུའོ། ||| Could I ask a small question of the blessed, thus-gone, worthy, and perfect Buddha?”
།དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་དྲ་བ་ཅན་གྱི་འོད་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །དྲ་བ་ཅན་གྱི་འོད་ཁྱོད་ཅི་དང་ཅི་འདོད་པ་དེ་བཞིན་གཤེགས་པ་ལ་དྲིས་ཤིག་དང་། དྲིས་པ་དེ་དང་དེ་ཉིད་ལུང་བསྟན་པས་ངས་ཁྱོད་ཀྱི་སེམས་རངས་པར་བྱའོ། ||| “Jālinīprabha,” replied the Blessed One, “You may ask the Thus-Gone One whatever you please. Then I shall delight your mind by answering your question.”
།དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་དྲ་བ་ཅན་གྱི་འོད་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ནི་བལྟ་བས་ཆོག་མི་ཤེས་པ་ཁ་དོག་ཉི་མ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་བས་ལྷག་པ་ལགས་ཏེ། ||| The bodhisattva Jālinīprabha then addressed the Blessed One, “When I observe the captivating body of the Blessed One, I see that it is brighter than one septillion suns.
བཅོམ་ལྡན་འདས་བདག་ནི་དེ་བཞིན་གཤེགས་པའི་སྐུ་བལྟ་བའམ་བརྟག་པར་ནུས་པ་འདི་ནི་ངོ་མཚར་ཏོ་སྙམ་བགྱིད་དོ། ||| Blessed One, to be able to observe or examine the Thus-Gone One’s body is extraordinary.
།བཅོམ་ལྡན་འདས་ཡང་བདག་ནི་དེ་བཞིན་གཤེགས་པའི་སྐུ་བལྟ་བའམ་རྟོག་པ་དེ་དག་ཐམས་ཅད་ནི་སངས་རྒྱས་ཀྱི་མཐུའོ་སྙམ་བགྱིད་དོ། ||| Furthermore, Blessed One, does the ability to observe the body of the Thus-Gone One or to examine it come from the power of the buddhas?”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དྲ་བ་ཅན་གྱི་འོད་ཇི་སྐད་ཟེར་བ་དེ་བཞིན་ཏེ། དེ་བཞིན་གཤེགས་པས་སྐབས་མ་ཕྱེ་བར་དེ་བཞིན་གཤེགས་པའི་སྐུ་བལྟ་བའམ་བརྟག་པར་མི་ནུས་སོ། ||| “Jālinīprabha,” the Blessed One replied, “it is just as you have said. Beings are able to observe or examine the Thus-Gone One’s body only when the Thus-Gone One allows it.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། དྲ་བ་ཅན་གྱི་འོད་དེ་བཞིན་གཤེགས་པ་ལ་རབ་ཏུ་ཞི་བའི་རྣམ་པར་བཀོད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་ཡོད་དེ། ||| You may ask why, Jālinīprabha, thus-gone ones emanate rays of light called unfolding of peace.
འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་ཡང་བལྟ་ཞིང་རྟོག་ལ་དེ་དག་གི་མིག་གི་དབང་པོ་ཡང་ཉམས་པར་མི་འགྱུར་རོ། ||| Sentient beings touched by these light rays are able to observe and examine the body of thus-gone ones with no impairment to their eye faculty.
།དྲ་བ་ཅན་གྱི་འོད་དེ་བཞིན་གཤེགས་པ་ལ་མི་འཇིགས་པ་སྤོབས་པ་ཞེས་བྱ་བའི་འོད་ཟེར་ཡོད་དེ། ||| Jālinīprabha, thus-gone ones have rays of light called fearless eloquence.
འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པ་ལ་ཀུན་འདྲི་ཞིང་ཕྱིར་འདྲི་བར་བྱེད་དོ། ||| Sentient beings touched by these light rays ask questions of the thus-gone ones, and reply to questions with questions.
།དྲ་བ་ཅན་གྱི་འོད་དེ་བཞིན་གཤེགས་པ་ལ་དགེ་བའི་རྩ་བ་བསགས་པ་ཞེས་བྱ་བའི་འོད་ཟེར་ཡོད་དེ། ||| Jālinīprabha, thus-gone ones have rays of light called accumulation of virtuous roots.
འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོའི་རྒྱལ་སྲིད་ཐོབ་པར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལ་ཀུན་འདྲིའོ། ། ||| Sentient beings touched by these light rays question the thus-gone ones in order to obtain the kingdom of a universal monarch.
དེ་བཞིན་དུ་སྦྱར་ཏེ། འོད་ཟེར་དགེ་བའི་རྣམ་པར་བཀོད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་བརྒྱ་བྱིན་ཐོབ་པར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལ་ཀུན་འདྲིའོ། ||| Likewise, thus-gone ones have rays of light called unfolding of virtue. Sentient beings touched by these light rays question the thus-gone ones in order to become like Śakra.
།འོད་ཟེར་བདག་པོ་ཐོབ་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་ཚངས་པའི་འཇིག་རྟེན་དུ་སྐྱེ་བར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལ་ཀུན་འདྲིའོ། ||| Thus-gone ones have rays of light called boon of sovereignty. Sentient beings touched by these light rays question the thus-gone ones in order to be reborn in the world of Brahmā.
།འོད་ཟེར་ཉོན་མོངས་པ་མེད་པར་གྱུར་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པ་ལ་ཉན་ཐོས་ཀྱི་ཐེག་པ་ཀུན་འདྲིའོ། ||| Thus-gone ones have rays of light called free of emotional defilements. Sentient beings touched by these light rays question the thus-gone ones about the hearers’ vehicle.
།འོད་ཟེར་རྩེ་གཅིག་པ་དབེན་པ་དང་ལྡན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པ་ལ་རང་སངས་རྒྱས་ཀྱི་ཐེག་པ་ཀུན་འདྲིའོ། ||| Thus-gone ones have rays of light called one-pointed in solitude. Sentient beings touched by these light rays question the thus-gone ones about the solitary buddhas’ vehicle.
།འོད་ཟེར་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་སུ་དབང་བསྐུར་བ་ཐོབ་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པ་ལ་ཐེག་པ་ཆེན་པོ་སངས་རྒྱས་ཀྱི་ཐེག་པ་ཀུན་འདྲིའོ། ||| Thus-gone ones have rays of light called bestowal of empowerment into the wisdom of omniscience. Sentient beings touched by these light rays question the thus-gone ones about the Great Vehicle of buddhahood.
།འོད་ཟེར་ཁྱད་པར་དུ་འགྲོ་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་དེ་བཞིན་གཤེགས་པ་བྱོན་པའམ་བཞུད་པའི་ཞབས་ཀྱི་མཐིལ་གྱིས་སེམས་ཅན་གང་ལ་རེག་པ་དེ་དག་ཤི་འཕོས་མ་ཐག་ཏུ་བདེ་འགྲོ་མཐོ་རིས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེའོ། ||| Thus-gone ones have rays of light called special conveyance. Sentient beings touched by these light rays are able to touch the soles of a thus-gone one’s feet as he comes and goes. All such beings will have happy rebirths in higher realms as soon as they die.
།རྒྱན་ཐམས་ཅད་བཀོད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེ། ||| They have rays of light called array of all ornaments.
དེ་བཞིན་གཤེགས་པ་གྲོང་དུ་གཤེགས་པ་ན་འབྱིན་ཏེ། དེར་དེ་བཞིན་གཤེགས་པའི་འོད་དེས་སེམས་ཅན་སུ་དག་ལ་རེག་པ་དེ་དག་ཐམས་ཅད་བདེ་བའི་མཆོག་དང་ལྡན་པར་འགྱུར་རོ། ||| When thus-gone ones go to a town, they emanate these light rays, and all sentient beings touched by this light of the thus-gone ones gain supreme happiness.
།རྒྱན་ཐམས་ཅད་བཀོད་པ་ཡང་གྲོང་ཁྱེར་དེར་འབྱུང་བར་འགྱུར་རོ། ||| And a display of all types of ornaments also adorns the town.
།རྣམ་པར་འཐོར་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་དེ་བཞིན་གཤེགས་པ་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་རབ་ཏུ་གཡོ་བར་བྱེད་དོ། ||| “The thus-gone ones’ rays of light called shaker move infinite, limitless world systems.
།བདེ་བ་སྟོན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་དམྱལ་བ་པའི་སེམས་ཅན་རྣམས་ཀྱི་སེམས་ཅན་དམྱལ་བའི་སྡུག་བསྔལ་མེད་པར་བྱེད་དོ། ||| The rays of light called revealer of happiness eliminate the suffering that hell beings normally endure.
།འོད་ཟེར་བྱམས་པས་འཕགས་པ་ཞེས་བྱ་བ་དེས་ནི་བྱོལ་སོང་གི་སྐྱེ་གནས་སུ་སོང་བའི་སེམས་ཅན་རྣམས་གཅིག་ལ་གཅིག་མི་ཟ་བར་བྱེད་དོ། ||| The rays of light called sublime love guard beings born in the animal realm from eating one another.
།འོད་ཟེར་རབ་ཏུ་སིམ་པར་བྱེད་པ་ཞེས་བྱ་བ་དེས་ནི་གཤིན་རྗེའི་འཇིག་རྟེན་པའི་སེམས་ཅན་རྣམས་ཀྱི་གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་སྡུག་བསྔལ་མེད་པར་བྱེད་དོ། ||| The rays of light called refreshment remove the suffering that beings normally endure in the world of Yama.
།དྲི་མ་མེད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ལྡོངས་པ་རྣམས་མིག་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called stainless give sight to blind beings.
།རྣ་བའི་རྗེས་སུ་འཐུན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་འོན་པ་རྣམས་རྣ་བ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called hearing give hearing to deaf beings.
།རྣམ་པར་སྤོང་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་ལ་གནས་པ་རྣམས་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called abandonment lead beings who follow the path of the ten types of negative actions onto the path of the ten positive actions.
།ངོ་ཚ་ཤེས་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་མྱོས་པ་རྣམས་དྲན་པ་འཐོབ་པར་འགྱུར་རོ། ||| The rays of light called modesty grant mindfulness to intoxicated beings.
།མེད་པར་འགྱུར་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ལོག་པར་ལྟ་བ་ཅན་རྣམས་ཡང་དག་པར་ལྟ་བ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called disappearance bring beings with wrong views to acquire the right view.
།རབ་ཏུ་གཏོང་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་སེར་སྣ་ཅན་རྣམས་གཏོང་བ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called giving make stingy beings generous.
།ཡོངས་སུ་གདུང་བ་མེད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ངན་པའི་ངང་ཚུལ་ཅན་རྣམས་ཚུལ་ཁྲིམས་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called absence of torment lead ill-natured beings to discipline.
།ཕན་པ་དང་ལྡན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་གནོད་པར་སེམས་པ་རྣམས་བཟོད་པ་དང་དེས་པ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called beneficial grant forbearance and gentleness to beings with harmful intentions.
།འབར་བ་ཅན་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ལེ་ལོ་ཅན་རྣམས་བརྩོན་འགྲུས་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called blazing inspire lazy beings with diligence.
།རྩེ་གཅིག་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་དྲན་པ་ཉམས་པ་རྣམས་བསམ་གཏན་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called focus give concentration to beings with weak mindfulness.
།ཡེ་ཤེས་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་འཆལ་པའི་ཤེས་རབ་ཅན་རྣམས་ཤེས་རབ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called wisdom give insight to beings with faulty insight.
།རྙོག་པ་མེད་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་མ་དད་པ་རྣམས་དད་པ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called immaculate inspire faith in beings bereft of it.
།ཀུན་འཛིན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ཐོས་པ་ཉུང་བ་རྣམས་ཐོས་པ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called retention expose uneducated beings to the teachings.
།སྤྱོད་པ་དང་ལྡན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ངོ་ཚ་བ་དང་འཛེམ་པ་མེད་པ་རྣམས་ངོ་ཚ་ཤེས་པ་དང་། ཁྲེལ་ཡོད་པ་ཐོབ་པར་འགྱུར་རོ། ||| The rays of light called politeness instill modesty and propriety in shameless and reckless beings.
།སྐྱོ་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་འདོད་ཆགས་སྤྱོད་པ་རྣམས་ཀྱི་འདོད་ཆགས་འཇོམས་པར་འགྱུར་རོ། ||| The rays of light called weariness lead beings who act out of desire to overcome their desire.
།དགའ་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ཞེ་སྡང་སྤྱོད་པ་རྣམས་ཀྱི་ཞེ་སྡང་འཇོམས་པར་འགྱུར་རོ། ||| The rays of light called joy make beings who act out of aversion overcome their aversion.
།སྣང་བ་ཅན་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་གཏི་མུག་སྤྱོད་པ་རྣམས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཁོང་དུ་ཆུད་པར་འགྱུར་རོ། ||| The rays of light called clarity lead ignorant beings to understand dependent origination.
།ཀུན་ཏུ་འགྲོ་བ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ཆ་མཉམ་པ་སྤྱོད་པ་རྣམས་ཆ་མཉམ་པ་སྤྱོད་པ་སྤོང་བར་འགྱུར་རོ། ||| The rays of light called ubiquitous make beings who act out of an equal measure of the three poisons abandon this way of acting.
།དྲ་བ་ཅན་གྱི་འོད་དེ་བཞིན་གཤེགས་པ་ལ་གཟུགས་ཐམས་ཅད་སྟོན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་ཡོད་དེ། ||| “Jālinīprabha, the thus-gone ones also have rays of light called revealing all forms.
འོད་ཟེར་དེས་རེག་པའི་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པའི་སྐུ་ཁ་དོག་སྣ་ཚོགས་ཁ་དོག་དུ་མ། ཁ་དོག་བརྒྱ་སྟོང་དུ་མས་ལྷག་པར་མཐོང་བར་འགྱུར་རོ། ||| Beings touched by these light rays can clearly see the thus-gone ones’ bodies in many hundreds of thousands of colors.
།དྲ་བ་ཅན་གྱི་འོད་ངས་དེ་བཞིན་གཤེགས་པའི་འོད་ཟེར་ལ་བརྩམས་ཏེ། བསྐལ་པའམ། བསྐལ་པ་ལས་ལྷག་པར་བཤད་ཀྱང་དེ་བཞིན་གཤེགས་པའི་འོད་ཟེར་གྱི་རྣམ་པ་དང་ལྡན་པའི་ཆོས་བསྟན་པ་ཡོངས་སུ་ཟད་པར་མི་འགྱུར་ཏེ། ||| Jālinīprabha, if I began to speak about the light rays of the thus-gone ones, I could not complete an explanation about the features of the light rays of the thus-gone ones even if I were to speak for an eon, or even longer.
དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནི་འོད་ཟེར་གྱི་ཡོན་ཏན་མཐའ་ཡས་མུ་མེད་པ་དང་ལྡན་པ་ཡིན་ནོ། ||| In this way, the thus-gone, worthy, and perfect buddhas have rays of light with infinite and limitless qualities.”
