སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
ཅི་ནས་ཚངས་པའི་བསོད་ནམས་འཕེལ་བ་དང་། ལྷ་དང་བཅས་པ་བདུད་དང་བཅས་པ། ཚངས་པ་དང་བཅས་པའི་འཇིག་རྟེན་ན་དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་ལས་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་དག་བསོད་ནམས་ཤིན་ཏུ་མང་དུ་འཕེལ་བར་འགྱུར་བ་དེ་ལྟ་དེ་ལྟར། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ལ་ཆོས་བསྟན་དུ་གསོལ། ||| please teach them the Dharma in such a way so that their merit of Brahmā will increase, and the merit of the monks, nuns, laymen, and laywomen will increase much more than that of all types of beings in the world of gods, māras, and Brahmā, including renunciants and brahmins.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་ཚིགས་སུ་བཅད་པ་བཀའ་སྩལ་པ། ||| At this, the Blessed One spoke the verses of dependent arising:
ཡེ་དྷརྨཱ་ཧེ་ཏུ་པྲ་བྷ་བཱ་ཧེ་ཏུན་ཏེ་ཥཱན་ཏ་ཐཱ་ག་ཏོ་ཧྱ་བ་དཏ། ཏེ་ཥཱཉྩ་ཡོ་ནི་རོ་དྷ་ཨེ་བམ་བཱ་དཱི་མ་ཧཱ་ཤྲ་མ་ཎཿ། ||| ye dharmā hetuprabhavā hetuṃ teṣāṃ tathāgato hy avadat teṣāṃ ca yo nirodha evaṃvādī mahā­śramaṇaḥ
ཆོས་གང་རྒྱུ་བྱུང་དེ་དག་གི། །རྒྱུ་དང་དེ་འགོག་གང་ཡིན་པའང་། །དེ་བཞིན་གཤེགས་པས་བཀའ་སྩལ་ཏེ། །དགེ་སྦྱོང་ཆེན་པོས་དེ་སྐད་གསུངས། ||| “All phenomena that arise from causes, The Tathāgata has taught their cause, And that which is their cessation; Thus has proclaimed the Great Renunciant.
སྤྱན་རས་གཟིགས་དབང་ཕྱུག་འདི་ལྟ་སྟེ། ||| “Avalokiteśvara, it is like this.
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་འདི་ནི་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཆོས་ཀྱི་སྐུ་ཡིན་ཏེ། ||| This dependent arising is the dharmakāya of all the tathāgatas.
སུས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་མཐོང་བ་དེས། དེ་བཞིན་གཤེགས་པ་མཐོང་ངོ་། ||| A person who sees dependent arising sees the Tathāgata.
སྤྱན་རས་གཟིགས་དབང་ཕྱུག་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་གང་ལ་ལ་ཞིག་གིས་མི་གནས་པའི་ཕྱོགས་སུ་མཆོད་རྟེན་ནི་སྐྱུ་རུ་རའི་འབྲུ་ཙམ། ||| Avalokiteśvara, if a faithful son or daughter of a noble family, who has built in an uninhabited place a stūpa—even one no bigger than a gooseberry fruit,
སྲོག་ཤིང་ནི་ཁབ་ཙམ། གདུགས་ནི་བ་ཀུ་ལའི་མེ་ཏོག་ཙམ་ཞིག་བྱས་ལ། ||| with a central pillar the size of a needle and a parasol the size of a flower of the bakula tree
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་ཚིགས་སུ་བཅད་པ་ནང་དུ་བཅུག་ན་དེ་ཚངས་པའི་བསོད་ནམས་སྐྱེད་པར་འགྱུར་ཏེ། ||| —inserts into it this verse of dependent arising which is the dharmadhātu, he or she will generate the merit of Brahmā.
འདི་ནས་ཤི་འཕོས་ཤིང་འཆི་བའི་དུས་བྱས་ནས་ཚངས་པའི་འཇིག་རྟེན་དག་ཏུ་སྐྱེ་བར་འགྱུར་རོ། ||| When such persons pass on from here and die, they will be reborn in the world of Brahmā.
དེ་ནས་ཤི་འཕོས་ཏེ་འཆི་བའི་དུས་བྱས་ནས་གནས་གཙང་མའི་རིས་ཀྱི་ལྷ་རྣམས་དང་སྐལ་བ་མཉམ་པར་སྐྱེ་བར་འགྱུར་རོ། ||| When they pass on from there and die, they will be reborn with fortunes equaling those of the gods of the Pure Abodes.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| After the Blessed One had thus spoken,
ཉན་ཐོས་དེ་དག་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དག་དང་། ||| the hearers, bodhisattvas, the whole assembly, and
ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| the universe of gods, humans, asuras, and gandharvas rejoiced and praised his words.
འཕགས་པ་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| This concludes the Noble Mahāyāna Sūtra on Dependent Arising.
རྒྱ་གར་གྱི་མཁན་པོ་སུ་རེནྡྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ། ||| Translated and edited by the Indian preceptor Surendrabodhi and the principal editor and translator Bandé Yeshé Dé.
