འཕགས་པ་སངས་རྒྱས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Eight Buddhas
དེ་ནས་དེའི་མོད་ལ་ཤར་ཕྱོགས་ནས་པད་མ་སྡོང་པོ་ནི་གསེར། འདབ་མ་ནི་དངུལ། ཟེའུ་འབྲུ་ནི་བཻ་དཱུརྱ། སྙིང་པོ་ནི་རྡོའི་སྙིང་པོ་ལས་གྲུབ་པ་བརྒྱད་ཅིག་བྱུང་བར་གྱུར་ཏོ། ། ||| Then, at that very moment, from the eastern direction there appeared eight lotuses with golden stalks, silver petals, beryl anthers, and centers formed from emeralds.
པད་མའི་སྙིང་པོ་ཐམས་ཅད་ཀྱི་སྟེང་ན་སེང་གེའི་ཁྲི་གྲུ་བཞི་པ། ||| On top of each lotus center stood a square lion throne.
རྩ་བ་བཞི་ཟུག་པ། ||| The thrones rested on four bases and
བཀྲ་བ། བལྟ་ན་སྡུག་པ། དྲི་དང་ལྡན་པ། ཡིད་དུ་འོང་བ། ||| were radiant, lovely to behold, fragrant, and delightful.
དར་གྱི་ལྡ་ལྡི་སྦྱངས་པ། ||| They were fringed with silk tassels,
པོག་པོར་ནས་སྤོས་ཀྱི་དྲིས་ཤིན་ཏུ་བདུགས་པ། ||| permeated with the aroma of incense from a censer,
རིན་པོ་ཆེ་སྣ་ཚོགས་དུ་མ་དག་གིས་ལེགས་པར་བརྒྱན་པ། ||| well adorned with various precious jewels,
དྲིལ་བུ་གཡེར་ཀའི་དྲ་བ་དུ་མ་འཁྲོལ་བ། ||| ringing with many lattices of small bells, and
རིན་པོ་ཆེ་དུ་མའི་བླ་རེ་བྲེས་པ་དག་བྱུང་བར་གྱུར་ཏོ། ། ||| covered by canopies of myriad precious gems.
སེང་གེའི་ཁྲི་ཐམས་ཅད་ཀྱི་སྟེང་ན་དེ་བཞིན་གཤེགས་པའི་སྐུ་དག་ཀྱང་བཞུགས་པར་ཡང་སྣང་སྟེ། ||| On every lion throne appeared the body of a seated thus-gone one.
མཛེས་པ། བལྟ་ན་སྡུག་པ། ||| All these thus-gone ones were beautiful and delightful to behold.
དབང་པོ་ཞི་བ། ཐུགས་ཞི་བ། ||| They had calm senses and calm minds.
དུལ་བ་དང་ཞི་གནས་མཆོག་བརྙེས་པ། ||| They had attained supreme self-discipline and tranquility.
དུལ་བ་དང་ཞི་གནས་དམ་པ་བརྙེས་པ། ||| They had attained true self-discipline and tranquility.
དབང་པོ་བསྲུངས་ཤིང་ཐུལ་བ། གླང་པོ་ཤིན་ཏུ་དུལ་བ་ལྟ་བུ། ||| Their faculties were guarded and restrained, just like a well-tamed elephant.
མཚོ་ལྟར་དངས་ཤིང་རྙོག་པ་མེད་ལ་གསལ་བ། ||| They were pure, unclouded, and clear, just like a lake.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་པོ་དེ་དག་གིས་སྐུ་ལེགས་པར་བརྒྱན་པ། ||| Their bodies were adorned by the thirty-two marks of a great being.
གསེར་གྱི་ཁ་དོག་ལྟ་བུའི་སྐུས་ཉི་མ་དང་ཟླ་བའི་གཟི་བརྗིད་ཟིལ་གྱིས་མནན་ཏེ་ ||| Their golden-hued bodies outshone the brilliance of the sun and the moon.
སྤྱོད་ལམ་བརྒྱ་སྟོང་དུ་མ་དང་ལྡན་པ། ||| They displayed many hundreds of thousands of ways of conduct.
སྐུ་མདོག་བལྟ་བས་ཆོག་མི་ཤེས་པ་དག་སྣང་ངོ་། ། ||| They had a complexion that one’s gaze can never tire of.
དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་སྟན་ལས་ལངས་ཏེ་ ||| Then, through the power of the Buddha, Venerable Śāriputra rose from his seat.
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| He draped his upper robe over one shoulder and placed his right knee on the ground.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Next, having bowed with palms pressed together in the direction of the Bhagavān, he addressed the Bhagavān with these words:
བཅོམ་ལྡན་འདས་ཤར་ཕྱོགས་ནས་པད་མ་སྡོང་པོ་ནི་གསེར། འདབ་མ་ནི་དངུལ། ཟེའུ་འབྲུ་ནི་བཻ་དཱུརྱ། སྙིང་པོ་ནི་རྡོའི་སྙིང་པོ་ལས་གྲུབ་པ་བརྒྱད་པོ་འདི་དག་བྱུང་བར་གྱུར་ཏེ། ||| “Bhagavān, from the eastern direction there have arisen eight lotuses with golden stalks, silver petals, beryl anthers, and centers formed from emeralds.
པད་མའི་སྙིང་པོ་ཐམས་ཅད་ཀྱི་སྟེང་ན་སེང་གེའི་ཁྲི་གྲུ་བཞི་པ། ||| On top of every lotus center is a square throne raised by lions.
རྩ་བ་བཞི་ཟུག་པ། ||| The thrones rest on four bases and
བཀྲ་བ། བལྟ་ན་སྡུག་པ། དྲི་དང་ལྡན་པ། ཡིད་དུ་མཆི་བ། ||| they are radiant, lovely to behold, fragrant, and delightful.
དར་གྱི་ལྡ་ལྡི་སྤྱངས་པ། ||| They are fringed with silk tassels,
པོག་པོར་ནས་སྤོས་ཀྱི་དྲིས་ཤིན་ཏུ་བདུགས་པ། ||| permeated with the aroma of incense from a censer,
རིན་པོ་ཆེ་སྣ་ཚོགས་དུ་མས་ལེགས་པར་བརྒྱན་པ། ||| well adorned with various precious jewels,
དྲིལ་བུ་གཡེར་ཀའི་དྲ་བ་དུ་མ་འཁྲོལ་བ། ||| ringing with many lattices of small bells, and
རིན་པོ་ཆེ་དུ་མའི་བླ་རེ་བྲེས་པ་དག་བྱུང་བར་གྱུར་པ། ||| covered by canopies of myriad precious gems.
སེང་གེའི་ཁྲི་ཐམས་ཅད་ཀྱི་སྟེང་ན། དེ་བཞིན་གཤེགས་པའི་སྐུ་དག་བཞུགས་པར་ཡང་གདའ་སྟེ། ||| “On every lion throne appears the body of a seated thus-gone one.
མཛེས་པ། བལྟ་ན་སྡུག་པ། ||| All these thus-gone ones are beautiful, delightful to behold,
དབང་པོ་ཞི་བ། ཐུགས་ཞི་བ། ||| having calm senses and calm minds.
དུལ་བ་དང་ཞི་གནས་མཆོག་བརྙེས་པ། ||| They have attained supreme self-discipline and tranquility.
དུལ་བ་དང་ཞི་གནས་དམ་པ་བརྙེས་པ། ||| They have attained true self-discipline and tranquility.
དབང་པོ་བསྲུངས་ཤིང་ཐུལ་བ། གླང་པོ་ཆེ་ཤིན་ཏུ་དུལ་བ་ལྟ་བུ། ||| Their faculties are guarded and restrained, just like a well-tamed elephant.
མཚོ་ལྟར་དངས་ཤིང་རྙོག་པ་མེད་ལ་གསལ་བ། ||| They are pure, unclouded, and clear, just like a lake.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་པོ་དག་གིས་སྐུ་ལེགས་པར་བརྒྱན་པ། ||| Their bodies are adorned by the thirty-two marks of a great being.
གསེར་གྱི་ཁ་དོག་ལྟ་བུའི་སྐུས་ཉི་མ་དང་ཟླ་བའི་གཟི་བརྗིད་ཟིལ་གྱིས་མནན་ཏེ་ ||| Their golden-hued bodies outshine the brilliance of the sun and the moon.
སྤྱོད་ལམ་བརྒྱ་སྟོང་དུ་མ་དང་ལྡན་པ། ||| They display many hundreds of thousands of ways of conduct.
སྐུ་མདོག་བལྟ་བས་ཆོག་མི་ཤེས་པ་དག་གདའ་བའི་རྒྱུ་གང་ལགས་རྐྱེན་གང་ལགས། ||| They have a complexion that one’s gaze can never tire of. What are the causes and what are the conditions for this?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Bhagavān replied to Venerable Śāriputra:
ཤཱ་རིའི་བུ་ཁྱོད་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| “Śāriputra, listen very well and keep this in mind. I will explain.”
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་བཅོམ་ལྡན་འདས་དེ་བཞིན་ནོ་ཞེས་གསོལ་ནས། ||| Venerable Śāriputra said, “Bhagavān, I shall do so.”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| Then he listened to the Bhagavān.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Bhagavān said,
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གཅིག་གི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་གཞན་གྱིས་མི་ཐུབ་པ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in a single river Ganges, there is a world system called Unsubdued by Others.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤིན་ཏུ་ཡོངས་བསྒྲགས་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Exceedingly Widely Renowned Glory presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གཉིས་ཀྱི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡིད་འོང་དགའ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in two river Ganges, there is a world system called Exquisitely Joyful.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དབང་པོའི་ཏོག་གི་རྒྱལ་མཚན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha King of the Summit of Power of the Victory Banner presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གསུམ་གྱི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྡུག་དགའ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in three river Ganges, there is a world system called Joyous Delights.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤིན་ཏུ་རྣམ་པར་གནོན་པ་གྲགས་མཆོག་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Glorious Supremely Renowned Intense Subduer presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་བཞིའི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྒོ་ཀུན་ནས་འཇུག་པ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in four river Ganges, there is a world system called Entering from All Doors.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གཡུལ་ལས་ཤིན་ཏུ་རྣམ་པར་རྒྱལ་བའི་རྩལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Skill of the Completely Victorious in Battle presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་ལྔའི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་རྣམ་དག་བརྩེགས་པ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in five river Ganges, there is a world system called Tiers of Purification.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོན་ཏན་བཀོད་པའི་དཔལ་ཀུན་ཏུ་སྣང་བ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Thoroughly Illumined Glorious Array of Excellences presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་དྲུག་གི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་འགྱུར་མེད་ལྡན་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in six river Ganges, there is a world system called Possessing Immutability.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྨན་གྱི་རྒྱལ་པོ་དཔལ་ཐོགས་པ་མེད་པ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Unobstructed Glorious King of Medicine presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་བདུན་གྱི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྤོབས་པ་བརྩེགས་པ་གང་བ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in seven river Ganges, there is a world system called Filled with Masses of Eloquence.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་པོ་ཆེའི་པད་མ་ལས་རྣམ་པར་གནོན་པས་བཞུད་པ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha Forcefully Proceeding from the Precious Lotus presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་བརྒྱད་ཀྱི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྒྲ་དབྱངས་སྙན་པ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Śāriputra, to the east of this buddha realm, past buddha realms as numerous as the grains of sand in eight river Ganges, there is a world system called Pleasant Melodious Sound.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་པོ་ཆེའི་པད་མ་ལ་རབ་ཏུ་གནས་པ་སཱ་ལའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| The thus-gone, worthy, perfect buddha King of the Sāla Abiding in the Precious Lotus presently lives and thrives there, teaching the Dharma.
ཤཱ་རིའི་བུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དག་ནི་ཡོངས་སུ་དག་པ་སྟེ། ||| “Śāriputra, the buddha realms of those blessed buddhas are thoroughly pure.
སྙིགས་མ་ལྔ་མེད་དོ། ། ||| Hence, they are devoid of the five degenerations and
ཡ་མཚན་ཅན་ཐམས་ཅད་མེད་དོ། ། ||| without any heretics.
གསེག་མ་དང་གྱོ་མོ་དག་མེད་དོ། ། ||| They are without pebbles and without gravel.
ཉེ་བའི་ཉོན་མོངས་པ་མེད་དོ། ། ||| They are without subsidiary afflictions.
བུད་མེད་མེད་དོ། ། ||| They are without women.
དུད་འགྲོ་དང་གཤིན་རྗེའི་འཇིག་རྟེན་ཡང་མེད་དོ། ། ||| They are without animals, and they are also beyond the realm of the Lord of Death.
སྦྲང་བུ་དང་། ཤ་སྦྲང་དང་། སྡིག་སྦྲུལ་གྱིས་རེག་པ་རྣམས་མེད་དོ། ། ||| There, one does not come across any wasps, biting insects, or venomous vipers.
ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་དག་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་མཚན་ཉན་པ་དང་། འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། སྟོན་པ་དང་། རབ་ཏུ་འདོན་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དེ་དག་ངན་སོང་གསུམ་དུ་འགྲོ་བ་དེ་ནི་གནས་མ་ཡིན་ཞིང་གོ་སྐབས་མེད་དེ ||| “Śāriputra, those sons or daughters of good family who hear the names of those blessed buddhas and remember, carry, read, teach, properly chant, and master these names will not descend to the three lower realms. Such a possibility will simply not exist.
ཤཱ་རིའི་བུ་དེ་དག་སེམས་ཅན་དམྱལ་བའམ། དུད་འགྲོའི་སྐྱེ་གནས་སམ། གཤིན་རྗེའི་འཇིག་རྟེན་དུ་འགྲོ་བ་དེ་ནི་གནས་མེད་དེ། ||| Hence, Śāriputra, for those beings, going to the hell realm, being reborn as animals, or going to the realm of the Lord of Death is impossible,
མཚམས་མེད་པ་བྱེད་པ་དང་། དམ་པའི་ཆོས་སྤོང་བའི་གང་ཟག་ནི་མ་གཏོགས་ཏེ། དེ་ཡང་ཆུང་ངུ་མྱོང་ཞིང་མང་དུ་མྱོང་བར་མི་འགྱུར་རོ། ། ||| except for those individuals who have committed acts of immediate retribution and those who have abandoned the holy Dharma, and even those beings will have those experiences only minimally, not greatly.
ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་མཚན་ཉན་པ་དང་། འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། སྟོན་པ་དང་། རབ་ཏུ་འདོན་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དེ་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་ཐུག་གི་བར་དུ་ནམ་ཡང་མངོན་པར་ཤེས་པ་དང་བྲལ་བར་མི་འགྱུར། ||| “Śāriputra, whatever sons or daughters of good family hear the names of those blessed buddhas and remember, carry, read, teach, properly chant, and master these names will never be separated from the extraordinary knowledges right up to their arrival at the Essence of Awakening.
ནམ་ཡང་མཚན་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be without signs of realization.
ནམ་ཡང་གཟུངས་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be without dhāraṇī.
ནམ་ཡང་དབང་པོ་མ་ཚང་བར་མི་འགྱུར། ||| They will never have defective faculties.
ནམ་ཡང་སྒྲ་དབྱངས་ཤིན་ཏུ་རྒྱས་པ་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be without abundant melodious speech.
ནམ་ཡང་རྔ་སྒྲའི་དབྱངས་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be without the resonance of drums.
ནམ་ཡང་སྦྱིན་གནས་དང་ཕྱིར་མི་ལྡོག་པ་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be unworthy of gifts, and they will never regress.
ནམ་ཡང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་དང་བྲལ་བར་མི་འགྱུར། ||| They will never be without the flowers of the branches of awakening.
ནམ་ཡང་ཐེག་པ་ཆེན་པོའི་མདོ་སྡེ་ཤིན་ཏུ་རྒྱས་པ་དང་བྲལ་བར་མི་འགྱུར་རོ། ། ||| They will never be without the very extensive Mahāyāna discourses.
ཤཱ་རིའི་བུ་གནས་མ་ཡིན་ཞིང་གོ་སྐབས་མེད་དེ། ||| Śāriputra, there is no basis for that and no possibility for that to occur.
ཤཱ་རིའི་བུ་བུད་མེད་གང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་མཚན་ཉན་པ་དང་། འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། སྟོན་པ་དང་། རབ་ཏུ་འདོན་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དེ་བུད་མེད་ཀྱི་དངོས་པོ་ལན་གཉིས་ཐོབ་པར་འགྱུར་བ་དེ་ནི་གནས་མེད་དོ། ། ||| “Śāriputra, whenever a woman hears the names of those blessed buddhas and remembers, carries, reads, teaches, properly chants, and masters them, it will be impossible for such a woman to acquire female attributes again,
