༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
བདག་གི་མས་རིག་སྔགས་ཤེས་པས་དེའི་མཐུས། ||| My mother, who is a great holder of spells, should be able to draw in the noble Ānanda and make him my husband.”
འཕགས་པ་ཀུན་དགའ་བོ་བཀུག་ལ་ཁྱོ་བྱའོ་སྙམ་དུ་བསམས་སོ། །དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ཆུ་ཐོགས་ནས། གདོལ་པའི་ཁྱིམ་གང་ན་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| The outcaste girl Prakṛti then took the water jug and went to her outcaste home.
ཆུ་བུམ་ཕྱོགས་གཅིག་ཏུ་བཞག་ནས་རང་གི་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཀྱེ་ཡུམ་མཁྱེན་པར་མཛོད་ཅིག །ཀུན་དགའ་བོ་ཞེས་བྱ་བའི་དགེ་སློང་དགེ་སྦྱོང་གཽ་ཏ་མའི་ཉན་ཐོས་བསྙེན་བཀུར་བ་དེ་བདག་ཁྱོར་འཚལ་གྱིས་ཡུམ་ཁྱོད་ཀྱིས་དཔྱོད་ཀྱིས་དེ་འདིར་ཁུག་ཤིག །དེའི་མས་སྨྲས་པ། ||| Upon arrival, she set the water jug aside and said to her mother, “O mother, listen, there is an ascetic named Ānanda who is a disciple and the attendant of the great ascetic Gautama.
ངས་ཀུན་དགའ་བོ་ཞི་བ་དང་། ||| I want to have him as my husband. Mother, you should be able to draw him in!”
འདོད་ཆགས་དང་བྲལ་བ་མ་ཡིན་ན་དགུག་པར་ནུས་མོད་ཀྱི། ||| “My child,” replied her mother, “I should be able to draw in Ānanda, unless he is dead or free from desires.
འོན་ཀྱང་ཀོ་ས་ལའི་རྒྱལ་པོ་གསལ་རྒྱལ་དགེ་སྦྱོང་གཽ་ཏ་མ་ལ་མཆོག་ཏུ་དད་པས་བསྟེན་ཞིང་བསྙེན་བཀུར་བྱེད་པས། ||| But King Prasenajit of Kauśala is immensely devoted, loyal, and committed to the ascetic Gautama.
གལ་ཏེ་དེས་ཤེས་ན་དེས་གདོལ་པའི་རིགས་རྣམས་བརླག་པར་འགྱུར་རོ། ། ||| If he came to know of this, he would bring the entire outcaste family to ruin.
དགེ་སྦྱོང་གཽ་ཏ་མ་ནི་འདོད་ཆགས་དང་བྲལ་བ་ཐམས་ཅད་ཟིལ་གྱིས་གནོན་ཞེས་ཐོས་སོ། །དེ་སྐད་ཅེས་སྨྲས་པ་དང་། ||| I have heard that the ascetic Gautama is free from desires, and one who is free from desire overcomes all.”
གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །གལ་ཏེ་དགེ་སྦྱོང་གཽ་ཏ་མ་དེ་འདོད་ཆགས་དང་བྲལ་བ་ཡིན་ཡང་རུང་དེའི་ཉེ་གནས་དགེ་སློང་ཀུན་དགའ་བོ་དེ་མ་བཀུག་ན་བདག་ལྕེབ་བོ། ། ||| When this was said, the outcaste girl Prakṛti said to her mother, “Mother, even if the ascetic Gautama is free from desires, should you not obtain the venerable Ānanda from him, I will forsake my life!
གལ་ཏེ་དེ་ཁུགས་ན་ནི་བདག་འཚོ་བར་འགྱུར་རོ། །མས་སྨྲས་པ། ||| If you get him, I will live!”
དགེ་སྦྱོང་ཀུན་དགའ་བོ་དགུག་གིས་སྲོག་མ་དོར་ཅིག ། ||| “Do not forsake your life, my child.
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོའི་མས་ཁང་པའི་དབུས་ལྕི་བས་བྱུགས་ནས་གྲུ་བཞིར་བྱས་ཏེ། ||| I will obtain the ascetic Ānanda,” her mother replied. Thereupon, in the middle of the courtyard, the mother of the outcaste girl Prakṛti smeared cow dung on the floor and shaped it into a ritual platform.
དཱུར་བ་བརྔས་ནས་མེ་སྦར་ཞིང་མེ་ཏོག་དང་། ཨརྐ་བརྒྱ་རྩ་བརྒྱད་ལ་སྔགས་བཟླས་ནས་རེ་རེ་ནས་མེར་བསྐྱུར་རོ། ། ||| After having strewn it with darbha grass, she set it on fire, and she threw one hundred and eight arka flowers into the fire one by one while reciting mantras.
དེ་ལ་རིག་སྔགས་ནི་འདི་ཡིན་ཏེ། ཨ་མ་ལེ་བི་མ་ལེ་ཀུ་ཀུ་སེ་མ་མ་ནེ་ཡེ་ན་བན་དྷོ་སྨི་བིན་དུ་ན་ཨི་ཙུ་ཡཱ་དེ་བོ་བི་ར་ཤ་ཥ་ཏི་བི་དྱོ་ཏི་ཏ་གར་ཛ་ཏི་བིསྨ་ཡ་པ་རཱ་ཛ་ཡ་མ་བྷི་བརྡྷ་ཡི་ཏུཾ་དེ་བེ་བྷྱོ་མ་ནུ་ཥེ་བྷྱོ་གན་དྷ་ར་བེ་བྷྱཿཤེ་ཀི་ཁི་གྲ་ཧ་དེ་བཱ་བི་ཤི་ཀི་གྲ་ཧ་དོ་པ་ཨཱ་ནན་དཱ་སྱ་ཨ་ག་མ་ནཱ་ཡ་ཀྲ་མ་ནེ་ཡ་ཛུ་ཧོ་མོ་སྭ་ཧཱ། དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སེམས་གཡོས་ཏེ། གཙུག་ལག་ཁང་དེ་ནས་ལངས་ནས་གདོལ་པའི་ཁྱིམ་གང་ན་བ་དེར་སོང་ངོ་། །དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་རྒྱང་རིང་མོ་ནས་འོང་བ་གདོལ་པ་མོས་མཐོང་ངོ་། ། ||| This was the formula: {M.3} Amale vimale kuṅkume sumane | yena baddho ’si vidyut | icchayā devo varṣati vidyotati garjati vismayaṃ mahārājasya samabhi­vardhayituṃ devebhyo manuṣyebhyo gandharvebhyaḥ | śikhigrahā devā viśikhi­grahā devā ānanda­syāgamanāya kramaṇāya juhomi svāhā || At that moment, the venerable Ānanda’s mind became entranced, and he left the monastery and walked to the home of the outcastes.
མཐོང་ནས་ཀྱང་གཟུགས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| When the outcaste mother saw the venerable Ānanda coming from afar, she said to her daughter Prakṛti, “My child, that is the ascetic Ānanda who is coming.
བུ་འོང་བ་འོ་ནི་ནི་དགེ་སྦྱོང་ཀུན་དགའ་བོ་ཡིན་གྱིས་ཤེས་པར་གྱིས་ཤིག ། ||| Go and prepare a bed.”
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་དགའ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའི་མལ་བཤམས་སོ། ། ||| Thrilled, elated, and overjoyed, the outcaste girl Prakṛti set about preparing a bed for the venerable Ānanda.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་གདོལ་པའི་ཁྱིམ་གང་ན་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་སྟེགས་བུ་ལ་བརྟེན་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་སྟེ། ||| When the venerable Ānanda had reached the outcaste house, he approached the ritual platform and stood by its side.
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ངུ་ཞིང་འདི་སྐད་ཅེས་སྨྲས་སོ། །བདག་གིས་ཉམ་ང་བའི་གནས་སྐབས་འདི་ཐོབ་ན། ད་ལྟར་བཅོམ་ལྡན་འདས་བདག་ལ་མི་དགོངས་སོ། ། ||| He then cried out and wept, “I find myself in this dreadful predicament, and now the Blessed One does not take notice of me!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་དགོངས་པར་མཛད་དོ། །དགོངས་མ་ཐག་ཏུ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་སྔགས་ཀྱིས་གདོལ་པའི་སྔགས་ཉམས་པར་མཛད་དོ། ། ||| At that very moment, however, the Blessed One took notice of the venerable Ānanda, and having taken notice of him, he immediately vanquished the mantras of the outcaste with the mantras of a perfectly awakened one.
དེའི་སྔགས་ནི་འདི་ཡིན་ཏེ། སྠི་ཏི་ར་ཙུ་ཏི་ར་ནི་སྭ་ཏི་སརྦ་པྲཱ་ཎི་བྷྱཿ སེ་ར་པྲ་ས་ནཾ་ནི་རྡོ་ཥཾ་ཏཾ་སརྦ་ཏོ་པཱ་ཡཾ་ཨི་ཏ་ཡོ་ཡ་ཏྲ་ཤ་སྱནྟ་པྟ་ཡཱ་ནི་ཙ་ལི་ཏཱ་ནི་ཙཱ་ཏཾ་བེ་དེ་བཱ་ན་མཿ ཤྱཾ་ཏི་སརྦ་སིད་དྷ་ཙ་ཡོ་གི་ན་ཨེ་ཏེ་ན་ས་ཏྱ་བཱ་ཀྱེ་ན་སྭ་སྟྱ་ཨཱ་ནན་ད་ཡ་བིཀྵ་བེ། དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་གདོལ་པའི་རིག་སྔགས་བཀྲོལ་ནས་གདོལ་པའི་ཁྱིམ་ནས་བྱུང་ནས་རང་གི་གཙུག་ལག་ཁང་གང་ན་བ་དེར་འགྲོ་བར་བརྩམས་སོ། ། ||| This was the formula: Sthitir acyutiḥ anīti svasti sarva­prāṇibhyaḥ | {M.4} saraḥ prasannaṃ nirdoṣaṃ praśāntaṃ sarvato ’bhayaṃ | ītayo yatra śāmyanti bhayāni calitāni ca | taṃ vai devā namasyanti sarvasiddhāś ca yoginaḥ | etena satyavākyena svasty ānandāya bhikṣave || Then, once the spell of the outcaste had been broken, the venerable Ānanda left the house of the outcastes and began to walk back to his monastery.
གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་མཐོང་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བལྟས་ནས་རང་གི་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཀྱེ་ཡུམ་དགེ་སློང་ཀུན་དགའ་བོ་འདི་མཆི་ཞིང་གདའོ། །དེའི་མས་སྨྲས་པ། ||| The outcaste girl Prakṛti saw this, and as she watched the venerable Ānanda going back, she said to her mother, “Mother, this ascetic Ānanda is going back!”
བུ་ངེས་པར་དགེ་སྦྱོང་གཽ་ཏ་མས་དྲན་པར་བྱས་པས་དེས་ན་བདག་གི་སྔགས་ཉམས་པར་གྱུར་ཏོ། ། ||| “Surely, my child,” said he mother, “the ascetic Gautama must have noticed him and countered my mantras.”
གཟུགས་བཟང་མོས་སྨྲས་པ། ཡང་ཅི་ཡུམ་དག་སྦྱོང་གཽ་ཏ་མའི་སྔགས་ཁྱད་པར་དུ་སྟོབས་དང་ལྡན་ལ་བདག་ཅག་གི་དེ་ལྟ་མ་ཡིན་ནམ། དེ་ལ་མས་སླར་སྨྲས་པ། ||| “But, mother,” replied Prakṛti, “do we not have mantras more powerful than those of the ascetic Gautama?”
བུ་དགེ་སྦྱོང་གཽ་ཏ་མའི་སྔགས་ཁྱད་པར་དུ་སྟོབས་དང་ལྡན་པ་ཡིན་གྱི། བདག་ཅག་གི་དེ་ལྟ་མ་ཡིན་ནོ། ། ||| “My child,” the mother replied, “we do not have mantras more powerful than those of the ascetic Gautama.
བུ་འཇིག་རྟེན་ན་སྔགས་མཐུ་དང་ལྡན་པའི་སྔགས་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་དགེ་སྦྱོང་གཽ་ཏ་མ་འདོད་ན་རབ་ཏུ་འཇོམས་པར་བྱེད་དོ། །ཡང་འཇིག་རྟེན་པའི་སྔགས་མཐུ་དང་ལྡན་པ་ཐམས་ཅད་ཀྱིས་དགེ་སྦྱོང་གཽ་ཏ་མའི་སྔགས་རབ་ཏུ་གཞོམ་པར་མི་ནུས་སོ། ། ||| Even mantras that are overpowering to the entire world, my child, are all vanquished by the ascetic Gautama when he wishes, but the world does not have the power to counter the mantras of the ascetic Gautama.
དེ་ལྟ་བས་ན་དགེ་སྦྱོང་གཽ་ཏ་མའི་སྔགས་ནི་ཆེས་སྟོབས་དང་ལྡན་པ་ཡིན་ནོ། ། ||| In this way the mantras of the ascetic Gautama are more powerful.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ། ||| The venerable Ānanda then arrived at where the Blessed One was.
རིམ་གྱིས་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་གཏུགས་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །ཕྱོགས་གཅིག་ཏུ་འདུག་ནས། ||| Having approached him, he venerated the Blessed One’s feet with his head and stood to one side.
བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་གནས་སྐབས་དེ་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འདི་བསྟན་གྱིས་ཟུང་ལ་ཆོངས་ཤིག །ལྷོགས་ལ་ཀུན་ཏུ་བཟུང་ན་བདག་ཉིད་ལ་ཕན་པ་དང་བདེ་བར་འགྱུར་ཞིང་། དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་རྣམས་ལ་ཕན་པ་དང་བདེ་བ་ཐོབ་པར་འགྱུར་རོ། ། ||| As the venerable Ānanda stood there, the Blessed One said to him, “Take up this six-syllable formula, Ānanda, and retain, recite, and master it for the benefit and welfare of yourself, and for the benefit and welfare of monks, nuns, laymen, and laywomen.
ཀུན་དགའ་བོ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ནི་འདི་ཡིན་ཏེ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དྲུག་གིས་གསུངས་ཤིང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། ||| Ānanda, this six-syllable formula has been spoken by the six tathāgata, arhat, perfectly awakened ones of the past, as well as by the Four Great Kings, by Śakra, lord of the gods, and by Brahmā, lord of this Sahā world.
ད་ལྟར་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ངས་ཀྱང་གསུངས་པ་ཡིན་གྱིས། དེ་ལྟ་བས་ན་ཁྱོད་ཀྱིས་ཟུང་ཤིག །ཐོན་ཅིག ། ||| And now it is spoken by me, Śākyamuni, the Perfectly Awakened One.
ཀུན་དུ་ལྷོགས་ཤིག །འདི་ལྟ་སྟེ། ||| You should therefore retain, recite, and master it.
ཨཎ་ཌ་རེ་ཀེ་ཡུ་རེ་དྷི་ཧ་སྟེ་ས་ར་གེ་བེ་བནྟ་མ་ཏི་དྷ་རི་བི་ཥ་ཙི་ལི་མི་ལི་སཱ་ཏ་ན་ཡུ་སྣ་ཐ་ཡ་སཾ་བྷ་གཱི་ལཱ་གོ་ལ་པ་ཏི་ཀ་ཌཾ་ཙི་ལ། ཀུན་དགའ་བོ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འདི་ནི་ཡོངས་སུ་སྲུང་བ་དང་། བདག་ཉིད་བཀྲ་ཤིས་པར་བྱེད་པ་ཡིན་ཏེ། བསད་པའི་ནི་ཆད་པས་གྲོལ་བར་འགྱུར་རོ། །ཆད་པས་བཅད་པ་ནི་བརྒྱད་པས་བྲལ་བར་འགྱུར་རོ། །བརྒྱད་པར་འོས་པ་ནི་ཡང་དེ་བཞིན་དུ་སྨྲས་པས་བྲལ་བར་འགྱུར་རོ། ། ||| It is as follows: {M.5} Aṇḍare paṇḍare keyūre ’dhihaste saragrīve bandhumati dhara viṣa cili mili sātinimne yathāsaṃbhakte golapati kaṇḍavilāya || “Ānanda, this six-syllable formula offers protection and blessing, such that if one is to be executed, one will be released with the strike of a rod; if one is to be struck with a rod, one will be released with the blow of a fist; and if one is to be struck with the fist, one will be released with a reprimand.”
ཀུན་དགའ་བོ་ངས་ལྷ་དང་བཅས་པ་བདུད་དང་བཅས་པ། ཚངས་པ་དང་བཅས་པའི་འཇིག་རྟེན་ན། དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུའི་ཚོགས་དང་། ལྷ་དང་། མི་རྣམས་ལས་གང་ཞིག་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འདིས་བསྲུང་བ་བྱས་ནས། ||| “Ānanda, I do not see anything in this world with its gods, its Māra, and its Brahmā, among the multitudes with their ascetics and brahmins, with their groups of gods, humans, and asuras, that can overpower when one is protected by this six-syllable formula, when one is blessed with a protective thread tied around one’s arm—except for the maturation of past karma.”
བསྲུང་སྐུད་དཔུང་པ་ལ་བཏགས་ན་བཀྲ་ཤིས་པར་བྱེད་དེ། ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མ་གཏོགས་པར་གཞན་གྱིས་ཟིལ་གྱིས་གནོན་པར་ནུས་པ་དེ་ལྟ་བུ་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ངོ་། །དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་དེ་ཉིད་ཀྱི་མཚན་མོ་ལུས་ཁྲུས་བྱས་གོས་སར་པ་བགོས་ནས་མུ་ཏིག་དོ་ཤལ་གྱིས་བརྒྱན་ཏེ། ||| {M.6} With the passing of that night, the outcaste girl Prakṛti washed herself, put on new clothes, and adorned herself with a pearl necklace.
གྲོང་ཁྱེར་མཉན་ཡོད་ག་ལ་བ་དེ་ནས་བྱུང་སྟེ་སོང་ནས་གྲོང་ཁྱེར་གྱི་སྒོ་དྲུང་དུ་བསྡད་དེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་འོང་བ་ལ་སྡོད་ཅིང་ངེས་པར་འདིར་དགེ་སློང་ཀུན་དགའ་བོ་འོང་ངོ་ཞེས་སེམས་སོ། ། ||| She then went to the city of Śrāvastī, where she stood by the city gate and waited for the venerable Ānanda to come, thinking, “The monk Ānanda will certainly be coming by this road.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྔ་དྲོའི་དུས་སུ་ཆོས་གོས་དང་ལྷུང་བཟེད་ཐོགས་ནས། མཉན་ཡོད་དུ་བསོད་སྙོམས་ལ་ཞུགས་སོ། ། ||| In the morning, the venerable Ānanda put on his robes, took his alms bowl, and entered the city of Śrāvastī for alms.
གདོལ་པའི་བུ་མོ་དེས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་རྒྱང་རིང་པོ་ནས་འོང་བ་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའི་ཕྱི་བཞིན་དུ་འབྲང་ངོ་། །འདུག་ན་འདུག་ཅིང་འགྲོ་ན་འགྲོ་བར་བྱེད་དོ། །ཁྱིམ་གང་དང་གང་དུ་བསོད་སྙོམས་ལ་ཞུགས་པ་དེ་དང་དེར་སྒོར་ཅང་མི་སྨྲ་བར་སྡོད་དོ། ། ||| The outcaste girl Prakṛti saw the venerable Ānanda coming from afar, and she followed him closely from behind, going wherever he went and stopping wherever he stopped, standing silently by the door at each house where he entered for alms.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ཕྱི་བཞིན་དུ་འབྲང་བ་མཐོང་ངོ་། ། ||| The venerable Ānanda noticed the outcaste girl Prakṛti following him closely from behind.
མཐོང་ནས་ཀྱང་ངོ་ཚ་ཞིང་ཁྲེལ་གྱིས་དོགས་པས་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་བས་མྱུར་དུ་མཉན་ཡོད་ནས་བྱུང་ནས། རྒྱལ་བྱེད་ཀྱི་ཚལ་ག་ལ་བ་དེར་སོང་ངོ་། །དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའི་ཕྱི་བཞིན་དུ་རྗེས་སུ་འབྲང་ངོ་། ། ||| Embarrassed, intimidated, uneasy, and troubled, he quickly left the city of Śrāvastī and proceeded to Jetavana.
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| When the venerable Ānanda reached the Blessed One, he venerated the Blessed One’s feet with his head and stood to one side.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་འདི་ཕྱི་བཞིན་དུ་རྗེས་སུ་འབྲང་ཞིང་མཆིས་ལ་མཆི་ན། ||| The venerable Ānanda then said to the Blessed One, “Blessed One, this outcaste girl has been following me closely from behind, going wherever I go, stopping wherever I stop.
ཁྱིམ་གང་དང་གང་དུ་བསོད་སྙོམས་ལ་ཞུགས་པའི་ཁྱིམ་དེ་དང་དེའི་སྒོར་མཆིས་ནས་ཅང་མི་སྨྲ་བར་མཆིས་སོ། ། ||| At each house I enter for alms, she stands silently by the door.
བཅོམ་ལྡན་འདས་བདག་ལ་བསྐྱབ་ཏུ་གསོལ། ||| Help me, Blessed One.
བདེ་བར་གཤེགས་པ་བདག་ལ་བསྐྱབ་ཏུ་གསོལ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Help me, Well-Gone One.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །མ་འཇིགས་མ་འཇིགས་ཤིག ། ||| On hearing this, the Blessed One said to the venerable Ānanda, “Do not be afraid, do not be afraid.”
