འཕགས་པ་སྦྱིན་པའི་ཕན་ཡོན་བསྟན་པ། ||| The Noble Teaching the Benefits of Generosity
བཏུང་བ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཚེ་རབས་ཐམས་ཅད་དུ་སྐོམ་པ་རྣམ་པར་གཅོད་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of drink, the ripening is that they will acquire the elimination of thirst in all future lives.
བགོ་བ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་གོས་ཀྱི་ལོངས་སྤྱོད་སྣ་ཚོགས་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of clothing, the ripening is that they will acquire a manifold wealth of clothing.
གནས་ཀྱི་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་པུ་ཤུ་དང་ཁང་པ་བརྩེགས་པ་དང་། ཁྱམས་དང་། ཁང་པ་དང་། གཞལ་མེད་ཁང་དང་། སྐྱེད་མོས་ཚལ་དང་། ཀུན་དགའ་ར་བ་དང་། ཡུལ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given the gift of a dwelling, the ripening is that they will acquire houses with parapets and multiple stories, and they will acquire courtyards, mansions, palaces, gardens, parks, and land.
མལ་ཆ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་རིགས་མཐོན་པོ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of bedding, the ripening is that they will acquire a higher caste-status.
བཞོན་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given the gift of a conveyance, the ripening is that they will acquire the four bases of miraculous power.
སྨན་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་རྒ་ཤི་མེད་ཅིང་མྱ་ངན་དང་ཀུན་ནས་ཉོན་མོངས་པ་འགོག་པའི་མྱ་ངན་ལས་འདས་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of medicine, the ripening is that they will acquire the nirvāṇa that is free from aging and death and is the cessation of sorrow and defilement.
ཆོས་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་སྐྱེ་བ་དྲན་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of Dharma, the ripening is that they will acquire the recollection of former lives.
མེ་ཏོག་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of flowers, the ripening is that they will acquire the flowers that are the branches of awakening.
ཕྲེང་བ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་གི་དྲི་མ་རྣམ་པར་དག་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of garlands, the ripening is that they will acquire the purification of the stains of attachment, aversion, and ignorance.
བདུག་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཉོན་མོངས་པའི་དྲི་ང་བ་ཐམས་ཅད་མེད་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of incense, the ripening is that they will acquire total freedom from the stench of the defilements.
གདུགས་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཆོས་ལ་དབང་བའི་དབང་ཕྱུག་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of a parasol, the ripening is that they will acquire sovereign mastery of the Dharma.
དྲིལ་བུ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་སྒྲ་དབྱངས་ཡིད་དུ་འོང་བ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of a bell, the ripening is that they will acquire a pleasing voice.
སིལ་སྙན་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཚངས་པའི་སྒྲ་དབྱངས་ལྟ་བུ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of cymbals, the ripening is that they will acquire a voice like Brahmā’s.
མར་མེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ལྷའི་མིག་སྒྲིབ་པ་མེད་ཅིང་རྣམ་པར་དག་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of a lamp, the ripening is that they will acquire the divine eye, unobscured and pure.
དར་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ལྷ་དང་མིའི་ནང་ན་རྣམ་པར་གྲོལ་བའི་དར་གྱིས་བཅིངས་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of silk, the ripening is that they will acquire the silken bond of liberation among gods and humans.
དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ནམ། དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་ལ་འབྲུ་མར་དྲི་ཞིམ་པོ་ཕུལ་ལམ། སྤོས་ཀྱི་ཁྲུས་ཆུ་དབུལ་བ་ཕུལ་ན་རྣམ་པར་སྨིན་པ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་དང་། དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have made an offering of fragrant oil or perfumed bathing water to a stūpa of the Thus-Gone One or an image of the Thus-Gone One, the ripening is that they will acquire the thirty-two marks and eighty excellent signs of a great being.
ཁྲུས་ཀྱི་ཡོ་བྱད་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཚེ་རབས་ཐམས་ཅད་དུ་ནད་ཉུང་བ་དང་། རིགས་ཀྱི་མཆོག་ཏུ་སྐྱེ་ཞིང་ཀུན་ཏུ་མཛེས་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of bathing necessities, the ripening is that in all their future lives they will acquire few illnesses, birth in the highest caste, and great beauty.
སྙིང་པོ་ལྔ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཚེ་རབས་ཐམས་ཅད་དུ་མཐུ་ཆེ་ཞིང་སྤྲོ་བ་ཆེན་པོ་མི་ཐུལ་བ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of the five essential substances, the ripening is that in all future lives they will acquire great power and irrepressible great joy.
བྱམས་པ་ལ་གནས་ཏེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་གནོད་སེམས་མེད་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift while abiding in loving kindness, the ripening is that they will acquire freedom from ill will.
སྙིང་རྗེ་ལ་གནས་ཏེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་འཚེ་བ་མེད་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift while abiding in compassion, the ripening is that they will acquire harmlessness.
དགའ་བ་ལ་གནས་ཏེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་མི་འཇིགས་པ་སྦྱིན་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift while abiding in joy, the ripening is that they will acquire the ability to bestow fearlessness.
བཏང་སྙོམས་ལ་གནས་ཏེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་མི་དགའ་བ་སྤོང་བ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift while abiding in equanimity, the ripening is that they will rid themselves of sadness.
རྣམ་པ་སྣ་ཚོགས་ཀྱི་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ལོངས་སྤྱོད་སྣ་ཚོགས་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given gifts of various kinds, the ripening is that they will acquire various riches.
ལན་ལ་མི་རེ་བ་ལ་གནས་ཏེ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་རབ་ཏུ་འཐོབ་པར་འགྱུར་ཏེ། ||| “When they have given a gift while abiding with no expectation of reward, the ripening is that they will acquire unsurpassed and perfect awakening.
དགེ་སློང་དག་མཁས་པ་རྣམས་ཀྱིས་རྣམ་པ་སུམ་ཅུ་རྩ་བདུན་པོ་དེ་དག་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “Monks, the wise give gifts in these thirty-seven ways.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| The Blessed One having spoken thus, the monks rejoiced and praised what the Blessed One said.
འཕགས་པ་སྦྱིན་པའི་ཕན་ཡོན་བསྟན་པ་རྫོགས་སོ།། །། ||| This completes the noble “Teaching the Benefits of Generosity.”
རྒྱ་གར་གྱི་མཁན་པོ་སུ་རེན་དྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། ||| This was translated, edited, and finalized by the Indian preceptor Surendrabodhi and the translator-editor Bandé Yeshé Dé.
