སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་མངོན་དུ་ཕྱོགས་པ། ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་གཞོལ་བ། ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་འབབ་པ། ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་བབ་པ། ||| They were all turned toward omniscience, pursuing omniscience, approaching omniscience, and reaching omniscience.
ཆགས་པ་མེད་པའི་གཟུངས་དང་ཏིང་ངེ་འཛིན་ཐོབ་པ། ||| They had all attained unimpeded retention and absorption,
དཔའ་བར་འགྲོ་བའི་ཏིང་ངེ་འཛིན་ལ་ཤིན་ཏུ་གནས་པ། ||| entered the absorption of the heroic gait,
མངོན་པར་ཤེས་པ་ཆེན་པོས་རྣམ་པར་རོལ་པ། ||| reveling in magnificent forms of superknowledge.
ལམ་གྱི་རྒྱུན་མ་བཅད་པ། སྒྲིབ་པ་དང་། ཆོད་པ་དང་། ཀུན་ནས་ལྡང་བ་ཐམས་ཅད་དང་བྲལ་བ། ||| Their path was uninterrupted, and they were entirely free of obscurations, hindrances, or disturbances.
བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོས་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་ཁྱབ་པར་བྱེད་པ། ||| They spread their great love and compassion throughout all the worlds of the ten directions,
སངས་རྒྱས་ཀྱི་ཞིང་མཐའ་ཡས་པར་འགྲོ་བ་ལ་མཁས་པ། ||| they were experts in traveling to infinite buddha realms.
སྟོང་པ་ཉིད་སྤྱོད་ཡུལ་བ། མཚན་མ་མེད་པ་ལ་གནས་པ། སྨོན་ལམ་ལ་གནས་པ་ཐམས་ཅད་དང་བྲལ་བ། ||| They experienced emptiness, remained within the absence of marks, and were free from any fixation on wishes.
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པར་བརྩོན་པ། སངས་རྒྱས་ཀྱི་ཡུལ་ཐམས་ཅད་ལ་མཁས་པ་ཡེ་ཤེས་མཐའ་ཡས་པ། ||| They pursued the welfare of all beings and were experts with respect to the entire domain of the buddhas.
སེམས་ནམ་མཁའ་དང་མཚུངས་པ། སེམས་རྒྱ་མཚོ་ལྟར་ཟབ་པ། སེམས་རིའི་རྒྱལ་པོ་རི་རབ་ལྟར་མི་སྒུལ་བ། ||| Their wisdom was boundless, their minds were vast like the sky, deep as the sea, and unshakable like Sumeru, the king of mountains.
སེམས་པད་མ་ལྟར་མ་གོས་པ། སེམས་རིན་པོ་ཆེ་ལྟར་ཤིན་ཏུ་ཡོངས་སུ་དག་པ། སེམས་གསེར་ལྟར་ཤིན་ཏུ་ཡོངས་སུ་བྱང་བ་རྣམས་ལ་འདི་ལྟ་སྟེ། ||| Like lotuses, their minds were unstained; like jewels, their minds were pure; like gold, their minds were refined.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ ||| Among them were the bodhisattva great beings
རིན་པོ་ཆེའི་དཔལ་ ||| Ratna­ketu,
ལག་ན་རྡོ་རྗེ་རིན་པོ་ཆེ་ ||| Ratna­pāṇi,
ལག་ན་ཕྱག་རྒྱ་རིན་པོ་ཆེ་ ||| Ratna­mudrā­hasta,
རིན་པོ་ཆེའི་ཅོད་པན་ ||| Ratna­mu­kuṭa,
གཙུག་ན་རིན་པོ་ཆེ་ ||| Ratna­cūḍa,
རིན་པོ་ཆེ་བརྩེགས་པ་ ||| Ratna­kūṭa,
རིན་པོ་ཆེ་འབྱུང་གནས་ ||| Ratnā­kara,
རིན་པོ་ཆེའི་རྩེ་མོ་ ||| Ratna­śikhara,
རིན་པོ་ཆེའི་རྒྱལ་མཚན་ ||| Ratna­dhvaja,
རྡོ་རྗེའི་སྙིང་པོ་ ||| Vajragarbha,
གསེར་གྱི་སྙིང་པོ་ ||| Su­varṇa­garbha,
རིན་པོ་ཆེའི་སྙིང་པོ་ ||| Ratna­garbha,
དཔལ་གྱི་སྙིང་པོ་ ||| Śrī­garbha,
དགེ་བའི་སྙིང་པོ་ ||| Śubha­garbha,
དགེ་བ་དྲི་མ་མེད་པའི་སྙིང་པོ་ ||| Śubha­vi­mala­garbha,
དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་ ||| Tathāgata­garbha,
ཡེ་ཤེས་ཀྱི་སྙིང་པོ་ ||| Jñāna­garbha,
ཉི་མའི་སྙིང་པོ་ ||| Sūrya­garbha,
ཏིང་ངེ་འཛིན་གྱི་སྙིང་པོ་ ||| Samādhi­garbha,
པད་མའི་སྙིང་པོ་ ||| Padma­garbha,
རྣམ་པར་གྲོལ་བའི་ཟླ་བ་ ||| Vi­mukti­candra,
ཀུན་ཏུ་ཟླ་བ་ ||| Sa­manta­candra,
སྤྱན་རས་གཟིགས་དབང་པོ་ ||| Avalo­kiteś­vara,
མཐུ་ཆེན་ཐོབ་ ||| Mahā­sthāma­prāpta,
ཀུན་ཏུ་བཟང་པོ་ ||| Sa­manta­bhadra,
ཀུན་ནས་མིག་ ||| Sa­manta­netra,
པད་མའི་མིག་ ||| Padma­netra,
དྲི་མ་མེད་པའི་མིག་ ||| Vi­mala­netra,
ཡངས་པའི་མིག་ ||| Vi­śāla­netra,
ཀུན་ཏུ་སྤྱོད་ལམ་ ||| Sa­manterya­patha,
ཀུན་ཏུ་མཛེས་ ||| Sa­manta­prāsā­dika,
ཀུན་ཏུ་སྤྱོད་པའི་བློ་གྲོས་ ||| Sa­manta­cāri­tra­mati,
ཡེ་ཤེས་ཀྱི་བློ་གྲོས་ ||| Jñāna­mati,
ཆོས་ཀྱི་བློ་གྲོས་ ||| Dharma­mati,
རྒྱལ་བའི་བློ་གྲོས་ ||| Jaya­mati,
བླ་མའི་བློ་གྲོས་ ||| Uttara­mati,
རྡོ་རྗེའི་བློ་གྲོས་ ||| Vajra­mati,
ཁྱད་པར་བླ་གྲོས་ ||| Vi­śeṣa­mati,
སེང་གེ་རྣམ་པར་རོལ་པ་ ||| Siṁha­vi­krī­ḍita,
སྒྲ་ཆེན་པོའི་དབྱངས་ཀྱི་རྒྱལ་པོ་ ||| Mahā­ghoṣa­svara­rāja,
སེང་གེའི་སྒྲ་སྒྲོགས་ ||| Siṁha­nāda­nādin,
སྒྲ་དབྱངས་བརྗོད་པ་ཟབ་མོ་སྒྲོགས་ ||| Gambhī­raghoṣa­svaranā­dita,
གོས་པ་མེད་ ||| A­nupa­lipta,
དྲི་མ་ཀུན་བྲལ་ ||| Sarva­malā­pa­gata,
ཟླ་བའི་འོད་ ||| Candra­prabha,
ཉི་མའི་འོད་ ||| Sūrya­prabha,
ཡེ་ཤེས་ཀྱི་འོད་ ||| Jñāna­prabha,
ཡེ་ཤེས་ཀྱི་དཔལ་ ||| Jñāna­śrī,
བཟང་པོའི་དཔལ་ ||| Bhadraśrī,
ཟླ་བའི་དཔལ་ ||| Candra­śrī,
པད་མའི་དཔལ་ ||| Padma­śrī,
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ ||| Mañju­śrī­kumāra­bhūta,
བཟང་སྐྱོང་ལ་སོགས་པ་སྐྱེས་བུ་དམ་པ་བཅུ་དྲུག་ ||| Bhadra­pāla and the others among the sixteen holy beings,
བྱམས་པ་ལ་སོགས་པ་བསྐལ་པ་བཟང་པོའི་ ||| Maitreya and all the other bodhisattva great beings of the excellent eon.
རྒྱལ་པོ་ཆེན་པོ་བཞི་ལ་སོགས་པ་རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷའི་བུ་རྣམས་དང་། ||| Present there were also the four great kings and the others gods of the Heaven of the Four Great Kings,
ལྷའི་དབང་པོ་བརྒྱ་བྱིན་ལ་སོགས་པ་སུམ་ཅུ་རྩ་གསུམ་གྱི་རིས་ཀྱི་ལྷའི་བུ་རྣམས་དང་། ||| Śakra, king of the gods, along with the other gods of the Heaven of the Thirty-Three.
ལྷའི་བུ་ཤིན་ཏུ་གནོད་བྲལ་ལ་ལ་སོགས་པ་གནོད་བྲལ་གྱི་ལྷའི་བུ་རྣམས་དང་། ||| Present there were the gods of the Heaven Free from Strife, such as Su­yāma;
ལྷའི་བུ་ཀུན་ཏུ་དགའ་ལྡན་ལ་སོགས་པ་དགའ་ལྡན་གྱི་རིས་ཀྱི་ལྷའི་བུ་རྣམས་དང་། ||| the gods of the Heaven of Joy, such as Saṃ­tuṣita;
ལྷའི་བུ་ཤིན་ཏུ་འཕྲུལ་དགའ་ལ་སོགས་པ་འཕྲུལ་དགའི་རིས་ཀྱི་ལྷའི་བུ་རྣམས་དང་། ||| the gods of the Heaven of Delighting in Emanations, such as Su­nirmi­ta;
ལྷའི་བུ་དབང་བྱེད་ལ་སོགས་པ་གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་ལྷའི་བུ་རྣམས་དང་། ||| the gods of the Heaven of Making Use of Others’ Emanations, such as Vaśa­vartin.
དེད་དཔོན་ལ་སོགས་པ་དཀར་པོའི་ཕྱོགས་ཀྱི་བདུད་ཀྱི་བུ་རྣམས་དང་། ||| Present were Sārtha­vāha and other such māras of the side of virtue,
ཚངས་པ་ཆེན་པོ་ལ་སོགས་པ་ཚངས་པའི་རིས་ཀྱི་ལྷའི་བུ་ཐམས་ཅད་དང་། ||| Mahā­brahmā and all the gods of the Realm of Brahmā,
ལྷའི་བུ་དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པ་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་ཐམས་ཅད་དང་། ||| Mahe­śvara accompanied by all the gods of the pure abodes.
ལྷ་མ་ཡིན་གྱི་དབང་པོ་ཐགས་ཟངས་རིས་དང་། སྟོབས་ཅན་དང་། ནོར་སྦྱིན་དང་། དེ་དག་ལ་སོགས་པ་ལྷ་མ་ཡིན་བརྒྱ་སྟོང་དུ་མ་དང་། ||| Present were Vema­citra, Balin, and Dhan­ada, rulers of the demigods, along with many hundreds of thousands of demigods.
ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་དང་། གཟི་ཅན་དང་། རྒྱ་མཚོ་དང་། མཐའ་ཡས་དང་། ནོར་རྒྱས་ཀྱི་བུ་དང་། དེ་དག་ལ་སོགས་པ་ཀླུའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་དང་། ||| Present also were the nāga kings A­nava­tapta, Manasvin, Sā­gara, A­nanta, and Vāsuki, along with many hundreds of thousands of other kings of the nāgas;
དཔལ་གྱི་གཟི་བརྗིད་ལ་སོགས་པ་ཀླུའི་རྒྱལ་པོའི་ཁྱེའུ་བརྒྱ་སྟོང་དུ་མ་དང་། ཀླུའི་བུ་མོ་མང་པོ་རྣམས་དང་། ||| many hundreds of thousands of nāga princes, such as Śrī­tejas; and numerous nāga ladies.
དེ་མ་ཡིན་པ་གཞན་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་བརྒྱ་སྟོང་དག་དང་ཡང་ཐབས་ཅིག་གོ། ། ||| Present also were hundreds of thousands of gods, nāgas, yakṣas, gandharvas, demigods, garuḍas, kinnaras, and mahoragas.
ཡང་དེའི་ཚེ་ག་ཡ་ན་ག་ཡ་མགོའི་རིའི་ ||| At the time, the area surrounding Gayā­śīrṣa Hill in the Gayā region
ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་མི་མ་ཡིན་པ་ ||| gods, nāgas, yakṣas, gandharvas, demigods, garuḍas, kinnaras, mahoragas, humans, and nonhumans.
གང་བར་གྱུར་པའི་སའི་ཕྱོགས་སམ། བར་སྣང་གི་ཕྱོགས་ ||| These beings filled the land and the sky
དཔག་ཚད་བཞི་ཁོ་ར་ཁོར་ཡུག་ཏུ་ ||| to a radius of four leagues,
སྐྲའི་རྩེ་མོའི་ཆ་ཤས་ཀྱི་རྡུལ་ཕྲ་རབ་ཙམ་ཡང་གང་ ||| even a particle the size of a fraction of the tip of a hair
འཁོར་དེ་ལྟ་བུ་འདུས་ཤིང་འཁོད་པའི་དབུས་ན་བཅོམ་ལྡན་འདས་ཀྱི་སེང་གེའི་ཁྲི་འཕང་དུ་ ||| At the center of this assembly was the lion throne of the Blessed One.
དཔག་ཚད་གཅིག །ཁོ་ར་ཁོར་ཡུག་ཏུ་དཔག་ཚད་ཕྱེད་པ་ལ་ལྷའི་རས་བཅོས་བུ་དུ་མ་ནི་བཏིང་། ||| One league tall and half a league wide, the throne was cushioned with numerous divine fabrics,
རིན་པོ་ཆེའི་དྲིལ་བུ་གཡེར་ཁའི་དྲ་བས་ནི་བླ་རེ་བྲེས། ||| canopied with webs of jewel bells,
དར་གྱི་ལྡ་ལྡི་བརྒྱ་སྟོང་དུ་མ་ནི་དཔྱངས། ||| draped with hundreds of thousands of brocade tassels,
མེ་ཏོག་སིལ་མས་ནི་གཏོར་བ་ཞིག་བཤམས་ཏེ། ||| adorned with scattered flowers.
སེང་གེའི་ཁྲི་དེའི་ཁོ་ར་ཁོར་ཡུག་གི་སའི་ཕྱོགས་དེ་དངོས་རྡོ་རྗེ་ལ་ཡིད་དུ་འོང་ཞིང་ལག་མཐིལ་ལྟར་མཉམ་པ་དང་། ||| The vajra surface of the ground where the throne stood was delightful and smooth, like the palm of a hand.
ཆག་ཆག་ལེགས་པར་བཏབ་པ་དང་། ཕྱག་དར་ལེགས་པར་བྱས་པ་དང་། ||| Well sprinkled and well swept,
དྲི་རབ་ཏུ་ཞིམ་ཞིང་ལྷའི་མེ་ཏོག་བརྒྱ་སྟོང་དུ་མས་གཏོར་བར་གྱུར་ཏོ། ||| the ground was fragrant and covered with a scattering of many hundreds of thousands of divine flowers.
བཅོམ་ལྡན་འདས་ཀྱིས་ཡོངས་སུ་ལོངས་སྤྱད་པའི་ཕྱིར་ཕྱོགས་དེ་ན་གསེར་གྱི་པད་མ་ ||| For the sake of the Blessed One’s enjoyment, the area had golden lotus flowers,
ཤིང་རྟའི་འཁོར་ལོ་ཙམ། འདབ་མ་བརྒྱ་སྟོང་དུ་མ་ཡོད་པ། ། ||| each the size of a chariot wheel and with many hundred thousand petals.
ཆུ་བ་ནི་བཻ་དཱུརྱ། སྙིང་པོ་ནི་ཨིན་དྲ་ནཱི་ལ། ཟེ་བ་ནི་ཨསྨ་གར་བྷ་སྟེ། ||| These lotuses grew from stems of beryl, had cores of sapphire, and their anthers were of emerald.
དྲི་རབ་ཏུ་ཞིམ་ཞིང་ཡིད་དུ་འོང་ལ་རེག་ན་དགའ་བར་འགྱུར་བ་དག་སྐྱེས་པར་གྱུར་ཏོ། ||| They had a captivating scent, were of perfect beauty, and were delightful to the touch.
སེང་གེའི་ཁྲི་དེའི་གྲྭ་བཞིར་ཧ་ཅང་ཡང་མི་རིང་། ཧ་ཅང་ཡང་མི་ཉེ་བ་ནས་རིན་པོ་ཆེའི་ཤིང་ ||| Not too far yet not too close to each of the throne’s four corners stood a jewel tree.
སྲིད་དུ་དཔག་ཚད་ཕྱེད་དང་གཉིས། སྦོམས་སུ་རྒྱང་གྲགས་གཉིས་ཀྱིས་འཁོར་བ་བཞི་སྐྱེས་སོ། ||| Each of the trees had grown to a height of two and a half leagues with a trunk that reached a width of two krośas.
སེང་གེའི་ཁྲི་ལེགས་པར་བཤམས་པ་དེ་ལ་བཅོམ་ལྡན་འདས་ ||| Seated upon this well-arranged throne was the Blessed One.
བློ་ནི་རབ་ཏུ་རྣམ་པར་དག །ཆོས་ཀྱི་འཁོར་ལོ་ནི་རབ་ཏུ་བསྐོར། ||| With perfectly pure wisdom, he was turning the wheel of Dharma.
བདུད་དང་ཕྱིར་རྒོལ་བ་ནི་བཅོམ། འཇིག་རྟེན་གྱི་ཆོས་རྣམས་ཀྱིས་ནི་མ་གོས་ལ་ ||| Conquering all māras and opponents, he remained unblemished by any mundane qualities.
མི་བསྙེངས་ཤིང་མི་འཛེམ་སྟེ། སེང་གེ་ལྟར་བག་ཚ་བ་མེད་པ། ||| He was fearless and indomitable, like a dauntless lion.
མཚོ་དང་འདྲ་བར་དང་སྟེ་རྙོག་པ་མེད་ཅིང་ཤིན་ཏུ་རྣམ་པར་དང་བ། ||| He was clear like a lake, immaculate and lucid.
རྒྱ་མཚོ་ཆེན་པོ་ལྟར་ཟབ་ཅིང་གཏིང་དཔག་དཀའ་ལ་རིན་པོ་ཆེའི་འབྱུང་གནས་སུ་གྱུར་པ། ||| Resembling the ocean, he was deep and hard to fathom, a source of jewels.
རི་རབ་ལྟར་མངོན་པར་འཕགས་པ། ཉི་མ་ལྟར་རབ་ཏུ་ལྷན་པ། ཟླ་བ་ལྟར་རབ་ཏུ་སིམ་པ། ||| He was truly elevated like the king of mountains, sparkling like the sun, and delightful like the moon.
ཀླུ་ཆེན་པོ་ལྟར་ཆོས་ཀྱི་ཆར་མངོན་པར་འབེབས་པ། ||| Like a great nāga, he let the rain of Dharma fall.
ཚངས་པ་ཆེན་པོ་ལྟར་འཇིག་རྟེན་ཀུན་ལས་མངོན་པར་འཕགས་པ། ||| Like Mahā­brahmā, he was the whole world’s superior.
སློབ་མ་ཤིན་ཏུ་དུལ་བའི་ཚོགས་མཐའ་ཡས་པའི་འཁོར་མངའ་བ། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་རྣམས་ཀྱིས་ཞལ་དུ་བལྟས་ཤིང་མ་ཁེངས་མ་དུད་པར་བཞུགས་ཏེ། ||| The master of an infinite circle of extremely adept disciples, he was the center of attention for the entire great assembly that contained Śakra, Brahmā, and one hundred sextillion guardians of the world.
འཁོར་ཚོགས་པ་དེ་ན་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེའོ། །བཅོམ་ལྡན་འདས་ ||| Within this gathering the Blessed One was magnificent, brilliant, and resplendent.
དེ་ལྟར་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེ་བའི་དབུའི་གཙུག་གི་གཙུག་ཏོར་གྱི་གསེབ་ནས་འོད་ཟེར་ཀུན་ཏུ་སྣང་བ་ ||| From the magnificent, brilliant, and resplendent uṣṇīṣa upon his head shone forth millions of circles of light,
ཞེས་བྱ་བ་འོད་ཟེར་གྱི་འཁོར་བརྒྱ་སྟོང་ཕྲག་དུ་མ་ཡོད་པ་བྱུང་སྟེ། ||| forming what is known as the light of universal illumination
དེ་བྱུང་ནས་ཕྱོགས་བཅུ་ཐམས་ཅད་དུ་འཇིག་རྟེན་གྱི་ཁམས་རབ་འབྱམ་ཐམས་ཅད་སྣང་བར་བྱས་ཏེ། ||| As this light shone forth, all the worlds in the ten directions were illuminated.
ཕྱིར་འོངས་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་ཞུགས་ནས། ||| The light then returned and circled around the Blessed One three times before it entered his mouth.
བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ཕྱེ་བའམ་བཙུམས་པར་ཡང་མི་མངོན་ནོ། ། ||| At that point, it could not be seen whether the Blessed One’s mouth was open or closed.
འདི་ལྟ་སྟེ། དཔེར་ན་ཉི་མ་དང་ཟླ་བའི་འོད་ནམ་མཁའི་ཁམས་ཐམས་ཅད་ཀྱི་གསེབ་ཏུ་ཞུགས་ཀྱང་ནམ་མཁའི་ཁམས་ཀྱི་གསེབ་ཕྱེ་བའམ་བཙུམས་པར་མི་མངོན་པ་དེ་བཞིན་དུ། ||| Similarly, the light of the sun or the moon may enter the expanse of space, and yet the expanse of space cannot be seen to be either open or closed.
དེའི་ཚེ་ན་འོད་ཟེར་དེ་དག་ཞུགས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ཕྱེ་བའམ་བཙུམས་པར་མི་མངོན་ནོ། ། ||| In the same way, these light rays entered the mouth of the Blessed One, and yet his mouth could not be seen to be either open or closed.
འདི་ལྟ་སྟེ་དཔེར་ན། བྱེ་མའི་ཕུང་པོ་ལ་མར་རམ་འབྲུ་མར་རམ། ཆུ་ཞུགས་ན་མི་མངོན་པ་དེ་བཞིན་དུ། ། ||| Moreover, when melted butter, or oil, or water is poured onto a mound of sand, it cannot be said whether the mound is open or closed.
དེ་བཞིན་དུ། དེའི་ཚེ་ན་འོད་ཟེར་དེ་དག་ཞུགས་ཀྱང་ཕྱེ་བའམ་བཙུམས་པར་མི་མངོན་ནོ། ། ||| Similarly, although the light rays entered the Blessed One’s mouth, his mouth could not be seen to be either open or closed.
དེ་ནས་ཤར་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་འདས་པ་ན། ||| Now, to the east of this buddha realm, beyond as many worlds as there are grains of sand in the river Gaṅgā,
པད་མ་ཅན་ཞེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་དེ་ན། པད་མའི་སྤྱན་ཞེས་བྱ་བ་ ||| there is a world known as Realm of Lotuses. Therein resides the one known as Padma­netra.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་རྐང་པར་ལྡན་པ། ||| He is a thus-gone one, a worthy one, a perfect buddha, someone with proper knowledge and conduct,
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། ||| a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of gods and humans.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ལ་འདི་ལྟ་སྟེ། ཐེག་པ་གཅིག་ལས་བརྩམས་ནས་ཆོས་སྟོན་ཏེ། ||| That blessed buddha teaches the Dharma to bodhisattva great beings in terms of a single vehicle.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དག་དང་། ཉན་ཐོས་ཀྱི་ཐེག་པའམ། རང་སངས་རྒྱས་ཀྱི་ཐེག་པའི་མིང་ཡང་མེད། ||| Thus, in that buddha realm even the words “listener” or “solitary buddha” are unheard of, as are the names of their respective vehicles.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་རྫུས་ཏེ་སྐྱེ་བ་མ་གཏོགས་པར་བུད་མེད་དང་། མངལ་ན་གནས་ཏེ་འབྱུང་ཞིང་སྐྱེ་བའི་སྒྲ་ཡང་མི་གྲག་གོ། ||| Everyone in that buddha realm takes birth instantaneously, such that birth from the wombs of females is unheard of.
འཇིག་རྟེན་གྱི་ཁམས་དེའི་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཤ་སྟག་གོ། ||| All the sentient beings of that realm are, without exception, bodhisattvas whose progress toward unexcelled and complete awakening is irreversible.
འཇིག་རྟེན་གྱི་ཁམས་དེ་ན་བཟའ་བ་དང་། བཏུང་བ་དང་། ཟས་ཀྱི་བྱ་བ་ཡང་མི་ཤེས་སོ། ||| In that realm food, drink, and their consumption are all unknown.
