འཕགས་པ་སངས་རྒྱས་བདུན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Seven Buddhas
ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བགྱིད་པ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་རིག་སྔགས་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ། ||| “Will the Blessed One please teach a vidyāmantra that can pacify all manner of diseases and exorcise all manner of spirits?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་སྤྲུལ་པ་མཛད་དེ། དེ་ནས་ནམ་མཁའ་ལ་དེ་བཞིན་གཤེགས་པ་དྲུག་བྱུང་ངོ་། ། ||| The Blessed One emanated the seven buddhas: six tathāgatas appeared in the sky,
བདུན་པ་ནི་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པའོ། ། ||| with the seventh being the Blessed One himself, the Tathāgata Śākyamuni.
དེ་ནས་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་གཟིགས་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| The tathāgata Vipaśyin hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke these root verses of the secret mantra in order to benefit all beings, pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུདྡྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ཏདྱ་ཐཱ། ཨོཾ་ཧུ་ལུ་ཧུ་ལུ། ཧི་ལ་ཧི་ལི་ཡ། ན་མོ་ཛ་ཀ། ན་མ་ཤྩནཱ་ཡ། ན་མོ་ན་མཿསྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | tadyathā | oṃ hala hala | hili hilāya | namo jaga | namaśca nāya | namo namaḥ svāhā |
དེ་ནས་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་གཟིགས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The tathāgata Vipaśyin addressed the bodhisattva great being Ākāśagarbha, saying,
ནམ་མཁའི་སྙིང་པོ་གང་ལ་ལ་ཞིག་རིག་སྔགས་འདི་འཆང་ངམ། ཀློག་གམ། ཀུན་ཆུབ་པར་བྱེད་ན། དེའི་ལུས་ལ་མཚོན་གྱིས་མི་ཚུགས། ||| “Ākāśagarbha, whoever bears this vidyāmantra in mind, recites it, or masters it will not be slain by a weapon,
ཆུ་དང་། སྡུག་བསྔལ་བའི་ནད་ཀྱིས་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར། ||| nor will they die from drowning, fire, or a painful illness.
དུས་མ་ཡིན་པར་འཆི་བས་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར་རོ། ། ||| They will not suffer an unnatural death.
དེ་དུག་ཟོས་ཀྱང་ཟས་བཞིན་དུ་འགྱུར་རོ། ། ||| Even poison they have eaten will become like food.
ཟས་དང་སྐོམ་ལ་ལན་བདུན་བཟླས་བརྗོད་བྱས་ཏེ་ཟོས་ན་ཕ་རོལ་གྱི་གནོད་པ་མི་འབྱུང་ངོ་། ། ||| “If you recite the vidyāmantra seven times over your food and drink before consuming it, no one else can harm you,
ནད་ཐམས་ཅད་ཀྱིས་བཏབ་པར་མི་འགྱུར་རོ། ། ||| you will not contract any illnesses, and
རིང་དུ་འཚོ་བར་འགྱུར་རོ། ། ||| you will live for a long time,
ཐོས་པ་འཛིན་པར་འགྱུར་རོ། ། ||| understand what you have studied, and
དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་གཟུགས་མཐོང་བར་འགྱུར་རོ། ། ||| have a vision of the seven tathāgatas.
མཚོན་བཏབ་པའི་རྣ་བར་བཟླས་བརྗོད་བྱས་ལ་སྣ་མའི་མར་སྦྱིན་ནོ། ། ||| “Recite this vidyāmantra in the ear of someone who has been wounded with a weapon and anoint them with jasmine oil incanted with the vidyāmantra.
མཛེ་དང་སྐྲངས་ནད་ཀྱིས་བཏབ་པ་རྣམས་ལ་སྣ་མའི་མར་དང་། ཨུད་པ་ལ་སྔོན་པོ་དང་། ཤུ་ཏི་དང་། ཉེའུ་ཤིང་རྣམས་བསྲེས་པའི་མར་བྱིན་ན་ནད་ཐམས་ཅད་སོས་པར་འགྱུར་རོ། ། ||| If you anoint those who are afflicted with diseases such as leprosy or tumors with incanted oil that contains a mixture of jasmine, blue lotus, dill, and wild asparagus, they will recover from all their illnesses.
ལས་ཐམས་ཅད་ལ་ཡང་སྦྱར་བར་བྱའོ། ། ||| This mantra can be used for all rites.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་གཙུག་ཏོར་ཅན་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| Then the tathāgata Śikhin hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke these root verses of the secret mantra in order to benefit all beings, pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ཨོཾ་པ་ཙ་པ་ཙ་པཱ་ཙ་ཡ་པཱ་ཙ་ཡ་སརྦ་བྷཱུ་ཏཱ་ནཱཾ། ཙྪིན་དྷ་ཡ་ཀཱི་ལ་ཡ་པ་ར་བིདྱཱ་ནཱཾ་སྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | oṃ paca paca pācaya pācaya sarva­bhūtānām | chindaya kīlaya paravidyānāṃ svāhā |
ནམ་མཁའི་སྙིང་པོ་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། བསྒོམ་ཉེས་པ་དང་། རྨི་ལམ་ངན་པ་ཐམས་ཅད་བཟློག་པ་དང་། དུས་མ་ཡིན་པར་འཆི་བ་དགག་པའི་ཕྱིར་སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མས་གསུངས་ཤིང་། ||| “Ākāśagarbha, I and millions of Buddhas have taught this secret mantra in order to benefit all beings, to completely pacify all manner of illnesses, to ward off spirits that harm one’s meditation and cause nightmares, and to prevent untimely death.
ངས་ཀྱང་ད་ལྟར་བཤད་པའི་སྙིང་པོ་འདི་ཟུང་ཤིག ། ||| Now you must uphold it.
ནམ་མཁའི་སྙིང་པོ་གང་ལ་ལ་ཞིག་ངའི་སྙིང་པོ་འདི་ཉིན་ལན་གསུམ་ཡིད་ལ་བྱེད་ནདེ་ལ་ཕ་རོལ་གྱི་གནོད་པ་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| “Ākāśagarbha, if someone focuses on my heart mantra three times a day, they will not be harmed by others,
གཉིད་ཀྱིས་ལོག་པའི་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་གཟུགས་མཐོང་བར་འགྱུར་རོ། ། ||| they will meet the Tathāgata in their dreams, and
གཤིས་ངན་དུ་འཆི་བར་མི་འགྱུར་རོ། ། ||| they will not suffer a horrible death.
འདི་ནས་ཤི་འཕོས་ནས་དེ་བཞིན་གཤེགས་པ་དང་ཕྲད་པར་འགྱུར་ཞིང་མཉེས་པར་བྱེད་པར་འགྱུར་རོ། ། ||| When they die, they will meet with the tathāgatas and serve them.
དེ་ནས་འདིའི་ཆོ་ག་གཞན་ནི་ནད་ཐམས་ཅད་ལ་སྐུད་པས་བཅིང་བར་བྱའོ། ། ||| “You can also use the rite to bind the patient with a protection cord against all manner of illnesses.
འདུས་པ་ལས་གྱུར་པ་ལ་ནི་སྣ་མའི་མར་ལ་བཟླས་བརྗོད་བྱས་ཏེ་སྦྱིན་ནོ། ། ||| In cases where an illness is the result of a humoral imbalance, you can incant jasmine oil with the mantra and give it to the patient.
ཆུས་ཕྱོགས་བཅིང་བར་བྱའོ། ། ||| You can perform the rite of sealing off the directions with water incanted with the mantra, and
སྐུད་པས་བདག་ལ་བསྲུང་ངོ་། ། ||| you can use an incanted cord to protect yourself.
བྱིས་པ་རྣམས་ཀྱི་གདོན་དག་ལ་སྐུད་པ་སྔོན་པོ་གདགས་སོ། ། ||| You can tie a blue protection cord incanted with the mantra on a child to guard against seizers that possess children.
མཚོན་བཏབ་པའི་རྣ་བར་ལན་བདུན་བཟླས་བརྗོད་བྱའོ། ། ||| You can whisper the mantra seven times in the ear of someone who has been struck down with a weapon, and
གཞན་དག་ལ་ཡང་རང་གི་བློས་སྦྱར་བར་བྱའོ། ། ||| you can use it to control others with your mind.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་སྐྱོབ་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| Then the tathāgata Viśvabhū hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke these root verses of the secret mantra in order to benefit all beings, pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ཨོཾ་ཀ་ལ་ཀ་ལ། ཀི་ལི་ཀི་ལི། ཀུ་ལུ་ཀུ་ལུ། ཀུ་ལ་ཨུད་ས་དྷ་ནཾ་སཱ་དྷ་ནཱཾ་ཀུ་རུ། སརྦ་གྲ་ཧཱ་ཎཱཾ་སྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | oṃ kala kala | kili kili | kulu kulu | kulotsādanaṃ kuru | sarva grahāṇāṃ svāhā |
ནམ་མཁའི་སྙིང་པོ་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་ནི་བསྐལ་པ་བཟང་པོའི་དེ་བཞིན་གཤེགས་པ་འདས་པ་དང་། མ་བྱོན་པ་དང་། ད་ལྟར་བྱུང་བ་ཐམས་ཅད་ཀྱིས་གསུངས་ཤིང་། ངས་ཀྱང་ད་ལྟར་བཤད་པ་སྟེ། ||| “Ākāśagarbha, these root verses of the secret mantra are taught by all the past, future, and present tathāgatas of the fortunate eon, and now I have spoken them as well.
ནམ་མཁའི་སྙིང་པོ་ཁྱོད་ཀྱིས་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་ཟུང་ཤིག ། ||| Ākāśagarbha, you must uphold these root verses of the secret mantra.
གང་ལ་ལ་ཞིག་འཛིན་ཏམ། ཀློག་གམ། ཀུན་ཆུབ་པར་བྱེད་ན། ||| “If someone bears in mind, recites, or masters them,
དེའི་ལུས་ལ་མཚོན་གྱིས་མི་ཚུགས། དུག་གིས་མི་ཚུགས། དབྱིག་དུག་གིས་མི་ཚུགས། ||| they will not be harmed by a weapon, affected by poison, or affected by poisonous brews,
རིམས་ནད་ཀྱིས་མི་འདེབས་ཤིང་ཆུ་དང་། དུས་མ་ཡིན་པར་འཆི་བ་དང་། གཤིས་ངན་དུ་འཆི་བར་མི་འགྱུར་ཏེ། སྔོན་གྱི་ལས་ཀྱི་སྒྲིབ་པ་ནི་མ་གཏོགས་སོ། ། ||| nor will they become infected with plague. They will not drown, die of unnatural causes, or die from a weak constitution, unless these are karmic obscurations that result from a previous lifetime.
དགེ་སློང་ངམ། དགེ་སློང་མའམ། དགེ་བསྙེན་ནམ། དགེ་བསྙེན་མ་གང་ལ་ལ་ཞིག་ནང་པར་ལངས་ནས་མགོ་བཀྲུས་ཏེ། ||| Any monk, nun, or layperson who rises in the morning, washes their head, and
དེ་བཞིན་གཤེགས་པའི་སྤྱན་སྔར་ལན་བརྒྱ་རྩ་བརྒྱད་བརྗོད་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་བྱང་བར་འགྱུར་རོ། ། ||| recites this secret mantra one hundred and eight times before an image of the Tathāgata will be able to purify all their karmic obscurations.
དེ་ལ་སེམས་ཅན་སྡང་བ་གང་དག་དང་། རྒྱལ་པོ་རྣམས་ཐོག་མར་སྨྲ་བར་འགྱུར་རོ། ། ||| “Once the dhāraṇī has been spoken to any hostile beings or kings,
སེམས་ཅན་ཐམས་ཅད་དེའི་དབང་དུ་འགྱུར་རོ། ། ||| you will have power over all of them.
འཇིགས་པ་ཐམས་ཅད་ཀྱི་ནང་དུ་ཡིད་ལ་བྱའོ། ། ||| You will master all fears.
འཐབ་པ་དང་། འཐབ་མོ་དང་། རྩོད་པ་དང་། འགྱེད་པ་ཐམས་ཅད་ལ་སྐུད་པ་དཀར་པོ་གདགས་སོ། ། ||| Wearing a white protection cord incanted with the mantra will guard against all manner of quarrelsome men and women, as well as any argument or dispute.
མིག་ནད་ལ་ཤིང་འོ་མ་ཅན་ལས་སྐུད་པ་བྱས་ཏེ་རྣ་བ་ལ་གདགས་སོ། ། ||| An incanted protection cord made with fiber from a date tree can be used against diseases of the eye and hung on one’s ear.
དམག་རེངས་པར་བྱེད་པར་འདོད་པས་ཞོ་དང་སྦྲང་རྩི་ལ་སྦགས་པའི་འབྲས་ཡོས་ལ་ལན་བརྒྱ་རྩ་བརྒྱད་སྦྱིན་སྲེག་བྱའོ། ། ||| To paralyze an army, perform a fire offering one hundred and eight times with incanted popped rice that has been soaked in yogurt and honey while reciting the following mantra each time:
རཱ་ཛ་ནཱཾ་རཱ་ཛ་མཱ་ཏྲཾ་བཱ་བ་ཤཱི་ཀ་རོ་ཏུ་ཀཱ་མེ་ན། ||| rājanāṃ rājāmātraṃ vā vaśī karotu kāmena |
བདག་དང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་དང་། སྡིག་པ་བྱང་ཞིང་། དཔལ་ཆེན་པོ་དང་། ནོར་གྱི་ཕུང་པོ་ཆེན་པོ་སྒྲུབ་པར་འདོད་ན། ||| “To purify all your own and all beings’ obscurations and misdeeds and to obtain great prosperity and wealth,
འོ་མ་ཅན་གྱི་ཤིང་གི་སྦར་ཤིང་གིས་མེ་བུས་ལ་བསྲེག་བྱ་ཏིལ་དག་ལན་སྟོང་སྦྱིན་སྲེག་བྱའོ། ། ||| recite the dhāraṇī while offering sesame seeds one thousand times into a fire altar that has been kindled with date palm branches.
སྡིག་པ་ཇི་སྙེད་པ་ཐམས་ཅད་སྦྱང་བར་འདོད་པ་དང་། རིག་སྔགས་ཐམས་ཅད་གྲུབ་པར་འདོད་པ་དང་། བདག་བཀྲུ་བར་འདོད་པས། ཤུ་ཏི་དང་། ན་ལ་ད་དང་། ཁྲེ་དང་། ཤི་རི་ཤ་དང་། རྒྱ་སྤོས་དང་། གུར་གུམ་དང་། གླ་སྒང་དང་། ཨིན་དྲ་བ་རུ་ན་དང་། བྱང་ཆུབ་ཀྱི་ཤིང་དང་། ཨ་མྲའི་མགོ་ལྕོགས་དང་། འདི་རྣམས་ཀྱིས་བཀྲུ་བར་བྱ་སྟེ ||| To purify all your misdeeds, master all vidyāmantras, or to ritually cleanse yourself you should wash with dill, spikenard, foxtail millet, sirisa, valerian, saffron, nut grass, bitter gourd, bodhi tree, and mango flowers.
སངས་རྒྱས་ཀྱི་སྤྱན་སྔར་ཉིན་ཞག་གཅིག་སྨྱུང་བར་བྱ་ཞིང་བུམ་པ་སར་པ་བཞག་སྟེ། ||| Next, fast for an entire day in front of a buddha image, and then place these ingredients in a fresh vase.
ཟླ་བ་ཉ་བ་ལ་སངས་རྒྱས་ཀྱི་གཟུགས་ཀྱི་སྤྱན་སྔར་སྙིང་པོ་ལན་སྟོང་རྩ་བརྒྱད་སྔགས་ལ་ཁྲུས་བྱའོ། ། ||| On the full moon, bathe in front of an image of the Buddha while reciting the heart mantra one thousand and eight times.
དུག་མི་གདུག་པར་བྱེད་པར་འདོད་པས་སངས་རྒྱས་ཀྱི་སྤྱན་སྔར་སེང་ལྡེང་གི་ཐུར་མ་བའི་ལྕི་བར་སྨྱུགས་པ་བརྒྱ་རྩ་བརྒྱད་མིང་ནས་སྨོས་ཏེ་སྦྱིན་སྲེག་བྱས་ན་དུག་མི་གདུག་པར་འགྱུར་རོ། ། ||| “To neutralize poison sit before an image of the Buddha and use a ladle made of teak to offer cow dung onto a ritual fire while reciting the victim’s name one hundred and eight times. The poison will then be neutralized.
གདོན་བསྲུང་བ་དང་། འབྱུང་པོ་ལ་སོགས་པའི་ལས་ཐམས་ཅད་ལ་ཡང་སྦྱར་བར་བྱས་ན་བདེ་བར་གནས་པར་འགྱུར་རོ། ། ||| This mantra protects one from seizers and works for any rite associated with the spirits and the like. It will pacify them.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་ལོག་པར་དད་སེལ་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| “Then the blessed tathāgata Krakucchanda hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བའི་ཕྱིར་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke the following root verses of the secret mantra in order to benefit all beings, pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མོཿསཾ་གྷཱ་ཡ། ན་མཿཀྲ་ཀུ་ཙྪན་དཱ་ཡ། ཏ་ཐཱ་ག་ཏཱ་ཡ། ཨར་ཧ་ཏེ་སཾ་མྱཀ་སཾ་བུད་དྷཱ་ཡ། ཨོཾ་ཀ་ཊ་ཀ་ཊ། ཀ་ཋ་ཀ་ཋ། ཀི་ཊི་ཀི་ཊི། ཀི་ཋི་ཀི་ཋི།། ཀི་ཏཱ་པ་ཡ་ན་མཿསྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | namaḥ krakucchandāya | tathāgatāya | arhate samyak­saṃbuddhāya | oṃ kaṭa kaṭa | kaṭha kaṭha | kiṭi kiṭi | kiṭhi kiṭhi | kiṭāpaya namaḥ svāhā |
ནམ་མཁའི་སྙིང་པོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལོག་པར་དད་སེལ་ཅེས་བྱ་བ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་གིས་གསུངས་ཤིང་ ||| “Ākāśagarbha, this has been taught by tathāgata, arhat, perfect complete buddhas bearing the name Krakucchanda in numbers equal to the grains of sand in the Ganges river, and
རྗེས་སུ་ཡི་རངས་པའི་སྙིང་པོ་འདི་ཁྱོད་ཀྱིས་ཟུང་ཤིག ། ||| now you must maintain this joyous root mantra.
བླངས་ཤིང་བཟུང་སྟེ་ཀུན་ཆུབ་པར་བྱས་ན་ ||| “If this is received, born in mind, and mastered,
ཕྱི་མའི་ཚེ་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་དག་དེའི་ཚེ་དཀོན་མཆོག་གསུམ་ལ་དད་པ་རྙེད་ནས་ ||| then in the future, when monks, nuns, and laypeople gain faith in the Three Jewels,
ཁྲུས་བྱས་ཏེབཅོམ་ལྡན་འདས་ལ་མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དག་གིས་མཆོད་པ་བྱས་ནས་ ||| perform the bathing rite, and make offerings of flowers, incense, and perfume to the Buddha
གསང་སྔགས་འདི་ལན་བརྒྱ་རྩ་བརྒྱད་བརྗོད་པར་གྱུར་ན། ཚེ་རབས་བདུན་དུ་ཚེ་རབས་དྲན་པར་འགྱུར་རོ། ། ||| while reciting this sacred mantra one hundred and eight times, they will be able to recall their past lives for seven lifetimes.
ལྷ་རྣམས་ཀྱི་ནང་དུ་ལྷའི་ཆེ་བ་ཉིད་ཐོབ་པར་འགྱུར་རོ། ། ||| They will become the greatest among gods or
ཡང་མི་རྣམས་ཀྱི་ནང་དུ་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་འགྱུར་རོ། ། ||| They will become [the greatest among gods or] wheel-turning kings among humans.
ཡང་ན་ཆོ་ག་བཞིན་དུ་བསྒྲུབས་ན་དེ་མིར་སྐྱེ་བ་ཐ་མ་ཐོབ་པར་འགྱུར་ཏེ། ||| If they perform this rite correctly, this will be their final human birth.
འདི་ནས་ཤི་འཕོས་ནས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| After they die, they will be born in Sukhāvatī.
ཚེ་འདི་ལ་ཡང་རྟག་ཏུ་བརྗོད་ན་ནད་ཐམས་ཅད་ལས་ཐར་བར་འགྱུར་རོ། །ཐོས་པ་འཛིན་པར་འགྱུར་རོ། ། ||| “If they constantly recite the mantra, they will be free from all manner of illnesses in this lifetime and understand what they study.
ཟས་དང་སྐོམ་གྱི་རྣམ་པ་ལ་ལན་བདུན་བསྔགས་ཏེ། ཟོས་འཐུངས་ན་ནད་ཐམས་ཅད་ལས་ཐར་བར་འགྱུར་རོ། ། ||| If they recite the mantra seven times over their food and drink and then consume it, they will be cured of any illness.
ཇི་སྟེ་སྐོམ་ཞི་བར་འདོད་ན་བཟའ་བ་ཐམས་ཅད་ལ་ལན་སྟོང་རྩ་བརྒྱད་ཀྱིས་བཀྲུ་བར་བྱའོ། ། ||| Or, if they wish to quench their thirst, they should wash their food while reciting the mantra one thousand and eight times.
ལྷོག་རྒལ་གཅོད་ན་ཟངས་ཁབ་ཀྱིས་བྱའོ། ། ||| “A copper needle incanted with the mantra can be used to remove a tumor.
འཐབ་པ་དང་། རྩོད་པ་དང་། འཆིང་བ་ཐམས་ཅད་ལས་ཐར་བར་བྱ་ན་ལན་བདུན་བཟླས་བརྗོད་བྱ་སྟེ། ||| If recited seven times, the mantra will free you from all manner of quarrels, disputes, and bondage.
