༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་ཀྵ་ར་ཀ་རཎྜ་ཀ་བཻ་རོ་ཙ་ན་གརྦྷ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Basket without Words, The Illuminator’s Matrix
རྒྱལ་བའི་སྒྲ་དང་ལྡན་པ། རྣམ་པར་རྒྱལ་བའི་མཛོད་དང་ལྡན་པ། ཡི་གེ་མེད་པའི་སྙིང་པོ་དང་ལྡན་པ། ||| They were endowed with the conqueror’s voice, endowed with the treasury of conquest, and endowed with the matrix without words.
ཤིན་ཏུ་གཉིད་ཀྱིས་མ་ལོག་པ། ཡེ་ཤེས་ཀྱི་ཕུང་པོ་ལ་གཞོལ་བ། རང་གི་ལས་ལ་མངོན་པར་དགའ་བ། རང་གི་རིགས་བསྟེན་པ། ||| Absolutely awake and absorbed in the aggregate of knowledge, they delighted in their own actions and relied on those who were like them.
ཀུན་ཏུ་བཟང་བ། མཉམ་པ་ཉིད་ལ་དགའ་བ། རྣམ་པར་དག་པ། ||| They were good in every way, took delight in equality, and were completely pure.
རང་གི་རྒྱུད་དང་། ཕ་རོལ་གྱི་རྒྱུད་རྣམ་པར་སྦྱོང་བར་བྱེད་པ། རྣམ་པར་རྒྱལ་བ་ཐོབ་པ་ཤ་སྟག་ལ་འདི་ལྟ་སྟེ། ||| They had purified their own and others’ continuums and attained victory.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་རྒྱལ་བའི་དབྱངས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་སྒྲོགས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱལ་བའི་གནས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་སྤྲུལ་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྟོང་གི་འབྱུང་གནས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྨོན་ལམ་བརྩེགས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁྱད་པར་སེམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ས་འཛིན་དང་། ||| Together there were the following: the bodhisattva great being Voice of Victory, the bodhisattva great being Dharma Speaker, the bodhisattva great being Conqueror’s Abode, the bodhisattva great being Emanation of the Dharma, the bodhisattva great being Source of a Thousand Attributes, the bodhisattva great being Aspirations Amassed, the bodhisattva great being Viśeṣacintin, the bodhisattva great being Dharaṇīdhara, the bodhisattva great being Jagatīndhara, the bodhisattva great being Melodious Song of the Earth, the bodhisattva great being Pratibhānasampad, the bodhisattva great being Supreme Accumulation, the bodhisattva great being Lotus Petal Eyes, the bodhisattva great being Lotus Face, and the bodhisattva great being Maṇicūḍa.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འགྲོ་བ་འཛིན་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སའི་སྒྲ་དབྱངས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤོབས་པ་ཕུན་སུམ་ཚོགས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤིན་ཏུ་བརྩེགས་དང་། ||| The bodhisattva great being Mañjuśrī was also there together with bodhisattva great beings beyond number, all of whom were youthful.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་འདབ་མའི་མིག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་གདོང་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཙུག་ན་ནོར་བུ་དང་ཐབས་ཅིག་གོ། །བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་པའི་དབྱངས་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བགྲང་བ་ལས་འདས་པ་ཐམས་ཅད་ཀྱང་གཞོན་ནུར་གྱུར་པ་ཤ་སྟག་དང་ལྷན་ཅིག །བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཐམས་ཅད་ཀྱང་རྒྱལ་ཚབ་ཏུ་གྱུར་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Maitreya was also there together with bodhisattva great beings who were all regents, as many as the grains of sand in the Ganges.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁྱད་པར་སེམས་ནི་བརྒྱ་བྱིན་དུ་མ་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Viśeṣacintin was there together with many Śakras.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་ནི་འཁོར་ལོས་སྒྱུར་བ་དུ་མ་དག་དང་ལྷན་ཅིག །བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་དང་། ||| The bodhisattva great being Samantabhadra, the bodhisattva great being Ākāśagarbha, and the Four Great Kings were there together with a multitude of universal monarchs.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ནི་ཚངས་པ་དུ་མ་དག་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Mahāsthāmaprāpta and the bodhisattva great being Avalokiteśvara were there together with a multitude of Brahmās.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐོང་བ་དོན་ཡོད་ནི་འཁོར་རྣམ་ཐོས་ཀྱི་བུ་དུ་མ་དག་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Amoghadarśin was there together with a retinue of a multitude of Vaiśravaṇas.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐར་མའི་རྒྱལ་པོ་ནི་འཇིག་རྟེན་སྐྱོང་བ་ལྷག་མ་རྣམས་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Nakṣatrarāja was there together with the other guardians of the world.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡིད་གཉིས་འཇོམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ནི་དེ་བཞིན་གཤེགས་པ་བྱང་ཆུབ་སེམས་དཔའི་ཆ་བྱད་འཛིན་པ་དུ་མ་དང་ལྷན་ཅིག ། ||| The bodhisattva great being Destroyer of Doubt and the bodhisattva great being Sarvanīvaraṇaviṣkambhin were there together with many thus-gone ones bearing the appearance of bodhisattvas.
ཤ་ར་དྭ་ཏིའི་བུ་དང་། མཽད་གལ་གྱི་བུ་དང་། འོད་སྲུང་ཆེན་པོ་ལ་སོགས་པ་དགྲ་བཅོམ་པ་ཐམས་ཅད་དང་ཡང་ལྷན་ཅིག ། ||| Śāradvatīputra, Maudgalyāyana, Mahākāśyapa, and so forth were there together with all the arhats.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དགེ་མང་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁྱད་པར་སེམས་ནི་ལྷའི་བུ་མོ་སྟོང་ཕྲག་དུ་མ་དག་དང་ལྷན་ཅིག་ཅིང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྨན་གྱི་རྒྱལ་པོ་དང་། ||| The bodhisattva great being Abundant Virtues and the bodhisattva great being Viśeṣacintin were there together with a multitude of thousands of goddesses.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྨན་ཡང་དག་བྱུང་དང་། ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ན་ཟླ་བ་དང་ཉི་མ་རང་གི་གཟི་བརྗིད་སྙེམས་པ་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ། ||| The bodhisattva great being Bhaiṣajyarāja, the bodhisattva great being Arisen from Remedies, and all the Moons and Suns in as many world systems of the ten directions as there are grains of sand in the Ganges, proud of their own splendor, proceeded to where the Blessed One was.
གང་གི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འཁོད་པ་དེའི་ཚེ་འཛམ་བུའི་ཆུ་བོའི་གསེར་གྱི་མདུན་དུ་སྣག་ཚའི་ཡུག་བཞག་པ་དེ་བཞིན་དུ། ཟླ་བ་དང་ཉི་མ་དེ་དག་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་ཕྱིར་ཞིང་མི་མཛེས། ཕྱིར་ཞིང་མི་འབར། ཕྱིར་ཞིང་ལམ་མེ་མ་ཡིན། ཕྱིར་ཞིང་ལྷན་ནེ་མ་ཡིན། ཕྱིར་ཞིང་ལྷང་ངེ་མ་ཡིན་ནོ། ||| When seated in the Blessed One’s presence, it was as if lumps of soot had been placed before gold from the Jambu River—those Moons and Suns were no longer beautiful, no longer blazed, no longer shone, no longer gleamed, and no longer illuminated in the Blessed One’s presence.
།སྲེད་མེད་ཀྱི་བུ་ལ་སོགས་པ་ལྷའི་ཚོགས་ཇི་སྙེད་པ་དང་། ཀླུའི་རྒྱལ་པོ་ཆུ་ལྷ་དང་། འཇོག་པོ་དང་། མ་དྲོས་པ་ལ་སོགས་པ་ཀླུའི་རྒྱལ་པོ་འཁོར་དང་བཅས་པ་ཐམས་ཅད་དང་། དྲི་ཟའི་བདག་པོ་ཤིན་ཏུ་ཡིད་དུ་འོང་བ་ནི་དྲི་ཟ་བྱེ་བ་ཕྲག་དུ་མ་དང་ལྷན་ཅིག་ནམ་མཁའ་ལྡིང་གི་རྒྱལ་པོ་དྲི་མ་མེད་པ་ཆེན་པོ་ནི་ནམ་མཁའ་ལྡིང་བྱེ་བ་ཕྲག་བདུན་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་ངོ་། ||| All the assemblies of gods such as Nārāyaṇa; all the kings of the nāgas such as Varuṇa, Takṣaka, and Anavatapta, together with their retinues; the lord of the gandharvas Sumanāpa together with many tens of millions of gandharvas; and the king of the garuḍas Great Stainless One together with seventy million garuḍas proceeded to the place where the Blessed One was.
།ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ན་བྱང་ཆུབ་སེམས་དཔའ་ཇི་སྙེད་འཁོད་པ་དེ་དག་རང་རང་གི་དེ་བཞིན་གཤེགས་པ་ལས་གནང་བ་མནོས་ཏེ། འཁོར་བཞི་དག་དང་ལྷན་ཅིག་དོང་ནས། བཅོམ་ལྡན་འདས་དང་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལ་ཡང་འཇིག་རྟེན་ལས་འདས་པའི་མཆོད་པ་བྱས་ནས་རང་རང་གི་པད་མའི་སྟན་ལ་འཁོད་དོ། ||| All the bodhisattvas dwelling in as many world systems of the ten directions as there are grains of sand in the Ganges obtained permission from their respective thus-gone ones and, together with their fourfold assemblies, proceeded there and made supramundane offerings to the Blessed One and to the bodhisattvas and then sat on their respective lotus seats.
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁྱད་པར་སེམས་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །གལ་ཏེ་བདག་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་གནང་ན་བཅོམ་ལྡན་འདས་ལ་ཡི་གེ་གཉིས་ཤིག་ཞུ་ལགས་སོ། ||| Then the bodhisattva great being Viśeṣacintin said to the Blessed One, “If the Blessed One gives me permission, I would like to ask the Blessed One about two words.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied, “I give my permission.
ངས་གནང་གིས་ཁྱད་པར་སེམས་ཁྱོད་ཅི་བསམས་པ་དེ་བཞིན་གཤེགས་པ་ལ་དྲིས་ཤིག ། ||| Therefore, Viśeṣacintin, ask the Thus-Gone One whatever you have in mind.
དེ་བཞིན་གཤེགས་པ་ནི་སེམས་ཅན་གཅིག་གི་དོན་གྱི་ཕྱིར་འདིར་བྱུང་བ་མ་ཡིན་གྱི་ང་ནི་ཁྱེད་ཀྱི་དོན་གྱི་ཕྱིར་འདིར་བྱུང་ངོ་། ||| The Thus-Gone One did not appear here for the sake of just anyone's benefit, I appeared here for the sake of your benefit.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁྱད་པར་སེམས་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་གང་སྤང་བར་བགྱི་བའི་ཆོས་གཅིག་པོ་དེ་གང་ལགས། ||| Then the bodhisattva Viśeṣacintin asked the Blessed One, “Blessed One, what is one factor that bodhisattvas abandon?
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་གང་བསྲུངས་ན་བསླབ་པའི་གཞི་ཐམས་ཅད་ཡོངས་སུ་བཟུང་བར་འགྱུར་བའི་ཆོས་གཅིག་པོ་དེ་གང་ལགས། ||| Blessed One, what is one quality that, when safeguarded by bodhisattvas, encompasses all the foundations of the training?
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པས་གང་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་ཆོས་གཅིག་པོ་དེ་གང་ལགས། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Blessed One, what is one phenomenon to which thus-gone ones have truly and perfectly awakened?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་ཁྱད་པར་སེམས་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ||| Questioned in this way, the Blessed One gave his approval to the bodhisattva Viśeṣacintin. “
ཚངས་པ་དེ་སྐད་སྨྲ་བ་ནི་ལེགས་སོ་ལེགས་སོ། ||| Brahmā, the words you have spoken are excellent, excellent!
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཀྱིས་སྤོབས་པ་འདི་ལྟ་བུ་བྱུང་ངོ་། ||| Child of a good family, such eloquence arises through the Thus-Gone One’s blessing.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པས་བྱིན་གྱིས་བརླབས་པ་མ་མཛད་ན། དེ་བཞིན་གཤེགས་པ་ལ་སུ་ཡང་ཞུ་བ་འདི་ལྟ་བུ་ཞུ་བར་མི་འགྱུར་རོ། ||| Child of a good family, if the Thus-Gone One did not bestow blessings, no one would ask the Thus-Gone One such questions.
།ཁྱད་པར་སེམས་དེའི་ཕྱིར་ཁྱོད་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་ཁྱོད་ལ་བཤད་དོ། ||| Viśeṣacintin, because of that, you should listen very carefully and keep this in mind. I will explain this to you.”
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་ཁྱད་པར་སེམས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| After the Blessed One said this, the bodhisattva Viśeṣacintin listened to the Blessed One accordingly.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་གཅིག་གང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་པོ་གང་ཞེ་ན། ||| The Blessed One said to him, “Child of a good family, someone may ask, ‘What is one factor that bodhisattvas should abandon?’
འདི་ལྟ་སྟེ། འདོད་ཆགས་ཀྱི་ཆོས་ཏེ། ||| It is the quality of attachment.
རིགས་ཀྱི་བུ་འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| Child of a good family, this is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་ཞེ་སྡང་གི་ཆོས་ཏེ། ||| Moreover, one factor that should be abandoned is the quality of anger.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་གཏི་མུག་གི་ཆོས་ཏེ། ||| Moreover, one factor that should be abandoned is the quality of delusion.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་བདག་ཏུ་འཛིན་པ་སྟེ། ||| Moreover, one factor that should be abandoned is grasping at a self.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་ལེ་ལོ་སྟེ། ||| Moreover, one factor that should be abandoned is laziness.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་རྨུགས་པ་དང་གཉིད་དེ། ||| Moreover, one factor that should be abandoned is lethargy and sleepiness.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།ཡང་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་སྲེད་པ་སྟེ། ||| Moreover, one factor that should be abandoned is craving.
འདི་ནི་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| This is one factor that should be abandoned.
།རིགས་ཀྱི་བུ་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་སྟེ། འདི་ལྟར་མ་རིག་པ་སྟེ། ||| Child of a good family, moreover, one factor that bodhisattvas should abandon is ignorance.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔས་སྤང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| Child of a good family, this is one factor that bodhisattvas should abandon. “
།རིགས་ཀྱི་བུ་གང་བྱང་ཆུབ་སེམས་དཔས་རྟག་པར་རྒྱུན་དུ་མངོན་པར་བསྲུང་བར་བྱ་བའི་ཆོས་གཅིག་པོ་དེ་གང་ཞེ་ན། ||| Child of a good family, someone may ask, ‘What is one quality that bodhisattvas should constantly and continuously safeguard?’
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་གང་བདག་མི་འདོད་པ་དེ་གཞན་དག་ལ་མི་བྱའོ། ||| Child of a good family, whatever bodhisattvas do not desire, they should not do to others.
།རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་གང་ལ་ལ་ཞིག་ཆོས་གཅིག་པོ་དེ་སྲུང་ན། དེས་དེ་བཞིན་གཤེགས་པའི་བསླབ་པའི་གཞི་ཐམས་ཅད་བསྲུངས་པར་འགྱུར་རོ། ||| Child of a good family, those bodhisattvas who safeguard this one quality will thereby safeguard all the foundations of the thus-gone ones’ training.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this so?
རིགས་ཀྱི་བུ་གང་བདག་གི་སྲོག་ཕངས་པར་འཛིན་པ་དེ་སྲོག་མི་གཅོད་དོ། ||| Child of a good family, whoever values their own life does not kill.
།གང་བདག་གི་ནོར་ཕངས་པར་འཛིན་པ་དེ་མ་བྱིན་པར་མི་ལེན་ཏོ། ||| Whoever values their own wealth does not take what has not been given.
།གང་བདག་གི་ཆུང་མ་ཕངས་པར་འཛིན་པ་དེ་གཞན་གྱི་ཆུང་མའི་གན་དུ་མི་འགྲོའོ། ||| Whoever values their wife does not approach another’s wife.
།རིགས་ཀྱི་བུ་དེ་ལ་སོགས་ཏེ། གང་ལ་ལ་ཞིག་འདི་སྙམ་དུ་དེ་བཞིན་གཤེགས་པའི་བཀའ་བཞིན་དུ་བྱའོ་སྙམ་དུ་སེམས་པ་དེས་ཆོས་གཅིག་པོ་འདི་བསྲུང་བར་བྱའོ་ཞེས་བཤད་དོ། ||| Child of a good family, I have explained that those who think in these or similar ways and understand, 'I should act in accordance with the Thus-Gone One’s teachings," should safeguard this one quality. “
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this so?
རིགས་ཀྱི་བུ་གང་ལ་ལ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་དོན་དུ་གཉེར་བ་དེ་དག་ཐམས་ཅད་ནི་རང་གི་བདེ་བའི་རྒྱུར་དོན་དུ་གཉེར་གྱི། ||| Child of a good family, all those who seek unsurpassed, perfect, and complete awakening seek the causes of their own happiness.
།སུ་ཡང་བདག་སྡུག་བསྔལ་བ་མི་འདོད་དེ། འགྲོ་བ་ནི་བདེ་བ་འདོད་ཅེས་བྱ་བའི་ཐ་ཚིག་གོ། ||| That means that no one desires their own suffering; beings desire happiness.
།གང་ཁྱེད་ཅག་མི་འདོད་པ་དེ་གཞན་དག་ལ་མ་བྱེད་ཅིག་ཅེས་ང་སྨྲའོ། ||| I say, ‘Do not do to others what you do not desire.’
