༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་རཏྣ་ཀོ་ཊི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Infinite Jewels
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དོ། ||| “Mañjuśrī, there is an absorption called infinite jewels,” replied the Blessed One to Youthful Mañjuśrī.
།ཏིང་ངེ་འཛིན་དེས་ང་ད་གདོད་གནས་གནས་པ་ལས་ལངས་སོ། ||| “That is the absorption from which I just arose.”
།གསོལ་པ། བཅོམ་ལྡན་འདས་ཅིའི་སླད་དུ་དེ་ལ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བགྱི་ལགས། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| “Blessed One, why is it called infinite jewels?”
འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་ནོར་བུ་རིན་པོ་ཆེ་ཤིན་ཏུ་དག་ཅིང་ཤིན་ཏུ་བྱི་དོར་བྱས་པ་ས་ཕྱོགས་མཉམ་པ་ལ་བཞག་ན་དེ་གང་དང་གང་ཁོ་ནར་བཞག་པ་དེ་དང་དེར་རིན་པོ་ཆེ་བྱེ་བ་གནས་པར་འགྱུར་རོ། ||| The Blessed One responded, “Mañjuśrī, take as an analogy an exceedingly pure and well-polished precious jewel. If it is placed on level ground, then wherever it is placed, there will be untold millions of jewels.
།འཇམ་དཔལ་དེ་བཞིན་དུ་ང་ཏིང་ངེ་འཛིན་དེ་ལ་གནས་ནས་ཤར་ཕྱོགས་སུ་བལྟས་ཏེ། ཤར་ཕྱོགས་སུ་བལྟས་ན་ངས་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད་གྲངས་མེད་པ་དག་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་སྟོན་ཅིང་བཞུགས་པ་དག་མཐོང་ངོ་། ||| In the same way, Mañjuśrī, when I remain in this absorption and look to the east, I see thus-gone ones, worthy ones, perfect buddhas abiding and teaching the Dharma in countless, innumerable world systems.
།དེ་བཞིན་དུ་ལྷོ་ཕྱོགས་དང་། ནུབ་ཕྱོགས་དང་། བྱང་ཕྱོགས་དང་། འོག་དང་། སྟེང་ནས་ཕྱོགས་བཅུའི་བར་དུ་བལྟས་ན་ངས་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད་པ་དག་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་སྟོན་ཅིང་བཞུགས་པ་དག་མཐོང་ངོ་། ||| It is the same to the south, west, north, below, and above. When I look in the ten directions, I see thus-gone ones, worthy ones, perfect buddhas abiding and teaching the Dharma in boundless world systems.
།འཇམ་དཔལ་ངས་ཏིང་ངེ་འཛིན་འདི་ལ་གནས་ནས་གང་ཡང་དག་པའི་མཐའ་མ་ཡིན་པའི་ཆོས་དེ་གང་ཡང་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ངོ་། ||| Remaining in this absorption, Mañjuśrī, I do not actually see any phenomenon whatsoever that is not the limit of reality.
།འཇམ་དཔལ་ཡང་དག་པའི་མཐའི་ཕྱག་རྒྱ་འདི་ངས་ཕྱག་རྒྱར་བཞག་སྟེ། ||| Mañjuśrī, I posit this seal of the limit of reality as my seal.
དད་པ་ཅན་གྱི་རིགས་ཀྱི་བུ་རྣམས་དང་། རིགས་ཀྱི་བུ་མོ་རྣམས་ཀྱིས་ཕྱག་རྒྱ་འདི་ལ་སྤྱད་ན་སྤོབས་པ་མི་ཆོད་པ་འཛིན་པར་འགྱུར་རོ། །གསོལ་པ། ||| Faithful noble sons and daughters who engage in this seal will gain uninterrupted eloquence.”
བཅོམ་ལྡན་འདས་བདག་སྤོབས་ལགས་སོ། ||| “Blessed One, I have something to say.
།བདེ་བར་གཤེགས་པ་སྤོབས་ལགས་སོ། ||| Well-Gone One, I have something to say.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་སྤོབས་པར་གྱིས་ཤིག །གསོལ་པ། ||| “Then speak, Mañjuśrī.”
བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན་ནོར་བུ་རིན་པོ་ཆེ་དེ་ཉིད་ངོས་གང་དང་གང་ཁོ་ནས་ཕབ་སྟེ་གཞག་པའི་རིན་པོ་ཆེའི་ངོས་དེ་དང་དེ་ཁོ་ན་འབབ་ཅིང་གནས་པར་འགྱུར་ལགས་སོ། །བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་ཆོས་ཐམས་ཅད་ནི་ཡང་དག་པའི་མཐའ་ཁོ་ནས་གནས་ལགས་སོ། ||| “Blessed One, take as an analogy that very same precious jewel. Whatever facet it is set down upon, it will rest on precisely that facet of the precious jewel. Blessed One, in the same way, all phenomena abide only as the limit of reality.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཡང་དག་པའི་མཐའ་ཤེས་སམ། གསོལ་པ། ||| “Mañjuśrī, do you know the limit of reality?”
བཅོམ་ལྡན་འདས་འཚལ་ལགས་སོ། ||| “I do, Blessed One.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་འོ་ན་ཡང་དག་པའི་མཐའ་གང་ན་འདུག །གསོལ་པ། ||| “Well then, Mañjuśrī, where is the limit of reality?”
བཅོམ་ལྡན་འདས་ཡང་དག་པའི་མཐའ་ནི་བདག་གི་མཐའ་གང་ན་མཆིས་པ་དེ་ན་མཆིས་ལགས་སོ། ||| “Blessed One, the limit of reality is wherever my limit is.
།ཡང་དག་པའི་མཐའ་ནི་སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་གང་ན་མ་མཆིས་པ་དེ་ན་མཆིས་ལགས་སོ། ||| The limit of reality is wherever the phenomena of ordinary beings are not.
།ཡང་དག་པའི་མཐའ་ནི་ལས་སམ། རྣམ་པར་སྨིན་པ་ཡང་མ་ལགས་ལ་ཆོས་ཐམས་ཅད་ཀྱི་མཐའ་ཡང་དེ་ཁོ་ན་ལགས་སོ། ||| The limit of reality is not karma or ripening but only the limit of all phenomena.
།བཅོམ་ལྡན་འདས་གང་དག་དེ་ལྟར་མོས་པ་དེ་དག་ནི་གང་ལས་ཀྱང་རྣམ་པར་གྲོལ་བ་མ་མཆིས་ལགས་སོ། ||| Blessed One, those who have such conviction are not liberated from anything at all.
།གང་དག་གང་ལས་ཀྱང་གྲོལ་བ་མ་མཆིས་པ་དེ་དག་ནི་ལོག་པ་ལས་རྣམ་པར་གྲོལ་བ་ལགས་སོ། ||| Those who are not liberated from anything at all are liberated from being mistaken.
།གང་དག་ལོག་པ་ལས་རྣམ་པར་གྲོལ་བ་དེ་དག་ནི་ཡང་དག་པར་རྣམ་པར་གྲོལ་བ་ལགས་སོ། ||| Those who are liberated from being mistaken are truly liberated.
།གང་དག་ཡང་དག་པར་རྣམ་པར་གྲོལ་བ་དེ་དག་ནི་སྤྱོད་ཡུལ་མ་ལགས་པ་ལ་ཞུགས་པ་ལགས་སོ། །གང་དག་སྤྱོད་ཡུལ་མ་ལགས་པ་ལ་ཞུགས་པ་དེ་དག་ནི་ཡང་དག་པར་ཞུགས་པ་ལགས་སོ། །དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Those who are truly liberated have entered what is not an objective world. Those who have entered what is not an objective world have entered into reality. And why?
བཅོམ་ལྡན་འདས་སྤྱོད་ཡུལ་མ་ལགས་པ་ཞེས་བགྱི་བ་ནི་སྤྱོད་ཡུལ་དེས་བགྱིས་ལགས་པ་སྟེ། དེའི་སླད་དུ་སྤྱོད་ཡུལ་མ་ལགས་པ་ཞེས་འདོགས་ལགས་སོ། ||| Blessed One, when one thinks, ‘It is not an objective world,’ then one has already made it an objective world. It is on account of that that we label it not an objective world.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་སྤྱོད་ཡུལ་མ་ཡིན་པ་ཞེས་བྱ་བ་དེ་གང་གི་ཚིག་བླ་དགས་ཡིན། ||| “Mañjuśrī, what does not an objective world refer to?”
གསོལ་པ། བཅོམ་ལྡན་འདས་སྤྱོད་ཡུལ་མ་ལགས་པ་ཞེས་བགྱི་བ་དེ་ནི་ཡང་དག་པའི་མཐའི་ཚིག་བླ་དགས་ལགས་སོ། ||| “Blessed One, not an objective world refers to the limit of reality.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ལམ་སྒོམ་པ་ཞེས་བྱ་བ་དེ་གང་གི་ཚིག་བླ་དགས་ཡིན། ||| “Mañjuśrī, what does cultivating the path refer to?”
གསོལ་པ། བཅོམ་ལྡན་འདས་ལམ་བསྒོམ་པ་ཞེས་བགྱི་བ་དེ་ནི་ལམ་སྒོམ་པ་མ་མཆིས་པའི་ཚིག་བླ་དགས་ལགས་སོ། ||| “Blessed One, cultivating the path refers to not cultivating the path.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ལས་དང་པོ་པའི་རིགས་ཀྱི་བུ་རྣམས་དང་། རིགས་ཀྱི་བུ་མོ་རྣམས་ལ་ཆོས་ཇི་ལྟར་སྟོན། གསོལ་པ། ||| “Mañjuśrī, how do you teach the Dharma to noble sons and daughters who are beginners?”
བཅོམ་ལྡན་འདས་བདག་ནི་ལས་དང་པོ་པའི་རིགས་ཀྱི་བུ་རྣམས་དང་། རིགས་ཀྱི་བུ་མོ་རྣམས་ལ་འཇིག་ཚོགས་དོར་དུ་མ་མཆིས་པར་ཆོས་སྟོན་ལགས་སོ། ||| “Blessed One, I teach the Dharma to noble sons and daughters who are beginners by teaching that the composite person should not be discarded.
།བདག་ནི་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་རྣམས་སྤང་དུ་མ་མཆིས་པར་ཆོས་སྟོན་པ་ལགས་སོ། ||| When I teach the Dharma, I teach that attachment, aversion, and delusion are not to be abandoned.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
བཅོམ་ལྡན་འདས་ཆོས་འདི་རྣམས་ཀྱི་རང་བཞིན་གང་ལགས་པ་དེ་ནི་སྤང་བར་རྔོ་མི་ཐོགས་པའི་སླད་དུ་ལགས་སོ། ||| Because, Blessed One, it is impossible to abandon whatever is the nature of these phenomena.
།བཅོམ་ལྡན་འདས་འཇིག་ཚོགས་སམ། འཇིག་ཚོགས་ཀུན་འབྱུང་བ་སྤོང་བར་འཚལ་བ་དེ་ནི་ཡང་དག་པའི་མཐའ་སྤོང་བར་བས་ཏེ། ||| Blessed One, to seek to abandon the composite person or the origin of the composite person would amount to abandoning the limit of reality.
བཅོམ་ལྡན་འདས་བདག་ནི་ལས་དང་པོ་པའི་རིགས་ཀྱི་བུ་རྣམས་དང་། རིགས་ཀྱི་བུ་མོ་རྣམས་ལ་མངོན་པར་ཞེན་པ་མ་མཆིས་པའི་ཚུལ་གྱིས་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་གཟུང་བར་མི་བགྱི་བའམ། མངོན་སུམ་དུ་མི་བགྱི་བ་དང་། སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་ལྷག་པར་མི་དམིགས་པའམ། ||| Rather, Blessed One, to noble sons and daughters who are beginners I teach that, in a manner free from clinging, the Buddha’s attributes are not to be taken up or actualized, and the attributes of ordinary beings should not be grasped or abandoned.
སྤང་བར་མི་བགྱི་བ་དེ་ལྟ་བུར་ཆོས་སྟོན་ལགས་ན་གདུལ་བ་ལས་དང་པོ་པ་རྣམས་ལ་བཅོམ་ལྡན་འདས་ཇི་ལྟར་ཆོས་སྟོན་པར་མཛད་ལགས། ||| Blessed One, how do you teach the Dharma to those who are beginners?”
བཀའ་སྩལ་པ། འཇམ་དཔལ་ང་ནི་གཟུགས་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པར་ཆོས་སྟོན་ཏོ། ||| “Mañjuśrī, I teach the Dharma whereby form does not disintegrate and is unborn.
།ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པར་ཆོས་སྟོན་ཏོ། ||| I teach that feelings, perceptions, and formations, as well as consciousness, do not disintegrate and are unborn.
།འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་རྣམས་རྣམ་པར་འཇིག་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པ་དང་། བསམ་གྱིས་མི་ཁྱབ་པའི་ཆོས་རྣམས་ཀྱང་ཐོབ་པ་མེད་པར་ཆོས་སྟོན་ཏོ། ||| I teach the Dharma whereby attachment, aversion, and delusion do not disintegrate and are unborn, and I also teach that the inconceivable attributes are unattainable.
།ངས་ནི་འདི་ལྟར་ཆོས་གང་ཡང་མ་བཤིག་མ་བསྐྱེད་པ་དེ་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ། ||| It is in this way, without destroying or producing any attribute whatsoever, that I awakened to unsurpassed and perfect buddhahood.
།འཇམ་དཔལ་སངས་རྒྱས་ཉིད་ཅེས་བྱ་བ་དེ་ནི་ཆོས་ཀྱི་དབྱིངས་ཀྱི་ཚིག་བླ་དགས་ལགས་སོ། ||| Mañjuśrī, buddhahood is a term for the realm of phenomena.
།སྟོབས་རྣམས་དང་། མི་འཇིགས་པ་རྣམས་དང་། མ་འདྲེས་པ་ལ་ཐུག་པའི་སངས་རྒྱས་ཀྱི་ཆོས་གང་དག་ཡིན་པ་དེ་དག་ཀྱང་ཆོས་ཀྱི་དབྱིངས་ཁོ་ན་ཡིན་པར་ཁོང་དུ་ཆུད་པར་བྱའོ། །ངས་ནི་ཆོས་ཀྱི་དབྱིངས་ལ་འདི་ལྟ་སྟེ། ||| One should understand that the attributes of a buddha, such as the powers, fearlessnesses, and the unique attributes, are also nothing but the realm of phenomena.
སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་སམ། དགྲ་བཅོམ་པའི་ཆོས་རྣམས་སམ། རང་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་སམ། སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་ཀྱང་རུང་སྟེ། དེ་དག་ཐ་དད་པར་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་ངོ་། ||| With regard to the realm of phenomena, I do not see any distinct attributes of ordinary beings, worthy ones, solitary buddhas, or buddhas.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| How is this so?
འཇམ་དཔལ་དབྱིངས་དེ་ལ་ནི་བྱེ་བྲག་མེད་དེ། ||| Mañjuśrī, in that realm there are no distinctions;
འདི་ལྟ་སྟེ། ཆོས་ཀྱི་དབྱིངས་སོ། ||| such is the realm of phenomena.
།ཆོས་ཀྱི་དབྱིངས་ནི་མ་འདྲེས་པའི་དབྱིངས་སོ། ||| The realm of phenomena is an unadulterated realm.
།འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་ཆུ་ཀླུང་མིང་ཐ་དད་པ་དང་། ཁ་དོག་ཐ་དད་པ་དང་། རོ་ཐ་དད་པ་རྒྱ་མཚོའི་ནང་དུ་བབ་པ་རྣམས་ལ་ནི་འདི་ལྟ་སྟེ། འདི་ནི་གང་གཱའོ་ཞེའམ་སི་ཏའོ་ཞེའམ། ||| “As an analogy, Mañjuśrī, consider rivers that have distinct names, colors, and waters.
ཡ་མུ་ནའོ་ཞེས་བྱེ་བྲག་ཏུ་དབྱེ་བའམ་ཐ་དད་དུ་བྱར་མི་ནུས་སོ། །འཇམ་དཔལ་དེ་བཞིན་དུ་མིང་ཐ་དད་པའི་ཆོས་རྣམས་ཀྱང་ཆོས་ཀྱི་དབྱིངས་ལ་འདི་ནི་སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་སོ་ཞེའམ། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་སོ་ཞེས་ཐ་དད་པར་གདགས་པར་མི་ནུས་སོ། ||| When they flow into the ocean it becomes impossible to differentiate them or identify them, saying, ‘This is the Ganges,’ ‘This is the Sītā,’ or ‘This is the Yamunā.’ Similarly, Mañjuśrī, within the realm of phenomena, all those phenomena that have different names cannot be distinctly labeled, saying, ‘These are the attributes of ordinary beings, and here are those of the hearers, solitary buddhas, bodhisattvas, and buddhas.’
།འཇམ་དཔལ་འདི་ལྟ་སྟེ། ||| “Mañjuśrī, consider this analogy.
དཔེར་ན་འབྲུའི་ཕུང་པོ་སྣ་ཚོགས་ལ་ནི་འདི་ནི་འབྲུ་ཆེ་གེ་མོ་ཞིག་གི་ཕུང་པོའོ། །འདི་ནི་ཆེ་གེ་མོ་ཞིག་གོ་ཞེས་གདགས་སུ་ཡོད་པ་བཞིན་དུ་ཆོས་ཀྱི་དབྱིངས་ལ་ནི་འདི་དག་སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་སོ་ཞེའམ། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་སོ་ཞེས་ཐ་དད་པར་གདགས་པར་མི་ནུས་སོ། ||| If you have different heaps of grain, you can label them, saying, ‘This is a heap of such-and-such a grain, and this is such-and-such.’ However, within the realm of phenomena you cannot make such distinctions and point out the individual attributes of ordinary beings, hearers, solitary buddhas, bodhisattvas, and buddhas.
།འཇམ་དཔལ་འདི་ལྟ་སྟེ། ||| “Mañjuśrī, consider this analogy.
དཔེར་ན་འབྲུའི་ཕུང་པོ་སྣ་ཚོགས་ལ་ནི་འདི་ནི་འབྲུ་ཆེ་གེ་མོ་ཞིག་གི་ཕུང་པོའོ། །འདི་ནི་ཆེ་གེ་མོ་ཞིག་གོ་ཞེས་གདགས་སུ་ཡོད་པ་བཞིན་དུ་ཆོས་ཀྱི་དབྱིངས་ལ་ནི་འདི་དག་ནི་སོ་སོའི་སྐྱེ་བོའི་ཆོས་རྣམས་སོ། །འདི་དག་ནི་དགྲ་བཅོམ་པའི་ཆོས་རྣམས་སོ། །འདི་དག་ནི་རང་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་སོ། །འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཆོས་རྣམས་སོ། །འདི་དག་ནི་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་སོ་ཞེས་ཐ་དད་པར་གདགས་པར་མི་ནུས་སོ། ||| If you have different heaps of grain, you can label them, saying, ‘This is a heap of such-and-such a grain, and this is such-and-such.’ However, within the realm of phenomena you cannot make such distinctions, saying, ‘These are the attributes of ordinary beings, these are the attributes of worthy ones, these are the attributes of solitary buddhas, these are the attributes of bodhisattvas, and these are the attributes of buddhas.’ It cannot be pointed out or labeled, as by saying, ‘This is the realm of phenomena;
།འདི་ནི་ཆོས་ཀྱི་དབྱིངས་ཏེ་དེ་ནི་འདི་ན་འདུག་གོ་ཞེའམ། ||| this is where it is’ or ‘It is in such-and-such a location.’ And why not?
ག་གེ་མོ་ཞིག་ན་འདུག་གོ་ཞེས་དེ་ལྟར་བསྟན་པའམ་གདགས་པར་མི་ནུས་སོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། འདི་ལྟར་ཆོས་ཀྱི་དབྱིངས་ནི་བལྟར་མི་མཐོང་ཞིང་བསྟན་དུ་མེད་དེ། ||| Because the realm of phenomena cannot be seen and cannot be shown.
གདགས་པར་བྱ་བ་མ་ཡིན་ཞིང་གདགས་པ་ལས་ཡང་དག་པར་འདས་པའི་ཕྱིར་རོ། ||| It is not something that can be labeled; it is beyond being labeled.
།འགྲོ་བ་འདི་དེ་ལྟ་བུའི་དབྱིངས་ཡིན་པར་ངས་ཇི་སྐད་བསྟན་པ་ལ་གལ་ཏེ་མཚམས་མེད་པ་བྱེད་པ་དེ་ལྟར་མོས་ཏེ། ||| “I have taught that beings are this realm.
མཚམས་མེད་པ་ཡང་དེ་ལྟ་བུའི་དབྱིངས་ཡིན་པར་ཤེས་ན། དེ་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་དུ་མི་འགྱུར་རོ། ||| If one commits an act of immediate retribution yet has conviction in this teaching and understands that acts of immediate retribution are also this realm, then one will not become defiled.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
འཇམ་དཔལ་མཚམས་མེད་པ་ནི་ཆོས་ཀྱི་དབྱིངས་དང་མཚུངས་པར་མཉམ་པའི་ཕྱིར་ཏེ། ||| Because, Mañjuśrī, the acts of immediate retribution are equivalent to the realm of phenomena.
འདི་ལྟར་མཚམས་མེད་པའི་དབྱིངས་དང་། ཆོས་ཀྱི་དབྱིངས་འདི་ནི་གཉིས་སུ་མེད་ཅིང་གཉིས་སུ་དབྱེར་མེད་དེ། ||| In this way, the realm of the acts of immediate retribution and the realm of phenomena are nondual and inseparable.
འདི་ལ་ནི་འོང་བའམ། འགྲོ་བའམ། ཀུན་ནས་ལྡང་བ་མི་དམིགས་སོ། ||| Here, coming, going, or appearing are not apprehended.”
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་གིས་ཀྱང་ཆོས་ཀྱི་དབྱིངས་ངན་སོང་དུ་མཆི་བའམ། མཐོ་རིས་སུ་མཆི་བའམ། མྱ་ངན་ལས་འདས་པར་མཆི་བར་མ་མཐོང་ལགས་སོ། །བཀའ་སྩལ་པ། ||| Then Youthful Mañjuśrī said to the Blessed One, “Blessed One, I also do not see the realm of phenomena going to the lower realms, the higher realms, or nirvāṇa.”
འཇམ་དཔལ་གལ་ཏེ། ལ་ལ་ཞིག་ཁྱོད་ལ་འདི་སྐད་དུ་འདྲི་སྟེ། ཁྱོད་ཀྱི་སྟོན་པ་འགྲོ་བ་དྲུག་དང་ལྡན་པའི་འཁོར་བ་ཇི་ལྟར་འདོགས་ཞེས་དེ་སྐད་དྲིས་ན་འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཇི་སྐད་ལན་གདབ། ||| “Mañjuśrī, suppose someone were to ask how your teacher designates saṃsāra with its six classes of beings. What would you answer?”
