༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
དགེ་བའི་ཆོས་ལ་འདུན་པས་རྒྱུན་དུ་ཆུད་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| By aspiring to virtuous qualities, one will attain stream entry.
རྒྱུན་དུ་ཆུད་པ་ཐོབ་པས་དོན་རྙེད་པར་འགྱུར་རོ། ། ||| By attaining stream entry, one will fulfill one’s purpose.
དོན་རྙེད་པས་བདག་པོ་ཐོབ་པར་འགྱུར་རོ། ། ||| By fulfilling one’s purpose, one will attain mastery.
བདག་པོ་ཐོབ་པས་སྦྱིན་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| By attaining mastery, one will become generous.
སྦྱིན་པས་ལོངས་སྤྱོད་ཆེན་པོ་ཐོབ་པར་འགྱུར་རོ། ། ||| Through being generous, one will attain great prosperity.
ཚུལ་ཁྲིམས་ཀྱིས་མཐོ་རིས་ཐོབ་པར་འགྱུར་རོ། ། ||| Through discipline, one will attain the higher realms.
བཟོད་པས་ཀུན་ཏུ་མཛེས་པར་འགྱུར་རོ། ། ||| Through patience, one will become attractive in all ways.
བརྩོན་འགྲུས་ཀྱིས་མངོན་པར་ཤེས་པ་མྱུར་བར་འགྱུར་རོ། ། ||| Through diligence, one will swiftly gain the higher cognitions.
བསམ་གཏན་གྱིས་སེམས་ལས་སུ་རུང་བར་འགྱུར་རོ། ། ||| Through meditative stability, one’s mind will become pliable.
ཤེས་རབ་ཀྱིས་འཇིག་རྟེན་ཐམས་ཅད་ལས་མངོན་པར་འཕགས་པར་འགྱུར་རོ། ། ||| Through insight, one will rise above all worlds.
ཐབས་ཀྱིས་ཐམས་ཅད་ལས་འབྱུང་བར་འགྱུར་རོ། ། ||| Through skillful means, one will adapt to any situation.
སྨོན་ལམ་གྱིས་ཚེགས་མེད་པར་འགྱུར་རོ། ། ||| Through aspiration, one will face no difficulties.
སྟོབས་ཀྱིས་མི་ཚུགས་པར་འགྱུར་རོ། ། ||| Through strength, one will be invulnerable.
ཡེ་ཤེས་ཀྱིས་འཇིག་རྟེན་ཐམས་ཅད་སྟོན་པར་འགྱུར་རོ། ། ||| Through wisdom, one will teach in all the worlds.
མངོན་པར་འབྱུང་བས་འཕགས་པ་ཉིད་ཐོབ་པར་འགྱུར་རོ། ། ||| Through renunciation, one will attain nobility.
རབ་ཏུ་བྱུང་བས་གནོད་སེམས་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་འགྱུར་རོ། ། ||| By going forth, one will quell all harmful thoughts.
བསོད་སྙོམས་སྤྱོད་པས་ཁ་ན་མ་ཐོ་བ་མེད་པར་འགྱུར་རོ། ། ||| By living on alms, one will become irreproachable.
དགོན་པ་ལ་གནས་པས་འཇིགས་པ་མེད་པར་འགྱུར་རོ། ། ||| By living in solitude, one will become fearless.
ནང་དུ་ཡང་དག་འཇོག་པས་བསམ་གཏན་དང་། མངོན་པར་ཤེས་པ་དང་། ཚངས་པའི་གནས་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| And through inward composure, one will achieve meditative stability, the higher cognitions, and the brahmā states.
ཇི་ལྟར་ཐོས་པའི་ཆོས་ལ་སོ་སོར་རྟོག་པ་དང་། ཡང་དག་པར་རབ་ཏུ་སྟོན་པས་སོ་ས་ཡང་དག་པར་རིག་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| “By examining the Dharma just as it was heard and by teaching it accurately, one will attain correct discernment.
དྲན་པ་ལ་མཁས་པས་གཟུངས་ཐོབ་པར་འགྱུར་རོ། ། ||| Through expertise in mindfulness, one will attain dhāraṇī.
སྤོབས་པ་ལ་མཁས་པས་ཁྱད་པར་ལུང་སྟོན་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ། ། ||| Through expertise in confident eloquence, one will attain the wisdom of accurate prophesy.
བློ་གྲོས་ལ་མཁས་པས་ཆོས་དང་དོན་རབ་ཏུ་དབྱེ་བའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ། ། ||| Through skillful intelligence, one will attain the wisdom that discerns between phenomena and their meaning.
མོས་པ་ལ་མཁས་པས་མི་འཇིགས་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| Through expertise in dedication, one will attain fearlessness.
ཕུང་པོ་ལ་མཁས་པས་ཤེས་རབ་རབ་ཏུ་དབྱེ་བར་འགྱུར་རོ། ། ||| Through expertise in the aggregates, one will develop discerning insight.
ཁམས་ལ་མཁས་པས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཕྲ་མོ་ཤེས་པས་རབ་ཏུ་འབྱེད་པར་འགྱུར་རོ། ། ||| Through expertise in the elements, one will access the knowledge of subtle dependent arising.
སྐྱེ་མཆེད་ལ་མཁས་པས་ཕྱི་ནང་ལ་ཤིན་ཏུ་རྨོངས་པ་སྤོང་བར་འགྱུར་རོ། ། ||| Through expertise in the sense bases, one will relinquish confusion regarding the internal and external.
བདེན་པ་ལ་མཁས་པས་སེམས་ཅན་ཐམས་ཅད་ལ་མི་སླུ་བར་འགྱུར་རོ། ། ||| Through expertise in truth, one will not deceive any beings.
ཡིད་ལ་བྱེད་པ་ལ་མཁས་པས་སངས་རྒྱས་ཐམས་ཅད་མཉེས་པར་བྱེད་པར་འགྱུར་རོ། ། ||| Through expertise in attention, one will please all the buddhas.
ཞི་གནས་ལ་མཁས་པས་སེམས་ཞི་བར་འགྱུར་རོ། ། ||| Through expertise in meditative calm, the mind will be pacified.
ལྷག་མཐོང་ལ་མཁས་པས་སེམས་དུལ་བར་འགྱུར་རོ། ། ||| And, through expertise in meditative insight, the mind will be tamed.
ང་རྒྱལ་མེད་པས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཡོངས་སུ་རྫོགས་པར་འགྱུར་རོ། ། ||| “Without pride, one will perfect the wisdom of omniscience.
ཁེངས་པ་མེད་པས་ཡིད་རྟོན་པར་འགྱུར་རོ། ། ||| Without arrogance, one will be trustworthy.
སེམས་ཅན་ཐམས་ཅད་ལ་མི་སླུ་བས་དབང་གཅིག་པར་འགྱུར་རོ། ། ||| By not deceiving any beings, one will have a singular power.
དམ་བཅས་པ་ལ་བརྟན་པས་ལྷ་དང་མི་མགུ་བར་བྱེད་པར་འགྱུར་རོ། ། ||| Being firm in one’s commitments delights gods and humans.
ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་དུ་བྱེད་པས་སྐྱེས་བུ་དམ་པའི་ཆོས་ཡོངས་སུ་རྫོགས་པར་འགྱུར་རོ། ། ||| By acting just as one speaks, one will perfect the qualities of a sublime being.
ནང་དུ་སེམས་པས་བདེ་བར་ཁོང་དུ་ཆུད་པར་འགྱུར་རོ། ། ||| Through introspection, one will easily comprehend things.
སེམས་འཆོས་པས་ཆོས་ཀྱི་རྒྱལ་སྲིད་ཐོབ་པར་འགྱུར་རོ། ། ||| By improving the mind, one will attain the Dharma kingdom.
ལུས་བསྲུང་བ་དང་ལུས་ལ་མི་བལྟ་བས་སངས་རྒྱས་ཀྱི་སྐུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Protecting the body while disregarding it, one will attain the body of a buddha.
འཇམ་ཞིང་སྙན་ལ་ཕན་པར་སྨྲ་བས་ཚངས་པའི་སྒྲ་སྐད་སྒྲོགས་པའི་དབྱངས་ཐོབ་པར་འགྱུར་རོ། ། ||| By speaking gently and pleasantly with altruistic intent, one will attain a voice that resounds in the melodious tones of Brahmā.
དཀོན་མཆོག་གསུམ་ལ་དད་པ་མི་ཕྱེད་པས་གནས་དང་གནས་མ་ཡིན་པ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| “Through undivided faith in the Three Jewels, one will attain the strength of knowing what is appropriate and inappropriate.
ཐམས་ཅད་དུ་ལེགས་པར་བྱ་བའི་ལས་བྱེད་པས་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By always engaging in well-performed deeds, one will attain the strength of knowing the ripening of karma.
སེམས་ཅན་ཡེ་ཤེས་ཀྱི་ལམ་ལ་སྦྱོར་བ་དང་། ཕ་རོལ་མི་ཤེས་པ་ལ་མི་བརྙས་པས་དབང་པོ་མཆོག་དང་མཆོག་མ་ཡིན་པ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By connecting beings with the path of wisdom and not despising outsiders for their ignorance, one will attain the strength of knowing the supreme and ordinary sense faculties.
རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཕྲ་བ་ཁོང་དུ་ཆུད་པས་ཁམས་སྣ་ཚོགས་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By comprehending subtle dependent arising, one will attain the strength of knowing beings’ varying dispositions.
སེམས་ཅན་ཐམས་ཅད་དཀོན་མཆོག་གསུམ་ལ་འཛུད་པ་དང་། མོས་པར་བྱེད་པས་མོས་པ་སྣ་ཚོགས་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By causing all beings to engage with and take an interest in the Three Jewels, one will attain the strength of knowing beings’ varying interests.
ཐམས་ཅད་དུ་སྤྱོད་ལམ་རྣམ་པར་མི་འཁྲུགས་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་མཚུངས་པར་ཆོས་སྟོན་པས་ཐམས་ཅད་དུ་འགྲོ་བའི་ལམ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By always being imperturbable in conduct and by teaching the Dharma in a way that accords with every being, one will attain the strength of knowing the destinations of all paths.
སེམས་ཅན་བསམ་གཏན་གྱི་ལམ་ལ་སྦྱོར་བས་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་རྣམ་པར་བྱང་བ་དང་། ལྡང་བ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By connecting beings with the path of meditative concentration, one will attain the strength of knowing the purification of the defilements affecting meditative concentration, samādhi, and meditative attainment, and of knowing how to overcome them.
སེམས་ཅན་ལམ་སྟོར་བ་རྣམས་ལ་ལམ་ཉེ་བར་སྟོན་པས་ལྷའི་མིག་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By showing the path to those beings who have lost their way, one will attain the strength of knowing the divine eye.
སེམས་ཅན་ཐམས་ཅད་ལ་དྲན་པ་རབ་ཏུ་སྦྱིན་པས་སྔོན་གྱི་གནས་རྗེས་སུ་དྲན་པ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By imparting mindfulness to all beings, one will attain the strength of knowledge of recollecting previous lives.
སེམས་ཅན་ཐམས་ཅད་ལ་རྣམ་པར་བྱང་བའི་ལམ་ཉེ་བར་སྟོན་པས་ཟག་པ་ཟད་པ་མཁྱེན་པའི་སྟོབས་ཐོབ་པར་འགྱུར་རོ། ། ||| By teaching the path of purification to all beings, one will attain the strength of knowing the exhaustion of contaminants.
སེམས་ཅན་མང་དུ་ཐོས་པ་ལ་སྦྱོར་བས་མི་འཇིགས་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| “By connecting beings with extensive learning, one will attain fearlessness.
སེམས་ཅན་ཐེག་པ་ཆེན་པོ་ལ་སྦྱོར་བས་སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| By connecting beings with the Great Vehicle, one will attain the unique qualities of a buddha.
སྟོང་པ་ཉིད་སྒོམ་པས་བག་ཆགས་ཀྱི་མཚམས་སྦྱོར་བ་སྤོང་བར་འགྱུར་རོ། ། ||| By cultivating emptiness, one will eliminate the chain of habitual patterns.
མཚན་མ་མེད་པ་སྒོམ་པས་ཆོས་ཐམས་ཅད་ལ་སྒྲིབ་པ་མེད་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ། ། ||| By cultivating signlessness, one will attain unobscured wisdom regarding all phenomena.
སྨོན་པ་མེད་པ་སྒོམ་པས་ཆོས་ཐམས་ཅད་ལ་སོ་སོར་རྟོག་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ་ཞེས་དེ་ལྟར་བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ཀྱི་གོ་རིམས་ཀྱི་སྒོ་ལ་འཇུག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཆེན་པོ་སྟོན་ཏོ། ། ||| And by cultivating wishlessness, one will attain the wisdom that discerns all phenomena.” This is what the Blessed One taught as the great Dharma discourse called Entering the Gate of the Progressive Approach to All Dharmas.
འཁོར་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་གཉིས་ཁང་པ་བརྩེགས་པའི་ནང་ན་གཡོག་མང་པོ་དང་གནས་ཤིང་འཁོད་དེ། ||| Present in that assembly inside the mansion were two bodhisattvas with their many servants.
གཅིག་ནི་རྩོམ་པ་མེད་ཅེས་བྱ། གཅིག་ནི་བློ་གྲོས་རྣམ་པར་གནོན་ཅེས་བྱའོ། ། ||| One was named Nirārambha and the other Mativikrama.
དེ་གཉིས་དེར་འདུས་ནས་བློ་འདི་སྙམ་དུ་གྱུར་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཆོས་ཡང་དག་པར་བརྗོད་པ་བློ་གྲོས་ཡངས་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| They met and shared this thought: “There is a Dharma discourse of bodhisattvas called Vast Intelligence.”
བདག་ཅག་གིས་ཡང་དག་པར་བརྗོད་པར་བྱའོ་ཞེས་སྨྲས་ནས། ||| They then said aloud, “We should discuss it.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྣམ་པར་གནོན་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་འབྱུང་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| The bodhisattva great being Mativikrama then inquired of the bodhisattva great being Nirārambha, “Child of good family, how should bodhisattva great beings understand the arising of the thus-gone, worthy, completely perfect buddhas?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ངོ་བོ་ཉིད་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should bodhisattva great beings understand the essence of the thus-gone ones?
དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་གཞན་གྱི་རྐྱེན་གྱིས་འབྱུང་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the different conditions through which thus-gone ones arise?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་གནས་པ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| Child of good family, how should bodhisattvas understand the state of the thus-gone ones?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| Child of good family, how should bodhisattvas understand the great final nirvāṇa of the thus-gone, worthy, completely perfect buddhas?
འཇུག་པ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the approach?
དཔེ་དང་འདྲ་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand examples and comparisons?
རིགས་ཀྱི་བུ་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔས་སངས་རྒྱས་རྣམས་དུ་ཡོད་པར་ཁོང་དུ་ཆུད་པར་བྱ། ||| “Child of good family, how should bodhisattvas understand the different aspects of a buddha?
བྱང་ཆུབ་སེམས་དཔས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་ཐ་སྙད་དུ་སྟོན་པ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should bodhisattvas understand what the thus-gone, blessed, completely perfect buddhas teach conventionally?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་སྟོང་པ་ཉིད་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| Child of good family, how should bodhisattvas understand emptiness?
སྟོང་པ་ཉིད་ཀྱི་མི་འཐུན་པའི་ཕྱོགས་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand opposition to emptiness?
བྱང་ཆུབ་སེམས་དཔས་སྟོང་པ་ཉིད་སྨྲ་བར་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should bodhisattvas understand those who follow the teachings on emptiness?
བྱང་ཆུབ་སེམས་དཔས་ཆོས་སྨྲ་བ་པོ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should bodhisattvas understand those who follow the Dharma?
དེ་རྣམས་ཀྱིས་ཆོས་སྨྲ་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the examples through which they promote the Dharma?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མི་འགྲོགས་པ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the ways bodhisattvas should not associate with others?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་འཕྲུལ་པ་ཆེན་པོ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the great emanation of bodhisattvas?
དགེ་བ་རྣམས་ཀྱི་རྣམ་པར་སྨིན་པའི་དབང་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| How should they understand the ripening power of the virtues?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཟག་པ་མེད་པའི་དགེ་བ་རྣམས་ཀྱི་རྣམ་པར་སྨིན་པ་ཐོབ་པའི་དབང་བ་ཇི་ལྟར་ཁོང་དུ་ཆུད་པར་བྱ། ||| Child of good family, how should bodhisattvas understand the power of attaining the ripening of the undefiled virtues?”
དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྣམ་པར་གནོན་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་ཁྱོད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཆོས་ཡང་དག་པར་བརྗོད་པ་ཡང་དག་ཕུལ་འདི་དྲིས་པ་འདི་ལྟ་སྟེ། ||| When the bodhisattva great being Mativikrama finished speaking, the bodhisattva great being Nirārambha said to him, “Child of good family, you have asked about this exceedingly excellent Dharma discourse of bodhisattva great beings.
ཆོས་ཡང་དག་པར་བརྗོད་པ་བློ་གྲོས་རྒྱ་ཆེན་པོ་འདི་ནི་ཡང་དག་ཕུལ་གྱི་གཏམ་མོ། ། ||| This Dharma discourse called Vast Intelligence is an exceedingly excellent account.
རིགས་ཀྱི་བུ་ཉོན་ཅིག་དང་། སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་ཆོས་ཡང་དག་པར་བརྗོད་པ་བློ་གྲོས་ཆེན་པོ་འདི་བཤད་པར་བྱའོ། ། ||| Child of good family, listen as I explain, through the blessing of the Buddha, this Dharma discourse called Vast Intelligence.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་འབྱུང་བ་ཁོང་དུ་ཆུད་པར་བྱ་སྟེ། ||| “Child of good family, bodhisattvas should understand the arising of thus-gone, worthy, completely perfect buddhas through ten approaches to the way of the Dharma.
བཅུ་གང་ཞེ་ན། ||| What are these ten?
