འཕགས་པ་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Taking Refuge in the Three Jewels
ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| While seated to the side, the venerable Śāriputra asked the Blessed One,
བཙུན་པ་བདག་གཅིག་པུ་དབེན་པར་མཆིས་ཏེ། ནང་དུ་ཡང་དག་འཇོག་ལ་མཆིས་པ་ན་ ||| “Honored One, while I was staying alone in the forest in meditative seclusion,
སེམས་ཀྱིས་སེམས་ཀྱི་ཡོངས་སུ་རྟོག་པ་འདི་ལྟ་བུ་སྐྱེས་ཏེ། ||| this thought arose in my mind:
རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་དང་ལྡན་པ་གང་ལ་ལ་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་སྐྱབས་སུ་མཆིས་པའི་གང་ཟག་དེའི་བསོད་ནམས་ཇི་སྙེད་ཅིག་སོགས་པར་འགྱུར་སྙམ་བགྱིད་ལགས་སོ། ། ||| ‘How much merit is accumulated by faithful noble sons or noble daughters who take refuge in the Buddha, the Dharma, and the Saṅgha of monks?’ ”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the venerable Śāriputra,
ཤཱ་རིའི་བུ་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། ||| “Śāriputra, you have asked this question in order to benefit and bring happiness to many beings.
འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། སྐྱེ་བོའི་ཚོགས་ཕལ་པོ་ཆེའི་དོན་དང་། ལྷ་དང་མི་རྣམས་ལ་ཕན་པ་དང་བདེ་བའི་ཕྱིར་ཞུས་པ་ ||| Out of love for the world, you seek to help a vast number of beings, gods and humans alike, by accomplishing their welfare and happiness.
ལེགས་སོ་ལེགས་སོ། ། ||| That is excellent, excellent!
གང་ཁྱོད་དེ་བཞིན་གཤེགས་པའི་སྤྱན་སྔར་འོངས་ཏེ་ ||| Śāriputra, as you have thought to come and
དོན་འདི་ཡོངས་སུ་ཞུ་བར་སེམས་པ་དེ་ནི་ཤཱ་རིའི་བུ་དོན་དེ་ཉིད་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཕྱིར་དཔེས་བསྟན་པར་བྱ་སྟེ ||| question the Thus-Gone One about this matter, I will reply with an analogy to make you understand.
སྐྱེས་བུ་གང་ཟག་འགའ་ཞིག་རྫུ་འཕྲུལ་གྱི་མཐུ་འདི་ལྟ་བུ་དང་ལྡན་པར་གྱུར་པས་གང་འདི་འཛམ་བུའི་གླིང་དང་ཉེ་བའི་གླིང་ཞེང་དང་། སྲིད་དུ་དཔག་ཚད་བདུན་སྟོང་ཡོད་པའི་འཛམ་བུའི་གླིང་དེ་ན་གང་སྲོག་ཆགས་གནས་པ་དེ་དག་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དུ་བཀོད་དེ ||| “Imagine that someone endowed with magical powers were to transfer into another world all the beings that live in Jambudvīpa—the land of Jambudvīpa and its subcontinents, which measure seven thousand leagues across and lengthwise.
ལག་མཐིལ་ལྟར་མཉམ་པར་བྱས་པར་ ||| Having made the ground even like the palm of a hand,
རིན་པོ་ཆེ་སྣ་བདུན་ལ་འདི་ལྟ་སྟེ། གསེར་དང་། དངུལ་དང་། བཻ་དཱུརྱ་དང་། ཤེལ་དང་། མུ་ཏིག་དམར་པོ་དང་། རྡོའི་སྙིང་པོ་དང་། སྤུག་རྣམས་ལས་འཛམ་བུའི་གླིང་ཙམ་གྱི་མཆོད་རྟེན་སྲིད་དུ་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་ལ་ཐུག་པར་བརྩིགས་ཏེ། ||| that person would then build a stūpa made of the seven precious gems—gold, silver, beryl, crystal, red coral, emerald, and white coral. It would be the size of Jambudvīpa, and its summit would reach the Brahmā realms.
མཆོད་རྟེན་དེ་ལ་ལྷའི་སྤོས་དང་། ལྷའི་མེ་ཏོག་དང་། ལྷའི་ཕྲེང་བ་དང་། ལྷའི་གདུགས་དང་། རྒྱལ་མཚན་དང་། བ་དན་རྣམས་ཀྱིས་མཆོད་པ་བྱས་ལ། ||| That person would then worship that stūpa with offerings of divine incense, divine flowers, divine garlands, and divine parasols, banners, and flags.
དེ་ནས་སྐྱེས་བུ་དེ་རྫུ་འཕྲུལ་གྱི་མཐུ་འདི་ལྟ་བུ་དང་ལྡན་པར་གྱུར་པས། ||| This person endowed with these magical powers
གང་རྒྱ་མཚོ་ཆེན་པོ་བཞིའི་ཆུ་དེ་དག་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དུ་བྱོ་སྟེ། ||| would then pour all the water of the four great oceans into another world system and
མ་རུ་ཀའི་ཏིལ་མར་གྱིས་རྒྱ་མཚོ་ཆེན་པོ་བཞི་ལྟར་བཀང་བའི་ནང་དུ་སྙིང་པོ་རི་རབ་ཙམ་བཙུགས་ལ། ||| replace it with four oceans filled with maruka oil.
བསྐལ་པ་མང་པོའི་མཐའ་ཇི་སྲིད་པར་མར་མེའི་རྒྱུན་མི་འཆད་པར་བུས་ན ||| He would then place a wick the size of Mount Sumeru into the oceans so that for many eons this oil lamp would continuously burn.
ཤཱ་རིའི་བུ་དེ་ཇི་སྙམ་དུ་སེམས། སྐྱེས་བུ་དེ་གཞི་དེ་ལས་བསོད་ནམས་མང་དུ་སོགས་སྙམ་མམ། ||| “Śāriputra, tell me, would that person accumulate a lot of merit on that basis?”
བཅོམ་ལྡན་འདས་མང་ལགས་སོ། ། ||| “Blessed One, yes, a lot!
བདེ་བར་གཤེགས་པ་མང་ལགས་སོ། ། ||| Blissful One, yes, a lot!
ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ལས་འདས་པ་ལགས་ཏེ། ||| That person would surpass all the hearers and solitary buddhas.
བཅོམ་ལྡན་འདས་འདི་ནི་དེ་བཞིན་གཤེགས་པའི་ཡུལ་ལོ། ། ||| Blessed One, this is the domain of the thus-gone ones.
བདེ་བར་གཤེགས་པ་འདི་ནི་དེ་བཞིན་གཤེགས་པའི་ཡུལ་ལོ། ། ||| Blissful One, this is the domain of the thus-gone ones.”
ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་ལ་བསོད་ནམས་ཀྱི་ཕུང་པོ་སྔ་མ་དེས་བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ་སྟེསྟོང་དང་། བརྒྱ་སྟོང་གི་ཆ་དང་། གྲངས་དང་། རྒྱུ་དང་། བགྲང་བར་ཡང་ཉེ་བར་མི་འགྲོའོ། ། ||| “Śāriputra, that amount of merit would not match even a hundredth, a thousandth, or even a hundred thousandth of the merit created by a noble son or noble daughter who takes refuge in the Buddha, the Dharma, and the Saṅgha. This difference could not be illustrated by any numbers, examples, or calculations.”
དེ་ནས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པའི་ཚེ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་གཡོས། རབ་ཏུ་གཡོས། ཀུན་ཏུ་རབ་ཏུ་གཡོས། འགུལ་རབ་ཏུ་འགུལ། ཀུན་ཏུ་རབ་ཏུ་འགུལ། ལྡེག་རབ་ཏུ་ལྡེག །ཀུན་ཏུ་རབ་ཏུ་ལྡེག་གོ། ། ||| When this Dharma teaching was given, the whole great trichiliocosm began to quiver, tremble, quake, wobble, rock, sway, vibrate, shudder, and reel.
དེའི་ཚེ་དེར་གློག་གི་རྒྱུན་ཆེན་པོ་བྱུང་ངོ་། ། ||| Great lightning flashes struck, and
ལྷ་རྣམས་ཀྱིས་ཀྱང་རྔ་སྒྲ་བསྒྲགས་སོ། ། ||| the gods caused the sound of drums to be heard.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The venerable Ānanda asked the Blessed One,
བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། ||| “Blessed One, what is the name of this Dharma teaching?
ཇི་ལྟར་གཟུང་བར་བགྱི། ||| How should it be remembered?”
ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་འདི་ལྟར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སྒོ་མཐའ་ཡས་པས་བསྒྲུབ་པ་ཞེས་བྱ་བར་ཟུང་ཤིག ། ||| The Blessed One replied, “Ānanda, you should remember this Dharma teaching as Accomplishing Limitless Gateways.
དེའི་དོན་ནི་དེ་ལྟར་བལྟ་བར་བྱ་སྟེ ||| This is how you should see its meaning, and
དེ་དེ་བཞིན་དུ་ཟུང་ཤིག ། ||| this is how you should remember it.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| When the Blessed One had spoken,
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་། དགེ་སློང་གཞན་དག་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| the venerable Śāriputra and the other monks praised the Blessed One’s words.
འཕགས་པ་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the noble Great Vehicle sūtra “Taking Refuge in the Three Jewels.”
རྒྱ་གར་གྱི་མཁན་པོ་སརྦ་ཛྙ་དེ་བ་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་དཔལ་བརྩེགས་ཀྱིས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| This was translated, edited, and finalized by the Indian paṇḍita Sarvajñādeva and the translator-editor Bandé Paltsek.
