༄༅། །དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་བསྟན་པའི་མདོ། ||| Teaching the Ripening of Virtuous and Nonvirtuous Actions
ལ་ལ་ནི་རྨོངས་པ་ཡང་མཆིས། ལ་ལ་ནི་རྟག་པར་ཕྱི་རོལ་དུ་འཁྱམ་ལ་བཀྲེས་པ་ཡང་མཆིས། ལ་ལ་ནི་ཕོ་བྲང་གི་ནང་ན་འདུག་ཅིང་གོས་དང་ཟས་ཀྱིས་མི་བྲེལ་ཏེ་ལོངས་སྤྱོད་པ་ཡང་མཆིས། ||| Some always roam about outside and are constantly hungry, while others stay inside palaces and leisurely enjoy themselves with food and clothing. “
གཞོན་ན་དབུལ་ཞིང་རྒས་ན་ཕྱུག་ཅིང་བཙན་པ་ཡང་མཆིས། ||| Some are poor in their youth yet rich and mighty in their old age.
དྲང་དཀན་ཆེ་ཞིང་འགལ་བར་མི་བྱེད་པ་ལས་གྱོད་ལ་ཐོགས་པ་ཡང་མཆིས། ||| Some are honest and avoid disputes yet hold regrets about this.
ཕ་ནི་བྱམས་བུ་ནི་སྲི་ཞུ་ཆེ་སྟེ། གཙུག་ལག་གི་ཡི་གེ་དང་གཞུང་སྨོས་ཤིང་བཤད་པ་ཡང་མཆིས། ||| Some are respectful sons who are obedient to their fathers and who discuss and explain the holy books and scriptures.
སྤུན་མི་འཐུན་ནས་རྩོད་པ་ཡང་མཆིས། ||| Some do not get along with their relatives and bicker.
གནས་མཐོ་ཞིང་ཡོ་བྱད་རྣམ་པ་སྣ་ཚོགས་སུ་ལྡན་པ་ཡང་མཆིས། ||| Some have high positions and own assortments of material goods.
བདག་གི་ཁྱིམ་མེད་ལ་འདྲོན་ཐབས་སུ་གནས་པ་ཡང་མཆིས། ||| Some lack houses of their own and live as lodgers.
བྱ་དང་། རི་དགས་དང་། གཅན་གཟན་དང་འདྲ་བར་གནས་པ་ཡང་མཆིས། ||| Some live like birds, wild animals, or ferocious beasts.
གོས་སུ་བལ་གོས་གྱོན་ཞིང་ཟས་སུ་ཤ་ཟ་ཞིང་ཡི་གེ་མི་ཤེས་པ་ཡང་མཆིས། ||| Some wear wool as their clothing, feed on meat, and are illiterate.
མི་གཡོ་བར་འདུག་ཀྱང་སྐྱིད་ཅིང་ཡོན་ཏན་ཐོབ་པ་ཡང་མཆིས། ||| Some do not move yet are happy and acquire positive traits.
གླ་ཟ་ཞིང་གནས་པ་ཡང་མཆིས། ||| Some live by earning wages. “
ཡིད་གཞུངས་ཤིང་ཁོང་གྲོལ་བ་ཡང་མཆིས། རྨོངས་ཤིང་བླུན་ལ་ངན་པ་ཡང་མཆིས། ||| Some are learned and broad minded, while others are ignorant and foolish.
བཙལ་ཏེ་མ་རྙེད་པ་ཡང་མཆིས། མ་བཙལ་ཏེ་རྙེད་པ་ཡང་མཆིས། ||| Some search but never find anything, while others find something without even searching.
ཕྱུག་ཅིང་བཙན་ལ་ནོར་དང་ལྡན་ལ་སེར་སྣ་ཆེ་བ་ཡང་མཆིས། དབུལ་ལ་སྦྱིན་པ་ལ་སྲེད་པ་ཡང་མཆིས། ||| Some are wealthy, mighty, and affluent yet greedy, while others are poor yet generous.
ཚིག་སྨྲ་ན་བདེན་ཞིང་མཉེན་པར་ཟེར་བ་ཡང་མཆིས། ཚིག་སྨྲ་ན་གཟེར་བ་བཞིན་དུ་ཟུག་པ་ཡང་མཆིས། ||| Some speak truthfully and gently, while others pierce like nails when they talk.
གཞན་གྱིས་བྱམས་ཤིང་བཀུར་བ་ཡང་མཆིས། ཀུན་གྱིས་སྤངས་ཤིང་བསྲིངས་པ་ཡང་མཆིས། ||| Some are loved and respected by others, while others are deserted and forsaken by everyone.
སྙིང་རྗེའི་སེམས་ཀྱིས་སེམས་ཅན་གསོ་བ་ཡང་མཆིས། བག་མེད་པར་སྲོག་གཅོད་པ་ཡང་མཆིས། ||| Some compassionately care for animals, while others take lives carelessly.
ཁོང་ཡངས་ཤིང་ཀུན་དང་འཐུན་པ་ཡང་མཆིས། ཀུན་གྱིས་མི་འདོད་པ་ཡང་མཆིས། ||| Some are open minded and agreeable, while others are disliked by everyone.
མནའ་མ་དང་སྒྱུག་མོར་མི་འཐུན་པ་ཡང་མཆིས། ཚག་པ་མོ་དང་འཛའ་བ་ཡང་མཆིས། ||| Some do not get along with their wives and mothers-in-law, while others are amicable with their relatives.
ལ་ལ་ནི་ཆོས་ཀྱི་གཏམ་ལ་དགའ་བ་ཡང་མཆིས། ལ་ལ་ནི་མདོ་སྡེ་ཐོས་ནས་གཉིད་བྲོ་བ་ཡང་མཆིས། ||| Some are fond of Dharma discourses, while others feel sleepy when hearing the sūtras. “
ལ་ལ་ནི་བརྡལ་བག་ཅན་ལ་མཛངས་པ་ཡང་མཆིས། ||| Some are conscientious and erudite.
ལ་ལ་ནི་གཙུག་ལག་ཁང་ལ་དགའ་ཞིང་བསྒོམ་པ་ལ་འགྲུས། ||| Some are fond of learning and diligent in meditation.
ལ་ལ་ནི་བྱོལ་སོང་གི་གཟུགས་དང་མཚུངས། ||| Some resemble beasts of burden.
ལ་ལ་ནི་རི་དགས་རྣམ་པ་སྣ་ཚོགས་སུ་འགྱུར་བ་ཡང་མཆིས་ན། ||| Some have taken on the various appearances of wild animals. “
བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱུ་དང་འབྲས་བུ་རྒྱས་པར་བཤད་ན་འཁོར་མང་པོ་ཀུན་གྱིས་ཐོས་ནས་སེམས་རྩེ་གཅིག་ཏུ་དགེ་བའི་རྗེས་སུ་ཕྱོགས་པར་འགྱུར་ལགས་སོ། ||| Blessed One, if you were to explain such causes and results in detail, all those many followers would focus their minds single-pointedly on virtue upon hearing your teaching!”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་ཁྱོད་ཀྱིས་ཇི་ལྟར་རྣམ་པར་སྨིན་པ་མི་འདྲ་བར་འདྲི་བ་དེ་བཞིན་དུ། དེ་དག་ཀུན་ཀྱང་ཚེ་རབས་སྔ་མ་ལ་སྤྱོད་པ་མི་འཐུན་པས། དེའི་ཕྱིར་ན་ཁྱད་པར་སྣ་ཚོགས་སུ་གྱུར་ཏོ། ||| The Blessed One replied, “Nanda, as you have inquired about various forms of karmic ripening, those manifold differences manifest in accordance with the conduct of past lifetimes.
།དེ་ལ་ད་ལྟར་བྱད་བཞིན་བཟང་པོ་ནི་བཟོད་པ་ལས་འོངས་སོ། ||| In this respect, a lovely face in one’s present life comes from patience.
།མི་སྡུག་པ་ནི་ཞེ་སྡང་དང་ཁོང་ཁྲོ་བ་ལས་འོངས་སོ། ||| Ugliness comes from anger and hatred.
།དབུལ་ཕོངས་པ་ནི་སེར་སྣ་ལས་འོངས་སོ། ||| Poverty comes from greed.
།བཙན་ཞིང་ཆེ་བ་ནི་སངས་རྒྱས་ལ་གུས་པར་ཕྱག་འཚལ་བ་ལས་འོངས་སོ། ||| Mightiness and greatness come from paying homage to the buddhas with reverence.
།མི་མ་རབས་ཐམས་ཅད་ནི་རྒྱགས་ཤིང་དྲེགས་པ་ལས་འོངས་སོ། ||| Wickedness comes from being proud and aggressive.
།ལུས་རིང་ཞིང་བཟང་བ་ནི་བཀུར་སྟི་བྱས་པ་ལས་འོངས་སོ། ||| A tall and good-looking body comes from being respectful.
།ལུས་ཐུང་བ་ནི་ཆོས་ལ་ལེ་ལོ་བྱས་པ་ལས་འོངས་སོ། ||| A short body comes from being lazy with respect to the Dharma.
།བླུན་པ་ནི་ལུག་ལས་འོངས་སོ། ||| Foolishness comes from having been a sheep.
།སྐམ་ཞིང་གནག་པ་ནི་དེ་བཞིན་གཤེགས་པའི་སྐུ་བསྒྲིབས་པ་ལས་འོངས་སོ། ||| Being scrawny and dark comes from concealing images of the thus-gone ones.
།མཆུ་དམའ་བ་ནི་ཆོས་སྟོན་པའི་ཟས་ལ་མྱངས་པ་ལས་འོངས་སོ། ||| Disproportionate lips come from tasting the food of Dharma teachers.
།མིག་ཚག་པ་ནི་མེ་བསླངས་པ་མི་སྟེར་བ་ལས་འོངས་སོ། ||| Twitchy eyes come from not providing fire to those who request it.
།མུན་སྲོས་ནས་མིག་མི་མཐོང་བ་ནི་ཁྲའི་མིག་བྲུས་པ་ལས་འོངས་སོ། ||| Being unable to see at dusk comes from prying out the eyes of falcons.
།ལྐུགས་པ་ནི་དམ་པའི་ཆོས་ལ་སྐུར་པ་འདེབས་པ་ལས་འོངས་སོ། ||| Muteness comes from denigrating the sublime Dharma.
།འོན་པ་ནི་ཆོས་ཐོས་སུ་མི་དགའ་བ་ལས་འོངས་སོ། ||| Deafness comes from being displeased while hearing the Dharma.
།སོ་སྟོ་བ་ནི་རྐང་དང་རུས་པ་ལ་སྲེད་པ་ལས་འོངས་སོ། ||| Buck teeth come from craving for marrow and bones.
།སྣ་བསྙེར་བ་ནི་སྤོས་མི་ཞིམ་པ་བསྲེགས་ཏེ་སངས་རྒྱས་ལ་མཆོད་པ་ལས་འོངས་སོ། ||| A wrinkly nose comes from burning foul-smelling incense and offering it to the buddhas.
།ཤོ་རེ་ནི་ཉའི་མཆུ་ཕུག་པ་ལས་འོངས་སོ། ||| Cleft lips come from piercing the lips of fish.
།སྐྲ་སེར་བ་ནི་ཕག་གི་སྤུ་བཏོགས་པ་ལས་འོངས་སོ། ||| Yellowed hair comes from plucking out the hair of pigs.
།རྣ་བ་རལ་བ་ནི་རྣ་བ་ཕུག་པ་ལས་འོངས་སོ། ||| Split ears come from piercing ears.
།ཐང་སྦྲུལ་འདྲ་བ་ནི་གོས་མི་གཙང་བ་གྱོན་ཏེ་སངས་རྒྱས་ལ་སྙོགས་པ་ལས་འོངས་སོ། ||| Resembling a desert snake comes from wearing filthy clothes while following the buddhas.
།ངམས་གནག་པ་ནི་སངས་རྒྱས་ཀྱི་སྐུ་གཟུགས་ཁྱིམ་མམ་ཁྱམས་སུ་བཞག་པ་ལས་འོངས་སོ། ||| Being dark skinned comes from placing statues of the buddhas inside households or in courtyards.
།ཞར་བ་དང་གྱོལ་བ་ནི་མཁན་པོ་དང་བླ་མ་མཐོང་སྟེ་མི་ལྡང་བ་ལས་འོངས་སོ། ||| Blindness and lameness come from not standing when seeing preceptors and masters.
།སྒུར་བ་ནི་གོས་མི་གཙང་བ་གྱོན་ཞིང་སངས་རྒྱས་ཀྱི་སྐུ་ལ་རྒྱབ་ཀྱིས་ཕྱོགས་པ་ལས་འོངས་སོ། ||| A hunched back comes from wearing filthy clothes and turning one’s back toward images of the buddhas.
།དཔྲལ་བ་འབུར་བ་ནི་སངས་རྒྱས་མཐོང་ནས་ཕྱག་གུས་པར་མི་འཚལ་ཞིང་ལག་པ་དཔྲལ་བར་གཏུགས་པ་ལས་འོངས་སོ། ||| A pronounced forehead comes from not prostrating respectfully but resting a hand on the forehead upon seeing the buddhas.
།མཇིང་བ་ཐུང་བ་ནི་བཙུན་པ་དང་བླ་མ་མཐོང་ནས་མགོ་སྨད་ཅིང་བྱོལ་བ་ལས་འོངས་སོ། ||| A short neck comes from hanging one’s head down and looking away when one sees honorable ones and masters.
།མཆིན་པ་ན་བ་ནི་སེམས་ཅན་གྱི་ལུས་གཏུབས་ཤིང་གཙགས་པ་ལས་འོངས་སོ། ||| Liver disease comes from hacking and slicing up the bodies of beings.
།མཛེ་ཅན་ནི་གཞན་གྱི་ནོར་མ་འོས་པར་བླངས་པ་ལས་འོངས་སོ། ||| Leprosy comes from inappropriately taking away the wealth of others.
།ལུད་པ་མང་བ་ནི་དགུན་མི་གཞན་ལ་ཟས་གྲང་མོ་བྱིན་པ་ལས་འོངས་སོ། ||| Excessive phlegm comes from serving others cold food during winter.
།བུ་ཚ་མེད་པ་ནི་བྱ་ཕྲུག་མང་པོ་བསད་པ་ལས་འོངས་སོ། ||| Being childless comes from killing many baby birds.
།བུ་ཚ་མང་བ་ནི་སེམས་ཅན་མང་པོ་གསོས་པ་ལས་འོངས་སོ། ||| Having a lot of children comes from caring for many animals.
།ཚེ་རིང་བ་ནི་སྙིང་རྗེ་ཆེ་བ་ལས་འོངས་སོ། ||| A long lifespan comes from being especially compassionate.
།ཚེ་ཐུང་བ་ནི་སྲོག་གཅོད་པ་ལས་འོངས་སོ། ||| A short lifespan comes from taking lives.
།ཕྱུག་པ་ནི་སྦྱིན་པ་བྱས་པ་ལས་འོངས་སོ། ||| Wealth comes from practicing generosity.
།རྟ་དང་ཤིང་རྟ་བདོག་པ་ནི་དཀོན་མཆོག་གསུམ་ལ་ཡོན་ཕུལ་བ་ལས་འོངས་སོ། ||| Owning horses and chariots comes from making donations to the Three Jewels.
།དབང་པོ་རྣོ་བ་ནི་སློབ་པ་ལ་འགྲུས་པ་དང་མདོ་སྡེ་ཁ་ཏོན་དུ་བྱས་པ་ལས་འོངས་སོ། ||| Sharp faculties come from being diligent in studying and reciting the sūtras.
།རྨུན་པོ་ནི་བྱོལ་སོང་ལས་འོངས་སོ། ||| Dullness comes from having been a beast of burden.
།བྲན་ཕོ་དང་བྲན་མོ་བྱེད་པ་ནི་བུ་ལོན་མ་གཞལ་བ་ལས་འོངས་སོ། ||| Working as a servant boy or girl comes from not repaying debts.
།སྤྲོ་ཐུང་བ་ནི་སྤྲེའུ་ལས་འོངས་སོ། ||| A short temper comes from having been a monkey. “
།ཡང་མཛེ་ཅན་ནི་དཀོན་མཆོག་གི་རྟེན་བཤིག་པ་ལས་འོངས་སོ། ||| Furthermore, leprosy comes from destroying representations of the Three Jewels.
།ཡན་ལག་མ་ཚང་བ་ནི་སེམས་ཅན་གྱི་རྐང་ལག་བཅད་པ་ལས་འོངས་སོ། ||| Having impaired limbs comes from severing the arms and legs of beings.
།གདུག་པ་ནི་སྦྲུལ་དང་སྡིག་པ་ལས་འོངས་སོ། ||| Maliciousness comes from having been a snake or scorpion.
།དབང་པོ་དྲུག་ཚང་བ་ནི་ཚུལ་ཁྲིམས་བསྲུངས་པ་ལས་འོངས་སོ། ||| Having the six sense faculties complete comes from upholding discipline.
།དབང་པོ་དྲུག་མ་ཚང་བ་ནི་ཚུལ་ཁྲིམས་བཤིག་པ་ལས་འོངས་སོ། ||| Having the six sense faculties incomplete comes from letting one’s discipline fall apart.
།གཙང་སྦྲ་ཆུང་བ་ནི་འཕགས་པ་ལ་མ་མཆོད་པ་ལས་འོངས་སོ། ||| Bad hygiene comes from not making offering to the noble ones.
།གླུ་གར་དང་རོལ་མོ་ལ་དགའ་བ་ནི་རོལ་མོ་མཁན་ལས་འོངས་སོ། ||| Being fond of song, dance, and music comes from having been a musical performer.
།འདོད་ཆགས་ཆེ་བ་ནི་བྱ་ལས་འོངས་སོ། ||| Excessive desire comes from having been a bird.
།ལྦ་བ་ཅན་སྣོག་པ་ལས་འོངས་སོ། ||| Goiters come from mixing things up.
།ཁ་དམན་པ་ནི་ཚིག་རྩུབ་མོ་སྨྲ་བ་ལས་འོངས་སོ། ||| Having a deformed mouth comes from using abusive language.
།མཚན་དང་མི་ལྡན་པ་ནི་ཁྱི་དང་། ཕག་དང་། རྟའི་འབྲས་བུ་བཏོན་པ་ལས་འོངས་སོ། ||| Lacking genitalia comes from castrating dogs, pigs, or horses.
།ལྕེ་ཐུང་བ་ནི་བཙུན་པ་དང་བླ་མ་ལ་ཁ་བྱས་པ་དང་ལྐོག་ཏུ་འཕྱས་པ་ལས་འོངས་སོ། ||| A short tongue comes from mouthing off to honorable ones and masters and disparaging them behind their backs. “
།གཞན་གྱི་ཆུང་མ་ལ་གཡེམ་པ་བྱས་པ་ནི་ངང་མོ་དང་ངུར་པར་སྐྱེའོ། ||| Those who commit adultery with the wives of others will be reborn as geese and ducks.
།གཉེན་དགུ་ལ་གཡོ་བྱས་པ་ནི་བྱེའུ་མཆིལ་པར་སྐྱེའོ། ||| Those who deceive relatives will be reborn as sparrows.
།མདོ་སྡེ་དང་གཙུག་ལག་གི་ཡི་གེ་སྤྱོད་ཅིང་སེར་སྣས་གཞན་ལ་མི་སྟོན་པ་ནི་ཚེའི་དུས་བྱས་ནས་ཐང་གི་སྲིན་བུར་སྐྱེའོ། ||| Those who use sūtras and holy books but greedily hide them from others will be reborn as earthworms after they pass away.
།མདའ་གཞུ་ཐོགས་པ་དང་རྟ་ཞོན་པ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་འཕར་བ་དང་སྤྱང་ཀིར་སྐྱེའོ། ||| Those who enjoy brandishing bows and arrows and riding horses will be reborn as jackals and wolves in their next life.
།སྐྲ་ཐུང་བ་དང་མགོ་རྒྱན་བཏགས་པ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་སྲིན་བུ་མཆུ་རིངས་སུ་སྐྱེའོ། ||| Those who enjoy short hair and wear head ornaments will be reborn as mosquitoes in their next life.
།ཉལ་ཞིང་ཟ་བ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་ཕག་ཏུ་སྐྱེའོ། ||| Those who enjoy sleeping and eating will be reborn as pigs in their next life.
།དར་ཚོན་གྱི་གོས་ལ་དགའ་བ་ནི་བྱེའུ་ཁྲེའུར་སྐྱེའོ། ||| Those who enjoy colorful silk clothing will be reborn as multicolored birds.
།མི་སྙན་པ་ཟློས་ཤིང་ཀུ་རེ་ལ་དགའ་བ་ནི་བྱ་ནེ་ཙོ་རུ་སྐྱེའོ། ||| Those who enjoy speaking about distressing things and joking will be reborn as parrots.
།ཕྲ་མ་བྱེད་པ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་ལྟོ་འཕྱེ་མགོ་དྲུག་པར་སྐྱེའོ། ||| Those who enjoy divisive speech will be reborn as six-headed cobras in their next life.
།མ་འོས་པར་ཀུ་རེ་བྱེད་པ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་སྲིན་བུ་རྨོངས་པར་སྐྱེའོ། ||| Those who enjoy telling inappropriate jokes will be reborn as ignorant bugs in their next life.
།གཏམ་ངན་སྐྱེལ་བ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་སྲིན་བྱར་སྐྱེའོ། ||| Those who enjoy spreading negative news will be reborn as owls in their next life.
།མི་ལ་གནོད་པ་དང་ངན་དུ་དགའ་ཞིང་གཏམ་ལ་སྲེད་པ་ནི་ཚེ་ཕྱི་མ་ལ་ཝར་སྐྱེའོ། ||| Those who enjoy harm and negativity and crave gossip will be reborn as foxes in their next life.
།མི་དངངས་པ་ལ་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་སྲིན་བུ་དོ་ལོག་ཏུ་སྐྱེའོ། ||| Those who enjoy frightening people will be reborn as centipedes in their next life. “
།ཚེ་སྔ་མ་ལ་ཤིང་ལྷམ་གྱོན་ཞིང་ལྷ་ཁང་དུ་འགྲོ་བ་ནི་ཚེ་ཕྱི་མ་ལ་རྟར་སྐྱེའོ། ||| Those who entered temples with wooden shoes in past lives will be reborn as horses in a future life.
།ཚེ་སྔ་མ་ལ་འཕྱེན་བག་མེད་པར་བཏང་བས་ནི་ཚེ་འདི་ལ་སྦུར་བར་སྐྱེའོ། ||| Those who carelessly farted in past lives will be reborn as stink bugs in this life.
།ཚེ་སྔ་མ་ལ་དགེ་འདུན་གྱི་རང་འཐག་དང་གཏུན་ལ་སྤྱད་པ་ནི་ཚེ་འདི་ལ་སྲིན་བུ་མགོ་རྡེབས་སུ་སྐྱེའོ། ||| Those who used the Saṅgha’s mortars and pestles in past lives will be reborn as flat-headed worms in this life.
།སེམས་ཅན་གྱི་ཟས་ལ་གེགས་བྱས་པས་ནི་བྱ་ཤིང་རྟ་མོར་སྐྱེའོ། ||| Those who prevented beings from eating food will be reborn as woodpeckers.
།ཚེ་སྔ་མ་ལ་དགེ་འདུན་གྱི་ཆུ་བརྐུས་པས་ནི་ཉ་དང་རུས་སྦལ་ལ་སོགས་པ་ཆུའི་ནང་ན་གནས་པའི་སེམས་ཅན་དུ་སྐྱེའོ། ||| Those who stole the Saṅgha’s water in past lives will be reborn as aquatic beings—fishes, turtles, and the like.
།ཚེ་སྔ་མ་ལ་དགེ་འདུན་སྨེ་བར་བྱས་པས་ནི་གཙང་སྦྲའི་སྲིན་བུར་སྐྱེའོ། ||| Those who bemoaned the Saṅgha in past lives will be reborn as latrine maggots.
།དགེ་འདུན་གྱི་ཤིང་ཏོག་བརྐུས་པས་ནི་མཆིས་པ་ཟ་བའི་སྲིན་བུར་སྐྱེའོ། ||| Those who have stolen the Saṅgha’s fruits will be reborn as liver-eating larvae.
།དགེ་འདུན་གྱི་ནོར་བརྐུས་པས་ནི་རང་འཐག་སྐོར་བའི་བོང་བུ་དང་གླང་དུ་སྐྱེའོ། ||| Those who have stolen the Saṅgha’s wealth will be reborn as donkeys or oxes turning millstones.
།དགེ་འདུན་གྱི་ནོར་ནན་གྱིས་བསྐྱི་བརྙ་བྱས་པས་ནི་བྱ་ཕུག་རོན་དུ་སྐྱེའོ། ||| Those who have urged the Saṅgha to loan out their wealth will be reborn as pigeons.
།དགེ་འདུན་ལ་སྤྱོ་བ་བྱས་པས་ནི་གླང་གི་གཉའ་བའི་སྲིན་བུར་སྐྱེའོ། ||| Those who have insulted the Saṅgha will be reborn as bugs living on the necks of oxen.
།དགེ་འདུན་གྱི་ལྡུམ་སྐྱུར་ཟོས་པས་ནི་ལྡུམ་བུར་རྩ་བ་གང་གི་སྲིན་བུར་སྐྱེའོ། ||| Those who have consumed the Saṅgha’s vegetables will be reborn as bugs living on the roots of vegetables.
།དགེ་འདུན་གྱི་ཁྲི་སྟན་ལ་འདུག་པས་ནི་སྲིན་བུ་མགོ་དམར་དུ་སྐྱེའོ། ||| Those who sit on the seats of the Saṅgha will be reborn as redheaded worms.
།དགེ་འདུན་གྱི་ནོར་སྣ་ཚོགས་ལ་སྤྱད་པས་ནི་སྲིན་བུ་འཕྱེ་བོར་སྐྱེའོ། ||| Those who have availed themselves of the assorted things belonging to the Saṅgha will be reborn as crawling bugs. “
།མགོ་ལ་རུས་པའི་ཐུར་མ་བཏུར་ནས་ལྷ་ཁང་དུ་འགྲོ་ན་བྱ་མཆུ་རིངས་སུ་སྐྱེའོ། ||| Those who enter a temple wearing bone hairpins will be reborn as long-beaked birds.
།དཀར་རྩི་དང་དམར་རྩིས་བྱུགས་ཏེ་ལྷ་ཁང་དུ་འགྲོ་ན་བྱ་སྐྱུང་ཀར་སྐྱེའོ། ||| Those who enter a temple after having covered themselves with white and red powders will be reborn as jackdaws.
།དར་ཚོན་གྱི་གོས་གྱོན་ཏེ་ལྷ་ཁང་དུ་འགྲོ་ན་བྱེའུ་སེ་རུར་སྐྱེའོ། ||| Those who enter a temple wearing colorful silken clothes will be reborn as yellow birds.
།ཁྱོ་ཤུག་ཞག་ལོན་ཏེ་ལྷ་ཁང་དུ་ཉལ་ན་སྲིན་བུ་མགོ་སྔོན་དུ་སྐྱེའོ། ||| If a married couple sleeps overnight in a temple, they will be reborn as blue-headed worms.
།དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ལ་མཇུག་སྟེགས་འཆའ་ཞིང་འདུག་པ་ནི་རྔ་མོར་སྐྱེའོ། ||| Those who use the stūpas of the thus-gone ones as resting places will be reborn as camels.
།ལྷམ་དང་འབོབ་གྱོན་ཞིང་གཞལ་མེད་ཁང་དུ་འགྲོ་ན་སྦལ་པར་སྐྱེའོ། ||| Those who enter a temple wearing shoes and socks will be reborn as frogs.
