༄༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་སུམ་ཅུ་པ་སྟེ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ལུང་བསྟན་པ། བམ་པོ་ཕྱེད་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་མ་ཏི་དཱ་རི་ཀ་པྲྀ་ཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Noble Mahāyāna Sūtra The Inquiry of the Girl Sumati Homage to all buddhas and bodhisattvas!
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་མཛེས་པར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to become beautiful.
གནོད་པའི་རྩ་བ་ཁྲོ་བ་འཕེལ་མི་བྱེད། །བྱམས་ལ་གནས་པར་བྱེད་དང་ཆོས་འདོད་དང་། །དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་བྱས་ན་ནི། །མཛེས་པར་འགྱུར་ཏེ་བལྟ་བར་འོས་པ་ཡིན། ། ||| “About this, it can also be said: “If one does not allow anger, the root of harm, to grow, Dwells in loving kindness, desires the Dharma, And has figures made of the tathāgatas, One becomes beautiful, worthy to behold.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ནོར་ཆེ་བར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which causes a bodhisattva to become very wealthy.
བཞི་གང་ཞེ་ན། ||| What are these four?
འདི་ལྟ་སྟེ། དུས་སུ་སྦྱིན་པ་དང་། འགྱོད་པ་མེད་པར་སྦྱིན་པ་དང་། ཡིད་དུ་འོང་བ་སྦྱིན་པ་དང་། རྣམ་པར་སྨིན་པ་མི་རེ་བར་སྦྱིན་པ་སྟེ། ||| They are (1) giving at the right time, (2) giving without regret, (3) giving with joy, and (4) giving without expecting a result.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ནོར་ཆེ་བར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to become very wealthy.
དུས་སུ་བྱིན་དང་འགྱོད་པ་མེད་པ་དང་། ཡིད་འོང་སྦྱིན་དང་རྣམ་སྨིན་མི་རེ་བ། །དཔའ་བོ་རྣམས་ནི་ལས་འདི་བྱས་པས་ན། །རྟག་ཏུ་ལོངས་སྤྱོད་ཆེན་པོ་ཐོབ་པ་ཡིན། ། ||| “About this, it can also be said: “Giving at the right time, without regret, Giving joyfully and without expecting a result— When heroic ones perform such actions, They will always obtain great wealth.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་འཁོར་མི་ཕྱེད་པར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which causes a bodhisattva to have a united assembly.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
ཕྲ་མའི་ཚིག་སྤངས་པ་དང་། སེམས་ཅན་ལོག་པར་ལྟ་བ་རྣམས་ཡང་དག་པའི་ལྟ་བ་ཡང་དག་པར་འཛིན་དུ་འཇུག་ཅིང་འཇོག་པར་བྱེད་པ་དང་། དམ་པའི་ཆོས་འཇིག་པའི་ཚེ་དམ་པའི་ཆོས་སྲུང་བ་དང་། སེམས་ཅན་རྣམས་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ཡང་དག་པར་འཛིན་དུ་འཇུག་ཅིང་འཇོག་པར་བྱེད་པ་སྟེ། ||| They are (1) one abstains from divisive speech; (2) one causes beings with mistaken views to grasp the correct view properly and maintain it; (3) one preserves the true Dharma at the time of the destruction of the true Dharma; and (4) one causes beings to grasp properly and maintain the awakening of the buddhas.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་འཁོར་མི་ཕྱེད་པར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to have a united assembly.
ཕྲ་མ་དེ་བཞིན་ལོག་པར་ལྟ་བ་སྤོང་། །དམ་ཆོས་འཇིག་པའི་ཚེ་ན་སྲུང་བ་བྱེད། །སེམས་ཅན་བྱང་ཆུབ་ཡང་དག་འཛིན་འཇུག་ན། །འཁོར་རྣམས་མི་ཕྱེད་ཕུན་སུམ་ཚོགས་པར་འགྱུར། ། ||| “About this, it can also be said: “If one abstains from divisive speech and wrong views, One preserves the Dharma at the time of its destruction, And one causes beings to grasp awakening properly, One’s assembly will be united, and it will thrive.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཐད་དུ་རིན་པོ་ཆེ་ཆེན་པོའི་པདྨ་ལས་རྫུས་ཏེ་སྐྱེ་བར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which causes a bodhisattva to be reborn spontaneously from a lotus of precious substances in the presence of the buddhas, the bhagavāns.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཕྱེ་མ་འམ། མེ་ཏོག་ཨུད་པ་ལ་འམ། པདྨ་འམ། ཀུ་མུ་དའམ། ||| What are these four?
པདྨ་དཀར་པོས་ལག་པ་བཀང་སྟེ། དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་སམ། དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ལ་འབུལ་བ་དང་། གཞན་དག་ལ་ཡང་གནོད་སེམས་མི་སྐྱེད་པ་དང་། དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་པདྨའི་གདན་ལ་བཞུགས་པ་བྱེད་དུ་འཇུག་པ་དང་། ||| They are (1) offering handfuls of powders, blue lotus flowers, red lotuses, white water lilies, and white lotuses to a figure of the Tathāgata or a stūpa of the Tathāgata; (2) not giving rise to harmful thoughts toward others; (3) causing figures to be made of the Tathāgata seated on a lotus; and (4) having strong faith in the certainty of the awakening of the Buddha.
སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ལ་ངེས་པ་རྒྱ་ཆེར་མོས་པ་སྟེ། བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཐད་དུ་རིན་པོ་ཆེ་ཆེན་པོའི་པདྨ་ལས་རྫུས་ཏེ་སྐྱེ་བར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to be reborn spontaneously from a lotus of precious substances in the presence of the buddhas, the bhagavāns.
ཕྱེ་མ་མེ་ཏོག་བཀང་སྟེ་འབུལ་བ་དང་། །གནོད་སེམས་སྤོང་ཞིང་སྐུ་གཟུགས་བྱེད་པ་དང་། །མོས་པ་རྒྱ་ཆེན་ལ་ནི་གནས་བྱེད་ན། །རྒྱལ་བ་དག་གི་ཐད་དུ་རྫུས་ཏེ་སྐྱེ། ། ||| “About this, it can also be said: “One who offers handfuls of powders and flowers, Abstains from thoughts of harm, makes figures, And is established in strong faith Is reborn spontaneously in the presence of the victors.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་རྫུ་འཕྲུལ་གྱིས་སངས་རྒྱས་ཀྱི་ཞིང་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དུ་འགྲོ་བར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which enables a bodhisattva to go by means of superhuman powers from one buddha realm to another buddha realm.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
གཞན་དག་གི་དགེ་བའི་རྩ་བའི་བར་ཆད་མི་བྱེད་པ་དང་། གཞན་དག་ཆོས་ཉན་པ་ལ་བར་ཆད་མི་བྱེད་པ་དང་། དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་དག་ལ་མར་མེ་འབུལ་བ་དང་། ཏིང་ངེ་འཛིན་སྒོམ་པ་སྟེ། ||| They are (1) not interfering with others’ roots of virtue, (2) not interfering as others hear the Dharma, (3) offering butter lamps to the stūpas of the Tathāgata, and (4) cultivating meditative concentration.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་རྫུ་འཕྲུལ་གྱིས་སངས་རྒྱས་ཀྱི་ཞིང་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དུ་འགྲོ་བར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which enables a bodhisattva to go by means of superhuman powers from one buddha realm to another buddha realm.
དགེ་བ་དག་གི་བར་ཆད་མི་བྱེད་དང་། །གཞན་གྱི་ཆོས་གཏམ་དག་ལ་མི་སྨོད་དང་། །རྒྱལ་བའི་མཆོད་རྟེན་དག་ལ་མར་མེ་འབུལ། །ཏིང་འཛིན་བསྒོམས་པས་དེ་ནི་ཞིང་དུ་འགྲོ། ། ||| “About this, it can also be said: “Those who do not interfere with virtue, Do not criticize the Dharma teachings of others, Do offer butter lamps to stūpas of the Tathāgata, And cultivate meditative concentration will go to buddha realms.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་དགྲ་ཟླ་མེད་པར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which makes a bodhisattva free from enemies.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
གཡོ་མེད་པར་དགེ་བའི་བཤེས་གཉེན་དག་ལ་སྟེན་པ་དང་། དགེ་བའི་རྩ་བ་ལ་སེར་སྣ་མི་བྱེད་པ་དང་། གཞན་གྱི་རྙེད་པ་ལ་དགའ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བྱ་བ་དང་གནས་པ་ཐམས་ཅད་ལ་ཁོང་ཁྲོ་བར་མི་བྱེད་ཅིང་མི་སྙན་པ་མི་སྒྲོགས་པ་སྟེ། ||| They are (1) one relies upon spiritual friends without any deceit, (2) one does not covet roots of virtue, (3) one feels joy in others’ gains, and (4) one does not give rise to anger or spread criticism about any of the states or deeds of bodhisattvas.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་དགྲ་ཟླ་མེད་པར་འགྱུར་རོ། ། ||| Girl, these are the four dharmas the possession of which makes a bodhisattva free from enemies.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། དགེ་བའི་བཤེས་གཉེན་རྣམས་ལ་དེ་གཡོ་མེད། །གཞན་གྱི་རྙེད་ལ་དགའ་ཞིང་སེར་སྣ་མེད། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་ལ་མི་སྨོད་ན། །རྟག་ཏུ་དགྲ་ཟླ་མེད་པར་སྤྱོད་པར་འགྱུར། ། ||| “About this, it can also be said: “Having no deceit toward spiritual friends, Feeling joy and not envy toward others’ gains, And not criticizing the conduct of bodhisattvas, One will always be without enemies.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ཚིག་བཙུན་པར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which gives weight to a bodhisattva’s words.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་བྱེད་པ་དང་མཛའ་བོ་དག་ལ་ཡོད་པའི་རང་བཞིན་མི་འཆབ་པ་དང་། ཀླན་ཀ་མི་ཚོལ་བར་ཆོས་ཉན་པ་དང་། གཞན་ཆོས་སྨྲ་བ་དག་ལ་དཔྱ་སྐུར་མི་བྱེད་པ་སྟེ། ||| They are (1) doing what one says one will do, (2) not hiding one’s nature from friends, (3) listening to teachings without looking for faults, and (4) not slandering other teachers of the Dharma.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ཚིག་བཙུན་པར་འགྱུར་རོ། ། ||| Girl, these are the four dharmas the possession of which gives weight to a bodhisattva’s words.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་བྱེད་པ་དང་། །མཛའ་ལ་ཡོད་པའི་རང་བཞིན་མི་འཆབ་ཅིང་། །ཀླན་ཀ་མི་ཚོལ་ཆོས་ནི་ཉན་བྱེད་ན། །འཇིགས་པ་མེད་ཅིང་ཚིག་ཀྱང་བཙུན་པར་འགྱུར། ། ||| “About this, it can also be said: “If one does what one says one will do, Does not hide one’s nature from friends, And listens to teachings without looking for faults, One will have no fear and also one’s words will have weight.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ལས་ཀྱི་སྒྲིབ་པ་མེད་པར་འགྱུར་ཞིང་། །ཡོངས་སུ་དག་པ་ཡང་མྱུར་དུ་རྟོགས་པར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which causes a bodhisattva to face no hindrance from karma and also quickly realize purity.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
ལྷག་པའི་བསམ་པ་བསྒྲུབས་པས་སྡོམ་པ་གསུམ་ཡང་དག་པར་ལེན་པ་དང་། མདོ་སྡེ་ཟབ་མོ་རྣམས་མི་སྤོང་བ་དང་། སེམས་དང་པོ་བསྐྱེད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ལ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་འདུ་ཤེས་སྐྱེད་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་བྱམས་པ་སྒོམ་པ་སྟེ། ||| They are (1) one fully takes up the three vows with the establishment of one’s ambition, (2) one does not disdain the profound sūtras, (3) one considers a bodhisattva who has conceived the aspiration for awakening for the first time to be none other than the Omniscient One, and (4) one cultivates love for all beings.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ལས་ཀྱི་སྒྲིབ་པ་མེད་པར་འགྱུར་ཞིང་ཡོངས་སུ་དག་པ་ཡང་མྱུར་དུ་རྟོགས་པར་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to face no hindrance from karma and also quickly realize purity.
ལྷག་པའི་བསམ་པས་སྡོམ་པ་གསུམ་ལ་གནས། །མདོ་སྡེ་ཟབ་མོ་རྣམས་ལ་རྟག་ཏུ་མོས། །སངས་རྒྱས་སྲས་ལ་ཐམས་ཅད་མཁྱེན་ལྟར་ལྟ། །སེམས་ཅན་རྣམས་ལ་བྱམས་པས་ལས་དག་འགྱུར། ། ||| “About this, it can also be said: “Abiding by the three vows with ambition, Always being interested in the profound sūtras, Seeing the Buddha’s progeny as the Omniscient One, And having love for beings, one’s karma becomes pure.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་བདུད་ཀྱི་ལས་མེད་པར་འགྱུར་ཏེ། ||| “Girl, there are four dharmas the possession of which causes a bodhisattva to encounter none of Māra’s work.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
ཆོས་ཐམས་ཅད་མཉམ་པ་ཉིད་དུ་སྒོམ་པ་དང་། བརྩོན་འགྲུས་བརྩམས་པ་དང་། སངས་རྒྱས་རྗེས་སུ་དྲན་པ་སྒོམ་པ་དང་། དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྔོ་བ་སྟེ། ||| They are (1) meditating on the sameness of all things, (2) undertaking heroic effort, (3) meditating on the recollection of the Buddha, and (4) dedicating the roots of virtue.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་བདུད་ཀྱི་ལས་མེད་པར་འགྱུར་རོ། ། ||| Girl, these are the four dharmas the possession of which causes a bodhisattva to encounter none of Māra’s work.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ཆོས་རྣམས་ལ་ནི་ཆོས་ཀྱི་ཚུལ་རྟོགས་ལ། །བརྩོན་འགྲུས་བརྩམས་ཤིང་སངས་རྒྱས་རྗེས་སུ་དྲན། །ཡོངས་སུ་སྔོ་ཞིང་བཤགས་དང་ཕྱག་འཚལ་བ། །དེ་ལ་བདུད་ཀྱིས་གླགས་ནི་རྙེད་མི་འགྱུར། ། ||| “About this, it can also be said: “One who realizes the principle of dharma toward all things, Undertakes heroic effort, recollects the Buddha, And makes dedication, confession, and veneration— Māra will not find any opportunity to harm such a person.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་འཆི་བའི་དུས་ཀྱི་ཚེ་མདུན་དུ་སངས་རྒྱས་བཞུགས་ཤིང་དེ་ལས་ཆོས་ཀྱང་ཉན་ལ་སྡུག་བསྔལ་ཡང་མྱོང་བར་མི་འགྱུར་ཏེ། ||| “Girl, there are four dharmas a bodhisattva’s possession of which causes the Buddha to appear in the presence of that bodhisattva at the time of death and, at that time, to hear the Dharma from him, and also not to experience any suffering.
བཞི་གང་ཞེ་ན། ||| What are these four?
