སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| The bodhisattva great being Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་དང་མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ་དང་། སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཀྱང་འཐོབ་ཅིང་། ||| “Blessed One, how is it that bodhisattva great beings render irreversible their progress to unsurpassed and completely perfect awakening, come to possess the five types of clairvoyance, and attain the illusory absorption?
ཏིང་ངེ་འཛིན་དེ་ཐོབ་མ་ཐག་ཏུ་ཇི་ལྟ་ཇི་ལྟར་སེམས་ཅན་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དེ་ལྟ་དེ་ལྟར་ལུས་མངོན་པར་སྤྲུལ་ནས་སེམས་ཅན་རྣམས་ཀྱི་མོས་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ཆོས་སྟོན་པ་དང་། ||| How is it that, as soon as they attain that absorption, they emanate whatever bodies in whatever way will perfect sentient beings’ roots of virtue, and teach the Dharma according to sentient beings’ inclinations?
ཅི་ནས་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་ལགས། ། ||| How do they quickly awaken to unsurpassed and completely perfect buddhahood?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| The Blessed One said to the bodhisattva great being Padmaśrīgarbha,
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ལེགས་སོ་ལེགས་སོ། ། ||| “Padmaśrīgarbha, excellent!
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་ནི་འདི་ལྟར་སྔོན་གྱི་རྒྱལ་བ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ། ། ||| Padmaśrīgarbha, previously you have served the victorious ones,
དགེ་བའི་རྩ་བ་བསགས་པ། ||| gathered the roots of virtue,
སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་མང་པོ་ལ་བསྙེན་བཀུར་བྱས་པ་སྟེ། ||| venerated a myriad buddhas.
ཁྱོད་འདི་ལྟར་སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་བརྩེ་བ་དང་། ||| You feel love and compassion for all beings, and
ཁྱོད་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་དོན་འདི་འདྲི་བར་སེམས་པ་ནི་ལེགས་སོ། ། ||| that is why you ask the Thus-Gone, worthy, completely perfect Buddha about this. That is excellent!
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ||| Padmaśrīgarbha, therefore, listen well and pay attention.
ངས་ཁྱོད་ལ་བཤད་དོ། ། ||| Then I shall explain it to you.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་གསོལ་ནས། ། ||| The bodhisattva great being Padmaśrīgarbha said to the Blessed One, “Wonderful!”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ། ||| and he listened as the Blessed One had directed him.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said,
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཆོས་གཅིག་དང་ལྡན་ན། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་དང་། ||| “Padmaśrīgarbha, there is one quality that, if bodhisattva great beings possess it, renders irreversible their progress to unsurpassed and completely perfect awakening, and
མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ་དང་། ||| grants them the five types of clairvoyance and
སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཀྱང་འཐོབ་ཅིང་ཏིང་ངེ་འཛིན་དེ་ཐོབ་མ་ཐག་ཏུ་ཇི་ལྟ་ཇི་ལྟར་སེམས་ཅན་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དེ་ལྟ་དེ་ལྟར་ལུས་མངོན་པར་སྤྲུལ་ནས། ||| the illusory absorption. Moreover, as soon as they attain that absorption, they emanate whatever bodies in whatever way will perfect sentient beings’ roots of virtue,
སེམས་ཅན་རྣམས་ཀྱི་མོས་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ཆོས་སྟོན་པ་དང་། ||| teach the Dharma according to sentient beings’ inclinations, and
ཅི་ནས་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| quickly awaken to unsurpassed and completely perfect buddhahood.
ཆོས་གཅིག་པོ་གང་ཞེ་ན། ||| “What is that single quality?
པད་མའི་དཔལ་གྱི་སྙིང་པོ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཁམས་གསུམ་པ་ཐམས་ཅད་ལ་མི་གནས་པ་ཡིན་ཏེ། ། ||| Padmaśrīgarbha, those bodhisattvas must not abide anywhere in the three realms,
ནང་ངམ་ཕྱི་རོལ་ལ་གནས་པར་མི་བྱེད་དོ། ། ||| neither abiding internally nor externally.
དེ་གནས་པ་མེད་པས་ཡང་དག་པ་མཐོང་བར་འགྱུར་རོ། ||| As they do not abide, they will see reality.
ཡང་དག་པ་མཐོང་བས་ཡང་དག་པ་ལ་སྦྱོར་བར་འགྱུར་རོ། ||| As they see reality, they will unite with reality.
ཡང་དག་པ་ལ་སྦྱོར་བས་ཅི་ལ་ཡང་བློ་ཐོགས་པར་མི་འགྱུར་རོ། ། ||| As they unite with reality, nothing will impede their mind.
དེ་བློ་ཐོགས་པ་མེད་པས་ཡང་དག་པའི་བྱ་བ་ལ་སྤྱོད་དོ། ། ||| As nothing impedes their mind, they will engage in authentic conduct.
ཡང་དག་པའི་བྱ་བ་ལ་སྤྱོད་པ་དེ་གང་ཞེ་ན། ། ||| “What does it mean to engage in authentic conduct?
ཆོས་ཐམས་ཅད་ནི་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་སྟེ། ||| All phenomena arise in dependence.
ཆོས་གང་ཡང་ཐེར་ཟུག་ཏུ་གནས་པ་མ་ཡིན་ནོ། ། ||| There is no phenomenon that can remain constantly.
ཆོས་ཐམས་ཅད་ནི་རྐྱེན་ལས་འབྱུང་བ་སྟེ། ||| All phenomena arise from circumstances.
རྐྱེན་མེད་པར་འབྱུང་བའི་ཆོས་ནི་གང་ཡང་མེད་དོ། ། ||| There is no phenomenon that arises without circumstances.
ཆོས་གང་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དེ་ནི་མ་སྐྱེས་པའོ། ། ||| Any phenomenon that arises in dependence is unborn.
དེ་ལྟར་ན་ཆོས་ཐམས་ཅད་ནི་སྐྱེ་བ་མེད་པ་སྟེ། ||| Therefore all phenomena are unborn.
ཆོས་ཐམས་ཅད་མ་སྐྱེས་པར་རྟོགས་པར་གྱུར་པ་དེ་ནི་བྱང་ཆུབ་སེམས་དཔའི་ལམ་ལ་འཇུག་པ་རྟོགས་པ་འཐོབ་བོ། ། ||| To realize that all phenomena are unborn is to know how to practice the bodhisattva’s path.
འདི་ལྟར་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དངོས་པོ་དང་། ||| In this way, one attains the basis for benefiting all beings
སྙིང་རྗེའི་སེམས་ཀྱི་རྗེས་སུ་འཇུག་པ་རབ་ཏུ་འཐོབ་བོ། ||| and can proceed with a compassionate outlook.
དེ་དེ་ལྟར་མོས་པས་ཆོས་ཐམས་ཅད་སྒྱུ་མ་ལྟ་བུར་རབ་ཏུ་ཤེས་སོ། ། ||| With such conviction, one comes to understand that all phenomena are illusory.
ཆོས་ཐམས་ཅད་ནི་ཡོངས་སུ་བརྟགས་པས་སྤྲུལ་པ་སྟེ། ཡོངས་སུ་བརྟགས་པ་དེ་ཡང་ཤིན་ཏུ་སྟོང་པའོ། ། ||| All phenomena are magically manifest because they are imputed. Those imputations are also utterly empty.
ཆོས་ཐམས་ཅད་སྟོང་པར་རྟོགས་པ་དེ་ནི་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འཐོབ་སྟེ། ||| The realization that all phenomena are empty is the attainment of the illusory absorption.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་མ་ཐག་ཏུ་ཇི་ལྟ་ཇི་ལྟར་སེམས་ཅན་རྣམས་དགེ་བའི་རྩ་བ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དེ་ལྟ་དེ་ལྟར་ལུས་མངོན་པར་སྤྲུལ་ནས་སེམས་ཅན་རྣམས་ཀྱི་མོས་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ཆོས་སྟོན་པ་དང་། ||| “As soon as one attains this absorption, one emanates whatever bodies in whatever way will perfect sentient beings’ roots of virtue, and one teaches the Dharma according to sentient beings’ inclinations.
ཅི་ནས་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ||| In this way, one quickly awakens to unsurpassed and completely perfect buddhahood.”
བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་གང་ལ་ལ་དག་འཁོར་འདིར་འདུས་པ་ལྟ་མཆིས་སམ། ||| “Blessed One, is there any bodhisattva great being here in this gathering who has attained this illusory absorption?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་འཁོར་འདི་ན་བསམས་བཞིན་དུ་གོ་ཆ་བགོས་པ་གང་དག་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་སྐྱེས་བུ་དམ་པ་དྲུག་ཅུ་ཡོད་དེ། ||| “Padmaśrīgarbha,” replied the Blessed One, “there are sixty holy beings here in this gathering who intentionally wear the armor and who have attained the illusory absorption.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་སོགས་པ་སྐྱེས་བུ་དམ་པ་དྲུག་ཅུ་པོ་དག་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་ཡིན་ནོ། ||| There are sixty holy beings, including the bodhisattva great beings Maitreya and Mañjuśrī Kumārabhūta, who have attained this illusory absorption.”
བཅོམ་ལྡན་འདས་སྐྱེས་བུ་དམ་པ་འདི་དག་གིས་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཉིད་དུ་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་ལགས་སམ། ། ||| “Blessed One, did these holy beings attain this illusory absorption here in this world?
འོན་ཏེ་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དག་ན་ཡང་གང་དག་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པའི་སྐྱེས་བུ་དམ་པ་དག་ཀྱང་མཆིས། ། ||| Or did these holy beings attain this illusory absorption in some other realm?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ནུབ་ཀྱི་ཕྱོགས་ཆ་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་བརྒྱ་སྟོང་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་ཞེས་བྱ་བ་ཡོད་དེ། ||| The Blessed One answered, “Padmaśrīgarbha, to the west of this buddha realm, passing through one trillion buddha realms, there is a realm known as Sukhāvatī.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཅེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| Right now the Thus-Gone, worthy, completely perfect Buddha Amitābha resides there, flourishes there, lives there, and teaches the Dharma.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཅེས་བྱ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་ཅེས་བྱ་བ་དང་གཉིས་ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་ཡིན་ཏེ། ||| In his buddha realm live the bodhisattva great being Avalokiteśvara and the bodhisattva great being Mahā­sthāmaprāpta, both of whom have attained this absorption.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ལས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་གཞན་དག་ནུབ་བདུན་དུ་འདྲི་བའི་ལན་ཉན་པ་དེ་དག་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཐོབ་བོ། ||| Padmaśrīgarbha, it is from conversations lasting seven days with those two holy beings that other bodhisattva great beings attain this illusory absorption.”
བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| The bodhisattva great being Padmaśrīgarbha said to the Blessed One,
བཅོམ་ལྡན་འདས་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནི་མང་དུ་མཆིས་སོ། ། ||| “Blessed One, there must be many bodhisattva great beings who attained the illusory absorption in that buddha realm.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། བཅོམ་ལྡན་འདས་འདི་ལྟར་སངས་རྒྱས་ཀྱི་ཞིང་དེར་སྐྱེས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ནི་སྒྲིམ་མི་འཚལ་བར་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ལས་ཆོས་འདྲི་བའི་ལན་ཉན་པའི་སླད་དུའོ། ། ||| Blessed One, the reason is that the bodhisattva great beings who are born in that buddha realm can engage in Dharma conversations with those two holy beings without any effort.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཇི་སྐད་ཟེར་བ་དེ་དེ་བཞིན་ཏེ། ||| “Padmaśrīgarbha, it is exactly as you say,” said the Blessed One.
དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ལ་གནས་པ་དག་ནི་ཚད་མེད་གྲངས་མེད་དོ། ། ||| “The bodhisattva great beings who abide there within the illusory absorption are indeed limitless and countless.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Padmaśrīgarbha implored the Blessed One,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་ཇི་ལྟ་བུའི་སེམས་ཀྱི་མཚན་མ་བསྟན་པས། སྐྱེས་བུ་དམ་པ་དེ་གཉིས་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་མཆི་བར་འགྱུར་བ་དང་། ། ||| “Blessed One, thus-gone, worthy, completely perfect Buddha, please use your miraculous powers to show a mental sign by which the two holy beings will come to this Sahā world,
བདེ་བ་ཅན་གྱི་འཇིག་རྟེན་གྱི་ཁམས་དེ་དང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་དེ་ཡང་འཇིག་རྟེན་གྱི་ཁམས་འདི་ན་གདའ་བར་འགྱུར་བ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་ ||| and the whole Sukhāvatī world together with the Thus-Gone, worthy, completely perfect Buddha Amitābha will also arrive here in this world.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ། ||| The reason is,
བཅོམ་ལྡན་འདས་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་སངས་རྒྱས་ཀྱི་ཞིང་འདིར་མཆིས་ན། ||| Blessed One, that if those two holy beings come to this buddha realm,
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་རྣམས་ཀྱང་དགེ་བའི་རྩ་བ་ཡོངས་སུ་རྫོགས་པར་འགྱུར། ||| the sons and daughters of noble family who follow the vehicle of the bodhisattvas will perfect their roots of virtue.
སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ལས་ཆོས་འདྲི་བའི་ལན་ཐོས་པས། སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཀྱང་ཐོབ་པར་འགྱུར། ||| They will hear the Dharma talks of those two holy beings, and they, too, will thereby attain the illusory absorption.
སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་དང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་དེ་ཡང་མཐོང་སྟེ། ||| Here in this buddha realm they will be able to behold Sukhāvatī as well as the Thus-Gone, worthy, completely perfect Buddha Amitābha. Witnessing that,
མཐོང་ནས་ཀྱང་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས། ||| the sons and daughters of noble family will arouse the mind of unsurpassed and completely perfect awakening.
སངས་རྒྱས་ཀྱི་ཞིང་དེར་སྐྱེ་བར་སྨོན་ལམ་འདེབས་པ་དང་། ||| They will make aspirations to be born in that buddha realm and, as soon as they are born there,
དེར་སྐྱེས་མ་ཐག་ཏུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བའི་སླད་དུའོ། ||| they will render irreversible their progress to unsurpassed and completely perfect awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་གསོལ་བ་བཏབ་པར་མཁྱེན་ནས། ||| The Blessed One, understanding the bodhisattva great being Padmaśrīgarbha’s request,
མཛོད་སྤུ་ནས་འོད་རབ་ཏུ་བཀྱེ་སྟེ། ||| emitted a bright light from the hair between his eyebrows.
འོད་དེས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་གསེར་གྱི་ཁ་དོག་གི་སྣང་བ་ཆེན་པོས་ཁྱབ་པར་གྱུར་ཏོ། ||| The light pervaded this entire trichiliocosm with a bright golden radiance.
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ན། ||| Throughout the entire trichiliocosm,
