འཕགས་པ་ཡངས་པའི་གྲོང་ཁྱེར་དུ་འཇུག་པའི་མདོ་ཆེན་པོ། ||| The Noble Mahāsūtra Entering the City of Vaiśālī
ཡམས་ཀྱི་ནད་རྣམ་པར་ཞི་བར་གྱུར་ཅིག ། ||| The epidemic should cease.
ནི་ར་ག་ཙྪ་ཏ། ནི་ར་ག་ཙྪ་ཏ། ནིར་ག་ཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ནི་ར་ག་ཙྪ་ཏ། ||| “ ‘ Nirgacchata nirgacchata nirgacchata nirgacchata
སངས་རྒྱས་ལྷ་ཆེན་པོ་ལྷའི་ཡང་ལྷ། ལྷའི་བླ་མ་ཡང་གཤེགས་ཤིང་། ||| “ ‘The Buddha, the Great God, the God of Gods, the Supreme God, has arrived.
དབང་པོ་དང་བཅས་པའི་ལྷ་རྣམས་དང་། ཚངས་པ་དང་བཅས་པའི་ལྷ་རྣམས་དང་། སྐྱེ་དགུའི་དབང་པོ་དང་བཅས་པ་རྣམས་དང་། འཇིག་རྟེན་སྐྱོང་བ་བཞི་པོ་དག་ཀྱང་འོང་། ||| The gods including Indra, the gods including Brahmā, the gods including Īśāna, the gods including Prajāpati, and the Four Protectors of the World have come.
ལྷ་འབུམ་ཕྲག་དུ་མ་དག་དང་། ལྷ་མ་ཡིན་གྱི་དབང་པོ་རྣམས་དང་། ལྷ་མ་ཡིན་འབུམ་ཕྲག་དུ་མ་དག་ཀྱང་འོང་། ||| Hundreds of thousands of gods, lords of the demigods, and hundreds of thousands of demigods have also come.
བཅོམ་ལྡན་འདས་ལ་མངོན་པར་དད་པའི་འབྱུང་པོ་འབུམ་ཕྲག་དུ་མ་དག་ཀྱང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དོན་གྱི་ཕྱིར་འོང་སྟེ། ། ||| Hundreds of thousands of bhūtas who have faith in the Blessed One have also come for the sake of all living beings, and
དེ་དག་གིས་ཁྱེད་རྣམས་ལ་གནོད་པ་ཆེན་པོ་བྱེད་པར་འགྱུར་དུ་འོང་གིས། ||| they have come to bring great harm to you; so:
ནི་ར་གད་ཙྪ་ཏ། ནིར་གད་ཙྪ་ཏ། ནི་ར་གད་ཙྪ་ཏ། ནི་ར་ར་གད་ཙྪ་ཏ། ནི་ར་གད་ཙྪ་ཏ། ||| “ ‘ Nirgacchata nirgacchata nirgacchata nirgacchata
མྱུར་དུ་བྱེར་ཅིག་ཁྱེད་ཅག་ལས་གང་དག་སྡང་བའི་སེམས་དང་ལྡན་པ་དེ་དག་ནི་ཕུང་བར་གྱུར་ཅིག ། ||| “ ‘Disperse quickly. Those of you who have hateful thoughts, may you be destroyed.
གང་དག་བྱམས་པའི་སེམས་དང་ལྡན་ཞིང་ཉེས་པར་མི་འདོད་ལ་སྲུང་བར་འཇུག་པར་འདོད་པ་དེ་དག་ནི་འཁོད་ཅིག ། ||| Those who have loving thoughts, who do not wish to sin but wish to protect beings, stay
ལུས་ལ་ཡང་འཇུག་པར་གྱིས་ཤིག ། ||| and take on physical form.
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་པ། སུ་མུ། སུ་མུ། སུ་མུ། སུ་མུ། སུ་མུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། སུ་མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མུ་རུ། མི་རི། མི་རི། མི་རི། མི་རི། མི་རི། མི་རི། མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རུ་མི་རི། མུ་རཱུ་རཱི་ཏི། རི་རི་རི་རི་རི་རི། རཱི་རཱི་རཱི་རཱི་རཱི་རཱི་ཏི། མི་རི་མི་རི་མི་རི་མི་རི་ཏི། ཧི་སི་མི་རི། མི་རི་ཏི། མི་རི་སི། སཱི་སཱི་སཱི། ཀང་ཀ་རཱ། ཀ་ར་ཀ་ཏ། ཀང་ཀ་རཱ། ཀ་ར་ཀ་ཙ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རཱ། ཀང་ཀ་རོ་ཏི་ཏི། ཀུ་རི་ཤོ། ཀང་ཀ་ར་ཀང་ཀ་རི་ཤི། རི་རི་རི་རི་རི་རི། ཧི་རི་ཏ་ཕུ་སྭ། རི་པུ། །རི་པུ། །རི་པུ། །རི་པུ། །རི་པུ། །རི་པུ། །རི་པུ། །རི་པུ། །ནཱ་ཐཱ། ནཱ་ནཱ། ཐཱ་ཐཱ། རི་པུ་རི་པུ། ནཱ་ཐཱ་ཐཱ། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། རི་པུ། །རི་པུ། ནི་ར་གཙྪ་ཏ། པ་ལཱ་ཡཱ་ཏ། རི་པཱུ་རི་པཱུ། པ་ལཱ་ཡཱ་ཏ། ||| The Buddha, who has compassion for the world, has spoken. “ ‘ Sumu sumu | sumu sumu sumu | sumuru sumuru | sumuru sumuru | sumuru sumuru | sumuru sumuru | muru muru | muru muru | muru muru | muru muru | miri miri | miri miri | miri miri miri | murumiri murumiri | murumiri murumiri | murumiri murumiri | murumiri murumiri | murumiri murumiri | murumiri murumiri | murumiri murūrīti | riri riri riri | rīrī rīrī rīrīti | miri miri miriti | hisi miri miriti | mirisi sīsīmī | kaṅkarā karakata | kaṅkarā karakacā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkarā kaṅkarā | kaṅkaro titi kuriśo | kaṅkara kaṅkariśi | ririri ririri | hiritaphu svā | ripu ripu | ripu ripu | ripu ripu | ripu ripu | nāthā nānā | thā thā | ripu ripu | nāthātha | nirgacchata nirgacchata | ripu ripu | nirgacchata palāyāta | ripū ripū pālāyata |
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན། སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པར་ལྷག་པར་དགོངས་པ་དང་ལྡན་པ། བྱམས་པ་ལ་གནས་པ། ཐུགས་རྗེ་དང་ལྡན་པ། དགའ་བ་ལ་གནས་པ། བཏང་སྙོམས་ལ་གནས་པ་གཤེགས་ཀྱིས། ||| “ ‘The Buddha, who has compassion for the world, whose wish is to benefit all living beings, who abides in love, who is compassionate, who abides in joy, and who abides in equanimity, has arrived.
ཀྵི་ཕྲན་ནི་ར་གཙྪ་ཏ་སྭཱ་ཧཱ། ||| “ ‘ Kṣipraṃ nirgacchata svāhā
སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ཀྱི་མཆོག་དང་། ཆོས་ཉིད་ཀྱིས་ལྷ་ཐམས་ཅད་དང་། འབྱུང་པོ་ཐམས་ཅད་ལ་བཀའ་སྩལ་པའི་གསང་སྔགས་གཞི་འདི་དག་ནི་འགྲུབ་བོ། ། ||| “These mantras, which were proclaimed to all the gods and all the bhūtas through the Buddha’s supreme wisdom and truth, will accomplish their purpose.
ཚིགས་སུ་བཅད་པ་འདི་དག་ནི་འགྲུབ་བོ། ། ||| The following verses will accomplish their purpose:
གང་ལ་སེར་སྣ་རྣམ་ཆགས་པ། །རྣམ་བཅོམ་དྲི་མ་མེད་མཛད་ཅིང་། །ཐུགས་ཞི་གནོད་པ་མི་མངའ་དེཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He in whom all attachment and greed Are conquered, all defilement gone, His mind at peace without harmful intent— He will bring you well-being.
འདྲེན་པ་གང་ཞིག་འགྲོ་བ་རྣམས། །ཐར་པའི་ལམ་དུ་འཛུད་མཛད་ཅིང་། ཆོས་རྣམས་ཐམས་ཅད་སྟོན་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He who leads all worldly beings To tread the path of liberation, The teacher of all dharmas— He will bring you well-being.
སྟོན་པ་རྒྱུ་བ་རྣམས་ཀྱི་རྟེན། །སེམས་ཅན་ཀུན་གྱི་དོན་གྱི་ཕྱིར། །གང་གིས་བདེ་བ་མངའ་མཛད་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘The teacher, support of wandering beings, Who, for the sake of every living creature, Brings them all to master happiness— He will bring you well-being.
སྐྱོབ་པ་གང་ཞིག་བྱམས་པ་ཡིས། །ཐུགས་ཀྱི་འགྲོ་བ་འདི་དག་ཀུན། །བུ་གཅིག་བཞིན་དུ་རྟག་བསྐྱངས་ཏེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘The protector who, with thoughts of love For all these beings, sustains them always Just as he would his only child— He will bring you well-being.
གང་ཞིག་འཁོར་བར་འཁོར་བ་ཡི། སེམས་ཅན་ཀུན་གྱི་རྟེན་གྱུར་ཅིང་། །གླིང་དང་དཔུང་གཉེན་གྱུར་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He who in saṃsāra has been For all saṃsāric beings a support, An island, and a friend— He will bring you well-being.
གང་ཞིག་ཆོས་ཀུན་མངོན་སུམ་གྱུར། །གཙང་ཞིང་སླུ་བ་མི་མངའ་ལ། །གསུང་གཙང་གཙང་མར་མཛད་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He who has laid bare all phenomena, Who is pure and free from deception, Whose words are pure, whose very acts are purity— He will bring you well-being.
དཔའ་བོ་ཆེན་པོ་གང་སྐྱེས་པས། །ཕུན་སུམ་ཚོགས་དོན་འབྱོར་གྱུར་ཅིང་། །དོན་གྲུབ་ཚོགས་ཀྱང་གྲུབ་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘This great hero who, by taking birth, With perfection attained his purpose And accomplished all his goals — He will bring you well-being.
གང་ཞིག་སྐྱེས་པས་ས་རྣམས་ནི། །ནགས་ཚལ་བཅས་པར་རབ་གཡོས་ཤིང་། །སེམས་ཅན་ཐམས་ཅད་རབ་དགའ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He whose birth, when this whole earth With all its forests shook and trembled, Brought joy for every living creature— He will bring you well-being.
བྱང་ཆུབ་སྙིང་པོར་གང་ཞིག་གིས། །ས་དག་རྣམ་དྲུག་གཡོས་གྱུར་ཅིང་། །བདུད་ཡིད་མི་བདེར་གྱུར་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He who caused, on the seat of awakening, The earth to quake in all six ways And Māra to feel despair— He will bring you well-being.
ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་ན། །འཕགས་པའི་བདེན་པ་རྣམ་གསུངས་པ། །ཐུབ་པའི་སྙན་པ་གང་བྱུང་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘He who, turning the wheel of the Dharma, Pronounced the Truths of the Noble Ones And was extolled as a sage, the Muni— He will bring you well-being.
ཡིད་འཕྲོག་གང་གིས་མུ་སྟེགས་བྱེད། །ཐམས་ཅད་ཆོས་ཀྱིས་ཕམ་མཛད་ཅིང་། །ཚོགས་ཀུན་དབང་དུ་མཛད་པ་དེ། །ཁྱེད་ལ་བདེ་ལེགས་མཛད་པར་འགྱུར། ། ||| “ ‘The alluring one who defeated All the extremists with the Dharma And brought all assemblies under his influence— He will bring you well-being.
སངས་རྒྱས་ཁྱེད་ལ་བདེ་ལེགས་མཛད། ། ||| “ ‘May the Buddha bring you well-being;
བརྒྱ་བྱིན་ལྷར་བཅས་བདེ་ལེགས་དང་། །འབྱུང་པོ་ཀུན་གྱིས་བདེ་ལེགས་ནི། །ཁྱེད་ལ་རྟག་ཏུ་སྦྱིན་གྱུར་ཅིག ། ||| May Śakra and the gods bestow well-being; And may well-being from the bhūtas, too, Be provided to you always.
སངས་རྒྱས་བསོད་ནམས་མཐུ་དག་དང་། །ལྷ་རྣམས་ཀྱི་ནི་བསམས་པ་ཡིས། །ཁྱེད་རྣམས་དོན་འདོད་གང་ཡིན་པ། །དོན་དེ་དེ་རིང་གྲུབ་གྱུར་ཅིག ། ||| “ ‘By the Buddha’s merit and power And the wishes of the gods, May whatever goal you seek This very day be accomplished.
རྐང་གཉིས་ཁྱེད་ཅག་བདེ་ལེགས་ཤོག ། ||| “ ‘Two-legged beings, be well.
རྐང་བཞི་ཁྱེད་ཅག་བདེ་ལེགས་ཤོག ། ||| Four-legged beings, be well.
ཁྱེད་ཅག་ལམ་འགྲོ་བདེ་ལེགས་ཤོག ། ||| When you set out, be well;
ཕྱིར་འོང་དག་ཀྱང་བདེ་ལེགས་ཤོག ། ||| And when you return, be well.
ཉིན་མོ་བདེ་ལེགས་མཚན་བདེ་ལེགས། །ཉི་མའི་གུང་ལའང་བདེ་ལེགས་ཤིང་། །ཁྱེད་ཅག་ཀུན་ཏུ་བདེ་ལེགས་ཤོག ། ||| “ ‘Be well in the daytime; be well in the night; Be well at midday, too. May all of you be always well;
ཁྱེད་ཅག་སྡིག་པར་མ་གྱུར་ཅིག ། ||| May all of you know no evil.
སངས་རྒྱས་ལྷ་རྣམས་སྟོང་དག་གིས། །ཡོངས་སུ་བསྐོར་ཏེ་ ||| “ ‘Surrounded by a thousand gods, The Buddha has arrived— So, you with hateful thoughts, disperse! And you whose nature is compassion, stay.
གཤེགས་མཛད་ཀྱིས། །སྡང་སེམས་ལྡན་པ་རྣམས་བྱེར་ཅིང་། །སྙིང་རྗེའི་བདག་ཉིད་ཅན་རྣམས་འཁོད། །སངས་རྒྱས་རང་སངས་རྒྱས་རྣམས་དང་། །དགྲ་བཅོམ་སློབ་པའི་བདེན་ཚིག་གིས། །འཇིག་རྟེན་མི་ཕན་བྱེད་པ་རྣམས། །གྲོང་ཁྱེར་འདི་ནི་གཏོང་གྱུར་ཅིག ། ||| “ ‘By the power of the true words of the buddhas, Pratyekabuddhas, arhats, and those being trained, Those who do harm to the world Should be gone from this city.
སེམས་ཅན་ཀུན་དང་སྲོག་ཆགས་ཀུན། །འབྱུང་པོ་ཀུན་དང་ཁྱེད་ཅག་ཀུན། །བདེ་བ་འབའ་ཞིག་ལྡན་གྱུར་ཅིག ། ||| “ ‘All sentient beings, all living creatures, All bhūtas, and every one of you— May you have nothing but happiness.
ཐམས་ཅད་ནད་རྣམས་མེད་པར་ཤོག ། ||| May you all be free from illness.
ཀུན་གྱིས་བཟང་རྣམས་མཐོང་གྱུར་ཅིག ། ||| May you all see what is good.
གང་ཡང་སྡིག་པར་མ་གྱུར་ཅིག ། ||| May all of you know no evil.
འབྱུང་པོ་གང་དག་འདིར་ནི་ལྷགས་གྱུར་ཅིང་། །ས་དང་བར་སྣང་དག་ལ་གནས་པ་རྣམས། །སྐྱེ་དགུ་རྣམས་ལ་རྟག་ཏུ་བྱམས་བྱེད་ཤོག །ཉིན་དང་མཚན་དུ་ཆོས་ཀྱང་སྤྱོད་གྱུར་ཅིག ། ||| “ ‘May whatever bhūtas are assembled here, All those who live upon the earth or in the sky, Act always lovingly for human beings And practice Dharma day and night.’ ”
དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་བཙུན་པ་དེ་བཞིན་བགྱིའོ་ཞེས་གསོལ་ཏེ། ||| To these instructions, the venerable Ānanda replied, “I will do so, O Honored One.”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་མཉན་ནས་ཡངས་པའི་གྲོང་ཁྱེར་དུ་སོང་སྟེ་སྒོའི་ཐེམ་པ་ལ་རྐང་པ་བཞག་ནས། ||| He went to Vaiśālī as the Blessed One had instructed and, placing his foot on the threshold of the city gate,
གསང་སྔགས་གཞི་དག་དང་། ཚིགས་སུ་བཅད་པ་འདི་དག་ཀྱང་སྨྲས་སོ། ། ||| uttered these mantras and these verses:
བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། ||| “ Visarata visarata visarata visarata
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་ཏོ། ། ||| “The Buddha, who has compassion for the world, has spoken.
སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་དགོངས་པ། རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་བསམས་པ། དགྲ་བཅོམ་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། སློབ་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ཉན་ཐོས་ཐམས་ཅད་ཀྱིས་བསམས་པ། བདེན་པའི་ཚིག་དང་ལྡན་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ཆོས་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| This is the wish of all buddhas. It is the wish of all pratyekabuddhas. It is the wish of all arhats. It is the wish of all those undergoing training. It is the wish of all śrāvakas. It is the wish of all who speak words of truth. It is the wish of all the Dharmas.
ཚངས་པས་བསམས་པ། ཚངས་པ་སོ་སོས་བསམས་པ། འདོད་པའི་དབང་ཕྱུག་གིས་བསམས་པ། དབང་པོས་བསམས་པ། ལྷས་བསམས་པ། ལྷ་མ་ཡིན་གྱི་དབང་པོས་བསམས་པ། ལྷ་མ་ཡིན་ཐམས་ཅད་ཀྱིས་བསམས་པ། ལྷ་མ་ཡིན་གྱི་མངག་གཞུག་པས་བསམས་པ། འབྱུང་པོ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of Kāmeśvara. It is the wish of Brahmā. It is the wish of Pratyeka­brahman. It is the wish of Indra. It is the wish of the gods. It is the wish of the lord of the demigods. It is the wish of all demigods. It is the wish of the servants of the demigods. It is the wish of all bhūtas.
བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། ||| “ Visarata visarata visarata visarata
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་ཏོ། ། ||| “The Buddha, who has compassion for the world, has spoken.
མུན་ཙྪ་ཏ། མུན་ཙྪ་ཏ། ||| “ Muñcata muñcata
ཡམས་ཀྱི་ནད་རྣམས་ཞི་བར་གྱུར་ཅིག ། ||| The epidemic should cease.
ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ||| “ Nirgacchata nirgacchata nirgacchata nirgacchata
སངས་རྒྱས་ལྷ་ཆེན་པོ་ལྷའི་ཡང་ལྷ། ལྷའི་བླ་མ་གཤེགས་ཤིང་། ||| “The Buddha, the Great God, the God of Gods, the Supreme God, has arrived.
དབང་པོ་དང་བཅས་པའི་ལྷ་རྣམས་དང་། ཚངས་པ་དང་བཅས་པའི་ལྷ་རྣམས་དང་། དབང་བདག་དང་བཅས་པ་རྣམས་དང་། སྐྱེ་དགུའི་བདག་པོ་དང་བཅས་པ་རྣམས་དང་། འཇིག་རྟེན་སྐྱོང་བ་བཞི་པོ་དག་ཀྱང་འོང་། ||| The gods including Indra, the gods including Brahmā, the gods including Īśāna, the gods including Prajāpati, and the Four Protectors of the World have come.
ལྷ་སྟོང་ཕྲག་དུ་མ་དག་དང་། ལྷ་མ་ཡིན་གྱི་དབང་པོ་རྣམས་དང་། ལྷ་མ་ཡིན་སྟོང་ཕྲག་དུ་མ་དག་ཀྱང་འོང་། ||| Hundreds of thousands of gods, lords of the demigods, and hundreds of thousands of demigods have also come.
བཅོམ་ལྡན་འདས་ལ་མངོན་པར་དད་པའི་འབྱུང་པོ་བརྒྱ་སྟོང་མང་པོ་དག་ཀྱང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དོན་གྱི་ཕྱིར་འོང་སྟེ། ||| Hundreds of thousands of bhūtas who have faith in the Blessed One have also come for the sake of all living beings, and
དེ་དག་ཁྱེད་ལ་གནོད་པ་ཆེན་པོ་བྱེད་པར་འགྱུར་གྱིས། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ནི་ར་གཙྪ་ཏ། ||| they have come to bring great harm to you; so: “ Nirgacchata nirgacchata nirgacchata nirgacchata
མྱུར་དུ་བྱེར་ཅིག ། ||| “Disperse quickly.
ཁྱེད་ཅག་ལས་གང་དག་སྡང་བའི་སེམས་དང་ལྡན་པ་དེ་དག་ནི་ཕུང་བར་གྱུར་ཅིག ། ||| Those of you who have hateful thoughts, may you be destroyed.
གང་དག་བྱམས་པའི་སེམས་དང་ལྡན་ཞིང་ཉེས་པར་མི་འདོད་ལ་སྲུང་བར་འཇུག་པར་འདོད་པ་དེ་དག་ནི་འཁོད་ཅིག །ལུས་ལ་ཡང་འཇུག་པར་གྱིས་ཤིག ། ||| Those who have loving thoughts, who do not wish to sin but wish to protect beings, stay and take on physical form.
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་པ། ||| The Buddha, who has compassion for the world, has spoken.
