༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ད་ཤ་དི་ཀ་ཨན་དྷ་ཀཱ་ར་བི་དྷྭན་ས་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Dispelling the Darkness of the Ten Directions
དེའི་སླད་དུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་བདག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་ཅི་ནས་ཀྱང་བདག་ལ་མིའམ། མི་མ་ལགས་པ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་སུ་གཏོགས་པ་འགའ་ཡང་རྣམ་པར་འཚེ་བར་མི་བགྱིད་པ་དེ་ལྟར་བདག་ལ་ལེགས་པར་བསྲུང་བ་མཛད་དུ་གསོལ། ||| Therefore, may the blessed, thus-gone, worthy, completely perfect Buddha, out of compassion for me and by any means, protect me so that human and nonhuman beings and those in the animal realm do not harm me.
བསྲུང་བའི་ཆོ་ག་ཡང་བཤད་དུ་གསོལ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Please teach a rite of protection.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the Śākya youth Shining Countenance, “Young man, listen carefully then and keep this in mind.
གཞོན་ནུ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་ཁྱོད་ལ་བཤད་དོ། ། ||| I will instruct you.”
བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ་ཞེས་གསོལ་ནས། ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་བཅོམ་ལྡན་འདས་ལ་ཉན་པ་དང་། ||| “Blessed One, please do so,” requested the Śākya youth Shining Countenance, and he listened to the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །གཞོན་ནུ་ཤར་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་བརྒྱད་ཁྲི་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཉོན་མོངས་པ་ཐམས་ཅད་བསྐྱོད་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| The Blessed One said, “Young man, in the eastern direction, eighty thousand buddha fields beyond this buddha field, there is a world system known as Shaking All Defilements.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྗེས་སྤྱོད་ཅེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There the thus-gone, worthy, completely perfect buddha known as Follower presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ཤར་ཕྱོགས་སུ་འགྲོ་ན། དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ། ||| Young man, when you set out in the eastern direction to attend to some affairs, pay homage to that thus-gone one, remembering and honoring him.
སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་སོང་ན་ཁྱོད་ལ་འཇིགས་པ་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart, you will have no fear.
དེའི་ཚེ་མ་གཡེངས་པར་དེ་ཡིད་ལ་བྱས་ན་ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་རོ། ། ||| If you hold this in your mind without distraction during that time, you will accomplish the purpose for which you embarked.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke the following verse:
རྫོགས་པའི་སངས་རྒྱས་ཐུབ་པ་ཆེ། །རྗེ་ལ་རབ་ཏུ་ཕྱག་འཚལ་ཏེ། ། ||| “Thoroughly honoring the lord, The completely perfect Buddha, the great sage,
རྟག་ཏུ་དེ་ནི་མངོན་བྱེད་ཅིང་། ། ||| If you maintain this clearly and then depart,
འགྲོ་ན་ཁྱོད་ལ་འཇིགས་མི་འབྱུང་། ། ||| You will have no fear.
གཞོན་ནུ་ལྷོ་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དགུ་ཁྲི་འདས་པ་ན། འཇིག་རྟེན་གྱི་ཁམས་མུན་པ་དང་མུན་ནག་གི་ཚོགས་བཅོམ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the southern direction, ninety thousand buddha fields beyond this buddha field, there is a world system known as Dispelling the Mass of Dense Darkness.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སེམས་དང་པོ་བསྐྱེད་པ་ཡིད་ལ་མཛད་པ་རྣམ་གྲངས་བསྙེངས་པ་དང་བག་ཚ་བ་དང་བྲལ་བས་མངོན་པར་འཕགས་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as King Who Is Superior Due to Freedom from Fear and Timidity in Any Activity Since First Generating the Mind of Awakening presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ལྷོ་ཕྱོགས་སུ་འགྲོ་ན། དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ། ||| Young man, when you set out in the southern direction to attend to some affairs, at that time, pay homage to that thus-gone one, remembering and honoring him.
སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་། ཁྱིམ་ལ་སོགས་པའི་ཡིད་ལ་བྱེད་པ་དང་བྲལ་བ་རྣམ་པར་མ་གཡེངས་པ་ཡིད་ལ་བྱེད་པས་སོང་ན། ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་ཞིང་། ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart while remaining undistracted, free of thoughts of home and so forth, you will accomplish the purpose for which you embarked, and you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke the following verse:
ཁྱིམ་གྱི་བསམ་པ་རྣམས་དང་ནི། །ཀུན་ནས་ལྡང་བ་ཀུན་བྲལ་ཞིང་། ། ||| “Freed from obsession With thoughts of home,
ལྷོ་ཕྱོགས་སུ་ནི་འགྲོ་བ་ན། ། ||| When you travel south
ཁྱོད་ལ་འཇིགས་པ་འབྱུང་མི་འགྱུར། ། ||| You will experience no fear.
གཞོན་ནུ་ནུབ་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡུལ་ཕེབས་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the western direction, as many buddha fields beyond this buddha field as there are grains of sand in the Ganges River, there is a world system known as Reaching One’s Goal.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཁོན་དང་རྒྱགས་པ་རྣམ་པར་གནོན་པ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Subjugator of Resentment and Conceit presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ནུབ་ཕྱོགས་སུ་འགྲོ་ན་དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ། དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ནས་སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་ཟག་པ་མེད་པ་དང་། ||| Young man, when you set out in the western direction to attend to some affairs, at that time, pay homage to that thus-gone one, remembering and honoring him.
རྣམ་པར་མ་གཡེངས་པ་དང་དྲན་པས་སོང་ན་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart without defilements, undistracted, and with mindfulness, you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
ཆོས་འགའ་སྐྱེས་པ་ཡོད་མིན་ཞིང་། ། ||| “There are no phenomena that arise,
འགའ་ཡང་འགག་པར་མི་འགྱུར་ཏེ། ། ||| Nor are there any that cease.
གང་གིས་ཆོས་རྣམས་དེ་ལྟར་ཤེས། ། ||| Those who understand phenomena thus
དེ་ལ་འཇིགས་པ་ཅི་ཡང་མེད། ། ||| Have no fear whatsoever.
གཞོན་ནུ་བྱང་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཕྲག་སྟོང་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སངས་རྒྱས་ཀྱི་སྤོབས་པ་ཅན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the northern direction, ten billion buddha fields beyond this buddha field, there is a world system known as Possessing a Buddha’s Eloquence.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་ཆེན་གཟུགས་བཀོད་འོད་གནོན་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Overpowering with the Light of an Array of the Reflections of Jewels presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་བྱང་ཕྱོགས་སུ་འགྲོ་ན། དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ། ||| Young man, when you set out in the northern direction to attend to some affairs, at that time, pay homage to that thus-gone one, remembering and honoring him.
སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་རྣམ་པར་མ་གཡེངས་པར་ཡིད་ལ་བྱེད་པས་སོང་ན། ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་ཞིང་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart while remaining undistracted, you will accomplish the purpose for which you embarked, and you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
རྟག་ཏུ་སེམས་ཅན་ཐམས་ཅད་ལ། །མཉམ་པ་ཉིད་ཀྱི་སེམས་བྱོས་ལ། ། ||| “Always make the mind equal Toward all sentient beings.
སེམས་ཅན་དེ་ལ་མ་བརྙས་དང་། ། ||| If you do not disrespect any sentient being,
ཁྱོད་ལ་འཇིགས་པར་འབྱུང་མི་འགྱུར། ། ||| You will experience no fear.
གཞོན་ནུ་བྱང་ཤར་གྱི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་བརྒྱད་ཁྲི་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་བདུད་ཀྱི་སྡེ་བཅོམ་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the northeastern direction, eighty thousand buddha fields beyond this buddha field, there is a world system known as Conquered the Legions of Māra.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བདུད་དང་ཡིད་གཉིས་ཀུན་འཇོམས་རྣམ་གནོན་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Māras and Doubt Conquered and Subdued presently resides, alive and well.
དེ་བཞིན་གཤེགས་པ་དེ་བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་དུ་བཞུགས་པ་ཙམ་གྱིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན། བདུད་ཀྱི་རིས་ཀྱི་ལྷ་ཇི་སྙེད་ཡོད་པ་དེ་དག་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་མཛད་དེ། ||| That thus-gone one, by merely sitting under the Bodhi tree, made it so all the gods of the māra class that exist in that trichiliocosm would not regress from unsurpassed, completely perfect awakening.
གཞོན་ནུ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དེ་བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་དུ་བཞུགས་པའི་སྐྱེས་བུའི་རྩལ་དེ་ལྟ་བུ་བྱུང་བ་ཡིན་ནོ། ། ||| Young man, such was the heroic effort of that thus-gone one in sitting beneath the Bodhi tree.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་བྱང་ཤར་གྱི་ཕྱོགས་སུ་འགྲོ་ན་དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ། ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ། ||| Young man, when you set out in the northeastern direction to attend to some affairs, at that time, pay homage to that thus-gone one, remembering and honoring him.
སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་རྣམ་པར་མ་གཡེངས་པས་སོང་ན་ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་ཞིང་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart without distraction, you will accomplish the purpose for which you embarked, and you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
གང་གིས་དང་པོའི་ཐུགས་ཀྱིས་ནི། ། ||| “If you travel while keeping in mind
བདུད་རྣམས་ཕམ་མཛད་སངས་རྒྱས་དེ། ། ||| The Buddha who defeated the māras
དྲན་བཞིན་དུ་ནི་ཁྱོད་སོང་ན། ། ||| With his very first thought,
ཁྱོད་ལ་འཇིགས་པ་འབྱུང་མི་འགྱུར། ། ||| You will have no fear.
གཞོན་ནུ་ཤར་ལྷོའི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་ཉི་ཁྲི་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་རྟག་ཏུ་སྣང་བ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the southeastern direction, twenty thousand buddha fields beyond this buddha field, there is a world system known as Ever Radiant.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སེམས་དང་པོ་བསྐྱེད་པས་ཕྱིར་མི་ལྡོག་པའི་འཁོར་ལོ་འབྱུང་བའི་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Glory of the Arising of the Irreversible Wheel Since First Generating the Mind of Awakening presently resides, alive and well.
གཞོན་ནུ་དེ་བཞིན་གཤེགས་པ་དེས་དང་པོ་ཐུགས་བསྐྱེད་པ་ནས་བཟུང་སྟེ། སངས་རྒྱས་པ་ཉིད་ཀྱི་བར་དུ་བར་ཆད་མེད་པར་སྦྱིན་པ་བྱིན། ཚུལ་ཁྲིམས་བསྲུངས། བཟོད་པ་ཀུན་ཏུ་བསྟེན། བརྩོན་འགྲུས་བརྩམས། ||| Young man, that thus-gone one, from the moment of generating the first thought of awakening until attaining buddhahood, continually performed acts of generosity, guarded his moral discipline, assiduously practiced patience, exerted himself in diligence, established concentration, and practiced wisdom.
བསམ་གཏན་བསྒྲུབས། ཤེས་རབ་སྤྱད་དེ། གཞོན་ནུ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དེའི་སྐྱེས་བུའི་རྩལ་དེ་ལྟ་བུ་བྱུང་བ་ཡིན་ནོ། ། ||| Young man, such was the heroic effort of that thus-gone one.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ཤར་ལྷོའི་ཕྱོགས་སུ་འགྲོ་ན། དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཡན་ལག་ལྔས་ཕྱག་འཚལ་ཏེ། ཕྱིས་ཁྱིམ་ནས་སོང་ཤིག་དང་། ||| Young man, when you set out in the southeastern direction to attend to some affairs, prostrate with your five limbs and then depart from your home.
ཁྱོད་ལ་ཕྱིས་འགྱོད་པའམ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| Later you will not experience any regret and will not fear anything.
རྣམ་པར་མ་གཡེངས་པས་ཡིད་ལ་བྱེད་ན། ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་རོ། ། ||| If you remain undistracted, you will accomplish the purpose for which you embarked.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
ཡན་ལག་ལྔས་ནི་ཕྱག་འཚལ་ཏེ། ། ||| “Prostrate with the five limbs,
ཕྱི་ནས་ཁྱིམ་ནས་སོང་ཤིག་དང་། ། ||| Then depart from home.
ཆོམ་རྐུན་རྣམས་ཀྱིས་ཁྱོད་ཀུན་ཏུ། ། ||| You will travel
ཟིལ་གྱིས་མི་ནོན་འགྲོ་བར་འགྱུར། ། ||| Without being overpowered by bandits.
གཞོན་ནུ་ལྷོ་ནུབ་ཀྱི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་སུམ་ཁྲི་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་གསེར་གྱི་དྲ་བས་གཡོགས་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the southwestern direction, thirty thousand buddha fields beyond this buddha field, there is a world system known as Covered by a Golden Net.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་ཆེན་གདུགས་འཕགས་སྣང་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Superior Illumination of a Jeweled Canopy presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ལྷོ་ནུབ་ཀྱི་ཕྱོགས་སུ་འགྲོ་ན་དེའི་ཚེ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ། ||| Young man, when you set out in the southwestern direction to attend to some affairs, at that time, pay homage to that thus-gone one, remembering and honoring him.
