འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དད་པ་གསལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་དྲི་མ་མེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་མི་སྒུལ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པས་རབ་ཏུ་འཇུག་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་རབ་གནས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་མ་ཉམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་མི་གཡོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་རབ་ཚོལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་མཉམ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྟག་ཏུ་དད་པའི་རྗེས་འབྲང་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ལ་ཡང་དག་པར་ཞུགས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པར་འཇུག་བྱེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ལ་ཡིད་གཉིས་རྣམ་པར་འཇོམ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་སྟོན་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་རབ་ཏུ་འཇོག་བྱེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་རྣམ་པར་འཕེལ་བྱེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པ་རྣམ་པར་སྦྱོང་དང་། བྱང་ཆུབ་སེམས་དཔའ་དད་པའི་སྣོད་ཡོངས་སུ་ཚོལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དད་པ་ཐབས་ཆེན་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་སྟོང་དང་། ||| Five thousand bodhisattvas were in attendance, such as the bodhisattva great being Clear Trust, the bodhisattva Stainless Trust, the bodhisattva Unwavering Trust, the bodhisattva Acting with Trust, the bodhisattva Fully Settled in Trust, the bodhisattva Undiminished Trust, the bodhisattva Immutable Trust, the bodhisattva Investigating Trust, the bodhisattva Even Trust, the bodhisattva Great Trust, the bodhisattva Always Following Trust, the bodhisattva Genuinely Entering Trust, the bodhisattva Leading towards Trust, the bodhisattva Destroying Doubt regarding Trust, the bodhisattva Teaching Trust, the bodhisattva Establishing Trust, the bodhisattva Increasing Trust, the bodhisattva Training in Trust, the bodhisattva Searching for the Vessel of Trust, and the bodhisattva great being Great Skillful Trust.
འོད་སྲུང་ཆེན་པོ་ལ་སོགས་པ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| There were also 1,250 monks in attendance, such as Mahākāśyapa.
བཅོམ་ལྡན་འདས་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། མི་མ་ཡིན་པ་ཚད་མེད་པ་དག་གིས་ཀུན་ནས་བསྐོར་ཅིང་ ||| From all sides the Blessed One was surrounded by innumerable gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, mahoragas, humans, and nonhuman beings.
མདུན་གྱིས་བྱས་ཏེ་འཁོར་བརྒྱ་སྟོང་དུ་མའི་ནང་ན་བཞུགས་པར་གྱུར་ཏོ། ། ||| In this way the Blessed One was sitting amidst a retinue of hundreds of thousands of beings.
དེའི་ཚེ་འཁོར་དེར་བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པ་མོས་པ་སྤྱོད་པའི་ས་ལ་གནས་པ་མང་པོ་འདུས་ཏེ་འཁོད་པར་གྱུར་ཏོ། ། ||| At that point, many novice bodhisattvas who were dwelling on the level of devoted engagement assembled and took their places in the retinue.
དེ་ནས་བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པ་མོས་པས་སྤྱོད་པའི་ས་ལ་གནས་པ་དེ་དག་ལས་བརྩམས་ཏེ་གཏམ་རྩོམ་པ་མཛད་དོ། ། ||| Then, considering those novice bodhisattvas who were dwelling on the level of devoted engagement, the Blessed One began to speak:
རིགས་ཀྱི་བུ་དག་གལ་ཏེ་ཇི་ཙམ་དུ་བྱང་ཆུབ་སེམས་དཔའ་གང་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་ན་དོན་ཆེ་ཞིང་འབྲས་བུ་ཆེ་སྟེ་ཕན་ཡོན་ཆེའོ། ། ||| “Noble children, if bodhisattvas possess trust in the Great Vehicle that allows them to accomplish the Great Vehicle, it will be very meaningful, have a great result, and confer great benefits.
དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པ་མོས་པས་སྤྱོད་པ་ལ་ཞུགས་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པས་མང་དུ་གནས་པར་བྱའོ། ། ||| Therefore, novice bodhisattvas should develop firm trust in the Great Vehicle by proceeding with devoted engagement.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་སངས་རྒྱས་ཀྱི་མཐུ་དང་སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་སྟན་ལས་ལངས་ཏེ། ||| At this point, inspired by the power and blessing of the Buddha, the bodhisattva Great Skillful Trust rose up from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| draped his upper robe over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ||| With his palms together he bowed toward the Blessed One and supplicated,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་མཚན་ཉིད་དུ་རིག་པར་བགྱི་བ་གང་ལགས། ||| “Blessed One, what are the characteristics of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེ་བ་གང་ལགས། ||| How do bodhisattvas come to trust the Great Vehicle?
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་དབྱེ་བ་རྣམ་པ་དུ་ཞིག་མཆིས། ||| Blessed One, what kinds of trust in the Great Vehicle do bodhisattvas possess?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་ཕན་ཡོན་རྣམ་པ་དུ་ཞིག་མཆིས། ||| And what kinds of benefits result from such trust in the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་ཁྱོད་བྱང་ཆུབ་སེམས་དཔའ་ཚད་མེད་པ་དག་གི་དོན་གྱི་ཕྱིར་ཞུགས་ནས་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་ཡོངས་སུ་འདྲི་བར་སེམས་པ་ལེགས་སོ་ལེགས་སོ། ། ||| “Noble son, excellent! It is excellent that you have come here on behalf of limitless bodhisattvas to ask the Thus-Gone One about the meaning of this.
དེའི་ཕྱིར་རིགས་ཀྱི་བུ་ཉོན་ཅིག་དང་དོན་དེ་བསྟན་པར་བྱའོ། ། ||| Therefore, noble son, listen and I shall teach you.”
རིགས་ཀྱི་བུ་བཅུ་གཅིག་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་མཚན་ཉིད་དུ་རིག་པར་བྱའོ། ། ||| Noble son, the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle has eleven characteristics.
འདི་ལྟ་སྟེ། ||| These characteristics are:
གསལ་བའི་མཚན་ཉིད་དང་། བརླན་པའི་མཚན་ཉིད་དང་། རྣམ་པའི་མཚན་ཉིད་དང་། ཡོངས་སུ་བཟུང་བའི་མཚན་ཉིད་དང་། གནས་ཀྱི་མཚན་ཉིད་དང་། ཡང་དག་པར་འདའ་བའི་མཚན་ཉིད་དང་། རྩ་བའི་མཚན་ཉིད་དང་། སྦེད་པའི་མཚན་ཉིད་དང་། རྗེས་སུ་འབྲེལ་བའི་མཚན་ཉིད་དང་། རྒྱུན་གྱི་མཚན་ཉིད་དང་། ཡོངས་སུ་གྲུབ་པའི་མཚན་ཉིད་དོ། ། ||| (1) clarity, (2) saturation, (3) qualities, (4) possession, (5) the basis, (6) transcendence, (7) the root, (8) protection, (9) the connection, (10) continuity, and (11) perfection.”
དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་གསལ་བའི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is clarity a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་རྙོག་པ་རྣམ་པ་བཞི་དང་བྲལ་ན་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་གསལ་བའི་མཚན་ཉིད་དོ། ། ||| “In this regard, noble son, the characteristic of clarity refers to the absence of four kinds of stains.
རྙོག་པ་རྣམ་པ་བཞི་གང་ཞེ་ན། ||| If you wonder what the four types of stains are,
ཁོང་ཁྲོ་བའི་རྙོག་པ་དང་། ཡིད་མི་ཆེས་པའི་རྙོག་པ་དང་། སྡང་བའི་རྙོག་པ་དང་། ཐེ་ཚོམ་གྱི་རྙོག་པའོ། ། ||| they are the stains of hostility, insecurity, apprehension, and doubt.
རིགས་ཀྱི་བུ་འདི་ལྟར་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ཕྱིས་ཐེག་པ་ཆེན་པོ་ལ་ཁོང་ཁྲོ་བའི་སེམས་སྐྱེད་མི་སྲིད་དོ། ། ||| “Noble son, once bodhisattvas have attained trust in the Great Vehicle that allows them to accomplish the Great Vehicle, it will be impossible for them to become hostile toward the Great Vehicle,
ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་རྣམས་ལ་ཡིད་མི་ཆེས་པའི་སེམས་སྐྱེད་མི་སྲིད་དོ། ། ||| nor can they avoid feeling conviction in the profound and vast teachings.
ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་རྣམས་ལ་དངང་སྐྲག་ཀུན་ཏུ་དངང་བར་འགྱུར་མི་སྲིད་དོ། ། ||| It will also be impossible for them to feel fear or panic toward the profound and vast Dharma,
ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་རྣམས་ལ་མི་བཟོད་པ་དང་ཐེ་ཙོམ་ཟ་བར་འགྱུར་མི་སྲིད་དོ། ། ||| nor can they be skeptical or doubtful in this regard.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| Then the bodhisattva Great Skillful Trust inquired,
བཅོམ་ལྡན་འདས་ཅིའི་སླད་དུ་ལས་དང་པོ་པའི་བྱང་ཆུབ་སེམས་དཔའ་མོས་པས་སྤྱོད་པ་ལ་ཞུགས་པ། ཆོས་ཤེས་པ། རྟོག་པ་མ་མཆིས་པར་ཐེག་པ་ཆེན་པོའི་ཆོས་ཟབ་ཅིང་རྒྱ་ཆེ་བ་འདི་ལྟ་བུ་དག་ལ་ཐེ་ཚོམ་མ་མཆིས་ཤིང་ ||| “Blessed One, how does a novice bodhisattva, who is on the level of devoted engagement and knows the Dharma but has not yet gained understanding, relinquish doubt about the profound and vast Dharma of the Great Vehicle?
ཐེ་ཚོམ་གྱི་རྙོག་པ་དང་བྲལ་བ་ལགས། ||| How is such a bodhisattva freed from the stain of doubt?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཉིད་མ་རྟོགས་པའི་ཤེས་པ་ཉིད་ཀྱིས་ཐེག་པ་ཆེན་པོའི་ཆོས་ཟབ་ཅིང་རྒྱ་ཆེ་བ་དག་ལ་ཐེ་ཚོམ་མེད་པ་དང་། ཐེ་ཚོམ་གྱི་རྙོག་པ་དང་བྲལ་བ་མ་ཡིན་གྱི། ||| “Noble son, bodhisattvas are not freed from the stain of doubt, or doubt regarding the profound and vast Dharma of the Great Vehicle through that knowledge which does not understand reality.
བྱང་ཆུབ་སེམས་དཔའ་གཞན་གྱི་དྲིང་ལས་མོས་པའི་སྟོབས་ཀྱིས་ཀྱང་ཐེག་པ་ཆེན་པོའི་ཆོས་ཟབ་ཅིང་རྒྱ་ཆེ་བ་དག་ལ་ཐེ་ཚོམ་མེད་ཅིང་ཐེ་ཚོམ་གྱི་རྙོག་པ་དང་བྲལ་བ་ཡིན་ནོ། ། ||| However, due to their interest, which is kindled by other bodhisattvas, they are able to become free from the stain of doubt regarding the profound and vast Dharma of the Great Vehicle.
འདི་ལྟར་ལས་དང་པོ་པའི་བྱང་ཆུབ་སེམས་དཔའ་མོས་པས་སྤྱོད་པ་ལ་ཞུགས་པ་ནི་ཐེག་པ་ཆེན་པོའི་ཆོས་ཟབ་ཅིང་རྒྱ་ཆེ་བ་བསྟན་པ་དག་ལ་དེ་བཞིན་གཤེགས་པ་ཉིད་དབང་དུ་བྱས་ནས་ ||| In this way, novice bodhisattvas who are on the level of devoted engagement may consider the teachings of the profound and vast Dharma of the Great Vehicle to relate to the Thus-Gone One.
ཆོས་འདི་དག་ནི་དེ་བཞིན་གཤེགས་པས་གསུངས་པའོ་ཞེས་དེ་བཞིན་གཤེགས་པས་ཐུགས་སུ་ཆུད་པ་ལ་མོས་པ་བཞག་ནས་ ||| In this way, they will think, ‘The Thus-Gone One imparted these teachings!’ and so they will feel devotion for the Thus-Gone One’s realization.
ཆོས་རྣམས་ལ་མ་ལོག་པར་མོས་པ་འཇོག་གོ། ། ||| In this way, they develop irreversible interest in the entire Dharma.
གཞན་གྱི་དྲིང་ལས་མོས་པའི་སྟོབས་དེས་དེ་བཞིན་གཤེགས་པས་གསུངས་པ་ཟབ་ཅིང་རྒྱ་ཆེ་བའི་མདོ་སྡེའི་ཆོས་རྣམས་ལ་ཐེ་ཚོམ་མེད་ཅིང་ཐེ་ཙོམ་དང་བྲལ་བ་ཡིན་ཏེ། ||| Through the power of their interest that was kindled by other bodhisattvas, they will be without doubt, and thus freed from the stain of doubt regarding the profound and vast Dharma taught by the Thus-Gone One.
རིགས་ཀྱི་བུ་དེ་ལྟ་བུ་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་གསལ་བའི་མཚན་ཉིད་དུ་བལྟའོ། ། ||| This, noble son, is how you should view the characteristic of clarity concerning the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པས་བརླན་པའི་མཚན་ཉིད་དུ་རིག་པར་བགྱི་བ་གང་ལགས། ||| “Blessed One, how is saturation a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དང་ལྡན་པའི་ཡིད་བདེ་བས་ལུས་བརླན་པ་དང་། སེམས་བརླན་པ་གང་ཡིན་པ་དེ་ནི་དེའི་བརླན་པའི་མཚན་ཉིད་དུ་རིག་པར་བྱའོ། ། ||| “Noble son, the characteristic of saturation refers to the body and the mind becoming saturated with feelings of happiness. This happiness and well-being in turn come from the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.
དེ་ཡང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དང་ལྡན་པའི་བདེ་བ་དང་ཡིད་བདེ་བས་ལུས་དང་སེམས་སིམ་པར་བྱེད་པ་ཡིན་གྱི། ||| The happiness and well-being that are connected to the bodhisattvas’ trust satisfy body and mind.
འདོད་པ་ལ་ལོངས་སྤྱོད་པ་རྣམས་ཀྱི་འདོད་པའི་ཡོན་ཏན་ལས་བྱུང་བའི་བདེ་བ་དང་ཡིད་བདེ་བས་ནི་མ་ཡིན་ནོ། ། ||| In that way, they differ from the happiness and well-being that arise from the sense pleasures of those who revel in desire.
གཟུགས་དང་གཟུགས་མེད་པ་ན་སྤྱོད་པའི་སེམས་ཅན་རྣམས་ཀྱི་བདེ་བ་དང་ཡིད་བདེ་བ་གང་ཡིན་པ་དེས་ནི་འདི་འདྲ་བར་དེ་དག་གི་ལུས་དང་སེམས་སིམ་པར་བྱེད་པ་མ་ཡིན་ནོ། ། ||| The happiness and well-being experienced by beings who live in the form and formless realms similarly do not satisfy their bodies and minds.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
འདི་ལྟར་དེ་དག་གི་བདེ་བ་དང་ཡིད་བདེ་བ་ནི་མ་ཞི་བའོ། ། ||| Their happiness and well-being do not bring peace.
ཅིའི་ཕྱིར་མ་ཞི་བ་ཞེ་ན། ||| “Why do they not bring peace?
གང་འདོད་པའི་ཡོན་ཏན་ལས་བྱུང་བའི་བདེ་བ་དེ་དང་ཡིད་བདེ་བ་དེ་དང་། འདོད་པ་ལ་ལོངས་སྤྱོད་པ་རྣམས་ཀྱི་བདེ་བ་དང་ཡིད་བདེ་བ་དེ་ནི་དེ་ཙམ་དུ་འདོད་ཆགས་དང་། ཁོང་ཁྲོ་བ་དང་ལྡན་པ་མ་ཞི་བའི་མཚན་ཉིད་དོ། ། ||| The happiness and well-being that arise from sense pleasures and the happiness and well-being of those who revel in desire involve as much attachment and anger as pleasure. Therefore, they do not bring peace.
མཐོན་དམན་གྱི་རྒྱུའི་ཕྱིར་མ་ཞི་བའི་མཚན་ཉིད་དོ། ། ||| They do not bring peace because they fluctuate.
བདེན་པ་རྣམས་ལ་ཡིད་གཉིས་དང་ཐེ་ཚོམ་ཟ་བའི་རྗེས་སུ་སོང་བའི་ཕྱིར་རབ་ཏུ་མ་ཞི་བའི་མཚན་ཉིད་དོ། ། ||| They do not bring genuine peace because of their tendency to doubt and question the truths.
ངར་འཛིན་པ་དང་། ང་ཡིར་འཛིན་པ་དང་། དེའི་རྩ་བ་ལས་བྱུང་བའི་ལྟ་བར་གྱུར་པ་ཚད་མེད་པ་དང་འབྲེལ་བའི་ཕྱིར་རབ་ཏུ་མ་ཞི་བའི་མཚན་ཉིད་དོ། ། ||| They do not bring genuine peace because they involve the limitless views that emerge as soon as one apprehends I and mine.
ཉེ་བའི་ཉོན་མོངས་པའི་ཕྱིན་ཅི་ལོག་དང་། གཡེང་བ་དང་། རྒོད་པ་དང་། རྨུགས་པ་དང་། བག་མེད་པ་དང་། ངོ་ཚ་མེད་པའི་རྩ་བའི་ཕྱིར་རབ་ཏུ་མ་ཞི་བའོ། ། ||| They do not bring genuine peace because they are the root of mistaken subsidiary disturbing emotions, as well as distraction, excitement, dullness, carelessness, and shamelessness.
འགྲོ་བ་ལྔའི་ལས་སྣ་ཚོགས་མངོན་པར་འདུ་བྱེད་པའི་རྩ་བའི་ཕྱིར་རབ་ཏུ་མ་ཞི་བའོ། ། ||| They do not bring genuine peace because they are the root of the various karmic actions of the five types of beings.
སྡུག་བསྔལ་གྱི་བདེན་པས་བསྡུས་ཤིང་འགྲོ་བའི་ཕྱིར་རབ་ཏུ་མ་ཞི་བའོ། ། ||| They do not bring genuine peace because they are subsumed within the truth of suffering and because they are fleeting.
རིགས་ཀྱི་བུ་འདི་ལྟར་ཉོན་མོངས་པ་དང་། ལས་དང་། ཚེའི་ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ་དང་འབྲས་བུར་བཅས་པའི་རྒྱུན་ལ་འཇུག་པ་དང་ལྡན་པས་འདོད་པའི་ཡོན་ཏན་ལྔ་ལས་བྱུང་བའི་བདེ་བ་དང་། ཡིད་བདེ་བ་དེ་ནི་རབ་ཏུ་མ་ཞི་བ་སྟེ། ||| “Noble son, in this way, the physical and mental well-being that arise from the five sense pleasures do not bring genuine peace since they perpetuate the continuity of cause and effect related to the pollution of disturbing emotions, actions, and rebirth.
དེ་བས་ན་དེའི་ལུས་དང་སེམས་སིམ་པར་བྱེད་པ་མ་ཡིན་ནོ། ། ||| Therefore, they do not satisfy the body or the mind.
ཇི་ལྟར་འདོད་པ་ལ་ལོངས་སྤྱོད་པ་རྣམས་ཀྱི་འདོད་པའི་ཡོན་ཏན་ལས་བྱུང་བའི་བདེ་བ་དང་ཡིད་བདེ་བ་མ་ཡིན་པ་ ||| You should understand that it is not only the happiness and well-being that arise from the sense pleasures of those who revel in desire that do not bring genuine peace.
དེ་བཞིན་དུ་གཟུགས་དང་། གཟུགས་མེད་པ་ན་སྤྱོད་པ་རྣམས་ཀྱི་སྙོམས་པར་ཞུགས་པ་ལས་བྱུང་བ་ལ་ཡང་རྣམ་པ་དེ་དག་གིས་ཅི་རིགས་པར་རབ་ཏུ་མ་ཞི་བའི་མཚན་ཉིད་དུ་རིག་པར་བྱའོ། ། ||| Just so, in all these many ways, when those who live in the form and formless realms arise from the state of equilibrium, that does not bring genuine peace.
རབ་ཏུ་མ་ཞི་བས་ན་འཕགས་པའི་ཆོས་འདུལ་བ་ལ་ལུས་དང་སེམས་སིམ་པར་མི་འགྱུར་རོ། ། ||| Since these states of equilibrium provide no genuine peace, they satisfy neither body nor mind in the way that the Dharma-Vinaya of the noble ones does.
