ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་ནས་ ||| settled into the state of concentration known as the garlands of the buddhas, and
བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ལག་ན་རྡོ་རྗེ་ལ་བཀའ་སྩལ་པ། ||| addressed the bodhisattvas Noble Avalokiteśvara and Vajrapāṇi as follows.
སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁྱོད་སོང་ལ་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདི་དང་། ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དག་ན། ཁྱོད་ཀྱིས་འདུལ་བར་འགྱུར་བའི་སེམས་ཅན་སྙིགས་མའི་རང་བཞིན་ཅན་མ་དད་པ། སྡིག་པ་སྤྱོད་པ། ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་མོངས་པ་དག་གིས་བསྒྲིབས་པ། མར་མི་ཤེས་པ། ཕར་མི་ཤེས་པ། དགེ་སྦྱོང་ལ་དགེ་སྦྱོང་དུ་མི་འཛིན་པ། བྲམ་ཟེར་མི་འཛིན་པ། དཀོན་མཆོག་གསུམ་ལ་མངོན་པར་མ་དད་པ། དེ་དག་ཐམས་ཅད་ལག་ན་རྡོ་རྗེ་དང་། གཉིས་ཀྱིས་རྫུ་འཕྲུལ་ཆེན་པོ་དང་། ཏིང་ངེ་འཛིན་གྱི་སྟོབས་ཀྱི་ཤུགས་ཀྱིས་འཁོར་གྱི་དཀྱིལ་འཁོར་འདིར་བསྡུས་ཤིག ། ||| “Avalokiteśvara, go forth. Together with Vajrapāṇi, use your great supernatural powers and state of concentration to assemble around me the beings of this Sahā world system and of the other world systems of the ten directions whom you should tame and who are degenerate, have no faith, practice negative deeds, are obscured because of various types of affliction, have no consideration for their mothers or fathers, do not respect ascetics or brahmins for what they are, and have no faith in the Three Jewels.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་ལག་ན་རྡོ་རྗེས་དེ་བཞིན་གཤེགས་པ་ལས་ཚིག་འདི་ཐོས་ན ||| On hearing these words from the Tathāgata, the bodhisattvas Noble Avalokiteśvara and Vajrapāṇi
སེམས་ཅན་ཐམས་ཅད་ལ་བལྟ་བ་དང་། ཡང་དག་པར་སྐུལ་བར་འགྱུར་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ། ། ||| settled into the state of concentration known as watching over and exhorting all beings.
ཏིང་ངེ་འཛིན་དེའི་མཐུས་ས་ཆེན་པོ་འདི་རྣམ་པ་དྲུག་ཏུ་གཡོས། རབ་ཏུ་གཡོས། ཡང་དག་པར་རབ་ཏུ་གཡོས་སོ། ། ||| Through the ­power of their state of concentration, this great earth was tremendously shaken in six ways.
དེ་ནས་ལུས་ལས་འོད་ཟེར་བརྒྱ་སྟོང་དུ་མ་བྱུང་ངོ་། ། ||| Thousands of light rays shone forth from the bodies of Avalokiteśvara and Vajrapāṇi,
བྱུང་ནས་ཀྱང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཀུན་ཏུ་སྣང་བར་བྱས་ཏེ། ||| and as they shone they completely illuminated the world systems of the great trichiliocosm.
ཚངས་པའི་འཇིག་རྟེན་མན་ཆད་གཟུགས་ཡོད་པ་དང་། གཟུགས་ཀྱིས་ཁྱབ་པ་མན་ཆད་དུ་སྣང་བར་བྱས་ཏེ། ||| They illuminated everything from the world of Brahmā on down—that is, the worlds endowed with form and pervaded by form.
འོད་ཟེར་དེ་དག་ལས་ཀྱང་ཡང་དག་པར་སྐུལ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་བྱུང་ངོ་། ། ||| From these light rays also came these verses of exhortation:
བག་ཡོད་པ་དང་ཉོན་མོངས་མེད་པར་བྱོས། ། ||| “Be attentive and without afflictions.
བག་མེད་པ་ཡི་དབང་དུ་མ་འགྲོ་ཞིག ། ||| Do not fall under the power of distraction!
སྐྱེ་དང་རྒ་ཤིས་གཙེས་པའི་སྡུག་བསྔལ་ཏེ། ། ||| While everywhere is the suffering of birth, old age, and death,
བདེ་བར་གཤེགས་པའི་བསྟན་པ་འབྱུང་བར་དཀོན། ། ||| Rare is the appearance of the teaching of the Sugata.
བསྐལ་པ་བྱེ་བ་ཕྲག་བརྒྱ་གྲངས་མེད་དུ། །སྲིད་པའི་རྒྱ་མཚོར་ངེས་པར་འཁོར་བ་དང་། །ཉོན་མོངས་དོག་པར་རྟག་ཏུ་འཁོར་བ་ན། ། ||| Even though they are bound to circle In saṃsāra’s ocean for countless eons, Always ensnared by afflictions.
འཚོ་བ་མ་རུངས་པ་ནི་སྐྲག་མི་འགྱུར། ། ||| “Those of unwholesome livelihood have no fear,
རྙེད་དང་ཆགས་དང་བུད་མེད་རྟག་པ་མིན། ། ||| “Gain, desires, and women are impermanent.
རྟག་ཏུ་གླུ་གར་སྒྱུ་མའི་ཆོས་དང་ལྡན། ། ||| They always possess the nature of an illusory song and dance.
བསྐལ་པ་དུ་མར་བདེ་བ་མྱོང་ནས་ཀྱང་། །ཕྱིས་ནི་སྡུག་བསྔལ་རྗེས་སུ་ཐོབ་པར་འགྱུར། ། ||| Even if one experiences eons of bliss, One will eventually undergo suffering.
རྣམ་པར་སླུ་བར་གྱུར་པ་འདི་ལ་ལྟོས། ། ||| “Behold how tricky things are!
འདི་ལ་མར་གྱུར་པ་ཡང་ཆུང་མར་འགྱུར། ། ||| One’s mother in this life may be one’s wife in another,
དེ་ཡི་ཤ་དག་ཡོངས་སུ་ཟོས་ནས་ཀྱང་། །མི་མཁས་པ་དག་མི་ཤེས་དགའ་བར་འཛིན། ། ||| And in yet another life fools may eat her flesh, And in their ignorance enjoy it.
སྲིད་པའི་སྡུག་བསྔལ་རྒྱ་མཚོར་སྐྱེ་བ་དེ། །མིས་ནི་མ་མྱོང་མེད་ལ་སྐྲག་པ་མེད། ། ||| “No doubt, human beings take birth in the ocean of saṃsāra’s suffering, Yet they are not afraid.
མི་རྣམས་ཀྱི་ནི་དམ་པའི་ཆོས་འཆད་ཀྱིས། །བདེ་བར་གཤེགས་ལ་མཆོད་པར་འདོད་རྣམས་དེང་། ། ||| You who desire to honor the Sugata for having explained the noble Dharma to human beings, Go forth!
མི་འདུལ་ཁ་ལོ་སྒྱུར་བ་དེ་མཐོང་ནས། ། ||| “Once you have understood the one who can guide the untamed,
ཏིང་འཛིན་ཞི་བ་བསྒོམ་པ་ཐོབ་འགྱུར་གྱི། ། ||| You will attain the state of concentration, the cultivation of peace.
དེ་ཕྱིར་སྡུག་བསྔལ་རྒྱ་མཚོར་མི་གང་རྣམས། །སྐྲག་པར་གྱིས་ལ་ཐར་པ་འདོད་པར་བྱོས། ། ||| Thus, all you human beings in the ocean of saṃsāra, Be afraid and long for liberation!
མི་རྣམས་ཀྱིས་ནི་དམ་པ་དེ་ལ་མཆོད། ། ||| “All you humans, honor this noble one!
གཞན་གྱི་སྲོག་ནི་མ་གཅོད་དེ་བཞིན་དུ། །གཞན་གྱི་ནོར་དག་མ་བྱིན་ལེན་མ་བྱེད། ། ||| Do not take the lives of others, And likewise do not take others’ possessions that have not been offered.
གཞན་གྱི་བུད་མེད་དག་ལ་འཚེ་མ་བྱེད། ། ||| Do not violate other people’s wives.
སངས་རྒྱས་ཆོས་ལ་རྟག་ཏུ་གུས་པར་བྱོས། ། ||| “Always pay homage to the Buddhadharma!
ང་རྒྱལ་རྒྱགས་དང་བརླང་བ་སྤངས་ནས་ཀྱང་། ། ||| Give up pride, arrogance, and harsh speech,
བཱ་རཱ་ཎ་སཱི་ཞེས་ནི་བྱ་བ་ཡི། །ཨ་མྲ་སྲུང་བ་མོ་ཡི་ཚལ་དུ་དེང་། ། ||| And then set out for the grove of the caretaker of mango trees In the city called Vārāṇasī!
མི་མཆོག་ལ་ནི་མྱུར་དུ་བལྟ་བར་གྱིས། ། ||| “Upon arriving, behold the supreme person.
དེ་ཡི་བཀོད་པ་རྒྱ་ཆེར་ཡིད་དུ་འོང་། ། ||| Vast and pleasing is his array:
དགེ་སློང་དགེ་འདུན་རྟག་ཏུ་རྫུ་འཕྲུལ་ལྡན། ། ||| The saṅgha of monks who always have supernatural powers,
བྱང་ཆུབ་སེམས་དཔའ་རྒྱ་ཆེན་རྫུ་འཕྲུལ་ཆེ། ། ||| And the bodhisattvas who possess even greater ones.
སེམས་ཅན་མི་མཁས་ཁོང་དུ་ཆུད་བྱ་དང་། །སེམས་ཅན་བྱེ་བ་མང་པོ་ཐར་བྱའི་ཕྱིར། །འོད་ཟེར་རྟག་ཏུ་གང་གིས་བཏང་བ་དེ། །མཚན་ནི་སྤྱན་རས་གཟིགས་ཀྱི་དབང་ཕྱུག་གོ། ། ||| “He is named Avalokiteśvara Who continuously sends forth light rays So that the ignorant know And the myriad beings are liberated.
གང་དག་ང་རྒྱལ་རྒྱགས་ཁེངས་བགྱིད་གྱུར་ཅིང་། །སངས་རྒྱས་ཆོས་ལ་རིམ་གྲོ་མི་བྱེད་པ། །ལག་ན་རྡོ་རྗེ་མགོན་པོ་སེམས་ཅན་མཆོག །རྟག་ཏུ་འོད་ཟེར་གཏོང་ཞིང་གོ་བར་བྱེད། ། ||| “Those who are proud, arrogant, and haughty, And those who do not venerate the Buddhadharma, The protector, the supreme Vajrapāṇi, never ceases to illuminate them And leads them to understanding.
དེ་ཡི་གཟུགས་ནི་ཡངས་ཤིང་རྫུ་འཕྲུལ་ཆེ། ། ||| “Their bodies are vast with great supernatural powers.
བསྐལ་པ་བྱེ་བར་དེ་ནི་བཤད་མི་རྫོགས། ། ||| Eons and eons would not suffice to describe them.
འདིར་ནི་བདེ་བར་གཤེགས་ལ་མཆོད་པའི་ཕྱིར། །དྲི་དང་ཕྲེང་བ་གོས་མཆོག་རྒྱན་ཁྱེར་ལ། ། ||| “There, in the grove of the caretaker of mango trees, Bring perfume, garlands, fine clothes, and ornaments to honor the Sugata.
མི་ཡི་འདྲེན་པ་འདི་ལ་མཆོད་པར་བྱོས། ། ||| Venerate this guide of humankind,
སངས་རྒྱས་འབྱུང་བར་འགྱུར་བ་རབ་དཀོན་ནོ། ། ||| For rare is a buddha.
འདོད་ཕྱིར་བསྐལ་པ་བྱེ་བ་མང་པོར་ཡང་། །རྟག་ཏུ་སྡུག་བསྔལ་ཐོབ་ཅིང་འཐོབ་པར་འགྱུར། ། ||| “Beings have suffered for myriads of eons And will forever do so due to desire.
མཁས་པས་རྟག་ཏུ་ཐར་པ་འདོད་པར་གྱིས། །མི་མཆོག་སངས་རྒྱས་ལ་ནི་མཆོད་པར་བྱོས། ། ||| May the wise always long for liberation And venerate the supreme person, the Buddha!
བུ་དང་བུ་མོ་དེ་བཞིན་གཉེན་རྣམས་དང་། །ཕ་མ་ཆུང་མ་བཤེས་མང་སྐྱེ་བོ་རྣམས། །ཐམས་ཅད་སྒྱུ་མ་འདྲ་བས་དོན་མེད་དེ། ། ||| “Sons, daughters, relatives, Parents, wives, friends— All are illusory and pointless;
རྟག་པར་གཞན་དང་གཞན་དུ་སྐྱེ་བར་འགྱུར། ། ||| They will always be reborn in different ways.
དེ་ལྟར་གསེར་དང་དངུལ་ཡང་གློག་དང་འདྲ། ། ||| “So, too, gold and silver are like flashes of lightning.
འདི་ལ་སྙིང་པོ་འགའ་ཡང་སྣང་བ་མེད། ། ||| None show any essence.
བྱང་ཆུབ་གོ་འཕང་ཐོབ་པར་བྱ་བའི་ཕྱིར། །མི་རྣམས་འདྲེན་པ་ལ་ནི་མཆོད་པར་བྱོས། ། ||| To reach the state of awakening, Venerate the guide of humankind."
དེ་ནས་དེའི་ཚེ་ན་འོད་ཟེར་ལས་བྱུང་བའི་ཚིགས་སུ་བཅད་པས་བསྐུལ་བ་གཅིག་ནས་གཅིག་ཏུ་བརྒྱུད་པ་འདིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་སྒྲས་གང་བར་གྱུར་ནས་ ||| As these inspirational verses arose one after another from the light rays, they filled the world systems of the great trichiliocosm with sound,
སེམས་ཅན་ཐམས་ཅད་ལ་བསྐུལ་བར་གྱུར་ཏེ ||| inspiring all beings.
སེམས་ཅན་གང་དག་ལོག་པར་ལྟ་བ་དེ་དག་ནི་ཡང་དག་པའི་ལྟ་བ་ལ་བཀོད་པར་གྱུར། ||| Those who formerly had wrong views were converted to right views.
གང་དག་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། ཁེངས་པ་དང་། འགྱིང་བ་དེ་དག་ནི་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། ཁེངས་པ་རྣམས་དང་བྲལ་བར་བྱེད་པར་འགྱུར། ||| Those who were afflicted with pride, vanity, arrogance, and pretense were freed from pride, vanity, and arrogance.
གང་དག་འདོད་ཆགས་ལ་རྗེས་སུ་སྤྱོད་ཅིང་བག་མེད་པར་གྱུར་པ། དེ་དག་ནི་འདོད་ཆགས་དང་བྲལ་བར་གྱུར། ||| Those who indulged in lust without restraint were freed from lust.
གང་དག་སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་དང་། འདོད་པས་ལོག་པར་གཡེམ་པ་དང་། མི་དགེ་བའི་ཆོས་བརྒྱད་ལ་གནས་པ་དེ་དག་ཐམས་ཅད་ལུས་དང་། ངག་དང་། ཡིད་ཀྱི་སྤྱོད་པ་རྣམས་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ལ་གནས་པར་གྱུར། ||| All those who engaged in killing, stealing, sexual misconduct on account of desire, or the eight unwholesome factors, were set on the noble eightfold path in all their actions, words, and thoughts.
ཐམས་ཅད་ཀྱང་རྒོད་པ་དང་། ཀུ་རེ་དང་། དགའ་བ་དང་། རྩེ་བ་དང་། འདོད་པ་དང་། ཁྲོ་བ་དང་། ཕྲག་དོག་དང་། ཆགས་པ་ཡོངས་སུ་སྤངས་ནས་ ||| Each and every one of them completely abandoned excitement, joking, pleasure, amusement, desire, anger, envy, and attachment.
དེ་བཞིན་གཤེགས་པ་ལ་བལྟ་བ་དང་། བསྟེན་པ་དང་། བསྙེན་བཀུར་བྱ་བ་ལ་སྤྲོ་བར་གྱུར། ||| They felt determined to contemplate, follow, and serve the Tathāgata.
ཐམས་ཅད་ཀྱང་ཆོས་ཉན་པར་འདོད་པར་གྱུར་ཏོ། ། ||| They all wished to hear the Dharma.
ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། མི་མ་ཡིན་པ་དང་། ཀླུའི་རྒྱལ་པོ་དང་། རྒྱལ་པོ་མཁར་གྱི་བདག་པོ་དང་། རྒྱལ་ཕྲན་དང་། སྟོབས་ཀྱི་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་དང་། དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་དེ་དག་ཐམས་ཅད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པའི་ཕྱིར་ལྷའི་མེ་ཏོག་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། ཕྱེ་མ་དང་། གོས་དང་། གདུགས་དང་། རྒྱལ་མཚན་དང་། སིལ་སྙན་དང་། དར་གྱི་ཆུན་པོ་རྣམས་ཐོགས་ཏེ་ ||| All the gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, mahoragas, humans, non-humans, kings of the nāgas, royal lords of the citadels, vassals, universal monarchs, monks, nuns, male lay vow holders, and female lay vow holders carried divine flowers, garlands, salves, aromatic powders, garments, umbrellas, royal banners, cymbals, and bundles of silk scarves in order to venerate the Tathāgata.
གྲོང་ཁྱེར་ཆེན་པོ་བཱ་རཱ་ཎ་སཱི་ཞེས་བྱ་བ་གང་ན་བ་དང་། ཨ་མྲ་སྲུང་བ་མོའི་ཚལ་གང་ན་བ་དེར་དོང་ནས་ ||| Once they reached the place where he resided, the grove of the caretaker of mango trees in the great city of Vārāṇasī,
བདག་གི་བསོད་ནམས་ལས་སྐྱེས་པའི་དགེ་བའི་རྩ་བས་དེ་བཞིན་གཤེགས་པ་དང་འཁོར་གྱི་དཀྱིལ་འཁོར་རྣམས་ལ་མངོན་པར་མཆོད་དེ ||| they worshipped him and his surrounding retinue with the roots of virtue that arose from their own merit.
མེ་ཏོག་གི་ཆར་དང་། དྲིའི་ཆར་ཆེན་པོ་མངོན་པར་ཕབ་བོ། ། ||| A rain of flowers, a great fragrant rain, fell.
དེ་ནས་དེའི་ཚེ་ན་བཅོམ་ལྡན་འདས་འཛམ་བུའི་གླིང་དང་། ཨ་མྲ་སྲུང་བ་མོའི་ཚལ་དེ་དཔག་ཚད་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་སྲིད་དུ་རྒྱ་ཆེ་བར་བྱིན་གྱིས་བརླབས་ཏེ། ||| Then, at that moment, the Blessed One exerted his sovereign power on Jambudvīpa and the grove of the caretaker of mango trees so that it extended over several trillions of yojanas.
ས་གཞི་ལག་མཐིལ་ལྟར་མཉམ་ལ། ལྷའི་ཡིད་དུ་འོང་བ་ཁ་དོག་དང་ལྡན་པ། ||| The ground became as smooth as the palm of a hand, divinely pleasing to the mind, colorful, and fragrant.
དྲི་དང་ལྡན་པ། ལྷའི་མེ་ཏོག་གི་ཤིང་དང་། འབྲས་བུའི་ཤིང་དང་། སྤོས་ཀྱི་ཤིང་དང་། རིན་པོ་ཆེའི་ཤིང་དང་། དཔག་བསམ་གྱི་ཤིང་དང་། གོས་ཀྱི་ཤིང་རྣམས་ཀྱིས་མཛེས་པར་བྱས་པ། ||| It was ornamented with heavenly flower trees, fruit trees, fragrant trees, jewel trees, wish-fulfilling trees, and trees bearing garments.
ལྷའི་སེང་གེའི་ཁྲི་དང་ལྡན་པ། རིན་པོ་ཆེ་དང་། དར་དང་། མེ་ཏོག་གི་ཆུན་པོ་རབ་ཏུ་དཔྱངས་པ། ལྷའི་དྲིལ་བུའི་སྒྲས་བརྒྱན་པར་གྱུར་ཏེ ||| It supported heavenly lion thrones with hanging garlands of jewels, cloth, and flowers, and was suffused with the sound of divine bells.
འདི་ལྟ་སྟེ། དཔེར་ན་བདེ་བ་ཅན་གྱི་འཇིག་རྟེན་གྱི་ཁམས་དེ་བཞིན་དུ་ཡིད་འཕྲོག་པར་བྱེད་པ། ཚིམ་པར་བྱེད་པ། མགུ་བར་བྱེད་པ། མངོན་པར་དགའ་བར་བྱེད་པ། ||| Thus, just like the world system known as Sukhāvatī, it was ravishing, fulfilling, pleasing, and delightful.
བྱང་ཆུབ་སེམས་དཔའ་དང་། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་ནས་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་དང་། རྒྱལ་པོ་དང་། བློན་པོ་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་ཀྱི་བར་དུ་དེ་དག་གིས་གང་བར་བྱིན་གྱིས་བརླབས་སོ། ། ||| It was blessed, being filled by everyone, from bodhisattvas, śrāvakas, pratyekabuddhas, gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahoragas, to monks, nuns, male and female lay vow holders, kings, ministers, brahmins, and householders.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་ལག་ན་རྡོ་རྗེ་ཏིང་ངེ་འཛིན་དེ་ལས་ལངས་ནས་ ||| Then, the bodhisattvas Noble Avalokiteśvara and Vajrapāṇi emerged from their state of concentration and
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ ||| went to where the Blessed One was staying.
ཕྱིན་པ་དང་། ལན་གསུམ་དུ་བསྐོར་བ་བྱས་ཏེ ||| They approached, circumambulated him three times, and
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| said to him,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཐབས་མཁས་པ་དང་སེམས་ཅན་རྣམས་ཡོངས་སུ་སྨིན་པར་བགྱི་བ་ནི་མང་ངོ་། ། ||| “Blessed One, the Tathāgata’s skillful means and methods that bring beings to spiritual maturity are many.
བདེ་བར་གཤེགས་པ་མང་ངོ་། ། ||| Sugata, they are many indeed.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པའི་གཟི་བརྗིད་དང་རྫུ་འཕྲུལ་གྱི་མཐུས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དང་། ཉན་ཐོས་ཆེན་པོ་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། རྒྱལ་པོ་དང་། བློན་པོ་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་དང་། དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་རྣམས་མང་དུ་འདུས་སོ། ། ||| Blessed One, the bodhisattva mahāsattvas, the great śrāvakas, gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, mahoragas, kings, ministers, brahmins, householders, monks, nuns, and male and female lay vow holders have gathered here in great numbers through the strength of the Tathāgata’s majesty and supernatural powers.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་ལེགས་སོ་ལེགས་སོ། ། ||| “Sons of a good family, this is excellent, most excellent.
ཀྱེ་རྒྱལ་བའི་བུ་དག་དེ་བཞིན་ཏེ་དེ་བཞིན་གཤེགས་པའི་ཐབས་མཁས་པ་དང་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ནི་མང་ངོ་། ། ||| Sons of the Victorious One, it is indeed so. Many are the Tathāgata’s skillful means and methods that bring beings to spiritual maturity.
