ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
འོ་མ་དང་ཞོ་དང་མར་དང་ཞུན་མར་དང་མར་གྱི་ཉིང་གུས་བསྐྱེད་བསྲིངས་ཏེ་མཚོའི་ནང་གི་པདྨ་བཞིན་དུ་སྐྱེ་དྲག་པར་གྱུར་ཏོ། ། ||| They reared him on milk, yogurt, butter, ghee, and milk solids, and he flourished like a lotus in a lake.
དེ་ནས་དེ་གང་གི་ཚེ་འགྲོ་ནུས་པར་གྱུར་པ་དེའི་ཚེ་དེ་རྩེར་གཞུག་པའི་ཕྱིར་ཕས། ཁྱི་གུ་མོ་ཞིག་ཁྱིམ་དུ་བཞག་གོ། ། ||| Once he was able to walk, his father brought home a little puppy for him to play with.
ཁྱི་གུ་མོ་དེ་ཡང་གང་གི་ཚེ། གཞན་མུ་སྟེགས་པ་དག་མཐོང་བ་དེའི་ཚེ་ནི་རྒྱུག་སྟེ་ཟ་བར་བྱེད་ལ་གོས་རྣམས་ཀྱང་འདྲལ་བར་བྱེད་དོ། ། ||| Any time the puppy saw philosophical extremists, she would run and bite at them, sometimes tearing their robes.
དེ་སྟེ་དགེ་སློང་དག་མཐོང་ན་ནི་དྲུང་དུ་འཇར་ཞིང་ལྕེས་རྐང་པ་ལ་བལྡགས་ཏེ། མཇུག་མ་དྲིལ་ནས་གཡས་ཕྱོགས་སུ་སྐོར་བ་བྱེད་དོ། ། ||| But when she saw Buddhist monastics she would trot up, lick their feet, and circumambulate them clockwise while wagging her tail.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་བགྲོད་པ་གཅིག་པུའི་ལམ་སྟོན་པ། རྣམ་པ་གཉིས་ཀྱི་ཤེས་བྱ་དང་། ཡེ་ཤེས་ལ་མངའ་བརྙེས་པ། མ་འདྲེས་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་གསུམ་ལ་མཁས་པ་ ||| The buddhas, the blessed ones, teachers of the one path to be traversed, with mastery over wisdom and the two types of knowable objects, in command of the three kinds of sterling equanimity,
མི་འཇིགས་པ་བཞིས་མི་འཇིགས་པ་འགྲོ་བ་ལྔར་འགྲོ་བ་ལས་རྣམ་པར་གྲོལ་བ། སྐྱེ་མཆེད་དྲུག་ལ་མཁས་པ། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་ལ་སྤྱོད་ཡུལ་བ། རྣམ་པར་ཐར་པ་བརྒྱད་ལ་བསམ་གཏན་པ། མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ་ལ་སྙོམས་པར་འཇུག་པ། སྟོབས་བཅུའི་སྟོབས་དང་ལྡན་པ། ||| fearless by means of the fourfold fearlessness, freed from migration through the five destinies, keen in the six sense bases, practiced in the seven limbs of enlightenment, focused on the eight liberations, absorbed in the nine successive meditative absorptions, possessing all ten of the ten powers,
ཡང་དག་པའི་སེང་གེའི་སྒྲ་ཆེན་པོ་སྒྲོགས་པ་རྣམས་ནི་ཆོས་ཉིད་ཀྱིས་ཉིན་དུས་གསུམ་མཚན་དུས་གསུམ་སྟེ། ཉིན་མཚན་དུས་དྲུག་ཏུ། སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་འཇིག་རྟེན་ལ་གཟིགས་ཏེ། ||| whose proclamations are the great roaring of a perfect lion, by nature regard the world with their buddha eyes six times throughout the day and night—three times by day and three times by night. These are their thoughts as they look out in wisdom:
སུ་ནི་རྒུད་ ||| “Who is in decline?
སུ་ནི་དར་ ||| Who will flourish?
སུ་ནི་ཕོངས་ཤིང་འདུག ། ||| Who is destitute?
སུ་ནི་ཉམ་ང་བར་གྱུར་ ||| Who is in a dreadful state?
སུ་ནི་གནོད་པ་དང་ལྡན། ||| Who is being harmed?
སུ་ནི་ཕོངས་པ་དང་ཉམ་ང་བ་དང་གནོད་པ་དང་ལྡན་ ||| Who is destitute, in a dreadful state, and being harmed?
སུ་ནི་ངན་སོང་དུ་གཞོལ་ ||| Who is veering toward the lower realms?
སུ་ནི་ངན་སོང་དུ་འབབ་ ||| Who is descending through the lower realms?
སུ་ནི་ངན་སོང་དུ་བབ་ ||| Who has descended to the lower realms?
སུ་ནི་ངས་ངན་སོང་ནས་ཕྱུང་སྟེམཐོ་རིས་དང་ཐར་པ་དང་འབྲས་བུ་ལ་གཞག་པར་བྱ། ||| Whom shall I pull up from the lower realms, and establish in the resultant state of heaven and liberation?
སུ་ནི་ཉེས་པར་སྤྱོད་པའི་འདམ་དུ་བྱིང་བ་ལས་ལག་པ་ནས་དྲང་བར་བྱ། ||| Whom, mired in misdeeds, shall I lift up by the hand?
སུ་ནི་འཕགས་པའི་ནོར་བདུན་མེད་པ་ལས་འཕགས་པའི་ནོར་བདུན་གྱི་དབང་ཕྱུག་ལ་དབང་བྱེད་དུ་གཞུག་པར་བྱ། ||| Whom, lacking the seven jewels of the noble ones, shall I lead to command of the seven jewels of the noble ones?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་མ་བསྐྱེད་པ་ལས་བསྐྱེད་པར་བྱ། ||| Whom, not having produced roots of virtue, shall I lead to produce them?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་བསྐྱེད་ཟིན་པ་ལས་ཡོངས་སུ་སྨིན་པར་བྱ། ||| Whom, having already produced roots of virtue, shall I lead to ripen their roots of virtue?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་ཡོངས་སུ་སྨིན་ཟིན་པ་ལས་ཡེ་ཤེས་ཀྱི་མཚོན་གྱིས་བརྟོལ་བར་བྱ། ||| Whom, having already ripened their roots of virtue, shall I slice open with the blade of wisdom?
སུ་ལ་ནི་སངས་རྒྱས་བྱུང་བས་བརྒྱན་པའི་འཇིག་རྟེན་འབྲས་བུ་དང་བཅས་པར་བྱ་སྙམ་དུ་ཡེ་ཤེས་གཟིགས་པ་འཇུག་གོ། ། ||| For whom shall I cause this world, adorned with a buddha’s presence, to be fruitful?”
རྒྱ་མཚོ་ཆུ་སྲིན་རྣམས་ཀྱི་གནས། །དུས་རླབས་ཡོལ་བར་འགྱུར་ཡང་སྲིད། ། ||| The ocean, home of creatures fierce, Could fail to send its tides on time.
གདུལ་བར་བྱ་བའི་སྲས་རྣམས་ལ། །སངས་རྒྱས་དུས་ལས་ཡོལ་བ་མེད། ། ||| But when the time has come to tame Their offspring, buddhas never fail.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཇི་ལྟར་ཉིན་དུས་གསུམ་མཚན་དུས་གསུམ་སྟེ། ཉིན་མཚན་དུས་དྲུག་ཏུ་སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་འཇིག་རྟེན་ལ་གཟིགས་པ་ ||| Just as the buddhas, the blessed ones, regard the world with their buddha eyes six times throughout the day and night—three times by day and three times by night—
དེ་བཞིན་དུ། ཉན་ཐོས་ཆེན་པོ་རྣམས་ཀྱང་ཉིན་དུས་གསུམ་མཚན་དུས་གསུམ་སྟེ། ཉིན་མཚན་དུས་དྲུག་ཏུ་ཉན་ཐོས་ཀྱི་མིག་གིས་འཇིག་རྟེན་ལ་ལྟ་བར་བྱེད་དེ། ||| so too the great disciples of the buddhas regard the world with disciples’ eyes six times throughout the day and night—three times by day and three times by night.
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་ཉན་ཐོས་ཀྱི་མིག་གིས་འཇིག་རྟེན་ལ་བལྟས་ན། ཁྱིམ་བདག་འཁོར་དང་བཅས་པ་གདུལ་བའི་དུས་ལ་བབ་པར་མཐོང་ནས། ||| When Venerable Śāriputra regarded the world with his disciple’s eyes, he knew that the time had come to tame the householder and his retinue.
སྔ་དྲོ་ཤམ་ཐབས་དང་ཆོས་གོས་བགོས་ཏེ། ལྷུང་བཟེད་ཐོགས་ནས་མཉན་དུ་ཡོད་པར་བསོད་སྙོམས་ལ་སོང་ངོ་། ། ||| In the morning he donned his lower garment and Dharma robes, and, carrying his alms bowl, he went for alms in Śrāvastī.
དེ་མཐར་གྱིས་བསོད་སྙོམས་རྒྱུ་བ་ལས་ཁྱིམ་བདག་དེའི་ཁྱིམ་ག་ལ་བ་དེར་སོང་བ་དང་། ||| As he went for alms, Śāriputra eventually came to the home of that householder.
ཁྱི་མོ་དེས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ཐག་རིང་པོ་ཞིག་ནས་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་ཤིན་ཏུ་རིངས་པར་ལངས་ཏེ། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ག་ལ་བ་དེར་སོང་ནས། ཇི་ལྟར་དགེ་སློང་གཞན་དག་གི་ཐད་དུ་འགྲོ་བ་དེ་བཞིན་དུ། ||| As soon as the dog saw him from a distance, she jumped up and ran right up to Śāriputra, just as she had with the other monks.
ཆེས་གུས་པར་ལྕེས་རྐང་པ་ལ་བལྡགས་ཏེ། མཇུག་མ་དྲིལ་ནས་ལན་གསུམ་སྐོར་བ་བྱེད་དོ། ། ||| She very respectfully licked his feet and circumambulated him three times while wagging her tail.
དེ་ཡང་ཁྱིམ་བདག་དེས་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་བསམས་པ། ||| The householder saw all this and thought,
མ་ལ་འདི་ལྟར། ཁྱི་མོ་ལོག་པར་ལྟུང་བའི་ལུས་ཅན་འདི་ཡང་ ||| “My! This one has fallen so low as to possess the body of a dog.
འདི་ལ་དེ་ལྟ་བུའི་བཀུར་སྟི་བྱེད་པར་སེམས་པ་ལས་ན། དགེ་སློང་འདི་ནི་བདག་ཉིད་ཆེན་པོ་ཞིག་ཡིན་གོར་མ་ཆག་སྙམ་དུ་བསམས་ཏེ། ||| If even she thinks to pay him such esteem, then surely this monk is a great being.
མ་ལ་བདག་གིས་ཀྱང་དགེ་སློང་འདི་སྤྱན་དྲངས་ལ་བཤོས་གསོལ་ལོ་ ||| I should invite this monk and offer him food.”
སྙམ་དུ་བསམས་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུའི་རྐང་པ་ལ་ཕྱག་འཚལ་ཏེའདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Reflecting in this way he approached Venerable Śāriputra, bowed down at Śāriputra’s feet, and said,
བཙུན་པ་ཤཱ་རིའི་བུ་འོ་ན་འདི་ཉིད་དུ་བཤོས་གསོལ་དུ་ཅི་གནང་ཞེས་བྱས་ནས། ||| “Lord Śāriputra, whatever food you need, please take it here.”
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་ཁྱིམ་བདག་དེ་ལ་ཅང་མི་ཟེར་བས་གནང་ངོ་། ། ||| Venerable Śāriputra assented by his silence.
དེ་ནས་ཁྱིམ་བདག་དེས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་ཅང་མི་ཟེར་བས་གནང་བར་རིག་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུའི་སྟན་བཤམས་ཏེ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Understanding that by his silence Venerable Śāriputra had given his assent, the householder then prepared a seat for Venerable Śāriputra and said,
བཙུན་པ་ཤཱ་རིའི་བུ་གདན་བཤམས་པ་ལ་བཞུགས་སུ་གསོལ། ||| “Venerable Śāriputra, please sit upon the seat that I have prepared,”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་སྟན་བཤམས་པ་ལ་འདུག་གོ། ། ||| whereupon Venerable Śāriputra sat on the seat prepared for him.
དེ་ནས་ཁྱིམ་བདག་དེས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་བདེ་བར་འདུག་པར་རིག་ནས། རང་གི་ལག་ནས་བཟའ་བ་དང་བཅའ་བ་གཙང་མ་བཟང་པོ་མང་པོས་ཚིམ་པར་བྱས་ཏེ། ཅི་འདོད་པ་བསྟབས་སོ། ། ||| Once the householder knew that Venerable Śāriputra was comfortably seated, by his own hand he contented him with many good, wholesome foods, proffering all that he wished.
རང་གི་ལག་ནས་བཟའ་བ་དང་བཅའ་བ་གཙང་མ་བཟང་པོ་མང་པོ་རྣམ་གྲངས་དུ་མས་ཚིམ་པར་བྱས་ཏེ། ཅི་འདོད་པ་བསྟབས་པའི་འོག་ཏུ་སྡེར་ནི་གྱུ། ལྷུང་བཟེད་ནི་བཀྲུས་པར་རིག་ནས། ཆོས་མཉན་པའི་ཕྱིར་མདུན་དུ་འདུག་གོ། ། ||| After he had contented him with many different kinds of good, wholesome foods by his own hand, and had proffered all that he wished, once he knew that Venerable Śāriputra had finished eating and that his bowl had been taken away and his hands washed, he sat before him to listen to the Dharma.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་ཁྱིམ་བདག་དེ་འཁོར་དང་བཅས་པའི་བསམ་པ་དང་། བག་ལ་ཉལ་དང་ཁམས་དང་རང་བཞིན་རྟོགས་ནས་དེ་དང་འཐུན་པའི་ཆོས་བསྟན་ཏེ ||| Venerable Śāriputra directly apprehended the thoughts, habitual tendencies, temperament, and nature of the householder and his retinue, and taught them the Dharma accordingly.
དེ་ཐོས་ནས་ཁྱིམ་བདག་དེ་འཁོར་དང་བཅས་པས་འཇིག་ཚོགས་ལ་ལྟ་བའི་རིའི་རྩེ་མོ་མཐོན་པོ་ཉི་ཤུ་ཡེ་ཤེས་རྡོ་རྗེས་བཅོམ་ནས་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱས་ཏེ ||| When they heard it, the householder and his retinue destroyed with the thunderbolt of wisdom the twenty high peaks of the mountain of views concerning the transitory collection, and manifested the resultant state of stream entry.
དེས་བདེན་པ་མཐོང་ནས་སྐྱབས་སུ་འགྲོ་བ་དང་བསླབ་པའི་གཞི་རྣམས་བླངས་སོ། ། ||| Having seen the truths, they went for refuge and took the fundamental precepts.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་ཁྱིམ་བདག་དེ་ཆོས་ཀྱི་གཏམ་གྱིས་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག ། ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པ་དགའ་བར་བྱས་ནས་སྟན་ལས་ལངས་ཏེ་སོང་ངོ་། ། ||| After Venerable Śāriputra had instructed, encouraged, inspired, and delighted the householder with a discourse on the Dharma, he rose from his seat and departed.
ཁྱིམ་བདག་དེ་ཡང་བདེན་པ་མཐོང་བར་གྱུར་ནས། སྦྱིན་པ་དག་སྦྱིན་ཞིང་བསོད་ནམས་དག་བྱེད་དོ། །དེའི་ཁྱིམ་དེ་སློང་བའི་སྐྱེ་བོ་རྣམས་ཀྱི་ཆུ་དོང་དང་འདྲ་བར་གྱུར་ཏོ། ། ||| Having seen the truths, the householder began to give gifts and make merit such that his home became like an open well for those in need.
ཁྱིམ་བདག་དེས་ཀྱང་། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ཡང་དང་ཡང་དུ་ཁྱིམ་གྱི་ནང་དུ་བཤོས་གསོལ་བར་བྱེད་དོ། ། ||| The householder invited Śāriputra to take food at his home again and again.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་ཁྱིམ་བདག་དེས་ཁྱི་མོ་དེ་ལ་ཁ་ཟས་བྱིན་ནས་ཆོས་མཉན་པའི་ཕྱིར་མདུན་དུ་འདུག་གོ། ། ||| Venerable Śāriputra and the householder would give food to the dog, and the householder would sit before Venerable Śāriputra to listen to the Dharma.
ཁྱི་མོ་དེ་ཡང་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུའི་མདུན་དུ་འདུག་ནས་ཆོས་ཉན་ཏོ། ། ||| The dog too would sit down before Venerable Śāriputra and listen to the Dharma.
དེ་ནས་ཁྱིམ་བདག་དེས་བསམས་པ་བདག་གིས་ལེགས་པ་འདི་ལྟ་བུ་རྟོགས་པ་ཅི་ཡང་རུང་བ་དེ་དག་ཐམས་ཅད་ནི་ཁྱི་མོ་འདིའི་མཐུ་ལས་བྱུང་བ་ཡིན་ནོ། །སྙམ་དུ་རིག་གོ། ། ||| The householder reflected, “Such good things I have realized, and all on account of this dog!”
རིག་ནས་ཀྱང་དེ་ལ་ཤིན་ཏུ་སྐྱོང་བར་བྱེད་དོ། ། ||| Realizing this, he took very good care of her.
དེ་ནས་ཕྱི་ཞིག་ན་ཁྱི་མོ་དེ་ནད་ཀྱིས་ཐེབས་ནས། ཤཱ་རིའི་བུས་དེ་ལ་སྨྲས་པ། ||| One day the dog fell ill, and Śāriputra said to her,
བུ་འདི་ལྟར་འདུ་བྱེད་ཐམས་ཅད་ནི་མི་རྟག་པའོ། ། ||| “And so it is, child: All conditioned things are impermanent.
འདུ་བྱེད་ཐམས་ཅད་ནི་སྡུག་བསྔལ་བའོ། ། ||| All conditioned things are suffering.
ཆོས་ཐམས་ཅད་ནི་བདག་མེད་པའོ། ། ||| All phenomena are selfless.
མྱ་ངན་ལས་འདས་པ་ནི་ཞི་བའོ། ། ||| Nirvāṇa is peace.
ང་ལ་སེམས་དགའ་བར་གྱིས་ཤིག་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་འབྲལ་བར་འགྱུར་ཡང་སྲིད་དོ་ ||| Let your mind be filled with joy at the thought of me, and you may even be released from rebirth in the animal realm.”
ཞེས་སྨྲས་ནས། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་སོང་ངོ་། ། ||| With that, Venerable Śāriputra departed.
དེ་སོང་ནས་རིང་པོ་མ་ལོན་པར་ཁྱི་མོ་དེ་ཡང་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་སེམས་དགའ་བར་གྱུར་ནས་ཤིའོ། ། ||| Not long after he had gone, the dog died, filled with joy at the thought of Venerable Śāriputra.
དེ་ཤི་འཕོས་ཏེ་འདས་ནས་ཁྱིམ་དེ་ཉིད་དུ་ཁྱིམ་བདག་དེའི་ཆུང་མ་ཆེན་མའི་མངལ་དུ་སྐྱེས་སོ། ། ||| After she died, she took rebirth in the same house, in the womb of the householder’s foremost wife.
དེ་ཤི་བའི་ཚེ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་སླར་ཁྱིམ་དེར་འོངས་ནས། ཁྱིམ་བདག་གིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་བསྙད་དེ། ||| When the dog died, Venerable Śāriputra returned to the house, where the householder informed him,
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱི་མོ་དེ་གུམ་ལགས་སོ་ཞེས་བྱས་སོ། ། ||| “Lord Śāriputra, our dog has passed away.”
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་སྨྲས་པ། ||| Venerable Śāriputra instructed,
ཁྱི་མོ་དེའི་རོ་དེ་ཕྱོགས་དབེན་པ་ཞིག་ཏུ་ཞོག་ཤིག་དང་། རུས་པ་དེ་དག་ཕྱིས་དེ་ཉིད་ལ་ཕན་འདོགས་པར་འགྱུར་རོ། ། ||| “Keep the dog’s body in a secluded place,” “for those bones will be of benefit to her later on.”
ཁྱིམ་བདག་གིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུས་ཇི་སྐད་བཀའ་སྩལ་པ་བཞིན་དུ་བགྱིའོ་ཞེས་སྨྲས་ནས། ཁྱིམ་བདག་དེས་ཁྱི་རོ་དེ་གང་དུ་སུས་ཀྱང་མི་མཐོང་བར་འགྱུར་བ་དེ་ལྟ་བུའི་ཕྱོགས་ཤིག་ཏུ་བཞག་གོ། ། ||| “As you wish, Lord Śāriputra,” said the householder, and the householder put the dog’s dead body in a place where no one would see it.
དེ་ནས་ཁྱིམ་བདག་གི་ཆུང་མ་དེ་ཟླ་བ་དགུའམ་བཅུ་ལོན་པ་དང་བུ་བྱུང་སྟེ། བུ་མོ་གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་ལ་མཛེས་པ་མདོག་བཟང་བ་གསེར་གྱི་ཁ་དོག་ཅན་མགོ་བོ་གདུགས་ལྟར་འདུག་པ། ལག་པ་རིང་བ་དཔྲལ་བའི་དབྱེས་ཆེ་བ་སྣ་མཐོ་བ་སྣ་ལེགས་པ་སྨིན་མ་སྟུག་པ་ཞིག་བཙས་སོ། ། ||| After nine or ten months had passed, the householder’s wife gave birth to a child who was well proportioned, pleasing to the eye, and beautiful, with glowing, golden skin and a well-rounded head, long arms, a broad brow, a fine and prominent nose, and eyebrows that met.
དེ་ནས་དེའི་བཙས་སྟོན་ཡང་རྒྱས་པར་བྱས་ནས། རིགས་དང་འཐུན་པའི་མིང་བཏགས་ཏེ། ||| At the elaborate feast celebrating her birth they named her according to their clan.
འོ་མ་དང་མར་དང་ཞོ་དང་ཞུན་མར་དང་མར་གྱི་ཉིང་གུས་བསྐྱེད་བསྲིངས་ཏེ། མཚོའི་ནང་གི་པད་མ་བཞིན་དུ་སྐྱེ་དྲག་པར་གྱུར་ཏོ། ། ||| They reared her on milk, yogurt, butter, ghee, and milk solids, and she flourished like a lotus in a lake.
དེ་ནས་དེ་གང་གི་ཚེ་ཆེན་མོར་གྱུར་པ་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་སྨྲས་པ། ||| When she had grown, Venerable Śāriputra told her,
བུ་འདུག་ལ་ཆོས་ཉོན་ཅིག་ཅེས་བྱས་ན། དེ་བྱད་གཟུགས་དང་ལང་ཚོའི་རྒྱགས་པས་དྲེགས་ནས་ཕན་ཚུན་དུ་གཡེངས་ཏེ་ཆོས་ཉན་དུ་མི་བཏུབ་བོ། ། ||| “Child, sit and listen to the Dharma,” but she had become arrogant on account of her well-proportioned shape and youthfulness, and was so distracted that she was unable to listen to the Dharma.
དེ་ནས་ཕྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་དེ་ཤེད་བྱེ་བར་རིག་ནས ||| One day Venerable Śāriputra recognized how to uncover her potential.
ཁྱི་མོའི་རུས་བུ་དེ་དེ་ཉིད་ཀྱི་མདུན་དུ་བཞག་སྟེ། ཅི་ནས་ཀྱང་བུ་མོ་དེས་ཚེ་རབས་དྲན་པར་འགྱུར་བ་དེ་ལྟ་བུར་བྱིན་གྱིས་བརླབས་ནས། ཚེ་རབས་དྲན་མ་ཐག་ཏུ་བུ་མོ་དེ་ཤས་ཆེར་སྐྱོ་བ་སྐྱེས་སོ། ། ||| He set the bones of the dog in front of her, and blessed the young woman in such a way that she remembered her former lives.
