འཕགས་པ་སངས་རྒྱས་ཀྱི་རྟོགས་པ་བརྗོད་པ་ཤེས་ལྡན་གྱི་མདོ། ||| An Account of the Noble Deeds of the Buddha The Sūtra of Jñānaka
ཅི་སྟེ་ལྷའི་བུ་ཁྱོད་ཀྱིས་བཅོམ་ལྡན་འདས་དེ་ལ་ཕྱག་ཚོལ་དང་། བཅོམ་ལྡན་འདས་དེ་འདིར་གཤེགས་ཏེ། ||| Deva, you should by all means pay homage to the Blessed One.
དེས་ཁྱོད་ངན་སོང་རྣམས་ལས་གྲོལ་བར་མཛད་དོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| He will come here to save you from the lower realms.
ལྷའི་བུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ནི་ཐུགས་རྗེ་ཆེན་པོས་སེམས་ཅན་ཡོངས་སུ་མ་བཏང་བ་ཡིན་ནོ། ||| Fellow deva, the blessed Buddha has great compassion and never forsakes beings.”
།དེ་ནས་ལྷའི་བུ་དེ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| The god then rose from his seat, draped his upper robe over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་ཆེད་དུ་བརྗོད་པ་འདི་ཆེད་དུ་ལན་གསུམ་བརྗོད་དེ། ||| With his palms joined, he bowed in the direction of the Blessed One and repeated this entreaty three times:
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ལ་ཕྱག་འཚལ་ལོ། ||| “Homage to the blessed Thus-Gone One!
།བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ལ་ཕྱག་འཚལ་ལོ། །བདག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་བཅོམ་ལྡན་འདས་དེ་འདིར་གཤེགས་སུ་གསོལ། ||| Homage to the blessed Thus-Gone One!
བདག་ངན་སོང་དུ་སྐྱེ་བ་རྣམས་ལས་གྲོལ་བར་མཛད་དུ་གསོལ། ||| Out of love for me, may the Blessed One please come here and save me from the lower realms!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེའི་ལྷག་པའི་བསམ་པ་ཐུགས་སུ་ཆུད་ནས། ལྷའི་བུ་དེ་ག་ལ་བ་དེར་གཤེགས་ཏེ་གདན་བཤམས་པ་དེ་ལ་བཞུགས་སོ། ||| Aware of the sincere intent of that god, the Blessed One went to him and sat upon a seat that had been prepared.
།བཞུགས་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ལྷའི་བུ་ཁྱོད་འཆི་བས་འཇིགས་སམ། ||| After taking his seat, the Blessed One asked that god, “Deva, is it death that you fear?”
གསོལ་པ། བཅོམ་ལྡན་འདས་བདག་འགུམ་པས་འཇིགས་ལགས་སོ། ||| “Indeed, Blessed One,” the god responded, “I am afraid to die.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ཡངས་པའི་ཕག་གི་མངལ་མི་སྡུག་པར་སྐྱེ་བར་མཐོང་ལགས་ཏེ། ||| Because I foresaw my rebirth in the wretched womb of a pig in Vaiśālī.
དེར་བདག་སྐྱེས་ནས་བཤང་བ་འཚལ་ཞིང་མཚོན་གྱིས་འགུམ་པར་འགྱུར་ལགས་ཏེ། ||| Once reborn there, I will eat excrement and be killed by a blade.
བཅོམ་ལྡན་འདས་དེའི་སླད་དུ་བདག་འགུམ་པས་འཇིགས་ལགས་སོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| That is why, Blessed One, I am afraid to die.”
།ལྷའི་བུ་ཁྱོད་འཆི་བས་མ་འཇིགས་ཤིག །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| The Blessed One said, “Deva, do not be afraid of death!
ལྷའི་བུ་སའི་ཁམས་དང་། ཆུའི་ཁམས་མི་འགྲོ་མི་འོང་གི་བདག་ཉིད་ཀྱི་ལས་ཀྱིས་འོང་ཞིང་འགྲོ་སྟེ། ||| Well, deva, it is not the earth and water elements that transmigrate here and there, but rather your own actions.
ལྷའི་བུ་ཁྱོད་ཚུར་ཤོག །སངས་རྒྱས་ལ་སྐྱབས་སུ་སོང་ཤིག །ཆོས་དང་དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་ཤིག །དེ་ནས་ལྷའི་བུ་དེ་སྟན་ལས་ལངས་ཏེ། ||| Come here, deva. Take refuge in the Buddha. Take refuge in the Dharma and in the Saṅgha.” The god then rose from his seat and addressed the Blessed One:
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ། ||| “Yes, Blessed One, I will.
།བདག་སངས་རྒྱས་ལ་སྐྱབས་སུ་མཆིའོ། ||| I take refuge in the Buddha!
།ཆོས་དང་དགེ་འདུན་ལ་སྐྱབས་སུ་མཆིའོ། ||| I take refuge in the Dharma and in the Saṅgha!”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་ལ་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། ||| The Blessed One responded to the god with the following stanza:
གང་ཞིག་སངས་རྒྱས་ལ་ནི་སྐྱབས་སོང་བ། ||| “Those who have taken refuge in the Buddha
།དེ་ནི་ངན་འགྲོར་འདིར་ནི་མི་འགྲོ་སྟེ། ||| Will be spared transmigrating to the lower realms.
།ལྷ་ཡི་བདག་ཉིད་དངོས་པོ་སྤངས་ནས་སུ། ||| As they relinquish their divine existence,
།མི་ཡི་བདག་ཉིད་དངོས་པོ་ལེན་པར་འགྱུར། ||| They will take up a human existence instead.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་ལ་ཆོས་དང་ལྡན་པའི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ||| The Blessed One then delivered a discourse on the Dharma to the god and ensured that the god retained it.
ཡང་དག་པར་དགའ་བར་མཛད་ནས་གདན་ལས་བཞེངས་ཏེ་བཞུད་དོ། ||| Having inspired the god and filled him with delight, the Blessed One rose from his seat and departed.
།བཅོམ་ལྡན་འདས་བཞུད་ནས་རིང་པོ་མ་ལོན་པར་ལྷའི་བུ་དེ་འཆི་བའི་དུས་བྱས་སོ། ||| Not long thereafter, the god passed away.
།དུས་བྱས་ནས་དེ་མ་ཐག་ཏུ་ཡངས་པ་དེར་ཚོང་དཔོན་ཞིག་གི་ཆུང་མ་དམ་པའི་མངལ་དུ་སྐྱེས་སོ། ||| He was immediately reborn in the womb of a noble merchant’s wife in Vaiśālī.
།དེ་ཟླ་བ་དགུ་འདས་ནས་ཁྱེའུ་གཟུགས་བཟང་བ། མཛེས་པ། བལྟ་ན་སྡུག་པ། ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པ་ཞིག་བཙས་པར་གྱུར་ཏོ། ||| After nine months had come to pass, an adorable child with a charming appearance and the most exquisite complexion was born.
།དེ་བཙས་མ་ཐག་ཏུ་ཚིག་འདི་སྐད་ཅེས་སངས་རྒྱས་ལ་ཕྱག་འཚལ་ལོ། ||| The moment he was born he exclaimed, “Homage to the Buddha!
།ཆོས་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to the Dharma!
།དགེ་འདུན་ལ་ཕྱག་འཚལ་ལོ་ཞེས་བརྗོད་དོ། ||| Homage to the Saṅgha!”
།དེ་ནས་དེའི་ཚེ་ཕ་དང་མ་འདི་སྙམ་དུ་སེམས་ཏེ། ཁྱེའུ་འདི་ནི་སངས་རྒྱས་ཤེས། ཆོས་ཤེས་དགེ་འདུན་ཤེས་ཏེ། ||| At that moment, his parents thought, “This child knows of the Buddha, the Dharma, and the Saṅgha.
འདི་ནི་ཤེས་པ་དང་ལྡན་ནོ་སྙམ་དུ་འདུ་ཤེས་སྐྱེས་སོ། ||| He possesses knowledge.”
།དེ་ནས་ཁྱེའུ་ཤེས་ལྡན་གང་གི་ཚེ་ལོ་བརྒྱད་ལོན་པ་ལྟ་བུར་གྱུར་པ་དེའི་ཚེ་ལི་ཙྪ་བཱི་གཞོན་ནུ་རབ་ཏུ་མང་པོ་རྣམས་ཀྱིས་ལྷན་ཅིག་ཏུ་མདུན་དུ་བདར་ནས་སྐྱེད་མོས་ཚལ་གྱི་བཞི་མདོ་ནས་བྱུང་ངོ་། ||| Once, when this child Jñānaka was around eight years old, he and a group of Licchavi youths, who were in his company, arrived at a crossroads in a park.
།དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཡངས་པའི་ཚལ་ཆེན་པོ་ན་ཁང་པ་བརྩེགས་པའི་ཁང་བཟངས་ན་བཞུགས་ཏེ། ||| At that time the Blessed One was staying at a mansion in the great grove of Vaiśālī.
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་སྨད་གཡོགས་དང་ཆོས་གོས་གསོལ། ལྷུང་བཟེད་བསྣམས་ཏེ། ཡངས་པར་བསོད་སྙོམས་ལ་ཕྱིར་གཤེགས་སོ། ||| At dawn, the Blessed One donned his lower garment, dressed in his robes, picked up his alms bowl, and went to Vaiśālī on an alms round.
།བཅོམ་ལྡན་འདས་དེ་མཛེས་པ་ནས་འོད་དང་ལྡན་པའི་བར་དུ་གྱུར་པ་ཁྱེའུ་ཤེས་ལྡན་གྱིས་མཐོང་ངོ་། །མཐོང་ནས་དེ་བཅོམ་ལྡན་འདས་ལ་སེམས་རབ་ཏུ་དགའ་བར་གྱུར་ཏོ། །སེམས་དགའ་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ལན་གསུམ་བསྐོར་བ་བྱས་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| The child Jñānaka caught sight of the Blessed One, who was handsome, and so forth, up until shining. Filled with joy at seeing the Blessed One, he happily went before the Blessed One and bowed his head to his feet, circled him three times, and sat to one side.
།ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཁྱེའུ་ཤེས་ལྡན་གྱིས་བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། ||| Seated to one side, the child Jñānaka spoke to the Blessed One in verse:
བདག་གིས་སྔོན་གྱི་ཚེ་དྲན་ཏེ། ||| “I have recollected a past life In which the Lord of the World
སྡུག་བསྔལ་རྣམས་ལས་རབ་བཀྲོལ་ཞིང་། ||| Saved me from suffering
།ངན་སོང་ལྟུང་བ་ལས་ནི་བདག །འཇིག་རྟེན་མགོན་གྱིས་གྲོལ་བར་མཛད། ||| And delivered me from falling to the lower realms.
།མི་མཆོག་ཐུགས་ནི་བརྩེར་དགོངས་ཏེ། ||| “Foremost of humans, would you be so kind
།བསོད་སྙོམས་འདི་ནི་བཞེས་པར་མཛོད། །བདག་གི་གདུགས་ཚོད་འདི་དག་ནི། ||| As to accept this gift of alms?
།གྲོལ་བར་མཛད་ནས་དེང་བཞེས་ལ། ||| Please accept this midday meal today For having saved me so. “Please think kindly as I invite you
།སང་ནི་བདག་གི་ཕ་མ་ཡི། །སྡུམ་པར་འདྲེན་པས་བརྩེར་དགོངས་ཏེ། ||| To my parents’ home tomorrow.
།དགེ་སློང་ཀུན་དང་ཐབས་ཅིག་ཏུ། ||| Together with all of your monks
།གདུགས་ཚོད་དག་ནི་གསོལ་བར་མཛོད། ||| Please come to partake of a midday meal.”
།བཅོམ་ལྡན་འདས་ཅང་མི་གསུང་བར་གྱུར་པས་ཁྱེའུ་ཤེས་ལྡན་གྱིས་གསོལ་པ་གནང་ངོ་། ||| The Blessed One remained silent, signaling his acceptance of the child Jñānaka’s request.
།དེ་ནས་ཁྱེའུ་ཤེས་ལྡན་བཅོམ་ལྡན་འདས་ཅང་མི་གསུང་བར་གནང་བར་རིག་ནས་ཕ་མ་ག་ལ་བ་དེར་སོང་སྟེ། ཕ་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཡབ་ཡུམ་བདག་གིས་ནི་བཅོམ་ལྡན་འདས་ལ་བསོད་སྙོམས་ཕུལ་ལགས་ཏེ། སང་ཡང་གདུགས་ཚོད་ལ་སྤྱན་དྲངས་སོ། ||| Aware that the Blessed One had accepted by not speaking, the child Jñānaka went before his parents and announced, “Dear father and mother, I offered alms to the Blessed One and have invited him tomorrow for a midday meal.”
།དེ་ནས་ཁྱེའུ་ཤེས་ལྡན་གྱི་ཕ་མ་མགུ་ཞིང་དགའ་ལ་ཡི་རངས་ཤིང་རབ་ཏུ་དགའ་སྟེ། ||| The parents of the child Jñānaka were pleased and rejoiced, full of happiness and delight.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་དེའི་མཚན་མོ་བཟའ་བ་དང་བཅའ་བ་རོ་དང་ལྡན་པ་ཞིམ་པ་མང་པོ་མངོན་པར་བཤམས་ནས་ཡངས་པའི་གྲོང་ཁྱེར་ཆེན་པོ་ཐམས་ཅད་ཕྱག་དར་བྱས་ཏེ། ||| Filled with joy and elation, they arranged a spread of delicious foods and tasty delicacies that very night. They had the entire city of Vaiśālī swept clean and strung with silk tassels.
དར་གྱི་ལྡ་ལྡི་བཏགས། པོག་ཕོར་ནས་སྤོས་ཀྱིས་བདུགས། སྤོས་ཆུས་ཆག་ཆག་བཏབ། མེ་ཏོག་གིས་མཛེས་པར་བཀྲམ་སྟེ། ||| They lit incense in incense burners, sprinkled fragrant water, and elegantly scattered flowers.
དེའི་མཚན་མོ་འདས་ནས་དུས་ལ་བབ་པ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ། བཙུན་པ་བཅོམ་ལྡན་འདས་གདུགས་ཚོད་ལ་བབ་སྟེ། ||| When the night had passed and the appropriate time had come, they went to the Blessed One and said, “Honorable One, Blessed One, it is time for the midday meal.
གདུགས་ཚོད་སྦྱར་ལགས་སོ་ཞེས་གསོལ་ཏོ། ||| The food is ready.”
།དེ་ནས་བཅོམ་ལྡན་འདས་དེའི་སྔ་དྲོ་སྨད་གཡོགས་དང་ཆོས་གོས་གསོལ། ལྷུང་བཟེད་བསྣམས་ནས། ||| At dawn, the Blessed One donned his lower garment, dressed in his robes, and picked up his alms bowl.
དགེ་སློང་གི་ཚོགས་ཀྱིས་མདུན་དུ་བདར་ཅིང་། དགེ་སློང་གི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཏེ། ཤེས་ལྡན་གྱི་ཕ་མའི་ཁྱིམ་ག་ལ་བ་དེར་གཤེགས་ནས་གདན་བཤམས་པ་དེ་ལ་བཞུགས་སོ། ||| Escorted and encircled by an assembly of monks, he went to the home of Jñānaka’s parents where they sat upon seats that had been prepared for them.
།དེ་ནས་ཁྱེའུ་ཤེས་ལྡན་བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་གདན་ལ་བཞུགས་པར་རིག་ནས་རང་གི་ལག་གིས་བཟའ་བ་དང་། བཅའ་བ་རོ་དང་ལྡན་པ་ཞིམ་ཞིང་མང་བ་དག་ལེགས་པར་བྲིམས་ལེགས་པར་གསོལ་ཏོ། ||| Noticing that the Blessed One and the saṅgha of monks were seated, the child Jñānaka brought forth many delicious foods and tasty delicacies, offering them carefully with his own hands.
།བཅོམ་ལྡན་འདས་གདུགས་ཚོད་གསོལ་བར་རིག་ནས། སོ་སོ་སོ་སོ་ལ་རས་བཅོས་བུ་ཟུང་དང་། སོ་སོ་ལ་ལྷམ་ཟུང་དག་ཕུལ་ལོ། །བཅོམ་ལྡན་འདས་ལ་ཆོས་གོས་སར་པ་གསུམ་དང་། ཆགས་སར་པ་ཟུང་དག་གསོལ་ཏོ། ||| Seeing that the Blessed One had finished his midday meal, he presented a set of cotton robes and a pair of sandals to each member of the saṅgha, and three new robes and a pair of new shoes to the Blessed One.
།གསེར་གྱི་མེ་ཏོག་དང་། དངུལ་གྱི་མེ་ཏོག་རྣམས་ཀྱིས་གཏོར་ཏོ། །གང་མངོན་པར་གཏོར་བ་དེ་དག་གཏོར་མ་ཐག་ཏུ་སངས་རྒྱས་ཀྱི་མཐུས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱི་གཙུག་གི་ཐད་ཀར་ཁང་པ་བརྩེགས་པ་བཀྲ་བ། བལྟ་ན་སྡུག་པ། གྲུ་བཞི་པ། གནས་བཞི་དང་ལྡན་པ་ཞིག་འདུག་པར་གྱུར་ཏོ། ||| He scattered gold and silver flowers that, through the power of the Buddha, immediately transformed above the Blessed One’s head into a glistening, elegant mansion with four corners and four rooms.
།ཁང་པ་བརྩེགས་པ་དེར་དེ་བཞིན་གཤེགས་པའི་སྐུ་སྐྱིལ་མོ་ཀྲུང་བཅས་ཏེ་ཆོས་འཆད་ཅིང་བཞུགས་པ་དེས་མཐོང་ངོ་། ||| Within this mansion, the child Jñānaka beheld the figure of the Thus-Gone One sitting cross-legged and teaching the Dharma.
།དེ་ནས་ཁྱེའུ་ཤེས་ལྡན་གྱིས་བཅོམ་ལྡན་འདས་ཀྱི་གཟུགས་དང་། རྫུ་འཕྲུལ་དང་། ཆོ་འཕྲུལ་བསམ་གྱིས་མི་ཁྱབ་པ་དེ་འདྲ་བ་མཐོང་ནས་མགུ་ཞིང་དགའ་བ་ནས། ཡིད་བདེ་བ་སྐྱེས་པའི་བར་དུ་གྱུར་ནས། ||| As he observed the Blessed One’s inconceivable form, miracles, and supernatural powers, the child Jñānaka was joyful, elated, and filled with happiness.
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་གི་དགེ་བའི་རྩ་བ་འདི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་བསྔོ་སྟེ། ||| He said to the Blessed One, “Blessed One, I dedicate my roots of virtue to unsurpassed and completely perfect awakening.
དགེ་བའི་རྩ་བ་དེས་ན་བདག་ད་ལྟར་གྱི་བཅོམ་ལྡན་འདས་བཞིན་དུ། སངས་རྒྱས་སུ་གྱུར་ཅིག །ཆོས་སྟོན་པར་ཡང་གྱུར་ཅིག །དགེ་འདུན་ཡོངས་སུ་སྐྱོང་བར་ཡང་གྱུར་ཅིག །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱེའུ་ཤེས་ལྡན་གྱི་ལྷག་པའི་བསམ་པ་ཐུགས་སུ་ཆུད་དེ། ||| May these roots of virtue lead me to awaken, teach the Dharma, and sustain the saṅgha just like the present Blessed One.”
འཛུམ་པ་མཛད་ནས་སྤྱི་བོའི་གཙུག་གི་ནང་དུ་ནུབ་པའི་བར་དུ་མཛད་པ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་མཐོང་སྟེ། དོན་མེད་པ་མི་མཛད་དོ་སྙམ་པའི་བར་དུའོ། ||| Aware of the intent of the child Jñānaka, the Blessed One smiled, and so forth, up until the light dissolved into the crown of his head. The venerable Ānanda saw this and thought to himself, “There is nothing that the Blessed One does without purpose,” and so forth, up until “What is the reason?”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཚིགས་སུ་བཅད་དེ་སླར་བཀའ་སྩལ་པ། ||| The Blessed One then addressed the venerable Ānanda with these verses:
ཀུན་དགའ་འདི་ལྟར་ཤེས་ལྡན་གྱིས་ནི་དེ་བཞིན་གཤེགས་པ་མཆོད་པས་ན། ||| “Ānanda, by making offerings to the Thus-Gone One like this,
།བསྐལ་པ་བྱེ་བ་དགུ་བཅུ་དག་ཏུ་ལོག་པར་ལྟུང་བར་མི་འགྱུར་ལ། ||| Jñānaka will not fall to lower states for nine hundred million eons.
།དེ་ནས་དེ་མ་ཐག་ཏུ་རྣམ་པར་འདྲེན་པར་ཉེ་བར་སྐྱེ་འགྱུར་ཏེ། ||| He will, at that point, take rebirth and appear in the world as a guide,
།མཚན་ནི་མཁྱེན་གཙོ་རྒྱལ་པོ་ཞེས་བྱ་སངས་རྒྱས་འཇིག་རྟེན་འབྱུང་བར་འགྱུར། ||| As a buddha by the name of King of Foremost Knowing.
།སངས་རྒྱས་ཀྱི་ནི་རྟོགས་པ་བརྗོད་པས་མཁས་རྣམས་ཡང་དག་དགའ་བྱེད་ཅིང་། ||| “This account of the noble deeds of the Buddha delights the learned
།མི་ཡི་མཁས་པ་གང་གིས་ཐོས་ན་དགེ་བ་མང་པོ་བྱེད་འགྱུར་ཏེ། །རྒྱ་མཚོ་མཐས་གཏུགས་དཔག་མེད་ལྟ་བུའི་དེ་བཞིན་གཤེགས་པ་སངས་རྒྱས་ལ། ||| And engenders great virtue in the wise people who hear it.
།རབ་ཏུ་དང་བས་ཡོན་རྣམས་ཕུལ་བའི་འབྲས་བུ་ཆུང་བར་མི་འགྱུར་རོ། ||| Not so trivial are the results of gifts offered with lucid faith To the thus-gone Buddha, who is limitless like the extent of the ocean.”
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཁྱེའུ་ཤེས་ལྡན་དང་། དགེ་སློང་དེ་དག་དང་། ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ||| After the Blessed One had spoken these words, the child Jñānaka, the monks, and the world with its gods rejoiced and praised what the Blessed One had taught.
།འཕགས་པ་སངས་རྒྱས་ཀྱི་རྟོགས་པ་བརྗོད་པ་ཤེས་ལྡན་གྱི་མདོ་རྫོགས་སོ།། ||| This completes “The Sūtra of Jñānaka: An Exemplary Tale of the Buddha.”
།།རྒྱ་གར་གྱི་མཁན་པོ་བིདྱཱ་ཀ་ར་སིང་ཧ་དང་། སརྦ་ཛྙཱ་དེ་བ་དང་། །ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་དཔལ་བརྩེགས་ཀྱིས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།།
