འཕགས་པ་བློ་གྲོས་རྒྱ་མཚོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Sāgaramat
ཆོས་ཀྱི་རྒྱལ་པོ་དེ་བཞིན་གཤེགས་པའི་སྲས། ||| They were the progeny of the thus-gone Dharma kings.
ཆོས་ཟབ་མོ་ལ་གནས་པ། ||| They were immersed in the profound Dharma.
དམིགས་པ་མེད་པའི་ཆོས་ཀྱིས་ངེས་པར་བྱུང་བ། ||| They had found release through the Dharma of no apprehension.
སྤྱོད་ལམ་མཛེས་པ་ཕུན་སུམ་ཚོགས་པ། ||| They had perfectly gracious behavior.
སྦྱིན་གནས་ཆེན་པོར་གྱུར་པ། ||| They were worthy of offerings.
དེ་བཞིན་གཤེགས་པའི་བཀའ་ལ་ཤིན་ཏུ་ཞུགས་པ་ཤ་སྟག་གོ ། ||| They were careful in following the word of the Thus-Gone One.
བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་པ་མེད་པའི་བྱང་ཆུབ་སེམས་དཔའི་བཟོད་པ་རབ་ཏུ་ཐོབ་པ། ||| There was also a great bodhisattva saṅgha there, which was composed of bodhisattva great beings who had attained the bodhisattva acceptance that nothing is apprehended.
དབང་བསྐུར་བ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའི་ས་ལ་ཞུགས་པ། ||| They were on the bodhisattva levels where they received empowerment.
མངོན་པར་འདུ་བྱེད་པ་མེད་པའི་བྱང་ཆུབ་སེམས་དཔའི་མངོན་པར་ཤེས་པས་རྣམ་པར་རྩེན་པ། ||| They played in the unconditioned super-knowledge of bodhisattvas.
བྱང་ཆུབ་སེམས་དཔའི་གཟུངས་མི་ཟད་པའི་ཟ་མ་ཏོག་རབ་ཏུ་ཐོབ་པ། ||| They had received the casket containing inexhaustible bodhisattva dhāraṇīs.
བྱང་ཆུབ་སེམས་དཔའི་ཏིང་ངེ་འཛིན་དཔའ་བར་འགྲོ་བ་ལ་དབང་ཐོབ་པ། ||| They had attained mastery of the bodhisattva absorption of the heroic gait.
བྱང་ཆུབ་སེམས་དཔའི་སོ་སོ་ཡང་དག་པར་རིག་པ་སེམས་ཅན་ཐམས་ཅད་ཚིམ་པར་བྱེད་པ་རྗེས་སུ་ཐོབ་པ། ||| They had acquired the ability to satisfy all beings with the correct discriminations of the bodhisattva.
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལྷུན་གྱིས་གྲུབ་པས་ངེས་པར་བྱུང་བ་བཀོད་པའི་རྒྱན་གྱི་ལྷག་པའི་བསམ་པ་ལ་ཤིན་ཏུ་གནས་པ། ||| Because their bodhisattva activity was spontaneous, they were steady in the pure motivation that is beautifully adorned with emancipation.
ཚད་མེད། གྲངས་མེད། བསམ་གྱིས་མི་ཁྱབ། མཚུངས་པ་མེད། གཞལ་དུ་མེད། དཔག་ཏུ་མེད་པ་ལ་འདི་ལྟ་སྟེ། ||| There were limitless, countless, inconceivable, unmatchable, immeasurable, and unfathomable bodhisattva great beings present,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཛོད་མི་ཟད་པ་ཞེས་བྱ་བ་དང་། ||| including the bodhisattva great being Inexhaustible Treasury,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་ཚད་མེད་པ་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Limitless Intelligence,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤོབས་པ་མཐའ་ཡས་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Infinite Eloquence,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་པ་མེད་པའི་བསམ་གཏན་པ་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Non-referential Concentration,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་གོང་ན་མེད་ཅེས་བྱ་བ་དང་། ||| the bodhisattva great being Unsurpassed Diligence,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་བློ་གྲོས་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Diligent Intelligence,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྒྱུན་མི་འཆད་པ་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Continuous Intelligence,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆགས་པ་མེད་པའི་མི་འཇིགས་པ་བརྩེགས་པ་ཞེས་བྱ་བ་དང་། ||| the bodhisattva great being Pinnacle of Nonattached Fearlessness,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དོན་ངེས་པར་བརྟགས་ཏེ་ ||| the bodhisattva great being Discerning Vision,
བལྟ་བ་ཞེས་བྱ་བ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚད་མེད། གྲངས་མེད། བསམ་གྱིས་མི་ཁྱབ། མཚུངས་པ་མེད། གཞལ་དུ་མེད། དཔག་ཏུ་མེད་པ་དག་དང་ཡང་ཐབས་ཅིག་གོ། ། ||| as well as other limitless, countless, inconceivable, unmatchable, immeasurable, and unfathomable bodhisattva great beings.
དེ་ནས་བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པས་ངེས་པར་འབྱུང་བ་སྒྲིབ་པ་མེད་པའི་སྒོ་བྱང་ཆུབ་སེམས་དཔའི་ལམ་བཀོད་པ་ལ་དམིགས་པ། སྟོབས་དང་། མི་འཇིགས་པ་དང་། ||| At that time the Blessed One gave a teaching on how to engage in bodhisattva conduct and thereby focus on liberation, the unobscured gateway, and the bodhisattva path.
སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་ཡོངས་སུ་འགྲུབ་པའི་ཡེ་ཤེས་ཀྱི་འབྱུང་གནས་ཆོས་ཐམས་ཅད་ལ་དབང་སྒྱུར་བའི་གཟུངས་ཀྱི་ཕྱག་རྒྱའི་སྒོར་འཇུག་པ། ||| That teaching is the source of the wisdom that manifests all the strengths , fearlessnesses, and qualities of buddhahood. It is a gateway to the seal of dhāraṇī that masters all phenomena.
སོ་སོ་ཡང་དག་པར་རིག་པས་རྣམ་པར་གདོན་མི་ཟ་བ་ལ་འཇུག་པའི་སྒོ། ||| It is a gateway to gaining certainty through the correct discriminations.
མངོན་པར་ཤེས་པ་ཆེན་པོའི་ཡེ་ཤེས་ལ་འབབ་པས་འཇུག་པ་ཕྱིར་མི་ལྡོག་པའི་འཁོར་ལོ་ཕྱིར་མི་ལྡོག་པ་སྟོན་པ། ||| It leads to the wisdom of great super-knowledge. It teaches the irreversibility of the irreversible wheel.
ཐེག་པ་ཐམས་ཅད་མཉམ་པ་ཉིད་དུ་ཡང་དག་པར་འདུ་བ། ||| It subsumes all vehicles within sameness.
ཆོས་ཀྱི་དབྱིངས་འདྲེས་པ་མེད་དེ་ཚུལ་གཅིག་པ་རབ་ཏུ་དབྱེ་བ་ལ་འཇུག་པ། ||| It shows how the realm of phenomena is unadulterated and a single principle.
སེམས་ཅན་ཐམས་ཅད་ཀྱི་བསམ་པ་དང་དབང་པོའི་ཚུལ་ལ་འཇུག་པ་སྟོན་པ། ||| It shows how to know the thoughts and faculties of all beings.
སྙིང་པོ་དང་ལྡན་པ། ||| It is that which is essential.
ཆོས་རྣམ་པར་གདོན་མི་ཟ་བ་དང་། ||| It leads to no doubt about the Dharma.
བདུད་ཀྱི་དཀྱིལ་འཁོར་ཐམས་ཅད་རྣམ་པར་འཇོམས་པ། ||| It defeats all the regions of Māra.
ཚུལ་བཞིན་དུ་ཆོས་ཀྱི་ཚུལ་ལ་འབབ་ཅིང་འཇུག་པ། ||| It shows how to appropriately enter and penetrate the Dharma way.
ཉོན་མོངས་པ་དང་ལྟ་བར་གྱུར་པ་ཐམས་ཅད་འདུལ་བ། ||| It tames all afflictive emotions and views.
ཆགས་པ་མེད་པའི་ཡེ་ཤེས་ལ་འཇུག་པ། ||| It realizes unobstructed wisdom.
ཀུན་ཏུ་བསྔོ་བའི་ཐབས་ལ་མཁས་པ་ཤེས་པ་སྟོན་པ། ||| It teaches knowledge of the skillful method of dedication.
སངས་རྒྱས་ཐམས་ཅད་ཀྱི་མཉམ་པ་ཉིད་ཀྱི་ཡེ་ཤེས་ལ་འཇུག་པ། ||| It realizes the wisdom of the sameness of all the buddhas.
ཆགས་པ་མེད་པའི་བྱིན་གྱི་རླབས་ཀྱི་སྒོ་ཆོས་ཐམས་ཅད་ཇི་ལྟ་བ་བཞིན་དུ་རྣམ་པར་གདོན་མི་ཟ་བ་སྟོན་པ། ||| It shows the gateway of the blessings of nonattachment. It resolves all doubts about phenomena as they are.
མི་རྟོག་ཅིང་རྣམ་པར་མི་རྟོག་སྟེམཉམ་པ་ཉིད་དུ་འཇུག་པ། ||| It realizes sameness without thought or conceptuality.
རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཟབ་མོ་རྟོགས་པར་བྱེད་པ། ||| It gives rise to understanding of profound dependent origination.
བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས་ཆེན་པོ་སོགས་པ། ||| It gathers the accumulations of merit and wisdom.
སངས་རྒྱས་ཀྱི་སྐུ་དང་གསུང་དང་ཐུགས་མཉམ་པ་ཉིད་ཀྱི་རྒྱན་དང་ལྡན་པ། ||| It possesses the ornaments of sameness, which are the body, speech, and mind of the buddhas.
དྲན་པ་དང་། བློ་གྲོས་དང་། རྟོག་པ་དང་། མོས་པ་དང་། ཤེས་རབ་མི་ཟད་པ་མངོན་པར་སྒྲུབ་པ། ||| It accomplishes inexhaustible mindfulness, intelligence, understanding, aspiration, and insight.
ཉན་ཐོས་ཀྱི་ཐེག་པས་འདུལ་བའི་ཕྱིར་འཕགས་པའི་བདེན་པའི་ཚུལ་ལ་འཇུག་པ། ||| To guide through the vehicle of the hearers it shows the truths of the noble ones.
རང་སངས་རྒྱས་ཀྱི་ཐེག་པས་འདུལ་བའི་ཕྱིར་ལུས་དང་སེམས་རབ་ཏུ་དབེན་པར་ཤེས་པ། ||| To guide through the vehicle of the solitary buddhas it teaches knowledge of physical and mental solitude.
ཐེག་པ་ཆེན་པོས་འདུལ་བའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པར་དབང་བསྐུར་བ་རབ་ཏུ་ཐོབ་པ། ||| To guide through the Great Vehicle it shows how to attain consecration into omniscience.
ཆོས་ཐམས་ཅད་ལ་དབང་སྒྱུར་བའི་ཚུལ་ལ་འཇུག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་བརྗོད་པའི་ཕྱིར་ ||| It shows how to gain mastery over all phenomena. Such was the Dharma teaching that the Blessed One taught in order to express the qualities of the thus-gone ones.
གསུང་ངོ་། །སྟོན་ཏོ། །རབ་ཏུ་འཆད་དོ། །འཛིན་དུ་འཇུག་གོ། །ཀློག་ཏུ་འཇུག་གོ། ། ||| Thus he spoke it, taught it, explained it, encouraged memorization of it, encouraged recitation of it,
ཤེས་པར་མཛད་དོ། །རྣམ་པར་ཤེས་པར་མཛད་དོ། །རབ་ཏུ་ཤེས་པར་མཛད་དོ། །རབ་ཏུ་འགོད་དོ། །རྣམ་པར་འབྱེད་དོ། །རྣམ་པར་འགྲེལ་ཏོ། །གསལ་བར་མཛད་དོ། ། ||| made it understood, made it well understood, made it very well understood, set it forth, defined it, proclaimed it, clarified it, and revealed it.
ཡང་དག་པར་རབ་ཏུ་སྟོན་ཏོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་ཤིན་ཏུ་རྣམ་པར་ངེས་པ་འདུས་པ་ཆེན་པོའི་ལེའུའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལྟ་བུ་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པས་ཐམས་ཅད་དང་ལྡན་པའི་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འོག་ཏུ་སའི་སྟེང་ནས་བཟུང་བ་ཡན་ཅད་རིན་པོ་ཆེ་བཀོད་པའི་འཁོར་གྱི་ཁྱམས་ཀྱི་གཞི་ལ་ཐུག་པའི་བར་དག་ཏུ་ཆུས་ཡོངས་སུ་གང་བའི་རྒྱ་མཚོ་གཅིག་ལྟར་ཀུན་ཏུ་སྣང་སྟེ ||| As the Blessed One extensively and genuinely delivered this Dharma teaching, which is a section of The Great Compilation , and that thoroughly ascertains what is true, the entire trichiliocosm, from the earth below up to the ground of the jeweled pavilion, became filled with water, as if it had become a single ocean.
འདི་ལྟ་སྟེ་དཔེར་ན། བསྲེག་པའི་བསྐལ་པ་འདས་ནས་ཆགས་པ་འབྱུང་བའི་ཚེ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཐམས་ཅད་ཆུས་ཡོངས་སུ་གང་བར་འགྱུར་ཏེ། ཆུའི་དཀྱིལ་འཁོར་གྱིས་ཡོངས་སུ་འཁོར་བ་དེ་བཞིན་དུ། ||| The entire trichiliocosm was flooded with water, just as happens during the eon of formation, which follows the eon of burning, when everything is covered by a mass of water.
དེའི་ཚེ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་ཆུས་ཡོངས་སུ་གང་བའི་རྒྱ་མཚོ་གཅིག་ལྟ་བུར་གནས་པར་ཀུན་ཏུ་སྣང་ཡང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན་གྲོང་དང་། གྲོང་ཁྱེར་དང་། གྲོང་རྡལ་དང་། ལྗོངས་དང་། ཡུལ་འཁོར་དང་། རྒྱལ་པོའི་ཕོ་བྲང་འཁོར་རྣམས་ལ་ཡང་སྒྲིབ་པ་མེད་པར་ཀུན་ཏུ་སྣང་ངོ་། ། ||| However, although all the worlds in the trichiliocosm appeared to be filled with water as in a single ocean, still all the villages, cities, towns, lands, regions, and palaces could be seen without obstruction.
འཛམ་བུའི་གླིང་རྣམས་དང་། གླིང་བཞི་པ་ཆེན་པོ་རྣམས་དང་། རྒྱ་མཚོ་ཆེན་པོ་རྣམས་དང་། རི་རབ་རྣམས་དང་། འདོད་པ་ན་སྤྱོད་པའི་ལྷའི་བུ་རྣམས་ལ་ཡང་སྔོན་ཇི་ལྟར་ཕྱིས་ཀྱང་དེ་བཞིན་དུ་སྒྲིབ་པ་ཅི་ཡང་མེད་པར་དེ་ཁོ་ན་བཞིན་དུ་ཀུན་དུ་སྣང་ངོ་། ། ||| Additionally, all the Jambudvīpas, four-continent worlds, great oceans, Mount Merus, and gods of the desire realm were clearly visible, just as they normally are.
ཆུའི་ཕུང་པོ་དེ་ལས་ཀྱང་པད་མ་ ||| Lotuses sprang from this mass of water.
ཆུ་བ་ནི་བཻ་དཱུརྱ། སྡོང་བུ་ནི་ཨན་ད་རྙིལ། ལོ་མ་ནི་འཛམ་བུའི་ཆུ་བོའི་གསེར། ཟེ་བ་ནི་དཔལ་གྱི་སྙིང་པོ། སྙིང་པོ་ནི་རྡོའི་སྙིང་པོ་ལས་གྲུབ་པ། ||| Their branches were made of beryl, their stalks of sapphire, their leaves of gold from the Jambu River, their stamens of śrīgarbha gems, and their hearts of emerald.
མུ་ཏིག་གི་དྲ་བས་ནི་ཁེབས་པར་བྱས་པ། ||| They were draped with nets of pearls.
འདབ་མ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མ་དང་ལྡན་པ། ||| They had many trillions of petals.
ཚད་ནི་རྒྱང་གྲགས་ཀྱི་ཁྱོན་ཙམ་ཡོད་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་མང་པོ་བྱུང་སྟེ ||| In terms of their size, they were many trillions of miles wide.
དེ་དག་རིན་པོ་ཆེའི་བཀོད་པའི་འཁོར་གྱི་ཁྱམས་ཀྱི་གཞི་ལས་ཐལ་ནས་ཤིང་ཏ་ལའི་སྲིད་དུ་འཕགས་ཏེ། ||| They rose from the base of the jeweled pavilion up to the height of a palm tree.
ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་ཡང་དེའི་ཚེ་པད་མ་ལ་འཁོད་པར་ཀུན་ཏུ་སྣང་ངོ་། ། ||| The entire assembly then appeared arranged on those lotuses.
པད་མ་དེ་དག་ལས་ཀྱང་འོད་གང་དག་གིས་ཕྱོགས་བཅུའི་སངས་རྒྱས་ཀྱི་ཞིང་ཚད་མེད་གྲངས་མེད་པ་དག་སྣང་བ་ཆེན་པོས་ཁྱབ་པར་གྱུར་པའི་འོད་དེ་ལྟ་བུ་དག་བྱུང་ངོ་། ། ||| A light issued forth from the lotuses such that limitless, countless buddha realms throughout the ten directions were pervaded by a tremendous brightness.
དེ་ནས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་ངོ་མཚར་དུ་གྱུར་ནས་ཇི་ལྟར་སྔ་ལྟས་འདི་དག་ཀུན་ཏུ་སྣང་བ་ལས་ན། ||| The entire assembly was amazed at this, and said to themselves about the revelation of these omens,
ཀྱེ་མའོ་འདི་ནི་ཆོས་བསྟན་པ་ཆེན་པོར་འགྱུར་རོ་ཞེས་ཆེད་དུ་བརྗོད་པ་ཆེད་དུ་བརྗོད་དོ། ། ||| “This means an important teaching is coming!”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་ཆོ་འཕྲུལ་ཆེན་པོ་དེ་མཐོང་ནས་པད་མའི་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་པད་མའི་སྙིང་པོ་ལ་བཙུགས་ཏེ། ||| Upon seeing this great magical display, the bodhisattva great being Maitreya stood up from his lotus seat, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| With his palms together he bowed toward the Blessed One and asked,
བཅོམ་ལྡན་འདས་གང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཆབ་ཀྱིས་ཡོངས་སུ་གཏམས་པའི་རྒྱ་མཚོ་གཅིག་ལྟ་བུར་ཀུན་ཏུ་གདའ་བ་དང་། པད་མ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་འདི་སྙེད་ཅིག་མངོན་པར་བྱུང་བ་འདི་དག་དང་། བཅོམ་ལྡན་འདས་སྔོན་མ་མཐོང་མ་ཐོས་པའི་ཆོ་འཕྲུལ་རྒྱ་ཆེན་པོ་འདི་དག་ཀུན་ཏུ་གདའ་བ་འདི་དག་སུའི་སྔ་ལྟས་ལགས། ||| “Blessed One, whose prophecy is represented by the worlds of the trichiliocosm being filled with water like a single ocean, the manifestation of these trillions of lotuses, and this vast magical display like none we have ever heard of or seen before?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One answered the bodhisattva great being Maitreya, saying,
བྱམས་པ་འོག་གི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་རྡུལ་ཕྲ་རབ་ཀྱི་རྡུལ་སྙེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡོན་ཏན་རིན་པོ་ཆེ་དྲི་མ་དང་བྲལ་བ་དཔག་ཏུ་མེད་པ་བཀོད་པས་བརྒྱན་པ་ཞེས་བྱ་བ་ ||| “Maitreya, below this buddha realm, beyond as many buddha realms as there are atoms in all the worlds of the trichiliocosm, is the world Adorned with Immaculate and Countless Precious Qualities.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྒྱ་མཚོའི་མཆོག་མངའ་བའི་བློས་རྣམ་པར་རོལ་པ་མངོན་པར་འཕགས་པའི་མངོན་པར་མཁྱེན་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There dwells the thus-gone, worthy, perfect buddha Master of the Ocean with Noble and Playful Super-knowledge.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་པ་ཡོད་དེ ||| He lives there and is teaching the Dharma.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྒྱ་མཚོ་ཞེས་བྱ་བ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བགྲང་བ་ལས་འདས་པ་དག་དང་ལྷན་ཅིག་ཏུ་ང་ལ་བལྟ་བ་དང་། ཕྱག་བྱ་བ་དང་། བསྙེན་བཀུར་བྱ་བ་དང་། ||| In that buddha realm, the bodhisattva great being Sāgaramati and countless other bodhisattva great beings are gazing at me, venerating me, and honoring me.
ཆོས་བསྟན་པ་འདི་ལས་གཏམ་གྱི་རྒྱུད་འགའ་ཞིག་དྲི་བའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་འོང་བར་འགྱུར་ཏེའདི་ནི་དེའི་སྔ་ལྟས་སོ། ། ||| They are coming to the Sahā world to ask questions about the present Dharma teaching. This is what the omen symbolized.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Venerable Śāriputra asked the Blessed One,
བཅོམ་ལྡན་འདས་ཅི་ལགས། ||| “Blessed One, how can this be?
