འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| When they arrived at the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha they also went before the Blessed One, bowed their heads to his feet, and sat to one side.
ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བཟང་སྐྱོང་དང་། དཀོན་མཆོག་འབྱུང་གནས་དང་། དེད་དཔོན་བཟང་པོ་དང་། ཕུག་སྦས་དང་། མིས་བྱིན་དང་། དབང་པོས་བྱིན་དང་། ཆུ་ལྷ་དང་། ཚངས་ལྷ་དང་། སྟོབས་བཟངས་དང་། བླ་མའི་བློ་གྲོས་དང་། ཁྱད་པར་བློ་གྲོས་དང་། འཕེལ་བའི་བློ་གྲོས་དང་། མཐོང་བ་དོན་ཡོད་དང་། ལེགས་པར་ཡང་དག་ཞུགས་དང་། རབ་ཀྱི་རྩལ་གྱིས་རྣམ་པར་གནོན་དང་། རྟག་ཏུ་བརྩོན་དང་། བརྩོན་པ་མི་གཏོང་དང་། ཉི་མའི་སྙིང་པོ་དང་། འགྲོ་བ་འཛིན་དང་། ས་འཛིན་དང་། བདུད་རྩི་འཛིན་དང་། བློ་གྲོས་རབ་གནས་དང་། བློ་གྲོས་མཐའ་ཡས་དང་། བརྟན་པའི་བློ་གྲོས་དང་། འཇིག་རྟེན་གསུམ་རྣམ་པར་གནོན་དང་། མཐའ་ཡས་རྣམ་པར་གནོན་དང་། དཔག་མེད་རྣམ་པར་གནོན་དང་། རྡོ་རྗེའི་གོམ་པས་རྣམ་པར་གནོན་དང་། དོན་ཡོད་པའི་གོམ་པས་རྣམ་པར་གནོན་དང་། མི་གཡོ་བའི་གོམ་པས་རྣམ་པར་གནོན་དང་། སྤོབས་པ་ཆེན་པོ་དང་སྤོབས་པ་རྣོན་པོ་དང་། སྤོབས་པ་ཟབ་པ་དང་། སྤོབས་པ་མཐའ་ཡས་དང་། སྤོབས་པ་དཔག་མེད་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། པད་མ་དཔལ་གྱི་སྙིང་པོ་དང་། ཆོས་འཕགས་དང་། ལག་ན་རིན་ཆེན་དང་། རིན་ཆེན་འཛིན་དང་། བསྐལ་པ་འགྱུར་བ་མཐའ་ཡས་པར་གོ་ཆ་བགོས་པ་དང་། བུད་མེད་འགྱུར་བའི་གོ་ཆ་བགོས་པ་དང་། སྐྱེས་པ་འགྱུར་བའི་གོ་ཆ་བགོས་པ་དང་། སེམས་ཅན་འགྱུར་བའི་གོ་ཆ་བགོས་པ་དང་། མཐའ་ཡས་ཁྱུ་མཆོག་དང་། དཔག་མེད་ཁྱུ་མཆོག་དང་། དམིགས་པ་ཐམས་ཅད་རྣམ་པར་འཇིག་པའི་ཁྱུ་མཆོག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ཐམས་ཅད་ཀྱང་ཐ་མི་དད་པར་སྤྱོད་པའི་གོ་ཆ་བགོས་པ་ཤ་སྟག་སྟེ། ||| Traveling at that time were also the bodhisattva great beings Bhadrapāla, Ratnākara , Susārthavāha, Guhagupta, Naradatta, Indradatta, Varuṇa, Brahmādeva, Balabhadra, Viśeṣamati, Vardhamānamati, Amoghadarśin , Susaṃ­prasthita, Suvi­krānta­vikrāmin, Nityo­dyukta, Anikṣiptadhura, Sūryagarbha, Jagatīṃdhara, Dharaṇīṃdhara, Amṛtaṃdhara, Susthitamati, Anantamati , Dṛḍhamati, Trailo­kyavi­krāmin, Anantavikrāmin , Apra­meya­vikrāmin, Vajra­pada­vikrāmin, Amogha­pada­vikrāmin , Acala­pada­vikrāmin, Mahāpratibhāna, Tīkṣṇa­prati­bhāna, Gambhīra­pratibhāna, Ananta­pratibhāna , Aprameya­prati­bhāna, Mañjuśrī­kumāra­bhūta, Padmaśrīgarbha, Dharmodgata, Ratnapāṇi, Ratnadhara, Bearer of the Armor for Infinite Eons, Bearer of the Armor of Female Forms, Bearer of the Armor of Male Forms, Bearer of the Armor of the Forms of Sentient Beings, Infinite Leader, Unfathomable Leader , and Leader Destroying All Reference Points. All these bodhisattva great beings had equally donned the armor of activity, and
ཡུལ་ཐ་དད་པ་རྣམས་སུ་དབྱར་གནས་པར་གནས་ནས་ཡུལ་རྒྱུ་ཞིང་གཅིག་ཏུ་འདུས་ཏེ། ||| while they had observed the rains retreat at different locations, they were now gathered in one group, and so
རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| they also arrived at the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha. Upon their arrival, they went before the Blessed One, bowed their heads to his feet, and sat to one side.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་འདུས་པར་ཐུགས་སུ་ཆུད་ནས། རྫུ་འཕྲུལ་ཇི་ལྟ་བུའི་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་མཛད་པས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན། དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་དགེ་བསྙེན་མ་ཇི་སྙེད་གནས་པ་དེ་དག་ཐམས་ཅད་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་ཕྱག་འཚལ་བ་དང་བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་པར་འགྱུར་བ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་མཛད་དོ། ། ||| Knowing that this gathering of bodhisattva great beings had assembled, the Blessed One performed a miraculous feat. Thus, by the doing of the Blessed One, all the monks and nuns, as well as all the male and female lay practitioners, who were present near the Kalandaka­nivāpa in the Veṇuvana by the city of Rājagṛha now approached the grove and the place where the Blessed One was. They came there in order to see the Blessed One, pay him their respect, and offer him their worship. As they arrived before him, they each bowed their heads to the feet of the Blessed One, and then sat to one side.
དེའི་ཚེ་ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་ལུས་འཕགས་རི་ལ་དབང་པོའི་བྲག་ཕུག་ན་དགེ་སློང་ལྔ་བརྒྱ་ཐམ་པ་ཐམས་ཅད་ཀྱང་དགོན་པ་པ། བསོད་སྙོམས་པ། ཕྱག་དར་ཁྲོད་པ། ཆོས་གོས་གསུམ་པ། ཅོག་པུ་པ། རྩྭའི་གདིང་བ་པ། ཤིང་དྲུང་པ། འདོད་པ་ཉུང་བ། ཆོག་ཤེས་པ། རབ་ཏུ་དབེན་པ་པ། ཆོས་གོས་ངན་པ་འཆང་བ་ཤ་སྟག་དང་ལྷན་ཅིག་ཏུ་འདུག་གོ། ། ||| At that time Mahākāśyapa was dwelling in the Indra­śailaguha cave on Vaidehaka Mountain together with five hundred monks. They were all forest dwellers, receivers of alms, wearers of refuse rags, wearers of the three Dharma robes, upright dwellers, users of the grass mat, dwellers at the foot of trees, men of few desires, men of contentment, recluses, and wearers of inferior Dharma robes.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རྫུ་འཕྲུལ་ཇི་ལྟ་བུ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་མཛད་པས། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་དགེ་སློང་ལྔ་བརྒྱ་ཐམ་པ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་ལུས་འཕགས་རིའི་དབང་པོའི་བྲག་ཕུག་ནས་མི་སྣང་བར་གྱུར་ཏེརྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན་འདུག་པ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་མཛད་དེ། ||| Now, as the Blessed One effected his miraculous deed, Mahākāśyapa and the five hundred monks disappeared from the Indra­śailaguha cave on Vaidehaka Mountain and emerged at the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha. Such was the Blessed One’s miraculous activity.
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་རྒྱང་རིང་པོ་ཉིད་ནས་འོང་བ་གཟིགས་ཏེ། གཟིགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| Perceiving the venerable Mahākāśyapa’s arrival from afar, the Blessed One said to his monks,
དགེ་སློང་དག་གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་འོང་བ་འདི་ནི་དགོན་པ་པ། བསོད་སྙོམས་པ། ཕྱག་དར་ཁྲོད་པ། ཆོས་གོས་གསུམ་པ། ཆོས་གོས་ངན་པ་འཆང་བ། བས་མཐའི་གནས་མལ་ལ་གནས་པ། འདོད་པ་ཆུང་བ། ཆོག་ཤེས་པ། རབ་ཏུ་དབེན་པར་གནས་པ། མ་འདྲེས་པ། ཆོས་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་དུ་སོན་པ་སྟེ། ||| “Monks, the elder Mahākāśyapa, who has just arrived, is a forest dweller, a receiver of alms, a wearer of refuse rags, a wearer of the three Dharma robes, a wearer of inferior Dharma robes, a hermit, a man of few desires, a man of contentment, a recluse, an incorruptible one, and a master of the entire Dharma.
དགེ་སློང་དག་ངའི་ཉན་ཐོས་ཇི་སྙེད་པ་ནི་དགེ་སློང་དག་ད་ལྟར་དགེ་སློང་འོད་སྲུང་ཆེན་པོའི་སྦྱངས་པའི་ཡོན་ཏན་དག་དང་མཚུངས་པའམ་འདྲ་བ་ནི་ངས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ངོ་། ། ||| Monks, in terms of the ascetic practices, all my hearers should be equal or comparable to the monk Mahākāśyapa.
དགེ་སློང་དག་དགེ་སློང་འོད་སྲུང་ཆོས་གོས་གསུམ་པ་ནི་ལྷ་རྣམས་དང་ཡང་སྨྲ་བ་དང་ཀུན་དུ་སྨྲ་བར་མི་འདོད་ན་མི་རྣམས་དང་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| Monks, since the monk and wearer of the three Dharma robes, Mahākāśyapa, does not even wish to speak with the gods, what need is there to mention his disinterest in human conversation.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་རྒྱང་རིང་པོ་ཉིད་ནས་འོང་བ་གཟིགས་ནས་བཀའ་སྩལ་པ། ||| When the Blessed One saw Mahākāśyapa arriving from afar, he said,
འོད་སྲུང་ཚུར་ཤོག་འོད་སྲུང་ཁྱོད་ལེགས་པར་འོངས་སོ། ། ||| “Kāśyapa, come here. Be welcome here, Kāśyapa.
ཀྱེ་མ་གནས་བརྟན་འོད་སྲུང་གིས་ནི་འདི་ལྟ་སྟེ། འདིར་འོང་བར་བྱ་བའི་ཕྱིར་ཡུན་རིང་པོ་ནས་རྣམ་གྲངས་བྱས་སོ། ། ||| Ah, the elder Kāśyapa has traveled far to be here.
འོད་སྲུང་ཁྱོད་གདན་འདིའི་ཕྱེད་ལ་འདུག་ཤིག་ཅེས་བཅོམ་ལྡན་འདས་ཀྱིས་གནས་བརྟན་འོད་སྲུང་ལ་གདན་གྱི་ཕྱེད་གནང་མ་ཐག་ཏུ་དེ་ནས་བཅོམ་ལྡན་འདས་གདན་དེ་ལས་བསྐྱོད་པ་དང་། སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་འགུལ། རབ་ཏུ་འགུལ། ཀུན་དུ་རབ་ཏུ་འགུལ། གཡོས་རབ་ཏུ་གཡོས། ཀུན་དུ་རབ་ཏུ་གཡོས། ལྡེག་རབ་ཏུ་ལྡེག །ཀུན་དུ་རབ་ཏུ་ལྡེག་ཅིང་འཇིག་རྟེན་དུ་སྣང་བ་ཆེན་པོ་ཡང་བྱུང་བར་གྱུར་ཏོ། ། ||| Take this free seat, Kāśyapa.” As soon as the Blessed One had thus given a seat to the elder Kāśyapa, the Blessed One caused a tremor to arise from that seat, so that the entire trichiliocosm quivered, shivered, and trembled; vibrated, quaked, and moved; and rattled, shook, and convulsed. At the same time, the world became engulfed in a great light.
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ནི་འདི་ལྟ་སྟེ། དཔེར་ན་ཡུལ་མ་ག་དྷཱའི་ཁར་བའི་སྣོད་ལ་ལྕགས་ཀྱི་ཐུ་ལུམ་གྱིས་བསྣུན་ན་འུར་འུར་ཟེར་བ་དེ་བཞིན་དུ་བཙུན་པ་འོད་སྲུང་ཆེན་པོ་ལ་གདན་གྱི་ཕྱེད་གནང་མ་ཐག་ཏུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གདན་ལས་བསྐྱོད་ནསདེ་ནས་དེ་མ་ཐག་ཏུ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་སྒྲ་སྐད་ཆེན་པོ་འབྱིན་ཏོ། ། ||| Just as a jar of alloyed metal produced in Magadha emits a deep, reverberating sound when it is struck with an iron hammer, so too from the tremor arising from the seat he had just given to the venerable Mahākāśyapa, the Thus-Gone One, the Worthy One, the Truly and Completely Awakened One likewise now caused a great sound to reverberate throughout the entire trichiliocosm.
དེ་ནས་ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་ཆོས་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ||| The venerable Mahākāśyapa then draped his Dharma robe over one shoulder, knelt on his right knee, and, bowing toward the Blessed One, joined his palms in respect.
བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་ཕྱིན་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་གཏུགས་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| He approached the Blessed One, bowed his head to the Blessed One’s feet, and said,
བཅོམ་ལྡན་འདས་ནི་བདག་གི་སྟོན་པ་ལགས་ལ་བདག་ནི་ཉན་ཐོས་ལགས་པས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཆོས་གོས་སམ། ལྷུང་བཟེད་དམ། གདན་ནམ། དེ་ལས་གཞན་པའི་ལོངས་སྤྱོད་རྣམས་ཉན་ཐོས་རྣམས་ཀྱིས་ལོངས་སྤྱད་པར་རྔོ་མི་ཐོགས་ལགས་སོ། ། ||| “Blessed One, you are my teacher, and I am your hearer. Thus, for us hearers it would not be appropriate to enjoy the Dharma robe, alms bowl, cushion, or any other object used by the Blessed One, the Thus-Gone One, the Worthy One, the perfect Buddha himself.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why is that so?
བཅོམ་ལྡན་འདས་དེ་དག་ནི་ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དུ་བཅས་པའི་འཇིག་རྟེན་གྱི་མཆོད་རྟེན་དུ་གྱུར་པ་ལགས་ཤིང་། བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ལས་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་པ་གང་དག་བླངས་པ་དེ་དག་ཀྱང་། བཅོམ་ལྡན་འདས་མཆོད་རྟེན་དུ་གྱུར་པ་ལགས་པའི་སླད་དུ་སྟེ། དེ་དག་བདག་གིས་མ་སྤྱད་ལགས་སོ། ། ||| Because, Blessed One, for the entire world including its gods, humans, and demigods these serve as a basis for worship. Nor, Blessed One, shall I use the refuse rags that the Blessed One dons, because such garments serve as a basis for the worship of the Blessed One.
བཅོམ་ལྡན་འདས་དེ་སླན་ཆད་འདོད་པའི་རྣམ་པར་རྟོག་པའི་རྣམ་པར་བརྟགས་པའམ། གནོད་སེམས་ཀྱི་རྣམ་པར་རྟོག་པ་དང་། རྣམ་པར་འཚེ་བའི་རྣམ་པར་རྟོག་པའི་རྣམ་པར་བརྟགས་པའམ། འདོད་ཆགས་ཀྱི་ཡོངས་སུ་གདུང་བས་གདུངས་པར་གྱུར་པའམ། ཞེ་སྡང་གི་ཡོངས་སུ་གདུང་བ་དང་། གཏི་མུག་གི་ཡོངས་སུ་གདུང་བས་ཡོངས་སུ་གདུངས་པར་གྱུར་པར་མ་དྲན་ལགས་སོ། ། ||| “Blessed One, from now on I shall not entertain any thoughts of desire, ill will, or malice. I shall not bring to mind any of the torments of desire, anger, or delusion.
བཅོམ་ལྡན་འདས་མདོར་ན་སློབ་པར་གྱུར་པ་བདག་གིས་བཅོམ་ལྡན་འདས་ལས་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་མ་ནོས་པ་རྣམས་མི་སློབ་པའི་ས་ལ་ཐུག་གི་བར་དུ་སྤྱི་བོས་མནོས་ལགས་སོ། ། ||| Blessed One, in short, for as long as I train, and until I have reached the ground of no more training, I shall place the Blessed One’s refuse rags at the crown of my head.
བཅོམ་ལྡན་འདས་བདག་གིས་ལོངས་སྤྱད་པའི་སླད་དུ་བླངས་པ་ནི་མ་ལགས་ཀྱི་གདམས་པ་དང་། རྗེས་སུ་བསྟན་པ་ལས་བརྩམས་ནས་བླངས་ལགས་སོ། ། ||| Blessed One, such garments I do not receive for my enjoyment but for the sake of practicing the instructions and advice.
བཅོམ་ལྡན་འདས་དེ་དག་བླངས་ནས་སེམས་མཐོ་བའམ་དམའ་བར་གྱུར་པར་མི་དྲན་ལགས་སོ། ། ||| Blessed One, as I take up such garments I think myself neither superior nor inferior.
བཅོམ་ལྡན་འདས་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་དེ་དག་ཆོས་གོས་མ་མཆིས་པའི་ལུས་ལ་སྤྱད་པར་མི་དྲན་ལགས་སོ། ། ||| Blessed One, I do not think of the refuse rags as something to be worn on the body in the absence of Dharma robes.
བཅོམ་ལྡན་འདས་ཕྱག་དར་ཁྲོད་དེ་དག་སུག་པ་མ་སེར་བས་རེག་པར་མི་དྲན་ལགས་སོ། ། ||| Blessed One, I do not think of the refuse rags as something that should be touched by unwashed hands.
བཅོམ་ལྡན་འདས་གང་དང་གང་དུ་མཆི་བ་དེ་དང་དེར་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་དེ་དག་མགོས་འཚལ་ཅིང་མཆིས་ལགས་སོ། ། ||| Blessed One, wherever I may be, I will always prostrate to the refuse rags.
བཅོམ་ལྡན་འདས་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་དེ་དག་ཡན་ལག་མི་གཙང་བ་གང་གིས་ཀྱང་རེག་པར་མི་དྲན་ལགས་སོ། ། ||| Blessed One, I do not think of the refuse rags as something that should be touched by any unclean limb.
