༄༅༅། །རྒྱ་གར་སྐད་དུ། རཱ་ཛ་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
རྒྱལ་པོ་ལ་གདམས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra Advice to a King (1) Advice to King Bimbisāra
སྐྱོ་བར་བྱས་ན་ཐར་བར་འགྱུར། ། ||| Where there is dissatisfaction, there will be liberation.”
ཞེས་པ་དེ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་ཐོས་པས་མོས་པར་གྱུར་ཏེ་ཐད་དུ་སོང་ནས་ཐལ་མོ་སྦྱར་ཏེ་འཁོད་པ་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| On hearing this, King Bimbisāra became respectful and went before the Buddha with his palms joined.
རྒྱལ་པོ་ཆེན་པོ་ཆོས་ལ་མོས་པར་བྱ། ཁོང་དུ་ཆུད་པར་བྱ། བསྒོ་བར་བྱ། ཡིད་འབྱུང་བར་བྱའོ། ། ||| When he had taken a seat, the Blessed One said, “Great King, take interest in the Dharma, take it in, request for it to be taught, and be disillusioned.”
རྒྱལ་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་གང་ལ་སྐྱོ་བར་བགྱི། ཡིད་འབྱུང་བར་བགྱི། ||| The king inquired, “Blessed One, with what should I be dissatisfied and disillusioned?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཁོར་བ་ལས་སྐྱོ་ཞིང་ཡིད་འབྱུང་བར་བྱའོ། ། ||| “Be dissatisfied and disillusioned with saṃsāra,” replied the Blessed One.
རྒྱལ་པོས་གསོལ་པ། ཅིའི་ཕྱིར་འཁོར་བ་ལས་སྐྱོ་ཞིང་ཡིད་འབྱུང་བར་བགྱི། ||| “Why should I be dissatisfied and disillusioned with saṃsāra?” asked the king.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཁོར་བ་འདི་མི་རྟག་པ་དང་། སྡུག་བསྔལ་བའི་ཕྱིར་རོ། ། ||| “Because saṃsāra is impermanence and suffering,” he replied.
རྒྱལ་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་འཁོར་བ་འདི་ཇི་སྐད་མི་རྟག་པ་ལགས། ||| “How is saṃsāra impermanence, Blessed One?” inquired the king.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། སྣོད་ཀྱི་འཇིག་རྟེན་འདི་ཡང་མི་རྟག་ལ། བཅུད་ཀྱི་སེམས་ཅན་ཡང་མི་རྟག་གོ། ། ||| “This container, the world, is impermanent, and its contents, sentient beings, are also impermanent,” replied the Blessed One.
རྒྱལ་པོས་གསོལ་པ། སྣོད་ཀྱི་འཇིག་རྟེན་ཇི་ལྟར་མི་རྟག་པ་ལགས། ||| “How is this container, the world, impermanent?” asked the king.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། སྣོད་ཀྱི་འཇིག་རྟེན་རི་རབ་གླིང་ཁམས་ཀྱང་། །འཇིག་པའི་དུས་ཚེ་བསྐལ་པའི་མེ་བྱུང་ནས། །ཐལ་བའི་ལྷག་མ་ཙམ་ཡང་མ་ལུས་སོ། ། ||| The Blessed One replied: “When the time of destruction and the fires at the end of the eon rise, Nothing will remain, not even ashes, Of this container-world with its Mount Meru and the continents.
ཆུ་དང་རླུང་གིས་འཇིག་པ་དེ་བཞིན་ནོ། ། ||| So too shall it be with the destructions by water and by wind.
གཞན་ཡང་དབྱར་དྲོད་སྐྱེ་ལ་དགུན་གྲང་སྐམ། ། ||| “Or again, that which grows in warm summer rain dries up in the cold of winter.
ལོ་ལེགས་ལོ་ཉེས་ཐན་ཞོད་ངེས་པ་མེད། ། ||| Good crops, bad crops, drought, or deluge—there is no certainty.
ལོ་ཟླ་འདས་ཤིང་འཇིག་པའི་དུས་དང་ཉེ། ། ||| As the months and years pass, the time of destruction draws ever nearer.
དེ་ལ་སོགས་ཏེ་མི་རྟག་མངོན་སུམ་ནི། །རྟག་པ་ཡིན་ན་ཅི་ཕྱིར་འགྱུར་ཞིང་འགྲོ། ། ||| “Impermanence is evident from these and other examples, For if there were permanence, how could there be change?”
རྒྱལ་པོས་གསོལ་པ། བཅུད་ཀྱི་སེམས་ཅན་ཇི་ལྟར་མི་རྟག་པ་ལགས། ||| “How are the contents, sentient beings, impermanent?” asked the king.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། བཅུད་ཀྱི་སེམས་ཅན་ཚེ་འདི་ཉིད་ལ་ཡང་། །ཉིན་ཞག་ལོ་ཟླ་རིམ་གྱིས་གཅོད་བྱེད་པས། །ཉིན་ཞག་འདས་ཤིང་འཆི་དང་ཕར་ཕར་ཉེ། ། ||| The Blessed One replied: “For the contents, for sentient beings, this life is just the same— Counting off the days, the months, and years, With every day that passes, death draws ever nearer.
མི་ཤིར་འདོད་ཀྱང་རང་ལ་རང་དབང་མེད། ། ||| “Though we would like not to die, it is beyond our control.
སྐྱེ་རྒ་ན་འཆི་རང་ཐག་རི་མོ་འདྲ། །འཆི་བདག་བདུད་ནི་སོ་བྱ་ཉ་སྡོད་འདྲ། ། ||| Birth, old age, sickness, and death are like pictures we draw ourselves, While Māra, Lord of Death, looks on like a black heron waiting for fish.
འཆི་བའི་རྐྱེན་ནི་བསམ་གྱིས་མི་ཁྱབ་སྟེ། ། ||| “Causes of death are more numerous than can be conceived.
འཆི་རྐྱེན་མ་སོང་དངོས་པོ་གང་ཡང་མེད། ། ||| There is nothing at all that has not been a cause of death.
ལུས་འདི་ཟས་ཀྱིས་འཚོ་ཡང་བརྣངས་ནས་འཆི། ། ||| This body is sustained by eating, but choke on your food, and you will die.
འཇིག་རྟེན་འདི་ན་ཆེ་ཆུང་ཕྱུག་དབུལ་ཀུན། །འཆི་བདག་དབང་དུ་མི་འགྱུར་གང་ཡང་མེད། ། ||| In this world there are none—neither great nor small, neither rich nor poor— Who have power over the Lord of Death.
སྔ་མ་ཤི་བའི་མི་རྣམས་ཀུན་གྱིས་ཀྱང་། ། ||| “Those people who have died in the past, They too hoped that things would last.
རྟག་ཏུ་རེ་ནས་བུ་དང་ནོར་བསགས་ཀྱང་། །བུ་ནོར་ཕྱིར་ལུས་བདག་ལ་ཕན་པ་མེད། །རང་གི་དགེ་སྡིག་གཉིས་དང་འགྲོགས་ཏེ་འཆི། ། ||| They gathered children and wealth around them, But neither their children nor their wealth, Nor even, in the end, their bodies, were of any use, For in death we are accompanied by our good and bad deeds alone.
ད་ལྟར་རང་གི་གནས་པའི་རིང་འདི་ལའང་། །དགའ་བཤེས་གཉེན་འདུན་མཛའ་དང་མི་མཛའ་དང་། །ན་ཚོད་འཐུན་དང་རྒན་གཞོན་ཇི་སྙེད་ཅིག །ཤི་བ་མཐོང་ཞིང་ཐོས་པ་མ་ཡིན་ནམ། ། ||| “Even now, while still living, Haven’t you seen, or haven’t you heard, Of friends or relatives— Those you like or those you do not, Those your own age, or older, or younger— Who have died?
ས་སྟེང་གནས་པའི་སེམས་ཅན་འདི་ཀུན་ཡང་། །ལོ་བརྒྱ་ཚུན་ཆད་སྡོད་ཀྱང་མ་ལུས་འཆི། ། ||| “Everyone who lives upon this earth May survive up to a hundred years, But all will die, without exception.
དེ་བས་རང་རེའང་འཆི་བའི་ཆོས་ཅན་ཡིན། ། ||| It is our nature, each and every one of us, to die.
དེང་འཆི་སང་འཆི་སུས་ཀྱང་མི་ཤེས་ཏེ། ། ||| Whether death will come today or tomorrow, No one knows.
ཚོད་འཛིན་པ་ཡང་མི་འཇིགས་སྦྱིན་མེད་པས། སང་ཕོད་དེང་སང་བདག་ཉིད་ཇི་ལྟར་འགྱུར། ། ||| “Even having the measure of it offers no respite from fear, For what will happen next year, or this very day?
འཆི་བའི་ཚེ་ན་ཕ་མ་བུ་ཚ་དང་། །ཕུ་ནུ་མཛའ་བཤེས་བྲན་ཁོལ་ནོར་ཀུན་ཀྱང་། །བདག་ཉིད་འཆི་བའི་ཕྱི་ན་འོང་མེད་པས། ། ||| “When you die, neither your parents nor your sons, Neither your relatives nor friends, Neither your servants nor all your possessions Will accompany you beyond death.
སྡུག་བསྔལ་སྐལ་ལེན་འགའ་ཡང་ཡོད་མ་ཡིན། ། ||| None will share even a part of your pain.
དེ་བས་སྐྱེས་ཀྱང་བདག་ཉིད་གཅིག་པུ་སྐྱེས། ཐ་མ་འཆི་ཡང་བདག་ཉིད་གཅིག་པུ་འཆི། ། ||| “At birth, you are born alone, And in the end, at death, you will die alone.
སྐད་ཅིག་ཚེ་ལས་འཐུན་པ་ཉེ་གཞི་རྣམས། ། ||| In an instant, all that you hold nearest and dearest in life Will depart, like guests returning home after a brief stay.
འགྲོན་པོ་གནས་འཐུན་ཙམ་སྟེ་སོ་སོར་འགྲོ། །སྐད་ཅིག་ཙམ་ཡང་འབྲལ་བར་མི་ཕོད་པའི། །གཉེན་དང་ནོར་རྫས་ཡུལ་མཁར་ཀུན་བོར་ནས། །བདག་ཉིད་གཅིག་པུ་འཇིགས་པའི་ལམ་དུ་འགྲོ། ། ||| “That which you dare not part with, even for a moment— Relatives, possessions, land, and home—all will be left behind, As you embark on the fearful road alone.
ཇི་ཙམ་སྡིག་དང་བསྡོས་ནས་ནོར་བསགས་ཀྱང་། སྡིག་པའི་རྣམ་སྨིན་རྨོངས་པ་བདག་ཉིད་འཁུར། །བསགས་པའི་ནོར་ནི་ཁོང་དག་བུ་ཚས་འཁྱེར། །དེ་ཕྱིར་བསགས་པའི་ནོར་གྱིས་ཅི་ཞིག་ཕན། ། ||| “Wealth may be accumulated through this or that connivance or dispute, But while the obscurations incurred by such wrongdoing must be borne, The wealth accumulated thereby will soon be carried away by relatives, So what is gained by amassing wealth?
བདག་ལ་ཤིན་ཏུ་ཕངས་པའི་ལུས་འདི་ཡང་། །ཤི་བའི་དུས་སུ་རྫ་ཞིག་བཞིན་དུ་འབོར། ། ||| “Even this body that is held so dear Will be discarded at death, like a used earthenware pot.
ལྷན་ཅིག་སྐྱེས་པའི་ཤ་རུས་གཉིས་ཀྱང་འབྱེ། ། ||| Even flesh and bone, born together, will come asunder.
དབང་མེད་བདག་ཉིད་གཅིག་པུ་འཁྱམས་ནས་ནི། །ལས་ཀྱི་དབང་གིས་གང་དུ་སྐྱེས་གྱུར་ན། ། ||| Powerless, you will wander alone, Until by the power of karma you are reborn.
དེ་བས་ལུས་ཀྱི་ཕྱིར་ནི་སྡིག་མི་བྱ། ། ||| So, for the sake of the body, do no wrong.
ལུས་འདི་ས་གཏིང་འགྲོ་སྟེ་ཆོག་མི་ཤེས། །མི་གཙང་ལས་བྱུང་མི་གཙང་ཕུང་པོ་ཡིན། ། ||| “Do not be content with this body that treads the firm earth— It is an impure heap, born from impure karma.
ན་རྒ་འཆི་སོགས་སྡུག་བསྔལ་ཀུན་གྱི་གནས། ། ||| Subject to sickness, old age, and death, it is the site of every suffering.
ཤི་ནས་ལུས་བོར་ས་ཡི་ཕྱོགས་ཙམ་བཙོག །བྱ་དང་ཁྱི་སྤྱང་ལ་སོགས་རྣམས་ཀྱིས་ཟ། ། ||| Once dead, it is nothing but some filth to be discarded anywhere, For birds, jackals, and other animals to feed upon.
བསྙེན་བཀུར་འབད་ཀྱང་འཆི་བདག་སྲིན་པོས་འཕྲོག ། ||| Even if efforts are made to respect and venerate them, The Lord of Death and his demons will drag you away.
མཁས་པས་སྨོད་ཅིང་བླུན་པོ་ཆགས་པའི་གནས། །དེ་བས་མཁས་པ་ལུས་ལ་སུ་ཞིག་ཆགས། ། ||| “Disparaged by the wise and an object of attachment for fools— What learned person is attached to the body?
ལུས་ཀྱི་ཕྱིར་ནི་ཡ་ངར་འཇུག་མི་བྱ། ། ||| So do not fret for the sake of the body.
འདི་ལ་གླ་རྔན་གོས་ཟས་བྱིན་ནས་སུ། །ཡུན་གྱི་ཕན་ཕྱིར་བསོད་ནམས་སོག་ཏུ་གཞུག །བདག་གི་གྲོགས་ནི་དགེ་སྡིག་གཉིས་ལས་མེད། ། ||| For the sake of this life, dispense wages for food and clothing, But for lasting benefit, make merit and so on, For the only friends you will have at death are your own good and bad deeds.
དེ་ཡང་དགེ་བ་མཐོ་རིས་ཐར་པའི་རྒྱུ། །སྡིག་པ་ངན་སོང་སྡུག་བསྔལ་འབྱུང་བའི་རྒྱུ། ། ||| While good deeds lead to higher realms and liberation, Bad deeds lead to the suffering of the lower realms.
མ་ཤི་བར་དུའང་ལུས་ནི་མི་རྟག་སྟེ། ། ||| “Even before death, this body is impermanent.
བུ་ཆུང་བྱིས་པ་གཞོན་ནུ་ཉིད་དུ་འགྱུར། །དེ་ནས་དར་ལ་བབ་དང་དར་ཡོལ་དང་། ། ||| From a small child you grow into a youth, Then on to adulthood, middle age, and old age.
རྒས་པར་གྱུར་ཏེ་ལུས་འདི་རྟག་ན་ནི། །གནས་སྐབས་དེ་སྙེད་ཅིག་ནི་ཅིས་ཏེ་འགྱུར། ། ||| If the body were permanent, How could there be such phases?
ལོངས་སྤྱོད་བདེ་སྡུག་རྣམས་ཀྱང་མི་རྟག་སྟེ། ། ||| “The objects of experience, those that bring pleasure and pain, are also impermanent.
བཙན་ཕྱུག་འཛོམ་པ་སྡུག་ཕོངས་ཅན་དུ་འགྱུར། །སྡུག་ཕོངས་ཅན་ཡང་བཙན་ཕྱུག་འཛོམ་པར་འགྱུར། ། ||| Those who have power and wealth may become miserable and destitute, And those who are miserable and destitute may become powerful and wealthy.
ལང་ཚོ་ལོངས་སྤྱོད་ན་རྒ་འཆི་བས་འཇོམས། ། ||| The enjoyments of youth are ravaged by illness, aging, and death.
འཇིག་རྟེན་ཆོས་འདི་ཐམས་ཅད་མི་རྟག་གོ། ། ||| All these worldly phenomena are impermanent.”
རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་འཁོར་བ་པ་འདིའི་སྡུག་བསྔལ་ཇི་ལྟ་བུ་ལགས། ||| King Bimisāra asked, “Blessed One, what are the sufferings of beings in saṃsāra?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཁོར་བ་པ་ལ་ནམ་ཡང་བདེ་བ་མེད། ། ||| The Blessed One replied, “For beings in saṃsāra there is never any lasting happiness.
བྱས་པ་ཐམས་ཅད་དོན་མེད་སྡུག་བསྔལ་རྒྱུ། །སྡུག་བསྔལ་གཙོ་བོ་སྐྱེ་རྒ་ན་འཆི་བཞི། ། ||| The main kinds of suffering are four: birth, aging, illness, and death.
དམྱལ་བར་སྐྱེས་ན་སྡུག་བསྔལ་འདི་འདྲའོ། །དམྱལ་སྲུངས་དང་ནི་དམྱལ་བའི་མེ་མཐོང་ནས། །ཤིན་ཏུ་སྐྲག་དངངས་ཆོ་ངེས་ཆེར་འདེབས་ཤིང་། ། ||| “The sufferings of beings born in the hells are like this: Merely seeing the guards of hell and the fires of hell Sets off great wails of fear and terror.
རང་ལ་རྔན་འགྲང་སྔོན་གྱི་སྡིག་པ་ལ། །ཤིན་ཏུ་འགྱོད་ཀྱང་ཕན་པ་ཅི་ཡང་མེད། ། ||| Counting the cost to oneself and feeling deep remorse about one’s former actions Are of no use whatsoever.
ལུས་འདི་ཤིན་ཏུ་ཆེ་ལ་གཞོན་ཤ་ཅན། །ཚོར་བ་ཆེ་ཞིང་དྲག་པོའི་ལུས་ཐོབ་ནས། ། ||| “Some obtain massive bodies with tender skin, Subject to intense and violent sensations.
ཁ་ཅིག་རང་ལུས་མེ་ཡི་ཕུང་པོར་འབར། ། ||| Some have bodies that burn in a blazing mass of fire.
ཁ་ཅིག་ལྕགས་མཁར་ཁང་པ་སྦྲུམ་མར་རྡུང་། །འགྲེ་ལྡོག་བྱེད་ཅིང་ཕྱོགས་ནི་ཀུན་ནས་སྲེག ། ||| Some are crushed likes seeds in rooms with iron walls, Rolling back and forth, and burning all over.
ཁ་ཅིག་ལྕགས་ལས་བྱས་པའི་སྣོད་ཆེན་དུ། །སྤྱི་ཚུགས་འབྲུ་ཉུངས་ཆུ་ཁོལ་ཐུག་བཞིན་འཚེད། ། ||| “Others are thrown headfirst into huge iron cauldrons Where they cook like grains in a boiling soup.
ཁ་ཅིག་སོག་ལེས་འདྲ་ཞིང་གཏུན་ལ་རྡུང་། ། ||| Some are gashed by saws and pounded in mortars.
ཁ་ཅིག་གནས་དང་ཁང་པར་སྲུང་ཞིང་སྲེག །མེ་མ་མུར་དང་ཐལ་ཚན་ཆུ་ལ་སོགས། ། ||| Some are kept in dwellings and houses and roasted alive, Scorched by glowing embers, hot ashes, hot water, and such.
སྡུག་བསྔལ་མང་པོ་བསམ་གྱིས་མི་ཁྱབ་བོ། ། ||| There are tortures more numerous than can be conceived.
མི་ཡི་ལོ་ནི་འབུམ་དང་བརྒྱད་ཁྲི་ལ། །དམྱལ་བ་ཁ་ཅིག་ན་ནི་ཉིན་ཞག་གཅིག །དེ་ལ་སོགས་པ་བསྐལ་པའི་བར་དུ་གནས། ། ||| “Where a single day and night is a hundred eighty thousand human years, They stay in such hells for an eon.
ཤི་བར་དགའ་ཡང་འཆིར་ནི་མི་བཏུབ་བོ། །ལས་མ་ཟད་པ་ཁ་ཅིག་འཇིག་ཆགས་ཚེ། །འཇིག་རྟེན་བརྒྱུད་ཅིང་འཇིག་ཆགས་མེད་པར་སྐྱེ། ། ||| Even though they long for death, death does not come To those whose karma is not exhausted, Until the time when the world itself disintegrates And a new world is born again.
ཡི་དགས་སྐྱེས་པ་བཀྲེས་དང་སྐོམ་པས་གདུངས། །མགོ་བོ་རི་ཙམ་ཁ་ནི་ཁབ་མིག་ཙམ། །སྐེ་རྩ་རབ་ཕྲ་གསུས་པ་ཡུལ་ལྗོངས་ཙམ། ། ||| “Those born as pretas are tormented by hunger and thirst, With heads the size of mountains, mouths as narrow as the eye of a needle, Throats just as narrow, and bellies the size of districts.
བཟའ་བཏུང་མཐོང་ཡང་གཞན་གྱིས་བསྲུངས་པ་དང་། །རྣག་ཁྲག་ངན་སྐྱུགས་ལ་སོགས་གཞན་དུ་མཐོང་། ། ||| They see food and drink, but others guard these things, Or else they perceive them as something else—blood, pus, vomit, and the like.
ཁ་ཅིག་ཟོས་ཀྱང་ཁྲོ་ཆུ་ཁོལ་མར་འགྲོ། ། ||| Though some manage to eat, the food turns to molten metal in their throats.
བྱོལ་སོང་སྐྱེས་ན་གཅིག་ལ་གཅིག་ཟ་དང་། །རང་ལ་དབང་མེད་བཀོལ་བཏགས་རྡེག་འཚོག་དང་། །གཞན་གྱིས་གསོད་སོགས་གཏི་མུག་རྨོངས་པས་སྡུག ། ||| “Those born as animals eat one another, and, Mired in the sufferings of ignorance, they have no freedom— They are tied up, beaten, exploited, and killed by others.
མིར་སྐྱེས་ན་ཡང་མངལ་ན་གནས་པའི་ཚེ། ། ||| “Those born as humans suffer even while still in the womb.
མ་ནི་འགྲངས་ཚེ་བྲག་བར་བཙིར་བ་འདྲ། ། ||| When the mother eats her fill, it is like being crushed between rocks.
བཀྲེས་པའི་ཚེ་ན་སྤྱང་ལ་བཏང་བ་སྙམ། ། ||| When she is hungry, it is like being abandoned to wolves.
དྲག་ཤུལ་བྱེད་ཚེ་གཏུན་ལ་རྡུང་བ་སྙམ། ། ||| When she does heavy labor, it is like being pounded in a mortar.
བཙས་པའི་ཚེ་ན་པགས་པ་བཤུས་ནས་ནི། །རྩིག་པའི་ལོགས་ལ་དྲུད་པ་བས་ཀྱང་རྩུབ། །ཚ་འབྲུམ་བཀྲེས་སྐོམ་རྐང་ལག་ན་ནས་སྡུག ། ||| The experience of birth is as rough as being dragged along the side of a wall After the skin has been peeled off, While tormented by heat rashes, hunger, thirst, and aching limbs.
ཆེར་སྐྱེས་ན་ཡང་སོ་ནམ་བྲེལ་ཕོངས་དང་། །ཉེ་དུ་བྲལ་དང་དགྲས་བཅོམ་བུ་ལོན་དང་། ། ||| “When grown up, humans suffer by laboring in fields, through poverty, And by separation from loved ones, oppression by enemies, and debt.
བཀྲེས་སྐོམ་ཚ་གྲང་དོན་ལ་སོགས་པས་སྡུག ། ||| They also suffer from heat, cold, hunger, thirst, and the rest.
ཕོངས་པ་རྣམས་ནི་བཙལ་ཐབས་མེད་ནས་སྡུག །ཡོད་པ་རྣམས་ཀྱང་འཚོ་སྐྱོང་མེལ་ཚེས་སྡུག ། ||| While the poor have no means of escaping their hardship, try as they might, The wealthy suffer too, needing to be vigilant to protect what they have.
ཞིང་རྨོ་ཚོང་བྱེད་འདུ་བྱེད་ལས་ཀྱི་སྡུག ། ||| The work of farming and trading is suffering too.
དེ་ལ་སོགས་པའི་སྡུག་བསྔལ་བསམ་མི་ཁྱབ། ། ||| “Sufferings such as these and others are more numerous than can be conceived.
སྡུག་བསྔལ་གཞི་ནི་ཕལ་ཆེར་ལྟོ་རྒྱབ་གཉིས། །འཇིག་རྟེན་འདི་ཡི་བདེ་བའི་ལོངས་སྤྱོད་ཀྱང་། །ཕལ་ཆེར་ཕྱི་མའི་ངན་སོང་སྡུག་བསྔལ་རྒྱུ། ། ||| The bases of suffering are generally two—food and clothing— While even the pleasures of this world are for the most part The causes of suffering in lower rebirths later on.
ལྷ་མིན་སྐྱེས་ན་ང་རྒྱལ་ཕྲག་དོག་དང་། །ཁྲོ་གཏུམ་འཐབ་རྩོད་ལ་སོགས་དབང་གིས་སྡུག ། ||| “Those born as asuras endure suffering caused by Pride and envy, rage and conflict, and more.
ལྷར་སྐྱེས་ཀྱང་ནི་འཆི་འཕོ་ལྟུང་བ་དང་། །འཆི་ལྟས་ལྔ་དང་འདུ་བྱེད་དབང་གིས་སྡུག ། ||| “Those born as gods also endure suffering, such as the pain caused by Falling from heaven at death, the five signs of impending death, And the suffering of conditioned being.
རྒས་པ་ཡང་ནི་འདི་ལྟར་སྡུག་བསྔལ་ཏེ། །མགོ་དཀར་གཉེར་འདུས་གཞན་གྱིས་མཐོང་མི་མོས། །ཁ་སྣ་ཆུ་འཛག་རྐང་ལག་ཀུན་ཀྱང་འདར། ། ||| “The sufferings of the elderly are like this: White hair, gathering wrinkles, being ignored by others, Dribbles of spittle and snot at the mouth and nose, Trembling hands, and unsteady legs.
སེམས་ཀྱིས་དྲན་ཡང་ལུས་ལ་ཉམ་སྟོབས་མེད། ། ||| The body becomes too feeble to do what the mind intends.
བུ་ཚ་ཀུན་ཀྱང་ཤི་ན་རུང་སྙམ་སེམས། །ཞལ་ཏ་བྱས་ཀྱང་མི་ཉན་དབང་ཡང་ཤོར། ། ||| Relatives all consider you better off dead; Your advice is not heeded and your authority is lost.
ཁ་ཅིག་སྲིན་རྒན་ཤི་འཕྱིས་ཞེས་ཀྱང་ཟེར། ། ||| Some may even say, ‘That old monster should have died long ago.’
ཁ་ཅིག་བེར་དབྱུག་ཐོགས་ནས་རྡུང་བར་བྱེད། ། ||| Some may even threaten to beat you with cudgels and sticks.
