༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
བཅོམ་ལྡན་འདས་ནི་ཆོས་ཐམས་ཅད་ཀྱི་སྟོན་པར་གྱུར་པ་ལགས་ཏེ། ||| You are the teacher of the entire Dharma.
དེའི་སླད་དུ་བཅོམ་ལྡན་འདས་ལས་གང་ཐོས་ན་དགེ་སློང་རྣམས་འཛིན་པར་འགྱུར་བ་དེ་བཅོམ་ལྡན་འདས་ཉིད་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཤད་དུ་གསོལ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| For this reason, Blessed One, please explain to the monks what they should retain when they hear it from the Blessed One.”
བཅོམ་ལྡན་འདས་ཅང་མི་གསུང་བར་གྱུར་ཏེ། ||| The Blessed One at first did not reply.
ལན་གཉིས་ཀྱི་བར་དུ་གསོལ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་ངས་ཁྱོད་ལ་བཅོལ་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལས་བརྩམས་ཏེ། ཁྱོད་སྤོབས་པར་གྱིས་ཤིག ། ||| But when he had been requested a second time he said, “Śāradvatīputra, I have appointed you, so be inspired to speak confidently, beginning with the perfection of generosity of bodhisattva great beings.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་བཅོམ་ལྡན་འདས་ལས་གོ་སྐབས་གནང་བ་ཐོབ་ནས་བཅོམ་ལྡན་འདས་ཀྱི་མཐུས་ཐོག་མ་ཉིད་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་འདོམས་ཤིང་རྗེས་སུ་སྟོན་ཏེ། ||| Having been given the opportunity by the Blessed One, and due to the Blessed One’s power, Venerable Śāradvatīputra then began to explain and teach about the bodhisattva great beings’ perfection of generosity as follows. “
བཅོམ་ལྡན་འདས་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་སྤྱོད་པས་ཐོག་མ་ཉིད་དུ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་པར་བགྱི་ཞིང་སྦྱིན་པ་སྦྱིན་པར་བགྱིའོ། ||| Blessed One, when bodhisattva great beings practice the perfection of generosity, they should first turn their focus to the omniscient state, and then practice generosity.
།གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་པར་བགྱི་ནས་སྦྱིན་པ་སྦྱིན་ན། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ནི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་འཛིན་པ་ལགས་སོ། ||| If bodhisattva great beings practice generosity while focusing on the omniscient state, those bodhisattva great beings will be upholding the perfection of generosity.
།བྱང་ཆུབ་སེམས་དཔའ་ལྟ་བར་ལྷུང་བས་སྦྱིན་པ་སྦྱིན་པ་ནི་མི་སྔོའི་ཉན་ཐོས་ཀྱིས་འམ། རང་སངས་རྒྱས་ཀྱི་སར་བསྔོས་པ་ནི་དེ་ལྟ་མ་ལགས་སོ། ||| Bodhisattvas do not dedicate their generosity toward the level of the hearers or the level of the solitary buddhas, who have fallen into conceptual views and who do not practice dedicating merit.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why is that?
དེའི་འཇིགས་པ་ནི་དེ་ལགས་པར་འཚལ་བར་བགྱི་བའི་སླད་དུའོ། ||| Because they know they ought to be afraid of those states.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་ཅིའི་ཕྱིར་ན་དེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་འཇིགས་པ་ཡིན་པར་ཤེས་པར་བྱ། ||| Venerable Pūrṇa Maitrāyaṇīputra said to Venerable Śāradvatīputra, “Venerable One, why is it said that bodhisattva great beings are afraid of those states?”
སྨྲས་པ། ཉན་ཐོས་རྣམས་དང་འབྲས་བུ་མཉམ་པར་འགྱུར་དུ་འོང་བས་ན་དེའི་ཕྱིར་དེའི་འཇིགས་པ་ཡིན་པར་ཤེས་པར་བྱའོ། །དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| Venerable Śāradvatīputra replied, “They are afraid of them because they fear arriving at the same result as the hearers.”
།ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སྦྱིན་པ་སྦྱིན་པ་གང་ཡིན་པ་དང་། ཉན་ཐོས་དགྲ་བཅོམ་པ་མངོན་སུམ་དུ་བྱ་བར་འདོད་པ་སྦྱིན་པ་སྦྱིན་པ་གང་ཡིན་པ་འདི་ལ་བྱེ་བྲག་ནི་ཅི་ཡོད། ||| Venerable Pūrṇa Maitrāyaṇīputra said to Venerable Śāradvatīputra, “Venerable Śāradvatīputra, what is the difference between the practice of generosity of the bodhisattvas and the practice of generosity of the hearers, who practice generosity because they seek to actualize the state of a worthy one?
ཐ་དད་དུ་དབྱེ་བ་ནི་གང་ཡིན། ||| How can they be differentiated?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་ཐ་དད་དུ་དབྱེ་བ་ནི་འདི་ཉིད་ཡིན་ཏེ། གཅིག་ནི་གང་ཉན་ཐོས་ཀྱི་སར་ཡོངས་སུ་སྔོ་བར་བྱེད་ལ་ཅིག་ཤོས་ནི་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བར་བྱེད་པ་ཡིན་ནོ། ། ||| Venerable Śāradvatīputra replied, “Venerable Pūrṇa, they can be distinguished, since one group dedicates their merit to reach omniscience, while the other dedicates it in order to reach the level of the hearers.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ཚེ་དང་ལྡན་པ་དཔེར་ན་སྐྱེས་བུ་ལ་ལ་ཞིག་བདག་རྒྱལ་པོར་གྱུར་ཀྱང་ཅི་མ་རུང་སྙམ་དུ་རྒྱལ་པོའི་ས་ལ་དམིགས་ནས་སྦྱིན་པ་སྦྱིན་ལ། ||| Venerable One, to understand this, consider this analogy: One person may practice generosity out of the wish to be king, thinking, ‘How wonderful if I could be king!’
སྐྱེས་བུ་ཅིག་ཤོས་ནི་བདག་རྒྱལ་པོ་དེའི་ཡུལ་ན་གནས་ཀྱང་ཅི་མ་རུང་སྙམ་དུ་མངག་གཞུག་པར་ཁས་ལེན་པར་འདོད་དེ་སྦྱིན་པ་སྦྱིན་ཞིང་དེ་ལྟར་ཡོངས་སུ་སྔོ་ན། ||| And yet another person may practice generosity out of a wish to become a servant, thinking, ‘How wonderful if I could be a subject in the country of that king!’
སྐྱེས་བུ་དེས་སྐྱེས་བུ་སྔ་མ་དེས་དམིགས་པའི་རྒྱལ་པོའི་ས་གང་ཡིན་པ་དེ་ཉིད་ནོན་པར་ནུས་སམ། ||| Now, when the latter person dedicates his merit in that way, would that person ever come to attain the same royal level that the former person aimed for? “
ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནི་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་ནས་སྦྱིན་པ་སྦྱིན་ཞིང་ཡོངས་སུ་སྔོ་ལ། ཉན་ཐོས་ཀྱི་ཐེག་པ་པ་ནི་སྦྱིན་པ་གང་སྦྱིན་པ་དེ་ཉན་ཐོས་ཀྱིས་ལ་དགྲ་བཅོམ་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བར་བྱེད་དོ། ||| Venerable Pūrṇa, in the same way, bodhisattva great beings practice generosity and dedicate the merit with an eye to the state of omniscience, while the followers of the vehicle of the hearers practice generosity and dedicate the merit toward becoming a worthy one on the level of the hearers.
།དེ་ལྟར་འཕགས་པ་ཉན་ཐོས་བྱང་ཆུབ་སེམས་དཔའི་ཉེ་གནས་སུ་འགྱུར་བར་འདོད་ན། ||| In this way, one may wish to become a follower of either the noble hearers or the bodhisattvas.
སྐྱེས་བུ་དེས་སྦྱིན་པ་དེ་ཉིད་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བར་བྱེད་པའི་མཐུ་དང་ནུས་པ་ཡོད་དམ། ཡང་ཚེ་དང་ལྡན་པ་གང་པོ་མོས་པ་གང་དང་ལྡན་པས་སྦྱིན་པ་དེ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བའི་མོས་པ་དེ་ནི་མེད་ཀྱི། སྦྱིན་པ་དེ་ཉན་ཐོས་སུ་ཡོངས་སུ་སྔོ་བ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པ་དང་། ||| As such, individuals may have the power and strength to dedicate the practice of generosity toward the state of omniscience, or, Venerable Pūrṇa, they may have no interest in dedicating their generosity toward omniscience because they entertain a different interest, and in that case dedicate it toward attaining the state of a hearer.
ཉན་ཐོས་ཀྱི་ཐེག་པ་པ་དགྲ་བཅོམ་པའི་ས་ལ་གནས་པའི་ཐ་དད་དུ་དབྱེ་བ་ཡིན་ནོ། ||| This is how beings are distinguished between those within the vehicle of the bodhisattvas and those who remain on the level of a worthy one within the vehicle of the hearers.
།ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན་སྐྱེས་བུ་ལ་ལ་ཞིག་སྦྱིན་པ་འདིས་བདག་ཚོང་དཔོན་ནམ། ཁྱིམ་བདག་གམ་ཚངས་པར་གྱུར་ཅིག་ཅེས་སྦྱིན་པ་སྦྱིན་པ་དེ་བཞིན་དུ་ཉན་ཐོས་ཀྱི་ཐེག་པ་པའི་སྦྱིན་པར་བལྟའོ། ||| Venerable Pūrṇa, the generosity of those within the vehicle of the hearers should be viewed as being similar to someone who thinks, ‘May this merit cause me to become a merchant, a householder, or Brahmā!’ ”
།དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་འདི་ནི་ངོ་མཚར་ཆེ་སྟེ། ||| Venerable Pūrṇa Maitrāyaṇīputra said to Venerable Śāradvatīputra, “Venerable One, this is amazing!
ཤ་ར་དྭ་ཏིའི་བུས་ཤིན་ཏུ་ལེགས་པར་སྨྲས་སོ། ||| Śāradvatīputra, you have explained it so well!
།ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དཔེར་ན་སྐྱེས་བུ་ལ་ལ་ཞིག་ཀཱར་ཥ་པ་ཎ་འབུམ་ཁྱེར་ཏེ། ཁྱིམ་བདག་ཕྱུག་པོ་གང་ཡང་རུང་བ་ཞིག་གི་དྲུང་དུ་སོང་ནས་འདི་སྐད་དུ། ཀཱར་ཥ་པ་ཎ་འབུམ་འདི་དག་ཁྱོད་ལ་འབུལ་ཏེ། ||| Venerable Śāradvatīputra, imagine a person who brings one hundred thousand coins to a wealthy householder and says, ‘I am offering you these one hundred thousand coins.
བདག་ཀྱང་ཁྱོད་ཀྱི་ཐད་ན་འདུག་ཅིང་བྱ་བ་དང་། སྦྱོར་བ་རྣམས་ལ་གཡོག་བགྱིད་དོ་ཞེས་ཟེར་བ་དེ་བཞིན་དུ། ||| I will also remain by your side and assist you with all your activities and engagements.’
ཚེ་དང་ལྡན་པ་ཉན་ཐོས་ཀྱི་ཐེག་པ་པའི་གང་ཟག་རྣམས་སྦྱིན་པ་སྦྱིན་ཞིང་། དེ་བཞིན་གཤེགས་པའི་ཞབས་འབྲིང་དུ་ཁས་ལེན་ཏོ། ||| Similarly, Venerable One, those who follow the vehicle of the hearers practice generosity and promise to become servants of the Thus-Gone One.
།བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནི་དེ་ལྟར་སྦྱིན་པ་སྦྱིན་པར་མི་བྱེད་དེ། ||| The bodhisattva great beings, however, do not practice generosity like that.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དང་ཉན་ཐོས་ཀྱི་སྦྱིན་པ་སྦྱིན་པའི་ཁྱད་པར་དུ་དབྱེ་བ་ཡིན་ནོ། ||| That is the difference between the bodhisattvas’ practice of generosity and the hearers’ practice of generosity.
།ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དཔེར་ན་རྒྱལ་པོའི་བཙུན་མོའི་འཁོར་གྱི་བུད་མེད་གཅིག་གིས་གསེར་འབུམ་ཁྱེར་ཏེ། ཚོང་དཔོན་ནམ། དེད་དཔོན་གང་ཡང་རུང་བའི་དྲུང་དུ་སོང་ནས་འདི་སྐད་དུ། གསེར་འབུམ་འདི་དག་ཀྱང་ཁྱོད་ལ་འབུལ། ||| Venerable Śāradvatīputra, imagine if a woman in the royal harem were to carry off one hundred thousand pieces of gold and bring them to a merchant, or an officer, saying, ‘I am offering you these one hundred thousand pieces of gold.
བདག་ཀྱང་ཁྱོད་ཀྱི་གཡོག་བགྱིད་ཅིང་སྔར་ལྡང་བ་དང་། ཕྱིས་ཉལ་བ་དང་། ||| I will also be your servant, rising early in the morning and going to bed late at night.
ཁྱོད་ཅི་དགྱེས་པ་བཞིན་སྤྱོད་པར་བགྱིད་དོ་ཞེས་ཟེར་བ་དེ་བཞིན་དུ་ཚེ་དང་ལྡན་པ་ཉན་ཐོས་ཀྱི་ཐེག་པ་པའི་གང་ཟག་སྦྱིན་པ་ཡང་སྦྱིན་ཞིང་དེ་བཞིན་གཤེགས་པའི་ཉན་ཐོས་ཉིད་དུ་ཁས་ལེན་ཏོ། ||| I will do whatever makes you happy.’ Venerable One, similarly, the followers of the Hearers’ Vehicle practice generosity and declare themselves to be hearers of the Thus-Gone One.”
།དེ་སྐད་ཅེས་སྨྲས་པ་དང་། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་སྦྱིན་པ་དེ་ཉིད་ཡོངས་སུ་བཏང་དུ་འདྲ་ན། གཅིག་ནི་ཉན་ཐོས་ཀྱིས་ཡོངས་སུ་འཛིན་པར་གྱུར་ལ། གཅིག་ནི་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་འཛིན་པར་གྱུར་པ་འདི་ནི་ངོ་མཚར་ཆེ་སྟེ། ||| Venerable Śāradvatīputra said to Venerable Pūrṇa Maitrāyaṇīputra, “Venerable One, it is amazing how very similar acts of generosity can lead one person to the level of a hearer and another one to the state of omniscience.
ཚེ་དང་ལྡན་པས་ལེགས་པར་སྨྲས་སོ། ||| Venerable One, you have explained it well.
།ཚེ་དང་ལྡན་པ་གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ནི་ཐམས་ཅད་དུ་ཐབས་ལ་མཁས་པར་བལྟ་བར་བྱའོ། ||| Venerable Pūrṇa, you should understand that the bodhisattvas are rich in skillful means.”
།གཞན་ཡང་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སྦྱིན་པ་སྦྱིན་པར་འདོད་ཅིང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་སྦྱིན་པ་ཡོངས་སུ་གཏོང་བ་ན་ཐོག་མ་ཁོ་ནར་འདི་སྐད་དུ་སྦྱིན་པ་འདི་ལས་བྱུང་བའི་བསོད་ནམས་མངོན་པར་འདུ་བྱེད་པ་དང་། དགེ་བ་མངོན་པར་འདུ་བྱེད་པ་གང་ཡིན་པ་དེས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་ན་ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་གང་དག་གནས་པ་དེ་དག་ནི་ཕྱིར་མི་ལྡོག་པ་ཉིད་དུ་གྱུར་ཅིག ། ||| Venerable Śāradvatīputra continued addressing Venerable Maitrāyaṇīputra, saying, “Moreover, Venerable Pūrṇa, if bodhisattvas wish to practice generosity and wish to awaken to unsurpassed and perfect buddhahood, they should begin their practice of generosity with the wish, ‘May the merit and virtue that is created hereby cause all bodhisattvas who have newly entered this vehicle in all the limitless and endless worlds to reach the state of nonregression!
ཕྱིར་མི་ལྡོག་པ་གང་དག་གནས་པ་དེ་དག་ནི་མྱུར་དུ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག་ཅེས་བརྗོད་པར་བྱ་སྟེ། ||| And may all those who have reached the state of nonregression swiftly perfect the state of omniscience!’
དེ་ལྟར་བདག་ཉིད་ཀྱང་དེའི་ཁོངས་སུ་གཏོགས་པར་བྱེད་ཅིང་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཀྱང་དགེ་བའི་རྩ་བ་རྣམས་ཀྱིས་ཡོངས་སུ་འཛིན་པར་བྱེད་དོ། ||| In this way, not only will they be included within this group, their roots of virtue will also sustain those bodhisattvas.
།ཇི་ལྟ་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་ཅིང་རྗེས་སུ་སྲུང་བ་དེ་ལྟ་དེ་ལྟར་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དང་ཉེ་བར་འགྱུར་རོ། ||| The more roots of virtue there are sustaining and protecting bodhisattvas, the closer they will be to the state of omniscience.
།ཇི་ལྟ་ཇི་ལྟར་དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྔོ་བ་དེ་ལྟ་དེ་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་དང་ཡང་ཉེ་བར་འགྱུར་རོ། །ཚེ་དང་ལྡན་པ་གང་པོ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྦྱིན་པ་སྦྱིན་པ་ན། ||| The more they dedicate their roots of virtue, the closer they will be to unsurpassed and perfect awakening. “
