༄༅༅། །རྒྱ་གར་སྐད་དུ།
ཨཱརྱ་ཨད་བྷུ་ཧ་དྷ་རྨ་པ་རྱཱ་ཡ་ནཱ་མ། བོད་སྐད་དུ།
འཕགས་པ་རྨད་དུ་བྱུང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས། ||| The Noble Marvelous Dharma Discourse
ཟས་ཀྱི་བྱ་བ་བྱས་ནས་བསོད་སྙོམས་ཀྱི་ཟས་ཕྱི་མ་སྤངས་ཏེ། ཆོས་གོས་དང་ལྷུང་བཟེད་བཞག་ནས་རྐང་པ་བཀྲུས་ཏེ། ||| Since he was abstaining from accepting subsequent alms food, he put away his Dharma robe and alms bowl.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། ||| He then washed his feet and went to see the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Once there, he prostrated at the Blessed One’s feet and sat down to one side.
ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བདག་འདིར་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཆོས་གོས་དང་ཤམ་ཐབས་བགོས་ལྷུང་བཟེད་ཐོགས་ཏེ་རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་ཀྱི་སླད་དུ་ཞུགས་ཏེ། ||| Seated to one side, the venerable Ānanda addressed the Blessed One: “Honorable One, earlier this morning, I donned my Dharma robe and lower garment, took up my alms bowl, and went into Rājagṛha on my alms round.
རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་དུ་མཐར་ཆགས་སུ་བསོད་སྙོམས་སྤྱོད་པའི་ཚེ་ཕྱོགས་ཤིག་ན་ཁང་པ་བརྩེགས་པ་ཆབ་སྒོ་བརྒྱད་ཅུ་མཆིས་ལ་བྱུག་པས་བྱུགས་པ། ||| As I went from one house to the next collecting alms in the city of Rājagṛha, I saw, in a certain direction, a multistoried palace with eighty gateways.
གདུགས་དང་རྒྱལ་མཚན་དང་བ་དན་བསྒྲེང་བ། གྱི་ལྡ་ལྡི་མང་པོ་དཔྱངས་པ་དག་མཐོང་ནས་འདི་སྙམ་དུ་བསམས་ཏེ། ||| It was plastered inside and out; parasols, banners, and pennants were hoisted; and it was adorned with many silken tassels.
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་ཁང་པ་བརྩེགས་པ་འདི་ལྟ་བུ་བགྱིས་ཏེ། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་དང་། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བགྱིས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བགྱིས་ལ་ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་སྩལ་ན་དེ་གཉིས་བསོད་ནམས་ཤིན་ཏུ་ཆེ་བ་གང་ལགས་སྙམ་མོ། །བདག་གིས་ཡང་འདི་སྙམ་དུ་བསམས་ཏེ། ||| Seeing this, I thought to myself, ‘If a faithful son or daughter of good family were to offer such a building to the saṅgha in the four directions, or if someone were to erect for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, which of these two would have the greater merit?’
སྟོན་པ་ནི་བདག་གི་མངོན་སུམ་དུ་གྱུར། བདེ་བར་གཤེགས་པ་ནི་བདག་གི་མངོན་སུམ་དུ་གྱུར་གྱིས། བཅོམ་ལྡན་འདས་ལ་བདག་གིས་དོན་འདི་ཉིད་གསོལ་ཏེ། ||| Then it occurred to me, ‘Since the Teacher is here with me, the Well-Gone One is here with me, I should ask the Blessed One to clarify this matter.
བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་ཇི་སྐད་བསྟན་པ་བཞིན་དུ་གཟུང་བར་བགྱི་སྙམ་ནས། ||| As the Blessed One explains it, so I will remember it.’
བཅོམ་ལྡན་འདས་ལ་བདག་དོན་འདི་ཉིད་ཞུ་ལགས་ན་ཐུགས་བརྩེ་བ་ཉེ་བར་བཟུང་སྟེ། བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་དོན་འདི་ཉིད་ལེགས་པར་བསྟན་དུ་གསོལ། ||| If I make this request to the Blessed One, may the Blessed One instruct me thoroughly on this matter by virtue of his compassionate mind.”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཀུན་དགའ་བོ་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། ||| When this request was thus made, the Blessed One replied to the venerable Ānanda, “Ānanda, you are dedicated to the welfare of many beings.
སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བའི་ཕྱིར་ཞུགས་ནས་ལྷ་དང་མི་རྣམས་ལ་ཕན་པ་དང་། བདེ་བའི་དོན་གྱི་ཕྱིར་ཁྱོད་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་ཉིད་འདྲི་བར་སེམས་པ་ནི། ||| It is for the happiness of many beings, out of compassion for the world, and for the benefit, welfare, and happiness of gods and humans that you ask the Thus-Gone One about this issue.
ལེགས་སོ་ལེགས་སོ། ། ||| Excellent! Excellent!
ཀུན་དགའ་བོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| Therefore, Ānanda, listen well and keep this in mind. I will explain.
ཀུན་དགའ་བོ་འཛམ་བུ་གླིང་གི་གླིང་ནི་ཆུར་དཔག་ཚད་བདུན་སྟོང་། རྒྱར་ཡང་དཔག་ཚད་བདུན་སྟོང་། ||| “Ānanda, the continent of Jambudvīpa is seven thousand leagues in length and width.
བྱང་དུ་ནི་ཁ་ཚོན་ཆེ་བ། ||| In the north it is expansive.
ལྷོར་ནི་སོག་ཀར་འདུག་པ་དེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| To the south, it has the shape of an axe.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས་གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་ན་ང་། རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ། ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་ཆེས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to all stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to erect for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
ཀུན་དགའ་བོ་འཛམ་བུའི་གླིང་ལྟ་ཞོག་གི། ། ||| “Ānanda, leave aside the continent of Jambudvīpa.
ཀུན་དགའ་བོ་ཤར་གྱི་ལུས་འཕགས་ཞེས་བྱ་བའི་གླིང་ཡོད་དེ་ཆུར་ནི་དཔག་ཚད་བརྒྱད་སྟོང་། ||| There is, Ānanda, an eastern continent named Pūrvavideha.
རྒྱར་ཡང་དཔག་ཚད་བརྒྱད་སྟོང་སྟེ། ཀུན་ནས་ཟླ་གམ་ལྟ་བུར་གྲུབ་པ་དེ། རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| It is eight thousand leagues in length and width and it is shaped like a crescent.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ། ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་ཆེས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to all stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to create for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
ཀུན་དགའ་བོ་འཛམ་བུའི་གླིང་ལྟ་འང་ཞོག །ཤར་གྱི་ལུས་འཕགས་ཀྱི་གླིང་ལྟ་འང་ཞོག་སྟེ། ||| “Ānanda, leave aside the continent of Jambudvīpa and the eastern continent of Pūrvavideha.
ཀུན་དགའ་བོ་ནུབ་ཀྱི་བ་ལང་སྤྱོད་ཅེས་བྱ་བའི་གླིང་ཡོད་དེ་ཆུར་ནི་དཔག་ཚད་དགུ་སྟོང་། ||| There is, Ānanda, a continent named Avaragodānīya.
ཞེང་ཡང་དཔག་ཚད་དགུ་སྟོང་སྟེ། ཀུན་ནས་ཟླ་བ་ཉ་བ་ལྟ་བུར་གྲུབ་པ་དེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| It is nine thousand leagues in length and width and it is shaped like a full moon.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ། ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་ཆེས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to the all stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to create for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
ཀུན་དགའ་བོ་འཛམ་བུའི་གླིང་ལྟའང་ཞོག །ཤར་གྱི་ལུས་འཕགས་ཀྱི་གླིང་ལྟའང་ཞོག །ནུབ་ཀྱི་བ་ལང་སྤྱོད་ཀྱི་གླིང་ལྟའང་ཞོག་སྟེ། ||| “Ānanda leave aside the continent of Jambudvīpa, the eastern continent of Pūrvavideha, and the western continent of Avaragodānīya.
ཀུན་དགའ་བོ་བྱང་གི་སྒྲ་མི་སྙན་ཅེས་བྱ་བའི་གླིང་ཡོད་དེ། ཆུར་ནི་དཔག་ཚད་ཁྲི། ||| There is, Ānanda, a continent named Uttarakuru.
རྒྱར་ཡང་དཔག་ཚད་ཁྲི་སྟེ། ཀུན་ནས་གྲུ་བཞི་ལྷམ་པར་གྲུབ་པ་དེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| It is ten thousand leagues in length and width and is entirely square.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ། ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to all stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to create for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
ཀུན་དགའ་བོ་འཛམ་བུའི་གླིང་ལྟའང་ཞོག །ཤར་གྱི་ལུས་འཕགས་ཀྱི་གླིང་ལྟའང་ཞོག །ནུབ་ཀྱི་བ་ལང་སྤྱོད་ཀྱི་གླིང་ལྟའང་ཞོག །བྱང་གི་སྒྲ་མི་སྙན་གྱི་གླིང་ལྟའང་ཞོག་སྟེ། ||| “Ānanda, leave aside the continent of Jambudvīpa, the eastern continent of Pūrvavideha, the western continent of Avaragodānīya, and the northern continent of Uttarakuru.
ཀུན་དགའ་བོ་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱི་ཁང་བཟང་རྣམ་པར་རྒྱལ་བྱེད་ཅེས་བྱ་བ་ཡོད་དེ། དེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། །རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| There is, Ānanda, the palace of Śakra, the lord of the gods, named Vaijayanta.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ་ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་ཆེས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to all stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to create for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made from clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
ཀུན་དགའ་བོ་འཛམ་བུའི་གླིང་ལྟ་ཡང་ཞོག །ཤར་གྱི་ལུས་འཕགས་ཀྱི་གླིང་ལྟ་ཡང་ཞོག །ནུབ་ཀྱི་བ་ལང་སྤྱོད་ཀྱི་གླིང་ལྟ་ཡང་ཞོག །བྱང་གི་སྒྲ་མི་སྙན་གྱི་གླིང་ལྟ་ཡང་ཞོག །ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱི་ཁང་བཟང་རྣམ་པར་རྒྱལ་བྱེད་ཅེས་བྱ་བ་ལྟ་ཡང་ཞོག་སྟེ། ||| “Ānanda, leave aside the continent of Jambudvīpa, the eastern continent of Pūrvavideha, the western continent of Avaragodānīya, the northern continent of Uttarakuru, and the palace of Śakra, the lord of the gods, named Vaijayanta.
ཀུན་དགའ་བོ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཡོད་དེ། དེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་རང་བཞིན་དུ་བྱས་ཏེ། རྒྱུན་དུ་ཞུགས་པ་རྣམས་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་རྣམས་དང་། ||| There is, Ānanda, the three-thousandfold universe.
ཕྱིར་མི་འོང་བ་རྣམས་དང་། དགྲ་བཅོམ་པ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་བས། གང་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ་ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་བྱས་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ་ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་ནི་དེ་བས་ཆེས་བསོད་ནམས་ཆེའོ་ཞེས་ང་སྨྲའོ། ། ||| If it were made of the seven precious substances and a faithful son or daughter of good family were to offer it to all the stream enterers, once-returners, non-returners, arhats, pratyekabuddhas, and the saṅgha in the four directions, or if someone were to create for a thus-gone, worthy, completely perfect buddha, who has passed into parinirvāṇa, a stūpa the size of a gooseberry fruit made of clay, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, I say, Ānanda, the merit of this one would be far greater than the former.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is this so?
