༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་བརྞྞ་བཱ་ལུ་ཀོ་པ་མ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་གསེར་གྱི་བྱེ་མ་ལྟ་བུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Like Gold Dust
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་ཡོན་ཏན་དཔག་ཏུ་མེད་པ་དང་ཡང་ལྡན་ནོ། ། ||| Yes, Ānanda, thus-gone, worthy, perfectly complete buddhas possess limitless good qualities.
ཀུན་དགའ་བོ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་དཔག་ཏུ་མེད་པ་མཉན་པའམ། དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཡུལ་ཤེས་པ་འམ། དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཡོན་ཏན་ཤེས་པར་འདོད་དམ། ||| “Ānanda, do you wish to hear of the limitlessness of thus-gone ones, to know about the range of thus-gone ones, and to know of the good qualities of thus-gone ones?”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །དགེ་སློང་རྣམས་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ། ||| “Yes, Blessed One, please teach the monks,” Venerable Ānanda replied.
བདེ་བར་གཤེགས་པས་བསྟན་དུ་གསོལ། ||| “Please teach us, Well-Gone One.
དགེ་སློང་རྣམས་ཀྱིས་མངོན་སུམ་དུ་ཐོས་ན་ཡང་དག་པར་འཛིན་པར་འགྱུར་ལགས་སོ། །དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| If the monks hear it from you directly, they will retain it well.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་མཽད་གལ་གྱི་བུ་ཆེན་པོ་རྫུ་འཕྲུལ་ཇི་ལྟ་བུས་ཕྱོགས་དང་ཕྱོགས་མཚམས་དག་ཏུ་འགྲོ་བ་ཤེས་སམ། ||| The Blessed One then asked Venerable Ānanda, “Ānanda, do you know the miraculous powers with which Mahāmaudgalyāyana can travel in the cardinal and intermediate directions?”
ཀུན་དགའ་བོས་གསོལ་པ། ||| Ānanda replied, “Please tell us, Blessed One.
མཽད་གལ་གྱི་བུ་ཆེན་པོ་རྫུ་འཕྲུལ་ཇི་ལྟ་བུས་ཕྱོགས་དང་ཕྱོགས་མཚམས་དག་ཏུ་མཆི་བ་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ། ||| With what miraculous powers does Mahāmaudgalyāyana travel in the cardinal and intermediate directions?
བདེ་བར་གཤེགས་པས་བསྟན་དུ་གསོལ། ||| Well-Gone One, please teach us.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ལ་དོན་འདི་དཔེས་བསྟན་པར་བྱའོ། ། ||| “Ānanda, I will illustrate it for you by means of an analogy,” said the Blessed One.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why?
ཀུན་དགའ་བོ་སྐྱེས་བུ་མཁས་པ་གང་དག་དཔེས་དོན་རྟོགས་པར་འགྱུར་བ་ཡོད་པའི་ཕྱིར་རོ། ། ||| Because, Ānanda, learned people reach understanding through analogies.
ཀུན་དགའ་བོ་དཔེར་ན་རྫིང་དཔག་ཚད་བརྒྱད་སྟོང་པ་ཆུས་གང་བ། ||| Ānanda, take the analogy of a pool measuring eight thousand leagues.
བྱ་ཁྭས་བཏུང་དུ་རུང་བར་མུ་དང་ཁ་ད་ཆད་དུ་འདུག་པ། ||| It is so filled with water that a crow can drink from it, it is of equal depth on all sides, and it is covered with lotus leaves.
པད་མའི་ལོ་མས་ཁེབས་པ་ཞིག་ཡོད་ལ་དེ་ནས་མི་ལ་ལ་ཞིག་གིས་རླུང་གི་ཤུགས་ལས་འདས་པའི་རྟ་མཆོག་དག་དང་ལྡན་པའི་ལྕགས་ཀྱི་ཤིང་རྟ་ལ་ཞོན་ཏེ། ||| Over this pool someone then rides an iron chariot pulled by fine horses that are stronger than the wind.
དེ་ཡང་མུ་ཁྱུད་ཀྱི་ཤིང་ཡང་ཆུ་ལ་མི་རེག །རྟ་རྣམས་ཀྱི་རྨིག་པ་ཡང་ཆུ་ལ་མི་རེག །པད་མའི་ལོ་མ་རྣམས་ཀྱང་རྟའི་རྨིག་པ་དག་གིས་མི་བརྟོལ་བ་ཙམ་གྱི་སྟོབས་དང་ཤུགས་དང་མགྱོགས་པ་དེ་ལྟ་བུས་རྒྱུག་ལ། ||| They race with such power, force, and speed that the wooden rims of the wheels do not even touch the water, nor do the horses’ hooves touch the water, and the lotus leaves are not crushed by the horses’ hooves, not even slightly.
ཀུན་དགའ་བོ་དེ་ནས་རྫིང་དེའི་ནང་ནས་སྦྲུལ་གདུག་པ་ཞིག་བྱུང་ནས་ཤིང་རྟ་དེ་མཚོའི་ནང་ནས་ཕྱིར་མ་ལོག་པ་དེའི་བར་སྐབས་སུ་ཤིང་རྟ་དེ་ལན་བརྒྱད་བསྐོར་ན། ཀུན་དགའ་བོ་སྦྲུལ་གདུག་པས་ཤིང་རྟ་ལན་ཅིག་བསྐོར་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་ཀུན་དགའ་བོ་ཁྱོད་ཆོས་བསྟན་པ་རྣམ་པ་བརྒྱད་སྟོན་ཅིང་དོན་ཀྱང་གོ་བར་བྱེད་དོ། ། ||| Ānanda, if a poisonous snake were to appear from that pool and coil itself around the chariot eight times before the chariot had left the lake, well, Ānanda, in the time it took to coil itself just once around that chariot, you can give eight kinds of Dharma teaching and make them understood.
ཀུན་དགའ་བོ་ཁྱོད་ཚིག་གཅིག་སྨྲ་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་ཆོས་བསྟན་པ་རྣམ་པ་བརྒྱད་སྟོན་ཅིང་དོན་ཀྱང་གོ་བར་བྱེད་དོ། ། ||| But in the time it takes you, Ānanda, to utter one word, Mahāmaudgalyāyana can give eight kinds of Dharma teaching and make them understood.
ཀུན་དགའ་བོ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་ཚིག་གཅིག་སྨྲ་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་གནས་བརྟན་ཤ་ར་དྭ་ཏིའི་བུ་ཆོས་བསྟན་པ་རྣམ་པ་བརྒྱད་སྟོན་ཅིང་དོན་ཀྱང་གོ་བར་བྱེད་དོ། ། ||| However, Ānanda, in the time it takes Mahāmaudgalyāyana to utter one word, the elder Śāradvatīputra can give eight kinds of Dharma teaching and make them understood.
གནས་བརྟན་ཤ་ར་དྭ་ཏིའི་བུ་ཚིག་གཅིག་སྨྲ་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་རང་སངས་རྒྱས་ཆོས་བསྟན་པ་རྣམ་པ་གྲངས་མེད་པ་སྟོན་ཏོ། ། ||| Similarly, in the time it takes the elder Śāradvatīputra to utter one word, a pratyekabuddha can give innumerable kinds of Dharma teaching.
རང་སངས་རྒྱས་ཚིག་གཅིག་སྨྲ་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བསྟན་པ་རྣམ་པ་གྲངས་མེད་བསམ་གྱིས་མི་ཁྱབ་བརྗོད་དུ་མེད་པ་སྟོན་ཅིང་དོན་ཀྱང་གོ་བར་བྱེད་དོ། ། ||| And in the time it takes a pratyekabuddha to utter one word, a bodhisattva can give unutterably and inconceivably innumerable kinds of Dharma teaching and make them understood.
ཀུན་དགའ་བོ་བྱང་ཆུབ་སེམས་དཔའ་ཚིག་གཅིག་སྨྲ་བའི་ཡུན་ཇི་ཙམ་པ་དེའི་བར་སྐབས་སུ་ཀུན་དགའ་བོ་གནས་བརྟན་མཽད་གལ་གྱི་བུ་ཆེན་པོ་འཇིག་རྟེན་གྱི་ཁམས་བརྒྱད་ཁྲི་འདའོ། ། ||| Well, Ānanda, in the time it takes a bodhisattva to utter just one word, the elder Mahāmaudgalyāyana can traverse eighty thousand world systems.
ཀུན་དགའ་བོ་རྫུ་འཕྲུལ་གྱི་སྟོབས་བསྐྱེད་པ་དེ་ལྟ་བུའི་འགྲོས་ཀྱིས་ཉིན་མཚན་བདུན་གྱི་བར་དུ་ངལ་མི་བསོ་བར་ཤར་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་ཇི་སྙེད་དུ་འགྲོ་བ་དང་། ||| “Ānanda, imagine if one who has developed such a miraculous ability traveled in this way in the eastern direction for seven days and nights without rest, through however many world systems there may be;
དེ་བཞིན་དུ་ལྷོ་ཕྱོགས་དང་། ནུབ་ཕྱོགས་དང་། བྱང་ཕྱོགས་དང་། ||| and then, in the same way, traveled to the south, to the west, and to the north;
དེ་བཞིན་དུ་ཤར་ལྷོའི་ཕྱོགས་མཚམས་དང་། ལྷོ་ནུབ་ཀྱི་མཚམས་དང་། ནུབ་བྱང་གི་མཚམས་དང་། བྱང་ཤར་གྱི་མཚམས་དང་། དེ་བཞིན་དུ་སྟེང་དང་འོག་གི་ཕྱོགས་སུ་ཉིན་མཚན་བདུན་གྱི་བར་དུ་ངལ་མི་བསོ་བར་སོང་ལ། ||| and likewise for seven days and nights without rest to the southeast, to the southwest, to the northwest, the northeast, and likewise in the upward and downward directions.
དེ་ནས་མི་ལ་ལ་ཞིག་གིས་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་ཐམས་ཅད་ར་བས་བསྐོར་ཏེ་ར་བས་བསྐོར་ནས་རྡོ་དང་། གསེག་མ་དང་། གྱོ་མོ་དང་། གྱོ་དུམ་མེད་པར་བྱས་ཏེ་མཐོན་དམན་མེད་པར་བྱས་ནས་གྲོང་ཁྱེར་གཅིག་ཏུ་བྱས་ལ་གྲོང་ཁྱེར་གཅིག་ཏུ་བྱས་ནས་ཀྱང་ཡུངས་འབྲུས་བཀང་སྟེ་བྱུར་བུར་བྱས་ན། ||| Then, imagine someone enclosed all of those world systems in the ten directions within a fence, and, having leveled the ground and cleared it of rocks, stones, gravel, and debris, made it into a single city, and filled it right to the top with mustard seeds.
ཀུན་དགའ་བོ་གྲོང་ཁྱེར་དེའི་ནང་གི་ཡུངས་འབྲུ་ཇི་སྙེད་ཡོད་པ་དེ་དག་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་སེམས་ཅན་བྱང་ཆུབ་ལ་ཞུགས་པ་དག་ངས་མཐོང་ངོ་། ། ||| Well, Ānanda, I see beings embarked upon awakening in world systems even more numerous than the number of mustard seeds in that city.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas engaging in bodhisattva conduct.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དགའ་ལྡན་གྱི་ལྷའི་རིས་དག་ཏུ་སྐྱེ་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas taking birth among the gods of the Heaven of Joy.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དགའ་ལྡན་གྱི་ལྷའི་རིས་དག་ན་འཁོད་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas seated among the gods of the Heaven of Joy.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དགའ་ལྡན་གྱི་ལྷའི་རིས་དག་ནས་འཆི་འཕོ་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas dying among the gods of the Heaven of Joy.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་མའི་མངལ་དུ་འཇུག་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas entering their mothers’ wombs.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་མའི་མངལ་ནས་འབྱུང་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas emerging from their mothers’ wombs.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱིས་པའི་རྩེད་མོ་སྟོན་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas engaged in child’s play.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་རྒྱལ་སྲིད་སྤངས་ནས་རབ་ཏུ་བྱུང་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas abandoning their kingdoms and going forth as renunciants.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དཀའ་བ་སྤྱོད་པའི་སྦྱོར་བ་སྟོན་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas demonstrating the practice of austerities.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas proceeding towards the seat of awakening.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་ལྟ་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas gazing upon the seat of awakening.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་གཅེས་པར་བྱེད་པའི་མཆོག་དང་གུས་པ་ཆེན་པོས་ལན་གསུམ་བསྐོར་བ་བྱེད་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas circumambulating the seat of awakening three times with the utmost devotion and respect.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas seated at the seat of awakening.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་ན་འདུག་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas seated before the Bodhi tree.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas who will completely realize unsurpassed and perfectly complete awakening.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see bodhisattvas who have completely realized unsurpassed and perfectly complete awakening.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་དག་ངས་མཐོང་ངོ་། ། ||| In world systems even more numerous than that, I see blessed buddhas turning the wheel of Dharma.
དེ་བས་ཀྱང་ཆེས་མང་བའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་སྟོན་པ་དག་ངས་མཐོང་སྟེ། དེ་དག་ཐམས་ཅད་ཀྱང་མཚན་འཐུན་པ་དང་གདུང་འཐུན་པ་ཤ་སྟག་ཡིན་ན་འཇིག་རྟེན་གྱི་ཁམས་གང་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་རྣམས་མངོན་པར་འབྱུང་བ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་ལྟ་བ་དང་། ||| In world systems even more numerous than that, I see blessed buddhas displaying the great parinirvāṇa.
བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་བསྐོར་བ་བྱེད་པ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་པ་དང་། བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་ན་འདུག་པ་དང་། མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་དང་། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་སྟོན་པ་མཚན་ཐ་དད་པ་དང་གདུང་ཐ་དད་པ་དག་ལྟ་ཅི་སྨོས། ||| “All of these are merely those bodhisattvas with fitting names and fitting family lineages, which is not to mention those great bodhisattvas, in whichever world systems, with different names and different family lineages, who are renouncing, who are proceeding toward the seat of awakening, who are gazing upon the seat of awakening, who are circumambulating the seat of awakening, who are seated at the seat of awakening, who are seated before the Bodhi tree, who are completely awakened and have turned the wheel of Dharma, and who are displaying the great parinirvāṇa.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འཇིག་རྟེན་གྱི་ཁམས་གང་དག་ཏུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་མི་འབྱུང་བ་དང་། ||| Venerable Ānanda then asked the Blessed One, “Blessed One, are there any world systems in which blessed buddhas do not appear?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་མི་སྤྱོད་པའི་འཇིག་རྟེན་གྱི་ཁམས་ཇི་སྙེད་ཅིག་མཆིས་ལགས། ||| Are there any world systems in which bodhisattvas do not engage in bodhisattva conduct?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་འཇིག་རྟེན་གྱི་ཁམས་ངས་བསྟན་པ་གང་དག་ཏུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འབྱུང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་གང་ཡིན་པ་དེ་དག་ནི་ཀུན་དགའ་བོ་དཔེར་ན་རྒྱ་མཚོ་ཆེན་པོའི་བྱེ་མ་དང་གང་གཱའི་ཀླུང་གི་བྱེ་མའི་ནང་ན་གསེར་གྱི་བྱེ་མ་དཀོན་པ་དང་འདྲ་སྟེ། ||| The Blessed One replied, “To draw an analogy Ānanda, in those world systems that I have spoken of, the appearance of blessed buddhas, and bodhisattvas who engage in bodhisattva conduct, is as rare, Ānanda, as gold dust among the sands of the great ocean or the sands of the river Gaṅgā.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་འཇིག་རྟེན་གྱི་ཁམས་གང་དག་ཏུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འབྱུང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པའི་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་ནི་དཀོན་ཏེ། ||| Ānanda, the appearance of blessed buddhas in any world system, and world systems in which bodhisattvas engage in bodhisattva conduct, are as rare as this.
