འཕགས་པ་བསྐལ་པ་བཟང་པོ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Good Eon
ཆོས་ཀྱི་རང་བཞིན་ལ་ཐེ་ཚོམ་མེད་པ་ཐོབ་པ། ||| achieved the state free from any doubt about the nature of the Dharma,
བསྐལ་པ་གྲངས་མེད་པར་སྨོན་ལམ་ཤིན་ཏུ་བསགས་པ། ||| and accumulated aspirations throughout countless eons.
བཞིན་འཛུམ་པ། ||| They had smiles on their faces,
གསོང་པོར་སྨྲ་བ། ||| spoke straightforwardly,
ཁྲོ་གཉེར་མེད་པ། ||| and never frowned.
ཚིགས་སུ་བཅད་པའི་དབྱངས་ཀྱིས་སྨྲ་བ། ||| They communicated in melodious voices,
སེམས་ཟིལ་གྱིས་མི་ནོན་པ། ||| their minds were indomitable,
སྤོབས་པ་རྒྱུན་མི་འཆད་པ། ||| and the flow of their eloquence was unbroken.
མཉམ་པ་ཉིད་ལ་བཟོད་པ་ཐོབ་པ། ||| They had achieved acceptance of equality.
འཁོར་མཐའ་ཡས་པ་ཟིལ་གྱིས་གནོན་ཅིང་མི་འཇིགས་པ་ཐོབ་པ། ||| They were able to outshine infinite gatherings without any fear.
ཚིག་གཅིག་གིས་བསྐལ་པ་བྱེ་བ་ཆར་ཕྱིན་པ་སྟོན་པ་ལ་མཁས་པ། ||| They were adept at elaborating on a single word throughout ten million eons.
ཆོས་ཐམས་ཅད་ལ་སྒྱུ་མ་དང་། སྨིག་རྒྱུ་དང་། ཆུ་ཟླ་དང་། རྨི་ལམ་དང་། བྲག་ཅ་དང་མཚུངས་པར་མོས་པ། ||| They were confident that all phenomena are just like illusions, a mirage, the moon in water, dreams, and echoes.
ཤེས་པ་མི་འཇིགས་པ་ཚད་མེད་པ། ||| Their minds were endowed with infinite fearlessness,
སེམས་ཅན་གྱི་སེམས་ཀྱི་རྒྱུ་བ་ཕྲ་མོའི་ཚུལ་དང་། ||| and they were confident in knowing the most subtle movements in the minds of sentient beings,
སྤྱོད་པ་སྣ་ཚོགས་ཤེས་པ་ལ་མོས་པ། ||| as well as every aspect of their conduct.
དགེ་བ་རྒྱ་ཆེ་བ། ||| They possessed vast virtue
སེམས་ཐོགས་པ་མེད་པ། ||| and their minds were unimpeded.
ལྷག་པའི་ང་རྒྱལ་མེད་ཅིང་བཟོད་པ་དང་ལྡན་པ། ||| They were free from exaggerating pride and endowed with patience.
དགེ་བ་ཇི་ལྟ་བ་བཞིན་དུ་རླབས་ཆེ་བ། ||| Their virtues were genuinely comprehensive.
སངས་རྒྱས་ཀྱི་ཞིང་གི་བཀོད་པ་མཐའ་ཡས་པར་སྨོན་ལམ་རབ་ཏུ་བཟུང་བ། ||| Their aspirations encompassed infinite arrays of buddha realms.
འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་པའི་སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་ཏིང་ངེ་འཛིན་རྟག་པར་རྒྱུན་དུ་མངོན་དུ་གྱུར་པ། ||| They constantly manifested the absorption of recollecting the buddhas of countless world systems.
སངས་རྒྱས་དཔག་ཏུ་མེད་པ་ལ་གསོལ་བ་འདེབས་པ་ལ་མཁས་པ། ||| They were skilled in supplicating boundless buddhas.
ལྟ་བ་ཐ་དད་པ་དང་། བག་ལ་ཉལ་དང་། ཀུན་ནས་དཀྲིས་པའི་ཉོན་མོངས་པ་རབ་ཏུ་ཞི་བར་བྱེད་པ་ལ་མཁས་པ། ||| They were skilled in quelling differing views, as well as latent tendencies and the fetters of emotional defilements.
ཏིང་ངེ་འཛིན་གྱིས་རྣམ་པར་རོལ་པ་བརྒྱ་སྟོང་བསྒྲུབ་པ་ལ་མཁས་པ་ཤ་སྟག་ལ་འདི་ལྟ་སྟེ། ||| They were skilled in accomplishing hundreds of thousands of displays through absorption.
བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་ལ་སོགས་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། འབྲུག་སྒྲ་དང་། དགེ་བ་བརྒྱ་སྟོང་གི་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པའི་བློ་དང་། བསྒྲུབ་པ་མཐའ་ཡས་པའི་བློ་ཅན་གློག་གིས་རབ་ཏུ་བརྒྱན་པའི་སྒྲ་དབྱངས་དང་། ཆགས་པ་མེད་པའི་མཐའ་དང་ལྡན་པའི་བློ་ཅན་དང་། རྣམ་པར་བསྒྲགས་པའི་རྒྱལ་པོ་དང་། འཐུན་པ་དང་མི་འཐུན་པ་མཐོང་བར་གྱུར་པ་དང་། གསེར་སྟུག་པོ་བསགས་པའི་འོད་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་དང་། དཔག་ཚད་བརྒྱར་རྣམ་པར་ལྟ་ཞིང་འགྲོ་བ་དང་། སྤོབས་པ་བརྩེགས་པ་དང་། ཡེ་ཤེས་ཕུང་པོ་དང་། མཐོང་བ་དོན་ཡོད་དང་། བཟང་སྐྱོང་ལ་སོགས་པ་དང་། སྐྱེས་བུ་དམ་པ་བརྒྱད་པོ་གང་སྤོས་ཀྱི་གླང་པོ་དང་། རིན་ཆེན་མཐའ་ཡས་མཛོད་དང་། ཤེས་རབ་བརྩེགས་པ་དང་། མཆོད་པ་བཀོད་པ་དང་། སེང་གེ་རྣམ་པར་སྒྲོགས་པའི་སྒྲ་དབྱངས་ཀྱི་རྒྱལ་པོ་དང་། བློའི་བཀོད་པས་ལེགས་པར་བརྒྱན་པ་ལ་གནས་པ་དང་། སེང་གེའི་སྟབས་ཀྱིས་འགྲོ་བ་དང་། སྤོབས་པ་མཐའ་ཡས་པར་བསྒྲུབ་པ་ལ་འཇིགས་པ་མེད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་ལ་སོགས་པ་དང་། ||| They included the bodhisattva Maitreya, as well as the youthful Mañjuśrī, Avalokiteśvara, Sound of Thunder, Mind of Blooming Flowers of a Hundred Thousand Virtues, Possessor of the Mind of Infinite Practice and the Speech That Is Adorned with Flashes of Lightning, Possessor of the Mind of Complete Detachment, King of Renown, Perceiver of the Agreeable and the Disagreeable, King of the Splendid Light of Deep Accumulations of Gold, Seeing and Moving Across a Hundred Yojanas, Heaps of Eloquence, Mass of Wisdom, Amoghadarśin, Bhadrapāla, the Eight Holy Beings, Gandhahastin, Jewel Treasury, Heaps of Insight, Array of Offerings, King of the Melodious Lion’s Roar, Adorned with Arrays of Wisdom, Moving with the Gait of a Lion, Fearless in Limitless Mastery of Eloquence, the bodhisattva Prāmodyarāja, and others.
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན་གང་དག་རྒྱལ་པོ་ཆེན་པོ་བཞི་པོ་རྣམས་དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། དབང་སྒྱུར་དང་། ཚངས་པ་ཆེན་པོ་དང་། ཀླུའི་བདག་པོ་དང་། གནོད་སྦྱིན་གྱི་བདག་པོ་དང་། ལྷ་མ་ཡིན་གྱི་བདག་པོ་དང་། ནམ་མཁའ་ལྡིང་གི་བདག་པོ་དང་། མི་འམ་ཅིའི་བདག་པོ་དང་། ལྟོ་འཕྱེ་ཆེན་པོའི་བདག་པོ་དང་། དྲི་ཟའི་བདག་པོ་དང་། དེ་དག་ཐམས་ཅད་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ ||| From the world systems of the great trichiliocosm came the Four Great Kings, Śakra, Brahmā, Īśvara, Mahābrahmā, nāga leaders, yakṣa leaders, asura leaders, garuḍa leaders, kinnara leaders, mahorāga leaders, and gandharva leaders, arriving in the presence of the Blessed One,
བཅོམ་ལྡན་འདས་ལ་མེ་ཏོག་སིལ་མས་གཏོར་ནས་འཁོད་པར་གྱུར་ཏོ། ། ||| scattering flowers before him, and then taking their places in the gathering.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོས་ཉིན་ཞག་བདུན་ཟས་བཅད་དེ་ ||| At that time, the bodhisattva Prāmodyarāja observed seven days of fasting during
འཆག་ཅིང་འགྲེང་ལ་འདུག་བཞིན་དུ་གློས་མ་ཕབ་པར་རྨུགས་པ་དང་། གཉིད་མེད་པར་མངོན་པར་བརྩོན་པར་གྱུར་ཏོ། ། ||| which he would either stand or sit upright, practicing with unrelenting diligence, free from drowsiness and without sleep.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| It was then that the bodhisattva Prāmodyarāja spoke to the Blessed One:
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་གང་རྫོགས་པར་བགྱིས་ན་ ||| “Which quality must bodhisattvas perfect
སེམས་ཅན་ཐམས་ཅད་ཀྱི་བསམ་པ་དང་སྤྱོད་པ་འཚལ་བར་འགྱུར་བ་དང་། ||| in order for them to know the thoughts and conduct of all sentient beings,
སངས་རྒྱས་རྣམས་ཀྱི་དགོངས་པའི་བཀའ་ལ་འཇུག་པར་འགྱུར་བ་དང་། ||| to apply the words that have the intent of all the buddhas,
ཕྱིན་ཅི་ལོག་ཏུ་སྟོན་པ་ལས་མི་སྟོན་པར་འགྱུར་བ་དང་། ||| to avoid teaching based on incorrect teachings,
སྒྲ་ཇི་ལྟ་བ་བཞིན་དུ་བདེན་པ་ཤེས་པ་ལ་རྗེས་སུ་འཇུག་པར་འགྱུར་བ་དང་། ||| to follow knowledge grounded in truth as literally expressed,
ད་ལྟར་གྱི་སངས་རྒྱས་ཐམས་ཅད་ལ་སྒྲིབ་པ་མེད་པར་འགྱུར་བ་དང་། ||| and to become free of any obscuration with respect to all the buddhas of the present?
འདི་ལྟ་སྟེ་སངས་རྒྱས་དང་འགྲོགས་པ་འཐོབ་ཅིང་མཐོང་བ་དང་། ||| Through which quality may they be able to accompany and perceive the buddhas,
ཆོས་ཀྱིས་ངེས་པ་འཐོབ་པར་འགྱུར་བ་དང་། ||| achieve certainty through the Dharma,
འཇིག་རྟེན་གྱི་ཆོས་ལ་ཡང་སྤྱོད་ལ་འཇིག་རྟེན་པས་ཀྱང་མི་གོས་པར་འགྱུར་བ་དང་། ||| follow the ways of the world without becoming stained by the world,
སྙོམས་པར་འཇུག་པ་ལ་གནས་ཀྱང་དེ་དེར་སྐྱེ་བར་མི་འགྱུར་བ་དང་། ||| abide in meditative attainments without taking birth in the corresponding realms,
མྱ་ངན་ལས་འདས་པའི་ཆོས་ལ་སྤྱོད་ཀྱང་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་མི་འགྱུར་བ་དང་། ||| practice the Dharma of nirvāṇa without transcending suffering,
སངས་རྒྱས་ཀྱི་སྨོན་ལམ་ཡོངས་སུ་རྫོགས་པར་མ་བགྱིས་པར་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཀྱི་ཆོས་ལ་སྤྱོད་ཀྱང་ ||| and practice the Dharma of hearers and solitary buddhas in which the aspirations of buddhahood are not perfected,
ཐེག་པ་དེ་དག་གིས་ངེས་པར་མི་འབྱུང་བར་འགྱུར་བ་དང་། ||| without achieving deliverance through those vehicles?
སངས་རྒྱས་རྗེས་སུ་དྲན་པ་ལ་སེམས་ནག་ནོག་མ་མཆིས་པར་འགྱུར་བ་དང་། ||| Through which quality may their minds be unclouded in recollecting the buddhas,
ཁམས་སྣ་ཚོགས་ལ་ཡང་འཇུག་ལ་ཐམས་ཅད་ཀྱི་རྗེས་སུ་ཡང་འཇུག་པར་འགྱུར་བ་དང་། ||| may they engage with the different dispositions and also be in accord with them all,
ཞུ་བ་དང་། སྤོབས་པའི་བསམ་པ་ལ་ཟིལ་གྱིས་ནོན་པར་མི་འགྱུར་བ་དང་། ||| not become overpowered by any question or eloquence,
སངས་རྒྱས་ཀྱི་ཞིང་གི་བཀོད་པ་མཐའ་ཡས་པ་རབ་ཏུ་འཛིན་ཅིང་ཤེས་རབ་མ་ལུས་པར་འཐོབ་པར་འགྱུར་བ་དང་། ||| apprehend all the infinite displays of the buddha realms, attain all forms of insight,
སེམས་ཅན་རྣམས་ཡོངས་སུ་སྨིན་པར་བགྱིད་ལ་སེམས་ཅན་གྱི་འདུ་ཤེས་ལ་ཡང་མི་གནས་པར་འགྱུར་བ་དང་། ||| bring sentient beings to maturation without adhering to the notion of ‘sentient being,’
ཆོས་ཀྱང་སྟོན་ལ། དམིགས་པ་ལ་ཡང་མི་གནས་པ་དང་། ||| teach the Dharma yet not fixate on any objective references,
མྱ་ངན་ལས་འདས་པ་ཡང་སྨྲ་ལ། ཉེ་བར་ཞི་བ་གང་ཡང་མི་དམིགས་པར་འགྱུར་བ་དང་། ||| explain nirvāṇa yet not objectify this peacefulness in any way,
བྱང་ཆུབ་ཀྱི་ཕྱིར་ཡང་སྤྱོད་ལ་མི་གནས་པར་ཡང་འགྱུར་བ་དང་། མཆིས་པ་དང་། ||| act for the sake of awakening without fixation, and give up existence,
མ་མཆིས་པ་ཡོངས་སུ་སྤངས་ཀྱང་རྒྱ་ཆེན་པོ་ལ་མོས་པར་འགྱུར་བར་བགྱིད་པ་དག ། ||| as well as no existence, but aspire to what is vast?
བཅོམ་ལྡན་འདས་བདག་མ་འཚལ་བཞིན་དུ་ནི་མི་ཞུ་ན། ||| Blessed One, I do not ask in this way without any knowledge.
འོན་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ། ||| Nevertheless, please explain.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། ། ||| Then the bodhisattva Prāmodyarāja spoke these verses:
ལྷ་མི་གནོད་སྦྱིན་དྲི་ཟ་འཁོར་མང་པོ། །མཐའ་ཡས་ཇི་ལྟར་མོས་བཞིན་ཚོགས་ལགས་པས། ། ||| “A large assembly of gods, humans, yakṣas, and gandharvas Have gathered here in accordance with their infinite aspirations.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པ་གང་། ། ||| What is the practice of the bodhisattvas?
འཇིག་རྟེན་དག་གི་མགོན་པོ་འོད་མཛད་པ། ། ||| You are the protector of the worlds, the Illuminator,
སྨྲ་བའི་ཟླ་བ་ལ་ནི་ཞུ་ལགས་ན། ། ||| “Moon of Speech—as I beseech you,
གོ་རིམས་བཞིན་དུ་བདག་ལ་ལུང་བསྟན་གསོལ། ། ||| Please give the teaching in step-by-step fashion.
བྱང་ཆུབ་སྤྱོད་མཆོག་ཡོན་ཏན་ཐོས་ནས་ནི། །སྐྱེ་བོ་ཕལ་ཆེན་འདུན་གྱུར་བྱང་ཆུབ་བརྩོན། ། ||| When common people hear of the qualities of supreme awakening, They become inspired and endeavor for awakening.
བྱང་ཆུབ་ཡོན་ཏན་མཆོག་ལ་དད་བསྐྱེད་ནས། ། ||| “With faith in the supreme qualities of awakening,
ཡོན་ཏན་ཀུན་མཐར་ཕྱིན་ལ་ཞུ་ལགས་ན། ། ||| I ask you who have perfected all good qualities.
གྲགས་པ་མཐའ་ཡས་བདག་གི་སེམས་མཁྱེན་ཏམ། ། ||| Master of infinite renown, do you know my mind?
རྒྱལ་བ་མ་གཏོགས་དཔང་གཞན་བདག་ལ་མེད། ། ||| Other than the Victorious One, who could be my witness?
རྒྱལ་བའི་ཡོན་ཏན་ལྷ་མི་ཤིན་ཏུ་སྐོམ། ། ||| “Gods and humans are thirsting for the qualities of the victorious ones.
སྟོབས་བཅུའི་སྤྱོད་པ་རྣམ་པར་ཕྱེ་སྟེ་གསུངས། ། ||| Please explain, delineating the practices of the ten powers.
ཡོན་ཏན་མཆོག་སྤྱོད་བྱང་ཆུབ་ཡོན་ཏན་བྱུང་། ། ||| You possess the supreme qualities and have the qualities of awakening.
གྲགས་མཛེས་ཚུལ་ཆེན་ཁྱོད་ཀྱི་མཁྱེན་སྤྱོད་གསུངས། ། ||| You who know the great ways of renown and beauty, please explain!
ཇི་ནས་ཡེ་ཤེས་འོད་ཟེར་འཕྲོ་བགྱིད་ཅིང་། །ནག་པོའི་རྩ་ལག་དཔུང་བཅས་འཇོམས་བགྱིད་ལ། ། ||| “How do the brilliant light rays of wisdom Conquer the forces of darkness and their armies?
ཇི་ནས་སྟོང་གསུམ་མྱུར་དུ་གཡོ་བགྱིད་པ། ། ||| How is the trichiliocosm quickly shaken?
དེ་འདྲའི་བྱང་ཆུབ་སྤྱོད་པ་བདེ་གཤེགས་གསུངས། ། ||| Well-Gone One, please explain about such activities of awakening.
ཇི་ནས་མཚན་གྱི་མེ་ཏོག་རྒྱས་འགྱུར་ཞིང་། ། ||| “How does the flower of the buddha marks blossom?
ཇི་ནས་མཐའ་ཡས་དབྱངས་ལྡན་འགྱུར་བ་དང་། ། ||| How does one come to possess an infinite voice?
ཇི་ནས་རི་རབ་འདྲ་བའི་ཏིང་འཛིན་འགྱུར། ། ||| How does the absorption that resembles Sumeru arise?
དེ་འདྲའི་བྱང་ཆུབ་སེམས་སྤྱོད་བཤད་དུ་གསོལ། ། ||| Please explain such practices of the mind of awakening.
མཉམ་མེད་མཚུངས་མེད་གཡོ་མེད་ཚུལ་འཆོས་མེད། ། ||| “Incomparable and unrivaled, you are without guile or pretense,
ང་བྲལ་དགྲ་བཅོམ་དྲི་གསུམ་དྲི་བྲལ་བ། ། ||| Selfless, worthy, and free from contamination of the three stains.
དགེ་སྦྱོང་མཆོག་སྟེ་མཁས་པའི་ཚོགས་ཀྱིས་བསྟོད། ། ||| You are the supreme mendicant praised by throngs of the learned—
ཁྱོད་ལ་མི་མཆོག་དག་གི་སྤྱོད་པ་ཞུ། ། ||| I ask you about the practices of supreme people.
རྟོགས་བློ་བརྟན་པོ་དྲན་ལྡན་མེ་ཏོག་གསུང་། ། ||| “Your understanding is stable and mindful, and you have the flower of speech.
འཁྲུལ་མེད་ལེགས་སྤྱད་སྤྱོད་མངའ་སྨྲ་བའི་མཆོག ། ||| Unconfused, you master excellent conduct and are the best of orators.
དྲི་བསལ་སྐྱེས་བཟང་ཁྱུ་མཆོག་ཕན་མཛད་པ། ། ||| Good person free from stains, supreme leader and benefactor,
ཅི་ནས་རྒྱལ་འགྱུར་དེ་ལྟར་བདག་ལ་གསུངས། ། ||| Please teach me how to become victorious.
ཁྱོད་ལས་ཉིན་མཚན་དག་ཏུ་འདི་དག་གིས། ། ||| “When I have heard these matters from you,
མཉན་ནས་བྱང་ཆུབ་སྤྱོད་པ་ཡང་དག་ལ། ། ||| I shall pursue the true practices of awakening throughout day and night.
ཡིད་ལ་བྱེད་པ་གཞན་མེད་བདེ་བ་ཡིས། ། ||| Without anything else occupying my mind,
སྤྱོད་པ་འདི་ལ་མཆོག་ཏུ་སྤྱོད་པར་འགྱུར། ། ||| I shall joyfully devote myself fully to these practices.
ཇི་ནས་ཏིང་འཛིན་ལྡན་ཞིང་གཟུངས་ལྡན་དང་། ། ||| “How does one possess absorption and retention?
ཇི་ནས་བློ་དང་ཤེས་རབ་སྤོབས་ལྡན་དང་། ། ||| How does one possess wisdom, insight, and eloquence?
ཕྱོགས་མཐའ་ཡས་པར་སངས་རྒྱས་མཐོང་བ་དང་། ། ||| How is one able to behold buddhas in infinite directions,
ཚུལ་དང་ཚུལ་མིན་དྲི་བ་འདྲི་བ་དང་། ། ||| And to ask questions regarding what is right and what is not?
ཇི་ལྟར་ཡེ་ཤེས་མཚུངས་མེད་འགྱུར་བ་དང་། ། ||| “How is unequaled wisdom realized?
དགེ་བ་སྒོ་བརྒྱ་དག་ནི་བསྒྲུབ་པ་དང་། ། ||| How are the hundreds of avenues of virtue accomplished?
འཆད་པ་ལ་ནི་འཁྲུལ་པ་མེད་འགྱུར་བ། ། ||| And how does the teaching become free from error?
སྟོབས་བཅུའི་སྤྱོད་པ་ཁྱོད་ལ་ཞུ་ལགས་སོ། ། ||| This I ask of you, who practices the ten powers.
སྲིད་པའི་བདེ་ལ་ཆགས་ཏེའང་མི་ཞུའོ། ། ||| “I ask not out of attachment to the pleasures of existence,
ཡུལ་གྱིས་བསྒྱུར་སླད་དུ་ཡང་མི་ཞུའོ། ། ||| Or because I am swayed by objects.
རྒྱལ་བའི་བདུད་རྩི་ལ་ནི་བདག་ལེགས་འདུན། ། ||| I cherish the elixir of the victorious ones.
སྟོབས་བཅུའི་སྤྱོད་པ་བདག་ལ་མྱུར་དུ་གསུངས། ། ||| So please, quickly, teach me about the practice of the ten powers!”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then spoke to the bodhisattva Prāmodyarāja:
མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་ལེགས་སོ་ལེགས་སོ། ། ||| “Excellent, Prāmodyarāja, excellent!
ཆོས་ཐམས་ཅད་ཀྱི་ཚུལ་ལ་ངེས་པར་སྟོན་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| I possess the absorption called elucidating the way of all phenomena.
བྱང་ཆུབ་སེམས་དཔའ་ཏིང་ངེ་འཛིན་དེ་དང་ལྡན་ན་ཡོན་ཏན་དེ་དག་འཐོབ་པར་འགྱུར་རོ། ། ||| When bodhisattvas possess that absorption, they attain those qualities.
གཞན་ཡང་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱ་ཉི་ཤུ་རྩ་གཅིག་ཡོངས་སུ་རྫོགས་པར་བྱེད་དོ། ། ||| Furthermore, they perfect one hundred and twenty-one perfections.
ཏིང་ངེ་འཛིན་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་འཐོབ་པར་འགྱུར་རོ། །གཟུངས་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་འཐོབ་པར་འགྱུར་རོ། ། ||| They attain eighty-four thousand absorptions and eighty-four thousand retentions.
སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པ་མཁས་པ་ཡང་རྟོགས་པར་འགྱུར་རོ། ། ||| They realize expert ways of engaging in the conduct of all sentient beings,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་ཡང་འགྱུར་རོ། ། ||| and they quickly awaken to unexcelled, complete, and perfect buddhahood.
མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་ཆོས་ཐམས་ཅད་ཀྱི་ཚུལ་ལ་ངེས་པར་སྟོན་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དེ་གང་ཞེ་ན། ||| “Prāmodyarāja, what is the absorption called elucidating the way of all phenomena?
འདི་ལྟ་སྟེ་ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་དུ་བྱེད་པ་ཉིད་དོ། ། ||| It is doing exactly what one says.
ཇི་ལྟར་བྱས་པ་དེ་བཞིན་དུ་སྨྲ་བ་ཉིད་དོ། ། ||| It is saying exactly what one has done.
ལུས་དག་པར་བྱེད་དོ། ། ||| It is purifying the body,
