ཀླུའི་རྒྱལ་པོ་རྔ་སྒྲའི་ཚིགས་སུ་བཅད་པ། ||| The Verses of Nāga King Drum
མི་གང་སེམས་ནི་མི་རྒོད་ཅིང་། །བྱས་པ་གཟོ་དང་བྱས་པ་ཚོར། །བྱས་པ་ཆུད་གཟོན་མི་བྱེད་པ། ། ||| “ ‘People who are calm Will repay kindness, acknowledge it, And not squander it;
དེ་དག་མཁས་པས་རབ་ཏུ་བསྔགས། ། ||| They are thus commended by the wise.
ཆོས་བདེ་བྱམས་པ་བདེ་བ་སྟེ། །འཇུག་ངོགས་བདེ་བའི་ཆུ་ཀླུང་བཞིན། ། ||| “ ‘The Dharma is joyful, and love is joyful, Like a river with pleasant banks.
གྲོགས་ལ་འཁུ་བ་མེད་པ་དང་། །ང་སྙེམས་ང་རྒྱལ་ཟད་པ་བདེ། ། ||| Similarly, those who rid themselves of pride and arrogance And do not begrudge friends are indeed joyful.
ཁེངས་དང་ཟོལ་བྱེད་ང་རྒྱལ་ཆེ། །སྡིག་པའི་གྲོགས་པོ་སྟེན་པ་དང་། །སྟོབས་ལྡན་རྣམས་ལ་རྒོལ་བྱེད་པ། །དེ་དག་རྣམས་ཀྱི་གྲགས་པ་འཇིག ། ||| “ ‘Conceit, deception, and arrogance; Reliance on immoral friends; and Conflict with the powerful— These will ruin your reputation.
དེ་ཕྱིར་ཁེངས་པར་མི་བྱ་སྟེ། །ཁྲོ་བ་རྣམ་པར་སྤང་བར་བྱ། ། ||| “ ‘Therefore, do not be conceited, And completely relinquish anger.
ཁེངས་དང་ཁྲོ་བ་འོངས་འགྱུར་ན། །གྲགས་པ་མཐའ་དག་འཇིག་པར་འགྱུར། ། ||| When conceit and anger arise, They completely ruin your reputation.
གང་ཞིག་རྒན་དང་བྱིས་པ་ནད་པ་དང་། །ཉམ་ཆུང་ཐབས་སྟོར་དེ་བཞིན་དམན་པ་དང་། །རྒྱལ་པོས་སྤངས་དང་སྐྱབས་མེད་པ་དག་ལ། །སྙིང་བརྩེ་མེད་པ་དེ་དག་མིར་མི་རུང་། ། ||| “ ‘Whoever lacks compassion for elders, infants, and the sick; For the weak, helpless, and lowly; and For those who are banished and helpless— Such a person shall not be deemed human.
རང་གི་ཡུལ་འཁོར་གནས་སྤངས་ཏེ། །གཞན་གྱི་ལྗོངས་སུ་ཕྱིན་པ་ན། ། ||| “ ‘If you leave your country and home, And travel to a foreign land,
ཚིག་ངན་སོ་སོར་ཟློག་པ་ལ། །བཟོད་པ་ཆེན་པོ་བྱ་དགོས་སོ། ། ||| You must cultivate strong patience To counter all harsh words.
རང་གི་ཡུལ་ན་བརྙས་བཞིན་འདུག་པ་བས། །མི་རྣམས་གཞན་གྱི་ཡུལ་ན་གནས་ཀྱང་རུང་། ། ||| “ ‘If suffering abuse in your own land, It is better to live in the lands of others;
གང་ན་མི་རྣམས་གཞན་གྱིས་མི་བརྙས་ཏེ། །རང་གི་ཡུལ་ཡིན་དེ་དག་རང་གི་མི། ། ||| Because wherever you are not abused Is your land, and they are your people.
མི་མཆོག་རྣམས་ནི་བརྙས་ཐབས་བྱས་པའི་ཚེ། །ཆུང་མ་སྡུག་དང་ལོངས་སྤྱོད་རྒྱ་ཆེན་གཏོང་། ། ||| “ ‘Excellent beings, when subjected to abuse, Give up beautiful wives and vast wealth.
ངན་པ་རྣམས་ནི་དེ་ནའང་ཡོངས་སུ་འཁྱམ། །བརྙས་ཐབས་བྱས་པ་དེ་ཡང་ཆུ་བཞིན་འཐུང་། ། ||| Immoral ones, however, are entangled in these, And end up drenched with abuse.
དར་བ་རྙེད་པ་དགའ་བ་སྟེ། །རྒུད་པ་མོད་པ་ཡིན་པའི་ཕྱིར། ། ||| “ ‘Because prosperity is rare While poverty is abundant,
སེམས་ཅན་དམས་པར་གྱུར་པའི་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| When people face ruin, Just keep quiet and you will find joy.
གལ་ཏེ་ནོར་མེད་ཕྱོགས་ཉུང་ངམ། །མཛའ་བཤེས་ཕྱོགས་ཀྱི་སྟོབས་ཆུང་ངམ། །དགྲ་བོ་ཕྱོགས་ཀྱི་སྟོབས་ལྡན་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When left with no wealth and few options, When your kin are weak, Or when your rivals are strong, Just keep quiet and you will find joy.
མི་རྣམས་ཆོས་མིན་བྱེད་པ་དང་། །འདོད་པའི་ལོངས་སྤྱོད་མངོན་དགའ་ཞིང་། །དད་ཆུང་ངོ་ཚ་མེད་པའི་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people indulge in immoral deeds, Strongly crave sense pleasures, And have little faith and no sense of shame, Just keep quiet and you will find joy.
མི་རྣམས་ཁྲོ་བར་བྱེད་པ་དང་། །གནོད་སེམས་མང་པོར་གྱུར་པ་དང་། །གཞན་ལའང་གདུག་པའི་ཚུལ་ལྡན་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people show anger and A profusion of malice, And are spiteful toward others, Just keep quiet and you will find joy.
མི་རྣམས་དད་པ་མེད་པ་དང་། །ཁྭ་བཞིན་མུ་ཅོར་སྨྲ་བ་དང་། །སྒྱུ་དང་གཡོ་དག་བྱེད་པའི་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people lack faith, Prattle on like crows, And resort to guile and deception, Just keep quiet and you will find joy.
མི་རྣམས་ཚུལ་ཁྲིམས་འཆལ་པ་དང་། །གཏུམ་ཞིང་གཟུ་ལུམས་བྱེད་པ་དང་། །བདེན་པའི་ཆོས་དང་མི་ལྡན་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people are morally debased, Act fiercely and callously, And lack righteousness, Just keep quiet and you will find joy.
མི་རྣམས་ངང་ཚུལ་ངན་པ་དང་། །ལོག་པའི་ལྟ་བས་བཅོམ་པ་དང་། །གཏུམ་ཞིང་སྡང་བར་གྱུར་པའི་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people are ill-natured, Overcome by false views, And fierce and hateful, Just keep quiet and you will find joy.
ངོ་ཚ་མེད་ཅིང་བརྫུན་དུ་སྨྲ། །དོན་མེད་ཕྲ་མ་ཚིག་རྩུབ་དང་། །དབྱེན་དང་ཁྱལ་པ་སྨྲ་བའི་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people are shameless and tell lies, Or resort to pointless, divisive, hurtful, Gossipy, or divisive speech, Just keep quiet and you will find joy.
ཡ་རབས་ཚུལ་མེད་ཤིན་ཏུ་ཁེངས། །ང་རྒྱལ་གྱིས་ནི་འགྱིང་བ་དང་། །ཕྲག་དོག་བརྐམ་དང་ཚུལ་ཉམས་ཚེ། །ཁ་རོག་འདུག་དང་བདེ་བ་འཐོབ། ། ||| “ ‘When people are bereft of noble ways, Extremely arrogant, and inflated with pride, And are jealous, greedy, and lacking in manners, Just keep quiet and you will find joy.
གང་ཚེ་མི་ཡི་རུས་རྣམས་དང་། །རིགས་རྣམས་ཤེས་པ་མ་ཡིན་པའི། །མི་དང་ལྷན་ཅིག་འདུག་པ་ན། །དེ་ཚེ་ང་རྒྱལ་བྱར་མི་རུང་། ། ||| “ ‘When living amidst people Whose caste and paternal lineage Are unknown, It is not right to be prideful.
གཞན་གྱི་ཡུལ་ན་འདུག་པ་དང་། །གཞན་གྱི་འཚོ་བས་འཚོ་བའི་ཚེ། །ཡུལ་གྱི་ཕྱིར་དང་བདེ་བའི་ཕྱིར། །གཞན་གྱིས་བརྙས་པ་དེ་བཟོད་བྱ། ། ||| “ ‘When dwelling in a foreign land, Sustained by others’ provisions, For the sake of the land and peoples’ well-being, Have patience when scorned by others.
གཞན་གྱི་ཡུལ་ན་གནས་པ་དང་། །གཞན་གྱི་འཚོ་བས་འཚོ་བའི་ཚེ། །སྡང་བས་འཁྲུག་པར་གྱུར་པ་ན། །གཞན་གྱིས་བརྙས་པ་དེ་བཟོད་བྱ། ། ||| “ ‘When living in a foreign land, Sustained by others’ provisions, If caught in a spiteful conflict, Have patience when scorned by others.
གཞན་གྱི་ཡུལ་ན་འདུག་པ་དང་། །གཞན་གྱི་འཚོ་བས་འཚོ་བའི་ཚེ། །དམན་པས་བསྐྲད་པར་གྱུར་ཀྱང་རུང་། །ཤེས་རབ་ལྡན་པས་དེ་བཟོད་བྱ། ། ||| “ ‘When dwelling in a foreign land, Sustained by others’ provisions, Even if a lowly person tries to drive you away, The wise should show patience.
ཀྱེ་མ་ཡུལ་ལོག་བདག་གནས་ཤིང་། །མཛའ་བཤེས་ངན་དང་ཕྲད་པ་ན། །བྱིས་པ་རྣམས་དང་འགྲོགས་པ་ཡི། །གནས་སུ་མི་ངན་རྟེན་བྱེད་མེད། ། ||| “ ‘Alas! If I’m living in a backward land, Where I meet vile companions, Wicked people who fraternize with childish fools Offer no reliable support.
ཤེས་རབ་ལྡན་པས་དེ་བས་མས། །མི་ཤེས་མི་དང་འགྲོགས་བྱེད་ཀྱང་། །མཁས་པས་ནོར་དང་ལོངས་སྤྱོད་ཕྱིར། །གཟུ་ལུམས་ཁོ་ནར་ཁྲོ་མི་བྱ། ། ||| “ ‘The wise, having considered this, May befriend ignorant people; Yet, they will refrain from resenting their hypocritical Concern with wealth and amenities.
ཇི་ལྟར་ཐལ་བས་བཀབ་པའི་མེ། །རྩྭ་དང་ཤིང་གིས་གཡོགས་པ་ལ། །རླུང་རྣམས་ཀྱིས་ནི་ལེགས་བུས་ན། །ཤིན་ཏུ་རབ་ཏུ་འབར་འགྱུར་ཏེ། ། ||| “ ‘Embers covered by ashes Can burst back into flames, When fueled with straw and twigs And fanned by the wind.
རྩྭ་དང་ཤིང་དེ་བསྲེགས་ནས་སུ། །ཆེན་པོར་མཆེད་ཅིང་འབར་བ་ཡིས། །རྩྭ་དང་གེལ་པ་མང་པོ་དག །ལྗོན་ཤིང་ཆེན་པོ་སྲེག་པ་ལྟར། ། ||| “ ‘Burning through the straw and twigs, Fire spreads and blazes, Burning ever more straw and twigs And full-grown trees as well.
དེ་བཞིན་རྣམ་རྟོག་བུད་ཤིང་ལས། །བྱུང་བའི་ཁྲོ་བ་མེ་འདྲ་བས། །བདག་ཉིད་དང་ནི་གཞན་དག་ལ། །ཕུང་ཁྲོལ་ཆེན་པོ་བྱེད་པར་འགྱུར། ། ||| “ ‘Likewise, anger is like a wildfire, Blazing from the fuelwood of thinking, and Wreaking massive devastation Upon oneself and others.
དེ་ཕྱིར་ཁྲོ་བ་བྱུང་བ་ན། །ཞེ་སྡང་གཉེན་པོར་གྱུར་པ་ཡི། །བྱམས་པའི་སེམས་ལ་བསྒོམས་ནས་སུ། །མཁས་པ་རྣམས་ཀྱིས་ཟློག་པར་བྱེད། ། ||| “ ‘Therefore, whenever anger arises, The learned, in order to counter this, Cultivate the attitude of love, Which is the antidote to aggression.
བསྟོད་པ་བྱས་ན་མཛའ་བྱེད་ལ། །མ་བསྟོད་མཛའ་བར་མི་བྱེད་ཅིང་། །མོད་ལ་ཡོངས་སུ་སྤོང་བྱེད་པ། །དེ་ནི་བྱིས་པའི་མཚན་ཉིད་ཡིན། ། ||| “ ‘To be friendly when praised, And unfriendly when not, Should be immediately discarded, For these are traits of childish fools.
གལ་ཏེ་འདི་ན་བྱིས་པ་དག །སྒྲོ་གཤོག་བཏོགས་པའི་བྱ་ལྟ་བུར། །བློ་སྤངས་ཤེས་རབ་མ་འཆལ་ན། ། ||| “ ‘If these childish fools, Who are like birds with their feathers plucked, Were not so bereft of intelligence and in need of insight,
མཁས་པ་ཇི་ལྟར་འཚོ་བར་འགྱུར། ། ||| Then how would the learned eke out a living?
གང་ཕྱིར་བྱིས་པ་ཕལ་ཆེར་ནི། །བློ་གྲོས་སྤངས་ཤིང་ཤེས་འཚལ་བ། ། ||| “ ‘But most childish people Are bereft of intelligence and in need of insight;
དེ་ཕྱིར་མཁས་པ་ཤེས་རབ་ཅན། །ཁྱད་པར་དུ་ནི་བདེ་བར་འཚོ། ། ||| Therefore, it is quite easy For the learned and insightful to eke out a livelihood.
མཁས་པ་ནོར་རྙེད་དགའ་བར་མི་འགྱུར་ལ། །ཕོངས་པར་གྱུར་ཀྱང་མི་འཁྲུལ་འཁྲུག་པ་མེད། ། ||| “ ‘The learned do not take joy in amassing wealth, Nor they are bewildered or disturbed by poverty.
རྗེས་སུ་གཟུང་ཕྱིར་ཕན་པ་དེ་སྨྲ་ན། །ལེགས་སྨྲ་ཡིན་ཞེས་གཞན་གྱིས་ཅིས་མི་རྟོགས། ། ||| Since they preach what is beneficial to adopt, Why do others not recognize it as wise counsel?
མཁས་པ་གཟུ་ལུམས་མེད་པར་གྱུར་པ་དེ། །དེ་ཉིད་དཔྱད་པ་ལེགས་པར་མཉན་ནས་སུ། །དེ་ལྟར་རྣམ་པར་བསམས་ནས་རང་དོན་དང་། །གཞན་གྱི་དོན་དག་ལེགས་པར་སྤྱོད་པར་བྱེད། ། ||| “ ‘The learned are without impetuosity— They pay heed to what they have examined, And having contemplated such subjects well, They implement whatever is good for themselves and others.
མཁས་པ་རྣམས་ནི་འཚོ་བའི་རྒྱུ་ཙམ་གྱིས། །སྡིག་པའི་ལས་རྣམས་ཀུན་ཏུ་སྤྱོད་མི་འགྱུར། ། ||| “ ‘The learned do not indulge in negative deeds For the sake of survival.
གལ་ཏེ་བདེ་དང་སྡུག་བསྔལ་ལྡན་གྱུར་ཀྱང་། །རྟག་ཏུ་ཆོས་དོན་ཡོངས་སུ་གཏོང་བ་མེད། ། ||| Whether in pleasure or in pain, They never forsake their virtuous goals.
བློ་ལྡན་གཡོ་སྒྱུ་ཅན་དུ་མི་འགྱུར་ཏེ། །རྨོངས་པར་མི་འགྱུར་ཚིག་རྩུབ་ཁྲོ་མི་འགྱུར། ། ||| “ ‘The learned are not deceitful, Being neither deluded, nor scornful, nor angry.
ཕོངས་པའི་གནས་ན་མྱ་ངན་མི་བྱེད་པ། །གཞན་གྱིས་གནད་ལ་འབེབས་པར་བྱེད་རེ་སྐན། ། ||| Misfortune does not cause them suffering— So how could they be affected when others harm them?
ཧ་ཅང་ཐལ་དང་ཧ་ཅང་ཞུམ་པ་ཡི། །དམན་པའི་མི་རྣམས་ལ་ཡང་མ་ཡིན་ཏེ ||| “ ‘They are not the type of inferior person Who is overly impetuous or diffident.
བར་མའི་གནས་ལ་སྟེན་པར་བྱེད་པ་དག །དེ་ནི་མཁས་པ་རྣམས་ཀྱི་མཚན་ཉིད་ཡིན། ། ||| Keeping an even keel Is a characteristic of such learned ones.
ཧ་ཅང་ཐལ་བ་རྟག་ཏུ་འཁོན། །ཧ་ཅང་ཞུམ་པ་རྟག་ཏུ་བརྙས། ། ||| “ ‘Excessive impetuosity leads to perpetual resentment, While excessive diffidence leads to perpetual loathing.
དེ་ཕྱིར་དེ་གཉིས་སྤངས་ནས་སུ། །གོ་འཕང་བར་མ་བསྟེན་པར་བྱ། ། ||| Therefore, by avoiding these two, One should maintain a balanced position.
རེས་འགའ་ལྐུགས་པའམ་འོན་པ་ལྟ་བུར་གྱིས། །དུས་ལ་བབ་ནས་བདག་བཞིན་དུ་སྨྲོས། ། ||| “ ‘Act deaf and mute at times, But command like a ruler when the time is right.
རེས་འགའ་གངས་རི་བཞིན་དུ་བསིལ་བར་གྱིས། །དུས་ལ་བབ་ན་མེ་ལྕེ་བཞིན་དུ་སྤོར། ། ||| Remain cool like a snow mountain at times, But burn like fire when the time is right.
རེས་འགའ་རྩྭ་དང་འདྲ་བར་ཞུམ་པར་བྱ། །དུས་ལ་བབ་ན་རི་རབ་ལྟ་བུར་གྱིས། ། ||| “ ‘Be humble like the grass at times, But stand firm like a mountain when the time is right.
རེས་འགའ་རྒྱལ་པོ་ལྟ་བུར་འགྱུར་བར་བར་བྱ། །དུས་ལ་བབ་ན་ཐུབ་འདྲ་ནགས་སུ་སོང་། ། ||| Act like a king at times, But leave for the forest like a sage when the time is right.
