༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
ནོར་ཆེན་པོ། ལོངས་སྤྱོད་ཆེ་བ། བདག་དབང་བ་མང་བ། ནོར་དང་ཡོ་བྱད་མང་བ། ནོར་དང་། འབྲུ་དང་། འཚོག་ཆས་དང་། ནོར་བུ་དང་། མུ་ཏིག་དང་། བཻ་དཱུརྱ་དང་། དུང་དང་། མན་ཤེལ་དང་། བྱི་རུ་དང་། དངུལ་དང་། ས་ལེ་སྦྲམ་མང་བ། གླང་པོ་ཆེ་དང་། རྟ་ཕོ་རྒོད་དང་། བ་ལང་མང་བ། བྲན་པོ་དང་། བྲན་མོ་དང་། ལས་བྱེད་པ་དང་། ཞོ་ཤས་འཚོ་བ་དང་། བང་མཛོད་གང་བ་མང་པོ་དང་ལྡན་པ་ཞིག་གནས་ཏེ། ཁྱིམ་བདག་དཔལ་སྦས་དེ་མ་དད་པ། མ་དང་བ། སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་ལ་དབང་ཟ་བ། གཅེར་བུ་པའི་ཉན་ཐོས་སུ་གྱུར་པ་གཅེར་བུ་པ་ཉེ་དུའི་བུ་ཞེས་བྱ་བ་ལ་མངོན་པར་དད་པ་ཞིག་གོ། ||| He was a rich man—wealthy, prosperous, well-heeled, affluent, and comfortable. He owned money, grain, chattel, gems, pearls, lapis lazuli, conch shells, crystals, coral, silver, and much fine gold. He kept elephants, untamed stallions, many cows, male and female servants, workers, and laborers, and possessed many full treasuries.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་གཅེར་བུ་པ་ཉེ་དུའི་བུ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| This householder, Śrīgupta—neither devout nor pious—had a low opinion of the Buddha, Dharma, and Sangha.
གཅེར་བུ་པ་ཉེ་དུའི་བུའི་རྐང་པ་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| He had become a Jain follower, and was loyal to a Jain master named Jñātiputra.
།ཁྱིམ་བདག་དཔལ་སྦས་ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་གཅེར་བུ་པ་ཉེ་དུའི་བུས་ཁྱིམ་བདག་དཔལ་སྦས་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| One day, Śrīgupta went to visit Jñātiputra. Upon arriving, he bowed at Jñātiputra’s feet and sat to one side.
ཁྱིམ་བདག་གང་དགེ་སྦྱོང་གཽ་ཏ་མ་ན་ཚོད་ཀྱིས་གཞོན་པ། གསར་དུ་རབ་ཏུ་བྱུང་བ་དེ་ཐམས་ཅད་མཁྱེན་པའི་ང་རྒྱལ་ཅན་ཏེ། ཐམས་ཅད་མཁྱེན་པའི་ང་རྒྱལ་དེས་འཇིག་རྟེན་འདི་ཐམས་ཅད་བསླུས་པར་ཤེས་པར་གྱིས་ཤིག ། ||| When Śrīgupta was seated to one side, Jñātiputra said to him, “Householder, a certain young mendicant named Gautama, a novice renunciant, boasts of omniscience. You should know that he has deceived the whole world with his boast of omniscience.
དེའི་ཕྱིར་ཁྱིམ་བདག་ཁྱོད་སོང་ལ་དགེ་སྦྱོང་གཽ་ཏ་མ་དེའི་སྲོག་ཆོད་ཅིག །དེ་འཆི་བའི་དུས་བྱས་ཏེ་ཤི་བ་དང་། དགེ་སྦྱོང་གཽ་ཏ་མ་དེ་ཙམ་དུ་རྫུ་འཕྲུལ་ཆེ་བ། དེ་ཙམ་དུ་མཐུ་ཆེ་བ། དེ་ཙམ་དུ་དབང་ཆེ་བར་གྲགས་པ་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་སྲོག་བཅད་དོ་ཞེས་ཁྱོད་ཀྱི་བརྗོད་པ་དང་། སྒྲ་དང་། ཚིགས་སུ་བཅད་པ་དགེ་བ་རྒྱ་ཆེན་པོ་འདི་ལྟ་བུ་འདི་མངོན་པར་གྲགས་པར་འགྱུར་རོ། ། ||| Therefore, householder, go and take the life of Gautama the mendicant. When he has met his end and died, the news will spread that the householder Śrīgupta killed the mendicant Gautama, who was renowned for his vast miraculous powers, and for his might and strength. Such a tremendous act of virtue will become famous through expositions, statements, and verses about you.”
དཔལ་སྦས་ཀྱིས་སྨྲས་པ། བཙུན་པ་བདག་གིས་དགེ་སྦྱོང་གཽ་ཏ་མ་སྲོག་གཅོད་པར་ཇི་ལྟར་ནུས། ||| Śrīgupta said, “Noble sir, how can I take the life of Gautama the mendicant?”
གཅེར་བུ་པ་ཉེ་དུའི་བུས་སྨྲས་པ། ཁྱིམ་བདག་ཁྱོད་སོང་ལ་ཕྱི་སྒོའི་སྒོ་གང་དུ་དོང་ཆེན་པོ་རྐོས་ཤིག །དོང་ཆེན་པོ་བརྐོས་ནས་མེས་ཁོང་ལ་སྟེང་དུ་ཕྱག་དར་སྲབ་མོས་ཁོབ་ཤིག །ཁྱིམ་གྱི་ནང་དུ་ཟས་དུག་ཅན་སྦྱོར་ལ། ཟས་དུག་ཅན་སྦྱར་ནས་དགེ་སྦྱོང་གཽ་ཏ་མ་དེའི་གན་དུ་སོང་སྟེ་ཟས་ལ་བོས་ཤིག །གལ་ཏེ་དགེ་སྦྱོང་གཽ་ཏ་མ་ཐམས་ཅད་མཁྱེན་ཅིང་ཐམས་ཅད་གཟིགས་པ་ཡིན་ན་ནི་བཏུབ་པར་མི་འགྱུར་རོ། ||| Jñātiputra the Jain replied, “Householder, go and dig a deep pit at the main entrance to your house. When you have dug it, light a fire in the pit and put a thin cover over it. Inside the house, prepare poisoned food. Once this is done, go to the mendicant Gautama and invite him for a meal. If Gautama is truly omniscient and all-seeing, you will not succeed.
།ཇི་སྟེ་ཐམས་ཅད་མཁྱེན་པ་མ་ཡིན་ཐམས་ཅད་གཟིགས་པ་མ་ཡིན་ན་ནི་བཏུབ་པར་འགྱུར་ཏེ། ||| If he is not omniscient and all-seeing, you will succeed.
དེ་ཕྱི་སྒོའི་སྒོ་གང་གི་མེ་དོང་དེར་ལྷུང་ནས་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་ཏེ་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་རོ། ||| Once he has fallen into the fire pit by the main gate, he and his followers will meet their end.
།འོན་ཏང་རྣམ་གྲངས་ཅི་ཞིག་གིས་ཐར་བར་འགྱུར། ཁྱིམ་གྱི་ནང་དུ་ཟས་དུག་ཅན་ཟོས་ན་ཡང་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་རོ། ། ||| If he somehow escapes, he will still meet his end when he eats the poisoned food inside the house. Do as I say.”
དེ་བཞིན་དུ་བགྱིའོ་ཞེས་ཏེ་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་གཅེར་བུ་པ་ཉེ་དུའི་བུའི་ལྟར་ཉན་ནས་སྟན་ལས་ལངས་ཏེ། གཅེར་བུ་པ་ཉེ་དུའི་བུའི་རྐང་པ་ལ་ཕྱག་འཚལ་ནས་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། གཅེར་བུ་པ་ཉེ་དུའི་བུའི་གན་ནས་སོང་ནས་རང་གི་ཁྱིམ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། ||| Having listened to the Jain Jñātiputra’s instructions, Śrīgupta rose from his seat, bowed at the Jain Jñātiputra’s feet, circumambulated him three times, left his presence, and returned to his own house.
རང་གི་ཞོ་ཤས་འཚོ་བ་རྣམས་ལ་བོས་ཏེ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཞོ་ཤས་འཚོ་བ་དག་དེང་ལ་ཕྱི་སྒོའི་སྒོ་གང་དུ་དོང་ཆེན་པོ་རྐོས་ཤིག །དོང་ཆེན་པོ་བརྐོས་ནས་མེ་འབར་བ་མ་ཡིན་པ་དུ་བ་མི་འཐུལ་བས་ཁོང་ལ་སྟེང་དུ་ཕྱག་དར་སྲབ་མོས་ཁོབ་ཤིག །ཁྱིམ་གྱི་ནང་དུ་ཟས་དུག་ཅན་སྦྱོར་ཅིག ། ||| Upon arriving, he summoned his laborers and said, “Laborers, today dig a deep pit near the main gate. After you have dug it out, make a flameless and smokeless fire, and put a thin cover over the pit. Inside the house, prepare poisoned food.”
དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་རང་གི་ཞོ་ཤས་འཚོ་བ་རྣམས་བསགས་ནས་རྒྱལ་པོའི་ཁབ་ནས་བྱུང་སྟེ། བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རིག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་དང་ལྷན་ཅིག་མངོན་སུམ་དུ་དགའ་བར་བྱ་བ་དང་མགུ་བར་བྱ་བའི་གཏམ་རྣམ་པ་མང་པོ་བྱས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| After assembling his laborers, Śrīgupta left Rājagṛha and set out for Vulture Peak, where the Blessed One was. When he arrived, they exchanged many pleasantries and had a satisfying conversation. He then sat to one side.
།ཁྱིམ་བདག་དཔལ་སྦས་ཕྱོགས་གཅིག་ཏུ་འདུག་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དོ། ། ||| While Śrīgupta was seated to one side, the Blessed One gave a Dharma discourse that was instructive, encouraging, uplifting, and joyous.
དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་སྟན་ལས་ལངས་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ཀྱེ་གཽ་ཏ་མ་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་སང་གདུགས་ཚོད་སྦྱོར་ན་གནང་བར་མཛད་དུ་གསོལ། ||| After the Blessed One had given this Dharma discourse that was instructive, encouraging, uplifting, and joyous, Śrīgupta rose from his seat and asked him, “Gautama, would you please allow me to invite you for the midday meal tomorrow, together with your community of śrāvakas?”
དེ་ནས་བཅོམ་ལྡན་འདས་འདི་སྙམ་དུ་དགོངས་ཏེ། ཁྱིམ་བདག་དཔལ་སྦས་འདི་ནི་མི་དགེ་བའི་བཤེས་གཉེན་དང་བསྟེན་པའི་དབང་གིས་ང་ལ་རྣམ་པ་འདི་ལྟ་བུ་བྱ་བར་འདོད་ལ། ||| The Blessed One thought, “Śrīgupta seeks to treat me like this because he has come under the influence of a wicked spiritual friend.
དེ་རིང་པོ་མི་ཐོགས་པར་ཕྱིས་ཆོས་འདུལ་བ་འདི་ལ་རྣམ་པར་དག་པའི་ཆོས་ཅན་དུ་འགྱུར་རོ་སྙམ་སྟེ། ||| But he will soon turn to the pure topics set out in the Dharma and Vinaya.”
དེ་ལྟར་མཁྱེན་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་དཔལ་སྦས་ལ་ཅང་མི་གསུང་བས་གནང་ངོ་། ||| Knowing this, the Blessed One accepted the invitation by not saying anything further to Śrīgupta.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱིས་ཅང་མི་གསུང་བས་གནང་བར་རིག་ནས་ལག་པ་བསྒྱུར་ཏེ་མཛུབ་མོ་བསྒྲེང་ནས་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Śrīgupta understood that the Blessed One had assented by remaining silent.
འདི་ལྟར་བདག་གི་སེམས་ཀྱང་སེམས་ཀྱིས་མི་ཤེས་ན་ཐམས་ཅད་ཤེས་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ། ||| He then raised his arm, lifted his index finger, and thought, “So he does not even know what I am thinking, and is certainly not all-knowing!
དགེ་སྦྱོང་གཽ་ཏ་མས་ཐམས་ཅད་མཁྱེན་པའི་ང་རྒྱལ་གྱིས་འཇིག་རྟེན་འདི་དག་ཐམས་ཅད་བསླུས་སོ་སྙམ་མོ། ||| The mendicant Gautama has deceived the whole world with his boasts of omniscience.”
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་གན་ནས་སོང་ནས་རང་གི་ཁྱིམ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། ཕྱི་སྒོའི་སྒོ་གང་དུ་དོང་ཆེན་པོ་རྐོར་བཅུག་སྟེ། བརྐོས་ནས་མེ་མི་འབར་ཞིང་དུ་བ་མི་འཐུལ་བས་བཀང་སྟེ། སྟེང་དུ་ཕྱག་དར་སྲབ་མོས་གཡོགས་སོ། །ཁྱིམ་གྱི་ནང་དུ་ཡང་ཟས་དུག་ཅན་སྦྱོར་དུ་བཅུག་གོ། ||| The householder Śrīgupta then circumambulated the Blessed One three times and departed from his presence to return to his own house. He had a deep pit dug by the main gate, filled it with a flameless and smokeless fire, and put a thin cover over it.
།དེའི་ཚེ་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་ཁྱིམ་བདག་མགོན་མེད་ཟས་སྦྱིན་གྱི་བུ་མོ་ཆུང་མར་བླངས་པར་གྱུར་ཏེ། ||| Inside the house he had poisoned food prepared.
ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཆུང་མས་ཁྱིམ་བདག་དཔལ་སྦས་རྣམ་པ་འདི་ལྟ་བུ་བྱེད་པར་མཐོང་ངོ་། ། ||| At that time, Śrīgupta was married to the daughter of Anāthapiṇḍada.
མཐོང་ནས་ཀྱང་ཁྱིམ་བདག་དཔལ་སྦས་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཇོ་བོ་ལ་དགྲ་སུ་ཞིག་མཆིས་ན་དེ་དགུམ་པའི་སླད་དུ་དེ་ལྟར་བརྩོན་པར་མཛད། ||| When Śrīgupta’s wife saw him making such preparations, she said to him, “If someone were hostile toward the Lord Buddha, this is how they would try to kill him.”
དེས་སྨྲས་པ། དྲ་མའི་བུ་མོ་ཤེས་པར་གྱིས་ཤིག །དགེ་སྦྱོང་གཽ་ཏ་མ་ན་ཚོད་ཀྱིས་གཞོན་པ། གསར་དུ་རབ་ཏུ་བྱུང་བ་དེ་ཐམས་ཅད་མཁྱེན་པའི་ང་རྒྱལ་ཅན་ཏེ། ||| Śrīgupta replied, “Lady, you should know that the mendicant Gautama, a novice renunciant, is boasting of omniscience.
ཐམས་ཅད་མཁྱེན་པའི་ང་རྒྱལ་དེས་འཇིག་རྟེན་འདི་ཐམས་ཅད་བསླུས་ཀྱིས། ||| With his boast of omniscience, he has deceived the whole world.
དེ་གསད་པའི་ཕྱིར་འདི་ལྟར་བརྩོན་པར་བྱེད་དོ། ། ||| Hence, this is how I am trying to kill him.”
དེས་སྨྲས་པ། ཇོ་བོ་བཅོམ་ལྡན་འདས་དེ་བགྲོངས་པར་ཁྱོད་ཀྱིས་མི་སྤྱོད་ཀྱིས་སྐྱོ་བར་གྱུར་ཏ་རེ། ||| His wife said, “You will regret it when you fail to kill the blessed Lord.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why?
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་སླད་དུའོ། ||| Because he is a tathāgata, an arhat, a perfect buddha.”
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གི་ཆུང་མ་ཤཱཀྱའི་བྲན་གྱི་བུ་མོ་འདིས་གསང་འཕེལ་དུ་འོང་ཞེས་དེའི་ཐོར་ཏོ་ནས་བཟུང་སྟེ་ཁྱིམ་དུ་བཅུག་ནས་སྒོ་གཏན་བཅུག་གོ། ||| Then Śrīgupta thought, “My wife is a servant of the Śākyas—she will spill the secret!” He grabbed her by the hair, dragged her inside the house, and locked the door.
།སྒོ་གཏན་བཅུག་ནས་བཅོམ་ལྡན་འདས་ལ་གདུགས་ཚོད་ལ་བབ་པ་གསོལ་ཏེ། ||| With the door locked, he invited the Blessed One for lunch:
ཀྱེ་གཽ་ཏ་མ་བཤོས་ལགས་ཀྱི་གདུགས་ཚོད་ལ་བབ་བོ། ||| “Gautama, it is time for the midday meal.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| The Blessed One said to Venerable Ānanda, “Go and get a fan.
ཁྱོད་སོང་ལ་བསིལ་ཡབ་ཐོགས་ཏེ་གནས་ཁང་ནས་གནས་ཁང་དུ་སོང་ལ་ཚེ་དང་ལྡན་པ་དག་བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ངའི་སྔ་རོལ་དུ་དགེ་སློང་གང་ཡང་དཔལ་སྦས་ཀྱི་ཁྱིམ་དུ་མ་འཇུག་ཤིག་ཅེས་དོན་དེ་བསྒོ་ཤིག ། ||| Then go from dwelling to dwelling and tell the senior monks that the Blessed One says, ‘No monk should enter the house of Śrīgupta ahead of me.’ Issue this instruction.”
བཅོམ་ལྡན་འདས་དེ་བཞིན་ནོ་ཞེས་གསོལ་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་མཉན་ཏེ། ||| “Very well, Blessed One.” Ānanda then did as he was told.
བསིལ་ཡབ་ཐོགས་ནས་དགེ་སློང་རྣམས་ཀྱི་གན་དུ་སོང་སྟེ། ཚེ་དང་ལྡན་པ་དག་བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ||| Carrying a fan, he approached the monks and told them, “Venerable sirs, the Blessed One issues the following instruction:
ངའི་སྔ་རོལ་ཏུ་དགེ་སློང་གང་ཡང་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཁྱིམ་དུ་མ་འཇུག་ཤིག་ཅེས་དོན་དེ་བསྒོའོ། ||| ‘No monk should enter the house of Śrīgupta ahead of me.’ ”
།དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཤམ་ཐབས་དང་ཆོས་གོས་གསོལ་ཏེ། ལྷུང་བཟེད་བསྣམས་ནས་དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར། དགེ་སློང་གི་དགེ་འདུན་གྱིས་མདུན་དུ་བདར་ཏེ་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལས་བབས་སོ། ||| In the morning, the Blessed One put on his lower garment and outer robe, took his alms bowl, and in the company of a devout group of monks, descended from Vulture Peak.
།དེ་ནས་མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་ཚངས་རིས་ཀྱི་ལྷའི་བུ་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་གཡས་རོལ་ནས་འགྲོའོ། ། ||| Then Brahmā Sahāmpati, surrounded by a devout group of gods from the Realm of Brahmā, approached the Blessed One, bowed at his feet, and walked on his right side.
ལྷའི་དབང་པོ་བརྒྱ་བྱིན་ཡང་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷའི་བུ་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་གཡོན་རོལ་ནས་འགྲོའོ། ||| The lord of the gods, Śakra, surrounded by a devout group of gods of the Heaven of the Thirty-Three, approached the Blessed One, bowed his head at his feet, and walked on his left side.
།རྒྱལ་པོ་ཆེན་པོ་བཞི་པོ་རྒྱལ་པོ་ཆེན་པོ་གནས་སྲུང་པོ་དང་། འཕགས་སྐྱེས་པོ་དང་། མིག་མི་བཟང་དང་། རྣམ་ཐོས་ཀྱི་བུ་ཡང་གནོད་སྦྱིན་བརྒྱ་སྟོང་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཕྱི་བཞིན་འགྲོའོ། ||| The four great kings—Dhṛtarāṣṭra, Virūḍhaka, Virūpākṣa, and Vaiśravaṇa—surrounded by many thousands of devout yakṣas, walked behind the Blessed One.
།རྒྱལ་པོ་ཆེན་པོ་རྣམ་ཐོས་ཀྱི་བུ་ནི་བཅོམ་ལྡན་འདས་ཀྱི་གདུགས་ཐོགས་སོ། ||| The great king Vaiśravaṇa carried the Blessed One’s parasol.
