ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། །དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ་སྡུག་བསྔལ་འགོག་པར་འགྲོ་བའི་ལམ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་བསྒོམས་སོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། །ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ། ||| “Monks, regarding things that I had not previously heard, as I reflected thoroughly, the vision arose, and the insight, knowledge, understanding, and realization arose: ‘With higher knowledge I have cultivated the path leading to the cessation of suffering, that truth of noble beings.’
དགེ་སློང་དག་ང་ཇི་སྲིད་དུ་འཕགས་པའི་བདེན་པ་བཞི་པོ་འདི་རྣམས་ལ་དེ་ལྟར་ལན་གསུམ་དུ་བཟླས་ཏེ་རྣམ་པ་བཅུ་གཉིས་སུ་བསྐོར་བའི་མིག་མ་སྐྱེས། ཤེས་པ་མ་ཡིན་རིག་པ་མ་ཡིན་བློ་མ་ཡིན་རྟོགས་པ་མ་སྐྱེས་པ་དེ་སྲིད་དུ། ||| “Monks, until I had achieved the vision, insight, knowledge, understanding, and realization of these four truths of noble beings that are turned in three phases and comprise twelve aspects,
ང་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་བདུད་དང་བཅས་ཚངས་པ་དང་བཅས་དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་དང་། ལྷ་དང་མིར་བཅས་པ་འདི་ལས་གྲོལ་བ་དང་ངེས་པར་བྱུང་བ་དང་མི་ལྡན་པ་དང་། རབ་ཏུ་གྲོལ་བ་ ||| I had not been freed from this world with its devas, from its living beings including māras and brahmās as well as mendicants and brahmins, from its gods and humans. I had not escaped from it, severed ties with it, or been delivered from it.
དང་ཕྱིན་ཅི་ལོག་དང་བྲལ་བའི་སེམས་ཀྱིས་མང་དུ་གནས་པར་མ་གྱུར་ ||| Nor did I dwell extensively with a mind free from error.
དགེ་སློང་དག་ངས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ་ཞེས་བྱ་བར་མ་ཤེས་སོ། ||| Monks, I did not have the knowledge that I had fully awakened to unsurpassed and perfect buddhahood.
དགེ་སློང་དག་ངས་གང་ནས་འཕགས་པའི་བདེན་པ་བཞི་པོ་འདི་རྣམས་ལ་དེ་ལྟར་ལན་གསུམ་དུ་བཟླས་ཏེ། རྣམ་པ་བཅུ་གཉིས་སུ་བསྐོར་བའི་མིག་སྐྱེས་ཤིང་ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་པ་དེ་ནས་ ||| “Monks, once I had achieved the vision, insight, knowledge, understanding, and realization of turning these four truths of noble beings in three phases with twelve aspects,
ང་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་བདུད་དང་བཅས་ཚངས་པ་དང་བཅས་དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་དང་། ལྷ་དང་མིར་བཅས་པ་འདི་ལས་གྲོལ་བ་དང་ངེས་པར་འབྱུང་བ་དང་མི་ལྡན་པ་དང་། རབ་ཏུ་གྲོལ་བ་ ||| I was freed from this world with its devas, from its living beings including māras and brahmās as well as mendicants and brahmins, from its gods and humans. I had escaped from it, severed ties with it, and been delivered from it.
དང་ཕྱིན་ཅི་ལོག་དང་བྲལ་བའི་སེམས་ཀྱིས་མང་དུ་གནས་པར་གྱུར་ ||| I dwelled extensively with a mind free from error.
དགེ་སློང་དག་ངས་དེ་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ་ཞེས་བྱ་བར་ཤེས་སོ། ། ||| Monks, I then had the knowledge that I had fully awakened to unsurpassed and perfect buddhahood.”
ཆོས་ཀྱི་རྣམ་གྲངས་དེ་བཀའ་སྩལ་པ་ན། ཚེ་དང་ལྡན་པ་ཀཽ་ཎྜི་ནྱ་དང་། ||| When the Blessed One had given this Dharma discourse, venerable Kauṇḍinya,
ལྷ་བརྒྱད་ཁྲི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་སྐྱེས་སོ། ། ||| along with eighty thousand gods, achieved the Dharma vision that is free from dust and stainless with regard to phenomena.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀཽ་ཎྜི་ནྱ་ལ་བཀའ་སྩལ་པ། ། ||| The Blessed One now asked venerable Kauṇḍinya,
ཀཽ་ཎྜི་ནྱ་ཁྱོད་ཀྱིས་ཆོས་ཀུན་ཤེས་སམ། བཅོམ་ལྡན་འདས་ཀུན་འཚལ་ལགས་སོ། ། ||| “Kauṇḍinya, did you understand the Dharma?” “Blessed One,” he replied, “I understood.”
ཚེ་དང་ལྡན་པ་ཀཽ་ཎྜི་ནྱས་ཆོས་ཀུན་ཤེས་པས་དེའི་ཕྱིར་ཚེ་དང་ལྡན་པ་ཀཽཎྜི་ནྱ་ཀུན་ཤེས་ཀཽཎྜི་ནྱ་ཞེས་ཚིག་བླ་དགས་སུ་བཏགས་སོ། ། ||| “Because venerable Kauṇḍinya has understood the Dharma, venerable Kauṇḍinya shall now be known as Ājñātakauṇḍinya.”
ཚེ་དང་ལྡན་པ་ཀཽ་ཎྜི་ནྱས་ཆོས་ཀུན་ཤེས་སོ་ཞེས་ས་བླའི་གནོད་སྦྱིན་རྣམས་སྒྲ་སྒྲོགས་པར་བྱེད་དེ། ། ||| At that point the terrestrial yakṣas called out, “Venerable Kauṇḍinya has understood the Dharma!” And they continued,
གྲོགས་པོ་དག་བཅོམ་ལྡན་འདས་ཀྱིས་བཱ་རཱ་ཎ་སཱིར་དྲང་སྲོང་སྨྲ་བའི་རི་དགས་ཀྱི་ནགས་སུ་ལན་གསུམ་དུ་བཟླས་ཏེ་རྣམ་པ་བཅུ་གཉིས་ཀྱི་ཆོས་ཀྱི་འཁོར་ལོ་ཆོས་དང་ལྡན་པ་དགེ་སྦྱོང་ངམ་བྲམ་ཟེ་འམ་ལྷ་འམ་བདུད་དམ་ཚངས་པའམ་སུས་ཀྱང་འཇིག་རྟེན་དུ་ཆོས་དང་འཐུན་པར་འགའ་ཡང་མ་བསྐོར་བ། སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། ལྷ་དང་མི་རྣམས་ཀྱི་དོན་དང་ཕན་པ་དང་བདེ་བའི་ཕྱིར་བསྐོར་བས་ ||| “Friends, in the Deer Park at Ṛṣivadana by Vārāṇasī, the Blessed One has turned the wheel of Dharma in three phases with twelve aspects. He has turned the wheel of Dharma in a way that no mendicant or brahmin, and no god, māra, or Brahmā in the world could ever do in accord with the Dharma. He has done so for the benefit of many beings, for the happiness of many beings, out of love for the world, and for the welfare, benefit, and happiness of gods and humans. Hence,
ལྷའི་རིས་མངོན་པར་འཕེལ་ཞིང་ལྷ་མ་ཡིན་གྱི་རིས་ཡོངས་སུ་ཉམས་སོ་ ||| the gods will flourish and the demigods will be on the wane.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཱ་རཱ་ཎ་སཱིར་དྲང་སྲོང་སྨྲ་བའི་རི་དགས་ཀྱི་ནགས་སུ་ལན་གསུམ་དུ་བཟླས་ཏེ། རྣམ་པ་བཅུ་གཉིས་སུ་ཆོས་ཀྱི་འཁོར་ལོ་ཆོས་དང་ལྡན་པ་བསྐོར་བས། ||| In the Deer Park at Ṛṣivadana by Vārāṇasī, the Blessed One turned the wheel of Dharma in three phases with twelve aspects.
དེའི་ཕྱིར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་ཞེས་ཚིག་བླ་དགས་སུ་བཏགས་སོ། ། ||| Therefore, this Dharma teaching was named Turning the Wheel of Dharma
ཆོས་ཀྱི་འཁོར་ལོའི་མདོ་རྫོགས་སོ།། ། ||| This completes “ The Sūtra of the Wheel of Dharma
