༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་མ་ཏཱི་བྲཱཧྨ་ཎཱི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Questions of Śrīmatī the Brahmin Woman
མཐོང་ནས་ཀྱང་སེམས་དང་བར་གྱུར་ཏེ། དེ་སེམས་དང་བས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| Seeing this, Śrīmatī the brahmin woman was inspired and went to him.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པའི་རྐང་པ་ལ་ཕྱག་འཚལ་ནས། ||| She paid homage at the feet of the Blessed One and the bodhisattva great being Ajita.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། བཅོམ་ལྡན་འདས་ལེགས་པར་བྱོན་ཏོ། ། ||| “Welcome, Blessed One,” she said, bowing toward the Blessed One with joined palms.
བཅོམ་ལྡན་འདས་ལེགས་པར་བྱོན་ཏོ། ། ||| “Welcome.
བཅོམ་ལྡན་འདས་གདན་བཤམས་པ་འདི་ལ་བཞུགས་སུ་གསོལ་ཞེས་གསོལ་པ་དང་། ||| Please be seated on the seat we have set out for you.”
བཅོམ་ལྡན་འདས་དང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་སོ་སོ་ཅི་རིགས་པར་བཞུགས་སོ། ། ||| The Blessed One and the bodhisattva great being Ajita took their respective seats.
དེ་ནས་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་བཅོམ་ལྡན་འདས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་བདེ་བར་བཞུགས་པར་རིག་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིར་དྲང་སྲོང་ལྷུང་བ་རི་དགས་ཀྱི་ནགས་འདིར་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་ཏོ་ཞེས་བདག་གིས་ཐོས་ན། ||| Seeing that the Blessed One and the bodhisattva great being Ajita were comfortably seated, Śrīmatī the brahmin woman bowed toward the Blessed One with joined palms and said, “Blessed One, I have heard that the Blessed One turned the wheel of Dharma at Ṛṣipatana Deer Park near the city of Vārāṇasī.
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ཀྱིས་གང་བསྐོར་བའི་ཆོས་ཇི་ལྟ་བུ་ཞིག་ལགས་དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Blessed One, what Dharma did the Blessed One teach?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །དཔལ་ལྡན་མ་མ་རིག་པའི་རྐྱེན་གྱིས་འདུ་བྱེད་རྣམས། ||| The Blessed One answered Śrīmatī the brahmin woman, “Śrīmatī, it is this: Through the condition of ignorance, there are formations.
འདུ་བྱེད་རྣམས་ཀྱི་རྐྱེན་གྱིས་རྣམ་པར་ཤེས་པ་དང་། ||| Through the condition of formations, there is consciousness.
རྣམ་པར་ཤེས་པའི་རྐྱེན་གྱིས་མིང་དང་གཟུགས། ||| Through the condition of consciousness, there is name and form.
མིང་དང་གཟུགས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་མཆེད་དྲུག ། ||| Through the condition of name and form, there are the six sense sources.
སྐྱེ་མཆེད་དྲུག་གི་རྐྱེན་གྱིས་རེག་པ། ||| Through the condition of the six sense sources, there is contact.
རེག་པའི་རྐྱེན་གྱིས་ཚོར་བ། ||| Through the condition of contact, there is sensation.
ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ། ||| Through the condition of sensation, there is craving.
སྲེད་པའི་རྐྱེན་གྱིས་ལེན་པ། ||| Through the condition of craving, there is grasping.
ལེན་པའི་རྐྱེན་གྱིས་སྲིད་པ། ||| Through the condition of grasping, there is becoming.
སྲིད་པའི་རྐྱེན་གྱིས་སྐྱེ་བ། ||| Through the condition of becoming, there is rebirth.
སྐྱེ་བའི་རྐྱེན་གྱིས་རྒ་ཤི་དང་། མྱ་ངན་དང་སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། ||| Through the condition of rebirth, there is old age and death, as well as sorrow, misery, suffering, mental anguish, and agitation.
འཁྲུགས་པ་རྣམས་འབྱུང་སྟེ། དེ་ལྟར་སྡུག་བསྔལ་གྱི་ཕུང་པོ་ཆེན་པོ་འབའ་ཞིག་པོ་འདི་དག་འབྱུང་བར་འགྱུར་རོ། ། ||| In this way, only great heaps of suffering come about.
མ་རིག་པ་འགགས་པས་འདུ་བྱེད་འགག ། ||| “With the cessation of ignorance, formations cease.
འདུ་བྱེད་འགགས་པས་རྣམ་པར་ཤེས་པ་འགག ། ||| With the cessation of formations, consciousness ceases.
རྣམ་པར་ཤེས་པ་འགགས་པས་མིང་དང་གཟུགས་འགག ། ||| With the cessation of consciousness, name and form cease.
མིང་དང་གཟུགས་འགགས་པས་སྐྱེ་མཆེད་དྲུག་འགག ། ||| With the cessation of name and form, the six sense sources cease.
སྐྱེ་མཆེད་དྲུག་འགགས་པས་རེག་པ་འགག ། ||| With the cessation of the six sense sources, contact ceases.
རེག་པ་འགགས་པས་ཚོར་བ་འགག ། ||| With the cessation of contact, sensation ceases.
ཚོར་བ་འགགས་པས་སྲེད་པ་འགག ། ||| With the cessation of sensation, craving ceases.
སྲེད་པ་འགགས་པས་ལེན་པ་འགག ། ||| With the cessation of craving, grasping ceases.
ལེན་པ་འགགས་པས་སྲིད་པ་འགག ། ||| With the cessation of grasping, becoming ceases.
སྲིད་པ་འགགས་པས་སྐྱེ་བ་འགག ། ||| With the cessation of becoming, rebirth ceases.
སྐྱེ་བ་འགགས་པས་རྒ་ཤི་དང་མྱ་ངན་དང་སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུགས་པ་རྣམས་འགགས་ཏེ། ||| With the cessation of rebirth, old age and death, as well as sorrow, misery, suffering, mental anguish, and agitation, cease.
དེ་ལྟར་སྡུག་བསྔལ་གྱི་ཕུང་པོ་ཆེན་པོ་འབའ་ཞིག་པོ་འདི་འགག་པར་འགྱུར་རོ་ཞེས་བྱ་བ་དཔལ་ལྡན་མ་དགེ་སྦྱོང་ངམ། ||| In only this way will the great heap of suffering cease.
བྲམ་ཟེའམ། ལྷའམ། བདུད་དམ། ཚངས་པའམ། སུས་ཀྱང་ཆོས་དང་འཐུན་པར་འཇིག་རྟེན་དུ་མ་བསྐོར་བའི་ཆོས་ཀྱི་འཁོར་ལོ་འདི་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིར་དྲང་སྲོང་ལྷུང་བ་རི་དགས་ཀྱི་ནགས་སུ་དེ་བཞིན་གཤེགས་པས་བསྐོར་ཏོ། ། ||| “This, Śrīmatī, is the wheel of Dharma that has never before been rightfully turned in the world by any mendicant, brahmin, god, demon, or brahmā, but was turned by the Thus-Gone One here at Ṛṣipatana Deer Park near the city of Vārāṇasī.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཅི་མ་རིག་པ་ནང་ན་མཆིས་སམ། ||| Śrīmatī the brahmin woman asked the Blessed One, “Blessed One, is ignorance something internal or something external?”
སླད་རོལ་ན་མཆིས། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དཔལ་ལྡན་མ་དེ་ནི་མ་ཡིན་ནོ། ། ||| The Blessed One responded, “It is neither, Śrīmatī.”
གསོལ་པ། བཅོམ་ལྡན་འདས་གལ་ཏེ་མ་རིག་པ་ནང་དང་སླད་རོལ་ན་མ་མཆིས་པ་ལགས་ན་མ་མཆིས་པ་དེ་ཇི་ལྟར་འདུ་བྱེད་རྣམས་ཀྱི་རྐྱེན་དུ་འགྱུར་ཏེ། ||| “Blessed One, if ignorance is neither internal nor external, then how does something nonexistent act as a condition for formations?
བཅོམ་ལྡན་འདས་ཆོས་གང་ཡང་འཇིག་རྟེན་ཕ་རོལ་ན་མཆིས་ལགས་སམ། བཀའ་སྩལ་པ། ||| Are there any phenomena that are beyond this world, Blessed One?”
དཔལ་ལྡན་མ་དེ་ནི་མ་ཡིན་ནོ། ། ||| “There are not, Śrīmatī.”
གསོལ་པ། བཅོམ་ལྡན་འདས་མ་རིག་པའི་རྣམ་པ་མཆིས་ལགས་སམ། ||| “Blessed One, does ignorance have features?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དཔལ་ལྡན་མ་དེ་ནི་མེད་དེ། ||| “It does not, Śrīmatī,” the Blessed One replied.
དཔལ་ལྡན་མ་མ་རིག་པ་ནི་ཡང་དག་པ་མ་ཡིན་པའི་རྣམ་པར་འབྱུང་གི་ཡང་དག་པའི་རྣམ་པར་ནི་མི་འབྱུང་ངོ་། ། ||| “Ignorance comes about in a false manner, Śrīmatī;
དཔལ་ལྡན་མ་མ་རིག་པ་ནི་ཕྱིན་ཅི་ལོག་གི་རྣམ་པར་འབྱུང་གི། ||| it does not come about in a true manner. Ignorance comes about in a mistaken manner, Śrīmatī;
ཕྱིན་ཅི་མ་ལོག་པའི་རྣམ་པར་མི་འབྱུང་ངོ་། །གསོལ་པ། ||| it does not come about in an unmistaken manner.”
བཅོམ་ལྡན་འདས་མ་རིག་པ་མ་མཆིས་ན། འདུ་བྱེད་རྣམས་ཅི་ལས་འབྱུང་། ||| “Blessed One, if ignorance is nonexistent then where do formations come from?
སྡུག་བསྔལ་ཡང་ཅི་ལས་འབྱུང་། ||| And where does suffering come from?
བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ་དཔེར་ན་ཞུགས་ཤིང་ནྱ་གྲོ་དྷའི་རྩ་བ་མ་མཆིས་ན་དེའི་ཡལ་ག་དང་། ||| Blessed One, let me share an analogy.
ལོ་མ་དང་། ཡལ་ག་ཕྲེའུ་ཅི་ལྟར་མངོན་པར་འགྱུར། ||| If a banyan tree has no roots, how do its boughs, leaves, and branches develop?
བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་མ་རིག་པ་མ་བྱུང་ཞིང་མཆིས་པ་མ་ལགས་ན་མ་རིག་པ་འདུ་བྱེད་རྣམས་ཀྱི་རྐྱེན་ཀྱང་ལགས་པར་ཇི་ལྟར་འཚལ་བར་འགྱུར། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དེ་བཞིན་ཏེ། ||| In a similar manner, Blessed One, if ignorance has not come into being and is not existent, how can it act as the condition for formations?”
དཔལ་ལྡན་མ་རང་གི་མཚན་ཉིད་སྟོང་པ་ཉིད་ཀྱིས་ཆོས་ཐམས་ཅད་སྟོང་ན་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་ཐོས་པ་དང་མི་ལྡན་པ་མི་ཤེས་པ་མ་རྟོགས་པ་དག་ལས་མངོན་པར་འདུ་བྱེད་དེ། ||| “Indeed, Śrīmatī,” replied the Blessed One, “all phenomena are empty of inherent characteristics.
ལས་རྣམས་ཡོད་པས་སྲིད་པ་མངོན་པར་འགྲུབ་པར་བྱེད་དོ། ། ||| Nevertheless, childish, ordinary beings who lack learning, knowledge, and realization bring about the formation of karma.
སྲིད་པ་ཡོད་པས་སྡུག་བསྔལ་མྱོང་བར་ཟད་དེ། ||| Through this karma, cyclic existence manifests, and due to cyclic existence, these beings end up experiencing suffering.
འདི་ལ་ལས་མངོན་པར་འདུ་བྱེད་པ་ཡང་སུ་ཡང་མེད་ཅིང་སྲིད་པ་མངོན་པར་འགྲུབ་པར་བྱེད་པ་ཡང་མེད་དེ། ||| But there is no one who forms karma nor is there any act of manifesting cyclic existence.
དེ་ནི་ཆོས་རྣམས་ཀྱི་དོན་དམ་པའོ། ། ||| This is the ultimate nature of phenomena.
དཔལ་ལྡན་མ་འོན་ཀྱང་སེམས་ཅན་རྣམས་ཇི་ལྟར་དོན་དམ་པ་རྟོགས་པར་འགྱུར་སྙམ་ནས་ཐ་སྙད་ཉེ་བར་བཟུང་སྟེ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་སེམས་ཅན་རྣམས་ལ་ཆོས་སྟོན་ཏོ། ། ||| However, Śrīmatī, thus-gone, worthy, and perfect buddhas, being concerned with how beings can realize the ultimate nature, resort to convention to teach beings the Dharma.
དཔལ་ལྡན་མ་ཐ་སྙད་ནི་ཡང་དག་པ་མ་ཡིན་ཏེ། ||| However, Śrīmatī, convention is not true.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
དེ་ལ་ཁོང་དུ་ཆུད་པར་བྱེད་པ་པོ་ཡང་མེད། དེ་ལ་ཤེས་པར་བྱེད་པ་ཡང་མེད་པའི་ཕྱིར་རོ། ། ||| Because there is no one to comprehend it and no act of coming to understand it.
དཔལ་ལྡན་མ་འདི་ལྟ་སྟེ་དཔེར་ན། ||| “Take the following analogy, Śrīmatī.
དེ་བཞིན་གཤེགས་པས་སྤྲུལ་པ་སྤྲུལ་ཏེ། ||| The Thus-Gone One projects an emanation of himself which then, in turn, projects an emanation of itself.
དེ་བཞིན་གཤེགས་པས་སྤྲུལ་པ་དེས་ཀྱང་སྤྲུལ་པ་གཞན་སྤྲུལ་ན་དེ་ལ་དེ་བཞིན་གཤེགས་པས་སྤྲུལ་པ་ཡང་གསོག་སྟེ་བརྫུན་པ་སླུ་བའི་ཆོས་ཅན་ནོ། ། ||| The emanation projected by the Thus-Gone One is hollow, that is, of a false and deceptive nature.
སྤྲུལ་པས་སྤྲུལ་པ་གང་ཡིན་པ་དེ་ཡང་གསོག་སྟེ། བརྫུན་པ་སླུ་བའི་ཆོས་ཅན་ནོ། ། ||| The emanation projected by the emanation is also hollow, that is, of a false and deceptive nature.
དཔལ་ལྡན་མ་དེ་བཞིན་དུ་གང་གིས་ཆོས་མངོན་པར་འདུས་བྱས་པ་དེ་ཡང་གསོག་སྟེ། བརྫུན་པ་སླུ་བའི་ཆོས་ཅན་ནོ། ། ||| In a similar manner, Śrīmatī, that which conditions phenomena is hollow, that is, of a false and deceptive nature.
ཆོས་གང་མངོན་པར་འདུ་བྱ་བ་དེ་ཡང་གསོག་སྟེ། བརྫུན་པ་སླུ་བའི་ཆོས་ཅན་ནོ། ། ||| The conditioned phenomena are also hollow, that is, of a false and deceptive nature.”
གསོལ་པ་འདི་ལྟ་སྟེ། ||| “It is so,” she replied.
བཅོམ་ལྡན་འདས་ཀྱིས་སྟོང་པ་ཉིད་ཀྱི་འཁོར་ལོ་དང་། ངེས་པར་འབྱིན་པའི་འཁོར་ལོ་དང་། ངེས་པར་འབྱེད་པའི་འཁོར་ལོ་དང་། བསམ་གྱིས་མི་ཁྱབ་པའི་འཁོར་ལོ་དང་། བསྐོར་བ་མ་ལགས་པའི་འཁོར་ལོ་དང་། མཚུངས་པ་མ་མཆིས་པའི་འཁོར་ལོ་དང་། ཇི་ལྟ་བ་བཞིན་གྱི་འཁོར་ལོ་དང་། སྐྱེ་བ་མ་མཆིས་པའི་འཁོར་ལོ་དང་། ||| “The Blessed One has turned the wheel of emptiness, the wheel of emancipation, the wheel of certainty, the wheel of inconceivability, the wheel unturned, the wheel of the incomparable, the wheel just as it is, the wheel of birthlessness, the wheel of the unreal, and the wheel of the absence of characteristics.”
དངོས་པོ་མ་མཆིས་པའི་འཁོར་ལོ་དང་། མཚན་ཉིད་མ་མཆིས་པའི་འཁོར་ལོ་འདི་བསྐོར་བ་ནི་ནམ་མཁའི་འཁོར་ལོ་འདི་བསྐོར་ལགས་སོ། །དེ་ནས་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་ཙན་དན་གྱི་ཕྱེ་མ་སྤར་གང་བླངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་གཏོར་ནས་ཚིག་འདི་སྐད་ཅེས་བཅོམ་ལྡན་འདས་དགེ་བའི་རྩ་བ་འདིས་བདག་མ་འོངས་པའི་དུས་ན་འདི་ལྟ་སྟེ། སྟོང་པ་ཉིད་ཀྱི་འཁོར་ལོ་ནས་མཚན་ཉིད་མ་མཆིས་པའི་འཁོར་ལོའི་བར་དུ་ཆོས་ཀྱི་འཁོར་ལོ་འདི་ལྟ་བུ་བསྐོར་བར་གྱུར་ཅིག་ཅེས་སྨྲས་སོ། ། ||| Then Śrīmatī the brahmin woman took a handful of sandalwood powder, sprinkled it on the Blessed One’s feet, and said, “Blessed One, by this root of virtue, may I too in the future turn the wheel of Dharma in that way—the wheel of emptiness, the wheel of emancipation, the wheel of certainty, the wheel of inconceivability, the wheel unturned, the wheel of the incomparable, the wheel just as it is, the wheel of birthlessness, the wheel of the unreal, and the wheel of the absence of characteristics.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་འཛུམ་པ་མཛད་དོ། །འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཆོས་ཉིད་དེ་གང་གི་ཚེ་འཛུམ་པ་མཛད་པ་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་འོད་ཟེར་ཁ་དོག་དུ་མ་ཁ་དོག་སྣ་ཚོགས་འདི་ལྟ་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དཀར་པོ་དང་། ||| At this, the Blessed One smiled.
དམར་པོ་དང་། བཙོད་ཀ་དང་། ཤེལ་དང་། དངུལ་གྱི་ཁ་དོག་ལྟ་བུ་དག་བྱུང་ནས་དེ་དག་གིས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་སྣང་བས་ཁྱབ་པར་བྱས་ཏེ་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་མངོན་པར་བྱུང་ནས་སླར་ལོག་སྟེ། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་ཏུ་ནུབ་བོ། ། ||| As is the nature of the blessed buddhas when they smile, as he smiled, lights of many colors—blue, white, red, crimson, and the colors of crystal and silver—streamed from his mouth, filling and illuminating worlds without end all the way up to the Brahmā realms, before returning, circling the Blessed One three times, and dissolving into the crown of his head.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then, the bodhisattva great being Ajita said to the Blessed One, “Blessed One!
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་རྒྱུ་མ་མཆིས་རྐྱེན་མ་མཆིས་པར་འཛུམ་པ་མི་མཛད་ན་འཛུམ་པ་མཛད་པའི་རྒྱུ་གང་ལགས། ||| Thus-gone, worthy, and perfect buddhas do not smile without cause and condition.
རྐྱེན་གང་ལགས། ||| What, then, are the causes and conditions for your smile?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །མ་ཕམ་པ་ཁྱོད་ཀྱིས་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མ་འདིས་ཙན་དན་གྱི་ཕྱེ་མ་སྤར་གང་བླངས་ཏེ། དེ་བཞིན་གཤེགས་པའི་ཞབས་ལ་གཏོར་བ་མཐོང་ངམ། གསོལ་པ། ||| “Ajita,” he replied, “did you see Śrīmatī the brahmin woman take a handful of sandalwood powder and sprinkle it on the Blessed One’s feet?”
བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “I did, Blessed One.
བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ། ||| I saw it, Well-Gone One.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མ་ཕམ་པ་བྲམ་ཟེ་མོ་འདི་དགེ་བའི་རྩ་བ་འདིས་བསྐལ་པ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞིར་ངན་འགྲོ་ལོག་པར་ལྟུང་བར་མི་འགྱུར་རོ། ། ||| “Ajita,” the Blessed One continued, “through her roots of virtue, this brahmin woman will not fall back into the lower realms for eight hundred and forty million eons.
སངས་རྒྱས་དྲུག་ཁྲི་བཞི་སྟོང་ལ་བསྟི་སྟང་བྱེད་པར་འགྱུར། བླ་མར་བྱེད་པར་འགྱུར། རི་མོར་བྱེད་པར་འགྱུར། མཆོད་པ་བྱེད་པར་འགྱུར། ||| She will honor, venerate, respect, and worship sixty-four thousand buddhas.
དེ་དག་ལས་ཆོས་ཀྱང་ཉན་པར་འགྱུར། ཐོས་ནས་འཛིན་པར་འགྱུར། དམ་པའི་ཆོས་ཀྱང་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| She will listen to the Dharma from them, she will retain what she hears, and she will fully master the true Dharma.
དེ་བཞིན་གཤེགས་པ་བཞུགས་པའམ། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་དེ་དག་ལ་ཡང་མཆོད་པ་ཆེན་པོ་བྱེད་པར་འགྱུར། ||| She will greatly worship the thus-gone ones who are present and those who have passed into parinirvāṇa.
སེམས་ཅན་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་ཀྱང་བྱང་ཆུབ་ལ་འགོད་པར་འགྱུར་རོ། ། ||| She will place countless, innumerable beings in the state of awakening.
