འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Eight Auspicious Ones
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྩལ་བརྟན་དོན་གྲུབ་དགོངས་པ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Intent on Accomplishing Aims through Steadfast Skill resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་བདེ་ལྡན་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Blissful.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀུན་ལ་དགོངས་པ་རྒྱ་ཆེར་གྲགས་པ་ཅན་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Greatly Renowned for Considering All resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་བགེགས་མེད་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Free from Obstacles.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱམས་པའི་རྒྱན་གྱི་དཔལ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Glorious Ornament of Loving-Kindness resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་ཆད་པ་སྤངས་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Nihilism Relinquished.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དགེ་བར་གྲགས་པ་དཔལ་དམ་པ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Excellent Glory Renowned for Virtue resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་སྣ་ཚོགས་ལྡན་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Variegated.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལྷུན་པོ་ལྟར་འཕགས་པ་རྩལ་རབ་གྲགས་པའི་དཔལ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Glory of Being Renowned for Superior Skill That Is Noble like Mount Meru resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་དཔལ་འབར་བ་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Blazing Glory.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སེམས་ཅན་ཐམས་ཅད་ལ་དགོངས་པ་གྲགས་པའི་དཔལ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Glory of Being Renowned for Considering Everyone resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་རྡོ་རྗེ་གྲགས་པ་དགའ་བ་ཅན་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Joyful Renowned Diamond.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡིད་ཚིམ་པར་མཛད་པ་རྩལ་རབ་གྲགས་པའི་དཔལ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Glory of Being Renowned for Superior Skill That Brings Satisfaction resides there.
།རྩལ་རབ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་མཚན་འདི་དག་ལེགས་པར་རབ་ཏུ་གཟུང་བར་བྱའོ། །ཀུན་ཆུབ་པར་བྱའོ། །བཅང་བར་བྱའོ། ||| “Superior Skill, you should remember these blessed buddhas’ names very well, fully comprehend them, and uphold them.
།རྩལ་རབ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་ནི་ཡོན་ཏན་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ལྡན་མོད་ཀྱི། འོན་ཀྱང་རྩལ་རབ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འདི་དག་གི་ས་ངས་རྒྱས་ཀྱི་ཞིང་ནི་ཡོངས་སུ་དག་པ་སྟེ། སྙིགས་མ་རྣམས་དང་བྲལ་བ་ཡིན་ནོ། ||| Superior Skill, while all blessed buddhas are indeed endowed with inconceivable good qualities, the buddha realms of these thus-gone, worthy, perfect buddhas, Superior Skill, are thoroughly pure and free from the degenerations.
།རྩལ་རབ་ཁྱོད་ཀྱིས་གང་གི་ཚེ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འདི་དག་གི་མཚན་རྣམས་བླངས་ནས་འཛིན་ན་དེས་ཡོན་ཏན་གྱི་ཁྱད་པར་དེ་དག་དང་གཞན་དག་ཏུ་ཡང་འགྱུར་ཏེ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་མཚན་འདི་དག་ནི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཡོན་ཏན་དང་ལྡན་པ་ཡིན་པའི་ཕྱིར་རོ། ||| “Superior Skill, when you receive and remember these thus-gone, worthy, perfect buddhas’ names, you will thereby develop their particular good qualities and others, because these names of blessed buddhas embody the qualities of their former aspirations.
།ནུབ་མོ་སྲོད་ལ་ཉལ་ན་ཡང་ཁྱོད་ཀྱིས་མཚན་འདི་དག་བསམ་པར་བྱའོ། །ལྡང་བ་ན་ཡང་བསམ་པར་བྱའོ། ||| You should contemplate these names whenever you lie down at dusk or at night, and you should contemplate them whenever you get up.
།འཇིག་རྟེན་གྱི་བྱ་བ་གང་ཅི་ཡང་རུང་བ་དག་རྩོམ་པ་དག་ན་ཡང་ཐམས་ཅད་ལ་མཚན་འདི་དག་བསམས་ནས་དེའི་འོག་ཏུ་བརྩམས་ན་དེར་ཡང་ཁྱེད་ལ་འཕེལ་བ་ཉིད་དུ་འགྱུར་གྱི་འགྲིབ་པར་ནི་མ་ཡིན་པར་ཤེས་པར་བྱ་སྟེ། ||| If you contemplate these names whenever you begin any kind of worldly activity, you should know that such activities will only be for your gain and not for your loss.
འདིས་ཁྱོད་གནས་པར་གྱིས་ཤིག །དེ་ནས་ལིཙྪ་བཱིའི་བུ་རྩལ་རབ་ཀྱིས་བསྟན་པ་འདི་ཐོས་ནས་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ། ||| You should abide by this.” Having heard this teaching, the Licchavi youth Superior Skill was satisfied and pleased, and he rejoiced.
རབ་ཏུ་དགའ་ནས་དགའ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ཏེ། ||| Rejoicing, he felt delighted and happy and proclaimed these thus-gone ones’ names.
དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་མཚན་འདི་དག་ཡོངས་སུ་རྗོད་ཅིང་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་མེ་ཏོག་བརྒྱད་སྟོང་གིས་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་གཏོར་ཏེ་བསྐོར་བ་ཡང་བྱས་ནས། ||| He scattered eight thousand flowers made of the seven precious substances over the Blessed One and circumambulated him.
དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་བཀྲ་ཤིས་བརྒྱད་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཟུང་སྟེ་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་ངོ་། ||| Remembering this Dharma discourse on the eight auspicious ones proclaiming thus-gone ones’ names, he left the Blessed One’s presence.
།དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ནས་འདུག་པ་དེས་བཅོམ་ལྡན་འདས་ལ་ཕྱག་འཚལ་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་གིས་ཀྱང་དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་བཀྲ་ཤིས་བརྒྱད་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉམས་སུ་བླངས་ལགས་སོ། ||| Then because Śakra, lord of the gods, had joined that assembly and was present, he paid homage to the Blessed One and said to him, “Blessed One, I too have taken up the practice of this Dharma discourse on the eight auspicious ones proclaiming thus-gone ones’ names.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀཽ་ཤི་ཀ་དེའི་ཕྱིར་ཁྱོད་ཀྱིས་ལྷ་དང་། ལྷ་མ་ཡིན་གཡུལ་འགྱེད་པ་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡོངས་སུ་བརྗོད་པར་བྱའོ། ||| The Blessed One replied, “Thus, Kauśika, when you engage in battles between the gods and asuras, you should proclaim this Dharma discourse.
།ཡོངས་སུ་བརྗོད་པ་ན་ལྷའི་དབང་པོ་ཁྱོད་རྒྱལ་བར་འགྱུར་རོ། ||| If you proclaim it, lord of the gods, you will be victorious.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that so?
དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་གང་ཡིན་པ་འདི་ནི། བདེ་ཞིང་འཇིགས་པ་མེད་པར་ཡོངས་སུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། ||| Because whoever proclaims these thus-gone ones’ names is proclaimed to be blissful and fearless.
།མཚན་ཡོངས་སུ་བརྗོད་པ་གང་ཡིན་པ་འདི་ནི་ཀུན་ནས་ལྡང་བ་མེད་པར་ཡོངས་སུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། །དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་གང་ཡིན་པ་འདི་ནི་ཡང་དག་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། ||| Because whoever proclaims these names is proclaimed to be not overwhelmed. Because whoever proclaims these thus-gone ones’ names proclaims the names of reality.
།དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་གང་ཡིན་པ་འདི་ནི་གཡུལ་ཐམས་ཅད་ལས་ཡང་དག་པར་འདས་པར་ཡོངས་སུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། ||| Because whoever proclaims these thus-gone ones’ names is proclaimed to completely transcend all battles.
།དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པ་གང་ཡིན་པ་འདི་ནི་ཟིལ་གྱིས་མི་ནོན་པར་ཡོངས་སུ་བརྗོད་པ་དང་། ཞི་བར་ཡོངས་སུ་བརྗོད་པ་དང་། ཡོངས་སུ་གདུང་བ་མེད་པར་ཡོངས་སུ་བརྗོད་པ་དང་། འཇིགས་པ་མེད་པར་ཡོངས་སུ་བརྗོད་པ་ཡིན་པའི་ཕྱིར་རོ། ||| Because whoever proclaims these thus-gone ones’ names is proclaimed to be invincible, proclaimed to be peaceful, proclaimed to be free from torment, and proclaimed to be fearless.”
།དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་མཆོད་པའི་ཕྱིར། བཅོམ་ལྡན་འདས་ལ་ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དག་གིས་མངོན་པར་གཏོར་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| Then, to venerate this Dharma discourse, Śakra, lord of the gods, scattered divine mandārava flowers over the Blessed One, bowed his head to the Blessed One’s feet, and circumambulated him three times.
ལན་གསུམ་བསྐོར་བ་བྱས་ནས་ཡིད་དགའ་བ་དང་། སེམས་དགེ་བ་དང་། སེམས་སྒྲིབ་པ་མེད་པ་དང་། སེམས་ཀུན་ནས་ལྡང་བ་མེད་པ་དང་། དེ་བཞིན་གཤེགས་པའི་མཚན་ཡོངས་སུ་བརྗོད་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡིད་ལ་བྱེད་བཞིན་དུ་སླད་ཀྱིས་ཀྱང་བདག་གིས་བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་མཐོང་བར་གྱུར་ཅིག་ཅེས་ཚིག་ཏུ་སྨྲས་ནས། སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷ་རྣམས་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་དོང་ངོ་། ||| With a joyful mind, a virtuous mind, an unobscured mind, and a mind free from fixation, he bore in mind this Dharma discourse proclaiming thus-gone ones’ names and said, “May I see the Blessed One’s face again in the future!” Then together with the gods of the Heaven of the Thirty-Three, he departed from the Blessed One’s presence.
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ལིཙྪ་བཱིའི་བུ་རྩལ་རབ་དང་། ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ||| When the Blessed One had spoken these words, the Licchavi youth Superior Skill, Śakra, lord of the gods, and the world together with its gods, humans, asuras, and gandharvas rejoiced and praised what the Blessed One had said.
།འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| This concludes the noble Mahāyāna sūtra “ The Eightfold Auspiciousness.
།།རྒྱ་གར་གྱི་མཁན་པོ་སུ་རེནྡྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙཱ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| Translated, edited, and finalized by the Indian preceptor Surendrabodhi and the chief editor-translator Bandé Yeshé Dé.
