༄༅༅། །རྒྱ་གར་སྐད་དུ། དྷྭ་ཛཱ་གྲ་ན་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་རྒྱལ་མཚན་དམ་པ་ཞེས་བྱ་བ། ||| The Mahāsūtra The Crest Insignia (2)
འཇིགས་པ་ཡོད། བག་ཚ་བ་ཡོད། དངངས་པ་ཡོད། འབྲོས་པ་ཡོད་ཅིང་། དེ་ནི་ལན་འགའ་འཇིགས་པར་ཡང་འགྱུར་བག་ཚ་བར་ཡང་འགྱུར། དངངས་པར་ཡང་འགྱུར། འབྲོས་པར་ཡང་འགྱུར་ཏེ། དགེ་སློང་དག་ད་དུང་འདོད་ཆགས་དང་བཅས། ཞེ་སྡང་དང་བཅས། གཏི་མུག་དང་བཅས་ཤིང་། སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། ||| He also experiences fear, trepidation, alarm, and cowardice.
སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་དག་ལས་ཡོངས་སུ་མ་ཐར་ལ། འཇིགས་པ་ཡོད། ||| Several times has he experienced fear, trepidation, alarm, and cowardice.
བག་ཚ་བ་ཡོད། དངངས་པ་ཡོད། འབྲོས་པ་ཡོད་པའི་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དེའི་ཚིག་ཀྱང་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་དད་པས་མཉན་པར་བྱ་བར་སེམས་ཤིང་ཚིག་བཞིན་དུ་བྱ་བར་སེམས་ན། དགེ་སློང་དག་ང་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འདོད་ཆགས་དང་བྲལ་བ། ཞེ་སྡང་དང་བྲལ་བ། གཏི་མུག་དང་བྲལ་བ། སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་དག་ལས་ཡོངས་སུ་ཐར་བ། འཇིགས་པ་མེད། བག་ཚ་བ་མེད། དངངས་པ་མེད། འབྲོས་པ་མེད་པ་ཡིན་པས་དགེ་སློང་དག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འདོད་ཆགས་དང་བྲལ་བ། ཞེ་སྡང་དང་བྲལ་བ། གཏི་མུག་དང་བྲལ་བ། སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་དག་ལས་ཡོངས་སུ་ཐར་བ། ||| Monks, the gods in the Heaven of the Thirty-Three confidently regard the words of Śakra, the lord of the gods—who still possesses desire, hatred, and delusion, who is not liberated from birth, old age, sickness, death, sorrow, lamentation, suffering, unhappiness, and disturbance, and who experiences fear, trepidation, alarm, and cowardice—as something to be heard and obeyed.
འཇིགས་པ་མེད་པ། བག་ཚ་བ་མེད་པ། དངངས་པ་མེད་པ། འབྲོས་པ་མེད་པ། ངའི་ཚིག་མཉན་པར་བྱ་བ་དང་། གཏམས་པ་བཞིན་བྱ་བ་དང་། རྗེས་སུ་བསྟན་པ་བཞིན་བྱ་བ་དེ་ནི་བྱ་བའི་གནས་ཡིན་ནོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས། ||| Considering that, given that I am a thus-gone one, a worthy one, a perfectly awakened one—one who is without desire, hatred, and delusion, one who is liberated from birth, old age, sickness, death, sorrow, lamentation, suffering, unhappiness, and disturbance, and one who does not experience fear, trepidation, alarm, or cowardice—these words of mine are worthy of being heeded, of what they say to be put into practice, and of being propagated accordingly.”
སྟོན་པས་གཞན་ཡང་འདི་སྐད་བཀའ་སྩལ་ཏོ། །དགོན་པ་དང་ནི་ཤིང་དྲུང་དང་། །ཁྱིམ་སྟོང་དག་ཏུ་འཇིག་རྟེན་གཙོ། །རྣམ་པར་འདྲེན་པ་རྫོགས་སངས་རྒྱས། །རྗེས་སུ་དྲན་གྱིས་དགེ་སློང་དག ། ||| This is what the Blessed One said, and the Well-Gone One having spoken those words, the Teacher continued: “In the wilderness, under a tree, Or in an empty house, monks, You should recollect the Leader of the World, the Guide, The Perfectly Awakened One.
གལ་ཏེ་རྣམ་འདྲེན་འཇིག་རྟེན་གཙོ། །རྫོགས་སངས་རྒྱས་པ་མི་དྲན་ན། །འདོད་ཆགས་བྲལ་བ་རྣམས་ཀྱི་མཆོག །ཆོས་དེ་རྗེས་སུ་དྲན་པར་གྱིས། ། ||| “If you do not recollect the Leader of the World, the Guide, the Perfectly Awakened One, You should recollect the Dharma, The best of what is free from desire.
གལ་ཏེ་འདོད་ཆགས་བྲལ་བའི་མཆོག །ཆོས་དེ་རྗེས་སུ་མི་དྲན་ན། །དགེ་འདུན་བླ་མེད་བསོད་ནམས་ཞིང་། །དེ་ནི་རྗེས་སུ་དྲན་པར་གྱིས། ། ||| “If you do not recollect the Dharma, The best of what is free from desire, You should recollect the Saṅgha, That unsurpassable field of merit.
སངས་རྒྱས་ཆོས་དང་དགེ་འདུན་རྣམས། །དེ་ལྟར་རྗེས་སུ་དྲན་བྱས་ན། །འཇིགས་དང་བག་ཚ་སྤུ་ལྡང་བ། །མེད་པར་འགྱུར་རོ་དགེ་སློང་དག ། ||| “If the Buddha, the Dharma, and the Saṅgha Are recollected in this way, Then fear, trepidation, and terror Will subside, monks.
འཇིགས་པས་སྐྲག་པའི་མི་མང་པོ། །རི་དང་ནགས་ཚལ་རྣམས་དག་དང་། །ཀུན་དགའ་མཆོད་པའི་ལྗོན་ཤིང་ལ། །སྐྱབས་སུ་འགྲོ་བར་གང་བྱེད་པ། ། ||| Many are those, when frightened by terrors, Who will go to seek refuge In mountains and forests, Or worship shrines in trees and groves.
དེ་ནི་སྐྱབས་གཙོ་མ་ཡིན་ཞིང་། ། ||| “But no such place can be a principal refuge.
དེ་ནི་སྐྱབས་མཆོག་མ་ཡིན་ཏེ། །སྐྱབས་དེ་དག་ལ་རྟེན་བྱེད་པ། ། ||| They are not the supreme refuge.
སྡུག་བསྔལ་ཀུན་ལས་གྲོལ་མི་འགྱུར། །གང་དག་སངས་རྒྱས་ཆོས་དང་ནི། །དགེ་འདུན་དག་ལ་སྐྱབས་སོང་བ། །སྡུག་བསྔལ་སྡུག་བསྔལ་ཀུན་འབྱུང་དང་། ། ||| Going to such places for refuge Will not liberate such people from all suffering.
སྡུག་བསྔལ་ཡང་དག་འགགས་པ་དང་། །བདེ་ཞིང་མྱ་ངན་འདས་འགྲོ་བའི། །འཕགས་ལམ་ཡན་ལག་བརྒྱད་པ་ཡི། །འཕགས་པའི་བདེན་པ་བཞི་པོ་དག །ཤེས་རབ་ཀྱིས་ནི་ལེགས་མཐོང་འགྱུར། ། ||| “But for those who have gone for refuge In the Buddha, the Dharma, and the Saṅgha, For them the truths of suffering, of the origin of suffering, Of the complete cessation of suffering, “And of the eightfold path of the noble ones That leads to happiness and nirvāṇa— These four truths of the noble ones They will clearly see through their discernment.
དེ་ནི་སྐྱབས་ཀྱི་གཙོ་བོ་དང་། ། ||| “That is the principal refuge.
དེ་ནི་སྐྱབས་ཀྱི་མཆོག་ཡིན་ཏེ། ། ||| That is the supreme refuge.
སྐྱབས་དེ་དག་ལ་བརྟེན་བྱས་ན། །སྡུག་བསྔལ་ཀུན་ལས་གྲོལ་བར་འགྱུར། ། ||| If you rely on these for refuge, You will be freed from all suffering.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། །དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| When the Blessed One had spoken these words, the monks were delighted and praised what the Blessed One had said.
མདོ་ཆེན་པོ་རྒྱལ་མཚན་དམ་པ་ཞེས་བྱ་བ་རྫོགས་སོ།། །། ||| This completes the Mahāsūtra “The Crest Insignia.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། པྲཛྙཱ་ཝརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།​། །​། ||| Translated, edited, and finalized by the Indian preceptors Jinamitra and Prajñāvarman, the senior editor-translator Bandé Yeshé Dé, and others.
