༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
མུན་པས་ཁེབས་པ་དག་སྣང་བ་ལ་ལྟ་བར་བྱེད་པ་བཞིན་དང་། ཆུ་བོས་ཁྱེར་བ་དག་ཆུ་འགྲམ་དུ་ལྟ་བར་བྱེད་པ་བཞིན་དང་། སྡུག་བསྔལ་བར་གྱུར་པ་དག་སྐྱབས་ལ་ལྟ་བར་བྱེད་པ་བཞིན་ཏེ། ||| They beheld him like sick persons seeing the doctor, or like beings engulfed in darkness seeing a source of light, or like beings carried off by a river looking at the riverbank, or like afflicted beings looking at a refuge from their suffering.
དེ་ལྟར་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ས་དང་ནམ་མཁའི་ལམ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དག་དང་། ཉན་ཐོས་དག་དང་། དབང་པོ་བརྒྱ་བྱིན་དག་ནས་ལྟོ་འཕྱེ་ཆེན་པོའི་དབང་པོ་དག་གི་བར་དང་། འདོད་པ་ན་སྤྱོད་པ་དང་། གཟུགས་ན་སྤྱོད་པའི་ལྷ་གཞན་དང་གཞན་དག་ནས་མི་དང་མི་མ་ཡིན་པ་རྣམས་གཞན་དང་གཞན་དག་གི་བར་བཅོམ་ལྡན་འདས་ཆོས་དང་ལྡན་པ་ཆོས་ཀྱི་རྒྱལ་པོ་ལ་ལྟ་ཞིང་ཐལ་མོ་རབ་ཏུ་སྦྱར་ཏེ་ཅང་མི་སྨྲ་བར་འཁོད་པར་གྱུར་ཏོ། ||| In that way, filling all the pathways on the ground and in the sky throughout the entire buddha realm of Sahā, the bodhisattva great beings and the hearers as well as Lord Śakra and everyone else up to the lords of the mahoragas, the different gods from the desire and form realms, and the various humans and nonhuman beings were sitting silently with their palms joined together, looking at the Blessed One, the righteous King of the Dharma.
།དེའི་ཚེ་ཚངས་པ་ཆེན་པོ་པད་མ་འབར་བའི་དཔལ་ཞེས་བྱ་བ་སངས་རྒྱས་མང་པོ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ་དགེ་བའི་རྩ་བ་བསྐྱེད་པ། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ། ||| Present at that time was a mahābrahmā named Glorious Blazing Lotus. He had generated roots of virtue under many buddhas and would no longer regress on the path to unsurpassed and perfect awakening.
ཆོས་ལ་དམིགས་པའི་བྱམས་པ་ཤིན་ཏུ་ཡོངས་སུ་སྦྱང་བ་བྱས་པར་གྱུར་ཏོ། ||| He had also thoroughly trained in love by observing phenomena.
།དེ་ནས་ཚངས་པ་ཆེན་པོ་པད་མ་འབར་བའི་དཔལ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| This mahābrahmā Glorious Blazing Lotus then stood up, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་པ་བརྗོད་པ་འདིས་ཆོས་བཤད་པར་གསོལ་བ་བཏབ་བོ། ||| Bowing down with his palms joined together in the direction of the Blessed One, with these verses he supplicated him to expound the Dharma:
།རིང་དུ་གཤེགས་ཤིང་མྱུར་བའི་རྒྱུན་དང་ལྡན། ||| “You have reached far and possess a swift course.
།ཟད་པ་ལྷུར་མཛད་མི་གཡོ་འོད་གསལ་བ། ||| Dedicated to exhaustion, you are immutable and luminous.
།རྟོགས་པ་ཐམས་ཅད་སྐྱེད་པར་མཛད་པ་པོ། །ཁྱོད་གསུང་རབ་ཞི་རྒྱུ་སྐར་ཚུལ་མཁྱེན་མཁས། ||| You generate all forms of realization, your speech is utterly peaceful, And you are an expert in the ways of the stars.
།དབུགས་རྔུབ་པ་དང་འབྱུང་བ་དྲན་པ་མཁྱེན། ||| “You master the mindfulness of breathing,
།ཚངས་པའི་གནས་པ་བཞི་པོ་དག་དང་ལྡན། ||| You are endowed with the four sublime states,
།སྲིད་པ་གསུམ་པོ་ཇི་ལྟར་དག་འགྱུར་བར། །སེམས་ཅན་འགྲོ་བ་སྤོང་བར་མཛད་པ་པོ། ||| And you cause sentient beings to abandon the destinies of rebirth In a way that purifies the three realms.
།ཚུལ་གཅིག་ལྡན་པ་ཉིད་ཀྱི་མཁྱེན་མངའ་བ། ||| “You possess the knowledge of the single mode,
།ལྷ་མི་རྣམ་པ་མང་པོ་ཁྲི་དག་ཀྱང་། ||| You eliminate the doubts of tens of thousands of gods and humans,
།སོམ་ཉི་རྒལ་མཛད་དགེ་བརྙེས་ཆུ་བོ་རྒལ། ||| You have attained goodness, you have crossed the flood,
།བདེ་འགྲོའི་མཁྱེན་པ་མྱུར་དང་ལྡན་པ་པོ། ||| And you are endowed with the swift knowledge that leads to happiness.
།བྱང་ཆུབ་སྤྱོད་དང་སངས་རྒྱས་ཆོས་མངོན་སུམ། ||| “Your awakened conduct and buddha qualities are manifest,
།སེམས་གཡོ་སེམས་ཅན་ཁ་ཅིག་འདོད་ཀླུང་ལྷུང་། །མུན་པས་ཁེབས་ཤིང་མིག་དང་མི་ལྡན་པའི། །སྡུག་བསྔལ་ཐམས་ཅད་བཅོམ་པར་གྱུར་ལགས་པ། ||| And you have conquered the entirety of the suffering of those beings with agitated minds Who are blind, engulfed in darkness, And carried away by the river of desire.
།མ་ཐོས་དགེ་བྲལ་སློབ་དཔོན་མཁས་ལྡན་པའི། །སྐྱེ་བོ་བྲལ་ལ་མི་དབང་ཐུགས་རྗེ་སྐྱེད། ||| “Lord of humankind, you manifest compassion for those who have not studied And for those who are bereft of virtue and separated from skilled teachers.
།མཉམ་པའི་ཆོས་ཉན་སྐྱེ་བའི་ཕ་རོལ་མཆི། །སྲིད་པ་གཅོད་པ་བཤད་པར་མཛད་དུ་གསོལ། ||| Please let us hear about the Dharma of sameness; Explain how to pass beyond birth and sever saṃsāra!
།སྐྱེ་ཀླུང་ཕ་རོལ་གཤེགས་ཐུབ་ཐུགས་རྗེས་གསུངས། ||| “Great sage, you have crossed the river of birth; please speak with compassion!
།བློ་འཆལ་སྐྱེ་མང་སྲེད་པའི་དྲ་བའི་ལམ། ||| Due to their distorted minds, beings will wander for many lifetimes
།དེ་དག་ཐམས་ཅད་ཉོན་མོངས་རྩ་བ་ཅན། །དེར་ནི་སེམས་ཅན་འཁྱམས་འགྱུར་གཅད་དུ་གསོལ། ||| On those paths that are webs of craving and contain the roots of afflictions; Please sever them all!
།གང་དུ་སྡུག་བསྔལ་རབ་ཞི་དབང་དྲུག་དང་། །ཡིད་ཀྱང་ཞི་འགྱུར་སྲེད་སྐྱོན་རྒྱལ་བ་གསུང་། ||| “Victor, please tell us about the defects of craving, So that our suffering is pacified along with our six senses and our minds.
།སྲེད་པ་བྲལ་བ་སྲེད་རྒྱུ་མི་མངའ་བ། །སེམས་ཅན་གདུང་བ་དཔལ་ཀུན་བྲལ་གྱུར་པ། ||| Great sage, in order for beings to be free from craving and its causes And from the abundance of their torments,
།དེ་སླད་ཐུབ་པ་ཐུགས་བརྩེ་བ་ཡི་རྒྱུས། ||| “Please expound to us, out of your affection,
།སྲེད་པ་ཡི་ནི་ཆུ་ཀླུང་སྐེམས་མཛད་པ། ||| The Dharma that dries up the river of craving,
།མྱུར་དུ་བདེ་ཞིང་འཆི་བ་མ་མཆིས་པའི། ||| Swiftly leads to happiness and immortality,
།ཆོས་ཀྱང་སྲེད་པ་གཅོད་པ་བཤད་པར་གསོལ། ||| And eliminates craving!”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚངས་པ་པད་མ་འབར་བའི་དཔལ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| The Blessed One replied to the mahābrahmā Glorious Blazing Lotus:
།གང་དག་སྔོན་ཆད་ཕ་རོལ་ཕྱིན། །སྤྱོད་པ་སྤྱད་ཅིང་སྤྱོད་འགྱུར་བ། །དེ་དག་ཉན་ཐོས་ཆོས་རྣམས་ལ། །ནམ་ཡང་དགའ་བར་མི་བྱ་སྟེ། ||| “Those who have practiced the perfections in the past And will practice them in the future Should never delight In the teachings of the hearers.
།སངས་རྒྱས་ཆོས་ལས་ཉམས་འགྱུར་བའི། །ལྟུང་བ་གཉིས་པ་གཞན་མེད་དེ། ||| “There is no other downfall besides that, To corrupt the teaching of the buddhas.
།དེ་ནི་ཡང་དང་ཡང་དུ་ཡང་། །གཉི་གར་སེམས་ནི་འཇུག་པ་ཡིན། ||| Yet the mind engages repeatedly, Again and again, in such duality.
།ཁྲོ་དང་ཉན་ཐོས་ཆོས་རྣམས་དང་། །རྐྱེན་གྱི་བྱང་ཆུབ་འཇུག་པ་ཡི། །ཆོས་གསུམ་རྣམ་པར་སྤངས་པས་ན། ||| “By abandoning the three types of teachings— Those associated with aggression, The teaching of the hearers, and conditioned awakening—
།སངས་རྒྱས་ཆོས་རྣམས་རྫོགས་པར་འགྱུར། ||| One will perfect the qualities of the buddhas.
།སྐྱེ་གནས་བཞི་ལྡན་སེམས་ཅན་འདི། ||| “Those beings, born in one of the four ways,
།སངས་རྒྱས་ཞིང་འདིར་ལྷགས་པ་དག །ཐམས་ཅད་འདོད་པ་རྟེན་མི་བྱེད། ||| Who have arrived in this buddha realm Are all free from indulging in desire,
།ཐམས་ཅད་མི་སྡུག་ཐོབ་པ་ཡིན། ||| And all of them have attained insight into repulsiveness.
།འདི་ན་སེམས་ཅན་མཁས་པ་གང་། ||| “The wise beings present here
།བྱང་ཆུབ་མཆོག་གི་ཕྱིར་ཞུགས་ཤིང་། །གང་བློ་གཟུངས་དང་བཟོད་པ་ལ། །བརྩོན་ཞིང་ལེགས་པར་གོམས་བྱས་ལ། ||| Who follow the path to supreme awakening, Who exert themselves and are well trained In retention and patience,
།དབང་པོ་དྲུག་གི་སྒོ་བསྡམས་ཤིང་། །སྐྱིལ་མོ་ཀྲུང་གིས་དྲན་གཞག་ནས། །རང་གི་སྤྱོད་ཡུལ་ས་ནོན་པ། ||| “Whose six sense doors are restrained, And who have mastered their senses By applying mindfulness cross-legged
།ཕྱི་མའི་དུས་ཀྱི་དེ་བཞིན་གཤེགས། ||| Will be the future thus-gone ones.
།ནོར་བདུན་རབ་ཏུ་རྫོགས་པའང་ཡིན། ||| “They will also perfect the seven riches.
།འདིར་ནི་མི་སྡུག་ཚུལ་བཤད་ན། ||| If I explain the way of repulsiveness here,
།ཀུན་གཞི་གང་ཡིན་སེམས་ཅན་གྱི། །འཆིང་བ་བརྟན་པ་འདིར་བཅད་འགྱུར། ||| Then the basis for all, the constant that binds beings, Will be severed.
།ངས་ནི་ཆོས་ཀྱི་སེར་སྣ་སྤངས། ||| “I have relinquished miserliness regarding the Dharma,
།སེམས་ཅན་སྲུང་ཕྱིར་མ་བཤད་དེ། ||| Yet, in order to protect beings, I have not explained this.
།འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཡིས། །བྱང་ཆུབ་ཕྱིར་སེམས་འདིར་མ་བཏང་། ||| Still, for the sake of awakening, Bodhisattvas will never give up this attitude.
།ཕྱོགས་བཅུའི་སངས་རྒྱས་དེ་དག་གིས། །ཆོས་འདི་ཡུན་རིང་གནས་བྱ་ཞེས། །ས་འདི་ཡོངས་སུ་སྤྱད་མཛད་ཅིང་། །ས་འདི་བྱིན་གྱིས་བརླབས་པ་ཡིན། ||| “The buddhas of the ten directions Have subsisted on this earth and blessed it As they declared, ‘This Dharma must remain for a long time!’
།དེ་བཞིན་དུ་ནི་ཁྱོད་ཀྱིས་ཀྱང་། །ཞིང་འདི་ལ་ནི་རྩེ་བར་བྱོས། ||| “Likewise, you should frolic in this realm And revel in the acceptances.
།དེ་བཞིན་བཟོད་པ་དག་གིས་རྩེས། །བསྡམས་ནས་ཡུན་རིང་གནས་པར་བྱོས། ||| With restraint you should also Remain here for a long time!
།ཉན་ཐོས་ཐེག་པ་ངས་བཤད་དེ། ||| “I shall expound the vehicle of the hearers;
།སེམས་ཅན་ཆགས་ལས་ཐར་བྱ་ཞིང་། ||| I shall explain that beings must be liberated from attachment
།ཕུང་པོ་དག་དང་ཁམས་རྣམས་དང་། །སྐྱེ་མཆེད་སྟོང་པ་ངས་བཤད་དེ། ||| And that the aggregates, the elements, And the sense sources are empty.
།ཞི་གནས་རྣམ་པ་བཅུ་གསུམ་དང་། །ལྷག་མཐོང་ང་ཡིས་བཤད་བྱ་སྟེ། ||| “I shall expound the thirteen aspects of tranquility As well as special insight,
།འདོད་པའི་འཆིང་བས་དམ་བཅིངས་པའི། །སེམས་ཅན་དེ་ཡིས་རྣམ་དག་འགྱུར། ||| So that sentient beings bound by the tight fetters of desire May become pure.
།སེམས་ཅན་རྣམས་ལ་སྙིང་བརྩེ་བས། །ཉན་ཐོས་རྣམས་ཀྱི་བདེན་པ་བཞི། ||| “I shall explain the four truths of the hearers Out of affection for sentient beings,
།ཆོས་རྣམས་རྟག་ཏུ་ཡུན་གནས་དང་། །ཟག་པ་མེད་ཕྱིར་ངས་བཤད་དོ། ||| To ensure that the Dharma teachings Endure forever and remain undefiled.
།ཉན་ཐོས་བདེན་པས་འདུལ་བ་ནི། ||| “The hearers are tamed by the truths;
།སྲིད་པའི་མཚོ་ལས་ངས་བསྒྲལ་ལོ། ||| I shall free them from the ocean of saṃsāra.
།བྱང་ཆུབ་སྤྱོད་པ་ཐམས་ཅད་ཀྱང་། །ཕྱི་ནས་ཁྱེད་ལ་བསྟན་པར་བྱའོ། ||| Only at a later point shall I teach you All the practices of the bodhisattvas.”
།དེ་ནས་དེའི་ཚེ་ཐམས་ཅད་དང་ལྡན་པའི་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་དུ་གཏོགས་པའི་སེམས་ཅན་རྣམས་འདི་སྙམ་དུ་སེམས་ཏེ། ཀྱེ་མ་ད་ལྟར་དེ་བཞིན་གཤེགས་པ་འདི་ནི་ཉན་ཐོས་ཀྱི་གཏམ་ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་མཛད་ཀྱི། ||| At that moment, all the beings present throughout the entire buddha realm of Sahā thought, “Alas, the Thus-Gone One will now give a hearers’ discourse.
ཐེག་པ་ཆེན་པོའི་གཏམ་ནི་མི་མཛད་དོ་སྙམ་མོ། ||| He will not give a discourse related to the Great Vehicle!”
།དེ་ནས་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཐམས་ཅད་འདི་སྙམ་དུ་སེམས་ཏེ། ||| All the bodhisattvas thought to themselves,
ཀྱེ་མ་ད་ལྟར་དེ་བཞིན་གཤེགས་པ་འདི་ནི་སངས་རྒྱས་ཀྱི་ཞིང་འདིར་ས་ཡོངས་སུ་སྤྱད་པའི་ཕྱིར་དང་། མ་འོངས་པའི་དུས་ན་ཆོས་ཀྱི་ཚུལ་རིང་དུ་གནས་པར་བྱ་བའི་ཕྱིར་དང་། ད་ལྟར་སངས་རྒྱས་ཀྱི་ཞིང་འདིར་གང་དཀོན་མཆོག་གསུམ་གྱི་གདུང་རྒྱུན་མི་འཆད་པར་བྱ་བའི་ཕྱིར་དང་། མ་འོངས་པའི་དུས་ན་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། སྲིན་པོ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། མི་མ་ཡིན་པ་མ་དད་པ་རྣམས་མངོན་པར་དད་པར་བྱ་བའི་ཕྱིར་དང་། དད་པ་རྣམས་ཕྱིར་ཞིང་འཕེལ་བར་བྱ་བའི་ཕྱིར་དང་། སེམས་ཅན་ཆོས་ལ་མངོན་པར་བརྩོན་པ་དག་དང་། ཆོས་ལ་གནས་པ་དག་དང་། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་དང་། ཚུལ་ཁྲིམས་ཀྱི་དྲི་དང་ཡང་དག་པར་ལྡན་པ་རྣམས་བདེ་བ་ལ་རེག་པ་དང་། རྣམ་པར་ཐོ་འཚམ་པ་མེད་པར་བྱ་བའི་ཕྱིར་དང་། བྱང་གྲོལ་གྱི་བདེ་བ་ཡོངས་སུ་རྫོགས་པར་བྱ་བའི་ཕྱིར་དང་། ཇི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ཤིན་ཏུ་ཡོན་ཏན་དག་གིས་བསྒོ་བར་བྱ་བའི་ཕྱིར་དང་། ཕྱོགས་བཅུ་ན་གནས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་ཐམས་ཅད་ཀྱང་བསྒོ་བའི་འོས་སུ་གྱུར་པ་དང་། བླ་མ་ལ་གུས་པ་དང་། ཕྱག་བྱ་བའི་འོས་སུ་གྱུར་པར་བྱ་བའི་ཕྱིར་བདག་ཅག་ནང་དུ་ཡང་དག་པར་འཇོག་པར་བཞེད་པས། ||| “O, the Thus-Gone One wishes us to withdraw into meditative seclusion, to ensure that we subsist on the earth in this buddha realm; to ensure that the way of the Dharma remains for a long time into the future; to ensure that the lineage of the Three Jewels remains uninterrupted in this buddha realm; to ensure that in the future the gods, nāgas, yakṣas, rākṣasas, asuras, garuḍas, kinnaras, mahoragas, humans, and nonhumans who lack faith generate faith; to ensure that those among them who have faith develop it further and further; to ensure that those beings who strive for the Dharma, who abide by the Dharma, who possess a wealth of qualities, and who are endowed with the scent of discipline gain happiness, remain free from harm, and perfect the happiness of emancipation; to ensure that, by all means, this buddha realm becomes saturated with qualities; to ensure that all the other buddha realms of the ten directions are also worthy of such a saturation;
མ་ལ་བདག་ཅག་གིས་ད་དེ་བཞིན་གཤེགས་པའི་དགོངས་པ་ཡོངས་སུ་རྫོགས་པར་བྱ་སྟེ། ||| and to ensure that the masters receive reverence and respect. O, we must now fulfill the wish of the Thus-Gone One!
བདག་ཅག་ཐམས་ཅད་ཀྱིས་སའི་སྟེང་དུ་སྐྱིལ་མོ་ཀྲུང་གིས་འཁོད་པར་བྱ་ཞིང་། རང་རང་གི་རྣམ་པ་སྣ་ཚོགས་ཀྱི་མཆོག་ཐམས་ཅད་དང་ལྡན་པའི་བཟོད་པ་དང་། གཟུངས་དང་། ཏིང་ངེ་འཛིན་དང་། རྣལ་འབྱོར་དག་གིས་གནས་པ་དག་ཏུ་བྱ་གོར་མ་ཆག་སྙམ་མོ། ||| We must ensure that we all sit cross-legged upon this earth and abide by our various individual acceptances, dhāraṇīs, absorptions, and practices replete with the most excellent aspects!”
།དེ་ནས་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་བསྐལ་པ་བརྒྱས་ངེས་པར་བྱུང་བ་དག་དང་། གང་དག་ས་བཅུ་དག་དང་། གང་དག་མི་སྐྱེ་བའི་ཆོས་ཀྱི་བཟོད་པ་ལ་གནས་པའི་བར་དག་དང་། གང་དག་སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་ལ་གཞན་ལ་རག་མ་ལས་པའི་ཡེ་ཤེས་ལ་མཁས་པ་དག་དང་། མི་འཇིགས་པ་ཐོབ་པ་དག་གི་བར་དེ་དག་ཐམས་ཅད་ས་སྟེང་འདིར་སྐྱིལ་མོ་ཀྲུང་གིས་འཁོད་པར་གྱུར་ཏོ། །དེ་བཞིན་དུ་རང་རང་གི་རྣམ་པ་སྣ་ཚོགས་ཀྱི་མཆོག་ཐམས་ཅད་ཀྱི་བཟོད་པ་དང་། གཟུངས་དང་། ཏིང་ངེ་འཛིན་དག་ལ་མཉམ་པར་གཞག་པ་དག་ཏུ་གྱུར་ཏོ། ||| Then all the bodhisattva great beings who had reached emancipation over the course of a hundred eons, who had reached the ten levels, who abided by the acceptance of the unborn nature of phenomena, who were endowed with the eighteen unique qualities of the buddhas and were skilled in the wisdom that does not depend upon anything else, and who had reached fearlessness sat cross-legged upon the earth, and thus they settled within their individual acceptances, dhāraṇīs, and absorptions replete with the most excellent aspects.
།ཡང་དེའི་ཚེ་བསོད་ནམས་ཀྱི་སྟོབས་ཇི་ལྟ་བ་བཞིན་དུ་རྒྱུ་འཐུན་པའི་རྒྱུའི་སྟོབས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཉམ་པར་གཞོག་པ་དེ་དག་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་བསམ་གཏན་བྱེད་པ་དེ་དག་ལས་ཁ་ཅིག་གི་ལུས་ལས་འོད་འདི་ལྟ་བུ་བྱུང་སྟེ། ||| At that moment, in accordance with the strength of that merit and through the power of that concordant cause, light started to radiate from the bodies of those great bodhisattvas who were settled in equipoise and from the bodies of those great bodhisattvas who were absorbed in concentration.
དཔེར་ན་མར་མེའི་འོད་ལྟ་བུའོ། ||| Those lights were like the light of lamps.
།ཁ་ཅིག་གི་ནི་སྐར་མདའ་དང་མཉམ་པ་དག་གོ། ||| Some of those lights were equal to the light emitted by shooting stars;
