འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
ན་ཚོད་ལོ་བརྒྱད་ལོན་པ་འདྲ་བ་ཞིག་གཉིད་ལོག་སྟེ། ||| One time, when he was around eight years old, he had a dream as he slept.
དེའི་རྨི་ལམ་དུ་རྨིས་པ། ལྷའི་བུ་ཡོངས་སུ་དགའ་ལྡན། དགའ་ལྡན་གྱི་གནས་ནས་བབས་ནས་ཚིགས་སུ་བཅད་པའི་དབྱངས་ཀྱིས་བསྐུལ་ཏེ་མངོན་པར་སྨྲས་པ། ||| In his dream, the god Santuṣita descended from the Heaven of Joy and spoke to him, encouraging Ratnajālin with this melodious song:
སེམས་ཅན་སྙིང་པོ་རྒྱལ་བ་སངས་རྒྱས་ཀྱིས། །སྟོང་གསུམ་འཇིག་རྟེན་སྣང་བ་མཛད་ནས་བཞུགས། ། ||| “The essential being, the Victor, the Buddha, Abides, illuminating the entire trichiliocosm.
བསོད་ནམས་བརྒྱ་བསགས་གསེར་གྱི་མདོག་འདྲ་བ། ། ||| With vast accumulations of merit, he appears in golden hue.
བདག་ཉིད་ཆེན་པོ་གཟུགས་ཀྱི་མ་ལུས་མཛེས། ། ||| The appearance of this great being is beautiful in all respects.
དཀྱིལ་འཁོར་བྱེ་བ་རབ་ཚང་གང་ཡིན་པ། །ཟླ་བ་སྟོང་ངམ་ཡང་ན་བྱེ་བ་ཡི། །འོད་ཟེར་དག་གི་དཀྱིལ་འཁོར་དེ་སྣང་བྱེད། །ཇི་ལྟར་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད། ། ||| “He is endowed with the light of ten million suns And shines like a thousand or even ten million Luminous full moons— As many as there are grains of sand in the Ganges.
དེ་འདྲའི་དཀྱིལ་འཁོར་བྱེ་བར་ཚང་བ་ནི། །ཤར་ཕྱོགས་དཀྱིལ་འཁོར་མཆོག་ནི་སྣང་བྱེད་ཅིང་། ། ||| “Shining like many millions of suns, He shines like the supreme disk in the east,
དེ་བཞིན་ལྷོ་ཕྱོགས་དེ་བཞིན་ནུབ་ཕྱོགས་དང་། །དེ་བཞིན་བྱང་ཕྱོགས་དཀྱིལ་འཁོར་མཆོག་སྣང་བྱེད། ། ||| Those in the south and the west, And the supreme disk in the north.
འཇིག་རྟེན་མགོན་པོ་འོད་མཛད་སྤུ་ཡི་ཁུང་། །རེ་རེ་ནས་ནི་འོད་ཟེར་གང་དག་འབྱུང་། ། ||| “The light rays that stream forth From each pore of this shining protector of the world Will,
རེ་རེ་ནས་ནི་འོད་བྱུང་དེ་དག་གིས། །ཟླ་བའི་དཀྱིལ་འཁོར་ཐམས་ཅད་མོག་མོག་མཛད། ། ||| each and every one, Make all full moons appear gloomy.
ཀུན་གཟིགས་རྣམས་ཀྱིས་སྤུ་ཁུང་རེ་རེ་ནས། །འོད་ཟེར་འབྱུང་ཞིང་སྤུ་ཁུང་རེ་རེ་ནས། །འོད་ཟེར་བྱུང་བ་རྣམས་ཀྱིས་གང་གཱའི་ཀླུང་། །དྲུག་ཅུ་རྩ་དྲུག་བྱེ་སྙེད་རབ་གསལ་མཛད། ། ||| “From each pore in the skin of those who are omniscient, Light streams forth. The light that shines from him illuminates as many worlds As there are grains of sand in sixty-six Ganges rivers.”
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་དེའི་མཚན་མོ་འདས་ནས། ཕ་སྟོབས་མཐའ་ཡས་ལ་སྨྲས་པ། ||| In the morning, the Licchavi boy Ratnajālin told his father Limitless Strength,
ཡབ་མདང་སུམ་ལྷའི་བུ་ཡོངས་སུ་དགའ་ལྡན། དགའ་ལྡན་གྱི་གནས་ནས་བབས་ནས་བདག་ལ་ཚིགས་སུ་བཅད་པའི་དབྱངས་ཀྱིས་བསྐུལ་བ་བགྱིས་པར་གྱུར་ཏོ། ། ||| “Father, last night the god Santuṣita arrived from the Heaven of Joy and encouraged me with a melodious song.
འདི་ལྟ་སྟེ། དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བགྱི་བའི་ལས་བརྩམ་པའི་སླད་དུ་ཡབ་ལ་བདག་གསོལ་བར་བགྱིད་དོ། ། ||| Father, I am telling you this so that we can begin the practice of worshiping the Thus-Gone One.”
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཕ་སྟོབས་མཐའ་ཡས་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ||| At this point the Licchavi boy Ratnajālin sang these verses to his father Limitless Strength:
སེམས་ཅན་ཀུན་གྱི་དེད་དཔོན་རྫོགས་སངས་རྒྱས། །འཇིག་རྟེན་མཁས་པ་བསམ་ཡས་བདག་ཉིད་ཆེ། །སྐྱོབ་པ་དེ་ལ་ཁྱོད་ཀྱིས་མཆོད་དོན་མཛོད། ། ||| “The captain of all beings, the perfect Buddha, The great being inconceivably learned in the ways of the world— Please, may you worship this protector,
འདྲེན་པ་དེ་ནི་འཇིག་རྟེན་འབྱུང་བར་དཀའ། ། ||| For such a guide rarely appears in the world.
ཇི་ལྟར་ཨུ་དུམ་བཱ་རའི་མེ་ཏོག་ནི། །མདོག་ལྡན་མཛེས་ཤིང་ཤིན་ཏུ་དྲི་ཞིམ་ལ། །དྲི་ངད་ལྡན་ཞིང་རྡུལ་བཅོམ་ཉོན་མོངས་མེད། ། ||| “Just like the uḍumbara flower, He has a beautiful color and delicious scent and fragrance. He is stainless and without afflictions.
དེ་འདྲའི་མེ་ཏོག་མཆོག་ནི་རྙེད་པར་དཀའ། ། ||| Such a perfect flower is hard to find.
དེའི་ཕྱིར་བདག་གིས་ཡབ་ལ་གསོལ་འདེབས་པ། ། ||| “Father, thus I supplicate you:
ད་ནི་དགྱེས་པའི་ཐུགས་ཀྱིས་བདག་ལ་གནང་། །གང་ཞིག་འཇིག་རྟེན་མགོན་པོ་འོད་མཛད་པ། །དོན་དམ་གཟིགས་པ་ལ་ནི་མཆོད་པར་བགྱིད། ། ||| Right now, may you joyfully agree To worship the luminous protector of the world Who perceives the ultimate!”
ལིཙྪ་བཱི་སྟོབས་མཐའ་ཡས་སེམས་དགའ་བས། ལིཙྪ་བཱི་སེང་གེ་ཞེས་བྱ་བ་ལ་སྨྲས་པ། ||| The Licchavi Limitless Strength was delighted and addressed the Licchavi Siṃha:
དེད་དཔོན་རྒྱལ་བ་ལ་ནི་མཆོད་མཛད་དེབདག་གི་གཞོན་ནུ་བསྟན་ལ་གནས་པར་མཛོད། ། ||| “O Captain, follow my son’s advice To worship the Victorious One!”
འདྲེན་པ་ཤཱཀྱ་སེང་གེ་མཆོད་པ་དང་། །གཞོན་ནུ་མཆོག་གི་སྤྲོ་བ་བསྐྱེད་པའི་ཕྱིར། །ཁྱིམ་པ་བྱེ་བ་དྲུག་ཅུ་བརྩོན་པར་གྱུར། ། ||| To worship the Guide, the Lion of the Śākyas, And to delight the wonderful youth, Six hundred million householders set to work.
བརྒྱ་བྱིན་ལྷ་མིག་སྟོང་དང་ལྡན་པ་དང་། །ཚངས་པ་དང་ནི་དབང་ཕྱུག་དབང་སྒྱུར་ལྷ། །བདུད་ཀྱི་བུ་ཕོ་དེད་དཔོན་བཟང་པོ་དང་། །བྱེ་བ་ས་ཡི་ལྷ་དང་ལྷན་ཅིག་ཏུ། །ཡངས་པ་ཅན་གྱི་དགའ་བར་ཐམས་ཅད་ཞུགས། ། ||| Śakra with his thousand divine eyes, The powerful gods Brahmā and Īśvara And Susārthavāha, son of Māra, Together with ten million earthly gods, All came to the delight of Vaiśālī.
གསེར་ལས་བྱས་དང་དེ་བཞིན་དངུལ་གྱི་ཁྲི། །བྱེ་བ་ཕྲག་ནི་སྟོང་དུ་ཚང་བ་དག །རིན་ཆེན་བདུན་གྱིས་དེ་དག་མཛེས་བྱས་པ། །རེ་རེ་ཡང་ནི་བྱེ་བ་སྟོང་དུ་ཚང་། ། ||| Here they produced Billions of thrones made of gold and silver And ornamented with the seven precious substances. Each throne had billions of precious items.
ཁྲི་ཡི་གཡས་དང་གཡོན་དུ་རིན་པོ་ཆེ། །རིན་ཆེན་སྣ་བདུན་རྒྱལ་མཚན་བཟང་པོར་བཙུགས། ། ||| Each side of the thrones was adorned with jewels And had a fine victory banner of the seven precious substances attached.
ཁྲི་དེའི་ཚད་ནི་དཔག་ཚད་རངས་པར་ཡོད། ། ||| The size of the thrones was several leagues.
རྒྱལ་མཚན་དག་ཀྱང་དཔག་ཚད་ཕྱེད་པར་མཐོ། ། ||| The victory banners were half a league high.
རྒྱལ་མཚན་རྣམས་ཀྱི་གཡས་དང་གཡོན་དུ་ནི། །དེའི་དྲུང་དཔག་ཚད་བས་མཐོ་སྟེགས་བུ་དག །རང་བཞིན་གཅིག་སྟེ་ནོར་བུ་རིན་པོ་ཆེ། །བྱེ་བ་ལས་བྱས་དཔག་ཚད་མཐོ་བར་འཕགས། ། ||| On either side of the victory banners Was a platform higher than a league Made exclusively of a single substance— Precious jewels rising more than a league in height.
ཁྲི་ཡི་བར་བར་ལྷ་ཡི་བ་དན་ཡང་། །དཔག་ཚད་བས་ཀྱང་རིང་བ་ཤ་སྟག་དཔྱངས། ། ||| In between the thrones divine banners were hung More than a league long.
བ་དན་ལྡ་ལྡི་གསེར་གྱི་དྲ་བ་དག །དྲིལ་བུ་གཡེར་ཀ་དག་གིས་མཛེས་པར་བྱས། ། ||| The banners featured nets of golden tassels Adorned with strings of bells.
ཁྲི་རྣམས་ཀྱི་ནི་འོག་ཏུ་ཀ་བ་ཡང་། །བྱེ་བ་ཕྲག་སྟོང་བྱ་བ་ལེགས་པར་སྦྱར། ། ||| Beneath the thrones were well-fastened columns, More than one billion of them.
གང་གིས་འདི་རུ་ཁྲི་མཆོག་དེ་དག་ནི། །བརྟན་པར་བྱས་པ་སྒོ་གཏན་བཅུག་པ་བཞིན། ། ||| All of these perfect thrones Were firmly placed, as if bolted to the ground.
ཁྲི་ཡི་སྟེང་དུ་གསེར་ལས་བྱས་པ་དང་། །གསེར་ལྟ་བུ་དང་དངུལ་དང་བཻ་དཱུརྱ། །དེ་བཞིན་ཤེལ་དང་སྤུག་དང་རྡོ་སྙིང་ ||| The surface of the thrones was made of gold— Golden and with silver and beryl, Crystal, coral, and emerald too.
དང་། །དེ་བཞིན་རྩ་བ་དང་ནི་ཁོག་པ་ནས། །བྱུང་བ་མིན་པའི་མུ་ཏིག་གདུགས་དག་བྱས། །ཙན་དན་ཤིན་ཏུ་དམར་པོས་དམར་བར་བསྐུས། །རེ་རེ་དག་ནི་བྱེ་བ་སྟོང་དུ་ཚང་། ། ||| Also, at the bottom and the base Were placed natural pearl parasols, Numbering in the billions And colored red with deep red sandalwood.
ཁྲི་རྣམས་དང་ནི་ཁྲིལ་ཚུལ་ལྟ་བུ་ཡི། །མཁའ་རྟེན་དག་ཀྱང་བྱས་ནས་ ||| Having produced the thrones And the heavenly ornaments, clear as water, on the thrones,
དེ་ལ་ནི། །གསེར་གྱི་དྲ་བ་དང་ནི་གསེར་ལྟ་བུ། །དངུལ་དང་བཻ་དཱུརྱ་དང་དེ་བཞིན་ཤེལ། ། ||| Golden nets were placed on them And adorned with gold, Silver, beryl, and crystal.
སྤུག་དང་དེ་བཞིན་རྡོ་ཡི་སྙིང་པོ་ཡི། །མཁའ་རྟེན་སོ་སོ་བྱས་ནས་ ||| Having produced the ornaments of coral and emerald,
དེ་ལ་ནི། །རིན་ཆེན་དྲིལ་སྒྲ་ཤིན་ཏུ་སྙན་པ་བཏགས། ། ||| Affixed to those were sweet-sounding bells
རྣམ་འདྲེན་སྒྲ་ནི་རྣམ་པར་གྲགས་པ་ཡི། །མཆོད་པའི་དོན་དུ་བདུག་པ་རབ་ཏུ་བཞག ། ||| Resounding with the voice of the Guide. Fumigants were placed there for veneration.
ཡངས་པ་ཅན་གྱི་སྟེང་གི་བར་སྣང་ལ། །གསེར་གྱི་སྐུད་པ་ལས་བྱས་བླ་རེ་བྲེས། ། ||| In the sky above Vaiśālī Was a canopy sewn of golden thread.
གསེར་གྱི་སྐུད་པ་རེ་རེ་མཆོག་ཏུ་བཟང་། །རིན་ཆེན་ཆུན་འཕྱང་སྟོང་ཕྲག་བྱེ་བ་དཔྱངས། ། ||| From each and every golden thread Hung billions of tassels of the finest jewels
མུ་ཏིག་རྒྱན་འཕྲེང་སྟོང་ཕྲག་བྱེ་བ་ཡང་། །རེ་རེ་གསེར་ལས་བྱས་པའི་སྐུད་པས་བརྒྱུས། ། ||| And billions of ornamental garlands of pearl Strung with golden thread.
ཡངས་པའི་གྲོང་ཁྱེར་གནས་པའི་ལིཙྪ་བཱི། །གང་དག་གང་དུ་འདོང་བ་དེར་ཉམས་དགའ། ། ||| All the Licchavis who lived in the city of Vaiśālī Were joyful, regardless of where they went.
དེ་ཚེ་ས་ནི་སྐྱེས་བུ་བདུན་སྲིད་གཡོགས། །གྲོང་ཁྱེར་ཡངས་པ་ཀུན་ཏུ་རས་ཡུག་བཀྲམ། ། ||| They covered the ground of the city of Vaiśālī With pieces of cloth the length of seven men
དྲ་བ་ཅན་གྱིས་ཙན་དན་དམར་བཏགས་ནས། །རས་རྣམས་ལ་ནི་ལེགས་པར་བསྐུ་བ་བྱས། ། ||| Printed with lattices of red sandalwood And made of well-spun fabrics.
བྱེ་བ་སྟོང་ཕྲག་བདུན་ཅུའི་སིལ་སྙན་དག །རྣམ་པ་སྟོང་རྣམས་གཡས་ཀྱི་ཕྱོགས་ནས་འཁྲོལ། ། ||| On the right side, seventy billion instruments Of thousands of different varieties rang forth.
གཡོན་གྱི་ཕྱོགས་སུའང་བྱེ་བ་བདུན་ཅུ་སྟོང་། །ཤཱཀྱ་སེང་གེ་མཆོད་པའི་དོན་དུ་བརྩོན། ། ||| On the left side, a further seventy billion Were also engaged in venerating the Lion of the Śākyas.
དེ་འདྲའི་བཀོད་ཆེན་བྱས་ནས་ལིཙྪ་བཱི། །གཞོན་ནུ་དྲ་བ་ཅན་གྱིས་དེ་ཡི་ཚེ། །དགའ་བའི་སེམས་ཀྱིས་ཕ་མ་ལ་སྨྲས་པ། ། ||| Having set forth such a great array, The Licchavi boy named Ratnajālin Joyfully announced to his parents,
སངས་རྒྱས་སྤྱན་དྲངས་སླད་དུ་བདག་མཆིའོ། ། ||| “I am going before the Buddha.”
གྲོང་ཁྱེར་མཆོག་ནས་མཁས་པ་དེ་བྱུང་སྟེརྒྱལ་བདག་ཆེན་པོ་ག་ལ་བར་སོང་ནས། ། ||| This learned one left the city And went to where the great victorious lord was staying.
ཡོན་ཏན་རྒྱ་མཚོའི་ཞབས་ལ་མགོ་བོ་ཡིས། །ཕྱག་འཚལ་དེར་ནི་གཞོན་ནུ་ཕྱོགས་གཅིག་འདུག ། ||| The young man bowed his head at the feet of this ocean of virtues And stood to one side.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ཡངས་པའི་གྲོང་ཁྱེར་ཆེན་པོ་ནས་བྱུང་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| Then the Licchavi boy Ratnajālin left the city of Vaiśālī and went to where the Blessed One was staying.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| He bowed to the feet of the Blessed One and stood to one side.
ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་དེ་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་དང་ལྡན་པའི་གཏམ་གྱིས་ཡང་དག་པར་དགའ་བར་མཛད། ||| With him standing there to the side, the Blessed One delivered a Dharma discourse to the Licchavi boy Ratnajālin
ཡང་དག་པར་འཛིན་དུ་འཇུག །ཡང་དག་པར་གཟེངས་སྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དོ། ། ||| that delighted, captivated, and uplifted him, and made him utterly delighted.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| The Licchavi boy Ratnajālin then stood up, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| With his palms together he bowed toward the Blessed One and asked,
བཅོམ་ལྡན་འདས་སང་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་བདག་གི་སྡུམ་པར་གདུགས་ཚོད་གསོལ་བར་ཅི་གནང་། ||| “Would the Blessed One and his monastic saṅgha agree to take tomorrow’s midday meal at my home?”
བཅོམ་ལྡན་འདས་ཀྱིས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ལ་ཐུགས་བརྩེ་བ་ཉེ་བར་བཟུང་སྟེ། ཅང་མི་གསུང་བར་གྱུར་པས་གནང་ངོ་། ། ||| Out of love for the Licchavi boy Ratnajālin, the Blessed One showed his acceptance of the offer by remaining silent.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་བཅོམ་ལྡན་འདས་ཀྱིས་ཅང་མི་གསུང་བར་གྱུར་པས་གནང་བར་རིག་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་ངོ་། ། ||| The Licchavi boy Ratnajālin understood that the Blessed One had accepted through his silence, and so he circumambulated the Blessed One three times before taking his leave.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། ལྷའི་བུ་དཔལ་བཟང་ལྡན་དང་ལྷན་ཅིག་ཏུ་ཡངས་པའི་གྲོང་ཁྱེར་ཆེན་པོར་ཞུགས་སོ། ། ||| The Licchavi boy Ratnajālin then entered the city of Vaiśālī along with Śakra who rules the gods, Brahmā who rules the Sahā world, and the god Great Splendor.
སྤྲོ་བ་དང་དགའ་བའི་གཟུགས་རྣམས་ཀྱིས་ཞལ་ཟས་རོ་བརྒྱ་དང་ལྡན་པའི་རྣམ་པ་སྦྱོར་དུ་བཅུག་གོ། ། ||| With enthusiasm and delight, they began to prepare abundant varieties of food.
སྦྱར་ནས་དེའི་མཚན་མོ་འདས་པ་དང་གདན་བཤམས་ཤིང་ཡངས་པ་ལེགས་པར་བརྒྱན་ནས། ||| When the night had passed, they set out cushions and decorated Vaiśālī.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| They then returned to the Blessed One, bowed to him, and stood to one side.
ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The Licchavi boy Ratnajālin then said to the Blessed One,
བཅོམ་ལྡན་འདས་གདུགས་ཚོད་ལ་བབ་སྟེ། ||| “Blessed One, it is time for the midday meal.
དེའི་དུས་ལ་ད་བབ་པར་མཁྱེན་ན་གདུགས་ཚོད་ལགས་ཏེ། དུས་ལ་བབ་ལགས་སོ། ། ||| If it please you, your meal is ready. The time has come.”
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ། སྨད་གཡོགས་དང་ཆོས་གོས་གསོལ། ||| Accordingly, on that morning the Blessed One donned his lower garments and Dharma robes.
ལྷུང་བཟེད་བསྣམས་ཏེ་དགེ་སློང་གི་དགེ་འདུན་དཔག་ཏུ་མེད་པ་དང་ཐབས་ཅིག་ཏུ་སྟེང་གི་བར་སྣང་ལ་མི་བདུན་གྱི་སྲིད་ཙམ་དུ་མངོན་པར་འཕགས་ཏེ་ ||| Bearing his alms bowl, with his infinite saṅgha of monks he rose into the sky to the height of seven men and
ཡངས་པ་ཅན་གྱི་གྲོང་ཁྱེར་ཆེན་པོར་གཤེགས་སོ། ། ||| traveled to the city of Vaiśālī.
བསྐྱོད་མ་ཐག་ཏུ་དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཀྱིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་དེ་ཐམས་ཅད་རྣམ་པ་དྲུག་ཏུ་འགུལ། རབ་ཏུ་འགུལ། ཀུན་དུ་རབ་ཏུ་འགུལ། ||| As soon as he moved, the transformative power of the Thus-Gone One caused all the worlds of the great trichiliocosm to shake six times as they quivered, trembled, and quaked;
གཡོས་རབ་ཏུ་གཡོས། ཀུན་དུ་རབ་ཏུ་གཡོས། ལྡེག་རབ་ཏུ་ལྡེག །ཀུན་དུ་རབ་ཏུ་ལྡེག །འུར་འུར་རབ་ཏུ་འུར་འུར། ཀུན་དུ་རབ་ཏུ་འུར་འུར། ཆེམ་ཆེམ་རབ་ཏུ་ཆེམ་ཆེམ། ཀུན་དུ་རབ་ཏུ་ཆེམ་ཆེམ་སྟེ། ||| wobbled, rocked, and swayed; vibrated, shuddered, and reeled; clattered, rattled, and clanged; and tremored, shook, and convulsed.
ལྟས་བཅྭ་བརྒྱད་དང་ལྡན་པ་རྣམ་པ་དྲུག་ཏུ་གཡོས་སོ། ། ||| Thus they shook six times with eighteen omens.
གཞན་ཡང་ཆོ་འཕྲུལ་བྱེ་བ་ས་ཡ་བརྒྱ་ཕྲག་སྟོང་སྙེད་སྟོན་ཅིང་ཡངས་པ་ཅན་དུ་གཤེགས་སོ། ། ||| He also displayed trillions of miracles as he traveled to the city of Vaiśālī.
