འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་དང་ནི་ལྡན། སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་དང་ནི་ལྡན། བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་དང་ནི་ལྡན། ||| He was endowed with the eighteen unique qualities of the buddhas, great loving-kindness, and great compassion.
སངས་རྒྱས་ཀྱི་སྤྱན་ཉམས་པ་མི་མངའ་བ་དང་ནི་ལྡན། སྤྱན་ལྔ་དང་ནི་ལྡན། ཆོ་འཕྲུལ་ཡང་བརྙེས་ཏེ། ཀུན་རྗོད་པའི་ཆོ་འཕྲུལ་ནི་བརྙེས། རྗེས་སུ་བསྟན་པའི་ཆོ་འཕྲུལ་ནི་བརྙེས། རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་ནི་བརྙེས་སོ། །བཞེད་ན་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་གྲོང་ཁྱེར་དང་བཅས་པ། གྲོང་རྡལ་དང་བཅས་པ། ས་དང་བཅས་པ། འགྲོ་བ་དང་བཅས་པ། རི་རབ་དང་བཅས་པ། ||| He was endowed with the unfailing buddha eye and the five eyes, and he had also gained miraculous powers: the miraculous power of foretelling, the miraculous power of instruction, and the miraculous power of magical display.
རྒྱ་མཚོའི་མཐས་གཏུགས་པ། ལྷའི་གནས་དང་བཅས་པ། ཁོར་ཡུག་དང་འོབས་སུ་བཅས་པ། རྩྭ་དང་། ཤིང་དང་རིར་བཅས་པ་འདི་ནམ་མཁའ་ལ་བསྐལ་པ་འམ། ||| If he wished, he could suspend this trichiliocosm—including its cities, towns, lands, beings, and Mount Merus, encompassing everything up to the edges of the oceans and including the abodes of the gods, the horizons and depths, and the grasses, trees, and mountains—on the tip of a hair in space for an eon or even longer than an eon.
བསྐལ་པ་བས་ཀྱང་ལྷག་པར་སྐྲའི་རྩེ་མོའི་ཆ་ཤས་ཀྱིས་འཛིན་པར་མཛད་དོ། །ཡང་དེའི་ཚེ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ན་སྒྱུ་མ་མཁན་བཟང་པོ་ཞེས་བྱ་བ་བསྟན་བཅོས་ལ་ཤིན་ཏུ་མཁས་པ། ||| At that time, an illusionist named Bhadra lived in the city of Rājagṛha.
གསང་སྔགས་ལ་ཤིན་ཏུ་མཁས་པ། བཟོ་དང་རིག་པ་ལ་འབྱམ་པ། ལས་ཀྱི་མཐའ་བྱས་ཟིན་པ། རབ་ཏུ་བྱེད་པ་བྱས་པ། སྒྲ་གྲགས་པ། ཡུལ་མ་ག་དྷ་ན་སྒྱུ་མ་མཁན་ནམ། སྒྱུ་མ་མཁན་གྱི་སློབ་མ་ཇི་སྙེད་པ་དེ་དག་གི་མཆོག་ཏུ་གྲགས་པ། ཕུལ་དུ་གྲགས་པ་ཞིག་གནས་ཏེ། ||| He was highly versed in the treatises and secret mantra, a master of knowledge and craft, highly accomplished, successful, and famous.
དེས་ཡུལ་མ་ག་དྷ་རིལ་གྱི་སྐྱེ་བོའི་ཚོགས་ཐམས་ཅད་འདུན་པར་བྱས། རྨོངས་པར་བྱས། མགོ་འཁོར་བར་བྱས་ནས་ཡ་མཚན་གྱི་ཆོས་ལ་བཀོད་དེ། བདེན་པ་མཐོང་བ་རྣམས་དང་། དད་པ་དང་། ཆོས་ཀྱི་རྗེས་སུ་འབྲང་བ་རྣམས་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་རྣམས་ནི་མ་གཏོགས་སོ། ། ||| He was known as the greatest of all the illusionists and disciples of illusionists in Magadha, and by dint of his fame, he enthralled, bewildered, and deceived all the throngs of people in Magadha and converted them to his spectacular ways, except for those who had seen the truth, had faith, and followed the Dharma—the lay devotees, men and women.
དེས་སྒྱུ་མས་རྨོངས་པར་བྱེད་པའི་རིག་པའི་སྟོབས་བསྐྱེད་པས་རྙེད་པ་དང་། བཀུར་སྟི་དང་། ཚིགས་སུ་བཅད་པ་ཡང་ལྷག་པར་རྙེད་དོ། །སྒྱུ་མ་མཁན་བཟང་པོས་བཅོམ་ལྡན་འདས་ཀྱི་གྲགས་པ་དང་། སྙན་པ་དང་། ཚིགས་སུ་བཅད་པ་ལྷག་པར་མངོན་པར་འཕགས་ཏེ། འདི་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་ནི་ཐམས་ཅད་མཁྱེན་པ། ཐམས་ཅད་གཟིགས་པ་སྟེ། ཐམས་ཅད་ནི་མཁྱེན། ཐམས་ཅད་ནི་གཟིགས། དེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་དང་ནི་ལྡན། དེ་བཞིན་གཤེགས་པའི་མི་འཇིགས་པ་བཞི་དང་ནི་ལྡན། སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་དང་ནི་ལྡན། སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་དང་ནི་ལྡན། ||| Through his illusions, he became powerful in the craft of bewilderment and acquired tremendous profits, respect, and verses of praise.
བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་དང་ནི་ལྡན། སངས་རྒྱས་ཀྱི་སྤྱན་ཉམས་པ་མི་མངའ་བ་དང་ནི་ལྡན། སྤྱན་ལྔ་དང་ནི་ལྡན། ཆོ་འཕྲུལ་ཡང་བརྙེས་ཏེ། ཀུན་རྗོད་པའི་ཆོ་འཕྲུལ་ནི་བརྙེས། རྗེས་སུ་བསྟན་པའི་ཆོ་འཕྲུལ་ནི་བརྙེས། རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་ནི་བརྙེས་སོ། །བཞེད་ན་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་གྲོང་ཁྱེར་དང་བཅས་པ། གྲོང་རྡལ་དང་བཅས་པ། ས་དང་བཅས་པ། འགྲོ་བ་དང་བཅས་པ། ||| Bhadra the illusionist heard that the fame, renown, and verses of the Blessed One were superior and that he was known as the tathāgata, arhat, complete and perfect Buddha accomplished in knowledge and conduct, the Sugata, the knower of the world, the unsurpassed guide who tames beings, the teacher of gods and humans, the Blessed Buddha, the all-knowing and all-seeing one who knows all and sees all, who is endowed with the ten strengths of a tathāgata, the four fearlessnesses of a tathāgata, and the four correct discernments and who is endowed with the eighteen unique qualities of the buddhas, with great loving-kindness and great compassion, and with the unfailing buddha eye and the five eyes, and as one who has gained miraculous powers: the miraculous power of foretelling, the miraculous power of instruction, and the miraculous power of magical display.
རི་རབ་དང་བཅས་པ། རྒྱ་མཚོའི་མཐས་གཏུགས་པ། ལྷའི་གནས་དང་བཅས་པ། ཁོར་ཡུག་དང་འོབས་སུ་བཅས་པ། རྩྭ་དང་ཤིང་དང་རིར་བཅས་པ་འདི་ནམ་མཁའ་ལ་བསྐལ་པའམ། བསྐལ་པ་བས་ལྷག་པར་སྐྲའི་རྩེ་མོའི་ཆ་ཤས་ཙམ་ལ་འཛིན་པར་མཛད་དོ་ཞེས་ཐོས་སོ། ། ||| If he wished, he could suspend this trichiliocosm—including its cities, towns, lands, beings, and Mount Merus, encompassing everything up to the edges of the oceans and including the abodes of the gods, the horizons and depths, and the grasses, trees, and mountains—on the tip of a hair in space for an eon or for even longer than an eon.
ཐོས་ནས་ཀྱང་ཡང་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ཡུལ་མ་ག་དྷ་རིལ་གྱི་སྐྱེ་བོ་ཐམས་ཅད་བདག་གིས་འདུན་པར་བྱས། རྨོངས་པར་བྱས། མགོ་འཁོར་བར་བྱས་ནས་ཡ་མཚན་གྱི་ཆོས་ལ་བཀོད་དེ། ||| When he heard this, he thought, “I have enthralled all the people of the land of Magadha, bewildered them, deceived them, and converted them to my spectacular ways.
བྲམ་ཟེ་དང་། ཁྱིམ་བདག་ཆེན་པོ་གང་དག་ཡིན་པ་དེ་དག་ཀྱང་བདག་གི་མིང་གིས་རབ་ཏུ་མགུ་བར་གྱུར་ན། ||| All the brahmins and great householders delight in my name.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་གཅིག་པུ་ད་དུང་མ་བགམས། རྨོངས་པར་མ་བྱས། ||| The tathāgata, the arhat, the complete and perfect Buddha is the only one I have yet to put to the test.
མགོ་འཁོར་བར་མ་བྱས་ཀྱིས་མ་ལ་བདག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ག་ལ་བ་དེར་འགྲོ་བར་བྱའོ། ། ||| Since I have not yet bewildered and deceived him, I must go immediately to the tathāgata, the arhat, the complete and perfect Buddha.
སོང་ནས་ཀྱང་བགམ་པར་བྱ་སྟེ། ||| When I get there, I will put him to the test.
གལ་ཏེ་རྨོངས་པའམ། མགོ་འཁོར་བ་བྱ་ནུས་པ་ལྟ་ན། དེ་ལྟ་ན་ཡུལ་མ་ག་དྷ་ཐམས་ཅད་བདག་ལ་གཅིག་ཏུ་འདུ་ལ། བདག་གི་རྙེད་པ་དང་། བཀུར་སྟི་ཡང་ཆེས་སྟོབས་དང་ལྡན་པར་འགྱུར་རོ་སྙམ་མོ། ། ||| If they see that I am able to bewilder and deceive him, all of Magadha will follow me alone, and I will be bolstered with even greater profits and respect.”
དེ་ནས་ཡང་སྒྱུ་མ་མཁན་བཟང་པོ་སྔོན་གྱི་དགེ་བའི་རྩ་བས་བསྐུལ་བ་དང་། སངས་རྒྱས་ཀྱི་མཐུས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ནས་བྱུང་སྟེ། བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ངོ་། །སོང་ནས་ཀྱང་སྒྱུ་མ་མཁན་བཟང་པོས་དེ་བཞིན་གཤེགས་པ་ཉི་མ་བྱེ་བ་ཕྲག་འབུམ་པས་ལྷག་པའི་འོད་ཟེར་འབར་བ། ཞལ་ཟླ་བ་བྱེ་བ་ཕྲག་འབུམ་པས་ལྷག་པར་དྲི་མ་མེད་པ། སྐུ་ཤིང་ནྱ་གྲོ་དྷའི་རྒྱལ་པོ་ལྟར་ཆུ་ཞེང་གབ་པ། ||| Then Bhadra the illusionist, impelled by his previous roots of virtue and by the power of the Buddha, left the city of Rājagṛha and went to where the Blessed One was at Vulture Peak Mountain.
མཛོད་སྤུ་ནོར་བུ་དྲི་མ་མེད་པའི་འོད་དག་པ་ལྟར་གསལ་བ། སྤྱན་པད་མ་དང་། ཨུད་པ་ལ་སྔོན་པོ་ཁ་ཕྱེ་བ་ལྟ་བུའི་བཀྲག་ཡོད་པ། སྤྱི་གཙུག་ཚངས་པས་ཀྱང་བལྟར་མི་མཐོང་བ། འཁོར་གྱི་ནང་ན་གསུང་དབྱངས་ཡན་ལག་དྲུག་ཅུ་དང་ལྡན་པས་ཆོས་སྟོན་པ་མཐོང་ངོ་། ། ||| Upon arrival, Bhadra the illusionist saw the Tathāgata, shining with light brighter than a trillion suns, with a face more immaculate than a trillion moons, with a body well proportioned like the king of banyan trees, with an ūrṇā as clearly apparent as the sparkling of a stainless jewel, with lotus eyes as lustrous as a blue utpala in bloom, and with an uṣṇīṣa whose top could not be seen even by Brahmā, teaching the Dharma amid his retinue in a melodious voice endowed with the sixty qualities.
མཐོང་ནས་ཀྱང་དེའི་སྐུ་དེ་ལྟ་བུ་མཐོང་། གསུང་གི་ཕྲིན་ལས་དེ་ལྟ་བུ་ཐོས་ནས་སེམས་དང་བར་གྱུར་ཅིང་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Seeing this, seeing such a bodily form and hearing such awakened speech, Bhadra’s mind was calmed.
མ་ལ་བདག་གིས་འདི་ཅི་ཐམས་ཅད་མཁྱེན་ལ་ཐམས་ཅད་གཟིགས་པ་དང་ལྡན་པ་ཞིག་ཡིན་ནམ། འོན་ཏེ་མ་ཡིན་པ་བགམ་པར་བྱ་གོར་མ་ཆག་སྙམ་མོ། ། ||| Nonetheless, he thought, “I must test him at once, to find out for sure whether he is all-knowing and all-seeing or not.”
དེ་ནས་ཡང་སྒྱུ་མ་མཁན་བཟང་པོས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་བགམ་པའི་བསམ་པས་སང་གི་གདུགས་ཚོད་ལ་སྤྱན་འདྲེན་ཏོ་ཞེས་གསོལ་ཏོ། ། ||| Then Bhadra the illusionist, bowing to the feet of the Blessed One and thinking to test him, said, “Please come tomorrow for the midday meal.”
འདི་སྙམ་དུ་ཡང་སེམས་ཏེ། ཅི་འདིས་བདག་གི་སེམས་ཤེས་སམ་འོན་ཏེ་མི་ཤེས་ཞིག་གུ། ||| At the same time, he was also thinking, “Does he know my intentions or not?
གལ་ཏེ་ཤེས་ན་ནི་དེར་འོང་བར་མི་འགྱུར་རོ། ། ||| If he does know, then he will not come.
ཅི་སྟེ་མི་ཤེས་ན་ནི་དེས་ན་འོང་བར་འགྱུར་རོ་སྙམ་མོ། ། ||| But if he does not know, he will come.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་གདུལ་བའི་དབང་དུ་ཡང་མཛད། རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྐྱེ་བོ་ཕལ་པོ་ཆེ་གདུལ་བའི་དབང་དུ་ཡང་མཛད་ནས་མཁྱེན་བཞིན་དུ་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་དགེ་སློང་གི་དགེ་འདུན་དང་བཅས་ཏེ་ཅང་མི་གསུང་བས་གནང་བར་མཛད་དོ། ། ||| Knowing this, the Blessed One, for the sake of taming Bhadra the illusionist, and for the sake of taming the masses of the city of Rājagṛha, gave his assent to Bhadra the illusionist by remaining silent along with his saṅgha of monks.
དེ་ནས་ཡང་སྒྱུ་མ་མཁན་བཟང་པོ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Bhadra the illusionist thought, “Since my intention is to harm him and yet he has agreed, he must be neither all-knowing nor all-seeing.”
འདི་བདག་རྣམ་པར་མཐོ་འཚམ་པའི་བསམ་པ་དང་ལྡན་པ་ལ་འདིར་ཁས་ལེན་པ་དང་སྦྱར་ན་འདི་ནི་ཐམས་ཅད་མཁྱེན་པ་ཡང་མ་ཡིན་ལ་ཐམས་ཅད་གཟིགས་པ་དང་ལྡན་པ་ཡང་མ་ཡིན་ནོ་སྙམ་ནས་དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་ངོ་། ། ||| Then Bhadra the illusionist bowed to the feet of the Blessed One and departed from his presence.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །སྒྱུ་མ་མཁན་བཟང་པོས་ནི་སྒྱུ་མའི་ཟ་མ་ཏོག་གིས་དགེ་སློང་གི་དགེ་འདུན་འདི་ལ་མཐོ་འཚམ་པར་འགྱུར་ལགས་སོ། ། ||| Then Venerable Mahāmaudgalyāyana said to the Blessed One, “The illusionist Bhadra is going to harm this saṅgha of monks using his basket of illusions.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མཽད་གལ་གྱི་བུ་ཁྱོད་སྙིང་ལས་ཆུང་བར་གྱིས་ཤིག་དང་། ||| The Blessed One replied, “Maudgalyāyana, do not worry!
ངས་ཡུན་རིང་པོ་ནས་སྤྱད་པ་བསྒྲུབས་པས་ན་དེ་བཞིན་གཤེགས་པ་ནི་འདིར་དུས་མཁྱེན་པ་ཡིན་ཏེ། ||| I have been engaging in correct conduct since long ago, and being a tathāgata, I know the proper time.
དེ་བཞིན་གཤེགས་པ་ལ་ནི་ལྟ་དང་བཅས་པའི་འཇིག་རྟེན་གྱིས་ཀྱང་ཐོ་བཙམ་པར་མི་ནུས་སོ། ། ||| Not even the whole world with its gods can harm a tathāgata.
མཽད་གལ་གྱི་བུ་གཞན་ཡང་འདོད་ཆགས་ནི་མཐོ་འཚམ་པར་བྱེད་པ་ཡིན། ཞེ་སྡང་ནི་མཐོ་འཚམ་པར་བྱེད་པ་ཡིན། ||| “Indeed, Maudgalyāyana, desire is what causes harm, anger is what causes harm, and ignorance is what causes harm.
གཏི་མུག་ནི་མཐོ་འཚམ་པར་བྱེད་པ་ཡིན་ན། དེ་དག་ནི་དེ་བཞིན་གཤེགས་པ་ལ་བག་ལ་ཉལ་དང་བཅས་ཏེ་ཟད་བྲལ་ཡོངས་སུ་གྱུར། གཟོད་མ་ནས་མ་སྐྱེས་པའི་ཆོས་ཅན་ཡིན་ཏེ། དེས་ན་དེ་བཞིན་གཤེགས་པ་ལ་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱིས་ཀྱང་ཐོ་བཙམ་པར་མི་ནུས་སོ། ། ||| Since these, along with any latent tendencies, have been completely exhausted and forsaken by a tathāgata, who realizes that phenomena are primordially unborn, even the whole world with its gods cannot harm a tathāgata.
