༄༅། །རྒྱ་གར་སྐད་དུ། ཨལྤ་དེ་བ་ཏཱ་སཱུ་ཏྲ། བོད་སྐད་དུ།
ལྷའི་མདོ་ཉུང་ངུ་། ||| The Shorter Devatā Sūtra
དོན་མེད་གནས་དང་ལྡན་པ་ཡི། །ཀྱལ་པའི་ཚིག་རྣམས་རབ་སྤོང་ཞིང་། །གང་ཡང་དུས་སུ་ཆོས་སྨྲ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| “Those who abandon Meaningless and idle talk, And when appropriate, expound the Dharma— Those beings go to the higher realms.
གྲོང་ངམ་འོན་ཏེ་དགོན་པ་ན། ། ||| “Either in villages or in remote places,
གཞན་གྱིས་བདག་གིར་བྱས་པ་ལ། །དེ་ལ་ཆགས་སེམས་གང་མེད་པ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Those who do not have any desire To claim another’s possessions as their own— Those beings go to the higher realms.
བྱམས་པའི་སེམས་ཀྱིས་མི་འཚེ་ཞིང་། །གནོད་པར་སེམས་པ་མེད་པ་ཡིས། །སྐྱེ་བོ་ཀུན་ལ་མི་གནོད་པ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| “Those who, with a loving mind, Do not hurt, and without ill will Do not harm any being— Those beings go to the higher realms.
ལས་དང་ལས་ཀྱི་རྣམ་སྨིན་དང་། །གཉི་ག་ལ་ཡང་གང་དད་ཅིང་། །ཡང་དག་ལྟ་བ་ཡང་དག་འཛིན། ། ||| “Those who have confidence and faith In both karma and the ripening of karma, And truly hold the correct view—
སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Those beings go to the higher realms.
དགེ་བའི་ཆོས་རྣམས་འདི་དག་ནི། །དཀར་པོའི་ཆོས་ཀྱི་ལམ་བཅུ་སྟེ། ། ||| “These virtuous qualities Are the tenfold path of the good Dharma.
གང་དག་ཡང་དག་འཛིན་འགྱུར་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Those beings who truly uphold them Will go to the higher realms.
བྲམ་ཟེ་མྱ་ངན་འདས་པ་དང་། །དགྲ་དང་འཇིགས་པ་ཀུན་འདས་ཤིང་། །འཇིག་རྟེན་ཆགས་མེད་རྒལ་བ་ནི། །མང་པོ་ཡོད་པར་མ་མཐོང་ངོ་། ། ||| “I do not see many brāhmaṇas who have attained nirvāṇa, Who have overcome all enemies and fears, Who have crossed over, Free from attachment to the world.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས་ལྷ་དེ་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| After the Blessed One had spoken thus, the divine being rejoiced and praised what the Blessed One had said.
ལྷའི་མདོ་ཉུང་ངུ་རྫོགས་སོ།། །། ||| Thus concludes “The Shorter Devatā Sūtra.”
ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།​། ||| Translated, edited, and finalized by the senior editor and translator Bandé Yeshé Dé.
