འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ལེའུ་བཅུ་བཞི་པ་སྟེ། ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱཱ་ཡུཥྨཾ་ནནྡཾ་གརྦྷཱ་བ་ཀྲཱནྟི་ནིར་དེ་ཤ། བོད་སྐད་དུ།
འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Teaching to Venerable Nanda on Entry into the Womb
སོ་སོའི་ལུས་ལ་ནད་རྣམས་ལྡན་པར་གྱུར་ན་ཡང་མངལ་དུ་འཇུག་པར་མི་འགྱུར་རོ། ། ||| Or if the parents have various physical illnesses, there will not be entry into the womb.
གལ་ཏེ་མའི་མངལ་རླུང་དང་། མཁྲིས་པ་དང་། བད་ཀན་དང་། ཁྲག་གིས་ཉེ་བར་ནོན་པར་གྱུར་ཏམ། མཚམས་ཤས་གང་བའམ། སྨན་གྱིས་གང་བའམ། དབུས་ནས་འདྲ་བའམ། གྲོག་མའི་རྐེད་པ་འདྲ་བའམ། རྔ་མོའི་ཁ་འདྲ་བའམ། ཤིང་རྟའི་ཚིགས་པ་བཞིན་སོགས་ཀར་འདུག་པའམ། ཤིང་རྟའི་སྲོག་ཤིང་ལྟ་བུར་འདུག་པའམ། ཤིང་རྟའི་ལྟེ་བའི་ཁ་ལྟ་བུར་འདུག་པ་འམ། ཤིང་ལོ་ལྟ་བུར་གྱུར་པ་འམ། སྦ་ལྟ་བུར་གྱ་གྱུར་འཁྱིལ་པར་གྱུར་ཏམ། མངལ་གྱི་ནང་ནས་ཀྱི་གྲམ་སྐྱེས་པ་ལྟ་བུར་གྱུར་ཏམ། ཁུ་ཆུ་དང་ཁྲག་མང་དུ་འཛག་ཅིང་སྐད་ཅིག་ཙམ་དུ་ཡང་འདུག་ཏུ་མི་བཏུབ་པར་གྱུར་ཏམ། ཐུར་དུ་འཛག་པར་གྱུར་ཏམ། མངལ་གྱི་ལམ་རྩུབ་པར་གྱུར་ཏམ། སྟེང་དུ་ཡངས་པའམ། འོག་ཏུ་ཡངས་པའམ། ཡོ་བའམ། ཟབ་པ་མ་ཡིན་པའམ། རྡོལ་ནས་ཟགས་པའམ། མཐོ་བ་འམ། དམའ་བའམ། ཐུང་ཞིང་དོག་པའམ། ནད་སྣ་ཚོགས་དང་བཅས་པར་གྱུར་ན་ཡང་མངལ་དུ་འཇུག་པར་མི་འགྱུར་རོ། ། ||| If the mother’s womb is overwhelmed by wind, bile, phlegm, or blood; if its space is filled with flesh; if it is filled with medicine; if its center is like barley; if it is like an ant’s waist; if it is like a camel’s mouth; if it is triangular like the hitch of a cart; if it is like the axle of a cart; if it is like the opening of the hub of a cart; if it is like a leaf; if it is crookedly twisted like cane wood; if the inside of the womb seems as though barley awn has grown there; if semen and blood leak out in large amounts and do not stay there for even an instant; if they leak downward; if the path of the womb is rough; if it is wide at the top; if it is wide at the bottom; if it is crooked or not deep enough; if it bursts open and leaks; if it is high or low, or short and narrow; or if the mother has various illnesses, there will not be entry into the womb.
གལ་ཏེ་ཕ་མ་ཆོ་རིགས་བཙུན་ཞིང་བསོད་ནམས་ཆེན་པོ་དང་ལྡན་པར་གྱུར་ལ་བར་མ་དོའི་ཕུང་པོའི་བསོད་ནམས་ཆུང་བའམ། བར་མ་དོའི་སྲིད་པ་ཆོ་རིགས་བཙུན་ཞིང་བསོད་ནམས་ཆེན་པོ་དང་ལྡན་པར་གྱུར་ལ་ཕ་མ་བསོད་ནམས་ཆུང་བར་གྱུར་ཏམ། གཉི་ག་བསོད་ནམས་དང་ལྡན་ཡང་ཕན་ཚུན་ཕྲད་པར་གྱུར་པའི་ལས་བསགས་པར་མ་གྱུར་ན་ཡང་མངལ་དུ་འཇུག་པར་མི་འགྱུར་རོ། ||| If the parents’ lineage is noble and they have great merit, while the antarābhava has little merit; or if the antarābhava’s lineage is noble and it has great merit, while the parents have little merit; or if both the parents and the antarābhava have merit but have not accumulated the karma to come together, there will not be entry into the womb. “
།འདི་ལྟར་བར་མ་དོའི་ཕུང་པོ་དེ་མངལ་དུ་འཇུག་པར་འགྱུར་བ་ན། ཐོག་མ་ཁོ་ནར་ཕྱིན་ཅི་ལོག་གི་སེམས་རྣམ་པ་གཉིས་འབྱུང་བར་འགྱུར་ཏེ། ||| This being so, when the antarābhava is about to enter the womb, at first two erroneous thoughts will arise.
གཉིས་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the two?
ཕ་མ་གཉིས་ཕྲད་པར་གྱུར་པའི་ཚེ་གལ་ཏེ་ཕོར་འགྱུར་བ་ཞིག་ཡིན་ན་ནི་མ་ལ་ནི་ཆགས་པ་སྐྱེ་བར་འགྱུར་ལ། ཕ་ལ་ནི་ཞེ་སྡང་སྐྱེ་བར་འགྱུར་ཏེ། ||| When the two parents come together, if the new being will be male, the antarābhava experiences desire for the mother and experiences hatred of the father.
ཕའི་ཁུ་བ་བྱུང་བ་ན་འདི་ནི་བདག་གི་ཡིན་ནོ་སྙམ་དུ་སེམས་སོ། ||| And when the father’s fluid is discharged, the antarābhava thinks, ‘This is my fluid.’
།གལ་ཏེ་མོར་འགྱུར་བ་ཞིག་ཡིན་ནི་ཕ་ལ་ནི་ཆགས་པ་སྐྱེ་བར་འགྱུར་ལ། མ་ལ་ནི་ཞེ་སྡང་སྐྱེ་བར་འགྱུར་ཏེ་ ||| If the new being will be female, the antarābhava experiences desire for the father and experiences hatred of the mother.
མའི་ཁུ་བ་བྱུང་བ་ན་འདི་ནི་བདག་གི་ཡིན་ནོ་སྙམ་དུ་སེམས་པས་གལ་ཏེ་འདི་ལྟ་བུའི་ཞེ་སྡང་དང་ཆགས་པའི་སེམས་སྐྱེས་པར་མ་གྱུར་ན། མངལ་དུ་འཇུག་པར་མི་འགྱུར་རོ། ། ||| And when the mother’s fluid is discharged, the antarābhava thinks, ‘This is my fluid.’ But if such thoughts of desire and hatred do not arise, there will not be entry into the womb. “
གཞན་ཡང་དགའ་བོ་ཇི་ལྟར་མའི་མངལ་དུ་འཇུག་པར་འགྱུར་ཞེ་ན། འདི་ལྟ་སྟེ། ||| Furthermore, Nanda, how will there be entry into the mother’s womb?
ཕ་མ་ཡང་ཆགས་པའི་སེམས་སྐྱེས་པར་གྱུར། དུས་ཀྱི་ཟླ་མཚན་ཡང་རྗེས་སུ་འཐུན་པར་གྱུར། བར་མ་དོའི་ཕུང་པོ་ཡང་མངོན་དུ་གྱུར་ལ། གོང་མ་ལྟ་བུའི་སྐྱོན་མང་པོ་ཡང་མེད་ཅིང་ལས་ཀྱི་རྐྱེན་དང་ལྡན་པར་གྱུར་ན་མངལ་དུ་འཇུག་པར་འགྱུར་རོ། ||| If the parents’ thoughts of desire arise, the mother’s fertile period is in order, the antarābhava is present, the many previously mentioned problems are absent, and the karmic conditions are complete, there will be entry into the womb.
།འདི་ལྟར་བར་མ་དོའི་ཕུང་པོ་དེ་མངལ་དུ་འཇུག་པར་འདོད་པ་ན་དེ་ཡང་རྣམ་པ་གཉིས་སུ་འགྱུར་ཏེ། ||| There are two types of antarābhava who wish to enter the womb.
གཉིས་གང་ཞེ་ན། ||| What are the two?
བསོད་ནམས་དང་མི་ལྡན་པ་དང་། བསོད་ནམས་ཆེན་པོ་དང་ལྡན་པ་གང་ཡིན་པའོ། ||| One lacking merit and one having great merit.
།བསོད་ནམས་དང་མི་ལྡན་པ་གང་ཡིན་པ་དེ་ནི་རྣམ་པར་རྟོག་པའི་སེམས་བྱུང་ནས་ཡུལ་མཐོང་བར་གྱུར་པ་ན་འདི་སྙམ་དུ་སེམས་ཏེ། དེང་བདག་ནི་རླུང་དང་། གྲང་བ་དང་། ནམ་རྨུགས་པ་དང་། ཆར་འབབ་པ་དང་། སྐྱེ་བོ་མང་པོའི་ཅ་ཅོ་དང་། མང་པོའི་མཐུ་སྟོབས་ཀྱི་གནོད་པ་བྱེད་པ་དང་ཕྲད་པར་གྱུར་ཏོ་ཞེས་ ||| As for the one lacking merit, an idea arises, and when the antarābhava sees the place where it is headed, it thinks in this way: ‘Now I have encountered wind and cold and darkness and rain, the noise of many people, and many powerful harm-doers.’
འཇིགས་ཤིང་སྐྲག་པ་སྐྱེས་ནས་དེང་བདག་རྩྭའི་ཁྱིམ་དང་། ལོ་མའི་ཁྱིམ་དང་། རྩིག་དྲུང་དབེན་པར་འཇུག་པར་བྱའོ། ||| Terrified and panic stricken, it thinks, ‘Now I will enter a grass hut,’ or ‘I will enter a leaf hut,’ or ‘I will enter a hidden place at the bottom of a wall.’
།ཡང་ན་རི་དང་། ནགས་སྟུག་པོ་དང་། བྲག་ཕུག་དག་ཏུ་འཇུག་པར་བྱའོ། ||| Or it thinks, ‘I will enter a mountain or a thick forest,’ or ‘I will enter a cave.’
།སྙམ་དུ་སེམས་ཏེ་གཞན་ཡང་འདུ་ཤེས་རྣམ་པ་སྣ་ཚོགས་བསྐྱེད་ནས་ཇི་ལྟར་མཐོང་བ་བཞིན་དུ་མའི་མངལ་དུ་འཇུག་པར་བྱའོ། ||| Having given rise to various other notions, in accordance with what it has seen, it will enter its mother’s womb.
།གང་བསོད་ནམས་ཆེན་པོ་དང་ལྡན་པ་དེ་ཡང་འདི་སྙམ་དུ་དེང་བདག་ནི་རླུང་དང་། གྲང་བ་དང་། ནམ་རྨུགས་པ་དང་། ཆར་འབབ་པ་དང་། སྐྱེ་བོ་མང་པོའི་ཅ་ཅོ་དང་། མང་པོའི་མཐུ་སྟོབས་ཀྱིས་གནོད་པར་བྱེད་པ་དང་ཕྲད་པར་གྱུར་ཏོ་ཞེས་ ||| As for the one with great merit, it too thinks in this way: ‘Now I have encountered wind and cold and darkness and rain, the noise of many people, and many powerful harm-doers.’
འཇིགས་ཤིང་སྐྲག་པ་སྐྱེས་ནས་ཁང་པ་བརྩེགས་མའི་སྟེང་དུ་འཛེག་པའམ། ཡང་ཐོག་མཐོན་པོའི་སྟེང་དུ་འཛེག་པའམ། གཞལ་མེད་ཁང་གི་ནང་དུ་འཇུག་པའམ། ཁྲི་ལ་འདུག་པར་བྱའོ་སྙམ་དུ་སེམས་ཏེ། ||| Terrified and panic stricken, it thinks, ‘I will ascend to the top of a multistoried mansion,’ or ‘I will ascend to the top of a high roof,’ or it thinks, ‘I will enter a celestial palace,’ or ‘I will sit on the throne.’
གཞན་ཡང་འདུ་ཤེས་རྣམ་པ་སྣ་ཚོགས་བསྐྱེད་ནས་ཇི་ལྟར་མཐོང་བ་བཞིན་དུ་མའི་མངལ་དུ་འཇུག་པར་འགྱུར་རོ། ||| Having given rise to various other notions, in accordance with what it has seen, it will enter its mother’s womb.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་འདི་ལྟར་བར་མ་དོའི་ཕུང་པོ་དེ་ཐོག་མ་ཁོ་ནར་མངལ་དུ་ཞུགས་པ་གང་ཡིན་པ་དེ་ནི་མེར་མེར་པོ་ཞེས་བྱ་སྟེ། ||| The Bhagavān continued, “Nanda, in this way, the antarābhava, when it first enters the womb, is called the kalala.
ཕ་མའི་མི་གཙང་བ་དང་། འདས་པའི་ལས་ལ་བརྟེན་ནས་ལུས་ལེན་པར་བྱེད་ཀྱང་འདི་ལྟར་ལས་དེ་དང་། ཕ་མའི་རྐྱེན་རྣམས་ཀྱིས་སོ་སོ་ནས་རང་སྐྱེད་པར་མི་བྱེད་ཀྱི། འདུས་པའི་མཐུ་སྟོབས་ཀྱིས་ལུས་ལེན་པར་བྱེད་པས། ||| Although a being obtains a body relying on the impurity of the father and mother and past karma, the body is not produced by that karma and the conditions of the father and mother individually; rather, it is obtained due to the power of their coming together. “
འདི་ལྟ་སྟེ་དཔེར་ན། སྣོད་ཀྱི་ནང་དུ་ཞོས་བཀང་ནས་སྐྱེས་བུའི་རྩོལ་བ་དང་། ཐག་པ་ལ་སོགས་པ་ལ་བརྟེན་ཏེ་མར་འབྱུང་བ་ཡང་རྐྱེན་རྣམས་ལས་དམིགས་པར་མི་འགྱུར་མོད་ཀྱི་འོན་ཀྱང་འདུས་པའི་མཐུ་ལས་མར་འབྱུང་བར་འགྱུར་བ་དེ་བཞིན་དུ་མེར་མེར་པོའི་ལུས་ཀྱང་དེ་བཞིན་ཏེ། ||| Just as curdled milk filling a pot becomes butter due to the conditions of human effort, a rope, and so forth, but the butter is not observed within those conditions, the butter only coming to be due to the power of a combination of these things, the same is true of the body of the kalala.
འདི་ལྟར་རྒྱུ་དང་རྐྱེན་གྱི་མཐུས་མངལ་དུ་ལུས་མངོན་པར་འགྲུབ་པར་འགྱུར་རོ། ||| Its body is produced in the womb due to the power of causes and conditions. “
།དགའ་བོ་འདི་ལྟ་སྟེ་དཔེར་ན་རྩྭ་སྔོན་པོ་དང་། བ་ལང་གི་ལྕི་བ་དང་། རྒྱ་ཤུག་དང་ཞོ་ལ་བརྟེན་ནས་སོ་སོ་ནས་སྲིན་བུ་སྐྱེ་བར་འགྱུར་བ་རེ་རེའི་ནང་དུ་སྲིན་བུ་མི་དམིགས་ཀྱང་རྒྱུ་དང་རྐྱེན་གྱི་སྟོབས་ཀྱིས་སྲིན་བུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| Nanda, as an analogy, when worms arise variously relying on green grass or cow dung or jujubes or curdled milk, worms are not observed within each of these individually. Rather, the worms arise due to the power of causes and conditions.
སྲིན་བུ་དེ་དག་སྐྱེས་པ་ན་སོ་སོ་ནས་རྟེན་ཇི་ལྟ་བ་བཞིན་དུ་ཁ་དོག་སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོར་འགྱུར་རོ། ||| When worms arise, they become green, or yellow, or red, or white in color, according to what they respectively rely on.
།དེ་བཞིན་དུ་ཕ་མའི་མི་གཙང་བ་ལས་ལུས་འདི་སྐྱེ་བ་ཡང་རྐྱེན་རྣམས་ཀྱི་ནང་དུ་བཙལ་ན་དམིགས་པར་མི་འགྱུར་མོད་ཀྱི། འོན་ཀྱང་རྐྱེན་འདུས་པའི་མཐུ་དང་མ་ཕྲད་པར་ཡང་ལུས་ཡང་དག་པར་ལེན་པར་ཡང་མི་འགྱུར་རོ། ||| Similarly, when this body arises due to the impurities of the father and mother, if one searches for it within the conditions, it will not be observed; but if the power of the coming together of the conditions is not obtained, a body will not be properly obtained. “
།ལུས་འདི་སྐྱེས་ན་ཕ་མའི་འབྱུང་བ་ཆེན་པོ་བཞི་དང་ངོ་བོ་ཉིད་ཐ་མི་དད་པར་གྱུར་ཏེ། འདི་ལྟ་སྟེ། ||| When this body arises, its nature is not different from the four great elements of the father and mother.
སའི་ཁམས་ཀྱིས་ནི་སྲ་བའི་བྱ་བ་བྱེད་དོ། ||| That is, the earth element acts for firmness.
།ཆུའི་ཁམས་ཀྱིས་ནི་གཤེར་བའི་བྱ་བ་བྱེད་དོ། ||| The water element acts for moisture.
།མེའི་ཁམས་ཀྱིས་ནི་དྲོ་བའི་བྱ་བ་བྱེད་དོ། ||| The fire element acts for heat.
།རླུང་གི་ཁམས་ཀྱིས་ནི་ཡང་ཞིང་གཡོ་བའི་བྱ་བ་བྱེད་དེ། ||| The wind element acts for lightness and movement.
མེར་མེར་པོའི་ལུས་དེ་དག་གལ་ཏེ་སའི་ཁམས་འབའ་ཞིག་དང་ལྡན་ལ་ཆུའི་ཁམས་མེད་པར་གྱུར་ན་ནི་འདི་ལྟ་སྟེ། དཔེར་ན་ཕྱེ་དང་ཐལ་བ་སྐམ་པོ་བཅངས་པ་བཞིན་དུ་འདུར་མི་བཏུབ་པར་འགྱུར་རོ། ||| If those kalala bodies had only the earth element but did not have the water element, they would be unable to cohere, just as dry flour or ashes are unable to be grasped.
།གལ་ཏེ་ཆུའི་ཁམས་འབའ་ཞིག་དང་ལྡན་ལ་སའི་ཁམས་མེད་པར་གྱུར་ན་ནི་འདི་ལྟ་སྟེ། དཔེར་ན་འབྲུ་མར་རམ་ཆུའི་རང་བཞིན་ནི་སྣུམ་ཞིང་གཤེར་བས་སྲ་བ་མེད་པ་བཞིན་དུ་བོ་ཞིང་གྱེས་པར་འགྱུར་རོ། ||| If they had only the water element but did not have the earth element, they would spill out and disperse, just as oil and water have no firmness, since their nature is slippery and moist.
།གལ་ཏེ་ས་དང་ཆུའི་ཁམས་འབའ་ཞིག་དང་ལྡན་ལ་མེའི་ཁམས་མེད་པར་གྱུར་ན་ནི་འདི་ལྟ་སྟེ་དཔེར་ན། དབྱར་ཚ་བའི་དུས་སུ་ཤའི་གོང་བུ་གྲིབ་མ་ལ་བཞག་པ་ཉི་མའི་འོད་ཀྱིས་མ་ཕོག་པ་བཞིན་དུ་རུལ་ཞིང་མྱགས་པར་འགྱུར་རོ། ||| If they had only the earth and water elements but did not have the fire element, they would become rotten and putrid, just like a piece of meat that is put in the shade during the summer heat and is not struck by the sun’s rays.
།གལ་ཏེ་ས་དང་ཆུ་དང་མེའི་ཁམས་དང་ལྡན་ལ་རླུང་གི་ཁམས་མེད་པར་གྱུར་ན་ནི་འཕེལ་བར་མི་འགྱུར་ཏེ། ||| If they had only the earth, water, and fire elements but no wind element, they would not grow. “
འདི་ལྟ་སྟེ་དཔེར་ན་ཁུར་བ་མཁན་ནམ། དེའི་སློབ་མ་མཁས་པས་ཁུར་བ་བཙོས་ནས་དབུགས་ཀྱིས་བུས་ཏེ་ཅི་དང་ཅི་བྱ་བ་རྣམས་མངོན་པར་འདུས་བྱས་ནས་དེ་དག་ནང་ཁོང་སྟོང་དུ་བྱེད་པ་གལ་ཏེ་རླུང་གི་སྟོབས་མེད་པར་གྱུར་ན་མངོན་པར་འགྲུབ་པར་མི་འགྱུར་རོ། ||| As an analogy, a confectioner or his skilled apprentice fries pastries, blows with his breath, and, doing whatever needs to be done, makes their interiors hollow. If there is no force of wind, they will not be finished.
།དེ་བཞིན་དུ་འབྱུང་བ་ཆེན་པོ་བཞི་པོ་དེ་དག་ཀྱང་ཕན་ཚུན་གཅིག་ལ་གཅིག་བརྟེན་ཅིང་ཡོངས་སུ་བཟུང་ནས་རྣམ་པར་གཞག་པ་ཡིན་པས་དེའི་ཕྱིར་མེར་མེར་པོའི་ལུས་ཕ་མའི་འབྱུང་བ་ཆེན་པོ་བཞི་དང་། ལས་ཀྱི་རླུང་གི་རྒྱུས་སྐྱེ་བར་འགྱུར་བ་དང་དེ་བཞིན་དུ་རྐྱེན་མང་པོ་རྣམས་ཀྱི་ནང་ན་དམིགས་པར་མི་འགྱུར་ཡང་འདུས་པའི་སྟོབས་ཀྱིས་ལུས་ཡང་དག་པར་ལེན་པར་འགྱུར་བར་རིག་པར་བྱའོ། ||| Similarly, since the four great elements are established together, depending on and holding together one another, the body of the kalala will be born due to the four great elements of the father and mother and the wind of karma. In the same way, it should be understood that the body of the kalala is not observed in the many individual conditions but is properly obtained due to the power of a combination of conditions. “
།གཞན་ཡང་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན། ས་བོན་སར་པ་ཡོངས་སུ་གཙང་ལ་ལེགས་པར་སྦས་པ། སྲིན་བུས་མ་ཟོས་པ་ ||| Furthermore, Nanda, as an analogy, a pure new seed is well hidden, and it is not eaten by insects.
མ་རུལ་ཅིང་མ་ཚིག་པ་དང་། མ་གས་པ་དང་། བུ་ག་མེད་པ་ཞིག་ ||| Not rotting, it is not burned or cracked, and it does not have any holes.
གང་ལ་ལ་ཞིག་གིས་ཞིང་བཟང་ཞིང་གཤིན་པ་བཙལ་ཏེ་ས་བོན་བཏབ་ན། ||| Someone finds a good field, namely, a fertile field, and plants the seed.
ཅི་ཉིན་ཞག་གཅིག་གིས་མྱུ་གུ་དང་སྡོང་བུ་དང་། ཡལ་ག་དང་། ལོ་མ་གྲིབ་མ་དང་བཅས་པ་དང་། མེ་ཏོག་དང་། འབྲས་བུ་རྒྱས་ཤིང་ཕུན་སུམ་ཚོགས་པར་འགྱུར་རམ། ||| In one day, do a sprout, stalk, branch, leaf with its shade, flower, and fruit grow and become complete?” “
བཅོམ་ལྡན་འདས་དེ་ནི་དེ་ལྟར་མི་འགྱུར་ལགས་སོ། ། ||| Bhagavān, that is not the case.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་མེར་མེར་པོའི་ལུས་ཀྱང་དེ་བཞིན་དུ་རྒྱུ་དང་རྐྱེན་ལས་རིམ་གྱིས་སྐྱེ་བར་འགྱུར་གྱི། དུས་གཅིག་ཏུ་དབང་པོ་རྣམས་ཕུན་སུམ་ཚོགས་པར་མི་འགྱུར་ཏེ། ||| The Bhagavān continued, “Nanda, the body of the kalala similarly grows gradually due to causes and conditions; the sense faculties are not complete all at once.
དེ་ལྟ་བས་ན་ཕ་མ་ལས་བྱུང་བར་གྱུར་པའི་ལུས་འདི་རྐྱེན་རྣམས་ཀྱི་ནང་ན་བཙལ་ན་ཡང་དམིགས་པར་མི་འགྱུར་མོད་ཀྱི། ||| Therefore, if one searches for this body that arises from the father and mother among these conditions, it will not be found.
འོན་ཀྱང་ཚོགས་པའི་སྟོབས་ཀྱིས་སྐྱེ་བ་ལེན་པར་འགྱུར་བར་རིག་པར་བྱའོ། ||| However, one should know that rebirth will occur due to the force of the combination of causes and conditions. “
།གཞན་ཡང་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་སྐྱེས་བུ་མིག་དང་ལྡན་པས་མེ་ཤེལ་གྱི་ནོར་བུ་བླངས་ནས་ཉི་མ་ལ་བཞག་སྟེ། ||| Furthermore, Nanda, as an analogy, a clear-eyed person takes a fire-crystal jewel and places it in the sun.
