འཕགས་པ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Teaching on the Aids to Enlightenment
གལ་ཏེ་དེ་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ན་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “If they go forth under the dispensation of the Tathāgata, they think to themselves,
བདག་ནི་ཚུལ་ཁྲིམས་དང་ལྡན་པ། ||| ‘I possess ethics,’
བདག་ནི་ཚངས་པར་སྤྱོད་པ་སྟེ། ||| ‘I practice the spiritual life,’
བདག་འཁོར་བ་ལས་འདའ་བར་བྱའོ། ། ||| ‘I shall transcend saṃsāra,’
བདག་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་རྗེས་སུ་ཐོབ་པར་བྱའོ། ། ||| ‘I shall attain complete nirvāṇa,’
བདག་སྡུག་བསྔལ་རྣམས་ལས་ཐར་བར་བྱའོ་ ||| ‘I shall become liberated from suffering.’
དེ་ཆོས་འདི་དག་ནི་དགེ་བ་དག་གོ། ། ||| ‘These phenomena are virtuous,’
ཆོས་འདི་དག་ནི་མི་དགེ་བ་དག་གོ་ ||| ‘Those phenomena are nonvirtuous.’
སྙམ་དུ་རྟོག་གོ། ། ||| “They think,
དེ་ཆོས་འདི་དག་ནི་སྤང་བར་བྱ་བ་དག་གོ། ། ||| ‘These phenomena are to be abandoned,’
ཆོས་འདི་དག་ནི་མངོན་དུ་བྱ་བ་དག་གོ། ། ||| ‘Those phenomena are to be brought about,’
སྡུག་བསྔལ་ནི་ཡོངས་སུ་ཤེས་པར་བྱ་བའོ། ། ||| ‘Suffering is to be known,’
ཀུན་འབྱུང་བ་ནི་སྤང་བར་བྱ་བའོ། ། ||| ‘Its origin is to be abandoned,’
འགོག་པ་ནི་མངོན་སུམ་དུ་བྱ་བའོ། ། ||| ‘Its cessation is to be realized,’
ལམ་ནི་བསྒོམ་པར་བྱ་བའོ་ ||| ‘The path is to be cultivated.’
སྙམ་དུ་རྟོག་གོ། ། ||| “They think,
དེ་འདུ་བྱེད་རྣམས་ནི་མི་རྟག་པ། འདུ་བྱེད་རྣམས་ནི་སྡུག་བསྔལ་བ། འདུ་བྱེད་རྣམས་ནི་ཀུན་ཏུ་འབར་བ་སྟེ། ||| ‘Conditioned states are impermanent,’ ‘Conditioned states are miserable,’ ‘Conditioned states are burning,’
འདུ་བྱེད་རྣམས་ལས་བདག་འབྲོས་པར་བྱའོ་སྙམ་དུ་རྟོག་གོ། ། ||| “They think, ‘I shall escape from conditioned states.’
དེས་དེ་ལྟར་བརྟགས་པས་མཚན་མ་སྔོན་དུ་འགྲོ་བའི་ཡིད་འབྱུང་བ་དང་ལྡན་པ། མཚན་མ་སྔོན་དུ་འགྲོ་བའི་འདུ་ཤེས་ཡིད་ལ་བྱེད་པ་དག་སྐྱེའོ། ། ||| “Through concepts of this kind, they acquire a disenchantment induced by phenomenal characteristics, and they bring to mind notions induced by phenomenal characteristics.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| With such thoughts, they think to themselves,
གང་ཆོས་འདི་དག་ཡོངས་སུ་ཤེས་པ་དེ་ནི་སྡུག་བསྔལ་ཡོངས་སུ་ཤེས་པའོ་སྙམ་མོ། ། ||| ‘One who knows those phenomena is someone who knows suffering.’
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “With that thought, they then think,
བདག་གིས་ཀུན་འབྱུང་བ་སྤང་བར་བྱའོ་སྙམ་ནས་དེ་ཆོས་ཐམས་ཅད་ཀྱིས་ཉེན་ཏེ་མ་རྟོགས་སོ། །སྐྲག་གོ། །དངང་ངོ་། །དངང་བར་འགྱུར་རོ། ། ||| ‘I must abandon the origin.’ They are disturbed by all those phenomena, and do not understand them; they are afraid, terrified, and will be further terrified.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| With such thoughts, they then think,
ཆོས་དེ་དག་མངོན་དུ་བྱེད་པ་གང་ཡིན་པ་དང་། ཆོས་དེ་དག་གིས་ཉེན་པ་གང་ཡིན་པ་དེ་ནི། ཀུན་འབྱུང་བ་སྤོང་བའོ་སྙམ་མོ། ། ||| ‘The bringing about of these phenomena, and being disturbed by those phenomena—these things are the origin that is abandoned.’
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གིས་འགོག་པ་མངོན་སུམ་དུ་བྱའོ་སྙམ་ནས་ ||| “With that thought, they then think, ‘I must actualize cessation,’ and
དེས་ཆོས་དེ་དག་བརྟགས་ཏེ་འགོག་པ་ཡིན་པ་སྙམ་དུ་ཤེས་སོ། ། ||| they think, having investigated those phenomena, that they understand what cessation is.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| With those thoughts, they then think,
འདི་དག་ནི་འགོག་པ་མངོན་སུམ་དུ་བྱེད་པའོ་སྙམ་མོ། ། ||| ‘These are the things that actualize cessation.’
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “With that thought, they then think,
བདག་གིས་ལམ་བསྒོམ་པར་བྱའོ་ ||| ‘I must cultivate the path.’
དེ་གཅིག་པུ་དབེན་པར་སོང་སྟེ། ||| They go alone to an isolated place, and,
ཆོས་དེ་དག་ཡིད་ལ་བྱེད་པས་ཞི་གནས་འཐོབ་བོ། ། ||| by holding those phenomena in mind, they attain tranquility.
དེ་ཡིད་འབྱུང་བ་ཡིད་ལ་བྱེད་པ་དེ་དང་ཞི་གནས་འཐོབ་པ་དེས་ཆོས་ཐམས་ཅད་དང་སེམས་འགྲས་སོ། ། ||| Holding that disenchantment in mind and having attained tranquility, they disapprove of all phenomena,
འབྲལ་ལོ། ། ||| part from them,
ལྡོག་གོ། ། ||| turn away from them,
ལོག་ནས་མངོན་པར་མི་དགའ་བའི་སེམས་བསྐྱེད་དོ། ། ||| and, having withdrawn from them, they produce a mind of dislike.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “They think,
བདག་ནི་སྡུག་བསྔལ་ཐམས་ཅད་ལས་ཐར་ཏེ། བདག་གིས་ཡང་གོང་དུ་བྱ་བ་ཅི་ཞིག་ཡོད་ཀྱིས་བདག་ནི་དགྲ་བཅོམ་པའོ་ ||| ‘I am liberated from all suffering; what more is there for me to do? I am an arhat.’
བདག་ཉིད་ཀྱིས་ཤེས་པ་ལས་དེ་འཆི་བའི་དུས་ཀྱི་ཚེ་སྐྱེ་བ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ནས་དེ་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ལ་དོགས་པ་དང་། ཡིད་གཉིས་དང་། ཐེ་ཙོམ་ཟའོ། ། ||| Based on this presumption, when at the time of death they see their coming rebirth they become apprehensive, uncertain, and doubtful about the Buddha’s enlightenment.
དེ་ཐེ་ཙོམ་དུ་ལྟུང་བའི་སེམས་ཀྱིས་འཆི་བའི་དུས་བྱས་ནས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་རྣམས་སུ་སྐྱེའོ། ། ||| Having died with a mind mired in doubt, they are born in the great hells.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that so?
དེ་ཆོས་ཐམས་ཅད་མ་སྐྱེས་པ་ལ་རྣམ་པར་བརྟགས་པའི་ཕྱིར་རོ། ། ||| It is because they conceive of all those phenomena, which are actually unproduced.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Youthful Mañjuśrī then asked the Bhagavān,
བཅོམ་ལྡན་འདས་འཕགས་པའི་བདེན་པ་བཞི་པོ་དག་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the four truths of the noble ones?”
བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་སུས་འདུ་བྱེད་ཐམས་ཅད་སྐྱེ་བ་མེད་པར་མཐོང་བ་དེས་སྡུག་བསྔལ་ཡོངས་སུ་ཤེས་སོ། ། ||| “Mañjuśrī, whoever sees all conditioned states as unproduced has understood suffering.
སུས་ཆོས་ཐམས་ཅད་འབྱུང་བ་མེད་པར་མཐོང་བ་དེས་ཀུན་འབྱུང་བ་སྤངས་སོ། ། ||| Whoever sees all phenomena as unarisen has abandoned its origin.
སུས་ཆོས་ཐམས་ཅད་ཤིན་ཏུ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པར་མཐོང་བ་དེས་འགོག་པ་མངོན་སུམ་དུ་བྱས་སོ། ། ||| Whoever sees all phenomena as having completely passed into nirvāṇa has realized cessation.
སུས་ཆོས་ཐམས་ཅད་དངོས་པོ་མེད་པར་མཐོང་བ་དེས་ལམ་བསྒོམས་སོ། ། ||| Whoever sees all phenomena as having no existence has cultivated the path.
འཇམ་དཔལ་སུས་འཕགས་པའི་བདེན་པ་བཞི་པོ་དག་འདི་ལྟ་བུར་མཐོང་བ་དེ་ཆོས་འདི་དག་ནི་དགེ་བ་དག་གོ། །ཆོས་འདི་དག་ནི་མི་དགེ་བ་དག་གོ། །ཆོས་འདི་དག་ནི་སྤང་བར་བྱ་བ་དག་གོ། །ཆོས་འདི་དག་ནི་མངོན་སུམ་དུ་བྱ་བ་དག་གོ། །སྡུག་བསྔལ་ནི་ཡོངས་སུ་ཤེས་པར་བྱ་བའོ། །ཀུན་འབྱུང་བ་ནི་སྤང་བར་བྱ་བའོ། །འགོག་པ་ནི་མངོན་སུམ་དུ་བྱ་བའོ། །ལམ་ནི་བསྒོམ་པར་བྱ་བའོ་སྙམ་དུ་མི་རྟོག་རྣམ་པར་མི་རྟོག་གོ། ། ||| “Mañjuśrī, whoever sees the four truths of the noble ones in this way does not mentally construct and conceptualize, thinking, ‘These phenomena are virtuous,’ ‘Those phenomena are nonvirtuous,’ ‘These phenomena are to be abandoned,’ ‘Those phenomena are to be realized,’ ‘Suffering is to be known,’ ‘Its origin is to be abandoned,’ ‘Its cessation is to be realized,’ ‘The path is to be cultivated.’
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that so?
གང་ལ་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་དག་ཆགས་པ་དང་། ཞེ་སྡང་བ་དང་། གཏི་མུག་པའི་ཆོས་དེ་མ་སྐྱེས་པར་དེས་མཐོང་ཞིང་ཡང་དག་པ་མ་ཡིན་པ་ཀུན་བརྟགས་པ་དང་། རྣམ་པར་བསྒྲུབས་པར་མཐོང་བའི་ཕྱིར་ཏེ། ||| It is because they see those phenomena to which ignorant ordinary beings become attached, averse, and perplexed as unproduced, and because they see them as falsely imagined and fabricated.
ཆོས་དེ་གང་ཡང་མི་ལེན་ཏོ། །མི་འདོར་རོ། ། ||| So they do not adopt those phenomena at all, nor do they reject them.
དེ་ཁམས་གསུམ་པ་ལ་སེམས་མི་ཆགས་ཏེ། ||| “Mentally unattached to the three realms,
ཁམས་གསུམ་པ་ཐམས་ཅད་མ་སྐྱེས་པ་དང་། སྒྱུ་མ་ལྟ་བུ་དང་། རྨི་ལམ་ལྟ་བུ་དང་། བྲག་ཅ་ལྟ་བུ་དང་། མིག་ཡོར་ལྟ་བུར་མཐོང་ངོ་། ། ||| they see all three realms as unproduced, like an illusion, a dream, an echo, and a visual aberration.
དེས་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་དེ་ལྟར་མཐོང་བས་སེམས་ཅན་ཐམས་ཅད་ལ་རྗེས་སུ་ཆགས་པ་དང་། ཁོང་ཁྲོ་བ་དང་བྲལ་བར་འགྱུར་རོ། ། ||| “By seeing the nature of all phenomena in that way, they will become free from attachment and aversion toward all sentient beings.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that so?
དེས་གང་ལ་རྗེས་སུ་ཆགས་པ་དང་། ཁོང་ཁྲོ་བར་འགྱུར་བའི་ཆོས་དེ་མི་དམིགས་ཏེ། ||| They do not perceive the phenomena toward which they would have attachment or aversion.
དེས་ནམ་མཁའ་དང་མཚུངས་པའི་སེམས་ཀྱིས་སངས་རྒྱས་ཀྱང་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་། ||| With minds equal to space, they do not perceive even the Buddha,
ཆོས་དང་། དགེ་འདུན་ཡང་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་ངོ་། ། ||| nor do they perceive even the Dharma or the Saṅgha.
དེས་ཆོས་ཐམས་ཅད་སྟོང་པར་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་སྟེ། ཆོས་གང་དག་ལའང་ཐེ་ཚོམ་མི་ཟའོ། ། ||| They do not perceive all phenomena as empty, nor do they harbor doubt regarding any phenomenon.
ཐེ་ཚོམ་མི་ཟ་བས་ཉེ་བར་ལེན་པར་མི་འགྱུར་རོ། ། ||| Because they do not harbor doubt, they will not appropriate.
ཉེ་བར་མི་ལེན་པས་ལེན་པ་མེད་པར་ཡོངས་སུ་མྱ་ངན་ལས་འདའོ། ། ||| Because they do not appropriate, they will attain complete nirvāṇa without further appropriation.
འཇམ་དཔལ་དགེ་སློང་རབ་འབྱོར་གྱིས་ཆོས་ཐམས་ཅད་རྣམ་པ་དེ་ལྟ་བུར་ཤེས་པས་དེ་བཞིན་གཤེགས་པའི་ཞབས་ལ་ཕྱག་འཚལ་དུ་མི་འོང་ངོ་། ། ||| “Mañjuśrī, bhikṣu Subhūti understands all phenomena in such a way, and therefore he does not come to prostrate at the feet of the Tathāgata.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that so?
བདག་ཉིད་ཀྱང་མི་དམིགས་ན་དེ་བཞིན་གཤེགས་པ་དམིགས་པར་འགྱུར་བ་ལྟ་ཅི་སྨོས་ཏེ། དེ་ནི་གནས་མ་ཡིན་པའི་ཕྱིར་རོ། ། ||| It is because it would be impossible—if he does not perceive even himself, how would he perceive the Tathāgata?”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then, Youthful Mañjuśrī asked the Bhagavān,
བཅོམ་ལྡན་འདས་དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་པོ་དག་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the four applications of mindfulness?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་མ་འོངས་པའི་དུས་ན་དགེ་སློང་དག་མི་སྡུག་པའི་རྣམ་པར་ལུས་ལ་ལུས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟོན་པར་འགྱུར། ||| “Mañjuśrī, in the future I will teach the bhikṣus the application of mindfulness that carefully considers the body in its ugly aspect.
སྐྱེ་བ་དང་འགོག་པར་ཚོར་བ་རྣམས་ལ་ཚོར་བའི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟོན་པར་འགྱུར། ||| I will teach the application of mindfulness that carefully considers feelings as arising and ceasing.
སེམས་ལ་སྐྱེ་བའི་ཆོས་དང་། འགག་པའི་ཆོས་སུ་བལྟའོ་སྙམ་དུ་དེ་ལྟར་སེམས་ལ་སེམས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟོན་པར་འགྱུར། ||| I will teach the application of mindfulness that carefully considers the mind in this way: ‘Regard the mind as having the quality of arising and the quality of ceasing.’
གང་རིལ་པོར་འདུ་ཤེས་པར་མི་འགྱུར་བ་དེ་ལྟར་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟོན་པར་འགྱུར་བ་དེ་དག་འབྱུང་ངོ་། ། ||| I will teach the application of mindfulness that carefully considers phenomena in such a way that there will be no notion of them as wholes. These teachings will take place.”
བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| When the Bhagavān had said this, Youthful Mañjuśrī asked the Bhagavān,
བཅོམ་ལྡན་འདས་དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་པོ་དག་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the four applications of mindfulness?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པའི་ལྡེམ་པོ་ངག་ཤེས་པར་དཀའ་ཡིས་ཐོང་ཤིག ། ||| “Mañjuśrī, regard them in terms of the allusive speech of the Tathāgata, which is difficult to understand.”
འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| requested Mañjuśrī.
བཅོམ་ལྡན་འདས་དྲན་པ་ཉེ་བར་གཞག་པ་སྒོམ་པ་བཤད་དུ་གསོལ། ||| “Bhagavān, please explain how to cultivate the four applications of mindfulness,”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ལུས་ནམ་མཁའ་དང་འདྲ་བར་མཐོང་བ་འདི་ནི་ལུས་ལ་ལུས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པའོ། ། ||| “Mañjuśrī,” replied the Bhagavān, “regarding the body to be like space is the application of mindfulness that carefully considers the body.
འཇམ་དཔལ་སུས་ཚོར་བ་ནང་ན་ཡང་མ་ཡིན། ཕྱི་རོལ་ན་ཡང་མ་ཡིན་ཞིང་གཉི་ག་མེད་པ་ལ་ཡང་མི་དམིགས་པ་འདི་ནི་ཚོར་བ་རྣམས་ལ་ཚོར་བའི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པའོ། ། ||| “Mañjuśrī, whoever does not perceive feelings—which, being neither inside, nor outside, are non-existent in both—is applying mindfulness that carefully considers feelings.
འཇམ་དཔལ་སུས་སེམས་ལ་མིང་ཙམ་དུ་ཟད་པར་ཤེས་པ་འདི་ནི་སེམས་ལ་སེམས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པའོ། ། ||| “Mañjuśrī, whoever understands mind to be no more than a mere name is applying mindfulness that carefully considers the mind.
འཇམ་དཔལ་སུས་དགེ་བ་དང་། མི་དགེ་བ་དང་ལུང་དུ་མ་བསྟན་པའི་ཆོས་མི་དམིགས་པ་འདི་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་བའི་དྲན་པ་ཉེ་བར་གཞག་པ་སྟེ། ||| “Mañjuśrī, whoever does not perceive virtuous, nonvirtuous, or neutral phenomena is applying mindfulness that carefully considers phenomena.
འཇམ་དཔལ་དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་པོ་དག་ནི་དེ་ལྟར་བལྟ་བར་བྱའོ། ། ||| “Mañjuśrī, this is how the four applications of mindfulness are to be viewed.”
འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| Mañjuśrī asked,
བཅོམ་ལྡན་འདས་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the eightfold path of the noble ones?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་སུས་ཆོས་ཐམས་ཅད་མི་མཉམ་པ་མེད་ལ་གཉིས་སུ་མེད་ཅིང་། གཉིས་སུ་དབྱེར་མེད་པར་མཐོང་བ་འདི་ནི་ཡང་དག་པའི་ལྟ་བའོ། ། ||| “Mañjuśrī, whoever sees all phenomena as not unequal, nondual, and not dualistically distinguishable has right view.
འཇམ་དཔལ་སུས་མི་མཐོང་བའི་ཚུལ་གྱིས་ཆོས་ཐམས་ཅད་མི་རྟོག་རྣམ་པར་མི་རྟོག །ཀུན་ཏུ་མི་རྟོག་པར་མཐོང་བ་འདི་ནི་ཡང་དག་པའི་རྟོག་པའོ། ། ||| “Mañjuśrī, whoever sees by way of not seeing—without conceptualizing, mentally constructing, or falsely imagining any phenomenon—has right intention.
འཇམ་དཔལ་སུས་བརྗོད་པ་མཉམ་པ་ཉིད་ཤིན་ཏུ་བསྒོམས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་བརྗོད་དུ་མེད་པར་མཐོང་བ་འདི་ནི་ཡང་དག་པའི་ངག་གོ། ། ||| “Mañjuśrī, whoever sees all phenomena as inexpressible due to having meditated on the sameness of all expressions has right speech.
འཇམ་དཔལ་སུས་བྱེད་པ་པོ་མི་དམིགས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་བྱ་བ་མེད་པ་དང་བྱེད་པ་མེད་པར་མཐོང་བ་འདི་ནི་ཡང་དག་པའི་ལས་ཀྱི་མཐའོ། ། ||| “Mañjuśrī, whoever sees all phenomena as free from action and instrument due to not perceiving an agent has right action.
འཇམ་དཔལ་སུས་འཚོ་བ་མཉམ་པ་ཉིད་དུ་གནས་པའི་ཕྱིར། ཆོས་ཐམས་ཅད་འཕེལ་བར་ཡང་མི་བྱེད། འགྲིབ་པར་ཡང་མི་བྱེད་པ་འདི་ནི་ཡང་དག་པའི་འཚོ་བའོ། ། ||| “Mañjuśrī, whoever does not act to increase or decrease any phenomenon due to abiding in the sameness of all livelihoods has right livelihood.
འཇམ་དཔལ་སུས་རྩོམ་པ་མེད་པར་བརྟུལ་བའི་ཚུལ་གྱིས་ཆོས་ཐམས་ཅད་ཀུན་ནས་མི་སློང་བ་འདི་ནི་ཡང་དག་པའི་རྩོལ་བའོ། ། ||| “Mañjuśrī, whoever, by way of applying themselves without exertion, does not initiate anything has right effort.
འཇམ་དཔལ་དྲན་པའི་ལས་དབེན་པའི་ཕྱིར་སུས་ཆོས་ཐམས་ཅད་དྲན་པར་མི་བྱེད་པ་འདི་ནི་ཡང་དག་པའི་དྲན་པའོ། ། ||| “Mañjuśrī, whoever is not mindful of any phenomenon due to being devoid of the act of mindfulness has right mindfulness.
འཇམ་དཔལ་སུས་དམིགས་པ་མི་དམིགས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་མཉམ་པར་བཞག་ཅིང་མ་འཁྲུགས་པར་མཐོང་བ་འདི་ནི་ཡང་དག་པའི་ཏིང་ངེ་འཛིན་ཏོ། ། ||| “Mañjuśrī, whoever sees all phenomena as naturally meditatively concentrated and undisturbed due to not perceiving any object of perception has right meditative concentration.
འཇམ་དཔལ་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ནི་དེ་ལྟར་བལྟ་བར་བྱའོ། ། ||| “Mañjuśrī, this is how the eightfold path of the noble ones is to be viewed.”
འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| Mañjuśrī asked,
བཅོམ་ལྡན་འདས་དབང་པོ་ལྔ་པོ་དག་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the five faculties?”
