༄༅༅། །རྒྱ་གར་སྐད་དུ། དྷྭ་ཛཱ་གྲན་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་རྒྱལ་མཚན་མཆོག་ཅེས་བྱ་བ། ||| The Mahāsūtra The Crest Insignia (1)
དེ་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The many merchants of Vaiśālī then rose from their seats and, draping their robes over their left shoulders, bowed to the Blessed One with joined palms.
བཙུན་པ་བདག་ཅག་ནི་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་ཡུལ་རྡོ་འཇོག་ཏུ་འཇལ་ཚོང་བགྱི་བའི་སླད་དུ། ཡུལ་རྡོ་འཇོག་ཏུ་མཆི་བར་ཆས་པ་ལགས་ན། ||| “Honored One,” they addressed the Blessed One, “we are a large group of merchants from Vaiśālī preparing for a journey to the land of Takṣaśilā in order to trade goods.
བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་སང་བདག་ཅག་གི་སྡུམ་པར་གདུགས་ཚོད་གསོལ་བར་ཅི་གནང་། ||| Would the Blessed One and the saṅgha of monks agree to take their midday meal at our place tomorrow?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་ལ་ཅང་མི་གསུང་བས་གནང་བར་མཛད་དོ། ། ||| The Blessed One assented to the many merchants of Vaiśālī by remaining silent.
དེ་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གིས་བཅོམ་ལྡན་འདས་ཀྱིས་ཅང་མི་གསུང་བས་གནང་བར་རིག་ནས། ||| The many merchants of Vaiśālī recognized that the Blessed One had agreed by remaining silent.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་ལ་མངོན་པར་བསྟོད་ཅིང་རྗེས་སུ་ཡི་རངས་ནས། ||| They praised what the Blessed One had taught and rejoiced.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔ་ནས་ཕྱིར་དོང་ངོ་། ། ||| They bowed their heads at the Blessed One’s feet and departed from his presence.
དེ་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གིས་དེ་ཉིད་ཀྱི་མཚན་མོ་བཟའ་བ་དང་བཅའ་བྱ་བ་གཙང་ཞིང་བསོད་པ་དག་ལེགས་པར་སྦྱར་ནས་ནང་པར་སྔར་ལངས་ཏེ། གདན་དག་བཤམས་ཤིང་། ||| That evening, the many merchants of Vaiśālī carefully prepared pure and wholesome food and drink.
ཆུ་ར་དག་ཀྱང་བཞག་ནས། ||| Rising early the next morning, they prepared the seating and set out the water jugs.
བཅོམ་ལྡན་འདས་ལ་བཙུན་པ་གདུགས་ཚོད་སྦྱར་ཏེ། དུས་ལ་བབ་ལགས་ན། ||| They then extended their invitation to the Blessed One: “Honored One, the meal has been prepared, and the time has come.
བཅོམ་ལྡན་འདས་ཀྱིས་ད་དེའི་དུས་ལ་བབ་པར་དགོངས་སུ་གསོལ་ཞེས་སྤྱན་འདྲེན་གྱིས་སྤྱན་དྲངས་སོ། ། ||| Please, Blessed One, know that the time has now come.”
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོ་ཤམ་ཐབས་དང་ཆོས་གོས་གསོལ་ཏེ། ||| That morning, the Blessed One donned his lower garment and upper robe and took up his alms bowl.
ལྷུང་བཟེད་བསྣམས་ནས་དགེ་སློང་གི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཅིང་། དགེ་སློང་གི་དགེ་འདུན་གྱིས་མདུན་དུ་བདར་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གི་བཀད་ས་ག་ལ་བ་དེར་གཤེགས་ཏེ་བྱོན་ནས། ||| Surrounded by a group of monks at the head of the saṅgha of monks, he proceeded to the dining hall of the many merchants of Vaiśālī.
དགེ་སློང་གི་དགེ་འདུན་གྱི་གུང་ལ་གདན་བཤམས་པ་དེ་ཉིད་ལ་བཞུགས་སོ། ། ||| When he arrived, he sat on the seat that had been prepared for him amid the gathering of monks.
དེ་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གིས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་པ་དང་། ||| The many merchants of Vaiśālī then bowed their heads at the Blessed One’s feet and sat to one side.
བཅོམ་ལྡན་འདས་ཀྱིས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་ཕྱོགས་གཅིག་ཏུ་འཁོད་པ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཚོང་པ་དག་གལ་ཏེ་ཁྱེད་ཅག་དགོན་པར་སོན་པ་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན། དེའི་ཚེ་ཁྱེད་ཀྱིས་འདི་ལྟར་བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས། རིག་པ་དང་ཞབས་སུ་ལྡན་པ། ||| The Blessed One gave the following teaching to the many merchants of Vaiśālī, who were seated to one side.
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡིན་ནོ་ཞེས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “Merchants, when you are in the wilderness and you feel fear, trepidation, or terror, at that time, you should recollect me through my aspects: “The Blessed One is a thus-gone one, a worthy one, a perfectly and completely awakened one, a learned and virtuous one, a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of devas and humans, an awakened one, and a blessed one.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect me through my aspects, then whatever fear, trepidation, or terror you are experiencing will subside.
གལ་ཏེ་ང་མི་དྲན་ན་ཡང་བཅོམ་ལྡན་འདས་ཀྱི་ཆོས་ནི་ལེགས་པར་གསུངས་པ་ཡང་དག་པར་མཐོང་བ། ནད་མེད་པ། དུས་ཆད་པ་མེད་པ། ཉེ་བར་གཏོང་བ་འདི་མཐོང་བ་ལ་དོན་ཡོད་པ། མཁས་པ་རྣམས་ཀྱིས་རང་གིས་རིག་པར་བྱ་བ་ཡིན་ནོ་ཞེས་ཆོས་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “If you cannot recollect me, then recollect the Dharma through its aspects: “The Dharma of the Blessed One has been well spoken, it is to be seen for oneself, it is free from ailments, it is timeless, it is a guide, it is there in plain sight, and it is to be experienced by the wise for themselves.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་ཆོས་རྣམ་པ་ལྔས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect the Dharma through these aspects, then whatever fear, trepidation, or terror you are experiencing will subside.
གལ་ཏེ་ཆོས་མི་དྲན་ན་ཡང་བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ནི་ལེགས་པར་ཞུགས་པ། རིགས་པར་ཞུགས་པ། དྲང་པོར་ཞུགས་པ། འཐུན་པར་ཞུགས་པ། ཆོས་ཀྱི་རྗེས་སུ་འཐུན་པའི་ཆོས་ལ་ཞུགས་པ། ||| “If you cannot recollect the Dharma, then recollect the Saṅgha through its aspects: “The Saṅgha of śrāvakas of the Blessed One practice well, they practice in the proper way, they practice with integrity, they practice in the right way, they practice the Dharma as befits the Dharma, and they act in accordance with the Dharma.
ཆོས་ཀྱི་རྗེས་སུ་འཐུན་པར་སྤྱོད་པ་སྟེ། དགེ་འདུན་ལ་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of stream entry.
དགེ་འདུན་ལ་རྒྱུན་དུ་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are stream enterers.
དགེ་འདུན་ལ་ལན་ཅིག་ཕྱིར་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of once-returners.
དགེ་འདུན་ལ་ལན་ཅིག་ཕྱིར་འོང་བ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are once-returners.
དགེ་འདུན་ལ་ཕྱིར་མི་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of non-returners.
དགེ་འདུན་ལ་ཕྱིར་མི་འོང་བ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are non-returners.
དགེ་འདུན་ལ་དགྲ་བཅོམ་པ་ཉིད་ཀྱི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of arhathood.
དགེ་འདུན་ལ་དགྲ་བཅོམ་པ་དག་ཀྱང་ཡོད་དེ། ||| In the Saṅgha there are arhats.
དེ་དག་ནི་སྐྱེས་བུ་ཟུང་བཞི་དང་། སྐྱེས་བུ་གང་ཟག་བརྒྱད་ཡིན་ཏེ། ||| These are the four pairs, the eight types of persons.
བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དེ་ནི་ཚུལ་ཁྲིམས་ཕུན་སུམ་ཚོགས་པ། ཏིང་ངེ་འཛིན་ཕུན་སུམ་ཚོགས་པ། ཤེས་རབ་ཕུན་སུམ་ཚོགས་པ། རྣམ་པར་གྲོལ་བ་ཕུན་སུམ་ཚོགས་པ། རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བ་ཕུན་སུམ་ཚོགས་པ་ཀུན་དུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ། ||| The Blessed One’s Saṅgha of śrāvakas is replete with discipline, replete with samādhi, replete with wisdom, replete with liberation, and replete with the knowledge and vision of liberation.
རབ་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ། ཐལ་མོ་སྦྱར་བའི་འོས་སུ་གྱུར་པ། ཕྱག་བྱ་བའི་འོས་སུ་གྱུར་པ། ||| They are fully worthy of offerings, they are completely worthy of offerings, they are worthy of respect with joined palms, they are worthy of homage.
བསོད་ནམས་ཀྱི་ཞིང་བླ་ན་མེད་པ། འཇིག་རྟེན་གྱི་ཡོན་གནས་ཡིན་ནོ་ཞེས་དགེ་འདུན་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| They are the unsurpassed field of merit, the rightful recipients of the offerings of the world.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་དགེ་འདུན་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ནས་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect the Saṅgha through these aspects, then whatever fear, trepidation, or terror you are experiencing will subside.
ཚོང་པ་དག་སྔོན་ལྷ་དང་ལྷ་མ་ཡིན་གྱི་གཡུལ་ཉེ་བར་གནས་པར་གྱུར་པ་ན་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ལ་སྨྲས་པ། གྲོགས་པོ་དག་གལ་ཏེ་ཁྱེད་ཅག་ལྷ་དང་། ལྷ་མ་ཡིན་གྱི་གཡུལ་དུ་ཞུགས་པ་ན། འཇིགས་པའམ། བག་ཚ་བའམ། ||| “Previously, merchants, when a battle between the devas and the asuras was about to break out, Śakra, the lord of the devas, called out to the devas of the Heaven of the Thirty-Three: ‘Friends, when you go into the battle between the devas and the asuras, if you feel any fear, trepidation, or terror, you should at that time recall my crest insignia Vaijayanta.
སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན། དེའི་ཚེ་ཁྱེད་ཀྱིས་ངའི་རྒྱལ་མཚན་མཆོག་རྣམ་པར་རྒྱལ་བྱེད་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག །དེའི་ཚེ་ཁྱེད་ཀྱིས་ངའི་རྒྱལ་མཚན་མཆོག་རྣམ་པར་རྒྱལ་བྱེད་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། ||| If at that time you recollect my crest insignia Vaijayanta, then whatever fear, trepidation, or terror you are experiencing will subside.
བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་དེ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། །གལ་ཏེ་ངའི་མི་དྲན་ན་ཡང་ལྷའི་བུ་དབང་ལྡན་གྱི་རྒྱལ་མཚན་མཆོག་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “ ‘If you cannot recollect my crest insignia, then recollect the crest insignia of the deva Īśāna.
དེའི་ཚེ་ཁྱེད་ཀྱིས་ལྷའི་བུ་དབང་ལྡན་གྱི་རྒྱལ་མཚན་མཆོག་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། ||| If at that time you recollect the crest insignia of the deva Īśāna, then whatever fear, trepidation, or terror you are experiencing will subside.
སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། །གལ་ཏེ་ལྷའི་བུ་དབང་ལྡན་གྱི་མི་དྲན་ན་ཡང་ལྷའི་བུ་ཆུ་ལྷའི་རྒྱལ་མཚན་མཆོག་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “ ‘If you cannot recollect the crest insignia of the deva Īśāna, then recollect the crest insignia of the deva Varuṇa.
དེའི་ཚེ་ཁྱེད་ཀྱིས་ལྷའི་བུ་ཆུ་ལྷའི་རྒྱལ་མཚན་མཆོག་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| If at that time you recollect the crest insignia of the deva Varuṇa, then whatever fear, trepidation, or terror you are experiencing will subside.
ཚོང་པ་དག་དེ་བཞིན་དུ་གལ་ཏེ་ཁྱེད་ཅག་ཀྱང་དགོན་པར་སོན་པ་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན་དེའི་ཚེ་ཁྱེད་ཀྱིས་འདི་ལྟར་བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས། རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ་ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡིན་ནོ་ཞེས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “In the same way, merchants, when you are in the wilderness and feel fear, trepidation, or terror, at that time, you should recollect me through my aspects: “The Blessed One is a thus-gone one, a worthy one, a perfectly and completely awakened one, a learned and virtuous one, a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of devas and humans, an awakened one, and a blessed one.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect me through my aspects, whatever fear, trepidation, or terror you are experiencing will subside.
གལ་ཏེ་ང་མི་དྲན་ན་ཡང་བཅོམ་ལྡན་འདས་ཀྱི་ཆོས་ནི་ལེགས་པར་གསུངས་པ། ཡང་དག་པར་མཐོང་བ། ནད་མེད་པ། དུས་ཆད་པ་མེད་པ། ཉེ་བར་གཏོང་བ། འདི་མཐོང་བ་ལ་དོན་ཡོད་པ། མཁས་པ་རྣམས་ཀྱིས་རང་གིས་རིག་པར་བྱ་བ་ཡིན་ནོ་ཞེས་ཆོས་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “If you cannot recollect me, then recollect the Dharma through its aspects: “The Dharma of the Blessed One has been well spoken, it is to be seen for oneself, it is free from ailments, it is timeless, it is a guide, it is there in plain sight, and it is to be experienced by the wise for themselves.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་ཆོས་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect the Dharma through its aspects, whatever fear, trepidation, or terror you are experiencing will subside.
གལ་ཏེ་ཆོས་མི་དྲན་ན་ཡང་བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ནི་ལེགས་པར་ཞུགས་པ། རིགས་པར་ཞུགས་པ། དྲང་པོར་ཞུགས་པ། འཐུན་པར་ཞུགས་པ། ཆོས་ཀྱི་རྗེས་སུ་འཐུན་པའི་ཆོས་ལ་ཞུགས་པ། ||| “If you cannot recollect the Dharma, then recollect the Saṅgha through its aspects: “The Saṅgha of śrāvakas of the Blessed One practices well; they practice in the proper way, they practice with integrity, they practice in the right way, they practice the Dharma as befits the Dharma, and they act in accordance with the Dharma.
ཆོས་ཀྱི་རྗེས་སུ་འཐུན་པར་སྤྱོད་པ་སྟེ། དགེ་འདུན་ལ་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of stream entry.
དགེ་འདུན་ལ་རྒྱུན་དུ་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are stream enterers.
དགེ་འདུན་ལ་ལན་ཅིག་ཕྱིར་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice to realize the result of once-returners.
དགེ་འདུན་ལ་ལན་ཅིག་ཕྱིར་འོང་བ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are once-returners.
དགེ་འདུན་ལ་ཕྱིར་མི་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice in order to realize the result of non-returners.
དགེ་འདུན་ལ་ཕྱིར་མི་འོང་བ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are non-returners.
དགེ་འདུན་ལ་དགྲ་བཅོམ་པ་ཉིད་ཀྱི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ཞུགས་པ་དག་ཀྱང་ཡོད། ||| In the Saṅgha there are those who practice in order to realize the result of arhathood.
དགེ་འདུན་ལ་དགྲ་བཅོམ་པ་དག་ཀྱང་ཡོད་དེ། ||| In the Saṅgha there are arhats.
དེ་དག་ནི་སྐྱེས་བུ་ཟུང་བཞི་དང་། སྐྱེས་བུ་གང་ཟག་བརྒྱད་ཡིན་ཏེ། ||| These are the four pairs, the eight types of persons.
བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དེ་ནི་ཚུལ་ཁྲིམས་ཕུན་སུམ་ཚོགས་པ། ཏིང་ངེ་འཛིན་ཕུན་སུམ་ཚོགས་པ། ཤེས་རབ་ཕུན་སུམ་ཚོགས་པ། རྣམ་པར་གྲོལ་བ་ཕུན་སུམ་ཚོགས་པ། རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བ་ཕུན་སུམ་ཚོགས་པ། ||| The Blessed One’s Saṅgha of śrāvakas is replete with discipline, replete with samādhi, replete with wisdom, replete with liberation, and replete with the knowledge and vision of liberation.
ཀུན་དུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ། རབ་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ། ཐལ་མོ་སྦྱར་བའི་འོས་སུ་གྱུར་པ། ཕྱག་བྱ་བའི་འོས་སུ་གྱུར་པ། ||| They are fully worthy of offerings, they are completely worthy of offerings, they are worthy of respect with joined palms, they are worthy of homage.
