༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
ཆོས་མཉན་པའི་ཕྱིར་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་ཕྱི་བཞིན་དུ་འབྲང་བར་གྱུར་ཏོ། ། ||| Many other gods were also following Mañjuśrī Kumārabhūta in order to hear the Dharma.
འདི་ལྟ་སྟེ། སྐྱེས་བུ་དམ་པ་དེ་དག་དང་། ལྷའི་བུ་དེ་དག་ཚོགས་ཤིང་འཁོད་པ་ལས་བར་སྐབས་སུ་ཀྱེ་གྲོགས་པོ་དག་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ནི་རྒྱ་ཆེ་བ། དཔག་ཏུ་མེད་པ། ཚད་མེད་པ། བསམ་གྱིས་མི་ཁྱབ་པ། མཉམ་པ་མེད་པ། གཞལ་དུ་མེད་པ། མི་རྟོགས་པ། མི་མཉམ་པ་དང་མཉམ་པ། བླ་ན་མེད་པ་ཡིན་ཏེ། ||| A discussion was held among these sublime beings and gods: “Listen, friends! The wisdom of the buddhas is vast, unfathomable, limitless, inconceivable, unequaled, immeasurable, incomprehensible, unrivaled, and unsurpassed.
དེ་ནི་གོ་ཆ་དམ་པ་མ་ཡིན་པས་རྟོགས་པར་མི་ནུས་ན་གོ་ཆ་ཇི་ཙམ་ཞིག་བགོས་ན་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་ཞེས་དེ་ལྟ་བུའི་གཏམ་རྗོད་པར་གྱུར་པ་དང་། ||| Given that one could never comprehend it with armor that is not sublime, the question follows: what sort of armor should one don in order that one will be able to comprehend the great wisdom, the wisdom of omniscience?”
བྱང་ཆུབ་སེམས་དཔའ་ཀླུ་དཔལ་གྱིས་སྨྲས་པ། དགེ་བའི་རྩ་བའི་ཚོགས་བསགས་པ་བསྔོ་བ་ལ་ཆོག་མི་ཤེས་པའི་དགེ་བའི་རྩ་བ་ལ་གཞོག་པར་གནས་ཤིང་མི་བརྗེད་པའི་གོ་ཆ་བགོས་པས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ། ||| The bodhisattva Nāgaśrī said, “One can comprehend such great wisdom by donning the armor that is situated in and does not forget the roots of virtue that are insatiable in accumulating roots of virtue and dedicating them.”
བྱང་ཆུབ་སེམས་དཔའ་ཀླུས་བྱིན་གྱིས་སྨྲས་པ། སེམས་སྙོམས་པ་དང་། སེམས་དུལ་བ་དང་། སེམས་འཇམ་པ་དང་། སེམས་དྲང་བ་དང་། སེམས་མཉེན་པ་དང་། སེམས་ཅང་ཤེས་པའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་ཡི་དམ་བརྟན་པོ་སྙིང་པོ་ལ་གནས་པའི་གོ་ཆ་བགོས་པས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས། ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| The bodhisattva Nāgadatta said, “It is by donning armor that consists in a firm and sincere commitment toward the wisdom of omniscience due to having an even, gentle, soft, honest, pliant, and noble attitude that one is able to comprehend the great wisdom, the wisdom of omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་དཔལ་འབྱུང་གིས་སྨྲས་པ། ||| The bodhisattva Śrīsambhava said,
ཀྱེ་གྲོགས་པོ་དག་བསྐལ་པའི་གྲངས་ཀྱིས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་མི་ནུས་ཀྱི། བསྐལ་པ་དཔག་ཏུ་མེད་པར་གོ་ཆ་བགོས་པས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་དེ་རྟོགས་པར་ནུས་སོ། ||| “Listen, friends! Such great wisdom cannot be comprehended through the enumeration of eons. However, it can be comprehended by donning armor for unfathomable eons.”
།བྱང་ཆུབ་སེམས་དཔའ་དཔལ་གྱི་སྙིང་པོས་སྨྲས་པ། རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་བདག་གི་བདེ་བ་ལ་ཆགས་ཤིང་གནས་པས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་མི་ནུས་ཀྱི། ||| The bodhisattva Śrīgarbha said, “Noble sons, bodhisattvas who are attached to and concerned with their own happiness will not be able to comprehend such great wisdom.
བདག་གི་བདེ་བ་ལ་མ་ཆགས་པས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་དེ་རྟོགས་པར་ནུས་ཏེ། ||| However, they could comprehend the wisdom of omniscience by not being attached to their own happiness.
གང་ཟང་ཟིང་མེད་པ་ལན་དུ་བྱ་བ་མ་ཡིན་པའི་བདེ་བ་དེ་སེམས་ཅན་ཐམས་ཅད་ལ་བསྟབས་སོ་ཞེས་སེམས་ཅན་ཐམས་ཅད་བདེ་ཞིང་བདེ་བ་དང་ལྡན་པ་ལ་གཞོག་པར་བྱེད་པ་དེས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་དེ་རྟོགས་པར་ནུས་སོ། ། ||| When such people apply themselves to the happiness and well-being of all beings with a wish to supply all beings with happiness without expecting any material offerings in return, they will be able to comprehend the wisdom of omniscience.”
བྱང་ཆུབ་སེམས་དཔའ་པད་མ་བླ་མའི་དཔལ་གྱིས་སྨྲས་པ། བདག་ཉིད་མ་དུལ། མ་བསྲུངས། མ་བྱང་བ་དེས་ཕ་རོལ་མ་དུལ་མ་བསྲུངས། མ་བྱང་བ་དུལ་བར་བྱ་བ་དང་། ཞི་བར་བྱ་བའི་གནས་དེ་ནི་མེད་ཀྱིས། བདག་ཉིད་ཤིན་ཏུ་དུལ། ཤིན་ཏུ་བསྲུངས། ཤིན་ཏུ་བྱང་བ་དེས་ཕ་རོལ་མ་དུལ། མ་བསྲུངས། མ་བྱང་བ། དུལ་བར་བྱ་བ་དང་། ཞི་བར་བྱ་བའི་གནས་དེ་ནི་ཡོད་དོ་ཞེས་བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་དེ་སྐད་གསུངས་ཏེ། ||| The bodhisattva Most Glorious Lotus said, “Those who are wild, reckless, and unrefined have no opportunity to tame or pacify others who are wild, reckless, and unrefined, whereas those who are very tame, guarded, and refined will have the opportunity to tame or pacify others who are wild, reckless, and unrefined. The Blessed One has said as much.
དེ་བས་ན་དུལ་བ་དང་ཞི་གནས་ཀྱི་རྣལ་འབྱོར་ལ་ཞུགས་ཤིང་ཕ་རོལ་དུལ་བ་དང་། ཞི་གནས་དང་འཐུན་པར་བྱ་བ་ལ་མཁས་པས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| Therefore, by being tame oneself and engaging in the practice of tranquility, and through skillfully taming others and bringing them tranquility, one will be able to comprehend great wisdom.”
།བྱང་ཆུབ་སེམས་དཔའ་པད་མ་དཔལ་འབྱུང་གིས་སྨྲས་པ། ||| The bodhisattva Emerging Lotus Glory said,
ཀྱེ་གྲོགས་པོ་དག་འཇིག་རྟེན་གྱི་ཆོས་དང་འབྲེལ་པས་འཇིག་རྟེན་ལས་འདའ་བར་མི་ནུས་ཀྱི། གང་འཇིག་རྟེན་གྱི་ཆོས་དང་མ་འབྲེལ་བ་དེ་ནི་འཇིག་རྟེན་ལས་འདའ་བར་འགྱུར་རོ། ། ||| “Listen, friends! One cannot transcend the world when mixed up with worldly concerns, whereas one who is not mixed up with worldly concerns will transcend the world.
དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་གང་རྙེད་པ་དང་། མ་རྙེད་པ་དང་། གྲགས་པ་དང་། མ་གྲགས་པ་དང་། བསྟོད་པ་དང་། སྨད་པ་དང་། བདེ་བ་དང་སྡུག་བསྔལ་བས་མི་འཕྲོགས་ཤིང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཁེངས་པ། མ་དུད་པ་དེས་ནི་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་སླའོ། ||| Therefore, a bodhisattva who cannot be influenced by gain, loss, fame, insignificance, praise, blame, happiness, and suffering—a bodhisattva great being who is neither arrogant nor obsequious—can easily comprehend great wisdom.”
།བྱང་ཆུབ་སེམས་དཔའ་སྐྱེ་བོ་འཛིན་གྱིས་སྨྲས་པ། ||| The bodhisattva Beings’ Supporter said,
ཀྱེ་གྲོགས་པོ་དག་གཞན་ལ་ཀླན་ཀ་ཚོལ་བས་ནི་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་མི་ནུས་ཀྱི། ||| “Listen, friends! One who seeks disputes with others will not be able to comprehend the great wisdom of omniscience.
གཅིག་པུ་གཉིས་སུ་མེད་ལ་བདག་གིས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཕྱིར་གོ་ཆ་ཆེན་པོ་བགོས་པས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གང་ཅི་ཡང་རུང་། ཡོངས་སུ་ཐོབ་པར་བྱ་བ་དེ་ཐམས་ཅད་བདག་གིས་ཡོངས་སུ་ཐོབ་པར་བྱའོ་ཞེས། དགེ་བའི་རྩ་བ་བསྐྱེད་པ་དང་། ||| However, bodhisattvas may create roots of virtue by saying, ‘I, for the sake of all beings, will singlehandedly and without any assistance don great armor, and thus whatever is to be achieved for all beings, that I will achieve!’
སེམས་ཅན་ཐམས་ཅད་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་དེ་སེམས་ཅན་ཐམས་ཅད་དང་ཐུན་མོང་དུ་སེམས་བསྐྱེད་དེ། ཡུད་ཙམ་དུ་ཡང་བརྩོན་འགྲུས་མི་གཏོང་ཞིང་དེ་ལྟར་བརྩོན་འགྲུས་ལ་གནས་པའི་བྱང་ཆུབ་སེམས་དཔས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| Then, in order to ripen all beings, they develop the mind of awakening that embraces all beings, and they do not relinquish their diligence for even a moment. Bodhisattvas who remain diligent in this way will be able to comprehend great wisdom.”
།བྱང་ཆུབ་སེམས་དཔའ་ས་འཛིན་གྱིས་སྨྲས་པ། ཀྱེ་གྲོགས་པོ་དག་འདི་ལྟ་སྟེ། ||| The bodhisattva Earth Supporter said, “Listen, friends!
དཔེར་ན་ས་ནི་རྩྭ་དང་། ཤིང་གེལ་པ་དང་། སྨན་དང་། ནགས་ཚལ་ཐམས་ཅད་ཀྱི་གནས་ཡིན་ཏེ། དེ་ལ་གནས་ཤིང་རྩྭ་དང་། ཤིང་གེལ་པ་དང་། སྨན་དང་། ནགས་ཚལ་གྱི་ས་བོན་ཐམས་ཅད་སྐྱེ་བར་འགྱུར་མོད་ཀྱི་ས་ཆེན་པོ་དེ་ནི་ལན་རེ་བ་ཡང་མེད་དོ། ||| To draw an analogy, the earth is the location of all grasses, bushes, herbs, and forests. This is where they exist and where the seeds of all grasses, bushes, herbs, and forests sprout up. Still, the earth bears no expectation of reward.
།སེམས་ཅན་ཐམས་ཅད་ཀྱང་ས་ཆེན་པོ་ལས་འཚོ་མོད་ཀྱི། ས་ཆེན་པོ་ནི་སྐྱོ་བར་ཡང་མི་བྱེད་དོ། ||| Also, while the earth nourishes all beings, this does not tire the earth.
།རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཆགས་པ་དང་། ཞེ་སྡང་བའི་སེམས་དང་བྲལ་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཉེ་བར་འཚོ་བ་དང་ལན་རེ་བ་མེད་པའི་ཕྱིར་ས་དང་འདྲ་བར་སེམས་བསྐྱེད་ན་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| Noble sons, likewise, because bodhisattvas are free from attitudes of attachment and aggression, and because they nourish all beings without expecting any reward, they are like the earth. If they develop the mind of awakening, they will be able to comprehend great wisdom.”
།བྱང་ཆུབ་སེམས་དཔའ་ལག་ན་རིན་ཆེན་གྱིས་སྨྲས་པ། ཀྱེ་གྲོགས་པོ་དག་ཤེས་པར་གྱིས་ཤིག་འདི་ནི་གོ་ཆ་ཆེན་པོ་ཡིན་ཏེ། ||| The bodhisattva Bearer of the Jewel said, “Listen, friends! You must understand this point about the great armor.
དམན་པ་ལ་མོས་པས་ནི་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་མི་ནུས་ཀྱི། ||| One who is inclined toward what is base cannot realize great wisdom.
གང་གཉིད་ལོག་པའི་རྨི་ལམ་ན་ཡང་ཐེག་པ་གཉིས་ལ་སེམས་མི་འཇུག་ཅིང་རིན་པོ་ཆེའི་སེམས་ཐམས་ཅད་མཁྱེན་པའི་སེམས་དེ་ཕ་རོལ་དག་ཀྱང་འདོད་པར་བྱེད་དུ་འཇུག་ལ་རིན་པོ་ཆེའི་སེམས་དེ་ལ་སེར་སྣ་མི་བྱེད་ཀྱི། ||| However, there are some who do not let their minds enter the two other vehicles, even in their dreams, while they are sleeping. Instead, they work to make others desire the precious mind—the mind of omniscience. They do this without any attitude of stinginess with regard to that precious mind.
སེམས་ཅན་ཐམས་ཅད་ཀྱང་ཐེག་པ་ཆེན་པོའི་གོ་ཆ་དེ་སྐོན་པར་བྱེད་ཅིང་སེམས་མཉམ་པ་མེད་པ་དེ་འང་གང་བའམ་བྲི་བར་ཡང་མི་མཐོང་ཞིང་། ||| Thus they cause all beings to don the armor of the Great Vehicle. They do not see that the unequaled mind increases or decreases.
དེ་ལྟར་སེར་སྣ་མེད་པའི་སེམས་ཀྱིས་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| In this way, with a mind free from stinginess they will be able to comprehend great wisdom.”
།བྱང་ཆུབ་སེམས་དཔའ་ལག་ན་རིན་ཆེན་ཕྱག་རྒྱས་སྨྲས་པ། ||| The bodhisattva Bearer of the Jeweled Seal said,
ཀྱེ་མའོ་སེམས་ཅན་འདི་དག་ནི་འགྲོ་བ་དྲུག་ཏུ་ལྷུང་གིས། དེ་དང་དེ་དག་ཏུ་སྙིང་རྗེ་ཆེན་པོ་བསྐྱེད་དེ། ||| “Ah! Since beings fall into the six types of existence, one must generate great compassion for them.
སེམས་ཅན་ཐམས་ཅད་ལ་ཆོས་ཀྱི་ཕྱག་རྒྱ་རིན་པོ་ཆེའི་ཕྱག་རྒྱ་གསུམ་གྱིས་བཏབ་པ་སྦྱིན་པར་བྱ་སྟེ། ||| I shall therefore give all beings the application of the seal of Dharma—the three jeweled seals.
སེམས་ཅན་ཐོས་པ་ཉུང་བ་རྣམས་ལ་ནི་ཐོས་པའི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་སེར་སྣ་ཅན་རྣམས་ལ་ནི་གཏོང་བའི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་ངང་ཚུལ་ངན་པ་ཅན་རྣམས་ལ་ནི་ཚུལ་ཁྲིམས་ཀྱི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་གནོད་སེམས་ཅན་རྣམས་ལ་ནི་བཟོད་པའི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་ལེ་ལོ་ཅན་རྣམས་ལ་ནི་བརྩོན་འགྲུས་ཀྱི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་དྲན་པ་ཉམས་པ་རྣམས་ལ་ནི་བསམ་གཏན་ཐོབ་པའི་ལག་པ་སྦྱིན་པར་བྱའོ། །སེམས་ཅན་ཤེས་རབ་འཆལ་པ་རྣམས་ལ་ནི་ཤེས་རབ་ཀྱི་ལག་པ་སྦྱིན་པར་བྱ་སྟེ། ||| I will assist beings with little study in gaining education; I will assist stingy beings in giving; I will assist poorly behaved beings in discipline; I will assist beings with ill will in patience; I will assist lazy beings to become diligent; I will assist beings who lack mindfulness in the achievement of concentration; I will assist beings with faulty understanding in gaining knowledge.
སེམས་ཅན་དག་ཆོས་དཀར་པོ་གང་དང་གང་དག་ལས་བྲལ་བར་གྱུར་པའི་ཆོས་དེ་དང་དེ་དག་ཉིད་ཡོངས་སུ་རྫོགས་པར་བྱ་བའི་ཕྱིར་ལག་པ་སྦྱིན་པར་བྱ་སྟེ། ||| I will assist beings in the perfection of any virtuous qualities they may be lacking.
བྱང་ཆུབ་སེམས་དཔའ་དེའི་དགེ་བའི་རྩ་བའི་ལག་པ་ཡང་རིན་པོ་ཆེའི་ཕྱག་རྒྱ་གསུམ་གྱིས་གདབ་པར་བྱའོ། ||| The performance of a bodhisattva’s roots of virtue shall be applied with the three jeweled seals.
།གསུམ་གང་དག་ཡིན་ཞེ་ན། ||| What are the three?
འདི་ལྟ་སྟེ། སེམས་ཅན་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ཡོངས་སུ་རྫོགས་པར་བསྔོ་བ་རིན་པོ་ཆེའི་ཕྱག་རྒྱས་གདབ་པར་བྱ་བ་དང་། བདག་གི་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འགྲུབ་པ་རིན་པོ་ཆེའི་ཕྱག་རྒྱས་གདབ་པར་བྱ་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ནམ་མཁའི་རང་བཞིན་གྱི་ཕྱག་རྒྱས་གདབ་པར་བྱ་བ་སྟེ། ||| They are to apply the jeweled seal of dedication toward all beings perfecting the wisdom of buddhahood, to apply the jeweled seal of the accomplishment of one’s own roots of virtue, and to apply the seal of all beings’ nature, which is space.
རིགས་ཀྱི་བུ་དེ་འདྲ་བའི་གནས་ལ་གནས་པས་ནི་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ||| Noble sons, by following these points, one will be able to comprehend the great wisdom of omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་སེང་གེའི་བློ་གྲོས་ཀྱིས་སྨྲས་པ། ||| The bodhisattva Siṃhamati said,
ཀྱེ་མའོ་གྲོགས་པོ་དག་འདི་ནི་མི་འཇིགས་པའི་གོ་ཆའོ། ། ||| “Ah! Friends, this is the fearless armor.
འདི་ནི་མི་སྐྲག་པའི་གོ་ཆའོ། ||| This is the unfrightened armor.
།འདི་ནི་མ་ཞུམ་པའི་གོ་ཆའོ། ||| This is the undaunted armor.
།འདི་ནི་ལེ་ལོ་མེད་པའི་གོ་ཆའོ། ། ||| This the armor that knows no laziness.
ཀྱེ་གྲོགས་པོ་དག་དེ་བས་ན་མི་འཇིགས་པ་དང་། སེམས་མི་སྐྲག་པ་དང་། མ་ཞུམ་པ་དང་། ལེ་ལོ་མེད་པ་དང་། འཇིགས་ཤིང་སྐྲག་པ་སྐྱི་བུང་ཞེས་བྱེད་པ་དང་བྲལ་བ་དང་། འཁོར་བའི་ཉེས་པ་མི་སྐྱེད་པ་དང་། མྱ་ངན་ལས་འདའ་བའི་ཡོན་ཏན་ཡང་དག་པར་མཐོང་བ་དང་། བདེ་བ་དང་སྡུག་བསྔལ་བའི་ཆོས་ལ་སྙོམས་པར་གནས་པ་དང་། མི་གཉིས་པ་ལ་གནས་པ་དང་ལྡན་པས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་པར་སླའོ། ||| Listen, friends! It is therefore easy to comprehend the wisdom of omniscience when one is fearless, unfrightened, undaunted, and not lazy; when one is free from what makes one frightened or anxious; when one does not generate the flaws of saṃsāra; when one sees the beneficial qualities of nirvāṇa; when one equalizes the phenomena of happiness and suffering; and when one abides in nonduality.”
།བྱང་ཆུབ་སེམས་དཔའ་སེང་གེའི་འགྲོས་བསྒྲགས་དབྱངས་ཀྱིས་སྨྲས་པ། ||| The bodhisattva Leonine Proclaimer said,
ཀྱེ་གྲོགས་པོ་དག་འགྲོས་དེ་ནི་སྐྱེས་བུ་ངན་པའི་མ་ཡིན་གྱི། ||| “Listen, friends! This is not the way of evil beings.
