༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
དེ་ནི་མི་མཆོག་གསན་དུ་གསོལ། ། ||| Best of men, please listen.
འཇིག་རྟེན་ཁམས་འདིར་ལྗོན་པའི་ཤིང་། །རྟག་ཏུ་མེ་ཏོག་འབྲས་བུ་དག །རྣམ་པ་ཀུན་གྱི་མཆོག་ལྡན་པ། །ཡིད་ནི་དགའ་བར་བགྱིད་པ་འཁྲུངས། །འཇིག་རྟེན་ཁམས་སུ་ལྗོན་མཆོག་དེ། །གྲིབ་མ་བསིལ་བས་སེམས་ཅན་རྣམས། །རབ་ཏུ་དགའ་བགྱིད་བྲོ་ནད་དང་། །མྱ་ངན་དག་ཀྱང་སེལ་བར་བགྱིད། ། ||| “In this world grew a tree Constantly bearing flowers and fruit, A tree to gladden the heart, Replete with all excellent qualities, “An excellent tree Casting its cooling shade on the world, Delighting beings, Dispelling their illnesses and sorrows.
ཡོན་ཏན་མཐའ་ཡས་ཕུན་ཚོགས་ཤིང་། །སྲིད་རྩེའི་བར་དུ་མཐོ་བར་འཕགས། །དེ་མཐོང་བས་ནི་མིག་དག་ཅིང་། །ཐོས་པས་རྣ་བ་རྣམ་དག་འགྱུར། ། ||| “Wondrous, infinite in qualities, Reaching as high as the summit of existence— To behold it purifies the eye; To hear of it purifies the ear.
དེ་ལས་རབ་འཇམ་དོན་ལྡན་ཞིང་། །ཤིན་ཏུ་རིགས་ཤིང་ཆོས་ལྡན་ལ། །སེམས་ཅན་ཀུན་ལ་བདེ་སྐྱིད་པའི། །སྒྲ་སྐད་དག་ཀྱང་ངེས་པར་འབྱུང་། ། ||| “From it came a voice, pure and sure, Delighting all beings, Soft and meaningful, Noble and virtuous.
དེ་ལས་གང་གཱའི་བྱེ་སྙེད་ཀྱི། །འོད་ཟེར་དག་ནི་འབྱུང་འགྱུར་ཞིང་། ། ||| “From it shone rays of light As numerous as the sands of the river Gaṅgā.
དེ་དག་སྙེད་ཀྱི་ཞིང་རྣམས་ཀྱང་། །ལྗོན་ཤིང་ཆེན་པོས་བསལ་བར་བགྱིད། ། ||| So that as many realms Were illuminated by this great tree.
ཕྱོགས་བཅུའི་འཇིག་རྟེན་ཁམས་ཀྱི་མི། །མཐའ་ཡས་དཔག་ཏུ་མ་མཆིས་པ། །གང་དག་འོད་ཀྱིས་རེག་གྱུར་པ། །སེམས་ཅན་རྣམས་ཀྱི་དོན་ཀྱང་བགྱིད། ། ||| “Those humans in the worlds of the ten directions, Endless, boundless in number, Who were touched by this light Benefited beings.
ཕྱོགས་བཅུའི་འཇིག་རྟེན་ཁམས་སུ་ནི། །དེ་ལས་དྲི་ངད་འབྱུང་བར་འགྱུར། །གང་དག་དེ་ཡི་དྲི་སྣོམ་པ། །དེ་དག་ངན་འགྲོར་མཆི་མི་འགྱུར། ། ||| “Scent from this tree Spread throughout the worlds of the ten directions, And those who sensed it Were not reborn in lower realms.
དེ་དག་དམྱལ་བར་མི་མཆི་ཞིང་། །དུད་འགྲོའི་སྐྱེ་གནས་སྡིག་ཅན་དང་། །ཡི་དགས་ལྷ་མིན་རིས་མི་མཆི། ། ||| “They were not reborn in the hells, Nor as brutish animals, Nor among pretas and asuras.
དེ་དག་བཟང་འགྲོར་མཆི་བར་འགྱུར། ། ||| They had only favorable rebirths.
སེམས་ཅན་ཀུན་ལ་བདེ་སྐྱེད་པ། །དེ་འདྲའི་ལྗོན་ཤིང་ཆེན་པོ་དེ། །གྱད་ཀྱི་དོག་སར་ཆག་ནས་ནི། །སཱ་ལའི་ཚལ་གྱི་གསེབ་ཏུ་སྒྱེལ། ། ||| “Then this great tree That brought delight to all beings Broke in pieces in the Malla country And fell amidst a grove of śāla trees.
ལྗོན་མཆོག་ཆག་པ་མཐོང་གྱུར་ནས། །དེ་ནས་སྲོག་ཆགས་སྟོང་ཕྲག་ནི། །བསམ་ཡས་དཔག་ཏུ་མ་མཆིས་པ། །ཆོ་ངེས་འདེབས་ཤིང་སྨྲེ་སྔགས་འདོན། ། ||| “When they saw the great tree break, Thousands of creatures, Unimaginable, limitless in number, Wept and lamented.
དེ་ཚེ་སྒྲ་དེ་མི་གྲག་ཅིང་། །དྲི་ཡང་བདའ་བར་མ་གྱུར་པ། །གདེག་པའི་རྔོ་ཡང་མ་ཐོགས་ནས། ། ||| “No longer would its sound be heard; Its scent had stopped spreading.
དེ་མ་ཐག་ཏུ་བདག་ཀྱང་བརྒྱ་ལ། ། ||| Without any warning of illness, I, too, immediately collapsed.
དེ་ལྟར་འཇིགས་སུ་རུང་བ་དང་། །སྤུ་ཡང་ཟིང་ཞེས་བགྱིད་པ་ཡི། །གཡར་ལམ་མདང་སུམ་རྨིས་པ་དེ། །སྤྱན་དང་ལྡན་པ་བདག་ལ་གསུངས། ། ||| “Seer, please explain to me This dream I had last night, So terrifying That it made my hairs stand on end.”
དེ་ནས་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་རྣམས་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། བདུད་ཀྱི་བུ་དེད་དཔོན་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། ||| At that moment, the gods of the pure abodes; Brahmā, lord of the Sahā world; Māra’s son Sārthavāha; Śakra, lord of the gods; and the Four Great Kings all saw, in their respective realms, signs portending the parinirvāṇa of the Blessed One.
རྒྱལ་པོ་ཆེན་པོ་བཞི་པོ་དག་སོ་སོ་ན་གནས་པས་བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་སྔ་ལྟས་མཐོང་ནས་རང་རང་གི་འཁོར་ལྷའི་བུ་ཁྲག་ཁྲིག་ཕྲག་བརྒྱད་ཅུ་བརྒྱད་ཅུ་ལྷག་ཙམ་གྱིས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| Each escorted by retinues of more than eighty billion gods, they went to where the Blessed One was.
སྒྲ་སྐད་འཐུན་པར་ཉམ་ཐག་པའི་ང་རོས་ངུ་ཞིང་མྱ་ངན་བྱེད་ལ་སྨྲེ་སྔགས་འདོན་བཞིན་དུ་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། ། ||| When they arrived, they bowed their heads to the feet of the Blessed One, and in unison they cried out in despair—moaning, sobbing, and lamenting—and spoke these verses to Venerable Ānanda: “Ah!
ཀྱེ་མའོ་སྡུག་བསྔལ་མི་བཟད་ཆེ། ། ||| What intense, unbearable suffering!
སཱ་ལའི་ཚལ་ཁྲོད་དགའ་བར་ནི། །དེ་རིང་མགོན་པོ་མྱ་ངན་འདའ། ། ||| In this delightful grove of śāla trees, on this very day, Our protector will pass into nirvāṇa.
ཀུན་དགའ་ཁྱོད་ཀྱིས་མི་ཤེས་སམ། །གང་ཞིག་སྣང་མེད་རྣམས་ཀྱི་སྒྲོན། །སྐྱབས་དང་དཔུང་གཉེན་གང་ཡིན་པ། །དེ་ནི་ཞི་བ་ལེན་མེད་པར། །དེ་རིང་མྱ་ངན་འདའ་བར་འགྱུར། ། ||| Ānanda, do you not know— “The lamp for those who live in the dark, Our refuge and our last resort, Without grasping at peace, Will pass into nirvāṇa today.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་ཐམས་ཅད་དང་ལྡན་པའི་ལྷའི་འཁོར་དེ་དག་ལ་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། ཇི་ལྟར་མཐོང་བ་གཞན་མིན་ཏེ། །དེ་རིང་སཱ་ལའི་ཚལ་ཁྲོད་དུ། །ང་ནི་མྱ་ངན་འདའ་འགྱུར་གྱིས། ། ||| The Blessed One then spoke these verses to Venerable Ānanda and all the assembled gods: “It is just as you have seen: Today, in this grove of śāla trees, I shall pass into nirvāṇa.
མྱ་ངན་མ་བྱེད་བརྟན་པར་གྱིས། ། ||| Do not suffer. Be steady.
ཁ་དོག་ལྡན་ཞིང་བསམ་ཡས་ལ། །འོད་དང་དྲི་བསུང་ཕུན་ཚོགས་པའི། །ལྗོན་ཤིང་ལྗོན་པ་ཆེན་པོ་དེ། །སཱ་ལའི་ཚལ་ཁྲོད་ཆག་གྱུར་པ། ། ||| “That marvelous, mighty tree, Once lustrous beyond imagination, Radiant and fragrant, Has broken amidst this grove of śāla trees.
ལྗོན་ཤིང་ཅི་འདྲར་སྟོན་པ་ནི། །དེ་རིང་སཱ་ལའི་ཚལ་ཁྲོད་དུ། །ཇི་ལྟར་མེ་ལ་ཆུས་བཏབ་བཞིན། །ལེན་མེད་མྱ་ངན་འདའ་བར་འགྱུར། ། ||| “The teacher, like that tree, Will today, in this grove of śāla trees, Pass without grasping into nirvāṇa, Like fire extinguished by water.
ཤེས་རབ་རྫུ་འཕྲུལ་མཐར་ཕྱིན་པ། །ཉེ་རྒྱལ་པང་ནས་སྐྱེས་དག་བཞིན། །མི་མཆོག་ང་ཡང་འདའ་འགྱུར་བར། ། ||| “Upatiṣya and Kolita, Perfect in knowledge and in miraculous power— These great men will also pass beyond.
ཀུན་དགའ་ཁྱོད་ཀྱིས་མི་ཤེས་སམ། །འདུས་བྱས་ཐམས་ཅད་མི་རྟག་སྟེ། །སྐྱེ་ཞིང་འཇིག་པའི་ཆོས་ཅན་ཡིན། ། ||| Ānanda, do you not know— “All composite things are impermanent; By nature they form and disintegrate.
སྟོན་པས་དེ་དག་རབ་མཁྱེན་ནས། །དགེ་སློང་རྣམས་ལ་དེ་ཡང་བཤད། ། ||| The teacher has thoroughly understood this And explained it to his monks.
ཀུན་དགའ་ཚུར་ཤོག་ཁྱོད་སོང་ལ། །ང་ཡི་ཉན་ཐོས་རྣམས་ལ་སྨྲོས། །ལྷ་ཡི་མིག་གི་མཐར་ཕྱིན་པ། །གནས་བརྟན་ཆེན་པོ་མ་འགགས་དང་། །གནས་བརྟན་ཆེན་པོ་ཀ་ཏྱའི་བུ། །གནས་བརྟན་གང་པོ་རབ་འབྱོར་དང་། །གསུས་པོ་ཆེ་ནི་ཆེན་པོ་དང་། །བ་ལང་བདག་དང་དགའ་བྱེད་དང་། ། ||| “Ānanda, come closer!
གྲོ་ཞིན་དོན་ཡོད་རྒྱལ་པོ་དང་། །ཆོས་གོས་ངན་པ་འཆང་བ་དང་། །དགའ་བོ་དང་ནི་སྒྲ་གཅན་བཟང་། །ང་ཡི་ཉན་ཐོས་གཞན་རྣམས་དང་། །སློབ་དང་མི་སློབ་གནས་བརྟན་དང་། ། ||| Go and tell my disciples— The great elder Aniruddha, Who has perfected divine sight, “The great elder Kātyāyana, The great elders Pūrṇa and Subhūti, The great Kauṣṭhila, Gavāmpati, Nandika, “Śroṇa, and Amogharāja, Wearer of tattered robes, Nanda and Rāhula, And my other disciples, “The elders still in training, those beyond training, And all other ordinary people— That I shall pass into nirvāṇa.
གཞན་ཡང་སོ་སོའི་སྐྱེ་བོ་དག །ང་ནི་མྱ་ངན་འདའ་འགྱུར་གྱིས། །ཐམས་ཅད་ཤིན་ཏུ་མྱུར་བར་སྦྲོན། ། ||| Quickly, call everyone!
སློབ་དང་སོ་སོའི་སྐྱེ་བོ་ཡིས། །མ་མཐོང་སྡུག་བསྔལ་སྐྱེ་འགྱུར་བས། །མྱ་ངན་འདས་པའི་འོག་ཏུ་ནི། །མྱ་ངན་ཟུག་རྔུས་གཟིར་མི་བྱ། ། ||| “Those in training and ordinary people Who are upset by what has not been experienced before Should not be pierced with pain and suffering After I have passed into nirvāṇa.
མྱ་ངན་མ་བྱེད་འདུ་བྱེད་རྣམས། ། ||| “Do not grieve.
མི་རྟག་རྨི་ལམ་ལྟ་བུ་ཞེས། ། ||| Composite things Are impermanent and dream-like.
ཇི་ལྟར་ཆོས་ཀྱི་ཆོས་ཉིད་ཀྱིས། །དེ་དག་རྣམས་ནི་དབུགས་དབྱུང་བྱ། ། ||| This true nature of phenomena Should bring them relief.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་སླར་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། ||| Thus he spoke, and Venerable Ānanda again addressed the Blessed One in verse: “Protector!
མགོན་པོ་སངས་རྒྱས་མྱ་ངན་ལས། ། ||| Awakened One!
འདའ་བར་འགྱུར་བར་ཐོས་ནས་བདག །ཕྱོགས་སླད་བདག་ནི་ལུས་རྨ་ཞིང་། ། ||| When I heard you will pass into nirvāṇa, I fainted and hurt myself.
བདག་ནི་གཡར་ངན་ཤིན་ཏུ་ཆེ། །ལུས་ཉམས་བདེ་བ་མ་མཆིས་ཤིང་། །སེམས་ཉམས་བདེ་བའང་མ་མཆིས་ལ། །ཆགས་བྲལ་ཉམས་བདེའང་མ་མཆིས་ན། ། ||| I am utterly crestfallen— “Both my body and mind are distressed, My mind is not composed, I am unsettled by attachment.
སྤྱན་ལྡན་བདག་ནི་ཇི་ལྟར་མཆི། ། ||| Seer, what will become of me?
བདག་གི་སྐྱབས་དང་དཔུང་གཉེན་དང་། ། ||| “You are my refuge and last resort.
འཇིག་རྟེན་རྣམ་འདྲེན་གང་ལགས་པ། ། ||| You are the guide for this world.
དེང་མཐོང་སླད་ཀྱིས་མི་མཐོང་ཞེས། །གནས་བརྟན་རྣམས་ལ་ཇི་སྐད་བགྱི། ། ||| How can I tell the elders That today you are here but soon will be gone?
མྱ་ངན་གྱུར་ཅིང་སྡུག་བསྔལ་བས། །ཇི་ལྟར་མྱ་ངན་བརྗོད་པར་བགྱི། ། ||| “How can such sorrow be told By one bearing such sorrow and pain?
བདག་ཅག་རྣམས་ཀྱི་འཇིགས་ཆེན་འདི། །གནས་བརྟན་དེ་དག་ཇི་ལྟར་ཉན། ། ||| How can the elders listen to this, Our great fear?
གང་དག་སློབ་དང་སྐྱེ་བོ་ཡི། །དགེ་སློང་མྱ་ངན་ཟུག་རྔུ་ཡིས། །ཀུན་ནས་ཟུག་པ་ཇི་ལྟར་གནས། ། ||| “When those in training and ordinary monks Are pierced by grief, completely run through, How can they survive?
མི་མཆོག་བསྐལ་པར་བཞུགས་སུ་གསོལ། ། ||| Best of men, please stay for an eon!
འཁོར་བཞིའི་ནང་དུ་མཆིས་ནས་ནི། །སྟོན་པ་མྱ་ངན་འདའ་འགྱུར་ཞེས། །ཇི་ལྟར་བརྗོད་བགྱི་མི་ཡི་མཆོག ། ||| “How can I go, best of men, Among the four communities And announce that the teacher will pass away?
ཐུབ་ཆེན་བསྐལ་པར་བཞུགས་སུ་གསོལ། ། ||| Great sage, please remain for an eon!
སྒྲོན་མ་ཆེན་པོའི་འཇིག་རྟེན་དུ། །ཤིན་ཏུ་མྱུར་བར་ནུབ་འགྱུར་ཏེ། །འཇིག་རྟེན་འདི་དག་རབ་མྱུར་བར། །ལྡོངས་པ་ཉིད་དུ་འགྱུར་ལགས་སོ། ། ||| “The great lamp of this world Is quickly fading, And all the worlds will soon Fall into darkness.
མི་མཆོག་བདག་ནི་གཡར་ངན་འདི། །དགེ་སློང་རྣམས་ལ་སྨྲར་མི་སྤྲོ། ། ||| “Best of men, please, do not send me, So crestfallen, to speak to the monks!
གང་ལ་གཡར་ངན་མ་མཆིས་པ། །གཞན་ཞིག་མངག་པར་བཀའ་སྩལ་གསོལ། ། ||| I beg you, entrust this to someone else Who is not so crestfallen!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གོའུ་ཏ་མའི་བུ་འདུ་བྱེད་ཐམས་ཅད་མི་རྟག་པ་ཡིན་གྱིས་མྱ་ངན་མ་བྱེད་པར་ཐོང་ཅིག ། ||| The Blessed One replied, “Son of Gautama, all composite things are impermanent, so do not be upset, let them go!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཕྱིར་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། །བྱེ་བ་མཐའ་ཡས་ལྷ་རྣམས་ཀྱིས། །དེ་རིང་སངས་རྒྱས་འདའ་ཐོས་ནས། །གཞལ་མེད་ཁང་དག་སྤངས་ནས་ནི། །མྱ་ངན་བྱེད་ཅིང་སྨྲེ་སྔགས་འདོན། ། ||| The Blessed One then spoke these verses for the sake of Venerable Ānanda: “Hearing that the Buddha will pass away today, Millions upon millions of gods Have left their palaces, Grieving and lamenting.
ང་འདས་ཕྱི་ན་དགེ་སློང་དག །མ་མཐོང་མྱ་ངན་བྱེད་མ་གཞུག །འདི་ནི་རིམ་གྲོ་བྱེད་པའི་ལས། ། ||| “After I have passed, Do not let monks be upset at not having seen me— This is the service I request.
སོང་ལ་དགེ་སློང་རྣམས་ཀྱང་སྦྲོན། ། ||| Go, and summon all the monks!”
དེའི་ཚེ་ཚེ་དང་ལྡན་པ་མ་འགགས་པ་རི་རབ་ཀྱི་སྤོ་ལ་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ལ་ཆོས་སྟོན་ཅིང་འདུག་གོ། ། ||| At that time, Venerable Aniruddha was at the summit of Sumeru teaching the Dharma to the gods of the Heaven of the Thirty-Three.
ཚེ་དང་ལྡན་པ་མ་འགགས་པས་ལྷའི་མིག་རྣམ་པར་དག་པ་མི་ལས་ཤིན་ཏུ་འདས་པས་ལྷའི་བུ་དབང་ཆེ་བ་དབང་ཆེ་བར་གྲགས་པ་རྣམས་རང་རང་གི་གཞལ་མེད་ཁང་དག་ནས་མི་སྣང་བར་གྱུར་པ་མཐོང་ཞིང་ལྷ་རྣམས་ཀྱི་སྨྲེ་སྔགས་འདོན་པའི་སྒྲ་ཆེན་པོ་དག་ཀྱང་ཐོས་རང་གི་འཁོར་རྣམས་ཀྱང་སྲབས་པར་མཐོང་ངོ་། ། ||| Venerable Aniruddha, who possessed pure divine sight that far surpassed that of a human, could see that the gods, renowned as the mightiest of the mighty, were disappearing from their palaces. He could hear, too, the gods’ powerful cries of lament, and he watched as his own audience thinned.
དེ་ནས་ཚེ་དང་ལྡན་པ་མ་འགགས་པས་དེའི་ཚེ་བསམས་ཏེ་ལྷའི་མིག་གིས་ལྷའི་བུ་འཁོར་དང་བཅས་པ་དེ་དག་ཡི་ཆད་ཅིང་རང་རང་གི་འདོད་པའི་དགའ་བ་དག་སྤངས་ཏེ་རིངས་པ་རིངས་པར་གང་དུ་དོང་ཞིང་འདོང་བར་བྱེད་ཅེས་འཇིག་རྟེན་ལ་རྣམ་པར་བལྟས་སོ། ། ||| Venerable Aniruddha focused his mind, and with his divine sight he looked closely at the world. The gods and their entourages were in a state of anxiety, giving up on their sense pleasures and departing somewhere in great haste.
དེ་ནས་ཚེ་དང་ལྡན་པ་མ་འགགས་པས་རིའི་རྒྱལ་པོ་རི་རབ་ཀྱི་རྩེ་མོ་ལས་དཔག་ཚད་བརྒྱ་ཙམ་དག་ཆད་པ་དང་། རིའི་རྒྱལ་པོ་རི་རབ་ཀྱི་རྩེ་མོ་ལས་དཔག་ཚད་ཉིས་བརྒྱ་ཙམ་དང་། རྩེ་མོ་ལས་དཔག་ཚད་སུམ་བརྒྱ་ཙམ་དང་། རྩེ་མོ་ལས་དཔག་ཚད་བཞི་བརྒྱ་ཙམ་དག་ཆད་པ་དང་། རྩེ་མོ་ལས་དཔག་ཚད་ལྔ་བརྒྱ་ཙམ་དག་ཆད་ཅིང་ཆད་ཅིང་རྒྱ་མཚོ་ཆེན་པོའི་ནང་དུ་ལྷུང་བ་དག་ཀྱང་མཐོང་སྟེ་སེམས་ཅན་འགའ་ཙམ་ལ་ཡང་གནོད་པའམ། རྣམ་པར་འཚེ་བར་མི་བྱེད་ན་སྲོག་གི་བར་ཆད་བྱེད་པར་འགྱུར་བ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| Venerable Aniruddha saw those who had reached farther and farther away from the summit of the king of mountains—some who were one hundred leagues distant, some two hundred leagues, some three hundred leagues, some four hundred leagues, and some five hundred leagues away—and some who had fallen into the ocean, though such beings could not be harmed nor injured, let alone killed.
འདི་ལྟར་རི་རབ་ཀྱི་རྩེ་མོ་དེ་དག་ཀྱང་གང་དག་རིའི་རྒྱལ་པོ་རི་རབ་ལ་རྟེན་ཅིང་གནས་པའི་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ཐོས་ནས་མྱ་ངན་གྱི་ཟུག་རྔུས་གཟིར་ཅིང་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ། ||| Like those at the summit of Sumeru, all those beings living on Sumeru, the king of mountains—gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahoragas—were struck with grief when they heard of the Blessed One’s parinirvāṇa.
