འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
དེ་ནས་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དགའ་བ་དང་། རབ་དགའ་དང་། རྟོགས་དགའ་དང་། བཟང་དགའ་དང་། དཔལ་བཟངས་དང་། ཡོངས་སུ་དགའ་ལྡན་དང་། དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་ཞེས་བྱ་བ་རྣམས་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་རབ་ཏུ་མང་པོ་དག་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་པ་དང་། ||| Next, from the Pure Abodes came the gods Joyful, Extremely Joyful, Joy in Realization, Excellent Joy, Śrībhadra, Completely Joyful, Īśvara, and Maheśvara, who, accompanying a multitude of other gods from the Pure Abodes, arrived where the Blessed One was staying.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་བྱས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| They then bowed their heads to the Blessed One’s feet and sat down to one side.
ཕྱོགས་གཅིག་ཏུ་འཁོད་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དེ་དག་གིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Once seated off to the side, the gods of the Pure Abodes addressed the Blessed One:
བཙུན་པ་བཅོམ་ལྡན་འདས་སྔོན་གྱི་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱིས་གསུངས་པ་བྱང་ཆུབ་སེམས་དཔའི་མཚན་མ་བསྟན་པ་ཞེས་བགྱི་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི་སྔོན་ཡང་བཤད་ལ་སླད་ཀྱིས་ཀྱང་འཆད་པར་འགྱུར་བས། ||| “Honorable Blessed One, the religious discourse called Teaching the Signs of a Bodhisattva was taught long ago by completely perfect buddhas and will be taught again in the future.
བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་སྐྱེ་བོ་མང་པོ་ལ་སྨན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་དང་། ལྷ་དང་མི་རྣམས་ཀྱི་དོན་དང་། སྨན་པ་དང་། བདེ་བའི་སླད་དུ་དེ་ཡང་དག་པར་བཤད་དུ་གསོལ། ||| Therefore, we ask the Blessed One to teach it for the benefit of many beings, for the happiness of many beings, out of compassion for the world, and for the welfare, benefit, and happiness of gods and humans.
བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ན་ཡང་མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ན། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་འདུན་པ་རྒྱ་ཆེན་པོ་སྐྱེད་པར་འགྱུར་ཞིང་། ||| Even after the Blessed One passes into parinirvāṇa, future bodhisattvas will hear this religious discourse and develop a powerful resolve to attain unsurpassable, completely perfect awakening.
བདག་ཉིད་ཀྱི་དགེ་བ་དག་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་མཐོང་བ་ན་གཞན་དག་ལ་རློམ་སེམས་བགྱིད་པར་མི་འགྱུར་ཞིང་བདེ་བས་ཀྱང་བག་མ་མཆིས་པར་མི་འགྱུར་ལ། ||| When they see their own virtues exactly as they are, they will not feel conceited in relation to others, nor will they act heedlessly out of pleasure.
སྡུག་བསྔལ་བར་གྱུར་པས་ཀྱང་སྒྱིད་ལུག་པར་མི་འགྱུར་ལགས་སོ། ། ||| Even if they experience suffering, they will not be despondent.”
བཅོམ་ལྡན་འདས་ཀྱིས་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དེ་དག་ལ་ཅང་མི་གསུང་བས་གནང་བར་མཛད་དོ། ། ||| The Blessed One assented by not saying anything to the gods of the Pure Abodes.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་རྡོ་རྗེས་རབ་འཇོམས་ཀྱིས་ལྷའི་བུ་དེ་དག་གིས་གསོལ་བ་བཏབ་པར་རིག་ཅིང་། འཁོར་མཐའ་ཡས་པ་དག་ལྷགས་པར་ཡང་རིག་ནས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །ཡོན་ཏན་བརྒྱས་བལྟམས་པ་ལ་འདི་ཞུ་ལགས། ། ||| Then the bodhisattva Vajrapramardin, who knew of the request made by those gods, and knew that a large assembly had arrived, spoke these verses: “I make this request of you, who are replete with a hundred good qualities.
ལྷ་མི་དགའ་མཛད་པ་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, who delights both gods and humans.
བདུད་འཇོམས་མཛད་པ་པོ་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, the defeater of Māra.
སྐྱེ་མང་སྨན་པའི་མཆོག་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, supreme doctor to many beings.
འཁྲུལ་མེད་གསུང་གིས་ཆོས་རྣམས་སྟོན་མཛད་ཅིང་། ། ||| “You teach the Dharma with unerring speech.
འགྲོ་བའི་འཇིག་རྟེན་མཁས་པ་བླ་ན་མེད། །ཡིད་གཉིས་བརྒྱ་སྟོང་རབ་ཏུ་གཅོད་མཛད་ཅིང་། ། ||| With learning unsurpassed in the world of beings, You cut through a hundred thousand doubts.
སྐྱེ་མང་མིག་སྩོལ་བ་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, who grants sight to beings.
ཉི་ལྟར་མཉམ་མེད་མུན་པ་སེལ་མཛད་ཅིང་། །ཟླ་ལྟར་ཡོངས་དག་བསིལ་བའི་འོད་ལྡན་པ། ། ||| “Incomparable like the sun, you remove darkness; Pure like the moon, you shine cooling light.
མི་སྡུག་སྡུག་ལ་མི་གཡོ་ལྷུན་འདྲ་ཞིང་། ། ||| You are unmoved by pleasure and pain, like Mount Meru.
མཚོ་འདྲ་ཡོན་ཏན་མཆོག་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, who has oceanic sublime qualities.
དོགས་བཞིན་དུ་ནོངས་པ་བགྱིས་བཟོད་ཅིང་། ། ||| “Like the earth, you bear our wrongdoing.
ཆབ་ལྟར་སྐྱེ་དགུའི་དྲི་མ་སྦྱོང་བར་མཛད། ། ||| Like water, you cleanse people’s impurities.
ཞུགས་བཞིན་ཉོན་མོངས་དྲ་བ་སྲེག་མཛད་ཅིང་། ། ||| Like fire, you burn away webs of afflictions.
སྲིད་གསུམ་འཁོར་མི་མངའ་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, who does not cycle through the three worlds.
སྨན་པ་བཞིན་དུ་འགྲོ་བ་གསོ་མཛད་ཅིང་། ། ||| “Like a doctor, you heal beings.
རྣམ་ཐོས་བུ་ལྟར་སྡུག་ལ་ནོར་སྦྱིན་མཛད། ། ||| Like Vaiśravaṇa, you give wealth to those you favor.
སྤྲིན་བཞིན་སྐོམ་པས་གདུངས་པ་ཞི་མཛད་ཅིང་། ། ||| Like a cloud, you appease those tormented by thirst.
དེས་པ་གསུང་མཆོག་སྟོན་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, valorous teacher with sublime speech.
འགྲོ་བ་ཟུག་རྔུ་སྡུག་བསྔལ་ང་རྒྱལ་བཅས། །ཐ་བ་ཉོན་མོངས་དྲི་བཅས་གཡོན་ཅན་དག །འདུལ་མཁས་བདེ་དང་བདེ་བ་སྩོལ་མཛད་ཅིང་། ། ||| “Skilled in discipline, you grant happiness upon happiness To prideful beings beset with painful suffering, And to villains rife with the stains of harsh afflictions.
འགྲོ་བས་དྲན་བགྱི་བ་ལ་མཆོག་འདི་ཞུ། ། ||| I request this boon of you, whom beings call to mind.
འཛེམ་དང་སྣང་ལྡན་བློ་གྲོས་བརྟན་ལྡན་ཞིང་། །རྟོགས་དང་དྲན་ལྡན་བླ་མ་རྣམས་ཀྱིས་མཆོད། ། ||| “You are worshiped by masters modest and radiant, Those of steadfast intellect who are realized and reflective.
མཉམ་མེད་ཚུལ་མི་འཆོས་ཤིང་ཐུགས་མི་གནས། །ཡོན་ཏན་རྒྱ་མཚོ་འདྲ་ལ་མཆོག་འདི་ཞུ། ། ||| Unequaled, guileless, and unbiased, I request this boon of you, whose qualities are oceanic.
སྐྱེ་དགུའི་འཐབ་རྩོད་ཉོན་མོངས་ཞི་མཛད་ཅིང་། ། ||| “You pacify the afflictions that cause strife among people.
རྟག་ཏུ་དེས་ཤིང་ཞལ་བཟང་དགའ་བར་མཛད། ། ||| Ever valorous, your beautiful face is a source of joy.
ཤིན་ཏུ་ཞལ་འཛུམ་མཉེན་ཞིང་བྱམས་པའི་ཐུགས། ། ||| You have a gentle smile and a loving heart.
སྲིད་གསུམ་ཕ་རོལ་གཤེགས་ལ་འདི་ཞུ་ལགས། ། ||| I make this request of you, who has gone beyond the three worlds.
སོར་བཅུ་ཐལ་སྦྱར་འདི་ཡིས་བསྟོད་བགྱིས་ཤིང་། ། ||| “With our ten fingers pressed together we make this praise to you.
བདེ་གཤེགས་སྟོབས་བཅུ་ཁྱོད་ལ་གསོལ་འདེབས་ཀྱིས། ། ||| I appeal to you, Sugata possessing the ten powers.
སེམས་ཅན་རིན་ཆེན་དེ་དག་རྣམས་ཀྱི་སྤྱོད། །ཞུས་པ་བཞིན་དུ་བཀའ་སྩོལ་བཤད་དུ་གསོལ། ། ||| In accordance with this request, please instruct us In the conduct of those jewels among beings.
བྱང་ཆུབ་ཚུལ་གྱི་སྤྱོད་དེ་ཅི་འདྲ་བ། །ཐོས་ན་ལྷ་མི་ཚོགས་ཀྱང་སྤྱོད་འགྱུར་བས། ། ||| “If they hear what the conduct of awakening is like, The hosts of gods and humans would adopt it as well.
འདི་ནི་སྐྱེ་མཆོག་ལགས་ཞེས་བདག་ཅག་གིས། །ཇི་ལྟར་འཚལ་འགྱུར་མཚན་མ་བདག་ལ་གསུངས། ། ||| Please tell me of their signs as I’ve asked, So that I may know ‘This is a supreme person.’ ”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྡོ་རྗེས་རབ་འཇོམས་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རྡོ་རྗེས་རབ་འཇོམས་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ||| The Blessed One then said to the bodhisattva mahāsattva Vajrapramardin, “Vajrapramardin, listen carefully and be attentive.
རྣམ་པ་གང་དག་དང་། རྟགས་གང་དག་དང་། མཚན་མ་གང་དག་གིས་གང་ཟག་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པ་ཡིན་པར་ཤེས་པར་བྱ་བ་ངས་ཁྱོད་ལ་བཤད་པར་བྱའོ། ། ||| I will explain to you the features, indications, and signs by which individuals following the Bodhisattva Vehicle can be recognized.”
བྱང་ཆུབ་སེམས་དཔའ་རྡོ་རྗེས་རབ་འཇོམས་ཀྱིས་བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ་ཞེས་གསོལ་ཏོ། ། ||| The bodhisattva Vajrapramardin replied to the Blessed One, “Such is my request.”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| He then listened as the Blessed One instructed.
རྡོ་རྗེས་རབ་འཇོམས་མཚན་མ་བརྒྱ་རྩ་བརྒྱད་ཀྱིས་ནི་གང་ཟག་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པ་ཡིན་པར་རིག་པར་བྱ་སྟེ། ||| The Blessed One said to him, “Vajrapramardin, those who follow the Bodhisattva Vehicle may be recognized through one hundred and eight signs.
བརྒྱ་རྩ་བརྒྱད་གང་ཞེ་ན། ||| What are the one hundred and eight signs?
གཉིད་ལོག་པའི་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཛེས་པས་བཀའ་སྩོལ་བའི་གཟུགས་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཅང་མི་གསུང་བ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་དབུ་དང་ཞབས་སུ་བཅས་པར་གཡོགས་པ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཞལ་ཕྱིར་ཕྱོགས་པ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་སྐུ་འཇིམ་པ་ལས་བྱས་པ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་སྐུ་ཚོན་གྱིས་བྲིས་པ་མཐོང་བ་དང་། གཞན་ཡང་འགྲོ་བ་ན་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་གཞན་དག་ལ་ཆོས་སྟོན་པར་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་རྫུ་འཕྲུལ་གྱིས་ནམ་མཁའ་ལ་གཤེགས་པ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་མཐོང་བ་དང་། ||| “While asleep and dreaming, (1) seeing an image of the beautiful form of the Tathāgata speaking; (2) seeing the Tathāgata remain silent; (3) seeing the Tathāgata covered from head to toe; (4) seeing the Tathāgata with his face averted; (5) seeing the form of the Tathāgata fashioned out of clay; (6) seeing the form of the Tathāgata drawn in color; (7) seeing an image of the Tathāgata while walking; (8) seeing the Tathāgata teaching the Dharma to others; (9) seeing the Tathāgata miraculously flying through the sky; (10) seeing the Tathāgata pass into parinirvāṇa;
གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཞུགས་ལ་བཞེན་པ་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་སྐུ་གདུང་དག་རྙེད་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་དབུ་སྐྲ་རྙེད་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་སྔོན་མ་མཐོང་བའི་མཆོད་རྟེན་དག་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་རིན་པོ་ཆེས་བརྒྱན་པ་དག་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ཆོ་འཕྲུལ་མཛད་པ་དག་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་འོད་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པའི་སྒྲ་ཐོས་ལ་མ་མཐོང་བ་དང་། གཞན་ཡང་བདག་དེ་བཞིན་གཤེགས་པའི་སྐུ་ཡིན་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་བདག་དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ལ་མེ་ཏོག་གམ། མེ་ཏོག་ཕྲེང་ངམ། སྤོས་སམ། བྱུག་པ་འབུལ་ཞིང་སྐུད་པར་ཀུན་ཏུ་ཤེས་པ་དང་། ||| (11) seeing the Tathāgata being cremated; (12) in a dream, finding the Tathāgata’s physical relics; (13) in a dream, finding the Tathāgata’s hair; (14) in a dream, seeing caityas that have never been seen before; (15) in a dream, seeing jeweled caityas of the Tathāgata; (16) seeing caityas of the Tathāgata performing miracles; (17) seeing the radiance of the Tathāgata; (18) in a dream, hearing but not seeing the Tathāgata; (19) perceiving themselves to have the form of the Tathāgata; (20) perceiving themselves to be the flowers, flower garlands, fragrances, or unguents that are offered to or used to anoint a caitya of the Tathāgata;
གཞན་ཡང་དེ་བཞིན་གཤེགས་པས་ན་བཟའ་དྲི་མ་ཅན་གསོལ་བ་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ན་སྔོན་མ་ཐོས་པའི་ཆོས་དག་ཐོས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་མ་བསྟན་པའི་ཆོས་དག་ཤེས་ལ་སད་ན་ཆོས་འཆད་པ་སུ་ཡང་མེད་ཅིང་ཅི་ཡང་མི་དྲན་པ་དང་། སྔོན་མ་མཐོང་བའི་དགེ་སློང་ཆོས་སྨྲ་བ་དག་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་ཆོས་ཀྱི་ཁྲི་སྟན་ལ་འདུག་སྟེ་ཆོས་སྟོན་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་འཇིགས་པ་མེད་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་འཆག་པ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་བ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་ཆོས་གོས་རྙེད་པ་དང་། ||| (21) seeing the Tathāgata wearing dirty clothes; (22) in a dream, hearing teachings that have never been heard before; (23) in a dream, understanding Dharma teachings that were not taught, and upon waking, being unable to recall anything about the teachings that have not been taught by anyone; (24) seeing a Dharma-teaching monk who had never been seen before; (25) in a dream, perceiving themselves sitting atop a Dharma throne teaching the Dharma; (26) in a dream, perceiving themselves to be fearless; (27) in a dream, seeing the seat of awakening; (28) seeing the Tathāgata walking; (29) seeing the Tathāgata turning the wheel of Dharma; (30) seeing the Tathāgata’s parinirvāṇa stūpa;
གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་ལྷུང་བཟེད་རྙེད་པ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་ཉག་གཅིག་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་སྐྱེ་བོ་མང་པོས་ཡོངས་སུ་བསྐོར་བ་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་གདུགས་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་འཆགས་དག་མཐོང་བ་དང་། གཞན་ཡང་དེ་བཞིན་གཤེགས་པའི་གདན་མཐོང་བ་དང་། གཞན་ཡང་བདག་དེ་བཞིན་གཤེགས་པ་ལ་ཞལ་ཟས་འབུལ་བར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་བདག་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་འབུལ་བར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་བདག་དེ་བཞིན་གཤེགས་པ་ལ་མེ་ཏོག་འབུལ་བར་ཀུན་ཏུ་ཤེས་པ་དང་། ||| (31) finding the Tathāgata’s robe; (32) finding the Tathāgata’s alms bowl; (33) seeing the Tathāgata all alone; (34) seeing the Tathāgata surrounded by many people; (35) seeing the Tathāgata’s parasol; (36) seeing a place visited by the Tathāgata; (37) seeing the Tathāgata’s seat; (38) perceiving themselves offering food to the Tathāgata; (39) perceiving themselves offering clothes to the Tathāgata; (40) perceiving themselves offering flowers to the Tathāgata;
གཞན་ཡང་བདག་རི་ལ་འདུག་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་གཅེར་བུར་འདུག་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་ཕྱོགས་མཚམས་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་སྔོན་མ་མཐོང་བའི་ཡུལ་དུ་ཕྱིན་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་ཆུ་བོའི་ནང་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་སྤྲིན་ལས་ཆར་འབབ་པ་མཐོང་བ་དང་། གཞན་ཡང་རྨི་ལམ་ནས་གཡོས་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་གཡུལ་འགྱེད་པའི་ནང་དུ་སོན་པར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་ན་བར་ཀུན་ཏུ་ཤེས་པ་དང་། གཞན་ཡང་རྨི་ལམ་ན་བདག་གཡང་ས་ནས་གཡང་དུ་ལྷུང་ཞིང་རྟོན་པ་མེད་པར་ཀུན་ཏུ་ཤེས་པ་དང་། ||| (41) perceiving themselves on a mountain; (42) in a dream, perceiving themselves to be naked; (43) in a dream, perceiving themselves to be in an intermediate direction; (44) in a dream, perceiving themselves going to a region never visited before; (45) in a dream, perceiving themselves to be in a river; (46) in a dream, seeing rain falling from the clouds; (47) in a dream, experiencing an earthquake; (48) in a dream, perceiving themselves to be in the midst of battle; (49) in a dream, perceiving themselves to be ill; (50) in a dream, perceiving themselves falling off a precipice into an abyss, unable to catch hold;
