འཕགས་པ་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Not Forsaking the Buddha
ཐམས་ཅད་ཀྱང་ཁྱིམ་ན་གནས་པའི་སྐྱོན་ཁས་བླངས་ཤིང་བསྟན་པ་འདི་ལས་ཕྱིར་དོང་བ་ཤ་སྟག་གོ། ། ||| All of them, having thus assented to the shortcomings of householder life, had simply turned their backs on the teaching.
ཡང་དེའི་ཚེ་རྒྱལ་པོ་མ་སྐྱེས་དགྲ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་གོ། ། ||| At that time, King Ajātaśatru was also present in the assembly.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་ཏོ། ། ||| The Blessed One had already dispelled the king’s regrets.
འགྱོད་པ་བསལ་བ་དེས་ཀྱང་ཞག་བདུན་དུ་སྦྱིན་པ་བྱིན་ཞིང་བཅིངས་པ་ཐམས་ཅད་ཀྱང་རབ་ཏུ་ཐར་བར་བྱས་སོ། ། ||| With his regrets dispelled, for seven days the king had engaged in generosity and pardoned all prisoners.
དེ་སྦྱིན་པ་བྱིན་ཏེ་ཞག་བདུན་པོ་དེ་དག་འདས་ནས་སྲོག་ཆགས་བྱེ་བ་ཕྲག་བདུན་དང་ལྷན་ཅིག་ཏུ་ཆོས་མཉན་པའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་ལྷགས་སོ། ། ||| After having engaged in generosity for seven days, the king had returned to the Blessed One, together with seventy million other beings, to listen to the Dharma.
རིགས་ཀྱི་བུ་བཅུ་པོ་ཁྱིམ་ན་གནས་པའི་སྐྱོན་ཁས་བླངས་ནས་བསྟན་པ་འདི་ལས་ཕྱིར་དོང་བ་དེ་དག་ཀྱང་འཁོར་དེ་ཉིད་དུ་ལྷགས་སོ། ། ||| The ten noble sons who had assented to the shortcomings of householder life and turned their backs on the teaching had also come to the assembly.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པ་ཞེས་བྱ་བ་གཟུངས་ཐོབ་པ། ||| At this point, the bodhisattva great being Undaunted also joined the assembly. He had attained dhāraṇī.
བསྐལ་པ་གྲངས་མེད་པར་རྗེས་སུ་འཐུན་པའི་ཆོས་ཀྱི་བཟོད་པ་དང་ལྡན་པ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པ། སྤོབས་པ་སྣ་ཚོགས་པ། ||| For countless eons he had possessed the acceptance of phenomena that is consistent with reality and had attained the acceptance that phenomena are nonarising. He was endowed with various forms of eloquence.
ཡེ་ཤེས་ཀྱི་སྒོ་དང་། ཆོས་ཀྱི་སྒོ་ཐམས་ཅད་སྒྲུབ་པ་ལ་མཁས་པ། ཆོས་བཤད་པའི་ཕྱིར་སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་དང་། ལྷག་པའི་བསམ་པ་དང་། མོས་པ་ལ་མཁས་པ་ཞིག་ཀྱང་འཁོར་དེ་ཉིད་དུ་འོངས་སོ། ། ||| He was expert in accomplishing all gateways to wisdom and the Dharma, and, in order to explain the Dharma, he was skilled concerning beings’ mindsets, intentions, and interests.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པ་སྟན་ལས་ལངས་ཏེ། ཆོས་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ||| The bodhisattva great being Undaunted rose from his seat, draped his shawl over one shoulder, knelt on his right knee, and bowed with joined palms toward the Blessed One.
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| He then said to the Blessed One,
བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུ་བཅུ་པོ་འདི་དག་ནི་དགུང་ལོ་བདུན་དུ་གཟུངས་ཀྱི་དོན་ལ་བརྩོན་པར་གྱུར་ན་དེ་དག་བསམ་པ་མ་གྲུབ་ཅིང་བསྟན་པ་འདི་ལས་སླར་མཆིས་པ་ཁྱིམ་ན་གནས་པར་གཡར་གྱིས་བླངས་པ་ལགས་ན། ||| “Blessed One, these ten noble sons exerted themselves for seven years with the aim of attaining dhāraṇī, yet they did not accomplish their goal, and so they have left the teaching and profess to having taken up the householder life.
དེའི་སླད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་རིགས་ཀྱི་བུ་དེ་དག་ལ་ཅི་ནས་མྱུར་བ་ཁོ་ནར་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་བ་དེ་ལྟར་ལེགས་པར་ལུང་དབོག་པར་མཛད་དུ་གསོལ། ||| This being so, Blessed One, I beseech you to please bestow upon these noble sons an instruction that will enable them to swiftly attain wisdom.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the bodhisattva great being Undaunted,
རིགས་ཀྱི་བུ་འདི་ལྟར་དེ་དག་གིས་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་མ་ཐོས་ལ། སངས་རྒྱས་སྤོང་བ་ནི་རྗེས་སུ་ཐོབ་སྟེ། ||| “Noble son, these individuals have not heard the Dharma discourse called Not Forsaking the Buddha, and so they have ended up forsaking the Buddha.
དེས་ན་རིགས་ཀྱི་བུ་དེ་དག་མྱུར་དུ་ཤེས་པ་འདི་ལ་མ་སྐྱེས་སོ། ། ||| That is why these noble sons have failed to swiftly develop in their understanding.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པས་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་ཞུས་སོ། ། ||| The bodhisattva great being Undaunted then addressed the following verses to the Blessed One:
ཆོས་ཀྱི་རྒྱལ་པོ་འོད་མཛད་པ། །མི་ཡི་ཉི་མ་ཁྱོད་ལ་ཞུ། ། ||| “Illuminating Dharma King, Sun of humans, I request you to teach
བྱང་ཆུབ་སེམས་དཔའི་ལས་སྤྱོད་པ། །སྤྱོད་པ་གང་ལགས་དེ་བསྟན་གསོལ། ། ||| The conduct that bodhisattvas engage in— Please explain that conduct.
དཔག་མེད་ཁྱབ་པར་འཕགས་པའི་བློ་གྲགས་པ། །སངས་རྒྱས་ཐོགས་མེད་སྟོབས་བཅུ་མཚུངས་མ་མཆིས། ། ||| “Your intelligence is immeasurable and exalted; Unimpeded Buddha, your ten powers are unmatched.
སྲིད་གསུམ་འབྱུང་བ་རྣམ་གྲོལ་སྤྲོས་མི་མངའ། ། ||| You are free from the three realms of existence and beyond conceptual constructs—
སངས་རྒྱས་བྱང་ཆུབ་སྤྱོད་པ་དྲི་མེད་གསུངས། ། ||| Buddha, you have taught the stainless conduct of bodhisattvas.
དཔག་མེད་ཡེ་ཤེས་མངའ་བ་ཁྱོད་ལ་ཞུ། ། ||| “Master of immeasurable wisdom, I ask you.
ཡིད་གཉིས་གཅོད་པར་མཛད་པ་ཁྱོད་ལ་ཞུ། ། ||| Dispeller of doubts, I ask you.
བཅོམ་ལྡན་མཚུངས་པ་མི་མངའ་ཁྱོད་ལ་ཞུ། ། ||| Matchless Blessed One, I ask you.
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པའི་ཚུལ་གང་ལགས། ། ||| What is the proper conduct of bodhisattvas?
རྒྱལ་བ་བདུད་ཐུལ་བདེ་གཤེགས་གང་གིས་ན། །ཉོན་མོངས་ཀུན་ལས་རྣམ་པར་གྲོལ་བར་འགྱུར། ། ||| “Victor, tamer of demons, Well-Gone One, You liberate beings from all the afflictions.
ཐུགས་རྗེས་ཉོན་མོངས་ཐུལ་ལ་བྱང་ཆུབ་ལམ། །འཕགས་པ་དེ་ནི་རབ་ཏུ་བཤད་དུ་གསོལ། ། ||| You compassionately tame the afflictions and show the path to awakening; Please explain that noble teaching.
ལེགས་གསལ་ལེགས་བྱུང་ལེགས་འབྲེལ་གསུང་བ་བོ། ། ||| “Your teaching is excellent in terms of its clarity, source, and relevance.
སྲིད་སེལ་སྲིད་འགྲོ་རྣམ་འཇོམས་ལྷུར་མཛད་པ། ། ||| Tirelessly, you eliminate existence and overcome its states.
དགེ་སྦྱོང་བཟང་པོ་སྨྲ་མཆོག་ཡིད་གཉིས་སེལ། ། ||| Excellent mendicant, your perfect speech dispels all doubts.
རྒྱལ་བ་བདེ་གཤེགས་དྲི་མེད་སྤྱོད་ཀུན་གསུངས། ། ||| Victorious Well-Gone One, you teach all the modes of stainless conduct.
སྔོན་གྱི་སྲིད་བརྒྱར་ལེགས་སྤྱད་ཡོན་ཏན་དགེ། ། ||| “Over hundreds of past lives, you accrued virtuous qualities.
འགྲོ་བ་ཕན་བདེར་བསྔོ་ལ་བརྩོན་པ་པོ། ། ||| You diligently dedicated all for the benefit and happiness of beings.
རིན་ཆེན་གླང་པོ་རྟ་སྤངས་ཡུན་ཀྱང་རིང་། །བུད་མེད་ཚོགས་དང་བུ་ཡང་སྤངས་མཛད་པ། ། ||| For long you relinquished jewels, elephants, and horses, And the company of women and children as well.
བཟོད་དང་དུལ་དགྱེས་ཚུལ་ཁྲིམས་ཡོན་ཏན་གཞོལ། ། ||| “Delighting in patience and discipline, you ardently practiced the virtues of discipline.
བློ་གྲོས་དགྱེས་གཞོལ་བརྟུལ་ཞུགས་དཀའ་ཐུབ་བརྩམས། ། ||| You joyfully pursued intelligence and took on austerities and hardships.
ཡོན་ཏན་ཚོལ་བས་སྡུག་བསྔལ་བརྒྱ་བཟོད་པ། ། ||| In the pursuit of good qualities, you endured hundreds of sufferings.
རྒྱལ་བ་ཁྱོད་ཀྱིས་དེ་བརྙེས་ཡིད་གཉིས་བྲལ། ། ||| Victor, there is no doubt that you have attained all this.
སྤྱོད་ལ་མཁས་པ་ཡིད་གཉིས་རྣམ་སྤངས་པ། ། ||| “You are skilled in conduct and have relinquished all doubts.
སྐྱོན་ཚོགས་དྲི་མ་གསུམ་གྱི་ཐ་བ་བྲལ། ། ||| You are free of the defects of the three stains and all faults.
འགྲོ་བ་ཐམས་ཅད་དུ་ཡང་རབ་གཤེགས་པ། ། ||| You have entered all existences.
མགོན་པོ་བྱང་ཆུབ་མཆོག་གི་ཚུལ་བཤད་གསོལ། ། ||| Protector, please explain the proper conduct of supreme awakening!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then addressed the bodhisattva great being Undaunted:
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་བཅུ་པོ་འདི་དག་ཐམས་ཅད་ཀྱིས་ནི་སངས་རྒྱས་མི་སྤང་བ་བྱས་སོ། ། ||| “Noble son, none of these ten bodhisattvas has in fact forsaken the Buddha.”
གསོལ་པ། བཅོམ་ལྡན་འདས་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བགྱི་བ་དེ་གང་ལགས། ||| The bodhisattva great being then asked, “Blessed One, what do you mean by saying that they have not forsaken the Buddha?”
བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་བསྐལ་པ་སུམ་ཅུ་འདས་པ་དེའི་ཚེ་དེའི་དུས་ན་འཇིག་རྟེན་གྱི་ཁམས་སྨིག་རྒྱུ་ཅན་དུ་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་གཟིགས་པའི་ང་རོ་ཞེས་བྱ་བ་བྱུང་བར་གྱུར་པ་ ||| “Noble son, in a bygone age, thirty eons ago, in a world called Mirage, a thus-gone one named Roar of Vision appeared.
དེའི་ཚེ་དེ་བཞིན་གཤེགས་པ་དེ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་ཕྱི་མའི་དུས་ཕྱི་མའི་ཚེ་ན་རིགས་ཀྱི་བུ་བཅུ་པོ་འདི་དག་ཁྱིམ་བདག་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུའི་གཞོན་ནུར་གྱུར་ཏོ། ། ||| In the period after this thus-gone one had passed into parinirvāṇa, these ten noble sons were born as the sons of householders who were like great śāla trees.
དེའི་ཚེ་རིགས་ཀྱི་བུ་བཅུ་པོ་དེ་དག་ཐམས་ཅད་ཀྱིས་གཙུག་ལག་ཁང་ལྔ་བརྒྱ་བྱེད་དུ་བཅུག་གོ། ། ||| At that time, these ten noble sons commissioned the building of five hundred monasteries.
གཙུག་ལག་ཁང་རེ་རེར་ཡང་དགེ་སློང་སྟོང་སྟོང་གནས་པར་གྱུར་ཏོ། ། ||| In each of those monasteries, a thousand monks resided.
རིགས་ཀྱི་བུ་དེའི་ཚེ་ཆོས་སྨྲ་བ་སྤོབས་པ་བརྩེགས་པ་ཞེས་བྱ་བ་གཟུངས་ཐོབ་པ་ཞིག་ཆོས་སྟོན་ཏོ། ། ||| Noble son, at that time there was a Dharma teacher named Pratibhānakūṭa who had attained dhāraṇī and was teaching the Dharma.
རིགས་ཀྱི་བུ་ཆོས་སྨྲ་བ་སྤོབས་པ་བརྩེགས་པ་དེ་ཆོས་ཀྱི་སྟན་ལ་འདུག་པ་ལ་སངས་རྒྱས་ལྔ་སྟོང་སྤོབས་པ་སྒྲུབ་པར་མཛད་དེ། ལྷ་དུང་ཕྱུར་ཕྲག་བརྒྱད་ཀྱང་ལུས་ཡོངས་སུ་སྦྱང་བའི་ཕྱིར་བརྩོན་པར་གྱུར་ཏོ། ། ||| “Noble son, the Dharma teacher Pratibhānakūṭa would accomplish the eloquence of five thousand Buddhas while seated on the Dharma seat, as eight hundred million gods applied themselves diligently in worshiping his body.
དེའི་ཆོས་བཤད་པ་གཅིག་གིས་སྲོག་ཆགས་བདུན་ཁྲི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་གྱུར་ཏོ། །སྲོག་ཆགས་ཁྲི་ནི་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་ཐོབ་བོ། ། ||| Through just one of his Dharma discourses, seventy thousand beings would be established in irreversible progress toward unexcelled and perfect awakening, and ten thousand beings would attain the fruition of stream enterer.
རིགས་ཀྱི་བུ་དེའི་ཚེ་རྒྱལ་པོ་ཟླ་བས་བྱིན་པ་ཞེས་བྱ་བ་ཞིག་བྱུང་ངོ་། ། ||| “Noble son, at that time there was a king named Candradatta.
དེས་ཆོས་ལ་གུས་པས་ཆོས་སྨྲ་བ་དེ་ལ་མཆོད་པའི་ཕྱིར་བུད་མེད་ལྔ་བརྒྱ་དང་གླུ་དབྱངས་དང་རོལ་མོ་བྱས་སོ། ། ||| He had great respect for the Dharma, and so he and five hundred women venerated that Dharma teacher with song and music.
དགེ་སློང་དེ་ལ་རིན་པོ་ཆེའི་མེ་ཏོག་སྣ་ཚོགས་ཀྱིས་ཀྱང་མངོན་པར་གཏོར་ཏེ། ||| He scattered many types of precious flowers over that monk,
ཙན་དན་གྱི་བྱུག་པས་ཀྱང་བྱུགས་སོ། ། ||| anointed him with sandalwood ointment,
རས་བཅོས་བུ་ལྔ་བརྒྱས་ཀྱང་བཀབ་བོ། ། ||| and swathed him in five hundred brocades.
བདེ་བའི་རིམ་གྲོ་ཐམས་ཅད་ཀྱིས་མཆོད་པ་འདི་ལྟ་སྟེ། ||| Furthermore, the king venerated him with every type of delightful service.
ཆོས་སྨྲ་བ་ལ་མཆོད་པའི་མཆོད་པ་མཆོག་གིས་ཞག་བདུན་དུ་རིམ་གྲོ་བྱས་སོ། ། ||| In this way, he served that Dharma teacher with perfect offerings for seven days.
དེ་ནས་དགེ་སློང་དེ་ལ་ཁྱིམ་བདག་གི་བུ་དེ་དག་གིས་འཆལ་པའི་ཚུལ་ཁྲིམས་ཀྱིས་གླེངས་སོ། ། ||| “However, those sons of householders accused that monk of flawed discipline.
ལས་དེའི་རྣམ་པར་སྨིན་པས་དེ་དག་ལོ་དགུ་ཁྲིར་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་སྐྱེས་སོ། ། ||| As that action ripened, they were born in the hells for ninety thousand years.
ཚེ་རབས་ལྔ་བརྒྱ་ལྔ་བརྒྱར་ནི་མི་རྣམས་ཀྱི་ནང་དུ་ཟ་མ་དང་། ཀླ་ཀློ་དང་། ལོག་པར་ལྟ་བའི་ཁྱིམ་རྣམས་སུ་སྐྱེས་སོ། ། ||| Then, for five hundred consecutive lifetimes they were born in the human realm as ṣaṇḍhas, as barbarians, and into families with wrong views.
ཚེ་རབས་དྲུག་བརྒྱར་ནི་དམུས་ལོང་དང་ལྕེ་མེད་པར་གྱུར་ཏོ། ། ||| After that, for six hundred lifetimes they were born blind and mute.
ཚེ་རབས་བདུན་བརྒྱར་ནི་རབ་ཏུ་བྱུང་ནས་ཇི་སྲིད་འཚོའི་མཐར་ཐུག་གི་བར་དུ་གཟུངས་མ་ཐོབ་པར་འཆི་བའི་དུས་བྱས་ཏེ། ||| Then, for seven hundred lifetimes they went forth and remained ordained for the rest of their lives, but they died without having attained dhāraṇī.
ལས་ཀྱི་སྒྲིབ་པ་དེ་ཉིད་ཀྱིས་རིགས་ཀྱི་བུ་དེ་དག་བསྒྲིབས་སོ། ། ||| That is the karmic obscuration veiling these noble sons.
རིགས་ཀྱི་བུ་དེ་ལྟ་བས་ན་ཁྱོད་མོས་པར་བྱའོ། །ཁྱོད་ཀྱི་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| “Noble son, you should therefore trust this and understand it.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་ཆོས་སྨྲ་བ་ལ་མངོན་སུམ་དུ་མཐོང་ཡང་འཆལ་པའི་ཚུལ་ཁྲིམས་ཀྱིས་བརྗོད་པར་མི་བྱ་ན་ཐོས་པ་ལྟ་ཅི་སྨོས། ||| Having heard this Dharma discourse, you should never speak of a Dharma teacher having flawed discipline, even if you witness it in person, let alone hear word of it.
རིགས་ཀྱི་བུ་གང་ཞིག་སེམས་ཅན་ཐམས་ཅད་ཀྱི་མིག་འབྱིན་པར་བྱེད་པ་བས་ནི་གང་ཞིག་ཆོས་སྨྲ་བ་ལ་གཤེ་བའི་བསམ་པས་ལྟ་བར་བྱེད་ན། དེ་ནི་དེ་བས་ཆེས་ཁ་ན་མ་ཐོ་བའི་ལས་ཆེ་བ་ཡིན་ནོ། ། ||| “Noble son, if one person were to pluck out the eyes of all beings, and another were to take a disparaging view of a Dharma teacher, the latter would commit an act of even graver negativity than the former.
གང་ཞིག་སེམས་ཅན་ཐམས་ཅད་འཆིང་བར་བྱེད་ལ། གང་ཞིག་ཆོས་སྨྲ་བ་མཐོང་ན་རྒྱབ་ཀྱིས་ཕྱོགས་ཏེ་འདུག་པར་བྱེད་ན། བསོད་ནམས་མ་ཡིན་པ་འདི་ལ་བསོད་ནམས་མ་ཡིན་པ་སྔ་མ་དེས་བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ། ||| If one person were to bind all beings in fetters, and another were to turn his back on meeting a Dharma teacher, the unmeritorious act committed by the former would be nowhere near even a hundredth part of the unmeritorious act committed by the latter.
སྟོང་གི་ཆ་དང་། འབུམ་གྱི་ཆ་དང་། གྲངས་དང་། ཆ་དང་། བགྲང་བ་དང་། དཔེ་དང་། རྒྱུར་ཡང་ཉེ་བར་མི་འགྲོའོ། ། ||| It would be nowhere near even a thousandth, or a one hundred thousandth part. No number, fraction, quantity, analogy, or comparison would come close.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
གང་ཆོས་སྨྲ་བ་ལ་སྐུར་པ་འདེབས་པ་དེས་ནི་སངས་རྒྱས་ལ་སྐུར་པ་བཏབ་པར་འགྱུར་བའི་ཕྱིར་རོ། ། ||| Because whoever denigrates a Dharma teacher denigrates the Buddha.
སངས་རྒྱས་ལ་བསྙེན་བཀུར་བྱ་བར་འདོད་པས་ཆོས་སྨྲ་བ་ལ་བསྙེན་བཀུར་བྱའོ། ། ||| If you wish to honor the Buddha, you should honor a Dharma teacher.
སངས་རྒྱས་ལ་མཆོད་པར་འདོད་པས་ཆོས་སྨྲ་བ་ལ་མཆོད་པར་བྱའོ། ། ||| If you wish to worship the Buddha, you should worship a Dharma teacher.
སངས་རྒྱས་ལ་ཕྱག་འཚལ་བར་འདོད་པས་ཆོས་སྨྲ་བ་ལ་ཕྱག་བྱའོ། ། ||| If you wish to pay homage to the Buddha, you should pay homage to a Dharma teacher.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that?
ཐམས་ཅད་མཁྱེན་པ་ཉིད་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལས་བྱུང་བའི་ཕྱིར་དང་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་ལས་བྱུང་བའི་ཕྱིར་རོ། ། ||| It is because the state of omniscience arises from the bodhisattvas—and the blessed buddhas arise from the bodhisattvas.
