འཕགས་པ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Great Vehicle Sūtra The Questions of Guṇaratnasaṅkusumita
བཅོམ་ལྡན་འདས་ད་ལྟར་ན་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དག་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་པ་དེ་རྣམས་ཀྱི་མཚན་བཟུང་ན། ||| “Blessed One, are there presently blessed buddhas residing alive and well in other world systems whose names, when remembered,
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་ལྟ་དག་བཞུགས་ལགས་སམ། ||| cause noble sons and daughters to swiftly and fully awaken to unexcelled and perfect buddhahood?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ལེགས་སོ་ལེགས་སོ། ། ||| “Very good, Guṇaratnasaṅkusumita,” the Blessed One responded to the bodhisattva great being Guṇaratnasaṅkusumita, “very good!
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཁྱོད་ད་ལྟར་དང་། མ་འོངས་པའི་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། ལྷ་དང་། མི་རྣམས་ཀྱི་དོན་དང་། ཕན་པ་དང་། བདེ་བའི་ཕྱིར་ཁྱོད་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་ཞུ་བར་སེམས་པ་ནི་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཁྱོད་ཡང་ལེགས་སོ། ། ||| Guṇaratnasaṅkusumita, your motivation for asking this question of the Thus-Gone One is to benefit and bring happiness to many beings now and in the future. You have asked this question out of love for the world and to benefit, help, and bring happiness to bodhisattvas, gods, and humans. Very good, Guṇaratnasaṅkusumita!
དེའི་ཕྱིར་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཁྱོད་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ངས་ཁྱོད་ལ་བཤད་དོ། ། ||| Therefore, Guṇaratnasaṅkusumita, listen well and pay attention. I will explain it to you.”
བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ་ཞེས་གསོལ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པས་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་མཉན་པ་དང་། ||| “Blessed One, I shall do that!” said the bodhisattva great being Guṇaratnasaṅkusumita, and he listened as the Blessed One had instructed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said,
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཤར་ཕྱོགས་ན་ཆོས་ཐམས་ཅད་ཀྱི་ཡོན་ཏན་བཀོད་པའི་འཇིག་རྟེན་གྱི་ཁམས་ན། ||| “Guṇaratnasaṅkusumita, to the east of here is a world system known as Arrayed with the Qualities of All Phenomena.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོན་ཏན་རིན་ཆེན་དཔག་ཏུ་མེད་པ་བཀོད་པའི་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ལྟ་བུ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེ། འཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There the thus-gone, worthy, perfect Buddha Array of Immense Precious Qualities Like the King of Splendor currently resides, alive and well.
བསྐལ་པ་དེ་ནི་རྒྱས་པ་ཐམས་ཅད་ཀུན་ནས་བསྡུས་པ་ཞེས་བྱའོ། ། ||| That eon is known as Gathering of Complete Abundance.
དེ་ན་སེམས་ཅན་རྣམས་ཀྱི་ཚེ་ནི་དཔག་ཏུ་མེད་དོ། ། ||| There, the lifespan of sentient beings is immeasurable.
བཅོམ་ལྡན་འདས་དེའི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱི་འཁོར་དཔག་ཏུ་མེད་དོ། ། ||| That blessed one’s full retinue of bodhisattvas is also innumerable.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོན་ཏན་རིན་ཆེན་དཔག་ཏུ་མེད་པ་བཀོད་པའི་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ལྟ་བུ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་ནི་བསྐལ་པ་སྟོང་ཕྲག་དྲུག་ཅུའི་འཁོར་བ་སྙིལ་བར་བྱེད་དོ། ། ||| When faithful noble sons and daughters remember the name of the blessed, thus-gone, worthy, perfect Buddha Array of Immense Precious Qualities Like the King of Splendor, sixty thousand eons of wandering in cyclic existence are negated.
ཚེ་རྗེས་ནས་ཀྱང་སྒྲིབ་པ་མེད་པར་སྟོན་པ་ཞེས་བྱ་བའི་གཟུངས་ཐོབ་པར་འགྱུར་རོ། ། ||| “From their next lives onward, they will attain the dhāraṇī called unhindered teaching .
སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཕྲག་བཅུ་རྣམས་ཀྱི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱིས་སྤོབས་པ་ཉེ་བར་སྒྲུབ་པར་མཛད་དོ། ། ||| They will be provided with the eloquence of the blessed buddhas in a hundred million buddhafields.
ཆོས་སྟོན་པ་ན་བག་ཚ་བ་ཡང་མེད་པར་འགྱུར་རོ། ། ||| When they teach the Dharma, they will have no trepidation.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
མི་གང་སངས་རྒྱས་མཚན་འདི་རྗོད་བྱེད་པ། །དེ་ལ་ཡོན་ཏན་འདི་རྣམས་མྱུར་དུ་འབྱུང་། ། ||| “ ‘Those who speak this buddha’s name Will quickly manifest these qualities.
དེ་ལ་དེ་བས་ལྷག་པ་གཞན་ཡང་འབྱུང་། ། ||| For them, even better things will occur,
དེ་ལ་བླ་མེད་བྱང་ཆུབ་དཀའ་མ་ཡིན། ། ||| And unsurpassed awakening will not be difficult.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ལྷོ་ཕྱོགས་ན་ཡོན་ཏན་རིན་ཆེན་བཀོད་པའི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོན་ཏན་རིན་ཆེན་དཔལ་བཀོད་པའི་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ལྟ་བུ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེའཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| “Guṇaratnasaṅkusumita, to the south of here is a world system known as Arrayed with Precious Qualities. There, the thus-gone, worthy, perfect Buddha King of Splendor Arrayed with the Glory of Precious Qualities currently resides, alive and well.
བསྐལ་པ་དེ་ནི་ཡོན་ཏན་རྒྱས་པ་ཞེས་བྱའོ། ། ||| That eon is known as Flourishing Qualities.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོན་ཏན་རིན་ཆེན་དཔལ་བཀོད་པའི་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་ལྟ་བུ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་ནི་ཚེ་རྗེས་མ་ཐག་ཏུ་ཉི་མའི་དཀྱིལ་འཁོར་གྱི་མཐའ་སྣང་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་འཐོབ་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha King of Splendor Arrayed with the Glory of Precious Qualities will, immediately in their next lives, attain the absorption known as the sun disk’s universal illumination .
སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་དཔག་ཏུ་མེད་པ་བཀོད་པ་ཡང་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| They will also attain an array of the immeasurable qualities of the buddhafields.
ཚེ་རྗེས་མ་ཐག་ཏུ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་འཐོབ་པར་འགྱུར་རོ། ། ||| Immediately in their next lives they will attain the thirty-two marks of a great being.
སངས་རྒྱས་ཀྱི་ཞིང་གང་དང་གང་དུ་སྨོན་ལམ་འདེབས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་དང་དེར་སྐྱེ་བར་འགྱུར་རོ། ། ||| They will be born into the buddhafield of their aspiration prayers.
སྐྱེ་བ་གཅིག་གིས་ཐོགས་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་ཡང་འགྱུར་རོ། ། ||| Since for them only a single rebirth remains, they will fully awaken to unexcelled and perfect buddhahood.
སྤོབས་པ་རྒྱུན་མི་འཆད་པ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will also achieve unceasing eloquence.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
མི་གང་སངས་རྒྱས་མཚན་འདི་རྗོད་བྱེད་པ། །དེ་ལ་ཏིང་འཛིན་བསམ་ཡས་དེ་སྐྱེ་ཞིང་། ། ||| “ ‘Those who speak this buddha’s name Will manifest inconceivable absorptions.
སུམ་ཅུ་རྩ་གཉིས་མཚན་ལྡན་ལུས་འཐོབ་ལ། །དེ་ནི་བྱང་ཆུབ་སྐྱེ་བ་གཅིག་ཐོགས་འགྱུར། ། ||| They will attain bodies endowed with the thirty-two marks, And they will be just one rebirth away from awakening.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ནུབ་ཕྱོགས་ན་མྱ་ངན་དང་མུན་པ་ཐམས་ཅད་དང་བྲལ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཐམས་ཅད་ལ་སྤོབས་པ་བཀོད་པའི་དཔལ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེའཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| “Guṇaratnasaṅkusumita, to the west of here is a world system known as Free of All Misery and Darkness. There, the thus-gone, worthy, perfect Buddha Glorious Array of Eloquence in All Teachings currently resides, alive and well.
བསྐལ་པ་དེ་ནི་ཤཱཀྱ་མངོན་པར་མཛེས་པ་ཞེས་བྱའོ། ། ||| That eon is known as Beautiful Śākya.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཐམས་ཅད་ལ་སྤོབས་པ་བཀོད་པའི་དཔལ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་ནི་མཚོན་གྱིས་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha Glorious Array of Eloquence in All Teachings will not meet their deaths because of a blade.
དུག་གིས་མ་ཡིན། ཆུས་མ་ཡིན་ཏེ། མེས་ཀྱང་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར་རོ། །རྫུས་ཏེ་སྐྱེ་བར་ཡང་འགྱུར་རོ། ། ||| Furthermore, they will not meet their deaths because of poison, water, or fire, and they will have a miraculous rebirth.
ཚེ་རྗེས་མ་ཐག་ཏུ་ཡང་ཤུགས་བརྒྱ་པ་ཞེས་བྱ་བའི་གཟུངས་འཐོབ་པར་འགྱུར་རོ། ། ||| Immediately in their next lives they will attain the dhāraṇī called one hundred powers .
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
མི་གང་སངས་རྒྱས་མཚན་འདི་རྗོད་བྱེད་པ། །འདི་ལ་མི་དེའི་ལུས་མེས་མི་འཆི་ཞིང་། །མཚོན་གྱིས་མིན་ལ་ཆུས་མིན་དུག་གིས་མིན། ། ||| “ ‘Those who speak this buddha’s name Will not perish by fire, Or by blade, water, or poison;
དེ་ནི་རྫུས་ཏེ་སྐྱེ་བ་ཁོ་ནར་འགྱུར། ། ||| They will have only miraculous rebirths.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་བྱང་ཕྱོགས་ན་མུན་པ་དང་རྡུལ་དང་བྲལ་བ་ཞེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྤོབས་པ་དཔག་མེད་བཀོད་པ་ཡང་དག་པར་སྤྱོད་པའི་བློ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེའཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| “Guṇaratnasaṅkusumita, to the north of here is a world system known as Free of Darkness and Gloom. There, the thus-gone, worthy, perfect Buddha Intelligence Arrayed with Immeasurable Eloquence currently resides, alive and well.
བསྐལ་པ་དེ་ནི་གྲགས་པ་ཆེན་པོ་འཛིན་པ་ཞེས་བྱའོ། ། ||| That eon is known as Holding Great Renown.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྤོབས་པ་དཔག་མེད་བཀོད་པ་ཡང་དག་པར་སྤྱོད་པའི་བློ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་ནི་སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་བཅུ་མཉེས་པར་བྱེད་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha Intelligence Arrayed with Immeasurable Eloquence will please tens of billions of buddhas.
ཐམས་ཅད་དུ་རྗེས་སུ་སོང་བ་ཞེས་བྱ་བའི་གཟུངས་ཀྱང་ཐོབ་པར་འགྱུར་རོ། །ཟད་མི་ཤེས་པའི་ཟ་མ་ཏོག་ཅེས་བྱ་བའི་གཟུངས་ཀྱང་ཐོབ་པར་འགྱུར་བ་ནས་ ||| They will attain the dhāraṇī called following everywhere , as well as the dhāraṇī known as inexhaustible casket , and
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བའི་བར་དུ་ཡང་འགྱུར་རོ། ། ||| will subsequently fully awaken to unexcelled and perfect buddhahood.
ངན་སོང་གསུམ་པོ་རྣམས་སུ་སྐྱེ་བར་མི་འགྱུར་རོ། ། ||| They will not be born into the three lower realms.
བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན་སངས་རྒྱས་ཀྱི་ཞིང་གང་དང་གང་དུ་སྐྱེ་བར་འགྱུར་བ་དེ་དང་དེར་ངན་སོང་དུ་སྐྱེས་པའི་སེམས་ཅན་རྣམས་ཡོངས་སུ་ཐར་བར་བྱེད་དོ། ། ||| They will liberate all beings in the lower realms of whichever buddhafields they are born into as they engage in the conduct of bodhisattvas.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་ཡང་འགྱུར་རོ། ། ||| They will never regress in their progress toward unexcelled and perfect buddhahood.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
མི་གང་སངས་རྒྱས་མཚན་འདི་རྗོད་བྱེད་པ། །དེ་ཡི་ཡོན་ཏན་བགྲང་བར་མི་ནུས་ཤིང་། །དེ་ནི་བྱང་ཆུབ་འཐོབ་པར་ཐེ་ཚོམ་མེད། ། ||| “ ‘Those who speak the name of this buddha Will have incalculable qualities And will undoubtedly attain buddhahood.
དེ་ལ་ཐེ་ཚོམ་མེད་པར་གཟུངས་སྐྱེའོ། ། ||| Without a doubt, dhāraṇīs will arise for them.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ཤར་ལྷོའི་མཚམས་ཀྱི་ཕྱོགས་ན་ཤིན་ཏུ་མཛེས་པ་བཀོད་པའི་འཇིག་རྟེན་གྱི་ཁམས་ན། ||| “Guṇaratnasaṅkusumita, to the southeast of here is a world system known as Very Beautiful Array.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འབྲུག་སྟོང་བསྒྲགས་པའི་སྒྲ་སྐད་ཀྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེ། འཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There, the thus-gone, worthy, perfect Buddha King of the Sound of a Thousand Thunderclaps currently resides, alive and well.
བསྐལ་པ་དེ་ནི་ཡོན་ཏན་འབྱུང་བ་ཞེས་བྱའོ། ། ||| That eon is known as Emergence of Qualities.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འབྲུག་སྟོང་བསྒྲགས་པའི་སྒྲ་སྐད་ཀྱི་རྒྱལ་པོ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེ་ནི་ཚེ་རྗེས་མ་ཐག་ཏུ་མི་འཇིགས་པ་བཞི་འཐོབ་པར་འགྱུར་རོ། །རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི་འཐོབ་པར་འགྱུར་རོ། །བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་འཐོབ་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha King of the Sound of a Thousand Thunderclaps will, immediately in their next lives, attain the fourfold fearlessness, the four bases of miraculous powers, and great love, as well as great compassion.
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain the eighteen unique qualities of the buddhas.
དེ་བཞིན་གཤེགས་པ་ཚེ་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་ཅི་འདྲ་བ་དེ་ལྟ་བུ་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain the array of qualities just as they are in the buddhafield of the Thus-Gone One Amitāyus.
བུད་མེད་ཀྱི་ཚེ་རྗེས་ནས་སྐྱེས་པའི་ལུས་འཐོབ་པར་འགྱུར་རོ། ། ||| Following a female birth, they will be born into the body of a man.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
གང་ཞིག་རྒྱལ་བའི་མཚན་འདི་འཛིན་བྱེད་པའི། །བྱང་ཆུབ་སེམས་དཔས་ཡོན་ཏན་འདི་དང་གཞན། །བསམ་གྱིས་མི་ཁྱབ་རྟག་ཏུ་འཐོབ་པར་འགྱུར། ། ||| “ ‘Any bodhisattvas who remember this victor’s name Will always attain these qualities And inconceivably many others.
བྱང་ཆུབ་སེམས་དཔས་སངས་རྒྱས་མང་པོ་མཐོང་། ། ||| Those bodhisattvas will behold many buddhas.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ལྷོ་ནུབ་མཚམས་ཀྱི་ཕྱོགས་ན་བཀོད་པ་དཔག་ཏུ་མེད་པའི་འཇིག་རྟེན་གྱི་ཁམས་ན། ||| “Guṇaratnasaṅkusumita, to the southwest of here is a world system known as Immeasurable Array.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་མཆོག་འོད་དཔལ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེ། འཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There, the thus-gone, worthy, perfect Buddha Glorious Supremely Golden Light resides, alive and well.
བསྐལ་པ་དེ་ནི་ཆོས་ཐམས་ཅད་ཡང་དག་པར་སྐྱེད་པ་ཞེས་བྱའོ། ། ||| That eon is known as Creation of All Qualities.
